2.4199e-05-0.0006671i,0.00014922-0.001781i,-0.00013845-0.0021599i,-0.00037367-0.0020725i,-0.0013945-0.001756i,-0.0011055-0.00094054i,0.00025391-0.00027582i,0.00034257-0.0001489i,-3.9772e-05-0.00013134i,0.00026673-0.00013282i,0.00033096-0.00067967i,5.2272e-05-0.0011083i,-0.0001127-2.5226e-05i,-0.00018575+0.0007633i,-0.00010375+0.00064254i,-0.00046884+0.0010389i,-0.00077194+0.001201i,-0.00050544+0.00039969i,8.9983e-05-0.00064953i,0.00054519-0.0012186i,-0.00022271-0.0010421i,-0.00041465-0.00081679i,0.0003909-0.00059033i
0.00016584-0.00047034i,0.00070075+0.0001448i,0.0012222+6.3303e-05i,0.0010859-0.00020924i,0.0003823+0.00031918i,0.00069859+0.00047677i,0.00060425+0.00044625i,1.4627e-05+0.0006401i,0.00037674-0.00025428i,0.00037976-0.00076298i,-0.0003465-0.00062506i,-0.00036917-0.00071353i,-0.00022941-0.00053681i,-0.00012975-0.00043547i,0.00046623+0.00015833i,0.00050556+0.00061924i,-0.0001252-0.00031586i,-0.0002513-7.8671e-05i,-0.00027153+0.00043523i,0.00026086-0.00028764i,0.00064161-0.00062777i,0.000462-0.00057643i,0.00069745-6.8529e-05i
0.0022632-0.00060977i,0.00055493-0.0023624i,0.00062088-0.0026963i,0.0013643-0.00079022i,0.00083-0.00042941i,0.00070421-0.00171i,0.00072551-0.0014718i,6.4383e-05-0.00013859i,9.4591e-05+0.00028542i,-0.0004028+0.00011292i,-0.00051376+0.00017498i,-0.00019845+0.00083908i,-0.00018135+0.001019i,0.00013908+0.00065121i,0.00027205+0.00042034i,-0.00047443+0.00027286i,-0.00121+0.00043059i,-0.00039845+0.00071852i,1.5607e-05+0.00060096i,-0.00065276+0.00036517i,-0.00058281-0.00014488i,7.8489e-05-0.00015359i,0.00013345+0.00023651i
0.00067483+0.0022855i,0.0010386+0.0019138i,0.0011132-0.00017663i,0.0003534-0.0018484i,0.00019697-0.0017823i,0.00044742-0.0012161i,0.0008825-0.00041464i,0.001059+0.00044438i,0.00039372+0.00038609i,5.8064e-05+0.00021807i,-0.00029124+0.00011016i,-0.00065564+0.0001443i,-0.00070978+0.00053374i,-0.00055799+0.0010692i,-0.0003421+0.00086255i,0.00021237+0.0003377i,0.00024081+0.00010421i,-0.00010573-0.00037968i,8.3373e-05-0.00085847i,-6.6871e-05-0.00044039i,-0.00014357-0.00017193i,4.9894e-05+0.00025278i,0.00054178+0.00038187i
-0.0024204+0.0017552i,-0.0026983+0.0010093i,-0.0016082+0.00070837i,-0.00029781+0.00050946i,0.00036694-0.00036658i,0.00051712-0.00071641i,0.00066209-0.0012308i,0.0012372-0.002073i,0.00097558-0.0016148i,-0.00057806-0.00071691i,-0.00084204+0.00024665i,-0.00048536+0.00074018i,-0.00060101+0.00023273i,-0.0001139-0.00060298i,0.0001101-0.00056281i,1.6359e-05+0.0001369i,0.00070461+0.00074221i,0.00030022+0.00093381i,5.4615e-05+0.00046522i,0.00059193-0.00014061i,6.563e-06-0.00030403i,-0.00023189+0.00042307i,0.00043259+0.0011113i
0.00016592-0.0025195i,0.0013774-0.003591i,0.0016327-0.0036615i,0.00023864-0.0027799i,-0.00081891-0.0016952i,-0.0010152-0.00080165i,-0.00032339-0.0007343i,0.00098283-0.00062647i,0.00090102-0.00025259i,0.00010931-0.00055665i,-0.00034243-8.0171e-06i,-0.00086525+0.00055062i,-0.00099329+0.00047876i,-0.00034592+0.00020579i,0.00010938+0.0001266i,0.00037008+0.00015882i,0.00083173+0.00042761i,0.0011998+0.00050845i,0.00010979-8.6493e-05i,-0.00053552+6.4101e-05i,0.00019419+9.8493e-05i,0.00069864-0.00063169i,0.00095955-0.00037855i
0.0014912-0.0023853i,0.0014838-0.0010976i,0.0010489-0.00065255i,0.00035018-0.0018014i,8.4959e-05-0.0023328i,-8.6433e-06-0.0011254i,0.00012069-0.00060465i,0.00027658-0.00059633i,1.7744e-05-0.00082036i,-0.00037788-0.0012331i,-0.00056647-0.0010637i,-0.0004312-0.00047432i,-0.00044025-0.00043159i,-0.00088475-0.00036964i,-0.00064336+1.7975e-05i,-0.00017713-0.00038799i,2.5625e-05-0.0002475i,-0.00062022+0.00050474i,-0.00075607+7.2322e-05i,0.00014717-0.00052497i,0.00022263-0.00027983i,0.00022666+0.00050382i,-2.3513e-05+0.0010397i
0.001776-0.0013806i,0.0014979-0.00092886i,0.0010535-0.00082898i,0.0005836-0.001665i,-0.00018294-0.0022029i,5.4855e-06-0.0014653i,0.00031239-0.00079311i,-6.4059e-05-0.00038877i,0.00024319+0.00011422i,-8.6064e-05+0.00057742i,-0.00048858+0.00053458i,-0.00033465+0.00027199i,-0.00089991+0.00061936i,-0.0006543+0.00058236i,-3.7824e-05+0.00081968i,0.00019555+0.00089759i,-2.9592e-05+0.00058748i,-0.00032599+0.00071575i,-0.00040771+0.00084021i,-0.00083878+0.0001637i,-0.00098721-0.00066777i,-0.0006656-0.0003543i,-0.00074661+0.00066393i
0.0012779+0.0021701i,0.0016713+0.0020325i,0.001694+0.0010736i,0.0025156+0.00067145i,0.0024479-2.0952e-05i,0.001041-0.00083551i,0.00029035-0.00072838i,-9.1682e-05-0.00066157i,-1.7641e-05-0.00013549i,0.00040284+0.00094928i,-0.00020685+0.00099002i,-0.0011083+0.00017749i,-0.0013308-0.00029828i,-0.0013523-0.00036804i,-0.00072846-5.5165e-05i,-8.3888e-05+0.00022858i,0.00029404+0.00021898i,-0.00040055+0.00031931i,-0.00059498+0.00025132i,0.00017198-0.00034156i,1.2921e-05-0.00042564i,-5.8213e-05+0.00021087i,0.00038761+0.00031863i
-0.00033105+0.0022072i,0.00019158+0.0017182i,0.0012298+0.0009159i,0.0015849-0.00024702i,0.0012156-0.00096694i,0.00095134-0.0013085i,0.00057298-0.0014459i,0.0008797-0.00073776i,0.00095824-0.00046851i,-5.1375e-05-0.00034127i,-0.00063404-0.00016336i,-0.00039057-0.00045847i,-0.00079941-0.00038981i,-0.001317-0.00067525i,-0.00064212-0.00083817i,-5.0243e-05+0.00023787i,0.00015246+0.0015076i,1.6347e-07+0.0011083i,0.00019075+0.00023185i,0.0011778+8.8678e-05i,0.0013847+0.00036997i,0.00032101+0.00031164i,-3.6829e-05-0.00047617i
0.0001645-0.00016856i,6.0342e-05-0.00049715i,-2.392e-05-0.0015124i,0.00041069-0.0024872i,0.00031392-0.0021833i,-0.00035781-0.0013285i,-0.00076311-0.00070943i,-0.00035598-0.00059319i,0.0001701-0.00073016i,6.824e-06-0.00042149i,0.00015181+0.00032035i,-0.00058389+0.00071962i,-0.00077022+0.00022773i,-0.00014991-0.00051609i,-0.00061236-0.00076598i,-0.00035444-0.00075489i,-8.7877e-05-0.00082945i,-0.00039175-0.00058556i,-0.00051764+3.5578e-05i,-0.00012247+7.4365e-05i,-0.00020188-0.00026331i,-0.00020107-0.00021216i,-3.5062e-05-0.00034517i
