-0.00077314-0.00040337i,-0.0011314-0.00049443i,-0.0015845-0.00098167i,-0.0012622-0.00058318i,-0.00057449+0.00057053i,9.3507e-05+0.0010211i,0.00068839+0.0017017i,0.0015297+0.0021512i,0.00097494+0.0014351i,-9.4399e-05-0.00011258i,-0.00073184-0.0011019i,-0.0011376-0.00082137i,-0.00015343-0.00071363i,0.00058991-0.00024621i,-0.00020778+2.6263e-05i,-0.0004394+8.8017e-05i,-0.00010555-0.00022482i,0.00011051-0.00033035i,0.00022735+0.00047751i,0.00016263+0.0011438i,0.00069257+0.0010492i,0.00065784+0.00048917i,-0.00027152+0.00021941i
-0.0013435-0.00038849i,-0.0013776-0.0003199i,-0.00057388-0.0002935i,0.0014835+0.00048526i,0.0025068+0.00096924i,0.001543+0.00037836i,0.0004312-0.00092835i,-5.1422e-05-0.0012248i,0.00018515-0.00056501i,0.00057062+0.00037438i,0.00017844+0.00012089i,-0.00014831-0.00044467i,0.00020954+1.287e-05i,0.00029171-9.8154e-06i,-7.9273e-05-0.00042265i,-0.00020953-0.0008033i,-3.2408e-05-0.00092154i,8.0074e-05-0.00075734i,9.8287e-05-0.00052735i,-0.00041711-0.00027765i,-0.00055519-2.5861e-05i,6.6745e-05+0.00044895i,0.0011561+0.0011603i
0.00031159+2.4832e-05i,-0.00017215+0.00088848i,-0.00082679+0.00046147i,-0.00065561-0.00039964i,-0.0010115+0.00031808i,-0.00027618+0.00084066i,0.00026049+0.00026116i,0.00018276-0.00082825i,-2.0424e-05-0.00068775i,-0.0007536+0.00012552i,-0.00070564+0.00011559i,0.00019665+0.00058286i,0.00028826+0.00060717i,-0.00014716-0.0008426i,0.00042691-0.0012856i,0.00076669-0.00086689i,0.00060489-0.0002712i,0.00037344-0.00013749i,-9.8822e-05-0.00048912i,-0.00035443-0.00076008i,-0.00050622-0.00014584i,-0.00083811+6.9523e-05i,-0.00073026+0.00025915i
-0.00088723+0.00010103i,-0.0014222+0.000762i,-0.0007407+0.00092046i,0.0001368+0.0013131i,-6.1914e-05+0.0014562i,0.00062267+0.00082901i,0.0016893+0.00031137i,0.0013823-2.2593e-05i,0.00033992-0.00051966i,-0.00029099-0.00038886i,-0.00012785+0.0001783i,0.00064239+5.7915e-05i,0.0011787-9.545e-05i,0.001141-0.00016442i,0.00084704-0.00024242i,0.00095759-0.00076697i,0.00044257-0.0011683i,-0.00076477-4.9374e-05i,-0.00058031+0.0009642i,0.00015309+0.00044877i,-0.00027451-7.403e-05i,-0.00066208-0.00012412i,-0.00067354-0.00034283i
-0.0010366+0.00097789i,-0.00013587+0.00093222i,0.00042465+0.00099621i,0.00098445+0.0014608i,0.0014558+0.0012315i,0.0010956-0.00012468i,0.00019125-0.0015127i,-7.2685e-05-0.0011223i,0.00046072-6.3102e-05i,0.00041535-0.00021399i,-9.8449e-05+0.00019791i,0.00022014+0.0010439i,0.00024269+0.0008455i,-0.00047163-0.0004858i,-0.00043155-0.00066185i,7.5391e-05+7.5287e-05i,-0.00037446+5.7014e-05i,-0.00066055-0.00058418i,-0.00021057-0.0006475i,-7.4117e-05+3.6489e-05i,0.00047454-3.5315e-05i,0.00036479+2.548e-05i,-0.00039111-0.00010103i
0.00048603-2.0821e-05i,0.0010624-0.001044i,0.0010142-0.0018921i,0.00037915-0.0011578i,0.00021979-0.00015366i,0.00064025-0.00059581i,0.00062712-0.00021878i,0.00025111+0.00021612i,0.000195-6.1669e-05i,-0.00031075-0.00049208i,-0.0010665-0.0010487i,-0.00097027-0.00050564i,0.00018275+0.00033706i,0.00033047+0.00062521i,-0.00047641+0.0011078i,-0.00042473+0.00088159i,-0.00026435+0.00021321i,-1.1241e-05+0.00076636i,-3.7468e-05+0.0011868i,-0.00040277+0.00026516i,3.9788e-05-0.00045406i,0.00026351-0.00070301i,0.0007142-0.00094639i
2.1465e-05+0.00073568i,-0.00062345+0.00085584i,-0.001275+0.0020342i,-0.00060358+0.0019848i,0.0007102+0.00041074i,0.0016121-0.00043399i,0.00095199-0.00063433i,1.6306e-05-0.00023953i,-0.00013246+0.00011987i,0.00038671-0.00015896i,0.00076841-0.00033628i,0.0003091-0.00065875i,-8.8357e-05-0.0010025i,0.00032116-0.00098258i,0.00045073-0.0012884i,0.00023432-0.00041901i,3.5296e-05-0.00012857i,0.00021227-0.00069287i,0.0004119-0.00085422i,4.5123e-05-0.0011024i,-0.00019766-0.00085771i,0.00042856-0.00036469i,0.0010604+0.00011765i
-0.00062067+0.0013653i,-0.0004386+0.0011704i,0.0002344+0.00087882i,0.00031571+0.00025359i,0.00013616+0.00079202i,0.00026577+0.00017917i,0.00028759-0.001219i,0.00028196-0.001311i,0.00036964-0.00067564i,0.00032172-5.6109e-05i,0.00020911-0.00018871i,-0.00010239-0.00057061i,0.0001174-0.00067537i,0.00045628-0.00017965i,2.477e-05+0.00033215i,-0.00021682+5.3729e-05i,-0.0001126+6.3665e-05i,0.00031593-4.9458e-05i,0.00057836-0.00064143i,0.00033863-0.00075687i,2.5924e-05-0.00054073i,-0.00024681-0.00050271i,0.00023371-0.00037527i
-0.0019238-0.00057927i,-0.00051419+4.3748e-05i,0.001071+0.0010205i,0.001068+0.0013851i,0.00022411+0.00058344i,0.00051539-0.00016016i,0.00027922-0.00014237i,-3.5599e-05-6.7647e-05i,-0.00020849+0.00038196i,-0.00049381+5.6195e-05i,-0.00033905-5.8588e-05i,-0.0005335+8.0235e-05i,-0.00040844+0.00012466i,0.00010759-0.00038475i,0.00019751-0.00051498i,0.00061893-0.00036227i,0.00066295-0.00020456i,8.7329e-05+0.00042581i,-0.00017124+0.00077263i,-0.00034491+0.00078766i,-3.2289e-06+0.00013815i,0.0004969-6.675e-05i,-7.3015e-06-0.00017711i
-0.00041843-0.00045102i,-0.0009086-0.00059776i,-0.0013459-0.00034931i,-0.00022869+0.00029468i,0.0012347+0.00057845i,0.0016021-5.7641e-05i,0.0015636-0.00074993i,0.0010478-0.00042585i,2.707e-06+0.00034943i,0.00015542+0.0013086i,0.001365+0.0019352i,0.0015942+0.0014206i,0.00096251+0.00046278i,0.00083391+0.00024959i,0.0010562-0.00046754i,0.0012262-0.00074604i,0.00058162+4.6122e-05i,-0.00017133+0.00054861i,-0.00062743-3.6449e-05i,-0.00051815-0.0014497i,-0.00033817-0.0010387i,0.0004622-0.00033946i,0.0009917-0.00090929i
0.00048851+7.0524e-05i,-0.00016738-0.00027827i,-2.3873e-05-0.0012227i,-2.9844e-05-0.00092603i,4.4779e-05-0.00019359i,0.00078513-0.00064861i,0.0013019-0.0011163i,0.0014135-0.00035662i,0.001141-0.00018294i,0.00062434-0.00090096i,0.0002892-0.00064011i,0.0010149-0.00011063i,0.0012961-0.00069889i,7.0538e-05-0.0011502i,4.067e-06-0.00091708i,0.00016436-0.00069945i,-0.00030321-0.00085396i,0.00019163-0.00096582i,0.00055217-0.0007073i,0.00030227-0.0010032i,0.00025567-0.00053614i,-3.8365e-05+0.00016831i,0.00013283+0.00087597i
