0.00031094-0.00030164i,-0.00011129-8.8678e-05i,-0.0023782+0.00033819i,-0.0026654-0.00043541i,-0.0017844+0.00075308i,-0.0014372+0.0022579i,-0.0004494+0.0025943i,0.00043672+0.0018223i,0.00071193+0.0007333i,0.00032865-0.00024042i,0.00021529-0.0011193i,0.00051034-0.0013045i,0.00048364-0.00053813i,0.00043645-4.8276e-06i,0.000118+0.00032364i,0.00045486+0.00019726i,0.00085842-3.1236e-05i,0.00016513+0.00015715i,-0.00041923+0.00066927i,-0.00065018+0.00083693i,-0.00022677+0.00030125i,0.00022376-0.00043291i,0.00028378-0.00038703i
0.00019687-0.0012096i,-0.00052078-0.0017633i,-0.0018119-0.0015442i,-0.00078377-0.00015628i,0.00075233+0.00075597i,0.00088388+0.00081876i,0.00066049-0.00049498i,0.0006201-0.001143i,0.00010809-0.00060271i,-0.00090942-0.00047995i,-0.00064456-0.00026846i,-0.000332-6.0318e-06i,-0.00052541+0.00011326i,-0.00086537+0.00040755i,-0.00043083+0.00033612i,0.00012202+0.00021199i,0.00011469-5.2448e-05i,-0.00017786+0.00058404i,-0.00091218+0.00061151i,-0.0015182+0.00010371i,-0.0010011-0.00019677i,0.00019244-0.00022126i,0.00076006-0.00013617i
-0.0012618-0.0022964i,-0.0012547-0.0014069i,-0.0018625-0.00035699i,-0.0011736+0.000645i,0.00056212+0.0010708i,0.0013173+0.00082263i,0.0007514-4.8715e-05i,-0.00059-0.00040425i,-0.00089636-9.3695e-05i,-0.00040685+0.00011692i,-0.00054495-0.00039419i,-0.00064403-0.00027449i,0.00012402-0.00018218i,0.0010799-0.00031962i,0.00052199+0.0001634i,-0.00013255+0.00024801i,-1.7925e-05-0.00028697i,-0.00021685-0.00096105i,7.6189e-05-0.00083827i,0.00058761-7.4829e-05i,7.8225e-05+0.0002831i,-0.00054118+0.0001243i,-0.00013717+0.00058627i
0.00077647+0.00028722i,0.00040734-0.00084027i,-0.00018697-0.00047478i,0.00014831+0.00055144i,0.00019619+0.0018992i,5.7383e-05+0.0018001i,0.00015802+0.00074517i,-0.00023158+0.00052288i,-0.0007773+0.00029998i,-0.00055289+3.4057e-05i,0.00012795+0.00010011i,0.00057367+0.00011567i,0.00071866+2.4937e-05i,0.00095055+0.00021324i,0.00041578+0.0004352i,4.6615e-05+0.00048569i,4.8849e-05-0.00035277i,0.00043826-0.00073656i,0.00029504-0.00054883i,0.00052362-0.00033142i,0.00076967-9.8442e-06i,0.00043932-0.00017648i,0.00094013+0.00017437i
-0.0016716+4.4483e-05i,-0.0035159-6.9023e-05i,-0.0024111+0.00031736i,-0.00046027+0.0010171i,-0.00044111+0.0015296i,-0.0012069+0.000821i,-0.00066392+0.00019646i,0.00045798-0.00018128i,0.00010126-5.8608e-05i,0.00045001+0.00028292i,0.0013325+0.00050198i,0.00073149+0.00041484i,0.00028564-5.5058e-05i,0.00094228+8.7013e-05i,0.0010399+0.00045809i,-0.00016504-0.00022276i,-0.00069594-0.00047779i,-0.0002681-6.873e-05i,0.00019163-6.4309e-05i,0.00044591+0.00021669i,0.00083077-0.00030995i,0.0010228-0.00099665i,0.00051891-0.0010813i
-1.7362e-07-0.00059452i,5.2522e-05-0.00059739i,0.00034254-0.00031136i,0.00066695+1.1731e-05i,-0.00022731-0.00017751i,-0.00076774-0.00054115i,-0.0004391-0.00087892i,-0.00037299-0.0013635i,6.3786e-05-0.0013729i,0.00010978-0.00099068i,0.00013566-0.00053999i,2.5369e-05-3.0665e-05i,-0.0005346-0.00017442i,-0.00095601-0.00061239i,-0.00032226-0.00073243i,0.00045083+0.00026139i,0.0006041+0.00032396i,0.00075186-0.00018121i,0.00027716-3.2654e-05i,0.00016279+0.0007161i,0.00062986+0.00068745i,0.00035109+3.5956e-05i,-0.00018159+0.00040082i
0.001199+0.00034519i,0.0015491-0.0011929i,0.0013905-0.0010808i,0.00083506-0.00027047i,4.0475e-05+0.00052961i,-0.00036397+2.7619e-05i,-0.0006987-0.00066982i,-0.00050514-0.00058333i,8.4663e-05-0.0003186i,0.00030576-0.00046693i,0.00042151-0.00075102i,5.9043e-05-0.0010836i,0.00030153-0.00059342i,0.00020269-0.00018243i,-0.00018198-0.00094642i,5.6616e-05-0.00090733i,0.00048743-0.00027738i,0.0006275-5.0274e-05i,0.00051096+4.9808e-05i,0.00061553-0.00033972i,0.00077324-0.00040565i,0.00092018-0.00014135i,0.00029518-0.00033031i
0.0016309-5.2848e-05i,0.0010568+0.00045612i,-0.00044729+0.00038607i,-0.00058668+0.0001456i,-0.00045415+0.00030178i,-0.00043578+0.00042853i,-1.3073e-05+0.00064985i,9.6857e-05+0.00026631i,-0.00016348+6.5972e-05i,-0.00056335+0.00056267i,-7.0824e-05+0.00034785i,0.00021028+9.1963e-05i,-7.6246e-05+0.00063339i,-0.00050965+0.0013719i,-0.00086933+0.0011087i,3.977e-05+4.1773e-05i,0.00079613-9.5214e-05i,0.00057479+0.00016867i,0.00075326+0.00051735i,0.00064224+0.00052462i,-0.00024235+0.00059825i,-0.00056323+0.0013543i,0.00012384+0.00059289i
-0.0013064-0.00089308i,-0.0012411-0.0012816i,-0.001086-9.1783e-05i,-0.0010066+0.0008632i,-0.00075582+0.00052526i,0.00013885+5.0964e-06i,0.00040012-0.0005124i,0.0002139-0.00070607i,-7.4383e-05-0.00043552i,0.00016221-0.00034154i,0.00037445-0.00077412i,-0.00020107-0.0016164i,-0.00019335-0.0013761i,0.0004431-0.00065098i,0.00081494-0.00062896i,0.00017796-0.00074525i,-0.00021568-0.00061945i,-0.00018458-1.9714e-05i,-0.00044726+0.00041113i,-0.00071767+2.5564e-05i,-0.00080324-0.00039103i,-0.00031298+8.8098e-05i,0.00018969+0.00055347i
-0.00029556-0.00061994i,-0.0018697-0.0010745i,-0.0012584-0.00045083i,-0.0001409-5.7646e-05i,0.0011779-0.00039097i,0.0012043+0.00023983i,0.00062669+0.00011595i,3.1106e-06-0.00015216i,-0.00050377+0.00019568i,-0.00078928+0.00020506i,-0.00056239+0.00024331i,1.0091e-05+0.00010869i,0.0001258+0.00037183i,0.00051687+0.00040868i,0.00057037-0.00055119i,0.00044949-0.0010616i,0.00041646-0.0010864i,0.00038442-0.00058235i,0.0003074-0.00056955i,0.00011773-0.00063076i,0.00028668-6.0922e-05i,-0.00026495+5.599e-05i,-0.00017629+4.1805e-05i
0.0003519-0.00080407i,0.00070761-0.00051755i,0.00022165+0.00011532i,-0.00017576+0.00027967i,-0.00017724-2.8156e-05i,-0.00038045-0.00051487i,-0.00061969-0.0016169i,-0.00018185-0.0021738i,-0.00014639-0.0010753i,-0.00021481-7.3921e-05i,0.0006304+0.0003418i,0.00043044+0.00062122i,-0.00037048+0.00036084i,-3.1318e-05-0.00023181i,0.00013795-0.00034468i,0.00045284-1.0955e-05i,0.00064265+0.00065924i,-0.00016995+0.0010267i,-0.00065324+0.00065796i,-0.00047456+0.00054029i,-0.00060734+0.00035198i,-0.00028927-0.0004875i,0.00011171-0.0010461i
