0.00087126-0.00033647i,0.0020192-0.00069959i,0.0019804+1.699e-05i,0.00072942+0.0001078i,-0.00031884-9.6244e-05i,-0.0003401+0.00070172i,-0.00039551+0.001361i,0.00071993+0.0012577i,0.0015487+0.00099825i,0.00078884+0.00062136i,0.00053402-0.00037004i,-0.00011119-0.000415i,-0.00058067+0.0002553i,0.0001315-7.0277e-05i,0.00038181-0.00080892i,9.1805e-05-0.00048772i,0.00045453+0.00010016i,0.00033523-0.00049159i,-0.00026737-0.0010758i,-0.00052759-0.0011349i,-0.00038834-0.00083272i,-0.00018142-0.00050646i,-7.388e-05-0.00063554i
0.00026016-0.0011669i,0.00066532+5.4168e-05i,0.0012613+0.0003233i,0.00095445-0.00012556i,0.00097124-0.00025898i,0.0008145-2.9858e-05i,0.00069852-0.00070035i,0.00058393-0.0011838i,-5.5858e-05-0.00028851i,-0.00017642+0.00043368i,-0.00051312+0.00048142i,-0.0013733+0.0002136i,-0.001031-0.00041315i,-0.00024893-0.00013779i,0.00024148+0.00026504i,0.00069579+5.6593e-05i,0.00063726-3.6692e-05i,-0.00013034+0.00025502i,-0.00056914+0.00098234i,-0.00064065+0.0010201i,-0.00064114+0.00050143i,-8.8003e-05+0.00070784i,-5.6961e-05+0.0012526i
-0.0015244+0.0012303i,-0.00028393+5.0219e-05i,0.00073977+0.00029999i,0.0010818+0.00073247i,0.0010245+0.00030328i,0.00044191+0.00022095i,0.00052435+0.00025214i,0.0011268-0.00036634i,0.00053754-0.00082659i,0.0005088-0.00059149i,0.00061642+5.9824e-05i,-9.77e-06+0.00021375i,-5.1752e-05-0.00025552i,-0.00014173-0.00060894i,-0.00019971-2.8074e-05i,0.00055688+0.0005463i,0.0010643+0.00071335i,0.00079686+8.233e-05i,0.00039292-0.00030673i,0.00036522-0.00039376i,0.00078401-0.00059902i,0.00058416-0.00078252i,0.00035904-0.00098678i
0.00067463+0.00050509i,0.0010367+0.0011008i,0.0014919+0.00071651i,0.00052711+9.92e-05i,0.00018691+8.266e-05i,0.00014625+0.00027124i,-0.00030524+0.00025939i,-8.6569e-05-0.0004075i,0.00045511-0.00095264i,0.00059961-0.00027597i,0.00073101-0.00020555i,0.00066486-0.00073957i,0.00047064-0.00050366i,0.00030347-0.00032771i,0.0010103-1.5503e-05i,0.001088+0.00095557i,-0.00031117+0.00051803i,-0.0010603-0.00067054i,-0.00050326-0.00047614i,-0.00044958-0.00016074i,-0.00055368-0.00043222i,1.1057e-05+0.00018131i,0.00041207+0.00050236i
-0.00012706+0.0019397i,-0.00011679+0.0021276i,-0.0002305+0.0021762i,-0.0004774+0.0021967i,-0.00055214+0.0012729i,-0.00022324+0.00045681i,0.00021092+0.00055099i,0.00037639-0.00034708i,0.00017382-0.0011651i,0.00025292-0.00057732i,-0.00016851-0.00016108i,-0.001056-0.0010149i,-0.00065428-0.0012525i,-0.0001733-0.00017573i,4.6784e-05+0.00046819i,0.0010015+0.0006997i,0.001159+0.00049131i,0.00093011+0.00017845i,0.00061854+0.00036657i,4.6108e-05+0.00026868i,-9.7663e-05-7.5983e-05i,-0.00025726+1.0286e-05i,-8.1099e-05+0.00050405i
-0.00089213+0.0016105i,-0.0021423+0.0023628i,-0.00093697+0.0033097i,0.00052734+0.002712i,0.001001+0.00075682i,0.0013148-0.00056578i,0.00021414-0.0002884i,-0.00078252+0.00046346i,-0.00017845+0.00034409i,-1.8245e-05-0.00031571i,-4.3494e-05-0.00055679i,0.00013822+0.00024948i,0.00057241+0.0011201i,0.00083513+0.0010314i,0.00017188+0.00012239i,3.6211e-05-0.00057803i,0.00029864-0.00059478i,0.00050185-0.00036808i,0.00044557+0.00010353i,-0.00011726+8.8631e-05i,-0.00058889+0.00030206i,-0.00055298+0.00057661i,0.00010777+0.00055653i
0.00051253+0.00095393i,0.00076599+0.00026085i,0.00084894+0.00069902i,0.00052502-3.8011e-05i,0.0007438-0.0017906i,0.00073459-0.0014704i,0.00069321-0.00044374i,0.0010079+0.0001238i,0.00079019+0.00042691i,0.000159+0.0006447i,8.1743e-05+0.00027245i,0.00024389-5.803e-06i,0.00064886+0.0001344i,0.00023017+0.00061306i,8.4871e-05+0.0010275i,0.00091768+0.0005544i,0.0011585-0.00021411i,0.00086492-0.00060837i,0.0010792-0.00046973i,0.0010687-0.00077449i,0.00064129-0.001031i,9.3888e-05-0.00042675i,-0.00059238-5.4856e-05i
-0.00096887-0.00079743i,-0.00087462-0.0019073i,-0.0011845-0.0013363i,-0.0014582+0.00093764i,-0.0021312+0.0015118i,-0.0019753+0.0007488i,-0.0013219+0.000218i,-0.00097673+0.00026201i,-0.00023474+0.00045707i,-0.00054491+4.1203e-05i,-0.0010416-0.00044356i,-0.00056989-0.00037381i,-0.00020357-0.00038233i,-6.267e-05-0.00018453i,0.0001515-0.00013846i,0.00031241-0.0004188i,0.00034001-0.00038156i,0.00010149-0.00030533i,0.00041184+7.2668e-05i,-2.8409e-05+0.00066897i,-0.00015442+0.00046891i,0.00022658+0.00065808i,-0.00025233+0.0011857i
0.0033642-0.00013174i,0.0027123+0.00091969i,0.0021266+0.0020239i,0.0016287+0.00086379i,0.0020776-0.00091341i,0.0018319-0.0013128i,0.0015026-4.8426e-05i,0.0011037-0.00034353i,0.00077336-0.0014704i,0.00053271-0.0015194i,0.0011377-0.00072053i,0.0014271+0.00018862i,0.00083353-5.6247e-05i,0.00034402-0.00020736i,-0.00034368-2.6233e-05i,-0.00071782-0.00014277i,-0.0001457+0.00050104i,0.00035707+0.00086427i,0.00039937+0.00075853i,0.00062465+0.00045617i,0.00058235+0.00048971i,0.0005461+0.0010308i,0.00059989+0.00066042i
0.00098819-0.00018062i,0.00083079+5.0755e-05i,0.00069412-0.00056205i,0.00015113-0.0010955i,0.00064313-0.0013581i,0.0010092-0.0016226i,0.00015311-0.002059i,-1.6211e-06-0.0012765i,0.00041388+0.00010351i,0.00013655+0.00037324i,8.6814e-05+0.00034946i,-7.5336e-05-0.00027741i,-0.00084513+5.3859e-05i,-0.0013055+0.0005683i,-0.0015463+0.00042496i,-0.00090824+0.00033937i,-6.0238e-05+0.00022499i,0.00041893+0.00080154i,0.00037932+0.00075424i,0.00020026-0.00014172i,0.00027744-0.00058818i,-7.1215e-05-0.00027503i,-0.00039755+0.00027381i
-0.0035538+0.001634i,-0.0037858+0.0024004i,-0.0037481+0.0019199i,-0.0016265+0.0011553i,0.00050566+0.00097694i,0.00080052+4.2466e-05i,0.00015157-0.00025265i,-0.0006816+0.00013224i,-0.00060956+0.00072687i,0.00014385+0.0011204i,0.00023698+0.00074492i,-0.00042202+0.00075968i,-0.00035418+0.0010394i,0.00011118+0.00090516i,0.00028017+1.8324e-05i,5.1478e-05-0.00070903i,-0.00040765-0.00063849i,-0.0007983-0.00058801i,-0.00095158-0.00067279i,-0.00059751-8.4902e-05i,0.00039013+0.00036862i,0.00029692+7.9104e-05i,-5.6169e-05+0.00036149i
