0.0034124+0.00019672i,0.0034184-0.0016915i,0.0020708-0.0034664i,-0.0003831-0.0028278i,-0.0021195-0.0017477i,-0.0026011+0.00033666i,-0.0013658+0.001366i,-9.9588e-06+0.0011664i,0.0013713+0.00091867i,0.0012763-4.5357e-05i,0.00077408-0.00055797i,0.00046029-0.00094656i,-0.00039019-0.000574i,-0.00099804-0.00017097i,-0.00085169-0.00065132i,-0.00017422-0.00056245i,2.1037e-05-0.00033048i,-0.00034795+0.00013627i,-0.00078133-0.00036241i,-0.0011778-0.00094027i,-0.00075489+3.6462e-05i,-0.00058029+0.00095067i,-0.0013703+0.00039378i
0.00020615+0.00018217i,-0.0005866+0.00019639i,-0.00027413+0.00027753i,0.00084054+0.00099984i,0.0018479+0.0016308i,0.001499+0.0010142i,0.00065754+0.00115i,0.00014573+0.0016238i,-0.00071177+0.00068126i,-0.00035119-0.00047371i,0.00068085-0.00046455i,0.00048624-0.00049795i,0.00056925-0.0012862i,0.00054055-0.00086322i,0.00015969-4.8832e-05i,0.00038041-0.00058828i,0.00066094-0.00083976i,0.00096388-0.00049394i,0.00072508+2.9415e-05i,0.00021093-0.00019832i,-0.00014835-0.00049823i,-4.577e-05+3.6505e-05i,0.00022898+0.00015302i
0.0022297-0.00073168i,0.0029204-0.0018545i,0.0023209-0.002664i,0.00079893-0.0016433i,7.7042e-05-0.00040105i,-0.00010801+0.00045874i,-0.00027281+0.00036304i,-0.00040663+0.00015217i,-0.00020653+4.5315e-05i,0.00046243-0.0001224i,0.00048317+0.00016567i,-0.00034411+8.2139e-06i,-0.00062067+0.00037759i,-0.00016133+0.00046492i,0.00033836+2.7155e-05i,-6.062e-05+0.00048829i,-0.00029033+0.00010102i,0.00045003-0.001038i,0.00085372-0.0012773i,-0.00035606-0.00066649i,-0.00097602+1.4715e-05i,-0.00031719+0.00017314i,-0.00012563-0.00034007i
0.0005821+0.0012936i,6.7342e-05+0.00043464i,0.0007734-0.00089957i,0.00035125-0.001089i,-0.00077409-0.0015401i,-0.00058098-0.0014988i,-0.00022137-0.00088546i,0.00028985+0.00022992i,0.00065416+0.00082212i,6.6375e-05-0.00036014i,-0.00016516-0.00071707i,0.0002902-0.00036749i,0.0009414+0.00062957i,0.00079122+0.0012806i,0.00061032+0.00083518i,0.00066233+0.00039544i,0.00057299-0.00018318i,0.00039849-0.00054052i,1.9073e-05-0.00018962i,0.00025678+0.00063139i,0.00076821+0.00090701i,0.0006084+0.00032282i,0.00012492-0.00011859i
0.00019027+0.0021701i,0.00037115+0.0017861i,0.00050413+0.001831i,0.00092769+0.0020071i,0.0013723+0.0011831i,0.0011356-0.00011586i,0.0010049-2.4535e-06i,0.0015764+0.00037143i,0.001421+0.00077029i,0.001308+0.00075066i,0.0014356-0.00046314i,0.00070093-0.001048i,-0.00035831-0.00050018i,-0.00022529-0.00036762i,0.00041422-0.00023561i,0.00010933+0.00042367i,-0.00019568+0.0012769i,0.00037243+0.00097728i,0.00062358+0.00048115i,0.00068905-2.532e-05i,0.00072385-0.00016639i,0.00077145-0.00028336i,0.00075537-0.00061687i
0.0019015+0.00084256i,0.0022663+0.0015605i,0.0020863+0.00028696i,0.0015576-0.001156i,0.0012991-0.00079047i,0.0008736-0.00042262i,0.00043332-0.00090326i,0.00024864-0.00024958i,0.00059827+0.00029757i,0.0005324-9.6717e-05i,-2.8569e-05-0.00019192i,0.00043708-0.00019699i,0.00096051-0.00024667i,0.00030045-5.1162e-05i,-4.5957e-05-0.00024633i,0.00048063-0.00040722i,0.00063013-0.00025157i,0.00064081+0.00031766i,0.00029237+0.0012951i,3.4411e-05+0.00064755i,-0.00013439-0.00053758i,-0.00043407-0.00043238i,-0.00053798+6.9168e-05i
0.0014598+0.00033761i,0.0021774-0.00048964i,0.0028487-0.0014341i,0.00014753-0.0022537i,-0.00075572-0.0021429i,-3.6721e-05-0.00021479i,0.000532-9.1002e-05i,0.00015825-0.00023652i,0.00013269-3.6491e-05i,0.0009184-0.0011862i,0.00086326-0.0018088i,0.00031914-0.0013298i,0.00042527-0.00053022i,0.00063247+0.00042846i,0.00044802+0.00026982i,0.00023788+0.00026117i,0.00030396+0.00037644i,0.00079848+0.000389i,0.00076163+0.00023318i,0.00070023-0.00018017i,0.00079854+0.00027618i,0.00040242+0.0002257i,0.00020522-0.0001246i
0.0022252+0.0018212i,0.0021606+0.0019284i,0.0027543+0.00054729i,0.0024972-0.0011339i,0.001948-0.0022844i,0.0012303-0.0018113i,0.00093228-0.0005355i,0.00026349-0.00045208i,-0.0001147-0.00052488i,0.00068575-0.0002168i,0.00059379-0.00028304i,-0.00025222-3.4461e-05i,-0.00070243+0.00022096i,-0.00047922-0.00023903i,-0.00019588+0.00039488i,-0.00034414+0.0010333i,0.00016131+0.00016906i,0.00074042-4.8294e-05i,0.00041353-0.00015498i,-0.00014705-0.0007178i,-0.00014952-0.00057681i,0.00011661-0.0003536i,-0.00011869-0.00010287i
0.00041462+0.0014843i,-0.00086105+0.0013301i,0.00020109+0.00065076i,0.001269+3.5428e-05i,0.0011989-0.00054817i,0.0011897-0.00030177i,0.00052554-0.00014074i,0.00050139-7.1883e-05i,0.00083492+0.00032594i,0.00074805+0.00070253i,0.00026214+0.00050916i,-1.282e-05+0.00030994i,0.00017139+0.00046165i,0.00046226+0.00022464i,0.0005644-0.00071405i,0.00070587-0.0011256i,0.00019981-0.00041207i,-0.00026967+0.00021945i,-0.0006075+0.00052862i,-0.00041263+0.0001285i,0.00039543-0.00011657i,0.00069474+0.00047001i,5.316e-05+0.0005815i
0.0012284-0.0015577i,0.001722-0.0014096i,0.00065059-0.000833i,-0.00025657+0.00011608i,0.00095322+0.00098961i,0.0015929+0.001541i,-0.00012761+0.0015746i,-0.0013586+0.00093548i,-0.0011467+0.00028338i,-8.8741e-05+0.00024447i,0.00051914+0.00036895i,0.00022221+0.00029143i,0.00048356+0.00024498i,0.00065814-0.00016432i,0.0004959-0.00060939i,0.00041372-0.00023951i,0.00021649-0.00063939i,0.00059832-0.0014435i,0.0010184-0.0010166i,0.00029897+0.00032925i,-0.00059161+0.00036906i,-0.00048396+0.00020104i,-0.00022789+0.00082735i
-0.0013366+0.0022446i,-0.00012211+0.0019473i,0.00094416+0.0023188i,0.0014257+0.0016336i,0.0018866+0.00030068i,0.001549+8.1454e-05i,0.00088538-3.3383e-05i,0.00026502+0.00027686i,-0.00012967+0.00030786i,-0.00059995+0.00037111i,-0.00054729+0.00045623i,-0.00041138+0.00022712i,0.00030479+0.00022387i,0.00085776+0.00015921i,0.0012666-0.00024298i,0.001404-0.00060707i,0.00053837-0.00038726i,0.00023287+0.0002682i,0.00019608+0.00088693i,0.00050462+0.00094712i,0.00085892+0.00025299i,0.00063011-0.00040024i,0.0011462-0.00015773i
