0.0034124+0.00019672i,0.0034184-0.0016915i,0.0020708-0.0034664i,-0.0003831-0.0028278i,-0.0021195-0.0017477i,-0.0026011+0.00033666i,-0.0013658+0.001366i,-9.9588e-06+0.0011664i,0.0013713+0.00091867i,0.0012763-4.5357e-05i,0.00077408-0.00055797i,0.00046029-0.00094656i,-0.00039019-0.000574i,-0.00099804-0.00017097i,-0.00085169-0.00065132i,-0.00017422-0.00056245i,2.1037e-05-0.00033048i,-0.00034795+0.00013627i,-0.00078133-0.00036241i,-0.0011778-0.00094027i,-0.00075489+3.6462e-05i,-0.00058029+0.00095067i,-0.0013703+0.00039378i
0.00027512-0.00081941i,0.0013376-0.001721i,0.00075535-0.0018429i,-0.0001752-0.001303i,-0.00034149-0.00066668i,0.00032221-0.00013113i,0.00091021+0.00044794i,0.00074369-3.4829e-05i,0.00064104-0.00047728i,0.0002016-0.00058934i,-0.00041857-0.0006166i,-0.00052256-0.00079947i,-0.00013716-4.3878e-05i,0.00018711+0.00053051i,-2.6374e-05+0.00043287i,-0.00060089+0.00076124i,-0.00068475+0.00041812i,-0.00044602+0.00012233i,-0.00040636+8.967e-05i,-0.00021871-0.0002451i,0.00025107+0.00064115i,0.0006405+0.00033452i,0.0004087-0.00069014i
-0.00048525+0.00095737i,-0.00035957+0.0014879i,6.4602e-05+0.0017425i,-0.00031201+0.00092737i,-0.00065784-0.00026176i,0.00046106-0.00095183i,0.00079655-0.0009336i,0.00046521-0.00083727i,0.0010741-0.00048949i,0.0014585+0.00031703i,0.00076663+0.00026264i,-0.00025297-0.000127i,-0.00039998-0.00025093i,0.00065756-0.00058948i,0.00099537-0.00063904i,0.00026525-0.00052244i,-8.1291e-05-0.00014302i,-0.00047941+0.00022862i,-0.00045443+0.00081174i,-0.00012341+0.000849i,-0.0005506+0.00011146i,-0.00080457+0.00011949i,-0.00056298+0.00019524i
-0.00067545+0.00014586i,-0.0015931-0.00099989i,-0.0014974-0.00066245i,-0.0015773+0.00011222i,-0.0014935-0.00018846i,-0.0011486-0.00018979i,-0.00066668+0.00019046i,-0.00022373+8.1523e-05i,-0.00027548-0.00050714i,-0.00012745-0.0010998i,0.00053858-0.00035065i,0.00054456+0.00041846i,0.00024048-0.00022183i,6.169e-07+9.0931e-05i,-0.00048473+0.00051575i,-0.00078685-0.00026728i,-0.00025761-0.00062845i,-5.6686e-05-5.3886e-05i,6.0601e-05+7.0933e-06i,0.00051882+6.0443e-05i,0.00026866+0.00077434i,5.7377e-05+0.0007849i,0.00022902+0.00011902i
-0.00066747+0.00030039i,-0.001157+0.00038455i,-0.00054064+0.00096195i,6.157e-05+0.00036525i,0.0001866-3.8285e-05i,0.00067104-4.2125e-05i,0.00095373-0.00042304i,0.00062764-0.00035237i,0.00043456+0.00067142i,0.0005821+0.0005919i,0.00060453+0.00010974i,0.00078445+0.00056559i,0.00063796+0.0003323i,0.00041302+0.00026474i,0.00057222+0.00038138i,0.00051413-0.0002753i,0.00092102-0.00077388i,0.00076606-0.00035162i,5.0716e-05-0.00058108i,-0.00012924-0.00020889i,-0.00059406+0.00027153i,-0.00064747-1.6236e-06i,0.00037717+0.00010593i
-0.00071625+0.00041167i,-0.001264+0.00011092i,-0.001311+0.0010441i,0.00017572+0.0012891i,0.0014871+0.0011016i,0.0015432+0.0013584i,0.00078807+0.00063561i,0.00052067+0.00047126i,0.00090958+0.00040925i,0.00067542+0.00032965i,-6.796e-05+0.00041065i,0.0002555+0.00012045i,0.00016006+5.5144e-05i,0.00044115-0.00021814i,0.00066624-0.00051012i,-0.00028817+7.746e-05i,-0.00054038+0.0002059i,-0.00049842+0.00013398i,-7.5263e-05+0.0001735i,0.00042123+0.00028386i,-2.8793e-05+0.00037761i,0.00036021-0.00015913i,0.00058671-0.00046385i
0.0011845+0.0016136i,0.0015037+0.001623i,0.0019524+0.00060938i,0.0019249-0.0010436i,0.00097331-0.0023573i,0.0005096-0.0025182i,0.00093352-0.00085861i,0.00053103+0.00049538i,0.00074832+0.00071721i,0.0013223+0.00037664i,0.0011782-0.00016523i,0.00053303+6.1683e-05i,-0.00020685-0.00036864i,-0.00021299-0.00055875i,-0.00064449+7.7718e-05i,-0.00069349+0.00037016i,-0.00060126+9.4971e-05i,-6.5689e-05-0.00029126i,-2.5925e-05-6.07e-05i,-0.00012526+0.00023477i,0.00014288+0.00060959i,0.00052017+0.0011294i,0.00074046+0.0012203i
0.001323-0.00092684i,0.0011169-0.0012217i,0.00041705-0.0016984i,-0.00064246-0.00052607i,-0.00050616-0.0002457i,0.00074386-0.00025552i,0.0013309+0.00059961i,0.00050662+0.0018454i,-0.00024098+0.001411i,6.1969e-05+0.0007155i,7.0103e-05+0.00080202i,-0.00029326+0.0006404i,0.00025486-3.4416e-05i,0.00059625-9.1702e-05i,0.00057827+0.00072731i,0.0004842+0.0007228i,-0.00033109-0.00046347i,-5.3684e-05-0.00011808i,0.00054958+0.00095868i,0.00030122+0.0004446i,0.00021747+0.00017234i,9.0435e-05+0.00060065i,-0.00018718+0.00017103i
-5.5402e-05+0.0011296i,0.00043844+0.0018607i,0.0013693+0.0019136i,0.0010838+0.0006034i,0.00024611-0.00051346i,0.00080052-0.00084361i,0.0010751-8.1403e-06i,0.00061396+0.00059875i,0.0010258+0.00032534i,0.0012789+0.00017812i,0.00049097-0.00011722i,0.00084956+0.00014262i,0.00066131+0.00070438i,-0.00097592+0.00056019i,-0.00052038-5.2556e-05i,4.5837e-05-0.00049793i,-0.00022795-0.00049993i,0.00026446-5.7564e-05i,0.00073249+0.00012779i,0.00080898+0.00018266i,0.00070941+0.00025112i,0.00028794-7.3518e-05i,0.0008068-0.00044087i
-0.00071649+0.0015286i,0.00022579+0.0023443i,0.00083122+0.0015948i,0.00038381-0.00026513i,0.0011288-0.0013168i,0.0015444-0.00039409i,0.00079885-0.00023426i,0.00079038-0.00053206i,0.0011893-0.00045217i,0.0013747-0.00021466i,0.00079639-0.00049135i,-0.00025315-0.0005818i,-0.00079184-0.00024668i,-0.00050319-0.00016948i,-6.0172e-05+0.00014539i,0.00044751+1.479e-05i,0.0006154+4.5761e-05i,5.4456e-06+0.00045397i,0.00029396+0.00053117i,0.00066815+0.00054066i,0.00097079+0.00011487i,0.001243+4.6026e-05i,0.00079863-0.00029216i
0.00060835-0.00062715i,0.00013883-0.0002099i,-0.000376-8.2121e-07i,0.00031213-0.00010677i,0.00060258+0.00029772i,0.00024916+0.00048726i,1.2744e-05+0.0009884i,-0.00022135+0.0011036i,-0.0010344+0.0013849i,-0.0010582+0.0012423i,-0.00022016+0.00027369i,-0.00012304-0.00026408i,-0.00074726-0.00025845i,-0.00045483-0.00025597i,8.9403e-05-0.00017948i,0.00015579-0.00031249i,0.00049794-7.4713e-05i,0.00069599+0.00028539i,0.00055285+0.00040374i,0.0002883+0.0002855i,-0.00025199+0.00019961i,-0.00064963+2.1456e-05i,8.8414e-05-0.0002816i
-0.0025566-0.00044288i,-0.0026518+1.7116e-05i,-0.0020368+0.0015462i,-9.1148e-05+0.0021483i,0.0014391+0.0017224i,0.0021167+0.00085532i,0.0020554-0.0003264i,0.00084354-0.00037039i,-0.00081443+0.0004412i,-0.0010493+0.00067143i,7.3695e-05-2.7008e-05i,0.0010464-0.000328i,0.0015756-0.00037142i,0.0010053-0.00071409i,8.1449e-05-0.00030597i,0.0003331-0.00013339i,0.00071057-0.00037519i,0.00080162-0.00077449i,0.00074014+2.1807e-05i,0.00032474+0.00095i,-0.00028706+0.00094094i,-0.00022144+0.00078961i,-0.00053098+0.00032288i
0.0010852-0.00027094i,0.0011783-0.00054255i,0.00022955-0.000703i,-0.00098439-0.0011898i,-0.00080947-0.00072242i,0.00025961+0.00057332i,0.0012476+0.0012453i,0.0010965+0.00053799i,0.0010907-0.00065391i,0.00084462-0.00051011i,0.0002655-6.2471e-05i,-0.00028824-0.00045531i,-0.00083079-0.00030391i,-0.00062543-0.00012528i,0.00039185-0.00050293i,0.00078027-2.5675e-05i,0.00049957+0.00021669i,-5.2099e-05-0.00056742i,-0.00027588-0.00071022i,-0.00014021-0.00078086i,-0.00035453-0.0003825i,-0.00059158-0.00014484i,-0.00071607-0.00069039i
-0.0013539+0.0012076i,-0.0015106+0.00026066i,-0.0012423+0.00030632i,-0.00013288+0.0019413i,0.00031813+0.0022123i,0.00033471+0.0010956i,-9.6853e-05-0.00028968i,-0.00041778-0.00069947i,0.00011499-0.0003121i,0.00054581-0.00030436i,0.00040727-9.367e-05i,-0.0001891+0.00085539i,-0.00039392+0.00086734i,0.00036754+0.00012968i,0.0007219+0.00016157i,0.00088608+0.00051481i,0.000773+0.00085819i,0.0005433+0.00032539i,0.00048989+0.00026759i,0.00048766+0.00048144i,0.00079443+0.00064281i,0.00035897+0.00072125i,-0.00040336+6.2667e-05i
-5.5065e-05-0.00020475i,0.00078009+0.00036597i,0.0017046+0.00074144i,0.0014898-0.00055879i,0.00091436-0.0015603i,0.00099005-0.0010115i,0.00078719-0.0005023i,0.00073895-5.6699e-06i,1.1235e-05+0.00036356i,0.00017187-0.00032361i,0.00081161-0.00034727i,0.00046385+3.1417e-05i,0.00035184-0.00059353i,0.00051547-0.0010764i,0.00033911+0.00015233i,-8.2334e-05+0.001017i,-0.00051347+0.00065455i,-0.00024305+0.00086144i,9.058e-05+0.00053156i,-0.00023803+4.7147e-05i,6.6765e-05+3.371e-05i,0.00056366-9.1874e-05i,0.00053736-0.00051684i
0.0019694+0.00080283i,0.0019653+0.0011976i,0.0013767+0.00063812i,0.00094422-0.0004323i,0.00016438-0.00031015i,-0.00065223+0.00068034i,-0.00053445+0.00065232i,-9.105e-05+0.00016766i,-0.00021261+0.00060935i,0.00034887+0.00050406i,3.0128e-05-2.2307e-06i,-0.00037843-0.00033193i,0.00046675-0.001069i,0.00093489-0.00076052i,-0.00025616-9.0102e-05i,-0.00081168-0.00014316i,7.8131e-05+0.00035337i,0.0001382+0.0008057i,0.00020573+0.00088731i,0.00035563+0.000772i,0.00017515+0.00052491i,-0.00019597+0.0006972i,-0.00022363+0.00035258i
-0.0007944-0.00082549i,-0.00062136-0.0014049i,-0.00050132-0.0011268i,0.0006818+0.00030566i,0.001397+0.00076693i,0.00061983+0.00032839i,-0.0001372-8.4818e-05i,9.8147e-05+5.2702e-05i,0.00024541-0.0001781i,0.00043781-9.6674e-05i,0.00069075+0.0001368i,0.00024782+0.00010761i,-0.00023419-0.00014673i,-0.00048751-3.0167e-06i,-0.00070615+0.00048955i,-0.00066493+7.6861e-05i,-0.00057994-0.00029607i,-0.00050909+4.8804e-05i,-0.00019287+0.00043256i,-0.00012802+0.00035843i,-0.00025243+4.0519e-05i,-0.00043851-0.00033615i,-0.00022492-8.1323e-07i
0.00066269+0.00072872i,0.0017453+0.0012771i,0.0013102+0.00089188i,0.0015031-8.967e-05i,0.0018506-0.00047578i,0.0013541-0.00092798i,0.0011199-0.0010073i,0.00078952-0.00067524i,0.00010437-0.00065983i,0.0001308-0.00066792i,0.00024707-0.00018924i,0.00026452+0.00029888i,0.00042238-6.35e-05i,0.00019276-0.0003621i,0.00012515-0.00061204i,0.00097127+0.00028314i,0.00068453+0.0014523i,7.2252e-05+0.0010942i,0.00072396-7.1909e-05i,0.0011359+1.2225e-05i,0.00061774+0.00078349i,-0.00015108+0.0010932i,-0.00035236+0.0014746i
-7.1261e-05-0.0019472i,0.00019349-0.00087804i,-0.00079984-0.00015758i,-0.0016199+0.00066431i,-0.0010308+0.00076779i,0.001041+0.0010644i,0.0020621+0.0014796i,0.0010808+0.0015248i,0.00071435+0.0012925i,0.0011899+0.0012905i,0.0012338+0.00078677i,0.00057106-0.00011267i,0.00050452-0.00056817i,0.00066549-0.00024506i,0.00036812+0.00053072i,-7.1145e-05+0.0010417i,5.9815e-06+0.0010333i,-9.4602e-06+0.00074104i,-0.00032344+0.0006496i,2.7636e-05+0.00042159i,0.00045586+0.00060902i,0.00035068+0.00016492i,0.00036623-0.00056444i
0.001019+0.00062855i,0.00070814-0.00061137i,0.00074904-0.0012657i,0.00088263-0.00034651i,0.00027621-0.00033404i,0.00045542-0.00053147i,0.0010545+0.00010733i,0.00098454+0.00050947i,0.00031501+0.00035763i,0.0007317+0.00030816i,0.00091118+0.00040189i,0.000265+0.00091653i,1.9032e-06+0.00081704i,-0.00062442+0.00013904i,-0.00025705-3.1123e-05i,-7.9113e-05-1.6458e-05i,-0.00025336+4.559e-05i,0.00026495-0.00020536i,0.00023556+0.00039199i,-0.00020608+0.00073514i,-0.0005938+0.00041778i,-0.0006912+0.00051844i,0.00017972+0.00082565i
-0.00038561+0.00057097i,0.00028167-0.00057649i,0.0011107-0.00048416i,0.0013167+0.00050799i,0.00088743+0.00016148i,0.00090723+6.5895e-05i,0.0010371+0.00022442i,0.00032648+8.9402e-06i,-0.00042074-0.00064739i,-0.00024676-0.001232i,-0.00033899-0.00072354i,0.00018024-0.00039092i,0.00096014-0.00060292i,0.00068835-0.00082409i,-2.7128e-05-0.00067951i,-0.00051911-0.00033051i,-0.00030168-0.00027452i,0.00031533-0.0002757i,-0.00011139-0.00010102i,-0.00099042-1.4642e-05i,-0.00028627-0.00036308i,0.00088198-0.00022073i,0.0013113-0.00024917i
0.00080235+0.0014296i,0.0013274+0.00051148i,0.0013001-0.00033113i,0.0011704-0.0011847i,0.00078847-0.0010467i,0.00091065-0.00062668i,0.0013928-4.4753e-05i,0.001309-9.1245e-05i,0.00081204-0.00036682i,0.00025837-0.00081151i,-0.00013668-0.0012741i,-0.00027494-0.00097135i,-3.8557e-05-0.00025224i,-0.00011821-0.00038673i,-0.00026166-0.00069613i,-0.00025989-0.000763i,8.6497e-05-0.0009696i,0.00042512-0.000413i,-0.00046956+0.00021538i,-0.00086143+7.2562e-05i,-0.0004365-0.00026107i,-0.00030736+6.7942e-06i,0.0007114+0.00033044i
-0.00282+0.0014686i,-0.0025845+0.00080022i,-0.0010002+0.0018874i,0.001175+0.0024481i,0.001586+0.0013443i,0.0017048-8.9106e-05i,0.0018688-0.00039093i,0.00040622+0.0001606i,-0.00055918+0.00074993i,-0.00029644+0.00069351i,0.00094488-0.00011634i,0.001707-0.00054987i,0.0007239-0.00019928i,-0.00061018-0.00030065i,-0.00089279-0.00074788i,-0.00072694-0.00063428i,-0.00062138-0.00047077i,-0.00094947-0.00030243i,-0.0010973-0.00076437i,-0.00059695-0.0001823i,-0.00019938+0.00019018i,-6.7581e-06-0.00016059i,7.2057e-05+0.00029163i
0.0010174+0.001085i,0.00024256+0.00069336i,0.00083846-0.00057835i,0.0012187-0.0011689i,0.0013306-0.00054095i,0.0018553+0.00062949i,0.0014165+0.0011008i,0.00046139+0.00054957i,0.00056806+7.1964e-05i,0.00065027-0.00025061i,0.00038334-0.00084117i,0.00036067-0.00055735i,0.0010414-0.00047001i,0.00080293-0.00080992i,-0.00015307-0.00028497i,-0.00093966-0.00014898i,-0.00081286-0.00010185i,-0.00025212-3.2318e-05i,-7.5784e-05-5.8367e-05i,-9.4429e-05+0.00024233i,0.00020144+5.5446e-05i,4.2801e-05-1.1595e-05i,-0.00053338-0.0001454i
-0.00056752+0.001906i,1.5893e-06+0.0014524i,0.0012946+0.0019608i,0.00094712+0.0013858i,0.0007446+0.00044525i,0.0010788-0.00024479i,0.0013281-0.0008998i,0.00090182-0.00061321i,0.00072481+0.00049484i,-5.901e-05+0.00046687i,-0.00057463+0.00061821i,5.6386e-05+0.00070611i,0.00086252+0.00012737i,0.00036782-0.00011451i,0.00010749-0.00031871i,0.00068767-0.00016151i,0.00033741+0.00061089i,-0.000268+0.00040894i,-0.00033366-0.00036496i,0.00066547-9.2315e-05i,0.00086992+0.0007133i,0.00036304+0.00089634i,0.00043963+0.00051682i
-0.0019195-1.3446e-05i,-0.0013994-0.00011728i,-0.001035+0.0013931i,-0.0004014+0.0008582i,0.00071714+0.00096679i,0.0016191+0.0011216i,0.0013788+0.00032252i,0.00052228-0.00012408i,0.00027241-0.00042983i,0.00020949-0.0003905i,0.00011304-0.00011465i,-1.0397e-05-0.00020658i,-0.000381-0.00015482i,-0.00035894+9.2399e-05i,0.00012536+7.1352e-05i,5.4318e-05-9.0449e-05i,-0.00020291+0.00023106i,-0.00019517+0.00056183i,-0.00096118+0.0001872i,-0.0011365+0.00032303i,-0.00091221-3.1948e-05i,-0.0007462-0.00033929i,-6.9113e-05+0.0001844i
0.0013431+0.0013939i,0.00012723+0.0016637i,0.0010712+0.000639i,0.0021555-0.0011204i,0.0016957-0.0020899i,0.00069401-0.0015614i,-0.00023551-3.2889e-05i,0.000128+0.00059537i,0.0002476+0.0003335i,0.00067891-0.00043626i,0.0011105-0.00081259i,0.0007551-1.4963e-05i,-2.0101e-05+0.00080615i,-0.00052799+0.00072262i,6.0201e-05+7.5194e-05i,0.00075064+0.00033555i,0.00030845+0.0010342i,-0.00036013+0.0010592i,-0.00048005+0.0010524i,-0.00052413+0.00065055i,-0.00033335+0.00021085i,0.00021527+0.00028234i,0.00055312+6.9864e-05i
-0.0004817-0.0011i,-0.00055754-4.6709e-05i,-0.0018445+5.8439e-05i,-0.00061652-0.0002315i,0.0015231+0.00085228i,0.0021942+0.0010865i,0.0021542+0.00077561i,0.0011941+0.00051959i,0.00041448-2.1876e-05i,0.00065813+0.00060178i,0.00042129+0.00037446i,0.00013826+1.2076e-05i,0.00041044+0.00035072i,0.00020561+0.00015506i,-0.0002937+8.0396e-05i,-0.00033091+0.00029755i,5.3488e-05+0.00062651i,-5.6137e-05+0.00051266i,-0.00013171-0.00021239i,-0.00011097-4.3336e-05i,0.00050031+0.00010533i,0.00086736+0.00016681i,0.00021508+0.00021241i
0.0014252+0.00055556i,0.0021705-0.00036473i,0.0017852-0.001915i,-2.3592e-05-0.0015884i,-0.00054661-0.00092313i,0.00093951+0.00021258i,0.0012151+0.0010412i,0.00047409+0.00055436i,0.00025108-6.567e-05i,0.00049203-0.00033833i,0.00080667-0.00027563i,0.00046694+0.00051105i,-0.00026104+0.0014306i,-0.0001932+0.0010726i,-0.00030643+0.00027912i,-0.00019708-2.4114e-05i,0.0001007-0.00038003i,-0.00027043-0.00039238i,-1.2769e-06+0.00019599i,0.00053127+0.0001527i,0.00044697-0.00033397i,0.00023794-0.00083942i,0.000686-0.00089318i
0.00035611+0.0037309i,0.0002063+0.003042i,0.0012652+0.0027939i,0.0022432+0.00055904i,0.0020015-0.0010751i,0.00073128-0.0011447i,0.00032715-7.0787e-05i,0.0012293+0.00053638i,0.0016131+0.00048656i,0.0014074-0.00033001i,0.00093465-0.0013638i,0.00035792-0.0015008i,-0.00014631-0.0015694i,-0.00044135-0.0010914i,-0.00077966-0.00088304i,-0.00053658-0.0010055i,-0.00048981-0.00036716i,-0.00083596+0.00040463i,-0.00038614+0.00027666i,3.4621e-05+0.00016464i,-1.0036e-05+0.00053236i,-0.00052739+0.00032057i,-0.00032931-0.00058845i
-0.00045013-0.0020438i,-0.00066708-0.0015469i,-0.00058183-3.6056e-05i,-0.00028897+0.00096625i,0.00038845+0.0016635i,0.00064974+0.0021787i,0.00067489+0.0014494i,0.00030251+0.00042739i,-0.00053852+0.00026157i,-0.0007412-2.6032e-05i,-0.0003783-0.00039928i,-7.8192e-05-6.4775e-05i,0.00031862+0.00012285i,0.00047037+0.000132i,-0.00025765+0.00012035i,-0.00020412-0.00025085i,0.00011365-0.00022415i,0.00019251-0.00012796i,-5.1331e-05-8.3629e-05i,0.00048516-0.0002445i,0.00079785-0.00048784i,5.7281e-05+0.00013631i,-0.00028746+0.00014163i
9.169e-05+0.0004683i,0.00024227+0.0003749i,0.0008578+0.00043539i,0.00043379-0.00046382i,-0.00040473-0.00042749i,-0.00098427-0.00035907i,6.51e-05-0.00019065i,0.0006318+0.00028411i,0.00027729+0.00060563i,7.9505e-06+0.0013518i,0.00017694+0.0010945i,0.00053604-2.0481e-06i,5.5506e-06-0.00093404i,9.5328e-05-0.00086273i,0.00028311-0.00013806i,0.0003196+0.00016637i,0.0005672+0.00024333i,0.0012813-0.00011101i,0.001238-0.00022974i,7.2538e-05+0.00033087i,-0.00038263+0.00037308i,-0.0009236+0.0003628i,-0.0012485+0.00061819i
-0.00054808-0.00050054i,-0.00010555-0.00039689i,2.8346e-05-0.00057901i,9.7975e-05-0.00019322i,0.00047588+0.00027182i,0.0011867+3.8796e-05i,0.0014293-0.00049952i,0.00080967-0.0002919i,0.00012266-5.0159e-05i,0.00053624-0.00031981i,0.000633-0.00040283i,0.00032308-0.00024049i,0.0010974+0.00034921i,0.0014357+0.00079117i,0.0011705+0.00072917i,0.0012276+0.00012693i,0.0010157-0.00064217i,0.00036761-0.00066369i,0.00026068-4.133e-05i,0.00053452+0.00069568i,9.0122e-05+0.00057889i,-0.00010274-6.515e-05i,-0.00012212-0.0005545i
