-0.0022015-0.00036557i,-0.00098688+0.0011231i,-0.0017036+0.0024549i,-0.002464+0.0024775i,-0.0026435+0.0026807i,-0.0024788+0.0028295i,-0.0016757+0.0010976i,-0.001235+0.0002446i,-0.0017739+0.00037781i,-0.0012882+0.00089356i,5.3071e-05+0.0005543i,0.0011855-0.00088393i,0.0015103-0.0013575i,0.0008127-0.0015071i,0.000246-0.0017547i,-0.00015114-0.001029i,-0.00031447-0.00070571i,-0.00014373-0.0010005i,3.0731e-05-0.00063773i,-0.00055424-0.00014179i,-0.00040504+7.6381e-05i,0.00010055+5.0424e-05i,0.0002656-0.00029483i
-0.0013976-0.0019301i,-0.0014691-0.0015943i,-0.0012661-0.001107i,-0.0018537-0.00020149i,-0.0030753+0.0013092i,-0.0027852+0.0021364i,-0.0014348+0.0010538i,-0.0012157-0.00040411i,-0.0019757-0.00071462i,-0.0021404+0.00012502i,-0.0014467+6.4495e-05i,-0.00023176-0.00051901i,0.00030685-0.00047068i,0.000375-0.0010215i,0.00048021-0.0018283i,0.00026834-0.0016541i,-0.00033613-0.00053651i,-0.00076992-3.2906e-05i,-0.0002976-0.00016509i,0.00019657-0.00029415i,0.00064523+5.3784e-05i,9.0554e-06+0.00011333i,-0.00030039-0.00020202i
0.00094502+0.00017718i,0.0010777+0.001869i,-0.00054279+0.0013065i,-0.001457+0.00043531i,-0.0012892+0.00078027i,-0.00076958+0.0012299i,-0.00048669+0.00042316i,-0.00085377-0.0001964i,-0.0013679-0.00055515i,-0.0013889-0.00075034i,-0.00042427-0.00061614i,2.3006e-05-0.00036317i,-7.2834e-05+0.00014982i,1.2931e-05+0.00032442i,-0.00053845+0.00024206i,-0.001309-0.00043109i,-0.0012763-0.00059093i,-0.00026471-0.00056508i,7.0575e-05-0.00096373i,0.0004656-0.00018445i,0.00073347+0.00057834i,0.00042386+0.00050172i,0.00016431+0.00059051i
0.0018881+0.0017879i,0.0012637-0.00034225i,0.0016823-0.0026334i,0.00044859-0.0033807i,-0.0015228-0.0025914i,-0.002612-0.0011727i,-0.0024142-0.00013235i,-0.0010548-0.00043607i,-0.00018208-0.000823i,-0.00042586-0.00043536i,-0.00075747-0.00093038i,-0.00075136-0.00087103i,-0.0003056+0.00014027i,-0.00046612+0.0008925i,-0.00025295+3.1786e-05i,0.00036147-0.00097607i,0.00023899-0.0016823i,-9.3082e-05-0.0019139i,0.00011428-0.00095683i,4.9344e-05+9.0793e-05i,-0.0006007+0.00089754i,-0.00030627+0.00014259i,-9.528e-07-0.00058926i
-0.00055691+0.00018683i,-0.00039057+0.0013773i,0.00030509+0.0012126i,0.0006092+0.0018852i,-0.00031581+0.0019563i,-0.00064418+0.0002272i,-0.00064839-0.0012288i,-0.0012219-0.0016138i,-0.0016223-0.0015173i,-0.0012455-0.0010886i,-0.00065642-0.00043842i,-0.00010429-0.00017352i,0.00024041-0.00038726i,0.00075754-0.0011969i,0.00097686-0.001371i,0.00090697-0.0010905i,0.00075438-0.00071512i,9.1773e-05-0.00074792i,-0.00020296-0.0010637i,0.0001644-0.00080429i,-1.0237e-06-0.00019443i,0.00028678+8.0915e-06i,0.00088254+0.00033691i
-0.0014314+1.1112e-06i,-0.0018474+0.00047776i,-0.0019414+0.00092524i,-0.0013563+0.0013779i,-0.0021567+0.0011807i,-0.0017139+0.00087392i,0.00043392+0.0012525i,0.00044244+0.00044352i,-0.0011752-0.0005138i,-0.0016031-0.00060709i,-0.00076763+5.9635e-05i,-0.00034385+0.0005478i,-5.4832e-05+5.6353e-05i,0.0003219-0.00085897i,0.00051312-0.00095062i,0.00065934-0.0010644i,0.0003851-0.00063967i,-2.5773e-05+6.1227e-05i,0.00020538-0.00022923i,0.00037091-0.00015648i,-0.00018085+0.00064207i,-0.00013938+0.00082662i,6.2494e-05+0.0011931i
9.7143e-05+0.00095878i,0.00027245+0.0010161i,0.00077266+0.00018076i,0.00029071-0.00044922i,-0.0014021-0.00016907i,-0.0014446+0.00084357i,-0.00028943+0.0011934i,-0.00061409+0.00039549i,-0.00045336-0.00041269i,-0.00016582-0.0004984i,-0.00028431-0.00027885i,0.00033774-0.00021294i,0.00018566+0.00030587i,-0.00043865+0.0010396i,-0.00030106+0.00099062i,-0.00020932+0.00025298i,0.00049679+0.00018842i,0.0010204-0.00037463i,0.00070331-0.0010569i,0.00055172-0.00077078i,-0.00010501-0.00053912i,-0.00093693-0.00077341i,-0.0010408-0.00039523i
0.00058014+0.0010078i,0.00057347+0.0010198i,0.00040623+0.00062752i,-0.000276+0.00087288i,-0.0010618+0.00099306i,-0.00065689+0.0010301i,-0.00067547+0.00070936i,-0.0011485-0.00066773i,-0.0017671-0.0016518i,-0.0018-0.001745i,-0.00084003-0.0013336i,-0.00045177-0.0010595i,-0.00050503-0.00079968i,-6.8718e-05+0.0001436i,-7.5883e-05+0.00010758i,-0.00040575-0.00052951i,-0.00036485-0.00013372i,0.00039711+0.00032197i,-0.00017285-0.00031961i,-0.00070091-0.00052431i,-6.8908e-05-0.00018499i,0.00029253-0.00010034i,-8.7321e-05+6.1723e-05i
2.0286e-05+0.0001526i,-0.00060863-0.00048603i,-0.0002791-0.00041355i,0.00040506+2.2994e-05i,0.00063324-0.00039979i,-0.00029483-1.2274e-06i,-0.0014243+0.00049998i,-0.0018457-0.00065367i,-0.0014034-0.00095535i,-0.0010961+7.3155e-05i,-0.000937-9.7443e-05i,-0.00062132-0.00096967i,-0.00033993-0.00060561i,-4.9926e-05-0.0002936i,0.0003548-0.00096373i,0.00028463-0.0011985i,0.00091705-0.0013986i,0.001296-0.00078151i,0.00013351-0.00025492i,-0.00083822-0.0001556i,9.9368e-05+0.00044317i,8.8758e-05+0.00058385i,-0.00012345-1.1411e-05i
3.6363e-05-0.00061565i,0.000325-0.0010329i,-0.00073854-0.00090217i,-0.0018654-0.00086331i,-0.0014941-0.00069674i,-0.00061787-0.00060729i,-0.00025403-0.0008246i,3.083e-06-0.0012749i,-0.00056407-0.0018021i,-0.00099855-0.00070851i,-0.00099837+0.00063259i,-1.4025e-05+0.0005943i,0.00036712-0.00021394i,0.00079971-0.00032886i,0.00070922-3.1127e-05i,8.7881e-05-0.00071081i,0.00015322-0.0013331i,-0.00033109-0.0010624i,-0.00068554-0.0010743i,-0.00072251-0.00085587i,-0.0010976+0.00027566i,-0.00034713+0.00097341i,0.00052631+0.001068i
0.00085708+0.00027946i,-0.00011148+0.00025347i,-0.00031026-0.00074812i,-0.00090108-0.000991i,-0.0015847+0.00033792i,-0.0013608+0.0010801i,-0.00083548+0.00087393i,-0.00027389-0.00053941i,-0.00017636-0.0011331i,-0.00092892-0.00030783i,-0.00065627+0.00060656i,0.00010006+0.0005014i,-0.00042359-0.00027932i,-0.00075688-0.00014837i,-0.00014111+0.00043221i,0.00025531+0.00075607i,-7.2241e-05+0.00050432i,0.00026856-0.00045518i,0.00052903-0.00076432i,-0.00033795-0.0010383i,-0.00042817-0.00055237i,-0.00021535+0.0006702i,-0.00046998+0.00092458i
