-0.0022274-0.0013799i,-0.0027075-0.0011875i,-0.0035429-0.00091449i,-0.0023111-0.00019659i,-0.0011312+0.0013352i,-0.00077665+0.0011954i,-0.00036368+0.00050847i,0.00069948+0.00064527i,0.0010526+0.00089841i,0.00016473+0.00071748i,-2.0451e-05+0.00026979i,0.00022099-0.00021419i,0.00016139-0.00067866i,-0.00056817-0.00057846i,-0.0015801-0.00061068i,-0.00054146-0.00067208i,0.00022177-0.0012444i,-6.9865e-05-0.00059864i,-3.8656e-05+1.8524e-05i,-0.00055932-0.00072822i,-0.00077489-0.00077368i,-0.00055424-0.00058865i,-0.00022449-0.00064937i
0.0017339-0.003041i,-6.2637e-05-0.0025051i,-0.0018011-0.0013558i,-0.0021926-0.00010869i,-0.0014848+0.00060554i,0.00026099+7.79e-05i,0.0010666-0.00062989i,0.00049736-0.001232i,-0.00046536-0.00066548i,-0.00070968+0.0002578i,-0.00017061-1.7558e-05i,-0.00016125-0.00012962i,0.00014103+3.3816e-06i,0.00050088+0.00015537i,0.00095221+7.9186e-05i,0.00075457-0.00037121i,0.00030389-0.00032365i,0.00075216+4.0147e-05i,0.00049091+0.00023289i,0.00010648+0.0002255i,-0.00047247-0.00010817i,-0.00060927-0.00045571i,0.00038174-0.00038785i
0.0011376-0.0037322i,-0.00062967-0.0038789i,-0.0017791-0.0027427i,-0.0017017-0.00022257i,-0.00027713+0.0011985i,0.00080465+0.00086231i,0.00072382-2.3964e-05i,0.00086142-6.2158e-05i,0.00035137-0.0001416i,-0.001256-0.00032099i,-0.0015659-0.0001952i,-0.00018043-0.00036339i,0.00017847-0.0012623i,-3.8783e-05-0.0011046i,0.00032588+0.00024889i,0.00044522-3.7741e-05i,0.00029485-0.00041593i,-0.00010948+0.00016897i,-8.8336e-05+0.00023558i,-0.00035676-0.00016457i,-0.0012552-0.00035751i,-0.00063845-0.0007269i,2.9513e-05-0.0010502i
-0.00010771-0.0025805i,0.00020585-0.0034556i,-0.00020668-0.0036278i,-0.00065935-0.002129i,-0.00048124-0.00069926i,0.00050883-0.00036551i,0.00098197-0.00058957i,0.00019877-0.00087892i,-0.00045627-0.00064298i,-0.00018957-0.00049196i,0.0001618-0.00066497i,0.00055297-0.00082409i,0.00091927-0.00060374i,0.00064737-8.5461e-05i,0.00045549+8.2062e-05i,0.0002362+0.00013736i,6.5623e-05+9.7368e-06i,0.00053316-0.00054845i,0.00029867-0.00054917i,-0.00093008-0.00062562i,-0.0010631-0.00034107i,-0.00083224-7.965e-05i,-0.00058878-0.00033345i
0.0019248-0.0002396i,0.0011199-0.001752i,-0.00057367-0.0021452i,-0.0011602-0.0014028i,-0.00064132+0.00026717i,-0.00029354+0.0011055i,-0.00011792+0.00075907i,-0.00035196-2.6072e-05i,-0.00058003-0.00065345i,-0.00034923-0.00057767i,0.00012882-0.00019715i,-0.00032063-0.00015892i,-0.00085685-0.00051727i,-0.00047544+5.6682e-05i,-0.00014069+0.0007302i,-1.5782e-06+0.00036299i,0.00063104-0.00032454i,0.0010394-0.00034645i,0.00087421-0.00028975i,0.00060803-0.00050705i,0.00038628-0.00020464i,0.0002227-0.00077135i,-8.4629e-05-0.00066476i
0.00050122-0.0011955i,-7.5508e-05-0.002288i,-0.00067406-0.0018518i,-0.00062874-0.00084848i,9.8175e-05-0.00014974i,0.00052616+7.7756e-05i,0.00026366-0.00024291i,-0.00043054-0.0010272i,-0.0012957-0.00043723i,-0.0014651+0.00071957i,-0.00054247+0.00082529i,0.00020716+0.00081397i,-0.00012275+3.7271e-05i,-7.4002e-05-0.00081532i,0.00010544-0.00014225i,8.3847e-05-0.00024776i,0.00018589-0.0010943i,-0.00047445-0.00047372i,-0.00017748+0.00056775i,0.00021706+0.00051019i,-0.00065942+0.00017639i,-7.4826e-05+0.00037011i,0.00067784-0.00038787i
0.00079068+0.00084694i,-0.00078056+0.00051832i,-0.0012514+0.00038317i,-0.00059577+0.00090685i,-0.00070573+0.00035534i,-0.0004979-0.0013533i,0.00061638-0.00070339i,0.00082597+0.00019976i,-0.00018793+0.00075885i,-0.00069523+0.0013956i,0.00035709+0.0015883i,0.00080496+0.0013849i,-0.00015358+0.00090094i,-0.00034488+0.00075571i,-0.00016668-0.00016347i,-0.00037264-0.00080301i,-0.00024521-0.00015694i,0.00012648+3.9939e-05i,0.00026428+0.00024783i,0.00013838+0.0010223i,0.00035898+0.00055658i,0.00040897-0.00091049i,-5.5097e-05-0.00086252i
0.00069384+0.0018777i,0.0010441+0.00020409i,0.0015371+0.00014507i,0.0008022+0.00056429i,0.00079974-0.0003442i,0.00026196-0.0014609i,-0.00039859-0.0012828i,0.00037213-0.00063484i,0.00088418+0.00029356i,0.00073771+0.0010463i,0.00054762+0.0007941i,0.00021258+0.00035959i,-0.00015941+8.084e-05i,-0.00019575-6.3365e-05i,0.00027853-0.00031557i,0.0005564-0.00062798i,0.00088946-0.00035033i,0.00076384-0.00016238i,0.00037799-0.00033798i,7.9992e-05+3.3542e-05i,5.8399e-05+0.00038308i,1.47e-05+0.00029463i,0.00044527+0.0003347i
-0.00075204-0.0015576i,-0.00082764-0.0010034i,-0.00082539-0.00055404i,-0.0011327+4.982e-05i,-0.0013844+0.00050467i,-0.00067162+0.00059195i,-0.00031304+0.00040254i,-0.00043193-0.00037075i,-0.00070969-0.00061514i,-0.00090825-0.00065419i,-0.00070225-0.00025482i,-0.00087306+0.00060221i,-0.00046386+0.00060877i,-0.00019443+1.064e-05i,-0.00028401-0.00035307i,0.00045239-0.00068459i,0.00066557-0.001283i,0.00074415-0.00083024i,0.00095741-0.00024657i,0.00063735+0.00033336i,-0.00020329+0.00018549i,1.3661e-05-0.0002905i,0.0007426+0.00042944i
-0.00066723-0.0025439i,-0.00031275-0.0030386i,-0.0018671-0.0016953i,-0.0022006-0.00034014i,-0.00052569+0.0002759i,0.001164+0.00017774i,0.0012864-0.00027925i,5.331e-05+0.00013373i,-0.00069201+0.00042686i,-0.00097792+0.00027818i,-0.00089114+0.00043308i,-0.00027197+0.00026507i,-0.00040327+0.00023089i,-0.0010706+0.00028428i,-0.00042713-0.00058842i,0.00095253-0.00099098i,0.0010676-0.00029288i,-0.0003255-0.00019176i,-0.0010557-0.00020008i,-0.00067295-0.00020486i,-0.00060055-0.0005373i,-0.00080158-8.1049e-05i,-0.00015881+0.00029848i
-0.0020386+0.00023162i,-0.0013771+0.00037051i,-0.0018413+0.00088421i,-0.0015089+0.00094576i,-0.00052574-2.2909e-05i,0.00068277-0.001024i,0.00097236-0.0013675i,0.00015187-0.00077684i,-0.00080143-0.00021539i,-0.0015254+0.00089409i,-0.0011483+0.0011348i,-0.00011765+0.00088818i,9.8577e-06+0.00064059i,-0.00089681-2.2092e-05i,-0.00074705-0.00032231i,-0.00024563-0.0007905i,-0.00018092-0.0010221i,0.00031795-0.0008007i,-2.8826e-05+0.00022417i,-0.00064846-0.0002853i,-0.00017218-0.0010585i,0.00028204-0.00014679i,0.00025301+0.00070304i
0.00036658-0.00062053i,-0.00050046-0.00011055i,-0.00074858+0.00041538i,0.00010379+0.0004512i,0.00048589+0.00036625i,0.0010665+0.00015981i,0.001232-3.9401e-05i,0.00032777-0.0002738i,-1.8124e-05-0.00028331i,-0.00035935-7.5638e-05i,-0.00061548+0.00081468i,-0.00068317+0.0016543i,-0.00071806+0.0011869i,-0.00037114+0.00081476i,-0.00020266+0.00053864i,-0.0001518-0.00013135i,0.00043922-0.00027871i,0.001144-7.2253e-05i,0.00071871+0.00047585i,0.0002468+0.00046143i,0.00037035+0.00048399i,-0.00019405+0.00060096i,-0.0010475+0.00026868i
0.0019785-0.00037081i,0.00091788-0.0014359i,-0.0002871-0.0012709i,0.00021258-0.00082333i,0.00063314-0.0008033i,0.00075602-0.00041854i,0.00053393+0.00036999i,0.00041973+0.00065393i,0.00032652+0.00080321i,6.5442e-05+0.0012384i,-0.00062794+0.001302i,-0.0012114+0.00057836i,-0.00046946+8.5701e-05i,-0.00017193+0.00026172i,-0.00035379-0.00011016i,0.00017095-0.0007767i,0.00012694-0.00077193i,-0.00040649-0.00077395i,-0.00039028-0.00071036i,-0.00064505-0.00076636i,-0.00081926-0.00097836i,-0.00023633-0.00041025i,-4.9953e-05-0.0001896i
6.6805e-05+0.0011795i,-6.4533e-05-0.00021309i,-0.00042285-0.00057346i,0.00018375-0.00088237i,0.0010895-0.0020282i,0.0012164-0.0018078i,0.00028573-0.0015715i,9.9662e-05-0.0012677i,0.00022988+0.00034777i,0.00016052+0.0010476i,0.00057014+0.00038099i,0.00098009-0.00016336i,0.0007229+6.8744e-06i,-0.00033452+0.0010496i,-0.00026486+0.0010223i,-0.00017963-0.00045572i,0.00017584-0.00075968i,0.00068546-0.00066268i,0.00075678-0.00066142i,0.00033875+0.00040877i,-8.7092e-05+0.0010315i,-0.0001049+0.00027343i,-6.7645e-05-4.464e-05i
0.0010849+0.00049324i,0.0022679-0.00029353i,0.0015698-6.1197e-05i,0.00052282+0.00052132i,0.00012296-3.4994e-05i,-0.00028371-0.00070508i,-0.00065296-0.00063037i,-0.00034198+0.00011207i,0.00040766+0.001031i,0.00051008+0.0011718i,-0.00016937+0.00064203i,-0.0004483+0.00014616i,-0.00043726-5.824e-05i,-0.00061846+0.00042126i,-0.00044216+0.00085591i,0.00011547+0.00045037i,9.0432e-05+9.1869e-05i,-0.00062605+0.00012432i,-0.0003686+0.00018734i,9.7072e-05+0.0006643i,0.0004021+0.00051909i,4.852e-05-0.00026139i,-7.312e-05-0.00070708i
0.0021631-0.0010735i,0.0012156-0.0017823i,-0.00036669-0.0017387i,-0.00012949-0.0010102i,0.00052126-0.00049331i,0.00068857+0.00017332i,0.00064677+0.00038159i,0.00029018-9.0241e-05i,-0.00045086-0.00018434i,-0.0006745+0.00039642i,-0.00012323+0.0010549i,0.0006288+0.00026284i,0.00094396-0.0005915i,0.00033009+4.427e-05i,0.00012027+0.00024178i,0.00058259-9.7132e-05i,0.00031003-0.00028322i,2.1882e-05-0.00039507i,0.00039059-0.00032409i,3.9942e-05-0.00048903i,-0.00031929-0.00034925i,-0.0006484+0.00055409i,-0.00058973+0.00050405i
0.0029454-0.0007189i,0.0023705-0.0012117i,0.0008651-0.0019646i,0.00036345-0.0022107i,-0.00012411-0.0018368i,0.00021606-0.0022053i,0.00048809-0.0015104i,-0.00051879-0.00049603i,-0.00045808-0.00034836i,0.00029281+0.00041305i,-0.00010221+0.0013501i,-0.00066273+0.0014261i,-0.00054223+0.0007034i,0.00069654-0.00037752i,0.0013692-0.00030345i,0.00011228+0.00037176i,-0.00065596+9.2916e-05i,0.00012959-0.00046673i,-0.00010183+0.00018417i,-0.0012981+0.00038199i,-0.0011213+0.00022247i,-0.00061423+0.00055344i,-0.00038763+0.00058766i
0.00021756-0.00095388i,-0.00055141-0.0015565i,-0.00046058-0.0014223i,-0.00066546-0.0011662i,-0.0010301-0.00035498i,-0.00068067+0.00017672i,0.00021133-0.00047128i,0.00061943-0.0012246i,0.0010439-0.0012475i,0.0011036-0.000409i,0.00034842+0.00056286i,-7.9994e-05+1.108e-05i,0.00080812-0.0007112i,0.0011609-0.00075875i,0.0010943-0.00050218i,0.00082207+0.00063214i,0.0011306+0.0004981i,0.00049809-0.00071035i,-0.0001425-0.00036041i,-0.00025768+0.00037046i,-0.00062489+0.00049334i,-0.001425+0.00054451i,-0.00069129+9.1465e-05i
0.00087098-0.00014924i,0.0013083-0.00086258i,0.0013526-0.00033946i,0.0010237-0.00020592i,0.0012065-0.00094379i,0.0007757-0.00077203i,-0.00016383-0.00035929i,-0.00040739-0.00068555i,-0.0004848-0.00064412i,-0.00059661+0.0002231i,-6.6055e-05+0.00033146i,0.00063628+0.00039082i,0.00037601+0.00065254i,0.00038043+0.00078299i,0.00066261+0.00049409i,0.00011593+0.00060305i,-0.00011138+0.0011415i,0.00055286+0.00043362i,0.001055+0.00044447i,0.00057264+0.00094945i,0.00034643+0.00055737i,0.00060841+0.00037268i,0.00060463+0.00064015i
0.00043359-0.0010274i,-0.00011108-0.0011691i,0.00013664-0.00083321i,0.00012261-0.0010367i,-1.4963e-05-0.00059642i,0.00078751-0.00087894i,0.00083392-0.0011555i,0.00040875-0.00089145i,0.00047344-0.00011961i,7.6492e-05+0.00067102i,0.00024067+0.00097676i,0.00046043+0.00060834i,0.00053853+0.00026263i,0.00076672+8.6653e-05i,0.00071839+4.5341e-06i,0.00054405+0.00024645i,0.00030812+0.0001626i,-6.334e-05+3.2971e-05i,-0.00014256+0.00078287i,0.00020773+0.0011424i,0.0002527+0.00048056i,7.13e-05-0.00028093i,0.00046304-0.00013493i
