-0.0013121+0.0010764i,-0.00057795+1.5218e-05i,-0.001702+0.00081689i,-0.00178+0.0010984i,-0.00055038+0.00025092i,-0.0011792-0.00011115i,-0.0023801+0.00039575i,-0.0014551+0.0012688i,-2.1822e-05+0.0012209i,0.00068281+0.00053771i,0.0004256-1.8895e-05i,8.8907e-05-0.00019308i,0.00026826-0.00066641i,-0.00054698-0.00041644i,-0.0013277-0.00031692i,-0.0005299-0.0011266i,0.00010165-0.0011508i,0.00010387-0.0011191i,0.00036948-0.00091824i,0.0003339-0.0004191i,3.989e-06-0.00068508i,-0.00025284-0.00095511i,3.819e-05-0.00030054i
0.00073108+0.00087889i,0.00070937+0.001449i,0.001555+0.0016804i,0.0027219+0.00064352i,0.0023374-0.00079705i,0.00057852-0.0018668i,-0.0011205-0.00099402i,-0.0021819+8.472e-05i,-0.0018278+0.00070362i,-0.00039341+0.00074767i,-0.00034482+0.0001969i,-0.000545-0.00054047i,-0.00017739-0.00014337i,-7.4538e-05+0.00055622i,0.00039443+0.00061128i,0.00057893+0.00029922i,0.00058991-9.8442e-05i,0.00047535+0.00042831i,-0.00066534+0.00055671i,-0.0010165-0.00029949i,-0.00068442-0.00024015i,0.0001282+0.00011516i,0.00045526-0.00021087i
-0.00053497+0.00068884i,-0.00094689+0.0012984i,-0.0015365+0.0013737i,-0.0012921+0.00066627i,-9.8379e-05-0.001209i,-0.00062435-0.0021973i,-0.0019821-0.0013279i,-0.0012481+5.564e-05i,-0.00076827+0.00095854i,-0.00091898+0.00099584i,-0.00046032+0.00068871i,-0.00031971-0.00011351i,-0.00058996-0.00035519i,0.00010004+0.00020139i,0.00041417-6.4162e-05i,-0.00012158+0.00016579i,8.2348e-05+5.7175e-05i,-0.00030532-0.00056695i,-0.0011777-0.00044329i,-0.00058627-5.095e-05i,0.00035945+0.00044822i,0.00029953+0.00083056i,0.00039513+0.00091024i
-0.00065874-0.00069607i,-0.00047078+3.3652e-05i,0.0010895+0.0001797i,0.0016214-0.00017551i,0.00047188-0.00092907i,-0.001178-0.0015753i,-0.0017522+7.8108e-05i,-0.0014843+0.0013401i,-0.0014181+0.00083996i,-0.00091424+0.00065294i,-0.00028102+0.00013601i,0.00013066+8.3845e-05i,0.00065425+0.00023456i,0.0012057+0.0002366i,0.00075516+0.00080547i,-6.9412e-06+2.6579e-05i,-0.00014474-0.0010796i,0.00030126-0.00086278i,0.00062486-0.00040832i,-0.00030694+0.00046814i,-0.00057122+0.001007i,-1.4117e-05+0.00029487i,0.00024028+6.0306e-05i
-0.00053163+1.0926e-05i,0.00050797-8.2909e-05i,-0.00061102+0.0015915i,-0.0010987+0.0013927i,-0.00057671-0.00045988i,-0.0009035-0.0010799i,-0.00069826-0.00014927i,-0.00082981+9.1489e-05i,-0.0003526+0.00017156i,0.00067599+0.00083346i,0.00071065+0.00090438i,0.00044907+0.00052324i,-0.0002377-6.4129e-05i,-0.00078866+0.00062009i,-0.00036718+0.0009217i,0.00016329+7.9068e-05i,0.00056842-0.00034161i,0.00071198-0.00048396i,2.2516e-05-0.00031866i,-0.00045591-0.00027179i,-0.00042626-4.7026e-05i,-0.00033344+0.00040112i,-0.00030413+0.00021566i
0.00048397-0.00048679i,0.00055319+9.3419e-05i,0.00091627+0.00038505i,0.0018255+0.00015196i,0.00111-0.00043788i,-0.00018815-0.00066974i,-0.00085769-4.2626e-05i,-0.00089369+0.0004055i,-0.00076052+0.00045518i,-0.00081036-5.5398e-05i,-0.00071532-0.00024789i,-0.00028017-0.00033038i,-0.00038974-0.00057575i,-0.00064514-0.00094572i,-8.6508e-05-0.0012055i,0.00091165-0.0011108i,0.00072423-0.0002757i,0.00034086+0.00011247i,-3.7637e-05+5.4759e-05i,-0.00065158+5.3044e-05i,-0.00044625-0.00034204i,0.00089305+0.00033505i,0.00099354+0.001164i
-0.00044558+0.00029455i,-0.00020318+0.00074222i,0.0004039+0.00089847i,0.00083336-0.00018i,0.0011303-0.001625i,8.5612e-05-0.0017189i,-0.0008899-0.00047969i,-0.0013127+0.00079441i,-0.00138+0.00026238i,-0.00038609-0.00058471i,0.00011717-0.00060698i,0.00020207-4.8115e-05i,-0.00026842-2.9754e-05i,-0.00085125-0.00018531i,0.00024713+0.00031604i,0.00072857+0.0002998i,-0.00017188-0.00046152i,-0.00013253-0.0011467i,0.00020696-0.00043084i,0.00037447+0.00042302i,-0.00019915+0.00024012i,-0.00059214+0.00049665i,-0.00049138+0.00052158i
-0.0009234-0.00088909i,-0.00063609+0.00012394i,-0.00031141+0.00015458i,-4.1459e-05-0.00019484i,6.2381e-05-0.00062663i,-0.00031308-0.00045316i,-0.0013265-0.00020478i,-0.001083+1.467e-05i,5.375e-07+0.00098753i,-0.00020634+0.0013842i,-8.6472e-05+0.0014435i,0.00011794+0.00153i,-0.00050323+0.00046892i,-0.00035852-0.00050171i,0.0003948-0.00051782i,0.00041012-0.00061025i,-0.00024512-0.00062444i,-0.0006512-0.00068493i,-0.00050345-0.001019i,-0.00053353-0.00081899i,-0.00048097+0.00049255i,-0.00093676+0.00092599i,-0.00051983-2.9802e-05i
0.00048745-0.00046177i,0.00053396-0.00038901i,-8.1645e-05-0.00030549i,-0.00032304+2.9305e-05i,-0.00089389-0.0013075i,-0.0013582-0.0015232i,-0.0012813+0.0003291i,-0.00079576+0.00086512i,-0.00049612+0.00035521i,-0.00029733+2.3643e-05i,-0.00016372-0.00037289i,2.657e-05-0.00012402i,0.00023828-6.7678e-05i,-0.00053009+0.00029576i,-0.00099949+0.00036135i,-0.00064761-0.00052278i,0.00035891-0.0008873i,0.00081841-0.00047839i,0.00051688-0.00016159i,0.0006215+0.00065699i,0.00055581+0.00059029i,0.00030719-0.00036655i,-0.00035835-0.00043474i
0.00013482-0.0015332i,-0.00058577-0.00060141i,-0.0015939+0.00013703i,-0.0014481+0.00070651i,-0.0003746+0.001638i,-0.00017428+0.0015859i,-0.00087519+0.0011196i,-0.0010535+0.00063883i,-0.00051228+0.00037214i,-3.2869e-05+0.00045159i,0.00036054+7.1726e-06i,0.00091434+0.00038197i,0.0014226+0.00026525i,0.00083469-0.00024961i,0.00023771-0.00086599i,0.00084145-0.0013498i,0.0011791-0.0008686i,0.001067-0.00030645i,0.00079874+0.00026304i,0.00036531+0.00083858i,-2.577e-05+0.0004907i,-0.00015682-0.00063711i,-0.00062223-0.00045626i
-0.0012545-0.00026913i,-0.00036837-7.0814e-05i,0.00082512+0.00049639i,0.0013505+0.00046441i,0.00078145-0.00061168i,2.6825e-05-0.001114i,-0.00050621-0.00039905i,-0.00061693+0.00056187i,-0.00063923+0.00075428i,-0.00024994+0.0010596i,0.00083465+0.0012164i,0.0010238+0.00071982i,0.00050678+0.00023386i,4.4367e-05-0.00026955i,0.00025756+0.00022739i,0.00072912+0.00080841i,0.0011233+8.3989e-06i,0.00080707-0.0011301i,0.00038129-0.00088996i,0.00019899+0.00026708i,-0.00015802+0.001268i,-0.00021262+0.0012202i,0.00022143+0.00043883i
8.6606e-05+0.00013612i,-0.00059889+0.00032439i,-0.00174+0.0011587i,-0.0012345+0.00086293i,-0.00053639-0.00085926i,-0.0012764-0.0027226i,-0.0018837-0.0020817i,-0.0016082+0.00020071i,-0.00096845+0.0017708i,-5.1778e-05+0.0021654i,0.00078714+0.0015564i,0.00095835+0.00042977i,0.00044684+0.00018832i,-0.00068181+0.00020572i,-0.001289-6.3816e-05i,-0.0007102-0.00021047i,-0.00054954-0.00038846i,-0.00077303-0.00080797i,-5.8346e-05-7.1668e-05i,-0.00013501+8.6199e-05i,-0.0004729-0.00013344i,-0.00083391+0.00060297i,-0.00030776+0.00094914i
-0.0015798+2.1152e-05i,-0.00151+0.00026952i,-0.00034517+0.0015139i,0.0017104+0.00081594i,0.0027653-0.00097126i,0.0013767-0.001877i,-0.00063372-0.00080738i,-0.0014091+0.00096659i,-0.0015932+0.0018253i,-0.00085525+0.0012457i,0.00018507+0.00058528i,0.00031535+0.00016578i,-1.2526e-05-0.00020131i,-0.00024341-0.00030166i,-0.00068013-0.00033825i,-0.00037533-0.00056573i,0.00045844-0.00035896i,2.5451e-05-9.647e-05i,-0.00042395+1.1971e-05i,-0.00044512-0.00048366i,-0.00013135-0.00030329i,0.00013253+0.00028225i,0.00034407+0.00044642i
-0.00042806+5.7606e-05i,0.00012983+0.00057428i,-0.0001369+0.00099924i,-0.00013495+0.0012031i,0.00033538+0.0001451i,0.00015315-0.001307i,-0.0011278-0.0016897i,-0.0011938-0.00054066i,-0.0011148+0.00043725i,-0.00038575+0.00069725i,0.00075568+0.00036704i,0.00044904-0.00035873i,-0.00044395-0.00029183i,-0.001254+0.00011391i,-0.001563+0.00010126i,-0.00094737-8.4991e-05i,-0.00045608+0.00031038i,-0.00056454+0.00056659i,-0.0010151+0.00035815i,-0.00070675+0.00034616i,2.7932e-05+0.00010016i,0.00026868-0.00012511i,0.0011037-0.00075797i
0.00053066+0.00097322i,0.0014168+0.0011089i,0.0017094+0.00077437i,0.0015762-0.00036152i,0.0010879-0.00086061i,-8.8866e-05-0.00085725i,-0.001361+2.9817e-05i,-0.001627+0.0010417i,-0.0013609+0.0011482i,-0.00087375+0.00024548i,-0.00012494+0.00017455i,-0.00031077+0.00051918i,-0.00037299+2.0152e-05i,0.00044211-0.00024294i,0.00044773+0.00029766i,0.00021109+0.00080772i,-0.00037102+0.00023171i,-0.00048026-0.00067954i,3.9638e-05-0.0009308i,-0.00064033-0.00082391i,-0.00066947-0.00048876i,-0.00055469-1.6068e-05i,-0.00094074-0.00031105i
