0.001303-0.0010329i,0.0011511-0.0026245i,-3.2685e-05-0.0042084i,-0.0015113-0.0031205i,-0.0018958+0.00025361i,-0.0017638+0.0028722i,-0.0010908+0.0031028i,-0.0001803+0.0015681i,0.00059404+8.0369e-05i,0.0012215-0.00079836i,0.00060846-0.0011339i,-0.00073446-0.00078581i,-0.00042331-0.00018265i,0.00015715+6.4586e-05i,0.00038569+0.00014001i,0.00045923+0.00056861i,3.3881e-05+0.0007422i,4.9602e-06+0.000697i,0.00049578+0.0004713i,0.00074216+0.00032732i,0.00062538+4.3948e-05i,0.00028786-0.00031709i,-0.00049605-9.1141e-05i
-0.0021515-0.00068981i,-0.0031047+0.00017032i,-0.0029731+0.0013395i,-0.0013246+0.0020364i,0.00038633+0.0014153i,0.0014206+0.00043241i,0.0013412-3.4142e-05i,0.00033444-0.00024645i,-0.00053035+0.00013964i,-0.0003689+0.00020496i,0.0002531-0.00010275i,0.00083951-0.00019531i,0.00061571-0.00035177i,-6.1893e-05-0.00061094i,8.3623e-05-0.00068049i,0.00025675-0.00048216i,0.00059277-0.00073222i,0.00076432-0.00066281i,-0.00026173+0.00023864i,-0.00041711+0.00081212i,0.00018218+0.00043426i,0.00032574+0.0001337i,0.00054905-9.4467e-05i
0.00082827-0.0015692i,0.0010367-0.00223i,-0.00032738-0.0018167i,-0.000242+0.00044209i,0.00041256+0.0012589i,0.00029264+0.00076533i,0.00021996+0.00090083i,0.00015012+0.00061739i,-7.8832e-05-0.00010629i,0.0004491-6.2957e-05i,0.00069232-0.00028447i,0.00043188-0.00067527i,0.00048409-0.00028799i,5.3257e-06-0.00057541i,-0.00072737-0.00060777i,-0.0010218-0.00057262i,-8.166e-05-0.00090821i,0.00039333-0.00052373i,0.00060916+0.00015939i,-0.00010717-5.2435e-05i,-3.2047e-05-0.00048025i,0.00054408-0.00050329i,0.00010456-0.0002812i
-0.0025228+0.0020175i,-0.0025926+0.0018423i,-0.0016421+0.0022056i,-0.00011511+0.0011614i,0.0015692-8.5829e-06i,0.0016633+6.8105e-05i,0.0014388+0.0002508i,0.0011058-0.00021785i,0.0013135-7.6472e-05i,0.00063668+0.0001564i,0.00023658+0.000214i,-0.00040185+0.00091122i,-0.00072927+0.00098946i,0.00015566+0.00049978i,0.0002505+0.00014149i,-0.00037359-0.0001135i,-0.00038476+0.0001832i,0.00038434-2.5221e-05i,0.00038343-0.00077645i,0.00024184-0.00066151i,0.00036394+0.0002042i,-0.00013237+0.00042967i,-0.00016661+0.000793i
-0.00022031-0.0011684i,-0.00074696-0.0017312i,-0.00082485-0.0010355i,0.00016299+0.00037252i,0.00018603+0.0014867i,-7.5556e-05+0.0017028i,4.5234e-05+0.00022113i,7.1071e-05-0.00058185i,0.00031041-0.00031013i,0.00026261-0.00012907i,-0.00019087-5.255e-05i,-0.00056054+0.00024821i,-0.00025174+0.00044541i,0.001229+0.00037604i,0.0013283+0.00053536i,0.00073894+0.00043387i,0.00078858+0.00055157i,0.00046059+0.00032847i,2.0675e-05+0.00024835i,0.00013722-0.00016299i,-0.00029121-0.00082148i,-0.00079949-0.00092005i,-0.00040249-2.9552e-05i
-0.0022678+0.0013734i,-0.0034587+0.0020395i,-0.0023446+0.0011763i,-0.0014317-7.7324e-05i,-0.00018182-0.00021586i,0.00086943+0.00054805i,0.00025436+0.00055355i,-0.00063473+8.6967e-05i,-0.0007826+0.00015327i,-0.00017067+0.00012761i,0.00032126-0.00019138i,4.0037e-05+0.00029544i,-0.00057007+0.00068207i,-0.00023485+0.00040185i,0.00016937+0.0005982i,-1.5232e-06+0.00029104i,0.00043694-9.0385e-05i,-9.3352e-05-0.00016206i,-0.00044155+0.00021217i,7.1918e-06+0.001083i,-0.00018125+0.0005677i,-0.00045429-0.00018586i,-0.00067247+0.00039123i
-0.0002393-0.00091975i,-0.0011588-0.0020064i,-0.0013988-0.0015372i,-0.00019396-1.3589e-05i,0.0010818+0.0010279i,0.0009654+0.0014086i,0.00026014+0.0011674i,-0.0010533+0.00066761i,-0.0010055+0.00059539i,-0.00020644+0.00038179i,-0.00017884-0.00016769i,0.00016329-0.00017994i,0.00026639-0.00038687i,0.00019717-0.00076255i,0.00069648-0.00036455i,0.00034772+0.00013265i,-0.00040082+0.00039218i,-0.00034372+0.00045156i,0.00013716-1.9301e-05i,0.00079899-0.00024159i,0.000496-0.00019314i,-2.1437e-06+0.0001923i,-0.00014842+0.00047611i
-0.001817+0.0016326i,-0.0020454+0.0025545i,-0.0017181+0.0019709i,-8.5656e-05+0.0013495i,0.001196+0.0011248i,0.0014126+0.00064947i,0.00074236-0.00055841i,-2.4374e-05-0.00079954i,5.1482e-06+0.00018913i,0.00023743+0.00092579i,0.00078335+0.0010043i,0.00092926+0.00014239i,9.3467e-05-0.00091019i,-0.0009375-0.00089562i,-0.00071866-0.00059002i,0.00028234-0.00059457i,0.00053988-0.0003493i,-1.2339e-05-0.00065356i,0.00025819-0.00088273i,0.00052043-0.00040551i,-0.00010287-0.00046619i,0.00022684+8.2253e-05i,0.00050525+0.00074679i
0.001218-0.0023711i,-0.00027059-0.0029888i,-0.0011814-0.0017308i,-0.0005095-0.00059818i,0.00072486+3.0656e-05i,0.0013606-0.00018045i,0.001609-0.00091425i,0.0016769-0.00037136i,0.00077485+0.00015513i,5.6138e-05-0.00052846i,0.00016859-0.00059801i,0.00079538-0.00053479i,0.00088263-0.00016769i,0.00076713+0.00034491i,0.00038425+0.00028485i,0.00035982+8.8728e-05i,0.00050468+3.6061e-05i,0.00043144+3.3217e-05i,0.00058692-0.00030751i,0.00044622-0.00072017i,0.00015403-0.00028511i,-0.00035941+1.6923e-05i,6.6964e-05-0.00011847i
-0.00038183+0.0020341i,-0.00039524+0.0018853i,-0.00058145+0.0010123i,0.00035052+0.00067054i,0.00041555+0.0012477i,4.3036e-06+0.00032695i,-0.0003287-0.00075954i,-0.00032709-0.0010208i,0.00023145-0.00049749i,0.00052716+0.0005649i,0.00048695+0.0010079i,0.00027243+0.00041709i,-0.00044914-0.0006696i,-0.00037423-0.0013588i,-0.00014771-0.0013258i,-0.00068924-0.00080197i,-0.0011137-3.7803e-05i,-0.0013197+0.00065042i,-0.0013401-0.00027995i,-0.00086677-0.0009613i,-8.0259e-05-0.00042316i,7.1644e-05+0.00029419i,-0.0004209+0.00019836i
-0.00076123+0.00017841i,-0.0013142-0.0002921i,-0.0016924-0.00020106i,-0.00080735+0.0010719i,0.00052511+0.0017165i,0.0010259+0.00096771i,0.00038843+0.00022798i,0.00014211-0.00027382i,0.00010302-0.00015542i,-0.00060022+0.00035766i,-0.0012337+0.00070086i,-0.0010655+0.00035482i,-0.00047716+5.2009e-05i,-0.00023035+5.7267e-06i,-0.00024268-0.00023294i,-0.00067612-0.00072539i,-0.0004299-0.00022281i,0.00052179+0.00030252i,0.00054311+0.00077412i,2.4179e-05+0.0014954i,-0.00065593+0.0011577i,-0.00071365+0.00029575i,-0.00069994-0.00013432i
