-0.0013279+0.0010487i,-0.0020401+0.0013983i,-0.0031675+0.00097898i,-0.0023605+0.00087933i,-0.0019235+0.0017782i,-0.0018913+0.0019713i,-0.00054969+0.00083431i,0.00058529-3.6555e-05i,0.00083287+7.396e-05i,0.00098465-3.7392e-05i,0.00088661-6.9585e-05i,0.00019023+0.00027i,-2.0079e-05+0.00013199i,-0.00023965-0.00030354i,-0.00062546-0.00017309i,-0.00094946+0.00064786i,-0.0011355+0.00042566i,-0.001093-0.00031833i,-0.00038237-0.000624i,-0.00013925-0.00063151i,9.2763e-05-0.00042303i,0.00052042-6.4146e-05i,0.00022474-0.00029042i
0.00044747+0.00055538i,0.00021482+0.0014008i,0.00099427+0.00088511i,0.001037-4.8949e-06i,0.0011496-0.00011129i,0.00075303-0.00070749i,-0.00031283-0.00058685i,-0.0010012-0.00033001i,-0.00061714-0.0003948i,-0.00014536-0.00048466i,-2.8369e-05-0.00048979i,0.00050552-0.00030647i,0.0010177-0.00029719i,0.00076979-0.0001594i,0.00086168+0.00017332i,0.00065643+0.0011017i,-0.00047148+0.00093269i,-0.00033256+0.00035355i,0.00010097+0.00060197i,0.00039552+0.00067511i,0.00049536+0.00084439i,0.00020432+0.00018877i,0.00016753-0.00096878i
-0.0016536+0.0013335i,-0.0017846+0.0012122i,-0.0018224+0.0010988i,-0.0010938+0.00025093i,-0.0001008+0.00045068i,-0.00026802+0.00013453i,-0.00010492-0.00054665i,-0.00013306-0.00041108i,-0.00039346+0.00031109i,0.00042933+0.00070401i,0.00093381+0.00040876i,0.00028592+0.00048003i,-0.00093841+0.0005636i,-0.0012133-0.00021418i,-0.00083628-0.00039352i,-0.00035867+7.5342e-05i,-0.00012611-0.0003079i,-7.3355e-05-0.0001414i,1.2288e-05+0.00070894i,3.7241e-05+0.00017005i,0.00020078+9.6618e-05i,5.5145e-05+0.00057622i,-0.00074614+0.00037756i
0.00044693+0.0028542i,0.00074278+0.0023082i,0.00081253+0.0024078i,0.00062026+0.002312i,0.0002216+0.00033253i,-0.00022657-0.00054517i,-0.00069729+9.4713e-05i,-0.0005279-0.00024977i,0.00023004-0.00010386i,0.00081453-0.00045787i,0.0010495-0.00092266i,1.9775e-05-0.00083719i,-0.00064136-0.00022976i,4.5802e-05+0.00082045i,0.00082074+0.00074633i,0.000361+6.4862e-05i,-0.00087265-0.00051912i,-0.00061061-0.00014658i,0.00056079+0.00069234i,0.000842+0.00067925i,0.0001706+0.00065787i,-0.00021306+0.00078297i,-5.1121e-05+0.00033908i
0.00022231-0.00092177i,0.0004808-0.0011284i,0.00089454-0.001542i,0.00048572-0.001345i,-0.00037516-0.00034992i,-0.00063981-4.9689e-05i,-0.00089191-0.0008095i,3.6451e-05-0.0014349i,0.00076054-0.00098294i,0.00067747-9.8305e-05i,0.00044711+0.00060266i,-0.00020422+0.00071722i,-0.00078551-0.0004396i,-0.0012601-0.001398i,-0.00053029-0.00079963i,0.00082643+0.00033558i,0.00089232+0.00041516i,-1.8946e-05-0.00037567i,-0.00044007-0.001118i,-1.3399e-05-0.00084926i,0.00042978+0.00040122i,2.3442e-05+0.00096747i,0.00041325+0.00012649i
7.2444e-05-0.00049811i,-5.3263e-05-0.00036612i,-0.00020775-0.00038667i,-0.00087167-0.00032727i,-0.0014301-0.00041283i,-0.00079378-0.00012416i,0.00038182+0.00080795i,0.00077559+0.0011545i,0.00053567+0.00035069i,0.00045178+0.00024206i,0.00030079+0.00018022i,5.8711e-05+0.00010008i,0.00062459+0.00035175i,0.0010866+0.0003547i,0.0011396+0.00046642i,0.00099914+0.00041475i,0.00036564+0.00010971i,0.00013648+4.1019e-05i,-9.3196e-05-2.1878e-05i,0.00017585+6.936e-05i,0.00039232-0.00039687i,0.00078852-0.00045485i,0.0012981+2.4444e-05i
-0.0007191-2.2208e-05i,-0.0013799-0.000345i,-0.00079172-4.5654e-05i,-0.0002752+0.00085651i,0.00097915+0.00098075i,0.0013283+0.00050584i,0.00030759+1.6657e-06i,-2.7298e-05+0.00027525i,0.00022348+0.00043685i,0.00020633+0.00020167i,-0.00024237+0.00014772i,-0.0002666-1.2807e-06i,4.7687e-05-0.00045233i,0.00071498-0.00053665i,0.0014775+6.4078e-05i,0.001387+0.00060766i,0.00021266+0.00012749i,-0.00080549-0.00076547i,0.00010142-0.0010378i,0.0011476-0.00075892i,0.00084809-0.00066866i,3.0575e-05-0.00077259i,-0.00044932-0.00095146i
-0.00017319+0.0014904i,-0.00080949+0.0014612i,0.00012375+0.0014906i,0.00015411+0.00061895i,-0.00047518-0.00051891i,3.7731e-05-0.0014284i,0.00028544-0.00092015i,0.00029053+0.00050795i,0.00052087+0.00097166i,0.00042876+0.00045144i,0.0010366+0.00013351i,0.0017921-4.9735e-05i,0.00083824-5.7545e-05i,-0.00035741-0.00060303i,-0.00059858-0.00070093i,3.2805e-05+0.00023742i,0.00029067+0.00085773i,-0.00017168+0.00030713i,6.9969e-06+0.00028329i,-0.00046066+0.00017825i,-0.00063397+5.3422e-05i,0.00017256+0.00019791i,0.00088027+0.00047415i
-0.0026147+0.00070979i,-0.0014975+0.0011635i,0.0001564+0.0022011i,0.0014455+0.0029934i,0.0019936+0.0029757i,0.0020499+0.0013655i,0.001792+0.00027414i,0.00059184+0.00035747i,-0.00047162+0.00033692i,0.00019199-0.0001544i,0.00073183+0.00026674i,0.00046625+0.00032743i,-0.00014468-0.00064794i,0.00010824-0.0010016i,-0.00028985-0.00065162i,-0.00066936-0.00029606i,-0.000394-9.1309e-05i,-0.0003798+0.00016019i,6.5208e-05+0.00051322i,0.00038642+5.3337e-05i,0.0004137-0.00010077i,1.8179e-06-0.00019889i,-0.0010876-0.00019794i
0.0008619+0.001398i,0.000154+0.0018625i,0.0005678+0.00068143i,0.0010754-0.00088559i,0.0003835-0.00085403i,-0.00098088+0.00058802i,-0.0013436+0.00044409i,-0.00080881-0.00051564i,0.00019331-0.00070064i,0.00060771-0.00042172i,-1.9327e-06+0.00010985i,-0.00025674+0.00071041i,-4.57e-05+0.001002i,-0.00015069+4.2287e-05i,-0.00038674-0.00064585i,5.965e-05-9.5418e-05i,0.00022607+0.0011177i,-0.000158+0.0016389i,-1.3127e-05+0.0007532i,3.8183e-05+5.2176e-05i,-0.00025388-0.0003851i,-2.4216e-05-0.00053942i,0.00056727+0.00035743i
4.6652e-05+0.00025097i,-0.0005903+0.00054377i,-0.001043+0.00017933i,-0.0012113+0.00054452i,-0.0001257+0.001131i,0.00012333+0.00087888i,-0.00058003+0.00018277i,-0.00036346+0.00038842i,-0.00020811+0.00029157i,-0.00034917-0.00016792i,-0.00036844-0.0001783i,9.4404e-05+0.0001035i,0.00052888+0.00060463i,-0.00012334+0.0010428i,-0.00070142+0.0010669i,-0.00043031+0.00053298i,-3.5647e-05+0.00056751i,-7.6679e-05+0.00069989i,-7.3882e-05+0.00014075i,-8.3378e-06+0.00015565i,-0.00048863+0.00026553i,8.7222e-05-0.00025593i,0.00070587-0.00085893i
