2.3923e-05+0.00029276i,-0.00027462-0.0012561i,-0.0010099-0.0012145i,-0.002103+0.00015959i,-0.0029817+0.0018703i,-0.0026679+0.0019071i,-0.0017904+0.0017211i,-0.00075943+0.0017712i,-0.00020603+0.00032661i,-0.00026687-0.0011024i,8.6806e-05-0.0015511i,0.00036309-0.00088295i,-0.00035202-0.00016941i,-0.00075767+0.00030176i,-0.00013002+0.00071208i,0.00062288+0.00029024i,0.001306+1.9162e-05i,0.00067939-0.00058426i,0.00047659-0.00072287i,0.00073391+0.00051457i,0.00073037+0.00055889i,0.00071124+0.00016115i,0.00013836-0.00025988i
0.0022944+0.0012801i,0.0034732+0.0014412i,0.0041945+0.0013944i,0.0030768+0.00088769i,0.0011214+0.0010528i,-5.603e-05+0.00080327i,-3.3747e-05-0.00029732i,0.00081407-0.00037601i,0.0011708-9.6604e-05i,0.00059713+0.0003134i,-0.00014384+0.00012085i,-0.00084034+4.9476e-05i,-0.00093272+0.00075778i,-0.00093505+7.7794e-05i,-0.00044348-0.00054023i,0.0003357-0.00020353i,-7.5249e-05-0.00031233i,1.7e-05-0.00016478i,0.00086566-4.863e-05i,0.0009209-0.00032756i,0.00032769-0.00075067i,-0.00029146-0.00028374i,3.7103e-05+0.0001866i
0.00020798+0.002259i,-0.00056993+0.0016966i,-0.0012429+0.0024504i,-0.00066475+0.0017865i,7.6255e-05+0.00042358i,-0.00056233-0.0005332i,-0.0019328-0.00033756i,-0.0019302+2.5832e-05i,-0.0009332-6.2052e-05i,0.00056099+3.444e-05i,0.00080364+0.00027288i,0.00013702+0.00071611i,9.3853e-05+0.00075636i,0.00059615+0.0002359i,0.00089954+2.9095e-05i,0.00076693+0.00071916i,0.00083837+0.00068741i,0.00050198-0.00026366i,5.6955e-05-0.00074948i,-0.00026833-0.00082823i,0.00014677-0.00044253i,0.0010333+0.00057036i,0.00075566+0.0008948i
-0.00028982-0.00067156i,2.8123e-05-0.00045762i,0.00030703+0.00089305i,-0.00033514+0.0015864i,-0.00047317+0.0013458i,0.00019093+0.001478i,-0.00024415+0.0013845i,-0.00075975+0.00094577i,-0.00026521+0.00024637i,0.00045236+0.00018025i,5.1048e-05+0.0010795i,-0.00060654+0.00082456i,-0.00072692+0.00021851i,-0.00025292+0.00012638i,-0.0001377+0.00041369i,-0.00089346+0.00088731i,-0.00085575+0.0004338i,-0.0003225-0.00028741i,-8.7508e-05-0.00076628i,-0.00042929-0.00059104i,-0.00075242-0.00042603i,-0.00026101-0.00044758i,0.00037619+0.00036532i
-0.0001583-0.001676i,-0.0011086-0.0016541i,-0.0013288-0.0011635i,-0.0016949+0.00066409i,-0.0027562+0.0020858i,-0.002162+0.0019171i,-0.00090221+0.0010728i,-0.00029857+0.00064597i,0.00039694-0.00013114i,0.00023282-0.00066474i,-0.00013639-2.648e-06i,-0.00026152+0.00026189i,-0.00036494-0.00013869i,-2.2982e-05-5.4888e-05i,-5.5797e-05+0.00020318i,0.00038623+0.00054377i,0.00056685+0.00067167i,7.0057e-05+0.00012761i,-5.5441e-05-0.00014858i,0.00061832+1.4757e-05i,0.00057305+3.9952e-05i,7.2388e-06-0.00046262i,-0.00029151-0.0010232i
0.001839+0.001985i,0.0015719+0.00055704i,0.0016807-0.00118i,0.00094849-0.0011732i,-3.9564e-05-0.00018035i,-0.00059707+0.0009921i,-0.00045182+0.00064241i,-0.00034525-0.00026554i,0.00021533-0.00070766i,0.0010729-0.00030022i,0.00084098+0.0003024i,0.00023834+0.00030978i,-0.00014298+0.00083084i,-0.0005666+0.0014293i,-0.00014679+0.00088535i,0.00033021+0.0005975i,0.00038841+0.00070992i,-0.00021596-6.6894e-05i,-0.0010749-0.00038415i,-0.00074806+1.963e-05i,4.2713e-05+0.00041889i,-0.00014523+0.00061682i,-0.00060701+0.00077303i
-0.00066741+0.00025212i,-0.0014755+0.0011276i,-0.0018275+0.0011685i,-0.00068128+0.00077276i,2.8382e-05+0.0017932i,-0.00095278+0.0024347i,-0.00083639+0.0018692i,-0.0001973+0.0013291i,-0.000206+0.000303i,0.00015031-0.00031625i,0.00076971+3.9879e-05i,0.00041714+0.00030273i,4.7286e-05+0.00025403i,0.0001086+0.00013567i,0.00019351+0.00035073i,0.00036029+0.00093903i,3.2099e-05+0.00069092i,-8.7953e-05+0.00024847i,-1.3465e-05+0.00049559i,8.9251e-05+0.00031005i,0.00011385+0.00054746i,0.00047456+0.00043891i,0.00088414-0.0009577i
-0.00124-0.0027376i,-0.0014595-0.0010621i,-0.0028874+0.00042569i,-0.0026596+0.00093777i,-0.00088118+0.0020921i,-1.5103e-05+0.0023166i,2.4019e-05+0.0013141i,1.2683e-05+0.00024496i,-0.00063106-6.4589e-05i,-0.0012063-7.5575e-05i,-0.001114+5.8651e-05i,-0.00025733-0.00037011i,0.00032345-0.00065737i,4.3593e-05-0.00060149i,6.3074e-05-0.00045823i,0.00053456-0.00037294i,0.00078565-0.00063949i,0.00089151-0.00048853i,0.00058701-6.7888e-05i,0.00068941-8.8832e-05i,0.0013979-4.4454e-05i,0.0012667+0.00010231i,0.00042685-2.3352e-05i
0.00030502-2.5615e-05i,-0.00022737+0.00020919i,0.00018519+0.00094363i,3.5297e-05+0.0012203i,-0.00059151+0.0016175i,-0.00038674+0.001689i,-0.00020369+0.00092511i,-0.00045112+0.00044769i,-0.00066377+0.00046032i,8.3226e-06+0.00032175i,0.00036053+0.00038257i,-9.351e-05+0.00033144i,0.0001722-0.00032284i,0.0012445-0.0006119i,0.0013634+0.00015327i,0.0011199-3.4592e-05i,0.00053757-0.00065493i,-0.00014669-0.00011299i,-0.00064297+9.8172e-05i,-0.00021877-0.00011555i,-0.00028064-0.00044318i,-0.00053943-0.0011438i,-3.3254e-05-0.001041i
-0.00030908+0.00043547i,-0.00096542+4.0598e-05i,-0.00032742-0.00024244i,0.00020269+0.00052932i,-0.00020372+0.00093436i,0.00017123+0.00039215i,0.00030704+0.00075495i,8.7818e-05+0.00062083i,0.00025131+0.0005048i,0.00047482-0.00018584i,0.00051641-0.00086743i,0.00035219-0.00074527i,0.00031209-7.4948e-05i,0.00030367+0.0011729i,0.00036117+0.00124i,2.8172e-05+0.00077342i,-0.00016187+0.0007626i,0.00029635+0.00077953i,-1.9451e-05+0.00020629i,7.3076e-05-0.00028374i,0.00069613-0.00087014i,0.00038957-0.0010897i,-0.00069851-0.00041363i
0.0021067-0.0017231i,0.00086877-0.0021161i,-0.00095965-0.0027675i,-0.0025286-0.0010814i,-0.0033177+0.00069701i,-0.0025819+0.0013156i,-0.0014686+0.00084907i,-0.0010476+0.00054138i,-0.00095609-0.00049052i,-0.0011744-0.0011196i,-0.00083881-0.00064795i,-0.00027463-0.00043118i,0.00020962+6.589e-06i,0.0010215+0.00057267i,0.00083572+0.00086185i,-0.00011107+0.0005195i,-0.00032483+0.00023913i,-3.7554e-05+0.00035211i,0.00057394+0.0005632i,0.00092657-2.455e-05i,0.00057709+1.1988e-05i,-0.0003093+0.0005515i,-0.0011741+6.1741e-05i
-0.00088149+0.0011809i,-0.0006428+0.0011113i,-0.00045234+0.0011499i,-0.00059173+0.0013066i,-0.0012591+0.0014616i,-0.0014673+0.00099329i,-0.00038725+0.00022508i,0.0003497+0.00013025i,-0.00044235+1.9777e-05i,-0.00072427-8.2596e-05i,-5.2995e-05-0.00012636i,-5.9556e-05+9.9383e-05i,-0.00046376+0.0001318i,-0.00035642-0.00013343i,-7.6172e-05-0.00028445i,-0.00040017-0.00094289i,-0.00027193-0.0010149i,-0.00027941-0.00076217i,-0.00092606-0.00062708i,-0.00071071-0.00017428i,-0.00046569-0.0002155i,-2.5266e-06-9.2313e-05i,0.00021201+0.0006339i
0.00075519+0.0016805i,0.00092012+0.00037185i,0.0015438+6.4166e-05i,0.0012626+0.00012357i,0.00055951+0.00039714i,2.0276e-05+0.00090247i,-0.00067134+0.00078744i,-0.00095839-0.00012802i,-0.00061993-0.0010159i,-0.00020783-0.001181i,8.0999e-05-0.00095599i,0.00036903-0.00031148i,0.00046697+0.0001639i,-0.00043748+0.00030399i,-0.00036174+0.00061395i,-0.00010837+0.00044934i,-0.00051148-8.9455e-05i,-0.00016337-8.8747e-05i,-0.00013155-0.00024024i,-0.00013391-0.00058724i,0.00031716-0.00028734i,0.00071478+0.0007042i,0.0011659+0.00063773i
0.00018609-0.00031994i,0.00054291+0.00013294i,-0.0009168+0.0010584i,-0.002502+0.0019498i,-0.0018284+0.0024957i,-0.0008612+0.0018819i,-0.00098516+0.00059318i,-0.00097706+0.00021124i,-0.00077109+0.00015697i,0.00024474+0.00026347i,0.00075116+0.00059355i,0.00081782+0.0001662i,0.00050358-0.0010772i,9.5628e-05-0.0013554i,-3.4354e-05-0.00069935i,-0.0001084-0.00073844i,0.00037944-0.0005951i,0.00058344+5.1969e-05i,-0.00016057+7.5902e-05i,-0.00083203+6.4813e-05i,-0.00081725+0.00016907i,-0.00078261-0.00081039i,-0.00089281-0.0012605i
