-0.001158-0.00068566i,-0.00066474-0.0014666i,-0.00053601-0.0017254i,-0.0010061-0.0012268i,-0.0012209-0.00034115i,-0.0013493+0.00038493i,-0.00052311+0.0013338i,0.00018709+0.0012853i,0.00085137+0.00068269i,0.0014599+0.00016311i,0.00085368-2.4906e-05i,7.5422e-05-1.706e-05i,7.7816e-05-0.00060688i,0.00029935-0.00080901i,0.00034249+9.4411e-05i,0.00030994-8.7882e-05i,0.00081445-0.00043126i,0.0011464-1.7699e-05i,0.00057255-0.00033192i,-0.0004904-0.00022037i,-0.0013739-1.355e-05i,-0.0012698-0.00028417i,-0.00070867-0.00040775i
-0.0016231-0.00084492i,-0.0026987-0.00095268i,-0.003262-0.00086718i,-0.0018563+0.00018493i,-1.8841e-05+0.00092915i,0.00090123+0.00064824i,0.00040426-0.00081521i,-0.00047711-0.0011134i,-0.0009921+0.00027807i,-0.00047519+0.00076842i,0.00025486+0.0002444i,0.00079623+0.00062989i,0.00067488+0.00081482i,-1.5993e-05+9.8528e-05i,-0.00044149-0.00075226i,-0.00016132-0.00046818i,0.00014522+1.839e-05i,0.00056237-0.00036204i,0.00055866+3.4568e-05i,0.00032203+0.000892i,-0.00020789+0.00082658i,-0.00041166+0.00038157i,-0.00022963+0.00026408i
0.00098856-0.00033518i,0.00045208+0.00033775i,-0.0014953+0.00038546i,-0.0020144-0.00026318i,-0.0010208-0.0002236i,-0.00010993-0.00037733i,0.00044316+0.00014392i,0.00033902+0.00099578i,0.00060293+0.00086877i,0.00069517+0.0013088i,0.00030526+0.0017846i,-0.00020477+0.0016309i,-0.00044643+0.0011312i,-0.00042237+0.00042474i,0.00017871-0.00019375i,0.00098175-2.332e-05i,0.00069289+0.00070678i,0.00029689+0.00034482i,0.00031157+0.0001934i,0.00028414+0.00072221i,1.825e-05+0.00072988i,0.00045723+0.00038124i,5.8321e-05-0.00016577i
0.00097664-0.00091497i,-0.00022825-0.0017331i,-0.0004322-0.00232i,-0.00018365-0.0011513i,8.3009e-05-0.0005521i,-0.00012746-0.00019098i,-1.0595e-05+1.6791e-05i,0.00048786-5.3052e-05i,0.00040341-7.1607e-05i,0.00041739-0.00028607i,0.00035792-0.00044091i,-4.9216e-05+0.00049481i,-0.00044615+0.00049196i,-0.00078124-0.00011117i,-0.0005213+0.00016733i,0.00027615-0.00070222i,0.00083304-0.00071276i,0.00026989+8.7029e-06i,-0.00090059+7.6652e-05i,-0.0011721+0.00047242i,-0.00081108+0.00050388i,-0.00050787+0.00049083i,-0.00015523+0.00074124i
-0.00063736+0.00016214i,-0.0013722+0.00082088i,-0.00083674+0.0011177i,0.000312+0.00059754i,0.0006424+2.949e-05i,0.00093438-0.00072148i,0.00078801-0.00060269i,0.0007085+0.00048539i,0.00084581+0.00096815i,0.0007411+0.00048721i,0.00082263-4.1114e-05i,0.0003312-0.0002543i,-0.00026669-0.00029372i,-0.00016801-0.00018593i,0.00040128+0.00011013i,0.00046847+0.0002087i,0.00046949+0.0008984i,0.00096991+0.00064327i,0.00054173+7.1043e-05i,4.8361e-06+0.00022323i,-0.000165+0.00034381i,-0.0005406-0.00019247i,-0.00052865-0.0010968i
-4.3289e-05+0.00041916i,-0.00098312-0.001053i,-0.0014229-0.00071763i,-0.00046059+0.0007133i,0.00057526+0.0011237i,0.00015034+0.00097905i,-0.00045469+0.00071558i,-0.00077302+0.00067857i,-0.00043347+0.00032292i,9.1723e-05-0.00041709i,0.00030065-0.00064211i,0.00049442-0.00079026i,0.0003164-0.00047092i,0.00033226+0.0005733i,2.8725e-05+0.0006371i,-0.00043726+0.0005796i,-0.00040023+0.00055193i,0.00031834+0.00021092i,0.00080413+0.00018129i,0.00058752+0.00032986i,-0.00025155+0.00055738i,-0.00073674+0.00053777i,-0.00042216+0.00034666i
0.00029928-0.00047972i,-0.00048069-0.0013159i,0.00013163-0.0010436i,0.0012994+0.00029086i,0.0020532+0.00072605i,0.0011212+0.00032695i,-0.00037152+0.00046532i,-0.00065227+0.0014446i,-0.00022664+0.0014986i,0.00026769+0.0010798i,0.00032882+0.00080838i,0.00040234+2.064e-05i,0.00012096+0.00033684i,-0.00059925+0.00051772i,-0.00050867+0.00061419i,0.00052574+0.00028406i,0.00063045-0.00022484i,6.7542e-05-0.00037463i,-0.00023087-0.00064331i,-8.947e-06-0.00029306i,0.00010746+6.3096e-05i,-6.4345e-05-7.796e-05i,-7.0073e-05-0.00043179i
-0.00077009-0.00025235i,-0.0010204+0.0010962i,-0.0005747+0.0013437i,0.00075303+0.00049364i,0.0015961+0.00046133i,0.0011129-0.00015925i,0.00019805-0.00086766i,1.3471e-05-0.00087358i,0.00051663-0.0002189i,0.00058754+0.00085431i,0.0007235+0.00095636i,0.00033048+0.00031767i,-0.00012735-0.00050574i,-0.00070689-0.0010415i,-0.0011676-0.00066966i,-0.00027492-0.00069634i,0.00053-0.00039496i,0.00048036-3.616e-05i,0.00091147-0.0001274i,0.00084826+0.00047569i,3.0598e-05+0.00075206i,0.00017125+0.00011916i,-0.00031222+0.00026065i
-4.2862e-05+0.00050606i,-0.00012129+0.00038404i,-0.00068215+0.00054225i,6.97e-05+0.00037611i,0.0010701+0.00010956i,0.0014265-1.5085e-05i,0.0010602+0.00058865i,0.00088655+0.00034155i,0.00050006-0.00023291i,2.3939e-05-0.00059894i,0.00052992-0.00090859i,0.00087918-0.00073321i,0.0006811-0.00017346i,0.00054482+0.00018339i,0.00015598+0.00011629i,2.5641e-05-0.0004137i,0.00014339-0.00036627i,0.00053301-0.00024975i,0.00051461+0.00026231i,0.00082956+0.00056082i,0.0011495-0.00035517i,0.0002032-0.00033844i,-0.00026557-0.00042726i
0.0012185+0.0006052i,0.0014416-0.00025294i,0.00041389-0.00029538i,-0.00071812+7.8023e-05i,-0.00078666-0.00033754i,8.5076e-06-0.00052099i,-0.00017722+0.00012605i,-0.00012595+0.00075395i,0.0012397+0.00057624i,0.0013717+0.00030204i,0.00016009+5.1306e-05i,0.00011576-7.7946e-05i,0.00016782+0.0005642i,-0.00051602+0.00087575i,-3.1993e-05+0.00029422i,0.00058526+3.2141e-06i,0.00068874+0.00026388i,0.00083055+3.2262e-05i,0.00040744-0.00014193i,-4.5717e-05-7.9385e-05i,-0.00016701+0.0003058i,-0.00022191+0.00051484i,-0.00018565+0.00035597i
-0.00055292-0.0011127i,-0.00012331-0.00083972i,0.00011907-0.00028108i,0.0004586-0.00028846i,0.0005952-0.00039057i,0.00034777-0.00093469i,-0.00025834-0.00038817i,-0.0007001+0.00094977i,-0.00095056+0.00094431i,-0.00014464+0.00088004i,0.00011905+0.0002965i,-0.00022663+2.8037e-05i,7.6016e-05+0.00038654i,0.00038204+9.0108e-05i,0.00060505+0.00062486i,0.00039103+0.00068147i,0.00059013-0.00011519i,0.00043302-0.00029061i,-5.35e-05-0.00073522i,0.0001832-0.0011693i,0.00023923-0.00017182i,-0.00024631+0.00058139i,-0.00033632+0.00022583i
