-0.0026977-0.0016758i,-0.0024867+0.00017658i,-0.003185+0.0017245i,-0.0043914+0.0026803i,-0.0045122+0.0023255i,-0.0027816+0.0014639i,-0.001421+0.0020608i,-0.00088642+0.002577i,0.00013823+0.0026535i,0.00082205+0.002761i,0.0010527+0.0025965i,0.00076025+0.0021009i,0.00026208+0.001261i,-0.00010347+0.0007733i,-0.00017604+0.00061558i,0.00030718+0.00025587i,0.0003071-0.0002681i,-9.0954e-05-0.0002005i,0.00010024+0.00025816i,0.00039293+0.00077204i,1.3416e-05+0.00066835i,-0.0004315-0.00054898i,-0.00025141-0.0010848i
-0.000756+0.00098906i,-0.0013765+0.0023903i,-0.0017015+0.0039057i,-0.0008638+0.0023479i,-0.00067897+0.0004331i,-0.0009624+0.00016699i,-0.000922+5.9502e-05i,-0.0010697+0.00027177i,-0.00055958+0.00028375i,0.00085288+0.0002177i,0.0010757+0.00058407i,0.00071629+0.00025854i,0.0011306+0.00041027i,0.001654+0.0010335i,0.00082509+0.0010432i,0.00015296+0.00034659i,0.00034901-0.00015879i,0.00069345-7.8048e-05i,0.00031588+0.00039842i,0.00012908+0.0014324i,0.00052598+0.0014566i,0.00010594+0.00025085i,-0.00014617-1.0774e-05i
0.0015466-0.00066789i,0.00028104+0.00047191i,-0.00079471-0.0002397i,-0.00097338-0.00088863i,-0.0021317-0.0013293i,-0.0026604-0.00011401i,-0.0016567+0.00093102i,-0.0010172+0.00058679i,-0.00066646+0.00027573i,0.00020412+0.00042081i,0.00067328+0.00055701i,0.00029006+0.00060802i,-0.00036746+0.00068215i,-0.00074405+0.00078862i,-0.00026426-0.00040668i,0.00038064-0.00074596i,-5.8025e-05-0.00015034i,-0.00016724-0.00029154i,0.00014932+0.00012284i,-3.0054e-05+0.00010686i,-0.00013527-0.00047564i,0.0003582-0.00018676i,-3.7781e-05+0.00045322i
-0.00034691-0.0017075i,-0.0011626-0.0007642i,-0.0032163-0.0013048i,-0.0040614-0.0017078i,-0.0033564-0.00076699i,-0.0027759+0.00078622i,-0.002225+0.00089034i,-0.0016107+0.00034793i,-0.00091849+0.00064492i,-0.00028238+0.00079208i,-0.00017481+0.00079664i,-0.00030316+0.00091617i,-3.0517e-06+0.00027227i,0.00054722-4.3425e-05i,0.0003822+0.00034573i,-0.00017878+0.00063782i,-0.0001673+0.00052093i,-0.00018942+0.00030959i,0.00024558+0.00031425i,0.00041484+0.00030372i,-0.00016523+0.00020854i,-0.00069077+2.4194e-05i,-0.00035732+0.00018062i
0.00037514+0.00018927i,0.0010226+0.0014454i,-0.00075324+0.0019301i,-0.0026924+0.00084293i,-0.0027488+0.00045127i,-0.0019265-5.6323e-05i,-0.000876+3.0346e-05i,-0.00066979+0.00045821i,-0.0012145+0.00078857i,-0.0012458+0.00079153i,-0.00054596+0.00028237i,-0.00034391+0.00025239i,-0.00070645+0.00056366i,-0.00023307-6.126e-05i,2.0306e-05-0.00090405i,0.00013991-0.0014191i,0.00063768-0.00060087i,0.00069979+0.00073502i,0.00064068+0.00031088i,0.00065999-0.0003451i,0.00033903+0.00035143i,0.00018522+0.0016992i,0.00049717+0.0010992i
-0.00075211-0.0012501i,-0.0018343+0.00016995i,-0.0021792-0.00068014i,-0.0025742-0.0019088i,-0.0027598-0.0015313i,-0.0016288-0.00025641i,-0.00091861+0.00050398i,-0.00026045-0.00014676i,0.00018878-0.00063279i,8.2285e-06+0.00020656i,2.7505e-05+0.00052106i,-0.00031666-5.5519e-05i,-0.00067013-0.00020823i,-0.00032035-0.00021306i,-0.00038112-0.00057702i,-0.0003605+0.00017817i,-0.00032423+0.0010876i,-0.00013111+0.00066151i,0.00044923+6.9836e-05i,0.00058566+3.4602e-05i,-0.00023838+0.00029326i,-0.00046278+0.0005158i,-0.0003918+0.00045369i
-0.0012936-6.9871e-06i,-0.0011585+0.00060014i,-0.0022033+0.0007365i,-0.0027011+0.00034226i,-0.0024067-0.00015504i,-0.0019808-0.00073771i,-0.0012877-0.00052728i,-0.00046431-0.00022635i,-0.00071161+0.00037643i,-0.0015469+0.00094617i,-0.0010534+0.00080259i,-0.00018448+0.00080782i,0.0010672+0.00070657i,0.0012662+0.00084513i,0.0003597+0.00040176i,0.00047535-0.00074731i,0.00020511-0.00088104i,-0.0001671-0.00014828i,-5.5966e-05-0.00012213i,-3.6037e-05-0.00060414i,0.0003586-0.00015804i,0.00065526+0.00014182i,0.00024325+0.00020556i
-0.00015689+0.00033207i,-0.0013126+0.0007814i,-0.0029229+0.0001351i,-0.0042248+0.00034319i,-0.0045481+0.00094015i,-0.0031219+0.0015892i,-0.001094+0.0022062i,-0.00058749+0.0012694i,-0.00096688+0.00085535i,-0.0011521+0.001526i,-0.00070109+0.0014964i,0.00026898+0.00090626i,0.00076616+0.00075109i,0.00062656+0.00065894i,0.00027595+0.00054643i,0.0002251+0.00051083i,0.00068431+0.0007884i,0.00079964+0.00035136i,2.3422e-05+0.00027307i,-0.00019755+0.00024688i,0.00021929+0.00046188i,0.00025404+0.001066i,-0.00026427+0.00089971i
-0.00057681-0.0012234i,-0.00049906-0.0013927i,-0.0015159-0.0011004i,-0.0018338-0.00019661i,-0.0010231+0.00080325i,-0.00010847+0.0011906i,0.00017925+0.00083266i,0.00073392+0.00011547i,0.00078217+0.00079198i,0.00014005+0.0010042i,-9.2588e-05+0.00098043i,-0.00050549+0.0010261i,-0.00024706+0.00037121i,0.00039065-0.00011721i,0.0010977-0.00041829i,0.001455-0.00077591i,0.00077528-0.00049501i,-0.00027905+0.00056587i,-0.00051914+0.00051951i,-0.000259+1.8303e-05i,5.7394e-05+5.5832e-06i,4.133e-05+5.8242e-05i,-0.00013749+9.2164e-05i
-0.0014097+0.0017263i,-0.0018509+0.002287i,-0.0021487+0.0024723i,-0.0022102+0.0015452i,-0.002097+0.00046673i,-0.0011507+0.00013175i,3.7605e-05+0.00033577i,0.00019589-0.00023627i,0.00028666+0.00022115i,2.6043e-05+0.0012794i,-0.00021604+0.0010498i,1.7447e-05+0.0005267i,0.00032816+5.963e-05i,0.00033178-0.00037363i,6.2985e-05-0.00016402i,0.00026854+0.00019753i,0.00070029+0.00054341i,0.00041216+0.00044659i,0.00016823-8.0133e-05i,-0.00021778-0.0001174i,-0.00036465+0.00010248i,-5.0509e-05+9.0695e-05i,-6.6303e-05+8.2824e-05i
-0.00035352-0.0014865i,-0.0010477-0.0010587i,-0.0021445-0.00030926i,-0.002063+0.00055602i,-0.0020948+0.0004434i,-0.0021583+0.00065215i,-0.0015972+0.0010386i,-0.00056099+0.00090424i,0.0002946+0.0010373i,-0.00020429+0.00095723i,-0.00071045+0.00087184i,-0.0003895+0.00071763i,0.00040179+0.00072147i,-9.6536e-05+0.00088579i,-0.0001205+0.00077882i,0.0012203+0.00033551i,0.0017515+0.00073303i,0.001047+0.0009866i,0.00044979+0.00075654i,0.00025276+0.00082378i,0.00013626+0.00031806i,-0.00026347-0.00030992i,-0.00079388-0.00083088i
0.0012336+0.0015438i,7.3099e-05+0.0015118i,-0.0015198+0.00091183i,-0.0024207-0.0006059i,-0.0021725-0.00086598i,-0.0011522-9.6004e-05i,-0.00038689+0.0005652i,-0.00015079+0.00052616i,-0.00015792+0.0012734i,0.00015588+0.001648i,0.00052622+0.00065588i,0.00061368+0.00044938i,0.00015193+0.00012979i,-0.00017999+6.5636e-05i,-0.00019116-0.00015531i,2.4562e-05-0.0003972i,0.00013337-0.00027417i,0.00019852-0.00022473i,0.00042631-0.0005426i,0.00016028-0.00071496i,-0.00025136-0.00053134i,-0.00065706-0.00042342i,-0.0013448-0.00077227i
-0.00059967-0.0011281i,-0.0013258-0.000726i,-0.0025937-7.7012e-05i,-0.0040166+0.00070201i,-0.0042011+0.0013202i,-0.0021423+0.0018943i,0.00050222+0.0026053i,0.0014805+0.0030149i,0.0013648+0.002726i,0.0011663+0.0018737i,0.0011202+0.0011645i,0.0017549+0.0010416i,0.0012595+0.00090122i,0.00014846+0.00085484i,6.9221e-05+0.00055974i,-0.00019065+0.00021999i,-0.00048268-3.1167e-05i,-0.00035777+8.4655e-05i,-0.00051613+0.0003264i,-0.0007412+0.00014085i,-0.00036965-4.248e-05i,5.4267e-05-0.00022206i,2.7433e-05+0.00085499i
-0.00076827+0.00065885i,-0.0021413+0.0015787i,-0.001228+0.0037201i,-0.00049341+0.0034007i,5.7135e-05+0.00093304i,0.00022079-0.0011814i,-0.00058465-0.0024894i,-0.0021375-0.0022004i,-0.0037144-0.0008431i,-0.0038344+0.00065303i,-0.002824+0.0019332i,-0.001482+0.0018126i,-7.6086e-06+0.0013093i,0.00065821+0.00065262i,0.00034448-7.0756e-05i,0.0010765-0.0001137i,0.0013269+0.00045512i,0.00029201+0.00097796i,0.00027337+0.0013671i,0.00052962+0.0013992i,-9.3401e-05+0.00082462i,-0.00058855-0.00023909i,-0.0010327-0.00061654i
0.00010776+0.00056712i,-0.0010874-6.8114e-05i,-0.0014346-0.00062997i,-0.0016672-0.0010453i,-0.0022834-0.00095443i,-0.0025059-0.00033393i,-0.0020405+0.00047106i,-0.0014625+0.00021755i,-0.0016313-0.00056482i,-0.0015695-0.00029421i,-0.001372+0.00060929i,-0.0010897+0.0010062i,-0.00038792+0.00029947i,0.00035967+0.00015005i,0.0007592+0.00059091i,0.0010583-0.00026385i,0.0011234-0.00080864i,0.00030704-0.00026081i,-0.00031961+0.00021229i,-0.00067702+0.00054896i,-0.00073704+6.3379e-06i,-0.00062416-0.00067186i,-0.00073746-0.0005862i
-0.0011146+0.0013318i,-0.0022739+0.0018232i,-0.0037804+0.0021482i,-0.0036671+0.0013274i,-0.0026709+0.001217i,-0.0017533+0.0013128i,-0.0014431+1.3652e-05i,-0.00098085-0.00055948i,-0.00083042-0.00027003i,-0.0013538+0.00028582i,-0.00059172+0.0015524i,0.00077197+0.001488i,0.0010906+0.00033975i,0.0010413+0.0004651i,0.0010585+0.00051331i,0.0007427+0.00049063i,0.00041623+0.00039065i,0.00056798+0.00055948i,0.00063341+0.00087796i,0.00030855+0.0010972i,-0.00010457+0.00092202i,0.00023882+6.0132e-06i,0.00079974-5.0978e-05i
-0.003009-0.00044483i,-0.0026184+0.00070325i,-0.0032832+0.00083704i,-0.0039993+0.0011224i,-0.0029791+0.0016684i,-0.0011947+0.0013319i,-0.0002577+0.0007775i,-0.00033358+0.0008888i,-0.0011388+0.0012221i,-0.0014599+0.0011366i,-0.0010708+0.00154i,-0.00062902+0.0014968i,-0.00028791+0.00077445i,6.3786e-05+0.00065461i,0.0010332+0.00054483i,0.00088721+0.00060291i,4.8329e-05+0.00052233i,-0.0001321+3.7576e-05i,0.00081467-0.00074755i,0.0010571-0.0012066i,0.00044416-0.0010593i,-0.00022109-0.00069966i,-0.00038173-0.00038122i
-0.00038725-0.0010395i,-0.0016467-0.00032437i,-0.0027735+0.0011716i,-0.0026235+0.0017376i,-0.0027007+0.0011392i,-0.002193-0.00019133i,-0.00070389-0.00060986i,-0.00026789+0.00010802i,-0.0014925+0.00091328i,-0.0010226+0.0015276i,-0.00071301+0.0014977i,-0.00077884+0.0014167i,0.00050565+0.00057407i,0.0010984+4.4806e-06i,0.00078364-7.8334e-05i,9.624e-05-0.0001541i,-0.00049486+0.00010789i,-0.00058334+0.00060248i,-0.00019742+0.0008613i,5.013e-05+0.00029851i,0.00031752-0.00018582i,0.00072896+0.00013226i,0.00093907-0.00032709i
-0.0017494+0.0026651i,-0.0026102+0.0028104i,-0.0020821+0.0036574i,-0.0016958+0.0029977i,-0.0013213+0.0016106i,-0.00086633+0.00044066i,-0.00065028+0.00059333i,-0.00064914+0.0014929i,-0.00075926+0.0014158i,-0.0003479+0.001164i,-2.0233e-05+0.00078892i,-0.0003588+0.0002314i,-0.00042572+0.00049101i,0.00059774+0.00043752i,0.00093814+0.00011261i,0.00026555-0.00035403i,0.00023538-0.00082822i,0.00029844-0.0010384i,0.00057325-0.00010964i,0.00038835+0.0001584i,-0.00018588-0.00055141i,-0.00041703+2.3582e-06i,-0.00060637+0.000946i
-0.00038788-5.1484e-05i,-0.00054302+0.00086544i,-0.00080721+0.0018064i,-0.0015508+0.0019448i,-0.0022042+0.0020354i,-0.0013687+0.0018724i,-0.00017228+0.00090916i,-0.00030575+3.2239e-05i,-0.0010534-0.00049537i,-0.0013369+0.00026193i,-0.0012174+0.0014604i,-0.0001055+0.0019862i,0.0004376+0.0018226i,0.00038814+0.0010529i,0.00061324+3.3667e-05i,0.00030046-3.0546e-05i,0.00092448-0.00043626i,0.0015297-0.00039825i,0.00050558+0.00014342i,7.1414e-05+0.00061936i,8.6715e-05+0.00031691i,-3.3924e-05+3.2434e-05i,-0.00033489+0.0002912i
-3.2886e-07+0.00028129i,-0.00069228+0.0016553i,-0.0015068+0.0016747i,-0.0016272+0.0003436i,-0.001343-0.00081103i,-0.00069143-0.0008914i,0.00022617+0.00032361i,-0.00011708+0.00058367i,-0.00046305+8.3047e-05i,-0.00030467+5.1125e-05i,-0.00027856+0.00059062i,0.00012217+0.0003576i,0.0011553-0.00011864i,0.00088365+0.00016052i,5.1789e-06+0.00014293i,-0.00010042-0.00025475i,-0.00017177-0.00084621i,6.6294e-05-0.0003425i,-0.00023763+0.00014684i,-0.00092518-0.00019601i,-0.0010274-0.00030631i,-0.00062972-0.00028619i,-0.000343-0.00078311i
-0.0003293+0.00035786i,-0.0012693+0.00084017i,-0.0027942+0.0012079i,-0.0032315+0.0012483i,-0.0022992+0.0011699i,-0.0012413+0.00055838i,-6.8241e-05-0.00046428i,-8.6865e-05-0.00057008i,-0.0014879-0.00036446i,-0.0018559+0.00026707i,-0.00090045+0.00060704i,0.00024105+0.00074527i,0.00081333+0.0014148i,0.000474+0.0013426i,0.00077929+0.00055916i,0.00066544+0.00017962i,0.00042339+0.00025601i,0.0002735+0.00019619i,1.7701e-05-0.00032315i,0.00023698-0.00073544i,0.00059519-0.00054842i,0.00075399-9.9066e-05i,0.00027434-0.0006267i
0.00098871-0.00090261i,0.00066051+0.00018451i,-0.0007458+0.00053317i,-0.0018769+8.5385e-05i,-0.0024846+0.00015284i,-0.0017131+0.00045804i,0.0001206+0.00084971i,-0.00011504+0.000608i,-0.0016335-0.00020339i,-0.0019106+0.0005117i,-0.00092065+0.0015162i,-0.00013299+0.0011351i,0.00017316+5.8735e-05i,0.00010056-1.7468e-05i,0.00022653-0.00030467i,0.00027987-0.00041766i,0.00024302+2.4986e-05i,0.00015128+0.00026719i,-0.00015909-5.5558e-05i,-0.00044342-0.00024065i,-0.00048456+0.00015629i,-0.00052531+0.00058878i,-0.00011105+0.00063973i
-0.00073408-0.00037137i,-0.002478+0.00049428i,-0.0036346+0.001234i,-0.0035251+0.00070422i,-0.002328+0.00050907i,-0.0019036+0.00020421i,-0.0017941-0.00045245i,-0.0013267-0.00075205i,-0.00076311-0.0004175i,-0.00081562+0.00047822i,-0.00028042+0.0010546i,0.00036819+0.0010084i,0.00040795+0.00045706i,0.00067389+0.00028821i,0.00056556+0.0002659i,0.00024258-0.00041405i,0.00074406-0.00058295i,0.0007801+1.7526e-05i,-1.104e-05+0.00067669i,-0.00039547+0.00043649i,-0.00054099-1.0729e-05i,-0.0010125-0.00051213i,-0.00068109-0.00075684i
-0.00036809+0.00043863i,-0.00077706+0.0011196i,-0.0013347+0.0012895i,-0.0020403+0.00055328i,-0.0027561-0.00046919i,-0.002275-0.00029497i,-0.0011928+0.00031399i,-0.0013578+0.00049453i,-0.0018156+0.00093646i,-0.0018027+0.00097809i,-0.0013964+0.00063285i,-0.00063502+0.00059426i,-0.00019609+0.0009509i,1.6514e-05+0.00056238i,0.00023869+0.0001046i,-2.4953e-05+0.00012367i,-4.4428e-05-0.0004943i,9.3086e-05-0.0010143i,0.0005067-0.00061144i,0.00068454+0.00052538i,8.5309e-05+0.00081141i,-0.00023928+0.00016461i,-0.00041347-9.8168e-05i
0.00017655-0.000266i,-0.0018423-0.00012754i,-0.0027401-0.0001096i,-0.002226-9.116e-05i,-0.00080294+0.00020812i,-0.00035832+2.6012e-05i,-0.00072309-0.00067509i,-9.385e-05-1.0274e-05i,-0.00022854+0.00077656i,-0.00023162+0.00037252i,0.00055245+0.00036862i,0.00041783+0.00081823i,0.00011776+0.00097752i,4.5773e-05+0.00063239i,-0.00048123-8.8714e-05i,-0.00077751-0.00013722i,-0.00053202+0.00026941i,-0.00098409+9.8438e-05i,-0.00099563-0.00041801i,-0.00044924-0.00033175i,-0.00044458-0.0002853i,-0.00024845-0.00013887i,0.00016016-0.00025395i
0.00012861-0.00044507i,2.8895e-05+0.00016089i,-0.001128+0.0001721i,-0.0022253-0.00031844i,-0.0030152-8.3527e-05i,-0.0023058-2.2982e-05i,-0.00073808-9.2095e-05i,-0.00062195+0.00038346i,-0.0011628+0.0011092i,-0.00047949+0.0012621i,8.965e-06+0.0010302i,-0.00048136+0.00080646i,-0.00030496+0.00091396i,2.6047e-05+0.00085572i,0.00046122+0.00040538i,0.00016218+0.00056811i,-9.8877e-05+0.00080875i,0.00035451+0.00070135i,0.00078123+0.00036698i,0.00038761+0.00012888i,-7.1944e-05+0.00013164i,0.00032287+0.0002694i,0.0003466+0.00017737i
8.8632e-05-0.0003184i,-0.00093348+6.6368e-05i,-0.0022169+0.00094334i,-0.0030714+0.00071538i,-0.0030909-6.799e-05i,-0.0022371-0.00017923i,-0.0010715+0.00037598i,-0.0010255+0.00060332i,-0.0010283+0.0009248i,-0.0011415+0.00095485i,-0.00088194+0.00072824i,-0.00020865+0.00081386i,0.00020892+0.0005549i,0.00031167-1.8263e-05i,-0.00027267-0.00025513i,-0.00075145-6.9761e-05i,-0.00025585+3.6385e-06i,-4.9098e-05-0.00013676i,-0.00031883-0.00035956i,-0.00037413+0.00034599i,-2.2782e-05+0.0011509i,0.00062229+0.00047823i,0.00037457-0.0002947i
0.0010377-0.0016353i,0.00059244-0.0013533i,-1.6037e-05-0.0013268i,-0.0021028-0.0021852i,-0.0032744-0.0024631i,-0.0032814-0.0015131i,-0.0027216-0.00091043i,-0.0025662-0.00060234i,-0.0020487+0.00048293i,-0.0011682+0.0012217i,-0.00055932+0.0001795i,-0.00037261-0.00031366i,1.5687e-05-0.00031065i,0.00030017-5.798e-05i,0.00011737+0.00050911i,0.00020373+0.0008732i,0.00048547+0.0009408i,0.00018856+0.00061401i,-0.00020872-0.0002365i,-0.00035573+0.0001833i,-0.00079501+0.00060087i,-0.0008604+5.901e-05i,8.6911e-05+0.00031247i
0.00011077+0.00029744i,-0.0011478+0.0010916i,-0.0028056+0.0012673i,-0.0026736+0.00043678i,-0.0019595+0.00038693i,-0.0014394+0.00069213i,-0.00040272+0.001078i,-0.00036127+0.0011682i,0.00010058+0.00090544i,0.00025592+0.0011185i,-0.00024708+0.0012628i,1.236e-05+0.00062837i,2.7224e-05-5.5107e-05i,-0.0002607+0.00023557i,-0.00019492+0.00020019i,-0.00020072+0.00024466i,-8.3523e-05+0.00022977i,-0.00039533-0.00023883i,-0.0010429+0.00013597i,-0.00089421+0.00025269i,-0.00021178+0.00072548i,-0.00042037+0.00088997i,-0.00073246+0.00015503i
-0.0016846+0.0016501i,-0.0010481+0.001217i,-0.00088695+0.0014912i,-0.0007816+0.00075172i,-0.00059824+0.00011252i,-0.0010855-0.00025987i,-0.00099161-0.0001655i,7.0739e-05-0.00010239i,-7.5179e-05+0.00040354i,-0.00067063+0.0018938i,-0.00093092+0.0016132i,-0.00043513+9.0017e-05i,0.00045714-0.00015735i,0.00072001-0.0003633i,-9.8806e-05-0.00030783i,-0.00037345-0.00023979i,0.00027923-0.00082975i,0.00060834-0.0010978i,0.0008151-0.00046051i,0.00077083+0.00053618i,0.00039847+0.00098487i,0.00028652+0.00053385i,0.00051814-0.00024212i
0.00094329+2.0168e-05i,-0.00017499-0.00043751i,-0.0025469-0.0009211i,-0.0037217-0.0006463i,-0.0030641-0.00024992i,-0.0019242-0.00018328i,-0.00066661-0.00053775i,6.0558e-06-0.00058123i,-9.0964e-05-0.00059327i,-7.5432e-05-0.00041693i,-0.00028393+0.00056156i,-0.00015206+0.00075759i,0.00017507-5.7666e-06i,9.5724e-05+0.00010904i,-7.9845e-05-0.0003014i,-0.00060367-0.00075876i,-0.00079969-0.00046976i,-0.00043152-7.7355e-05i,7.0015e-05+0.0001213i,0.00017023-0.00026003i,-0.00012952-9.7822e-05i,-0.00063503+0.00035858i,-0.00054636+0.00019282i
-0.0023893-0.0011311i,-0.0043213+5.6243e-05i,-0.0054193+0.0013452i,-0.0053437+0.0024313i,-0.0042059+0.0016638i,-0.0014986+0.00071379i,8.7328e-05+0.0012458i,-2.0169e-05+0.0012336i,-3.8018e-05+0.0006197i,-9.5074e-05+0.00074213i,4.0461e-05+0.0015315i,0.00030552+0.0014337i,7.1271e-05+0.00022448i,-2.7699e-05-4.557e-05i,-0.00022709+0.00059805i,-0.00031221+0.00045197i,0.00013087+8.4987e-05i,-7.0026e-05-0.00038217i,0.00015728-0.0012499i,0.00041951-0.00083302i,0.00064619+0.00017145i,0.00059071+0.00041883i,-0.00046805+0.00036716i
0.0013844-0.0021898i,0.0016618-0.001791i,-0.00012548-0.001694i,-0.0024392-0.0019631i,-0.0020053-0.0014718i,-0.0020624+9.0677e-05i,-0.0018974+0.00073055i,-0.00069727+0.0012023i,-0.00025116+0.0015659i,2.8946e-06+0.0020792i,0.00044306+0.0021664i,-0.00023047+0.00096636i,-0.00053525+0.0003994i,0.00044886+0.00087824i,0.00046819+0.0013343i,-1.3597e-05+0.0010486i,5.1343e-05+0.00025139i,0.00053842+0.0003427i,0.00041816+0.00017944i,0.00011631-0.00039807i,2.6101e-05-6.3918e-05i,0.00026461-0.00050923i,0.0004747-0.00064502i
-0.0019598+0.0018658i,-0.0026065+0.0025399i,-0.0042884+0.0030441i,-0.0037463+0.0015564i,-0.0019576+0.00036043i,-0.0010666+8.0826e-05i,-0.00071999-0.00052827i,-0.00049032+0.00012673i,-0.00053458+0.0010929i,-0.00076679+0.0010739i,-0.00052964+0.0011581i,-0.00011431+0.00086852i,0.00054771+0.00041128i,0.00088447+0.001i,0.0011815+0.0013227i,0.0013901+0.0007466i,0.00054459+0.00069499i,-0.00037737+0.00061792i,1.5615e-06+0.00055777i,0.00074264+0.00099151i,0.00097037+0.0010946i,0.0011447+0.0006508i,0.0012306-6.6458e-05i
-0.00057705-0.00062661i,-0.00048637-0.00072061i,-0.0020617-0.00046322i,-0.0036842-0.00025054i,-0.0037074-0.00015056i,-0.0028493+0.00030316i,-0.0012116+0.00025964i,0.00031512+0.00026441i,-0.00018333+0.0012093i,-0.0011303+0.0014345i,-0.00063033+0.0010286i,-8.7942e-05+0.00060478i,0.00028843-7.0207e-05i,0.00064384+1.7632e-06i,0.00077714+0.00066945i,0.0011894+0.00059821i,0.00085972+0.00021134i,-0.00029519+0.00029315i,-0.0010369+0.0006523i,-0.00011103+0.00034811i,0.00064654+0.00014905i,0.00019158-2.8405e-06i,-2.0786e-05-0.00013444i
-0.0016571-0.00026377i,-0.0035775+0.00046521i,-0.0041914+0.00077167i,-0.0036529+0.0013458i,-0.0033128+0.0021579i,-0.0022702+0.0014108i,-0.0013557+7.705e-05i,-0.0016074-0.00060412i,-0.0019514-0.00012059i,-0.0016197+0.00085165i,-0.0013138+0.0011584i,-0.000908+0.0017783i,9.4599e-05+0.0015105i,0.00074958+0.00035361i,0.00035588-8.0438e-05i,-8.5058e-05-0.00083411i,-0.00032166-0.00098049i,-0.00026865-0.00012932i,0.00039283+0.00044379i,0.00025514-9.21e-05i,0.00040771-0.00035551i,0.0013232-4.0889e-05i,0.0007645+0.00055571i
-0.001084-0.00011365i,-0.00098773+0.00027041i,-0.0015472+0.00098505i,-0.0023055+0.0014385i,-0.0021163+0.0017613i,-0.0014959+0.00087009i,-0.00088752-2.3109e-05i,-0.00058992+0.000538i,-0.0013628+0.00076372i,-0.0012509+0.0011325i,-0.0010237+0.0018616i,-0.001311+0.0020999i,-0.00062082+0.0016731i,-0.00020142+0.00063324i,0.00047121+0.00071617i,0.00074035+0.00050633i,6.0104e-06+0.0004294i,-0.00068913+0.00058538i,-0.00097289+0.00029485i,-0.00042735-6.005e-05i,0.00016091-6.7197e-05i,4.605e-05+6.6923e-05i,-5.8447e-05-0.00032204i
0.00081083+6.6986e-05i,-0.00027592+0.00066953i,-0.0016192-0.00025223i,-0.0024592-0.0016576i,-0.0028898-0.0012264i,-0.0020358-0.00070733i,-0.00098835+3.0781e-05i,-0.00057794+0.00094372i,-0.0007967+0.0012821i,-0.00080907+0.0012471i,-0.00034904+0.000983i,-8.5911e-05+0.00063441i,0.000248+0.00040901i,0.00068985-0.00015062i,0.00058581-0.00020165i,-2.2983e-05+0.00030374i,-0.00052249+0.00032675i,-0.00071221-0.00022198i,-0.00039994-0.00050535i,1.9215e-05-0.00050253i,-1.3785e-05-0.00012507i,3.8762e-05+0.00030462i,-0.00013388-0.00025814i
3.9339e-05-0.0028333i,-0.0018086-0.0028034i,-0.0030315-0.0020613i,-0.0040893-0.0011139i,-0.0044202-0.0010238i,-0.003288-0.00057809i,-0.0017687+0.00068634i,-0.00093639+0.00069387i,-0.0010846+0.00040601i,-0.0016709+0.00063718i,-0.0014522+0.00090477i,-0.00064593+0.0014467i,1.7116e-05+0.0013361i,0.00064524+0.00084332i,0.0009343+0.0012624i,0.00051321+0.0012849i,-0.00017005+0.00020781i,0.00021405-2.2509e-06i,0.0007238+0.00073561i,0.00040896+0.00080935i,-0.00025912+9.9457e-05i,-0.00041669-0.00061415i,-0.00069267-0.00049654i
-0.0013387-0.0018444i,-0.0016593-0.0017553i,-0.0024008-0.0019474i,-0.0034624-0.0014847i,-0.0042111-0.00019418i,-0.0035927+0.00039154i,-0.0012026+0.00069086i,-0.00014445+0.00081472i,-0.00121+0.0019797i,-0.0013621+0.0020147i,0.0001655+0.0015389i,0.00040435+0.0014371i,5.2066e-05+0.0010888i,-0.00010317+0.00043887i,-4.1932e-05-0.00068796i,0.00016062-0.00044983i,-0.00019769-0.0001514i,-2.8646e-05-0.00033748i,2.926e-05-4.4218e-05i,-0.00052471+0.00011076i,-0.00071181-0.00053473i,0.00012401-0.00027838i,0.00051408+1.7991e-05i
-0.00030233-0.00058837i,-0.0023466+0.00019006i,-0.0044234+0.0017093i,-0.0048017+0.002245i,-0.0044974+0.0014505i,-0.0029822+0.00083528i,-0.0011051+0.0012217i,-0.0011142+0.0012734i,-0.0012623+0.00018957i,-0.0016067-0.00039292i,-0.0013582-7.0577e-05i,-0.0010079+0.00024729i,-0.00092683+0.0003164i,-9.1785e-05+0.00064913i,0.00057961+0.0013793i,-0.00016212+0.0010095i,-0.0010864+0.0002978i,-0.00081003+0.00054589i,-0.00069638+0.00082213i,-0.00092419+0.00072952i,-0.00082898+0.00044256i,-0.00056356-0.00022424i,-0.00044962-0.00017651i
0.00092949+0.0014764i,0.0010649+0.00094217i,0.0012793+0.000615i,0.00077751-4.2065e-05i,0.00046893-0.00046i,0.00014101-0.00014519i,-0.00090826+0.00030521i,-0.0013497+0.00036759i,-0.0014009+0.00051287i,-0.00089187+0.0010242i,-0.00023627+0.001309i,-0.00013462+0.0017104i,-0.00016216+0.0013202i,-0.00016125+0.00082341i,0.00027014+0.00043376i,0.00036825-9.5931e-05i,-0.00020068+0.00013777i,-0.00083331+0.00036257i,-0.00056511+0.00014763i,-6.2278e-05+0.00026659i,-0.00039816+0.00040382i,-0.0006153+0.00011849i,-0.00063788-0.0002546i
