-0.00056079-0.00062083i,0.00073755-0.0010162i,-8.3848e-05-0.0017776i,-0.0019223-0.0014559i,-0.0036296+0.00028766i,-0.0043913+0.0010013i,-0.0022653+0.0013369i,-0.00078459+0.00085115i,-0.0014632-0.00019099i,-0.0021488-0.00047843i,-0.00065495-0.00037564i,0.00039326+0.00030236i,0.00066649+0.00018232i,0.00060259-0.00079634i,0.0001544-0.0014283i,0.00016099-0.0012845i,5.2711e-05-0.00019171i,0.00017945-0.00037931i,0.0003153-0.00038814i,0.00023266+0.00058466i,0.00075715-0.00027535i,-0.00011857-0.00091618i,-0.0010517-0.00045694i
-0.00060906+0.00023218i,-0.0014294+0.00051982i,-0.0018189+0.00081418i,-0.0017817+0.0005566i,-0.0019772-0.00060285i,-0.0017804-0.0015904i,-0.001383-0.00088818i,-0.00021111-0.00028025i,0.00099187-0.0011242i,-0.00011911-0.0013009i,-0.0014113-0.00077577i,-0.00080295-0.00093921i,-0.00063714-0.00070369i,-0.00080953+0.0001391i,-0.00064706+0.00090123i,-0.00034735+0.0015511i,-0.00027603+0.0012459i,0.00024816+0.00090092i,0.00057958+0.00061743i,0.00038573+0.00087354i,0.00018458+0.00083613i,0.00024716-0.00029586i,5.101e-05-0.00083597i
0.0013024+8.3735e-05i,0.0016676-5.0155e-05i,0.0019746+0.00016792i,0.0002825-0.00015363i,-0.0017173-0.00051876i,-0.0029083-0.00052152i,-0.0018443+2.4684e-06i,-0.0002406-0.00010804i,-0.00010238-0.0015308i,-3.8228e-05-0.0022561i,-0.00035825-0.0013079i,-0.0015514-0.00033554i,-0.0015393-0.0003433i,-0.001062-0.00046871i,-1.2713e-05-0.00036593i,0.00023961-0.00054491i,-0.00011066-0.00014105i,0.00018752+0.00031215i,0.00077918+0.00035205i,0.00096523+0.00052073i,0.00013638+0.00049135i,-0.00035365+0.00014484i,-0.00059585+0.00021557i
-0.002739-0.0012394i,-0.0033006-0.0012357i,-0.0039558+0.00036175i,-0.0040685+0.0020428i,-0.0038298+0.002054i,-0.0031292+0.0015566i,-0.0014559+0.0003432i,-0.00066142-0.00067956i,-0.00090306-0.0014536i,-0.0015702-0.0014444i,-0.0013284-0.00065151i,-0.00072551-0.00066i,-0.00033125-0.00072442i,-0.0002067-0.00034296i,9.0803e-05-0.00076817i,0.00062073-5.8489e-05i,8.7017e-05+0.00081906i,0.00057519+0.0011597i,0.0012437+0.0010262i,0.0010058-0.00010941i,0.00068565-0.00086451i,0.00011893-0.00091847i,0.00050089-0.00021594i
0.00070655+0.00075114i,0.0012633+0.00091505i,0.0013802+0.0011097i,-0.00023073+0.0013609i,-0.0017163+0.00088875i,-0.0017507+0.0001456i,-0.00069501+0.00029544i,0.00056409-0.00068083i,-7.9619e-05-0.0015696i,-0.00084789-0.0016329i,-0.0012127-0.001144i,-0.0010462+0.00014796i,-0.0003382+0.0013208i,-2.0921e-05+0.0012043i,0.00041102+0.00096036i,0.00067444+0.00051926i,0.00093701-0.000416i,0.00066637-0.00059537i,0.00025092+0.00032211i,0.00036792+0.00037406i,0.00020103-0.00026341i,-7.5077e-05-0.00075353i,-0.00013443-0.001043i
0.00030164+0.00043776i,0.00040405+0.00066429i,0.00030804+0.00055981i,-8.324e-05+0.0003946i,-0.0022646+0.00032629i,-0.0033724-9.6934e-05i,-0.0016235-0.0010215i,-7.8863e-05-0.0015741i,-0.00041415-0.0015205i,-0.00091917-0.0011482i,-0.00011361-0.00081776i,0.00035881-0.00075682i,0.00011222-0.00030353i,-0.00027318+0.0001698i,-0.00080177+0.00019399i,-0.0011392+0.00010028i,-0.00030639+0.00018215i,0.0006812+0.00050032i,0.00088025+0.00064769i,0.00057927+0.00054672i,0.00048918-0.00042491i,0.00053446-0.0015309i,-8.3716e-06-0.0015467i
0.00036033+0.00040519i,0.0014471+0.00028599i,0.0021723-0.00023243i,0.00079418-0.00070444i,-0.00057232-0.0016789i,-0.001748-0.0019061i,-0.0015825-0.0010639i,-0.00030174-0.00050071i,0.00041276-0.0006048i,0.00098089-0.00064142i,0.0009911+0.00017837i,4.7479e-05+0.00089364i,0.00027801-1.4416e-05i,0.0005572+6.5031e-05i,0.00070224+0.00062103i,0.00063134+0.0006696i,0.00071189+0.00092265i,0.0012729+0.00097315i,0.0011457+0.0011485i,0.00083747+0.0012662i,0.00050124+0.00082187i,-0.00033114+0.0002468i,-0.00054344-0.00042468i
0.00029291+2.3479e-06i,0.00035683-0.00028776i,0.00090742+0.00036959i,0.00038197+0.0011098i,-0.0013484+5.678e-05i,-0.002328-0.00082597i,-0.0016775-2.274e-05i,0.00028726+0.00017967i,0.00056608-0.00036666i,-0.00022504-0.0010915i,0.00087731-0.00091082i,0.0016676+5.9581e-05i,0.00069417-2.8488e-06i,0.00027719-0.00016363i,0.00063678+0.00064137i,0.0004192+0.0006963i,0.00044073+0.00037764i,0.00072721+0.00055102i,0.0013741+2.0882e-05i,0.00076892-0.00088i,-0.00035547-0.00097131i,-0.00089858+0.00023815i,-0.00070954+0.00071875i
-0.0019106+0.00058588i,-0.00028005+0.00086057i,-0.00036159+0.0014311i,-0.00096026+0.0013245i,-0.0018667+0.00054311i,-0.0017806+0.00048362i,-0.00074662+0.00016818i,-0.00058663-0.0006445i,-0.0011967-0.00075323i,-0.0016278-4.9262e-05i,-0.0010748+0.00011519i,-0.00065286+8.2463e-06i,-0.00045325-0.00040705i,0.00046968-0.0013035i,0.00055151-0.0012467i,0.00028933-0.00092733i,-0.00012209-0.00019195i,-0.00022702+0.00039622i,0.00087323+4.8118e-05i,0.0010594-0.00020979i,0.00029677-0.00055814i,0.00022925+5.6567e-05i,0.00017488+0.001048i
-0.00090997-0.00020013i,-0.0007002-0.0013102i,-0.00036124-0.0012242i,-0.00079508-0.00038675i,-0.0019151-0.00034899i,-0.0027238+0.00079729i,-0.0019238+0.0014369i,-0.00036684-0.00013046i,0.00030056-0.0014557i,-0.00032047-0.0015019i,-0.00062709-0.0013764i,-0.00033246-0.0011351i,-1.8023e-05-0.00016371i,0.00013295+0.00095551i,0.00055318+0.0013883i,0.0014387+0.0011583i,0.0010056+0.0010182i,0.00021116+0.00050077i,-9.9654e-05-0.00014024i,0.00023093-0.00033425i,0.00079513-0.00027243i,0.00064989+4.8379e-05i,0.00025663+5.1499e-05i
0.00088762+0.00089009i,0.00046756+0.00061754i,-0.00011288+0.00023572i,-0.00024585+0.00021469i,-0.0018516+0.00040257i,-0.0023014+0.00016644i,-0.0012102+0.00046374i,-0.00042062+0.00039337i,-0.00032856-0.0010346i,-0.00042187-0.0020676i,-0.0013253-0.001358i,-0.0017219-0.0006776i,-0.00057134-0.00073878i,0.0004062+0.00028856i,0.00056256+0.0012815i,0.00026638+0.00079732i,0.00070967-0.00011645i,0.0011404-0.00032441i,0.00090082-0.00039579i,0.0003451-0.0011902i,-3.5185e-05-0.0020375i,-0.00018551-0.0016732i,0.00032294-0.001025i
-0.00050067-0.001306i,-0.0011674+0.00024784i,-0.0013467+0.00070337i,-0.0014174+0.00042159i,-0.0024319+0.00041669i,-0.0032829+0.0011442i,-0.0029187+0.0015758i,-0.0015574-0.00015508i,-0.0006622-0.001859i,-0.00089078-0.0016357i,-0.0013343-0.00048432i,-0.00082345+9.8048e-05i,-0.00014792+0.00024232i,0.00048752+8.3928e-05i,0.00080888-0.00020306i,0.00017946-0.00038617i,-2.6087e-05-0.00029834i,0.00042264-0.00030342i,0.0012615-0.00050704i,0.00081825-0.00023575i,0.00028131-7.5127e-05i,0.00038092-0.0003229i,0.00074619-0.00031753i
0.0015906-0.00093885i,0.0001718-0.00098354i,-0.0012891-0.00083883i,-0.0020355-0.0011008i,-0.0027083-0.00032872i,-0.0024442+0.0010498i,-0.00096417+0.00069015i,0.00026828-0.00038065i,0.00038109-0.0012892i,-0.00087218-0.0013604i,-0.00089099-0.0008166i,0.00020047-8.4625e-05i,0.00099411+0.00025159i,0.0013604+6.14e-05i,0.0015282+0.00023759i,0.0013382+0.00053473i,0.0008497-5.3533e-05i,0.00095442-0.00067632i,0.0014189-0.000722i,0.00077629-0.00030643i,-0.00062319+1.2804e-05i,-0.00040564+0.00013566i,0.00032059+0.00068877i
-0.0010434+0.0013774i,-0.00082425+0.0022042i,-0.00063514+0.0030708i,-0.0013835+0.0024777i,-0.0020635+0.0010166i,-0.002185+0.00037798i,-0.0009178+0.00046702i,0.00049994-0.000278i,-0.00054513-0.0016988i,-0.00089006-0.0018042i,-0.00027051-0.0011366i,0.00099626-0.00029927i,0.0012843+0.00050944i,-0.00015827+0.00013683i,-0.00076049-0.00060437i,7.5989e-05-0.00027161i,0.00036642+0.00037074i,-0.00019335+0.00016365i,-0.00040742-0.00060469i,-6.2365e-05-0.00046184i,0.00038583+0.0006067i,0.00025304+0.00044456i,-0.00024711-0.00011922i
7.751e-06-0.0011968i,0.00027112-0.0010649i,-0.00065981-0.0013456i,-0.002395-0.0013733i,-0.0040719-0.00074293i,-0.0048512+0.00018729i,-0.0029033+0.00016574i,-4.2358e-05-0.00076631i,0.00036254-0.0020207i,-0.00042359-0.002369i,-0.00052536-0.0019061i,-0.00073737-0.0012838i,-0.0012975-0.00083147i,-0.00037516+0.00020282i,0.00047507+0.00078366i,0.00069716+0.00064335i,0.00081091-8.9772e-06i,0.00092749-0.00056368i,0.00072798-0.00014859i,0.00038916+0.00080255i,-0.00031178+0.00087401i,-0.00072525+0.00032866i,-0.00029565-0.00015296i
-0.00057224+0.0020365i,0.00055008+0.001753i,0.00055355+0.0017718i,-0.00048678+0.0016448i,-0.0015969+0.00091367i,-0.0015631+0.00074924i,-0.0010903+0.00055981i,-0.001293-0.00034804i,-0.0015-0.00095526i,-0.0020581-0.0007963i,-0.0018212-0.00063496i,-0.00054539-0.00064179i,-0.00010896-0.00029832i,-0.00028416+0.00043785i,4.8059e-05+0.00057184i,0.00021755+9.3165e-05i,0.00018791+0.00028201i,8.1174e-05+0.00052352i,0.00022571+0.00020955i,0.00016185+0.0002152i,-6.6736e-05+2.4992e-05i,-0.00034087-0.00057147i,-0.00067614-0.00083443i
-0.0019853+0.00083102i,-0.0010743+0.00027544i,-0.00096583-3.4894e-05i,-0.00068788+0.0005816i,-0.0013824+0.0018795i,-0.0022984+0.0014877i,-0.0015982+0.00044128i,-0.00028941-0.00016847i,-0.00013905-0.0012558i,-0.0009191-0.001575i,-0.0013744-0.00083881i,-0.00093026+4.4026e-05i,-0.00091555+0.00040411i,-0.0010471+0.00011309i,-0.0012788+0.00024525i,-0.00032104+0.00059165i,0.0010663+0.00058593i,0.0010002+0.00041058i,0.00097745+0.00025233i,0.00057559+0.00019349i,-0.00021447+0.00017146i,-0.0010594+1.23e-05i,-0.0015765-0.00021716i
0.0007051+0.0003378i,5.4757e-05-0.00022583i,-0.00052338+3.5985e-05i,-0.00027047+0.00070923i,-0.0017332+0.00057317i,-0.002693+0.0002198i,-0.002129+0.00046765i,-0.0012439+0.00033269i,-0.0016803-0.00043494i,-0.0018205-0.00057521i,-0.00087957-0.00020133i,-0.00068213+0.0003327i,-0.00067748+0.00069344i,-0.0012044+0.0004217i,-0.00064135+9.6682e-05i,0.0004365-2.3629e-05i,0.00084342+0.00043906i,0.00069028+0.00028522i,0.00052495-0.00054084i,0.00077483-0.00062303i,0.00026944-0.0004901i,-0.0006227-0.00055252i,-0.001216-8.8117e-05i
0.00064232-0.0010454i,0.00068314-0.00072034i,-0.00074648-0.0004916i,-0.0026848-0.001201i,-0.0036919-0.001708i,-0.0044981-0.00088059i,-0.0030206-0.00026536i,8.8623e-05-0.0011322i,0.00052858-0.0020773i,-0.0012754-0.0022376i,-0.001712-0.0013548i,-0.0013087-0.00029155i,-0.00097945+0.00010029i,-0.00023319+0.0001409i,-0.00017305-0.00028975i,-0.00043511-0.00046152i,-0.0006821+9.2239e-05i,-0.00020142-0.00041347i,0.00068336-0.0010496i,0.00060818-0.00046073i,0.00010643+8.2222e-05i,-8.2487e-05-0.00029976i,-1.0821e-05-0.00052858i
0.0013854+0.00082984i,0.0013688+0.00022741i,0.0013567-0.00034117i,0.00052468-0.00021197i,-0.00072853-0.000605i,-0.0013256-0.00024887i,-0.002195+0.00098875i,-0.0015811+0.00047914i,-0.00065527-0.0011907i,-0.00074355-0.0016821i,-0.0006737-0.00053782i,-1.9241e-05+0.00035816i,0.0010728+0.00015629i,0.00079486+0.00049732i,-7.0052e-05+0.0005707i,4.5624e-05+0.00020189i,0.00058903+0.000128i,0.00080597-0.00045344i,0.00089013-4.35e-05i,0.00060664+0.0015556i,-0.00040146+0.0015966i,-0.00066947+0.00010272i,2.0952e-05-0.00078164i
-0.0013347+9.2846e-05i,-0.0013706+0.0013325i,-0.0018056+0.0016553i,-0.0020617-0.00018986i,-0.0017403-0.00095969i,-0.0027969-0.00090007i,-0.0025189-0.00051866i,-0.0012186-0.00042577i,-0.0012124-0.0007301i,-0.00091555-0.00099018i,-6.7291e-05-0.0011856i,3.8543e-05-0.00086166i,4.192e-05-0.00052933i,0.00029812-0.0004995i,-7.2019e-05-0.00040811i,-0.00034463+0.00019856i,4.5713e-05+0.00041959i,0.0013275+5.4611e-05i,0.0018237+8.4117e-05i,0.0012297+3.4828e-05i,0.00066724-0.00012031i,0.00032362+3.9322e-05i,-0.00024217-0.00020607i
0.0005348+0.0020043i,-0.00087464+0.00094225i,-0.00072349+0.00089982i,0.00070896+0.00095896i,-0.00049024+0.00061627i,-0.0024551+9.5368e-05i,-0.0025594-0.00052504i,-0.0017115-0.00076364i,-0.00062537-0.0010954i,-0.00022029-0.0013436i,-0.00038153-0.0014208i,0.00012927-0.0013223i,-0.00025377-0.00035907i,-0.00082714+0.00017673i,-0.00094549+0.00039881i,-0.00091189+0.00058316i,-0.00059898+0.00031934i,0.00032001+0.00021316i,0.00083112+5.93e-05i,0.00024123+0.00042995i,0.00029816+0.00072092i,0.00019922+6.776e-05i,4.516e-05-0.00029915i
-0.0020537-0.00012953i,-0.0008238+0.001208i,-0.00093916+0.001505i,-0.0028291+0.0011188i,-0.0041763+0.00065149i,-0.0039538+0.00036081i,-0.0023357+0.00096963i,-0.0010887+0.00010015i,-0.0011897-0.0012589i,-0.0017699-0.0021495i,-0.0012514-0.00216i,-0.00044468-0.00075137i,-0.00046386+7.0172e-05i,0.00011343-0.00015899i,0.00070654+0.00020496i,0.00055472+0.00050059i,0.00062799+0.00011432i,0.0012609-0.00013059i,0.00106-7.731e-05i,0.00040296-9.7429e-05i,0.00016356+0.00025311i,-0.00022631+0.001023i,-0.00039858+0.00077321i
0.0018876+0.0012882i,0.0010367+0.00082571i,0.0013286-0.00071802i,0.00075915-0.0020005i,-0.0014943-0.0027574i,-0.0024514-0.0029973i,-0.00095925-0.0041422i,-7.7366e-06-0.0067039i,-0.0019742-0.0083807i,-0.0050271-0.0070208i,-0.0051778-0.0044661i,-0.0037629-0.0021745i,-0.0030528-0.00048882i,-0.0022992+0.00078618i,-0.0007661+0.0015873i,0.00079502+0.0012565i,0.0014985-0.00037454i,0.0016149-0.0013454i,0.001425-0.00094239i,0.00081706-0.00073435i,0.00047339-0.00057786i,0.00040767+0.00021208i,0.00040467+0.00092769i
-0.0011709-0.0008272i,-0.0014677-0.00014315i,-0.0013886+5.6121e-05i,-0.0010296-0.0004243i,-0.0015098-0.00016294i,-0.00185+0.0010598i,-0.0012264+0.0011i,0.0002274-0.00045759i,0.00081457-0.0010586i,-0.00011751-0.00075914i,-0.00070789-0.00020501i,-0.00031274+0.00066992i,-5.078e-05-3.6933e-05i,-0.00053275-0.00092233i,-0.00079035-0.00055775i,0.00011584-0.0004122i,0.00067855-0.0002935i,0.0010254-5.4437e-05i,0.0008242+4.7324e-05i,0.0005311-0.00045643i,0.00035567-0.00093691i,-0.000366-0.0003594i,-0.0011327+0.00051778i
-0.00056247+0.00024374i,-0.00061954+0.00069564i,-0.00057736+0.00010432i,-0.00025111-0.00070353i,-0.0017898-0.00042732i,-0.0032033-0.00042066i,-0.0015946-0.00019587i,0.00024616+0.00045282i,0.00044932+0.00017787i,6.091e-05-0.00093174i,-0.00036171-0.00065577i,-0.00033172+0.00011729i,8.2334e-05+0.00032506i,0.00010167-0.00019404i,0.00055367-4.1933e-05i,0.00085481+0.0008084i,0.00072989+0.00093615i,0.0011667+0.00051359i,0.0012752+0.00064715i,0.0011029+0.00063461i,0.001358-2.7804e-05i,0.00092152+1.6262e-05i,-0.00027102+0.00059337i
-0.00021586+0.00042433i,0.00016305+0.00039586i,0.00051221+0.00035188i,-0.00022163+0.00016909i,-0.0020808+0.00025791i,-0.0038899+0.000688i,-0.0031654+0.00073761i,-0.0019737-0.00033616i,-0.0013391-0.0015926i,-0.00054176-0.0016708i,-0.00015078-0.00057291i,-0.00037248+0.0004481i,-0.00021299+0.00025437i,0.00012368-5.8412e-05i,0.00059181+0.00013677i,0.00090818+0.00037191i,0.00035981+0.00075963i,-0.00074614+0.00027606i,-0.00096532-8.7109e-05i,-0.00024143+0.00030699i,0.0003381-1.7951e-05i,0.00041099-0.00056525i,0.00065214-0.0006171i
-0.00015133+0.0010218i,-0.00025419-0.00045145i,-0.00034371+0.00040339i,-0.0016041+0.0005273i,-0.0034858-0.00062558i,-0.0034905-0.00076278i,-0.002055+2.9818e-05i,-0.00071973-4.507e-05i,-0.00033191-0.0012481i,-0.00033851-0.0017785i,0.00021715-0.001761i,0.00046291-0.0016455i,8.1574e-05-0.0011987i,-0.00020447-9.4175e-05i,0.00052769+0.0007526i,0.0011444+0.00098217i,0.00050652+0.0006628i,0.00020294+0.00029007i,0.00059776+0.00022657i,0.00048707+0.00048286i,0.00018381+0.00024501i,-0.00085025-0.00040416i,-0.0010222-0.0014137i
0.0023003-0.00019009i,0.0015811-0.00073727i,0.0012668-0.0017194i,-0.00074683-0.0021247i,-0.0031506-0.0033605i,-0.0039058-0.0032002i,-0.0020991-0.00093322i,-0.00033786-0.0003516i,-8.4738e-05-0.0013645i,-0.00042544-0.0024481i,-0.0010361-0.0020504i,-0.00095848-0.0010344i,-0.00045143+0.00042731i,-0.00026388+0.0016008i,0.00033321+0.0013469i,0.00089088+0.00073156i,0.00099875-0.00014843i,0.0011697-0.00118i,0.0014954-0.0008485i,0.0014104+7.9057e-05i,0.00064088+2.7233e-05i,6.6125e-05-0.0001287i,-1.222e-05-0.00038884i
-0.00095301+0.0009868i,-0.00019359+0.00084466i,0.00096309+0.0019599i,-0.00036757+0.001508i,-0.0019189-0.00025465i,-0.0024483-0.0012501i,-0.0025163-0.0013667i,-0.00089717-0.00095397i,0.00043056-0.00056495i,-0.00018771-0.00052448i,-0.00092138-0.00062995i,-0.001106-0.00047403i,-0.0010788-0.00010781i,-0.0007827-0.00048256i,-0.00045546-0.00083009i,-0.00066106-0.00048588i,-0.00043297-0.00057271i,0.00052383-0.00050285i,0.0012759-0.0002428i,0.0011773-0.0004025i,0.00021301-0.0001541i,-0.00052342+0.00027558i,-0.00077535-0.0004436i
2.9833e-05+0.0018866i,0.00081997+0.0016378i,0.0013899+0.0004974i,0.0015093+0.00018522i,0.00039398+0.00023297i,-0.0015596-0.00038744i,-0.0018754-0.0003937i,-0.0015966+0.00033692i,-0.0016689+0.00096541i,-0.0023078+0.00039779i,-0.001844-0.0004456i,-0.00068112-7.3931e-05i,-0.00025717+0.00096857i,-0.00042583+0.00084736i,-0.00080475+0.00058667i,-0.00066643+0.0012294i,-0.00029098+0.00036347i,0.0007095-0.00065898i,0.0011572-0.00032495i,0.0009189-0.00030763i,0.00059097-0.00034931i,0.00048631+0.0003974i,0.00047298+0.00049383i
-0.0013596+0.00127i,-0.0013245+0.0012925i,-0.00065898+0.0028044i,-0.00062253+0.0027229i,-0.0011853+0.00064735i,-0.00074053-0.00044383i,-0.001106-0.00014272i,-0.0014122-0.00056188i,-0.0020477-0.0012895i,-0.0025036-0.00077585i,-0.0010345+2.8119e-06i,4.9549e-05+0.00036874i,-0.00026813+0.00018649i,-0.00042744+0.00044576i,-0.0005483+0.00079649i,0.00055679+2.683e-05i,0.0011492-0.00063147i,0.00064218-6.7789e-05i,0.00026798+0.00045733i,8.3221e-05-0.00052423i,0.00025687-0.00079679i,0.00011733-1.9635e-05i,0.00030982+0.00031768i
-0.000127-0.00081115i,-0.0014146-0.00021087i,-0.0023493-0.0017926i,-0.0026141-0.0021814i,-0.0033592-0.0011363i,-0.0034634-0.00077166i,-0.001526-0.00064413i,-8.3629e-05-0.00080354i,-0.00059568-0.00079029i,-0.0013032-0.0012964i,-0.0014293-0.00098266i,-0.0013219-9.6506e-05i,-0.00099741+0.00027739i,-0.00020862+0.00075302i,0.00044632+0.00062192i,0.00021875-0.00036284i,0.00023254-0.00098477i,0.0012051-0.00065908i,0.0015852+6.2173e-05i,0.00083182+7.71e-05i,9.5498e-05-0.00021977i,-0.00032818+0.00021011i,-0.00052519-0.00045398i
7.7798e-05-3.7603e-05i,8.1383e-05-0.00058267i,0.0006789+3.4246e-05i,-0.00011668+0.00062429i,-0.0016884-0.00050613i,-0.0024301-0.0005034i,-0.0023638+0.00058469i,-0.00099204-0.00050441i,-0.00066019-0.0021626i,-0.0016079-0.0024686i,-0.0015758-0.0013131i,-0.00096847+0.00018147i,-0.0004837+0.00084676i,9.2874e-05+0.00036394i,0.000934+0.00016617i,0.00046149+0.00045094i,3.4447e-05+0.00064295i,0.00080032+0.00069409i,0.00094636+0.00056533i,0.00057261+0.0013562i,0.0002571+0.001186i,0.00011428-0.00031708i,-0.00016011-0.00057749i
0.00014758+0.00029934i,-0.00060423+0.00080391i,-0.00095307-2.9294e-05i,-0.0007317-0.00077191i,-0.0022772-0.00018199i,-0.0039149+0.00051361i,-0.0028444+0.00016646i,-0.0011836-0.0009845i,-0.00056811-0.0021454i,-0.00068323-0.0026242i,-0.0010863-0.0019187i,-0.00057556-0.00076432i,0.00033609+0.00021652i,0.00050917+0.00037057i,0.00014966+0.00031526i,0.00046319+0.00076745i,0.00092418+0.0014862i,0.00056084+0.0015257i,0.00046999+0.00096679i,0.00063274+0.00031005i,0.00026887-0.00057322i,-0.00021636-0.00093716i,-0.00027817-0.00058814i
0.00035921-0.00088216i,-0.00023075-0.0010752i,-0.0017106-0.001099i,-0.0026927-0.00087742i,-0.0029776-1.7814e-05i,-0.0030364+0.00018765i,-0.002726+0.00017443i,-0.0015989-0.00036515i,-0.00041686-0.0015073i,-0.00050194-0.0014952i,-0.0010366-0.00010075i,-0.00091034+0.00055388i,-0.00026836+0.00013792i,0.00027986-0.00046251i,3.4972e-05-0.00070818i,0.00026332-0.00079988i,0.00095018-0.00081956i,0.00077375-0.00043965i,0.00059689-0.00074853i,0.0004797-0.00092789i,0.00045694-0.0002096i,0.00041552+0.00046233i,9.5991e-05+0.00052056i
3.6836e-05-0.00040956i,-0.0012133-0.00034873i,-0.001755+0.00020853i,-0.0011866-0.00019146i,-0.0018405-0.00058953i,-0.0033387+2.0184e-05i,-0.0019874+0.00077384i,-0.00024611-0.00037408i,-0.00022367-0.0021262i,-0.00032574-0.0018692i,-0.00041882-6.9059e-05i,-0.00047351+0.00079039i,-0.00027267+0.00097203i,-3.6897e-05+0.00048639i,0.00024689+0.00043947i,-8.2477e-05+0.0013198i,-0.00069289+0.0012261i,-0.0009051+0.00067999i,-0.00033046+0.00090802i,0.00029549+0.0011171i,6.481e-05+0.00087691i,-0.00077115+0.00096416i,-0.00059558+0.00012809i
-0.00023071-0.0019403i,-0.00040948-0.0020845i,-0.00044078-0.0027711i,-0.0024507-0.0020021i,-0.004457-0.0013897i,-0.0042691-0.0008856i,-0.0017992-0.00049323i,0.0002504-0.00076442i,0.00045066-0.0014228i,-0.00060345-0.0018149i,-0.00053054-0.00092585i,-0.00067886-0.00062505i,-0.00080772-0.00051476i,-0.00040637+0.00024414i,-0.00020902+0.00081718i,8.7325e-05+0.0012846i,0.00029277+0.0011427i,0.00063698+0.0009795i,0.00042469+0.00078387i,-0.00035779-3.0805e-05i,-0.00012941-0.001271i,0.00033104-0.0013375i,0.00049891-0.00089906i
-0.0010313+1.7306e-05i,-0.00078592+0.0011174i,-0.00057915+0.0015747i,-0.0015392+0.0011892i,-0.0027279+0.00049766i,-0.0025935+0.00040559i,-0.0015128+0.00086399i,-0.00061351-0.0003495i,-0.00058621-0.0018032i,-0.00092512-0.0011361i,-0.00043919+2.8683e-05i,-0.0004894+0.00057535i,-0.00067513+0.00090489i,-0.0004377+0.00069827i,-0.00024474+0.00057122i,0.00025383+0.00097967i,0.0011973+0.0016498i,0.0013795+0.0011104i,0.0014834-0.00042171i,0.001635-0.00099379i,0.0011085-0.00087785i,0.0006414-0.00055047i,0.00080378-0.00065235i
-0.00082192+0.00097641i,-0.0017465+0.00083896i,-0.0019241+0.00015939i,-0.0012766-0.0011818i,-0.0012078-0.0013768i,-0.0022855-0.0011364i,-0.00244-0.00076077i,-0.00092628-0.00050703i,4.1688e-05-0.00095715i,0.00018253-0.0014491i,-0.00021075-0.0010977i,-6.218e-05-0.000211i,0.00033733+0.00029308i,-0.00043626+0.00073749i,-0.0004993+0.0010373i,-0.00030227+0.00031555i,-0.00026499+6.5209e-05i,3.4779e-05-0.0004849i,0.00027635-0.00083895i,0.00054162-0.00046135i,0.0006042-3.4241e-05i,0.00084278+0.00010563i,0.00034869+0.00012004i
0.00034735+0.0025729i,0.00035963+0.0022833i,0.00090678+0.0024801i,-0.00030825+0.0021174i,-0.0030243+0.0014811i,-0.0041098+0.0010214i,-0.0030862+2.455e-05i,-0.0013817+6.9079e-05i,-0.00043205-0.00083907i,-0.00038783-0.001247i,-0.00050093-0.00019138i,-0.00042763+0.00036478i,-0.00094194+0.0010954i,-0.00073029+0.0011681i,0.00045304+7.5812e-05i,0.00076153-0.00042006i,0.0005998-0.00018821i,9.0941e-05+0.00035884i,-0.00096678-5.3362e-05i,-0.00032836-0.0007059i,-9.8544e-05-0.00025278i,-0.00028858-8.3756e-05i,1.7785e-06-0.0001761i
-0.001567+0.00027354i,-0.0016838+0.00073393i,-0.0021842+0.00068842i,-0.0019137+0.00069733i,-0.001771+0.0010993i,-0.0031275+0.00051466i,-0.002796-0.00064298i,-0.0012364-0.0013143i,-0.00073451-0.0018693i,-0.00089503-0.002346i,-0.00049156-0.0019623i,4.6211e-05-0.00080061i,0.00050582+0.00023992i,0.00028938+0.00096969i,-9.2198e-05+0.00078494i,0.00019651+0.00094793i,0.00094837+0.0010524i,0.0013435+0.00013476i,0.00081646-0.00016188i,0.0009376-0.00074538i,0.00080632-0.0015508i,-1.7751e-05-0.00086532i,-0.00038003-0.00056996i
0.0017744+0.0017156i,0.0020235+0.0010723i,0.0031445-0.00027895i,0.0019742-0.00084571i,-0.00057674-0.0011122i,-0.0019216-0.00058361i,-0.0020347+0.00083636i,-0.0018888+0.0010131i,-0.0015609-0.00056597i,-0.0011568-0.0016247i,-0.0016408-0.00083156i,-0.0016716-7.7496e-07i,-0.001027+0.00033965i,-0.00085046+2.1824e-05i,0.00016779+3.7391e-05i,0.0012812+0.001057i,0.0011359+0.0018042i,0.0013281+0.0015165i,0.0019327+0.00028588i,0.0013676-0.0004345i,0.00071129-0.00051967i,4.2971e-05-0.0005371i,-0.00023301-6.5435e-05i
-0.00098099-0.00099713i,-0.0018095-0.00095157i,-0.003295-5.112e-05i,-0.003773-0.00034886i,-0.0040003-0.001183i,-0.0032185-0.00056269i,-0.0018134-0.00022171i,-0.00029579-0.00037673i,-0.0003266-0.0010823i,-0.0015422-0.0013338i,-0.0011382-0.00099746i,-0.00017114-0.00011358i,-9.4523e-05+0.0010867i,-0.00061546+0.001088i,-0.00018457+0.00087191i,0.0004645+0.0010599i,0.00036118+0.00093051i,-0.00013608+0.00042773i,-8.2896e-06-0.00071861i,0.00056248-0.0010432i,0.00095357-0.00040773i,0.00084872-0.00057562i,-0.00019037-0.00064172i
