-0.00056079-0.00062083i,0.00073755-0.0010162i,-8.3848e-05-0.0017776i,-0.0019223-0.0014559i,-0.0036296+0.00028766i,-0.0043913+0.0010013i,-0.0022653+0.0013369i,-0.00078459+0.00085115i,-0.0014632-0.00019099i,-0.0021488-0.00047843i,-0.00065495-0.00037564i,0.00039326+0.00030236i,0.00066649+0.00018232i,0.00060259-0.00079634i,0.0001544-0.0014283i,0.00016099-0.0012845i,5.2711e-05-0.00019171i,0.00017945-0.00037931i,0.0003153-0.00038814i,0.00023266+0.00058466i,0.00075715-0.00027535i,-0.00011857-0.00091618i,-0.0010517-0.00045694i
0.00014521-0.0011293i,0.00011857-0.0013719i,-0.00089498-0.0016304i,-0.0024422-0.00068i,-0.0038685+0.00080854i,-0.0031798+0.0023113i,-0.00098+0.0020741i,-8.0622e-05+0.00064269i,-0.00059759-0.0006291i,-0.0015558-0.0010632i,-0.0010551-0.00057388i,0.00028337+0.0007i,0.00025576+0.0012674i,0.00033305+0.00019724i,0.0013589+3.7581e-05i,0.0015709+7.9028e-05i,0.0013632-0.00018058i,0.00055802-5.1562e-05i,-0.00018548-0.0005909i,-0.00013664-0.00036025i,0.00016717-0.00037274i,0.00029308-0.00057967i,1.4372e-05-0.00024359i
0.00040497+0.00010074i,-0.00014359+0.00096836i,-0.00078324+0.0012882i,-0.0018954+0.0015007i,-0.0030098+0.00082766i,-0.0026066+0.00097272i,-0.0016644+0.0016904i,-0.0010384+0.00054369i,-0.00087402-0.00065844i,-0.0015513-0.00051001i,-0.0013839-0.00018544i,-0.00045906+0.00019196i,-5.4877e-05+0.0010467i,0.00048334+0.0016029i,0.00045456+0.00050293i,0.00074197-0.00079977i,0.0015747-0.00063269i,0.001044-0.00013759i,0.00021984-0.00021843i,-5.2194e-05-0.00059415i,-0.00025842-0.00033736i,-0.00061396+0.00044693i,-0.00075657+0.00087648i
5.6444e-05-8.4331e-05i,-0.00053173-0.00040427i,-3.4401e-05+0.00036085i,-7.6874e-05+0.0007845i,-0.0012068+0.00052217i,-0.002282+0.0014628i,-0.0023959+0.0016157i,-0.0014659+0.00035489i,-0.00058324-0.00064764i,-0.00085032-0.00069836i,-0.0013195+0.00010328i,-0.0012723+0.00043849i,-0.0006689-6.9698e-05i,0.0001331+4.7937e-05i,0.00035376+0.00047472i,0.00059081+0.00028969i,0.0014738-0.00013489i,0.0010608+0.00013052i,0.00071287+0.00016296i,0.00114-0.00033948i,0.00038926-0.00076586i,-0.00033375-0.00080464i,-1.8975e-05-0.0003138i
0.00058671-0.00055676i,0.00042867+2.4041e-05i,0.0013335-0.0012092i,0.0010237-0.0018319i,-0.00092085-0.00039746i,-0.001984+0.00090527i,-0.001294+0.0011239i,-0.00027786+0.00056926i,0.00027407-0.00023055i,0.00028775-0.0011506i,-0.00033339-0.00077061i,-0.00063678+0.00044709i,-0.00016838+0.00067735i,0.00052559+0.00042371i,0.00090053-4.3169e-05i,0.00073978-0.00025836i,0.00066352+0.00010245i,0.00047714+0.00040695i,5.4972e-06+0.00021581i,-0.0004306-0.00010601i,-0.00015409-0.0001042i,-8.6716e-05+1.3248e-05i,-0.0004015+0.00019594i
-0.0015881+1.9701e-05i,-0.00031907+0.00050414i,-0.00055573+0.0015776i,-0.0013421+0.0022904i,-0.0016037+0.0021887i,-0.002287+0.0016276i,-0.0020753+0.00043373i,-0.0012306-0.00039371i,-0.00085741-0.00036466i,-0.0012567-3.3731e-05i,-0.0010991-0.00015977i,-0.00088198-0.00081473i,-0.00017056-0.00047255i,0.00069222+0.00079279i,0.00024036+0.0009734i,-3.2822e-05+0.00014756i,0.00045893-0.00018313i,0.00073324-0.00024021i,0.00026807+4.9548e-05i,0.00015037-0.00022449i,0.00021602-0.00024384i,-1.6969e-06+0.00043525i,-0.00031927-4.0486e-05i
-6.3848e-05+0.0011816i,0.00020979+0.0014661i,0.00029742+0.0029005i,-0.00023479+0.0024082i,-0.0015968+0.00073065i,-0.0013944+0.00026698i,-0.00098389+0.0005665i,-0.0012784+0.00089932i,-0.0021421-3.7079e-06i,-0.0022274-0.00073185i,-0.0010157-0.00016554i,-1.3385e-05-0.00021454i,0.0002763-0.0004475i,0.00073242-0.00046761i,0.00035508+6.4094e-06i,-0.00028361+0.00049337i,-0.00026582+0.00059942i,0.00021666-0.0001678i,0.00080477-0.0009339i,0.00072927-0.00075751i,0.00022583-0.00062846i,-0.00023898-0.00022351i,-0.00012278-0.0001881i
0.0017224+0.0003128i,0.0013248-0.00013697i,0.0012602-0.00093908i,-0.00040271-0.0011204i,-0.0026946-0.00083453i,-0.0031377+0.00050714i,-0.0027896+0.0014485i,-0.002424+0.00061968i,-0.001719-0.0007776i,-0.0016821-0.0014213i,-0.00138-0.0010132i,-0.00074633+5.9373e-05i,-0.00039597+0.00099977i,0.00053511+0.0014865i,0.0013355+0.0017953i,0.00098189+0.0015556i,0.00055333+0.00098054i,0.00097839+0.0005827i,0.00099868+0.00061728i,0.000894+0.00095042i,0.00067206+0.0006035i,0.0001604+0.00036677i,-0.00042332+0.00052735i
-9.1939e-05+0.0012124i,-0.00024183+0.00078098i,5.8406e-05+0.0014163i,-0.00060099+0.00081179i,-0.0015783-0.00013985i,-0.0012346-0.00010467i,-0.00014363+3.6118e-05i,0.00021152-0.00026294i,3.4932e-05-0.00050842i,-0.00011031-0.00065233i,-0.00048987-0.00053603i,-0.00056381-0.00033592i,-0.00032483+9.2662e-06i,0.00025574-0.00020294i,0.0010393+0.00028743i,0.00092735+0.00019944i,0.00036832-0.00050706i,0.00072534-0.00033385i,0.00059898+5.4088e-05i,-3.4997e-05+0.00059598i,2.7009e-05+0.00028461i,0.00030185-0.00069731i,-0.00011691-0.00085188i
0.00029915+0.0017509i,0.0018767+0.001118i,0.0028119+0.0010895i,0.0018867+0.00038255i,0.00041172+8.291e-05i,-0.0013178+0.0005289i,-0.0020901+0.00054881i,-0.0019342+0.00058165i,-0.0014118+1.9383e-05i,-0.0010072-4.494e-05i,-0.0010017-0.00033809i,-0.0013332-0.00087692i,-0.0011911-0.00066489i,-0.00035364+2.7445e-05i,1.087e-05+0.0013137i,-0.00033082+0.0016711i,-0.00030306+0.00097573i,0.00084247+8.2492e-05i,0.0011019-0.00091064i,0.00022141-0.00096625i,0.00030549-0.00050634i,7.2778e-05-0.00087421i,-0.0005269-0.00083096i
-0.00049119+0.0013355i,-0.0021037+0.00070726i,-0.0025459+0.00087526i,-0.0012635+0.0017405i,-0.00060812+0.001916i,-0.00094959+0.0020205i,-0.00089681+0.0012183i,-0.00053508+5.0523e-05i,-0.0015707-0.00050177i,-0.0024703-0.00027134i,-0.0012608-0.00052278i,5.9774e-05-0.00035708i,0.00041484+0.00023557i,0.0004195+0.00090326i,0.00096354+0.00096658i,0.0012044+0.0004399i,0.0007469+0.00046745i,0.00057625+0.00031181i,6.3831e-05-4.9882e-05i,-8.7517e-05-0.00014826i,0.00044843+0.00020881i,0.00072314+0.00051969i,0.00019578-0.00014054i
-0.00083378+9.191e-05i,-0.0004105-0.00017165i,-0.00016504-0.00029321i,-0.00066485-0.00020179i,-0.0014607-0.00048834i,-0.0018522+9.0099e-05i,-0.0012852+0.00067252i,-0.00030098-2.6598e-05i,-0.00048428-0.00058861i,-0.00063519-0.00047441i,-0.00070162+0.00015828i,-0.00091291+0.00087928i,-0.00092554+0.00023886i,-0.00121-0.0012298i,-0.0010725-0.0012993i,-0.00012404-0.00041347i,0.00057983-1.7735e-05i,0.00051562-0.00040838i,0.00051765-0.00070334i,0.00080337-0.00067096i,0.00045793-0.00089222i,-0.00024017-0.00070007i,-1.5477e-05+7.2725e-06i
-0.00091385+0.00014905i,-0.0015532+0.00013801i,-0.0016358+0.00023486i,-0.0013503+0.00075905i,-0.0021517+0.0019375i,-0.0027123+0.002325i,-0.0022254+0.0015966i,-0.0014248+0.00029232i,-0.0012162-0.0010677i,-0.0015127-0.0015567i,-0.0013552-0.0012092i,-0.00069758-0.00015639i,-0.00037421+0.00079722i,-0.00099872+0.00097571i,-0.001314+0.0009207i,-0.00019225+0.00074198i,0.0012441+0.00056719i,0.00094687-8.8864e-05i,1.8583e-05-0.0011845i,-2.8756e-05-0.00084518i,-9.4087e-05-1.3224e-05i,-0.00021317+0.00011755i,0.00041132+0.00026088i
-0.00024867+0.00046963i,0.00032735+0.00033066i,0.00058699+0.00042098i,-0.00014925+0.00056883i,-0.00075958+0.00085513i,-0.0018646+0.00054609i,-0.0014956+0.00028495i,-0.0001602+0.00038425i,-0.00032652+0.00026232i,-0.0011082-0.00068813i,-0.00084933-0.0013719i,-0.00048707-0.00052607i,-0.00065292+0.00057008i,-0.00057814+0.00043256i,1.8039e-05+0.00019256i,0.0011897+0.00071514i,0.001656+0.00086734i,0.0012242+0.00014487i,0.00084084-0.00051026i,0.00024028-0.00023982i,0.00014352+0.00021845i,9.6059e-05-0.00010983i,-0.00058774-0.00023835i
0.00081535+9.6927e-05i,0.00086873-0.0011964i,0.0011304-0.0025687i,0.00045692-0.0012982i,-0.0021578+0.00039768i,-0.0033157+0.001173i,-0.0016452+0.0013966i,-0.00024107+0.00029885i,-0.00021882-0.00086817i,-0.00086221-0.0010768i,-0.0010093-0.00024299i,0.00011761+0.00071647i,0.00022791+0.00064652i,-0.00041366-0.00013678i,-0.00030924-0.00076782i,0.0002682-8.5455e-05i,0.00053746+0.00045401i,0.00060206-0.00036363i,0.00081501-0.00056294i,0.0006715-0.0001535i,0.00046334+2.5228e-05i,0.00038679-0.0005465i,-0.00094334-0.00058223i
0.00072856+0.0013119i,0.0011807+0.0018596i,0.00073367+0.0025363i,-0.00097375+0.0011586i,-0.0020463+0.00040592i,-0.0026295+0.001149i,-0.0020195+0.0010491i,-6.8869e-05-0.00062569i,0.00061228-0.00094662i,-0.0003689+6.7562e-05i,-0.00051068-2.7773e-05i,0.00026072-0.00052257i,0.00032413-0.00024024i,0.00038782-0.00026149i,0.00035292-0.00034229i,0.00063716+6.9987e-05i,0.00053995+3.3354e-05i,2.387e-05-0.00014486i,-0.00062953-0.00084354i,-0.001289-0.0011366i,-0.0010493-2.8653e-05i,-0.00070097+0.0012041i,-5.6399e-05+0.0013082i
