-0.0019307+0.00058764i,-0.00065548+0.00089793i,-0.00064867+0.00079277i,-0.00067049+0.00022801i,-0.00076374+0.00017532i,-0.00039672+0.0003983i,0.00058722+0.0010941i,0.00035001+0.0017428i,0.00045888+0.00061048i,0.00032704-0.0007811i,0.00020979-0.00082016i,0.00022114-0.00072171i,-0.00097187-0.00040742i,-0.0017437-0.00055129i,-0.0019405-0.00052731i,-0.0015577+0.0011239i,-0.00059055+0.0016727i,0.00054373+0.00094209i,0.00047625+0.00074821i,-0.00039169+0.00080392i,-5.3828e-05+0.00073984i,0.00072313+0.00044362i,0.00088363-0.00033605i
-0.00014178+0.00028643i,-0.00090268+0.00012921i,-0.00047159+0.00063949i,-0.00023334+0.00046142i,-0.001612-0.00046747i,-0.0027062-0.0006722i,-0.0014694-0.00031456i,-0.0010835+0.00015086i,-0.0010443+0.0002233i,-0.00028976+0.00084761i,0.00030342+0.00048874i,0.00067384-0.00031799i,0.00091703+7.8694e-05i,0.00086931+0.00070034i,0.00048587+0.0015262i,-0.00056542+0.0016404i,-0.0010414+0.00081401i,-0.0004633+0.00041129i,-0.00011646+0.00022914i,0.00012609-0.00035001i,0.00022653-0.00049078i,0.00030478-0.00083106i,0.00013019-0.0010174i
-0.00013431+0.0012226i,0.00052739+0.0011021i,0.0016941+0.0013834i,0.0021364+0.00024075i,0.0017283-0.0015072i,0.0010055-0.0017916i,0.00065511-2.9833e-05i,0.00061162+0.0013923i,0.0001417+0.0007688i,0.00015958+0.000371i,0.00026275+0.00023263i,-0.00028663+0.00013379i,-0.00054688+0.00019824i,-0.00063662+5.5184e-05i,-0.00036922+0.00034253i,-0.00076363+0.00086685i,-0.00080994+0.00078966i,-3.0734e-05+0.00069972i,-0.00024866+0.00029681i,-9.126e-05+1.2299e-06i,-0.00014303-0.00010823i,-0.00022043-0.00037859i,0.00015053-0.00036549i
-0.00059219+0.0030575i,-0.00012172+0.0030053i,0.00092869+0.0026171i,0.0020078+0.0025979i,0.0013781+0.001227i,0.00025735-0.00064141i,-0.001071-0.00068283i,-0.0011889-0.00019814i,0.00016338-0.00048749i,0.0011559-0.00046456i,0.0010421-0.00030931i,0.00028959-0.00035726i,7.4836e-05-0.00059962i,-0.00015142-0.00010127i,-0.0011679+0.00022866i,-0.0016844-0.00014772i,-0.0011392-8.1874e-05i,-0.00060435+0.00019264i,-9.435e-05-0.00045959i,0.00012136-0.00039556i,-0.00012285+5.2646e-05i,-0.00049048-0.00023244i,-0.00050652-0.00050206i
-8.9862e-05-0.0019397i,-0.0005918-0.0018397i,-0.0015352-0.0022991i,-0.0028872-0.0012597i,-0.003097-0.00039821i,-0.0017548+0.00024747i,-0.00097087+0.00094979i,-0.00031586+0.00065241i,3.0312e-05+0.00012806i,0.00019958-0.00019545i,0.00015031-0.00038193i,-0.00061888-0.00034682i,-0.000241+0.00011735i,0.0001575+0.00026274i,2.9922e-05+6.1942e-05i,0.00022295+0.0003781i,-3.585e-05+0.00039359i,-0.00040258+0.0001435i,-0.0001819+0.00059706i,0.00061054+0.0011284i,0.00036475+0.00058022i,-0.00017089-0.00022914i,-0.00033591-0.00063318i
0.00060772-0.00054167i,0.00035876-0.00071148i,0.0001353-0.0009796i,-0.00099765-0.0016234i,-0.002167-0.0018027i,-0.002186-0.0012671i,-0.00028266-0.00060258i,0.00091348-0.00010161i,0.00021133-0.00018153i,-0.00037018-0.00012311i,-0.00043905+0.00051296i,-0.00049533+0.0016349i,-0.00082473+0.0013573i,-0.00034877+0.0004379i,-0.00018135-5.0773e-05i,-0.00065889+0.00029812i,-0.00041162+0.00076946i,-4.5649e-05+0.00054372i,-0.00041961+0.00022203i,-0.0004344+0.000437i,-0.0003065+0.00013735i,-0.00040866-0.00036099i,-8.3399e-05-0.00051649i
-0.0011435+0.00043752i,-0.0008356+0.0019814i,-0.00061223+0.0021057i,-0.000812+0.0011529i,-0.00077515+0.00085178i,-0.00076422+0.00069932i,-0.00036888+0.00014347i,0.00014969-0.00062906i,0.00018952-0.0005126i,-0.00015386+6.3242e-05i,-0.00022638+0.00033484i,8.6669e-05+8.7638e-05i,0.00048956-9.086e-05i,0.00073607+0.00034725i,-8.9064e-05+0.00062077i,-0.0006389+0.00014405i,-0.00012316+4.9259e-05i,-0.00010854+0.00065621i,-0.00070731+0.00055323i,-0.00037169+0.00024401i,0.00020454+8.8439e-05i,0.00055837+0.00024434i,0.00085993+0.00012742i
4.3299e-05+0.00014689i,-0.00065741+0.00049741i,-0.00076654+0.00081412i,-0.00050138-0.00094681i,-0.00065373-0.0021054i,-0.0004288-0.0018875i,-0.00052215-0.00051955i,-0.00084052+0.00033254i,-0.00075235+0.00021366i,-0.00079198+0.0002634i,-0.00084368+0.0002208i,-0.0011946+0.0006923i,-0.0013787+0.00080376i,-0.0010689+0.00038805i,-0.00049791+0.00042474i,-0.00010349+0.00020379i,0.00038332+0.00082856i,0.00060767+0.0014688i,-0.00012008+0.0010902i,-0.00011222+0.00072091i,0.00044007+0.00013047i,9.8825e-05-0.00064956i,-0.00044527-0.00032341i
-0.00076388+0.0019488i,-0.0012946+0.0021164i,-0.00071281+0.002279i,0.00036815+0.001443i,0.0011007-0.00021017i,0.00012781-0.00057302i,-0.0010893+0.00081i,-0.00071368+0.001565i,0.00055159+0.0010947i,0.00089517+0.00089771i,0.00056046+0.00032595i,2.284e-05-0.00070727i,-0.00036753-0.00026182i,-0.00046388+0.00016196i,-0.00092671+0.00024503i,-0.0014287+0.001462i,-0.00079196+0.0020868i,-0.00016424+0.0010869i,4.7213e-05+0.00035981i,1.4457e-05+0.00067083i,-0.00024436+0.00024504i,-0.00031494-0.00034937i,-0.00040981+7.4801e-05i
-0.0011671+0.0010336i,-0.00079078+0.0023429i,-0.00056641+0.0025187i,0.00021048+0.0016076i,0.0012601+0.00067022i,0.0014258-0.00013584i,0.00092854-0.00069563i,0.00033226-0.00014664i,0.00039072+0.0006868i,0.00049765+0.00092523i,-6.6996e-05+0.00107i,-0.00027309+0.00063407i,0.00068226-0.00053434i,0.00088938-0.00087237i,-6.8138e-05-0.00026263i,-3.8867e-05-0.00030074i,0.0004736+2.1977e-05i,0.00087728+0.00076718i,0.00045266+0.00044968i,-0.00054698-0.00010182i,-0.00084881-2.8636e-06i,-5.7761e-05+0.00032272i,2.463e-05+0.00042596i
0.0028868+0.00091592i,0.0015965-0.0010715i,0.0022976-0.0017495i,0.0019888-0.0018284i,-0.00059996-0.0024084i,-0.002068-0.0019081i,-0.0010048+7.0878e-05i,-0.00021474+0.0014402i,0.00015817+0.0013327i,0.00057426+0.00068817i,0.00021341+0.00058858i,-0.00018002+2.4321e-06i,2.8333e-05-4.2865e-05i,-0.00020145+5.9576e-05i,-0.00126-0.00030407i,-0.00090807+0.00016372i,-9.4998e-05+0.00044134i,0.00026012+1.8091e-05i,-0.00013345-0.00056643i,-0.00067488-0.00063905i,-0.00092903-0.00021128i,-0.00086652+0.0006291i,-0.00046925+0.00086948i
