-0.00066037-0.00017199i,-0.00089903-0.00013789i,-0.001235+0.00012957i,-0.0010152+0.0012263i,-0.00011817+0.0010194i,0.0007857+0.00034071i,0.0007263+0.00031534i,0.00097908+0.00083284i,0.0014146+0.0010067i,0.0013687+0.00093304i,0.00059623+0.00075284i,-0.00022165+0.00038733i,0.00010615-0.00017098i,0.00065949-5.0565e-05i,0.00083306+0.00049889i,0.00046516-0.00017059i,-0.00039824-0.00082056i,-0.00056622-0.00036904i,-1.3099e-05+0.00023799i,0.00010847-0.00056143i,3.3653e-06-0.0010873i,0.0001197-0.00020952i,0.00038354+2.9412e-05i
-0.00018711+0.00080837i,-3.138e-07+0.0014385i,-0.00018071+0.0020675i,-0.00064686+0.0020361i,-0.00042208+0.0011341i,0.0005474-0.00035529i,0.0010953-0.00017663i,0.00078396+0.00026307i,0.00038782+0.00052401i,-0.00012315+0.00037565i,-0.00020023-0.00050681i,0.00059326-0.00038008i,0.0005194+0.00060515i,0.00034557+0.0010143i,0.00063614+0.00091976i,0.00032202+0.00053578i,-0.00049697+0.00023947i,-0.00053082-6.2128e-05i,-0.00010333-0.00058917i,-0.00046519-0.00059542i,-0.0010999-0.00051033i,-0.00076276-0.00064271i,-5.8848e-06-0.00035461i
-0.001965-0.0001756i,-0.0013577+0.0010941i,-0.00014921+0.00051075i,9.1253e-05+2.468e-05i,9.1619e-05+0.0011158i,-0.00068043+0.0011813i,-0.00086552-0.00020012i,-0.00059764-0.00015527i,-0.00051817+0.00021666i,-0.00015355+0.00068491i,7.3051e-05+0.00054599i,-0.00020803+0.00040638i,-0.00033004+0.00049225i,-0.00020225-8.5573e-05i,9.4285e-05+0.0004559i,0.00060046+0.00076154i,0.0005938+0.00013005i,0.00053301-0.00014421i,0.00081741-5.8506e-05i,0.00058842+0.00065705i,0.00060472+0.00072101i,0.00019781-0.00028502i,-0.00038853-8.4319e-07i
-0.00018268-0.0026665i,-0.0014092-0.0018485i,-0.002547-0.0015623i,-0.0027264-0.00011802i,-0.002041+0.00090752i,-0.00096386+0.00015683i,-0.00091945+0.00010326i,-0.00052341+0.00021651i,4.3744e-05-0.000195i,-0.00019129-0.00045232i,0.00039203-0.00078519i,0.00073843-0.00060125i,0.00057849+0.00012963i,0.00044452+0.00025561i,-0.00021075+0.00016299i,-0.00055523+4.0212e-05i,-0.00018907-0.00015505i,-0.00035407+9.6842e-05i,-0.0010628+0.00054969i,-0.00025942-8.4321e-05i,0.00070074-0.00086637i,-6.1951e-05-0.00031995i,-0.00063554-0.00012507i
-0.00052685-0.001207i,-0.00030425-1.5035e-05i,0.00021102+0.00099164i,-0.00040269+0.0012046i,-0.00063998+0.0011828i,-0.00016335+0.0011777i,-0.00028815+0.0014881i,-0.0003781+0.0014268i,-0.00012056+0.00083374i,-0.00014572+3.5736e-05i,-0.00013474-0.00010675i,0.00039026+1.9432e-05i,0.00057975-0.00064249i,-7.7651e-06-0.00026733i,0.0004068-2.6146e-05i,0.0013229-0.00028885i,0.00019871-0.00052594i,-0.00075728-0.0007061i,3.8833e-05-0.0003202i,0.00088249-0.00029998i,0.00087244-0.00077247i,0.00018198-0.00075795i,0.000148+0.00017295i
-0.00089085+0.00073509i,-0.0010955+0.00089255i,-0.00026902+0.00064303i,0.00033595+0.00071976i,0.0012111+0.00055155i,0.001047+5.6596e-05i,-3.6562e-05+0.00015678i,-0.00041952+0.00032344i,-0.00071843-5.8307e-05i,0.00025844+0.00015524i,0.00052119+0.00051907i,0.00029869+0.00055828i,0.00026476+0.00097701i,-0.00015438+0.00055318i,-7.3837e-05-0.00040008i,6.5081e-05-0.0003599i,-4.3092e-05+0.00019505i,-0.00012104+0.0001521i,-6.8264e-05+3.5633e-05i,-0.00023984-4.4333e-05i,-1.1827e-07-0.00036017i,0.00018027+0.00034883i,-5.7447e-06+0.00080238i
-0.00060564-0.001206i,-0.00092353-0.00078848i,-0.0016386+0.0001441i,-0.0012331+0.0004899i,-0.00078665+0.00076363i,-0.00096253+0.00090844i,-0.00059049+0.00061729i,8.0118e-05+0.00034504i,0.00017087+5.044e-05i,-0.00015477-0.00016124i,-6.0651e-05+0.00025053i,0.00093452+0.0010718i,0.0012699+0.00040224i,0.00044071-0.00029211i,0.00052155+0.0003198i,0.00097647+0.00070863i,0.00041948+0.00014147i,4.3017e-05-0.00022706i,-0.00077671+2.1475e-05i,-0.0013264+0.00020106i,-0.00060935+0.0001522i,0.00022267+0.00021748i,0.00012788+0.00064543i
-0.00034392+0.0016817i,-6.7782e-05+0.0014598i,0.00057624+0.00034035i,0.0010936+0.00055947i,6.924e-05+0.00021898i,4.1477e-05-4.4164e-05i,-0.00019432-0.00013144i,-0.00045988-4.6795e-05i,8.8283e-05+0.00013129i,-0.00013915+0.00019863i,-0.00034028-4.175e-05i,-0.00050101-0.00037353i,-0.00010457-0.00041674i,2.8559e-05-0.0005941i,-0.00027632-0.00028345i,-0.00014622-6.5448e-05i,0.00028224+3.5101e-05i,0.00052579+0.0002486i,-0.0002851+0.00038163i,-0.00053972+0.00061335i,-0.00030039+0.00058129i,-0.00038617+1.5194e-05i,-0.00016534-2.4071e-05i
-0.0005794+0.0019538i,-0.0015364+0.0029585i,-0.00096144+0.002324i,-0.00045883+0.00081157i,-1.3806e-06-0.00045356i,-0.00042318-0.00081559i,-0.00088519+0.0001783i,-0.00082304+0.00071374i,-0.00057135+0.00039696i,-0.00056052+0.0002701i,-7.1041e-06+0.00045742i,-9.0634e-05+0.00045183i,-0.00060166+0.0003802i,-0.00031605+0.0004625i,0.00027086+0.00041585i,0.00033952+0.00030661i,0.00011482+0.00034824i,0.00011243+3.6839e-05i,0.00089853+0.00011076i,0.00087455+0.00024748i,0.00056598-0.00018807i,0.00053596-0.00051218i,0.0003886+7.8999e-05i
0.0022677-0.0019412i,0.00082122-0.0012731i,-0.0003635-0.0010167i,-0.00048653-0.00031234i,-0.00043773+0.0012404i,-0.00075171+0.0020406i,-0.00084495+0.0014575i,-0.00042266+0.00086387i,-0.00062353+0.0007437i,-0.00037197+0.00066638i,0.00014892+0.00063873i,-1.6441e-05+0.00016805i,4.6016e-05+3.5425e-05i,-4.892e-05+0.00085769i,-0.00010457+0.00035911i,1.8668e-05+0.00010958i,-0.00044491+8.4805e-05i,-0.00079131-0.00059101i,-0.00039335-0.0012358i,0.00039343-0.001384i,0.00089492-0.0002734i,0.00033814+0.00015752i,-0.00060451+4.745e-05i
