0.0007204+0.001354i,0.00097776-0.00048327i,0.00037201-0.0015277i,-0.00028177-0.0012896i,-0.0011581-0.0016178i,-0.0024226-0.00065978i,-0.0021224+0.0010037i,-0.00069274+0.001394i,-0.00023439+0.0008644i,0.00041518+0.00020388i,0.00098374-0.00020051i,0.00029677+0.00014989i,-0.00023215+0.00021756i,9.9332e-05+5.9094e-05i,-0.0001007+0.00021962i,-0.00043154+0.00049768i,-0.00011509+0.00078695i,0.00010964+0.00045558i,-0.00014222-0.00071119i,0.00034867-0.0015493i,0.00048187-0.0010452i,-0.00039795-0.0002345i,6.0131e-05+0.00041783i
-0.00068147+0.00044967i,-0.00048308-0.0010186i,0.00041426-0.00162i,0.0019669-0.00074415i,0.0035747+0.00085231i,0.004399+0.0032956i,0.0040444+0.0071716i,0.0043582+0.0091317i,0.0051622+0.0066455i,0.0046954+0.0013289i,0.0039528-0.0021633i,0.0042627-0.0026943i,0.0038791-0.0031151i,0.0029651-0.0022394i,0.0028445+0.00017984i,0.0022468+0.0014818i,0.0023502+0.0019657i,0.0023724+0.002449i,0.0016047+0.0019352i,0.0010235+0.0013977i,0.00037571+0.0011914i,0.00025818+0.0012162i,9.7197e-05+0.00023052i
0.00092563-0.0010289i,0.0018354-0.0018854i,0.0021104-0.002928i,0.0025668-0.003557i,0.0039836-0.003745i,0.0055842-0.0044706i,0.0091102-0.0032694i,0.011152-0.00052876i,0.0090282-0.00038096i,0.0046158-0.00097815i,0.00047558-0.00065804i,-0.00098005-0.00061722i,-0.00083972-0.0013266i,-0.00068716-0.0018944i,5.0034e-05-0.001436i,0.0010042-0.0013683i,0.002044-0.0021622i,0.0023902-0.0022076i,0.0021908-0.0021796i,0.0019557-0.0017893i,0.00046424-0.00080025i,0.00020289-0.00025682i,0.0012919-0.00017129i
-0.0022411+0.00081749i,-0.0017185+0.00022609i,-0.0021965+0.0010567i,-0.0027513+0.00019259i,-0.0027141-0.0032757i,-0.001186-0.007727i,0.0014419-0.011049i,0.0025436-0.011049i,0.0018271-0.0080482i,0.00057023-0.0032072i,-0.00011211+0.00072522i,-0.0014213+0.0021318i,-0.0033404+0.0012969i,-0.0030869+0.00016621i,-0.0021239-0.00026079i,-0.0016716-0.0011876i,-0.0013271-0.0016367i,-0.001408-0.0014678i,-0.0017162-0.001052i,-0.0010925-0.00098962i,0.00045432-0.0010549i,0.0014366-0.0013489i,0.00057854-0.00045974i
0.00075684-0.00022257i,0.001042-0.00064231i,-0.00033403+0.0012506i,-0.0027161+0.0028865i,-0.0044117+0.0018565i,-0.0058313-0.0002583i,-0.0081645-0.0032857i,-0.008075-0.0060689i,-0.0058762-0.0062828i,-0.0035549-0.0027854i,-0.00077865-0.00081445i,0.0007303-0.00059174i,0.00070963+0.00067481i,-5.1851e-05+0.0014418i,-0.00017193+0.00077724i,-0.00048517+0.0007025i,-0.0015833+0.0012555i,-0.0019009+0.001325i,-0.00082245+0.0018856i,-1.8812e-05+0.0016698i,-0.0002404+0.0009194i,-0.00065135+0.0010896i,-0.0016348+0.0011728i
0.00057963+0.00059538i,0.0024707+1.9811e-06i,0.0031307-0.00072732i,0.0017901-0.00047291i,0.00054084+0.0014303i,-0.0017692+0.0033418i,-0.0050317+0.00433i,-0.0084093+0.0037493i,-0.0078658+0.0028485i,-0.0032284+0.0018824i,0.00015199+0.00050085i,0.001676+0.00081793i,0.0028425+0.0020988i,0.0031857+0.001858i,0.0017679+0.0018436i,0.00027685+0.0024874i,0.00017283+0.0028337i,-0.00012473+0.0023521i,-0.0003275+0.0017549i,-0.00016929+0.00060885i,4.4664e-05-0.00030856i,-0.00046545-0.00024016i,-0.00155+0.00050597i
0.00017962-0.0012495i,0.00098453-0.0019942i,0.0021546-0.0022029i,0.0027271-0.00092336i,0.003454+0.00076465i,0.0050176+0.002432i,0.0034936+0.0051918i,0.00045188+0.0082225i,-6.1615e-05+0.008897i,0.0007996+0.0058755i,0.0003964+0.0019249i,1.11e-05+6.387e-05i,0.0015163-0.0010733i,0.0023655-0.0019696i,0.0021549-0.0005731i,0.0020202+0.00043896i,0.002666+0.00011535i,0.0032883-0.00014765i,0.0029958-0.0003378i,0.0022889-2.9166e-05i,0.0014577+5.6024e-05i,0.0013455+0.00010027i,0.0010172+0.00067536i
-0.0013229-0.00061143i,-0.0005601-0.0010206i,-0.00072011-0.0022151i,-0.00046721-0.0036802i,0.001189-0.0045037i,0.0025661-0.0045056i,0.0045062-0.0024098i,0.0072801+0.0012251i,0.0075844+0.0019619i,0.0038994+0.00074042i,0.00066683+0.00090047i,0.00022499+0.0006318i,0.00035072-0.0021795i,0.00039759-0.0038189i,0.0014408-0.0028841i,0.0021495-0.0019626i,0.0014673-0.0012677i,0.00029934-0.0013812i,-0.0003723-0.0024765i,0.00071227-0.0016905i,0.0012698-0.00013892i,0.0009732+0.0010066i,0.0004046+0.00043765i
-0.00036925-0.0002004i,-0.0005867-0.0006565i,-0.0016916-0.0009186i,-0.0038927-0.0013898i,-0.0052808-0.0024046i,-0.0038866-0.0042756i,0.000988-0.0058252i,0.0065795-0.0061997i,0.0083473-0.0060321i,0.0055226-0.0039413i,0.0035315-0.0014875i,0.0029783-0.0014038i,0.0013242-0.001371i,-0.00080878-0.0010515i,-0.0016487-0.0021935i,-0.001196-0.0022947i,-0.001487-0.001686i,-0.0017571-0.0014093i,-0.00087598-0.00069788i,-0.00027868-0.00020007i,-0.0003969+5.3455e-05i,-1.5231e-07-7.7727e-05i,0.00036159-0.00077539i
-0.00086884-0.00086374i,0.00080343-0.0014568i,0.00068472+0.00045373i,-0.00092652+0.0026696i,-0.0036879+0.0034276i,-0.0055785+0.0022266i,-0.0046449-0.0019188i,-0.0020123-0.006702i,-0.0012413-0.0074925i,-0.00060427-0.0040076i,0.00091991-0.0019029i,0.00022845-0.0014148i,-0.0019331+0.00030906i,-0.0022941+0.0019175i,-0.0023808+0.0016204i,-0.0019894+0.00093321i,-0.0014954+0.0013728i,-0.00087194+0.0018525i,0.00010191+0.00055668i,0.0010302-0.00057372i,0.0019919-0.0008882i,0.00094768-0.0010971i,-0.001342-0.00072983i
-0.00065959-0.0007458i,0.0013289-5.8447e-05i,0.001656+0.00092004i,0.0013955+0.0031589i,0.0017515+0.005929i,0.0019388+0.0059751i,-0.001179+0.0024523i,-0.0060948-0.0006382i,-0.0079273-0.0011698i,-0.005684-0.00042011i,-0.0036148-0.00064011i,-0.0029978-0.0012218i,-0.00077366+0.00018281i,0.0013285+0.0017842i,0.0011236+0.0025169i,0.00047575+0.0027083i,0.00023645+0.0025918i,0.0011514+0.0026009i,0.0022317+0.0015635i,0.0024806+0.00024186i,0.001698-0.00010261i,0.00041619+0.00044355i,-0.00079097+0.001402i
0.0012894-0.0012665i,0.0020308-0.0020316i,0.0029122-0.0045735i,0.0028939-0.0049853i,0.0042885-0.0027958i,0.0052086-0.00093619i,0.0033963+0.00038434i,-0.00082081+0.0032784i,-0.0026023+0.0048478i,-0.0017962+0.0037465i,-0.0022696+0.002439i,-0.0015227+0.0021722i,0.001843+0.0011911i,0.0038813+0.00011237i,0.0041469-0.00013605i,0.0034119+6.8143e-06i,0.0022474+0.00011494i,0.0019093-0.00049766i,0.0012918-0.00040683i,0.00053885+0.00011764i,-0.00010733+0.0001683i,-0.00069222+0.00062299i,0.00017536+0.001144i
0.0028066-3.8123e-05i,0.0037302-0.00058904i,0.0019537-0.0033263i,-0.0016062-0.0061742i,-0.0017389-0.0079273i,-0.00086566-0.0072398i,0.00042443-0.0029583i,0.0029628+0.0032352i,0.004379+0.0062603i,0.0030038+0.0045982i,0.0015845+0.0044446i,0.0030737+0.0057854i,0.004288+0.0031954i,0.003118-0.0014248i,0.0020305-0.0029912i,0.0020491-0.0021323i,0.0014597-0.0016273i,-0.0010206-0.0017025i,-0.0017506-0.001352i,-0.00066347-0.00034801i,-0.00072007+5.1646e-05i,-0.00089704+6.3644e-05i,0.00041273+0.00027975i
-0.00016332+0.00013984i,0.0008242+0.00074117i,-0.0007793+0.0010655i,-0.0032098-0.00047706i,-0.0052706-0.0041689i,-0.0056995-0.0062776i,-0.0031519-0.0054096i,0.0020466-0.0032225i,0.005328-0.0019402i,0.0041532-0.00098324i,0.003855+1.7193e-05i,0.0045641-0.00076427i,0.00181-0.0029636i,-0.0016283-0.0031869i,-0.0033161-0.0020881i,-0.0030137-0.001195i,-0.0020572-0.0003632i,-0.0017492+0.00064487i,-9.3587e-05+0.00058088i,0.0010007+0.00017056i,0.00078682+0.00029856i,0.00030545-0.00027872i,-0.0001496-0.00099197i
0.00030491-0.0016712i,0.0013935-0.0016139i,0.0015208-0.00036345i,-0.00046046+0.0016947i,-0.0035181+0.0039007i,-0.0054386+0.0038513i,-0.0030969+0.0015501i,0.00082746-0.0030477i,0.0029787-0.0070885i,0.002712-0.005936i,0.0023283-0.004811i,0.0012772-0.0053569i,-0.002081-0.0039993i,-0.0043967-0.001092i,-0.0036262+0.0014604i,-0.0020677+0.0025082i,-0.0017213+0.0027078i,-0.0009248+0.0029472i,0.000138+0.0027034i,0.00026842+0.0027387i,0.00072857+0.0021939i,0.0013853+0.00041365i,0.00019731-0.00071846i
0.0010791-1.3114e-05i,0.0039818+0.001236i,0.0053525+0.0011256i,0.0047305+0.0014582i,0.0039464+0.0037862i,0.0036349+0.0050887i,0.0025206+0.0024727i,-0.00045991-0.0017666i,-0.0036515-0.0032274i,-0.0031915-0.0033004i,-0.0017157-0.0033632i,-0.0023112-0.0015264i,-0.0016689+0.001541i,6.1423e-05+0.0039335i,0.0012992+0.0042957i,0.0016464+0.0026931i,0.0017223+0.0016188i,0.0022613+0.0010791i,0.0022749+0.0010432i,0.0017251+0.00078002i,0.0011438+4.3245e-05i,0.00070685-0.00039255i,4.9852e-05-0.00065056i
0.00046867+0.0011442i,0.00032658-0.00037828i,0.0017352-0.0031524i,0.0038961-0.0050795i,0.0066363-0.0055109i,0.0067622-0.004833i,0.0028673-0.0020432i,-0.0024779+0.0017728i,-0.0044549+0.0043367i,-0.0036333+0.0041322i,-0.0035373+0.0028594i,-0.0028522+0.0037822i,0.0001321+0.0058496i,0.003435+0.0042394i,0.0041621+0.0010865i,0.003914+0.00011317i,0.0035762-0.00078948i,0.0031631-0.001937i,0.0024118-0.0019064i,0.001238-0.001507i,0.00056665-0.001551i,0.00032489-0.00083505i,0.001051+0.00012319i
0.0010879-0.00063375i,0.00084335-0.0013599i,-0.00057127-0.0016818i,-0.002195-0.002251i,-0.0014757-0.0056087i,0.0007948-0.0072895i,0.0017978-0.0045714i,0.0018179+0.0010715i,0.0022631+0.0035845i,0.0021472+0.00094913i,0.0016083+0.0005659i,0.0024246+0.0022703i,0.0026057+0.0012652i,0.0013929-0.0025337i,0.0008253-0.0042997i,0.00031607-0.0033167i,-0.00033844-0.0023161i,-0.00061038-0.0017481i,-7.9313e-05-0.0017069i,0.00079346-0.0012187i,0.00097862-0.0012056i,0.0010251-0.0012388i,0.0013315-0.00053515i
0.00048787+0.00090452i,0.00078682+0.0016645i,-0.0006608+0.0019218i,-0.0041181+0.00087673i,-0.0070562-0.0021656i,-0.0078223-0.0037869i,-0.0046685-0.0024235i,0.0012403-0.0010701i,0.0052626-0.00029871i,0.0051228+0.00057404i,0.0048649+0.0006375i,0.0059419-0.0010689i,0.0049951-0.0042817i,0.001437-0.0056887i,-0.0014057-0.004239i,-0.0020237-0.0022189i,-0.0024107-0.0010062i,-0.0023128-0.00041585i,-0.0014219-6.9531e-05i,-0.00027314+0.00020607i,-2.9725e-05+0.0010665i,-0.00042382+0.0014614i,-0.00097303+0.00011049i
0.00068188-0.00081375i,0.0017631-0.0006317i,0.0022033+0.00048174i,0.00089053+0.0039945i,-0.0024895+0.0067702i,-0.0031775+0.0060274i,-0.0011232+0.0031258i,0.00043013-0.00080551i,2.8808e-05-0.0026198i,-0.00065138-0.001751i,0.00042827-0.0020845i,0.0008544-0.0033933i,-0.00041376-0.0029316i,-0.0018292-0.00045798i,-0.0023736+0.0016859i,-0.00087604+0.0024009i,0.00043+0.002572i,0.0010672+0.0022165i,0.00077427+0.0022854i,0.00038692+0.0016324i,0.000962+0.00055751i,0.00026353-2.0821e-05i,-0.0009534+3.5616e-05i
0.0019251-0.00063702i,0.0043768-0.0013242i,0.0059971-0.0031162i,0.0057149-0.0022516i,0.0049887+0.001964i,0.0035359+0.0037844i,0.0010553+0.0015515i,-0.0016403-0.0012244i,-0.0029035-0.0018403i,-0.0016469-0.0010858i,-0.00067982-0.0016747i,-0.0030404-0.001292i,-0.0047525+0.0017277i,-0.0030111+0.0047874i,-0.00020379+0.0047425i,0.0015048+0.0031169i,0.0017211+0.0025857i,0.0013252+0.0022029i,0.0013534+0.0018692i,0.0017056+0.0018992i,0.0015363+0.0012439i,7.2909e-05+7.5341e-05i,-0.00019055+0.00042668i
4.5404e-05-0.00060755i,-2.5486e-05-0.00036923i,-0.00069188-0.0017336i,0.0014005-0.0038873i,0.0066291-0.0038946i,0.0093589-0.0029336i,0.0067193-0.0018297i,0.0017217+0.00076023i,-0.00010896+0.0027214i,0.0010248+0.0021801i,0.0011141+0.00086006i,-1.3181e-05+0.00095691i,0.00097353+0.0016745i,0.0032166+0.0009236i,0.0038432-0.00042106i,0.0022647-0.0014985i,0.00103-0.0016166i,0.0015815-0.001538i,0.0020834-0.001153i,0.0020483+0.0001638i,0.0019371+0.00079563i,0.0016171+0.0014844i,0.0015832+0.0011879i
-0.0015479+0.00026911i,-0.0011056-0.0023954i,-0.003161-0.0033172i,-0.0060171-0.0057124i,-0.0051361-0.010663i,-0.0030789-0.012199i,-0.0017358-0.0071565i,0.00040039-0.00046467i,0.0023543+0.0025347i,0.0025507+0.0015495i,0.0018481+0.0013423i,0.0028442+0.0015405i,0.0044139-0.00051047i,0.0041078-0.002855i,0.0018586-0.0027302i,0.00023901-0.0012552i,-0.00030339-0.00091565i,0.00012271-0.0020601i,0.00025875-0.0021172i,-3.4444e-05-0.001506i,0.00014997-0.0012981i,-0.00013318-0.00077202i,4.4613e-05-0.0011659i
0.0039947+0.00095955i,0.0048437+0.0027029i,0.0028567+0.0040613i,-0.0027911+0.0048282i,-0.0081462+0.0029592i,-0.0082997+0.00029881i,-0.0036599-0.00069444i,0.00018044-0.0011448i,0.0013747-0.0029717i,0.00046077-0.0033435i,-0.00018006-0.00071973i,0.0014478+0.00052429i,0.00088504-0.00060395i,-0.0017296-0.0010572i,-0.0023969-0.00053791i,-0.00094163+0.00056016i,-0.00011152+0.0012842i,-0.0013587+0.00088478i,-0.0021953+0.00010999i,-0.0014128-0.0008302i,-0.00013236-0.0016878i,-0.00042858-0.00095716i,-0.0016312-2.3693e-05i
0.00074477+0.00073121i,0.0018117+0.00033992i,0.0032392+0.0015069i,0.003658+0.0058047i,0.00090092+0.009071i,-0.00087392+0.0068135i,-0.00017355+0.0014025i,-0.0017274-0.0025106i,-0.0037612-0.002066i,-0.0024974-0.00013739i,0.00018503-0.00037081i,0.0002841-0.0021265i,-0.0023722-0.0022143i,-0.0045039-5.3891e-05i,-0.003112+0.0017718i,-0.00019628+0.0031081i,0.0010072+0.0034221i,0.0011869+0.0034801i,0.0015588+0.0032859i,0.00095315+0.001518i,-6.0091e-05-0.00040459i,-0.00076931-0.00079435i,-0.0013999+0.00062081i
0.0014923-0.00063551i,0.0037628-0.0025045i,0.0054964-0.0058368i,0.0081083-0.0048839i,0.0099819-0.0011328i,0.0063964+0.0014098i,0.00083583+0.00088762i,-0.0026469+0.0012997i,-0.0027706+0.0026856i,-0.00034694+0.0023967i,0.00086503+0.00079559i,0.00089245-0.00018989i,0.00014927+0.0005936i,0.00047942+0.0021048i,0.0015949+0.0021069i,0.0012058-0.00039243i,0.0010397-0.001536i,0.0012426-0.00065764i,0.00079163+0.0010014i,-0.0004956+0.0023538i,-0.0016441+0.0021834i,-0.001161+0.0016069i,0.00028228+0.0013642i
-0.0021817+0.0046778i,-0.0039481+8.5124e-05i,-0.0014941+0.0028326i,0.0030859-0.0036862i,0.0085257-0.010944i,0.00869-0.012078i,0.00086617-0.0062803i,-0.0021111+0.0024457i,-0.00054484+0.0068202i,0.002046+0.0052429i,0.0030301+0.0013695i,0.0015703-0.00011061i,0.0016584+0.0013763i,0.0027515+0.0022383i,0.0022844+0.0010216i,0.00086679-2.3235e-05i,0.00041081-0.00061086i,0.0013488-0.00096376i,0.0018208-0.0011032i,0.0020858-0.00024254i,0.0016799+0.00090919i,0.00060209+0.00063529i,0.00081843+0.00012092i
0.0011095+1.8046e-05i,-0.00060782-0.00020155i,-0.004896+0.00046694i,-0.011735-0.00040953i,-0.01439-0.0034367i,-0.0097118-0.0032968i,-0.0022433+0.0010981i,0.0040015+0.0020743i,0.0066686-0.0015991i,0.0041436-0.00419i,9.1148e-05-0.0029297i,-0.00065225-0.0002543i,-6.0267e-05-0.00044308i,-6.8205e-05-0.0015549i,-0.00083179-0.0010128i,-0.0015529-3.0678e-05i,-0.0014065+0.00011405i,-0.00013783-0.00051938i,0.00060165-0.0011996i,0.0014057-0.00098751i,0.0026202-0.00030197i,0.001966-0.0002265i,1.9814e-05-0.0011974i
-0.00080223+0.00080242i,0.0021119+0.00038431i,0.0031226+0.0058149i,-0.00057304+0.012573i,-0.0058344+0.012667i,-0.0039861+0.0065708i,0.0013852+0.00017223i,0.0031366-0.0049501i,0.0020544-0.0064452i,-0.00013441-0.0045287i,-0.00042692-0.0012351i,0.00072075+9.7377e-05i,-0.00064202-0.0018428i,-0.0031878-0.0030992i,-0.0030943-0.00066589i,-0.0015384+0.0025301i,-0.0010168+0.0027216i,-0.00081331+0.0012462i,-0.00050185-8.508e-05i,0.00031448-0.0013965i,0.0013384-0.0023969i,0.0011673-0.001867i,-0.00030527-0.0011861i
0.00022193+9.1264e-05i,0.0022852-0.0012058i,0.0076933+0.00062064i,0.014392+0.0055569i,0.015767+0.010491i,0.010285+0.0068203i,0.0042207-0.0015062i,-0.0016096-0.0051376i,-0.0052704-0.0028679i,-0.0050211+0.0010876i,-0.0016108+0.0025753i,0.0024619+0.0021292i,0.0025641+0.0015887i,0.00055646+0.0017521i,0.00056748+0.0026055i,0.0019653+0.0018568i,0.0024938+0.00018757i,0.00089034-5.6713e-05i,-0.00088549-0.00036617i,-0.0014537-0.0010739i,-0.0018639-0.0013836i,-0.0013929-0.00080465i,-0.00029885+0.0004166i
0.0016001-0.0020076i,0.0012582-0.0047132i,0.002966-0.010342i,0.0084664-0.015153i,0.012691-0.013622i,0.0076369-0.0091477i,-0.0017755-0.0064784i,-0.0076725-0.0011864i,-0.0077025+0.0037366i,-0.0035304+0.0043404i,0.00058559+0.0022949i,0.0025448+0.00060089i,0.0029947+0.0013056i,0.0036866+0.0035213i,0.0044399+0.0028621i,0.0035183-0.00030637i,0.0016368-0.0013711i,0.00092806-7.662e-05i,0.00029586+0.00022226i,-0.0014114+3.0975e-05i,-0.0022537-0.00014881i,-0.0020295+0.00012367i,-0.0012893+0.00058675i
0.0016159+0.0013332i,0.00044591+0.00022822i,-0.0055734-0.0038175i,-0.012538-0.013473i,-0.01132-0.020427i,-0.0081826-0.0154i,-0.0074614-0.0035094i,-0.0032989+0.006019i,0.0029342+0.0076683i,0.0048818+0.0030893i,0.0028192-0.0017335i,0.00024421-0.00299i,4.7144e-05-0.0019i,0.0014593-0.0016061i,0.0011893-0.0023715i,-0.0012533-0.001364i,-0.0018768+0.00045804i,1.4119e-05+0.0012778i,0.0014347+0.0021135i,0.0011131+0.0033606i,0.00021341+0.0035633i,0.0005864+0.001978i,0.0010281-0.00031269i
0.00081267+0.0022338i,-0.00038922+0.004205i,-0.005634+0.0085384i,-0.016126+0.011596i,-0.022215+0.0066166i,-0.015635+0.0033196i,-0.0048056+0.0071697i,0.0044704+0.008158i,0.0087936+0.003828i,0.0059413-0.00056766i,0.00075112-0.0020542i,-0.002066-0.001452i,-0.0013555-0.0018736i,-0.00075277-0.0038714i,-0.0021954-0.0040311i,-0.0030295-0.0015672i,-0.0023211+0.00027765i,-0.001316+0.00029711i,-0.00017389+0.00039365i,0.0012169+0.0019832i,0.0014805+0.0030144i,0.0012446+0.0021146i,0.00090297-1.9857e-05i
0.00087+0.00014523i,0.0040819+0.0010843i,0.0079611+0.0075122i,0.0083681+0.020637i,0.0035457+0.027527i,0.0023399+0.020169i,0.006351+0.0071937i,0.0072821-0.0034165i,0.0033929-0.0083556i,-0.0013692-0.0058989i,-0.0033824+0.0011874i,-0.0024166+0.0056723i,-0.0015861+0.0056255i,-0.0018171+0.0027539i,-0.0017682+0.0020551i,-4.993e-06+0.0029168i,0.0023836+0.0015431i,0.0022444-5.4449e-06i,0.0016015-0.00094207i,0.0024886-0.0014896i,0.0029528-0.0011864i,0.0022825-0.00088827i,0.00035063-8.5515e-05i
-0.0013942-0.001092i,0.0019322-0.0045488i,0.01054-0.0062322i,0.024366-0.003187i,0.030106+0.0044908i,0.021785+0.0035149i,0.010845-0.0054174i,0.0022862-0.010858i,-0.0032366-0.0085974i,-0.0028046-0.0023081i,0.0010208+0.0024162i,0.003583+0.0048561i,0.0023706+0.0048693i,-0.00037024+0.0042635i,-0.00036791+0.0045175i,0.0017355+0.0032445i,0.0012459+0.0015089i,-0.00025971+0.0012222i,-0.00017618+0.00078371i,0.00026548-0.00088627i,0.00073713-0.0028293i,0.00097983-0.0033942i,0.00046489-0.0018974i
-0.0021675-0.00067556i,-0.0022749-0.0064231i,-0.0038015-0.01644i,-0.00036693-0.028401i,0.0092419-0.030101i,0.010174-0.022024i,-0.00041778-0.014497i,-0.0080866-0.0059525i,-0.0075079+0.0025912i,-0.0021561+0.0045947i,0.0036333+0.0011162i,0.0066018-0.0025318i,0.0059387-0.0035098i,0.0037787-0.0022952i,0.0029593-0.001248i,0.0015109-0.0010928i,-0.00052583+0.00018171i,-0.0009076+0.0021743i,-0.00050137+0.001931i,-0.00027726+0.00090677i,-0.00084319+0.00026277i,-0.0003168-7.9837e-05i,0.0012587+7.8743e-05i
-0.000173-3.1267e-05i,-0.0042015+0.0019271i,-0.01495+0.0013203i,-0.02767-0.0065495i,-0.028242-0.017917i,-0.019896-0.016563i,-0.014622-0.0044992i,-0.0099944+0.0054i,-0.0036726+0.0081424i,0.00041842+0.0038112i,0.00030955-0.0026206i,-6.9503e-05-0.0056312i,0.0015922-0.0053283i,0.0039414-0.0042933i,0.0042356-0.0036103i,0.0017778-0.0036659i,0.00067199-0.0027241i,0.0012656-0.001639i,0.001185-0.00077305i,0.00045235+0.0010195i,-0.00056568+0.0021233i,-0.0018829+0.0026891i,-0.0017064+0.002346i
0.0028118-0.00019462i,0.0041951+0.0036253i,-0.00062691+0.01242i,-0.01533+0.024374i,-0.028897+0.023732i,-0.024713+0.01418i,-0.0086154+0.010902i,0.0039817+0.0085992i,0.0072498+0.0022219i,0.0034902-0.0024759i,-0.0018672-0.0026423i,-0.0056313-0.0015001i,-0.0055604-0.0021785i,-0.003129-0.0031122i,-0.0020034-0.0025004i,-0.0019079-0.00038096i,4.4671e-05+0.00067881i,0.0015607-0.00036673i,0.0014505-0.0009043i,0.0017714+0.00041642i,0.00208+0.0019183i,0.0009096+0.0012858i,-0.00052812-0.00031384i
0.0026247-0.0040981i,0.008422-0.00079344i,0.016818+0.0076599i,0.0235+0.023605i,0.018162+0.035123i,0.010234+0.028614i,0.011047+0.013491i,0.012698+0.0026199i,0.0093011-0.0023874i,0.0030413-0.0013275i,-0.0022311+0.0023141i,-0.0042595+0.0046939i,-0.0045743+0.0039952i,-0.0058115+0.0012797i,-0.0060948+7.0996e-05i,-0.003812+0.00086163i,-0.0019003+0.0010131i,-0.0014067+0.00075165i,-0.0010176+0.00011836i,0.0014034-0.00073194i,0.0040053-0.00030294i,0.0041775+0.00040827i,0.0027555+5.6445e-05i
-0.00040868-0.0027737i,0.003693-0.0090057i,0.013564-0.02008i,0.032247-0.025005i,0.043462-0.01474i,0.033484-0.0046683i,0.017101-0.0066351i,0.0051663-0.0090628i,-0.0013014-0.0059141i,-0.0014987-0.0001712i,0.0018212+0.0044761i,0.004302+0.0058504i,0.004295+0.0047989i,0.0020731+0.0040398i,-0.00044267+0.0039195i,-0.00074192+0.0028392i,-0.0012478+0.001111i,-0.0024564+0.00068173i,-0.0018687+0.0011706i,-0.00039499+0.00035956i,0.00067458-0.00089886i,0.00082582-0.0005508i,0.00064366+0.00061797i
0.0027017+0.0012113i,-0.0030501-0.0032087i,-0.011665-0.018266i,-0.015806-0.039482i,-0.0057099-0.048995i,0.0028891-0.037911i,-0.0010079-0.022545i,-0.0063438-0.013285i,-0.0062139-0.0072196i,-0.0015404-0.0028185i,0.0039064-0.00044467i,0.0068719+9.0884e-06i,0.0073325+0.00059876i,0.0068614+0.0017068i,0.0064113+0.0023215i,0.0045853+0.001567i,0.0020097+0.0012187i,0.002375+0.0021091i,0.0030588+0.0022317i,0.0015741+0.0013527i,-0.0011945-0.00046363i,-0.0027099-0.0013721i,-0.0016367-0.0013844i
0.00041663+0.0027975i,-0.0040863+0.0073018i,-0.018422+0.011191i,-0.039879+0.005411i,-0.048764-0.010395i,-0.036312-0.01723i,-0.02114-0.0091834i,-0.011716+0.00025556i,-0.0044718+0.0028555i,0.00019605-0.00031386i,0.0028875-0.0035794i,0.0039986-0.0054447i,0.0036029-0.0060118i,0.0034862-0.0046627i,0.0034255-0.0029487i,0.0024435-0.0018542i,0.0017159+0.00033164i,0.0023679+0.0011965i,0.0024956+0.00013153i,0.00086271-0.00048052i,0.00012299-0.00036618i,-6.2477e-05+0.00031853i,-0.00054205+0.00036269i
0.0037529+0.00024776i,0.0070483+0.0066132i,0.0083764+0.024217i,-0.0014566+0.048238i,-0.017653+0.052784i,-0.021478+0.035198i,-0.013618+0.020885i,-0.0057165+0.015559i,-0.00081036+0.01129i,-0.00055214+0.0050529i,-0.0029954-0.0010092i,-0.0045134-0.0034174i,-0.0045718-0.0037065i,-0.0034322-0.0048581i,-0.0024287-0.0054865i,-0.0017168-0.0038539i,-0.00023162-0.0022537i,0.00020825-0.002481i,-0.00094123-0.0026211i,-0.0006653-0.00061452i,0.0013773+0.0010257i,0.0027081+0.0018855i,0.0016759+0.0018675i
0.0033419+0.0018492i,0.011297-0.0012773i,0.032103-0.0011339i,0.053567+0.011233i,0.051561+0.030608i,0.029948+0.032179i,0.015173+0.017502i,0.011584+0.0064782i,0.008054+0.0020716i,0.002287+0.00030722i,-0.0038021+0.0002639i,-0.0060336+0.0016635i,-0.005521+0.0023731i,-0.0051939+0.00094896i,-0.00492+0.00058943i,-0.0035974+0.0016208i,-0.0015838+0.00053573i,-0.00098238-0.0011374i,-0.0013403-0.0011348i,-0.0014275-0.00059659i,-0.00068088-0.00030834i,0.0005463-0.00025525i,0.0010401-0.00018432i
-0.002361-0.0022374i,-0.0026407-0.012784i,0.0031768-0.031875i,0.021005-0.050702i,0.040784-0.048052i,0.040013-0.027797i,0.025993-0.014255i,0.017254-0.010174i,0.012026-0.0079247i,0.0073627-0.002996i,0.0031385+0.0033705i,0.00035149+0.0061571i,-0.00058338+0.0057404i,-0.0013605+0.004727i,-0.0020566+0.0046286i,-0.0016995+0.0047455i,-0.0011081+0.0031016i,-0.00064363+0.0021467i,7.0465e-05+0.0032468i,0.00024912+0.0023388i,0.00060351-0.00042315i,0.0010038-0.0016177i,0.00076342-0.0017258i
