-0.0033545+0.0014593i,-0.002374+0.00049266i,-0.0021146+0.0010672i,-0.001765+0.0019106i,-0.00092521+0.002802i,-0.00010779+0.001975i,0.00029035+0.0013923i,0.00038303+0.0015894i,0.00070698+0.0010641i,0.00097537+1.1712e-06i,0.00068337-2.2608e-06i,0.00023801+5.183e-07i,4.8814e-05-0.00026793i,0.00021555-0.00066084i,0.00024302-0.00064922i,0.00055317+4.4413e-05i,0.00075348+0.00032049i,0.0006935-6.3947e-05i,0.00078698-0.00028962i,0.00017327-0.00035222i,-0.00056546-1.2769e-06i,-0.0007796+1.3496e-05i,-0.00039207-0.00061499i
0.00093603+0.00059681i,0.0015731-0.00014863i,0.0022774-0.0013081i,0.0012596-0.00098715i,-0.00037558+0.00012823i,-0.00031299+0.00084715i,0.00018193+0.0011385i,-1.8016e-05+0.00044903i,-0.00047911+6.6501e-05i,-9.1353e-05+0.0006577i,0.00016943+0.00071007i,5.0046e-05-0.00010323i,0.00052064-0.0010636i,0.00026322-0.0012448i,0.00018101-0.00040426i,0.00045016-0.00041195i,-7.9647e-06-0.00039295i,-0.00035724+0.00037475i,-0.00048367+0.00039229i,-0.00063532+0.00015494i,-0.00026374-0.00020891i,0.00049154-0.00015155i,0.00034085-0.00016133i
-0.00043437-0.00014314i,-0.00038163+0.00029358i,-0.00072345+0.0008526i,-0.0005996+0.00091087i,0.00020228+0.0011029i,0.00055951+0.00095056i,-0.00023243+0.00058561i,-0.00043613+0.00014723i,0.00019845-0.00025524i,-0.00023789+6.47e-05i,-0.00038645+0.00019981i,0.0005283+0.0003564i,0.0005714+0.00047577i,-0.0001348-8.649e-05i,-0.0002052-0.00053687i,0.00019719+0.00013459i,-0.00052121+0.00039707i,-5.7212e-05+8.5039e-05i,0.0001827+0.00043876i,-0.00015758+0.00043094i,-0.00013648+0.00089156i,-0.00056768+0.00053755i,-0.00034941-0.00039606i
-0.00041945-0.00056167i,-0.00043488-0.00053368i,-0.00031949-0.0017321i,-0.00038129-0.001399i,-0.0011568+0.00031675i,-0.0017026+0.00069939i,-0.001375+0.00024121i,-0.0010412+0.00020662i,-0.00072435+4.5685e-05i,0.00027615-0.00026942i,-0.00011468-0.00020664i,-0.00092061+4.9562e-08i,-0.0008875+0.00080604i,-0.0001775+0.0017393i,0.00050635+0.0014439i,0.00056858+0.00077556i,0.00042037+0.0005545i,-8.4441e-05+0.00024077i,-0.00049066+0.00016493i,-8.2492e-05-0.00046078i,-6.3988e-05-0.0007025i,-0.00022671-0.0002646i,-0.00014886-0.00015839i
0.00084787-0.0010815i,0.00010795-0.0012498i,0.00050649-0.0014938i,-9.3164e-06-0.0008644i,-0.00078376-0.00023201i,-0.00043782+0.00030829i,-0.00030083+0.00065117i,-5.8968e-05+0.00047589i,0.00032052+0.0006881i,0.00030109+0.00010943i,6.034e-05-0.00036206i,-0.00045594-0.00026017i,-0.00058205+0.00026034i,-0.00028413+0.0009046i,7.9424e-05+0.0006727i,0.00094034+0.00087667i,0.0012268+0.0011829i,0.0011901+0.00081231i,0.00068322+0.0004698i,6.1214e-05+0.00021515i,-0.00038737-9.6128e-05i,-4.3558e-05-0.00035992i,0.00065514-0.00058583i
-0.00061641+0.0013149i,-0.00032124+0.0012866i,0.0008764+0.00060388i,0.0014997-0.00010407i,0.0016359+0.00010799i,0.00051966+0.0010083i,-0.0008141+0.0011969i,-0.00088912+0.0006741i,-0.00078846+0.00074259i,-0.0010443+0.00019067i,-0.001199-0.00076944i,-0.0013952-0.00025281i,-0.00080647+0.00053445i,0.00025078+0.00018846i,0.00063765+9.2341e-05i,0.0010518-0.00051695i,0.00096358-0.00065855i,0.00054785-0.00047362i,0.0006854-0.0005262i,0.00070588-0.00031808i,0.00027517-0.00059767i,0.00037854-0.00054197i,0.00053588+0.00017904i
0.00083571+0.0016662i,0.0021763+0.0015214i,0.0032557+0.0015013i,0.0026019+0.00053516i,0.00052138-0.00082471i,3.9854e-05-0.00074638i,0.00060224+0.00036737i,0.00031025+0.00077862i,0.00044755+0.00062392i,0.00097051+0.00010514i,0.00052491+0.0003604i,-0.00041241+0.0010089i,-0.00093568+0.00052413i,-0.00076876-0.00011229i,-0.0002681+0.00025282i,0.00049042+0.00086767i,0.00060541+0.00058201i,-8.8888e-05-0.00016322i,-7.8158e-05-0.00072257i,-3.7677e-05-0.0010676i,0.00060463-0.00066512i,0.00092057+7.5622e-05i,-0.00020157-9.9697e-05i
0.00017618+0.00029539i,-0.00070908-0.00013489i,-0.00052576-0.00082691i,0.00068919-0.00045344i,0.0010955-0.00014959i,0.0010225+2.6603e-06i,0.00062421+0.00017319i,-0.00016179-2.6927e-05i,-0.00059499-0.00025972i,0.00036707+0.00010756i,0.0010986+0.00033829i,0.00028508+0.00057834i,-0.00046397+0.0010021i,-0.00045036+0.00038995i,0.00025883-0.00024669i,0.00035089-7.1416e-08i,7.7799e-05+0.0008788i,-0.00048698+0.00068098i,-0.00084521-0.00053205i,-0.00019398-0.00036315i,9.9721e-05+0.00049649i,-0.00013876+0.00049336i,0.00019392-0.00032931i
-0.0010461+0.00038493i,0.00041366+0.00074531i,0.00089326+0.0011015i,-0.00016371+0.0020407i,-0.00079288+0.0021898i,-4.9492e-05+0.0010178i,0.00034287-0.00056079i,-0.00039031-0.001034i,-0.0010915+0.0001775i,-0.00050937+0.00053206i,-1.863e-05-7.833e-06i,2.874e-05+3.7635e-05i,4.9147e-06+0.00016648i,-0.00049071+0.00010917i,-0.00054238+0.00042033i,-0.00010905+0.0010606i,-6.2104e-05+0.00083237i,-0.00034696+0.00021459i,0.00039306-0.00090001i,0.0015031-0.0010689i,0.0011638-0.00014483i,0.0004406+6.3573e-05i,-0.00032245+0.00027329i
-0.0010548+0.0014313i,0.00031192+0.0013033i,0.0017556+0.0012509i,0.0028166+0.0024242i,0.0028817+0.0022419i,0.0024316+0.00038059i,0.00097183-0.00016971i,-0.00043361-4.5066e-05i,4.6968e-05+0.0006537i,0.00050077+0.0007537i,-0.00021063-0.00017328i,-0.00074516-0.00075724i,-0.00027786-0.0012682i,0.00037005-0.00093715i,0.00038514-3.0509e-05i,0.00027238-0.00026395i,0.00056509-0.0012087i,0.00095575-0.0011321i,0.00052966-0.00016656i,-4.0345e-05+0.00021512i,0.00012399+0.0001456i,0.00017817+0.00024731i,0.00030678+0.00017853i
-0.00092699+0.001042i,-0.0002243+0.0024938i,0.00057004+0.0029253i,0.00082294+0.0020397i,0.00082189+0.0017607i,0.00058606+0.00092809i,0.0001435+0.00010984i,-1.4636e-05-2.3362e-06i,0.00066783+0.00047918i,0.00069576+0.00016734i,0.00034347-0.00086165i,-0.00024519-0.00084383i,-0.00022805-0.0002595i,-0.00016561+0.00053086i,-0.00045672+0.00026193i,-3.8617e-06-0.0002894i,0.00015206-0.0002966i,-0.00057108-0.00050463i,-0.00027996-9.5191e-05i,0.00079789+0.00035167i,0.00061588+0.0001336i,0.00022471+7.3355e-05i,-0.00042584-0.00035859i
