0.0008568+0.00034372i,0.0011212-0.00080774i,-0.00042767-0.0013429i,-0.001528-0.0012113i,-0.0009863-0.001399i,-0.00045044-0.00093271i,-0.00011369+0.00086165i,0.00084249+0.0022776i,0.0021177+0.0016764i,0.0019418+0.00015541i,0.0011122-0.00038633i,0.00064551-0.00068353i,5.4733e-05-0.00055003i,-2.7858e-05-9.6711e-05i,0.0005236-7.0143e-05i,-9.7975e-05-4.9327e-06i,-0.00059975-3.4973e-06i,4.9996e-06+0.00041037i,5.803e-05+0.0001494i,0.00025555-0.00018654i,0.0001619+0.00026641i,-0.0009073+0.00014485i,-0.0012366+0.00048081i
0.0016749-0.0038191i,7.3481e-05-0.0024381i,-0.0012283-0.0021617i,-0.00083057-0.0020676i,-0.00094953-0.0011032i,-0.00047728+0.00071011i,0.00041529+0.00099524i,-0.00023968+0.00017461i,-0.00064592-0.00056448i,-0.00033497-0.00076049i,0.00012685+3.8146e-05i,0.00088489+0.00068864i,0.0011976+0.00089627i,0.00050372+0.00093589i,0.00019523+0.00094375i,0.0003065+0.00061901i,0.00061639-0.00057353i,0.0010984-0.0004936i,0.00091569+0.00020965i,0.00052587-2.6898e-05i,-0.00057138-0.0010402i,-0.00050854-0.00092417i,0.00016697+6.8785e-05i
-0.0028571-0.0010602i,-0.0028455-0.00090978i,-0.0022552+0.00053933i,-0.00087708+0.0015073i,0.00083317+0.0021225i,0.0015856+0.0023534i,0.0012932+0.0015416i,0.00087483+0.00054387i,0.0003071-0.00012469i,-1.1747e-05+5.0703e-05i,0.0001654+0.00048147i,0.00058774+0.00075066i,0.00046756+0.00035021i,0.00027137+0.00017326i,0.00087156+0.00040665i,0.0005014+0.00024428i,-0.0004719+5.4918e-05i,-0.00025563+2.5302e-05i,-0.0004657+0.00012734i,-0.00075514-6.3308e-05i,-0.00049316-0.00016336i,-0.00020344+7.9946e-05i,0.00033367-8.254e-05i
0.0019349-0.0018244i,0.00060683-0.0025117i,0.00013324-0.0027066i,-0.00012755-0.0016325i,-0.00045702-0.00071039i,-0.00026238-0.00058958i,-0.00047917-0.00030272i,-0.000544-6.4997e-06i,-0.00013988+4.7443e-05i,-0.00099085+0.00011724i,-0.00098241-0.00010793i,-0.00030161-0.00038662i,0.00010386-0.00019475i,0.0005044-0.00010051i,0.00061776-8.6333e-05i,-0.00018959+2.0223e-05i,-0.00045927-5.8674e-05i,-0.00011722-0.00085682i,0.00014057-0.0010506i,-0.0004116-0.00035147i,-0.00076213-6.4014e-05i,0.00039637+0.00011871i,0.00063107+5.5629e-05i
-0.0013783-2.4796e-05i,-0.00067667+0.00034375i,0.00034992+0.0013054i,0.0009319+0.00079171i,0.0015651+0.00013398i,0.0010045-0.00025419i,0.00035365-0.00068739i,0.00033669+0.00022456i,-6.2883e-05+0.00039738i,-9.9484e-05+0.00031822i,-5.824e-05+0.0013834i,2.5412e-05+0.00082923i,0.00050178-0.00039317i,0.00086849-0.00026447i,0.00062346+0.00060956i,2.9092e-05+0.00077756i,-0.00016541+0.00016988i,-0.00051623+0.00021776i,-0.00043891+0.0003075i,-0.00034867+0.00012807i,-0.00013036-5.5056e-08i,-0.00037622-0.00020686i,-0.00081456-0.00043244i
-0.0010498-0.0034592i,-0.0012266-0.0023125i,-0.0013186-0.0013147i,-0.00053224-0.00026246i,-1.1667e-05+0.0010037i,0.00051534+0.0011168i,0.00049493+0.00068996i,0.00040628+0.00059469i,0.00028511+0.00042764i,-0.0002124+0.00070449i,6.8436e-05+0.00082261i,0.0003299+0.00068239i,-0.0002108+0.0012594i,-0.00069312+0.001109i,-0.00031419+0.00064321i,0.00016415+0.00066701i,0.00012527+0.00099483i,-0.0001817+0.0011524i,-2.8216e-05+0.00074145i,0.00036357+0.00038423i,0.00061265+0.00039697i,-0.00010223+0.00070326i,-0.00056082+0.001074i
0.0016019+0.00057061i,0.0010598-0.00029266i,0.00051158-0.0014971i,0.00033405-0.0015638i,0.00034451-0.0010046i,-3.4404e-06-0.00029336i,-0.00013671+0.00038686i,0.00075233+0.00028701i,0.00056753-0.00049473i,-0.00050835-0.00033692i,-7.231e-05-0.0002795i,0.00065817-0.00067572i,0.00033938-0.00050045i,-0.00010534+8.4145e-05i,-6.1763e-05+0.00065342i,-0.00027635+0.00070605i,-0.00033296+0.0007901i,0.00057398+0.00084333i,0.00068452+0.00013329i,-0.0005119+0.00018981i,-0.00097214+0.00041912i,-0.00094339+0.00093722i,-0.00040819+0.0015779i
-0.0011458-0.0018622i,-0.001439-0.0013393i,-0.0023456-0.0011558i,-0.0018001-0.00026806i,-0.00092717+0.0010268i,2.573e-05+0.0010522i,0.00045007+0.00080867i,0.00024151+0.00030006i,-0.00024341-0.00012979i,8.1418e-05-0.00011501i,0.0011007+0.00044082i,0.0011688+0.00087189i,0.0009976+0.00037979i,0.0009223-0.00015621i,0.00056082+0.00067192i,-0.0004089+0.0014348i,-0.0011898+0.00080371i,-0.0013155+0.00026029i,-0.00099097+0.00046459i,-0.00022077+0.00099183i,0.00025417+0.0011435i,-0.00033838+0.00095195i,-0.00058645+0.00062176i
0.0013815-0.0017114i,0.0014592-0.0013387i,0.00090699-0.0014433i,0.00068194-0.0012221i,-7.7026e-05-0.00078798i,-8.2962e-05-0.00066716i,0.00025837-0.00012832i,0.00038836-3.9732e-05i,0.0001466-0.00013008i,-0.00035107-0.00045831i,-0.00050414-0.0003737i,-0.00027123+0.00048318i,-0.00028624+0.00076319i,-2.2261e-05+0.0008355i,0.00037514+0.0014455i,-6.7747e-05+0.00067869i,-0.00012218-0.0008338i,1.1447e-05-0.00050374i,-0.00025743+0.00029652i,-0.00033213+0.00035357i,-0.00053143+0.0003073i,-0.00012106+0.00010609i,9.9694e-05+0.00013595i
0.00086082-0.0011663i,0.00024449-0.0021185i,-0.0001733-0.0020514i,-0.00010878-0.00082015i,0.0004702-3.8944e-05i,0.00052423-4.1852e-05i,0.00034353+0.00018349i,0.00051371+0.00065376i,0.00055373-0.0001543i,0.00017789-0.00042273i,0.00021043+0.00055874i,0.0004155+0.0010962i,0.00060343+0.001244i,-0.00019441+0.0011086i,-0.0011827+5.1252e-05i,-0.00024042+0.00013583i,0.00047576+0.00034779i,-8.7308e-06-0.00030963i,-0.0004442-0.0004111i,-0.0003545+0.00022172i,-0.00058156+0.0001743i,-0.00077391-0.0007804i,-0.0010013-0.00092181i
0.0024921-0.0011419i,0.00094437-0.0007221i,-0.00012603-0.00076205i,0.00012594+0.00016275i,0.00080917+0.0012047i,0.00060522+0.0011348i,0.000176+0.00028436i,0.00018952-0.00015257i,0.00066609-0.00068922i,0.00057647-0.00069308i,8.1267e-06+0.00069012i,-0.00044946+0.001577i,-0.00042371+0.00081459i,-0.0001019+0.00019721i,0.00064278+0.00033112i,0.00059037+0.00074109i,0.00028289+0.00085794i,0.00055261+0.00015799i,0.00045209-0.00068574i,0.00041268-0.00067097i,0.00055161-0.00044031i,0.00044928-0.00088423i,0.0011007-0.00061186i
