-0.0017528-0.0010924i,-0.0012678-0.0021428i,-0.0012891-0.0019878i,-0.0013003-0.00094658i,-0.0015135+0.00042361i,-0.00099502+0.0015845i,0.00024745+0.0020442i,0.00142+0.0016983i,0.002543+0.0015907i,0.0020485+0.00042803i,0.00037362-0.00049337i,-0.00016843-0.0010802i,-3.5889e-05-0.0014451i,-0.00021702-0.0010119i,-0.00024308-0.0008077i,-4.6742e-05-0.00062816i,8.2816e-05-0.00043994i,0.00033-0.00014824i,0.00078491-9.477e-05i,0.00088521-0.0003449i,0.00043449-0.00032182i,0.00016003+0.00050988i,0.00017856+0.00094071i
-0.0014785+0.0018374i,-0.00076874+0.0012534i,-0.0018247+0.00016861i,-0.0017979+0.00068618i,-0.0012188+0.0012131i,-0.00043284+0.00017126i,-2.1944e-05+0.00016385i,-0.0003952+0.0002235i,-0.00083424-0.00060287i,-0.00041768-0.00094933i,0.00052827-0.001089i,0.00076106-0.0014908i,7.9728e-05-0.0011567i,-0.00011717-0.00064497i,0.00051119-0.00092649i,0.00095649-0.0010134i,0.00055028-0.00027676i,-0.00048542+0.00013896i,-0.0005884+3.114e-07i,-0.00021841-0.0005982i,0.00010807-0.00058577i,5.6765e-05-7.2548e-05i,-7.3031e-05-0.00052508i
-0.00036097+0.00021121i,0.00028823+0.0004963i,0.00054661-0.00036691i,0.00024809-0.00057494i,-0.00016273+0.00056997i,-0.00055259+0.0011459i,-0.00040431+0.00027439i,0.00012152-0.00019046i,0.00056636-0.00012499i,0.00053279-0.0004465i,0.00060184-0.00054117i,0.0010898-0.00056525i,0.00074889-0.0007918i,-7.6887e-05+2.0618e-05i,-0.00091324+0.00026133i,-0.00021139-0.00026098i,0.00072851-0.00027331i,0.00022116+0.00034936i,-0.00054003+0.00046471i,-0.0002737-0.00074545i,0.00026268-0.00073733i,0.0008765+0.00021819i,0.00090642+0.00059436i
0.0015763-2.2438e-05i,0.0016116-0.00057654i,0.0005331-0.00091307i,-0.0009464-0.00062812i,-0.0015306-0.00045918i,-0.00096531+0.00079513i,0.00010798+0.0018992i,0.0012489+0.0017394i,0.00090408+0.00036605i,0.00054476-0.0010292i,0.00079765-0.00093152i,0.0003003+0.00017605i,6.5068e-05+0.00051307i,-0.00056761+0.00039324i,-0.0012347+0.00019951i,-0.00129-5.6562e-05i,-0.00097408-6.026e-05i,0.00038182+0.00047662i,0.001234-0.00016092i,0.00096347-0.00046742i,0.0011902+0.00037096i,0.0011884+0.00038082i,0.00018675+0.00013922i
-0.00043891-0.0003883i,0.0010123-0.0011281i,0.0014465-0.0004911i,0.0010329+0.00023726i,-0.00043929+6.4044e-05i,-0.00048059+0.00095629i,0.00061288+0.0017734i,0.0005502+0.0015329i,4.8151e-05+0.0017222i,-0.00042229+0.00092397i,0.00010058-0.00026497i,0.0003138-0.00056634i,0.00014215-0.00099546i,0.00060908-0.00037281i,0.00021364-0.00022595i,-0.00020131-0.00039413i,0.00054753+0.0001614i,0.0011233+0.00057077i,0.00061706+0.00033383i,0.0002856+0.00049298i,0.00010252+0.00077613i,-0.00015333+0.00019785i,-0.00044703-0.00016738i
0.0027918+0.0014975i,0.0032652-0.00019393i,0.00313-0.001455i,0.0019921-0.0018076i,0.00095391-0.0016568i,0.00023678-0.00051447i,-0.00017269+0.0012383i,-9.1878e-05+0.0016986i,0.00024593+0.00078073i,0.00049857+0.00037855i,-0.00015433+0.00073945i,-0.00093224+0.0013091i,-0.00079376+0.0012546i,-0.00024475-7.9229e-06i,-0.00044349-0.00020353i,-0.0010263+0.00032854i,-6.1831e-05+0.00026435i,0.00055927+5.1021e-05i,-4.8669e-05+7.9095e-05i,0.00014988+0.00040925i,0.00088853+0.00039788i,0.00022792+0.00012845i,-0.00099069-5.6101e-05i
0.0030413+0.00057774i,0.0030999-0.0012363i,0.0031805-0.0025608i,0.0018367-0.0027462i,-0.00038403-0.0012561i,-0.0015803+0.00065645i,-0.0010911+0.002309i,1.1219e-06+0.0025355i,0.00023944+0.0014445i,0.00018512+0.00036528i,-0.00063379+0.00022054i,-0.0010195-0.00021311i,-0.00053735-0.00026395i,5.1477e-06+0.00059072i,-0.00016363+0.0011472i,-0.00031371+0.00091558i,-0.0002466+0.00016376i,-0.0001649-0.00013255i,-0.00039157-0.0002904i,-0.00067302-0.00038765i,-4.4676e-05+6.296e-05i,0.0001623+0.00017462i,-0.0001134-0.00027628i
-0.00087907-0.00043735i,-0.0012458-0.0019526i,-0.001533-0.0018062i,-0.0021423-0.00047584i,-0.0020729+0.0004545i,-0.00086039+0.001125i,0.00022394+0.001985i,0.00050097+0.0013712i,2.7532e-06+0.00072041i,-0.00033072+0.0011716i,0.00029722+0.0010218i,0.00054381-0.00013454i,7.1311e-05-0.00096904i,0.00055844-0.00097315i,0.000992-0.00074692i,0.00086902-0.00024448i,0.0007175+0.00022729i,5.8808e-05+0.00015663i,-6.8769e-05-0.00020713i,0.00039336-0.00015576i,0.00022718+0.00012929i,0.00011511-0.00031807i,5.4967e-05-0.00039261i
-0.00057677-0.0016497i,0.00022637-0.0019253i,0.0010137-0.00080833i,0.0012196-0.00030936i,0.00027046-0.00052485i,-0.00019354-0.00066314i,-3.652e-05-0.00021723i,0.00021191+0.00038954i,0.00032653+0.00038712i,0.00027854+0.00012119i,0.0005233+7.9015e-05i,0.0017122+0.00022798i,0.0021684+0.00064756i,0.0013638+0.0011394i,0.00060812+0.00034047i,0.0005586-0.00049918i,0.0008133-0.00036748i,0.00097079-3.2752e-05i,0.00049567+1.7955e-05i,-0.00060148-0.00025765i,-0.00091125-8.4707e-05i,-0.00052792+0.00025239i,0.00031802+0.00089028i
0.00014029-0.00083986i,0.00042335-0.00042958i,-0.00095983-0.00066036i,-0.0017722-0.00071549i,-0.0010605+0.00047753i,-0.00058904+0.00071448i,9.3083e-05+0.00016982i,0.00047695-4.2814e-05i,-0.00016166-0.00020789i,-0.00055118-2.0486e-05i,-2.7732e-05+4.9443e-05i,0.00041958-0.0001766i,0.00034363-0.00068829i,5.1633e-05-0.0003881i,0.00081852+0.00013449i,0.0010104-0.0011607i,0.00093876-0.0011843i,0.00092262+9.3518e-05i,0.00058167-0.00013474i,0.00017831-0.0006131i,-1.2728e-05-0.00014751i,2.1582e-05+0.00032956i,0.00026515-0.00030218i
0.00046819+0.00085244i,0.00084919+5.7391e-05i,0.0014565-2.5586e-05i,0.0016644-0.00075463i,0.0014444-0.00073708i,0.00042739+0.0002242i,-0.00027377+0.0010928i,0.00023717+0.0011534i,0.00014138+0.00050041i,0.00018754+0.00020228i,0.00030808-0.00028838i,-0.00035471-0.00051713i,-0.00058915-0.00046481i,0.00020889-0.00044963i,7.3268e-05+2.1275e-05i,-0.00060308+0.00056804i,-9.8397e-05+0.00066765i,-0.0001776+0.0002341i,-0.00058385-3.094e-05i,-0.00020791-9.287e-05i,0.00083775+0.00066782i,0.00074688+0.00086101i,-0.00022251+0.00018801i
