-0.0020475-0.00075863i,-0.0022765-0.00055945i,-0.003066+4.7124e-05i,-0.0027509+0.00075671i,-0.0017573+0.0015731i,-0.00048637+0.0022428i,0.00029767+0.0028637i,0.00070615+0.0020332i,0.00074289+0.00088535i,0.00021836+0.00060579i,0.00048588-7.6621e-05i,0.00081817-0.00057425i,0.00041902-0.00079833i,0.0003191-0.00093864i,-3.1434e-05-0.00081091i,-5.9746e-05-0.00045388i,0.00032193-0.00056744i,-0.00010919-0.00038019i,-0.00010782-2.0385e-05i,-0.0003419+1.1847e-05i,-0.00058295+0.00050876i,-0.0013153+0.00067442i,-0.0012086+0.00025782i
-0.00087059+0.00022975i,-0.00061728+0.0012982i,0.00038841+0.0022243i,0.00098851+0.0011199i,0.0010408+0.00056627i,0.0014685+0.00023458i,0.0012203-0.0002157i,-0.00013509-0.00050682i,-0.00065542-0.00083346i,-0.00013192-0.00086853i,0.00046715-0.00055671i,0.00037709-0.00034354i,-0.00051296-0.00093383i,-0.00087724-0.0018196i,-0.00055612-0.0014081i,-0.00023322-0.00035897i,0.00033618+1.1098e-05i,1.8443e-05+0.00018117i,-0.00011037+0.00018883i,-0.0004605-0.00048007i,-0.00071215-0.0010106i,-0.00039116-0.00071813i,-0.00010078+0.00010618i
0.0003252+7.7432e-05i,0.0016048+0.00028311i,0.0024632+4.4835e-05i,0.0021883-0.00019881i,0.0013654-0.00044875i,0.00053196-0.00055758i,3.9918e-05-1.528e-05i,0.00026184+0.00025191i,-1.847e-05-0.00047615i,-0.0006443-0.00086215i,-0.00061122-0.00088998i,-0.00024094-0.00079596i,0.0001956-0.00091611i,-0.00013542-0.00031415i,-0.00046625+0.0007673i,-0.0004003+0.00084051i,-0.0003068+0.00093228i,-0.00035367+0.0013805i,-0.00091543+0.0011046i,-0.00084782+3.032e-05i,-0.00048547-0.00022164i,-0.00031103-0.00015721i,-0.00010513-1.0872e-05i
-0.00035018-0.00026856i,9.4877e-05-0.00053075i,0.00056591+0.00032717i,0.00031803+0.00012209i,0.00035256+0.00069336i,0.0016491+0.0014255i,0.0022329+0.001606i,0.00048564+0.0013977i,-0.0011607+0.00091922i,-0.002036+8.6756e-05i,-0.0016268-0.00050066i,-0.0011242-8.2857e-05i,-0.0011593-6.8085e-05i,-0.0011569+0.00012753i,-0.0008846-2.6109e-05i,-0.00037766-0.00042482i,5.5178e-05-0.0006341i,-0.00023466-0.00012192i,-0.0011997+0.00022653i,-0.00075407-0.00014323i,-0.00064557-3.5933e-05i,-0.00057125+0.00018594i,-0.00015779+0.00018213i
-0.0012593+0.00096703i,-0.00068783+0.00087312i,-0.00032172+0.0014304i,-0.00037669+0.0006835i,0.00052026+0.00031245i,0.0024315+0.00039664i,0.0029639+0.00013148i,0.0016603-7.5597e-05i,0.00038075+9.5129e-06i,0.00031141+0.00011707i,-7.21e-05-0.00012996i,-0.00099976-0.00067666i,-0.00040853-0.00067797i,0.00048324-0.00030983i,-0.00049751-0.00035461i,-0.00061131-0.00041197i,0.00035679-3.398e-05i,0.00014792+0.0011418i,-0.00018148+0.0010774i,-0.00038631-0.00015063i,5.9679e-05-0.00030586i,0.00049874-0.00034498i,-0.00053795-0.00049271i
-0.00055427-0.00014385i,0.00011537+0.00020966i,3.9148e-05+0.00098566i,-0.00040405+0.0011717i,0.00046932+0.0010058i,0.0015635+0.0010498i,0.0010326+0.0005374i,0.00012368-0.0002758i,-2.0501e-05-0.00018609i,-0.00082288-0.00014654i,-0.00099006-0.00070493i,-0.00030878-0.00045757i,-0.00017143-0.00030505i,0.00012746-0.0004933i,1.599e-05-0.00055347i,-0.00063523-0.00048607i,-0.00071345-0.00049962i,-0.00022547-0.00041584i,-0.00015317-0.00055468i,-0.00030085-0.00034145i,-0.0010223+2.3285e-05i,-0.0015574-0.00035646i,-0.0011822-0.00019026i
0.00015913+0.00032981i,0.00061443+0.0011516i,0.0016286+0.0014757i,0.0014205+0.00060737i,0.00073885+0.00040101i,0.00048639+0.00074681i,-0.00036843+0.00052837i,-0.00083923+0.00065048i,6.144e-05+0.00060407i,0.00026298+0.00085241i,-0.00039503+5.5204e-05i,-0.00027421-0.00031237i,-0.00055021-0.00020408i,-0.00084591-0.00046448i,-0.00062952-0.00028721i,-0.00071887+0.00015727i,-0.00085879+0.00034481i,-0.00061013+0.00019168i,-0.00021245+0.00025784i,0.00019804+0.00011799i,0.00021334+3.4502e-05i,0.00014271+0.00034888i,0.00026418+0.00040543i
0.00052526+0.0006179i,0.00034793+1.9444e-05i,1.0922e-05-0.00017383i,-0.00032774+0.0012169i,-0.00015073+0.001046i,0.00026395+0.00013077i,0.00056614-5.2285e-05i,0.00019341+4.9408e-05i,7.8e-05+0.00039919i,0.00085404+0.00061222i,0.00061226-6.2557e-05i,-0.00046296-0.00076134i,-0.00046889-0.00064267i,-0.00045084-0.00091981i,-0.00044765-0.00059633i,-0.00060397-0.0002734i,-0.00050228-0.00033447i,-0.00025771-0.00036429i,-0.00039344-0.00021733i,-0.00048242+0.00020086i,-0.00054921+0.00039243i,-0.0001692+0.00012194i,0.00036415-0.00052952i
-0.0016893-0.00068183i,-0.0019439-0.00026882i,-0.0017681-0.0002066i,-0.00092595+0.00041485i,0.00018713+0.0016604i,0.00053159+0.0022619i,0.00039804+0.0013118i,-0.0001248+0.00018336i,-0.00078551-0.00082586i,-0.0015201-0.00046993i,-0.0020052+0.0002057i,-0.0010248+0.0004331i,-3.6149e-05+7.2817e-05i,0.00030882-0.00048654i,0.00025445-0.00036313i,-9.7602e-05-0.00048604i,0.00022805-0.0010782i,0.00074599-0.0012225i,0.00043624+9.8798e-05i,0.0006005+0.0004338i,0.00066437-1.5534e-05i,0.00047297-0.00043969i,0.00038669-0.00014057i
0.00017597-0.00042133i,0.0013374-0.00018076i,0.0012411-1.2907e-05i,0.0003987-0.0003421i,0.00040702-0.0005967i,0.00058976-0.00015448i,0.0011646-0.00016557i,0.0012679-0.0009173i,0.0012926-0.00083843i,0.00082176-0.00050392i,-0.00091757-0.0005502i,-0.0016467-0.00068752i,-0.0012273-0.0010598i,-0.00062378-0.0003722i,-0.00028861+0.00063751i,-0.00024876+0.00040488i,7.3965e-05-0.00069769i,4.8888e-05-0.00077517i,-0.00044782-0.00030007i,0.00026417-0.00068297i,0.00019022-0.0014419i,-0.00043172-0.0015369i,-0.00083296-0.00083598i
-0.00023349+0.0015699i,0.00040223+0.0017845i,0.0013261+0.001606i,0.0018065+0.00069367i,0.0021075-8.4898e-05i,0.0021189-0.00070516i,0.0014422-0.00071608i,0.00028157+5.9394e-07i,-0.00031763+7.9736e-05i,-0.00035063-0.00037657i,-0.00090633-0.0012488i,-0.00042785-0.0022149i,0.00057408-0.0017866i,0.00030459-0.00083017i,-0.0002084-1.4695e-05i,-0.00066129-5.4916e-06i,-0.00043841-6.5471e-05i,-0.0004369+0.00033041i,-0.00061057+0.00032915i,0.00021998+0.00012052i,0.00083214+0.00010291i,0.00038755-0.00071663i,-0.00023265-0.00081185i
