-0.0014584+0.00052902i,-0.00073798+0.00045246i,-0.00044193-7.0248e-05i,-0.00090759-0.00062507i,-0.0012776+0.0014984i,-0.00074261+0.0037421i,0.00041688+0.0039283i,0.0013442+0.003524i,0.0010283+0.0023451i,0.0003443+0.0011777i,0.00039145+9.0543e-05i,-5.1009e-05-0.0007197i,-0.00042286-0.0013903i,-0.00053473-0.0016434i,-0.00054163-0.001089i,-0.00039665-0.00052526i,-0.00010111-0.00046354i,0.00030873-3.2924e-05i,0.0005951+0.00037471i,0.00043964+0.0005887i,0.00034474+0.00069612i,0.00043+0.00069736i,0.00028338+0.00064458i
-0.00075291+0.0031303i,0.00029293+0.00075224i,0.0013596-0.0012342i,0.0019556-0.0018016i,0.0022816-0.0013187i,0.0017613-0.00068029i,0.00070347+0.00026519i,-0.00067119+0.00061339i,-0.0010242+0.0004245i,-0.00077221+0.00036662i,-0.00034237+0.00053818i,-7.3572e-05+0.00012842i,-2.2357e-05-0.00032775i,-0.00047861+1.6799e-05i,3.4644e-05-7.4072e-05i,0.0004597-0.00038625i,-0.00010704+0.00018994i,3.7626e-05+0.00018199i,0.00052078-0.0005319i,0.00040458-0.00045913i,0.00033085-0.00019402i,0.00052322+0.00029094i,0.00033154+4.4145e-05i
0.0027942-0.00073632i,0.0018933-0.00079173i,0.00046532-0.0012635i,-0.0013005-0.001802i,-0.0011618-0.00088205i,-0.00021882+0.00050784i,-0.00025255+0.0010223i,0.00019904+0.00029328i,0.00076617-0.00050007i,0.00021461-0.00070392i,-0.0004626-0.00012369i,-0.00030705+0.00076268i,5.4424e-05+0.0012724i,0.00038855+0.00047212i,0.00031667-0.00051594i,1.1167e-05-0.00070655i,-1.1867e-05-0.00030398i,8.8509e-05+6.8904e-05i,-0.00027473-1.0933e-05i,-0.00060401-6.8662e-05i,-0.00023192+0.00016271i,0.00048743+0.00027937i,8.81e-05+0.00010927i
-0.00022131-3.815e-05i,0.00045373-0.00081818i,-0.00017801-0.0017027i,-0.0012403-0.0010078i,-0.0011412+0.00060234i,-0.0013209+0.00073383i,-0.00090044-0.00047054i,-0.00047962-0.0010499i,-2.6189e-05-0.00057029i,-0.00037972-8.6274e-05i,-0.00042435-0.00038269i,-0.00042686-0.00063962i,-0.00033433-0.00022139i,0.00054239+0.00033434i,0.00087389+0.00056596i,0.0010288+0.00072366i,0.00064395+0.00022892i,0.00024684-0.00033423i,-0.00036743+0.00026249i,-0.00041018+0.00065481i,-0.00088767+0.0011317i,-0.0008839+0.0004924i,0.00027135+1.3532e-05i
0.0025882-0.0023702i,0.001092-0.002197i,0.00012859-0.0019493i,-0.00025485-0.001292i,5.4648e-05+0.00085938i,0.00093409+0.0022547i,0.00093952+0.0020161i,0.00021657+0.0010134i,-0.00078923+4.1459e-05i,-0.00058019-0.00025144i,-0.00013366-0.00093539i,0.00079131-0.0013849i,0.0015288-0.00070153i,0.0013429-0.00020431i,0.00094402-2.5021e-06i,-2.6587e-05+0.0006243i,-0.00039707+0.0012379i,-0.00011234+0.00059772i,0.00070432-0.00039237i,0.00094429-0.00012446i,0.00025943+0.00018938i,0.00010016-4.9566e-05i,-0.00025469-0.00019424i
-0.0010101+0.0017987i,-0.00048822+0.001126i,-0.00040477+0.00085571i,-0.00043204+0.00039144i,-0.00012303+0.00047058i,0.00077147+0.0011412i,0.00055783+0.0014409i,-0.00025026+0.0017554i,3.8124e-05+0.0012596i,0.00011271+0.00088336i,-0.0004829+0.00090246i,-0.00038703+2.7384e-05i,-6.7216e-05-0.00072081i,-0.00039474-0.0009934i,-0.00085259-0.00061891i,-0.00082577-4.3736e-05i,-0.00029816-9.1527e-05i,-0.00022979+0.00011347i,-0.00016171+0.00062904i,0.00044516+6.3463e-05i,0.00020898-0.00025124i,-0.00024345+0.0004352i,-0.00021934+0.00065355i
0.00093631+0.00025734i,0.00088608+0.00013503i,0.00067854-0.00086915i,-6.8589e-05-0.0012785i,0.00042881-0.00013165i,0.0014853+0.00067653i,0.00083988+0.00066975i,-0.00037481+0.00052158i,-0.00034934-0.00013355i,7.4869e-05-0.00022822i,-0.00028806+1.1909e-05i,-0.000639+0.00028235i,-0.00065762+0.00042979i,-0.00077363+0.00071914i,-0.00095499+8.2278e-05i,-0.00053484-0.00055102i,-0.00034972-0.00036802i,-0.0007692-0.00083021i,-0.00057737-0.0014628i,0.00021082-0.00062859i,0.00075908+0.00037141i,0.00040837+0.00013401i,-0.00047629-0.00011634i
-0.0005964+0.0022391i,-0.0011249+0.0011299i,-0.00059552+0.00030495i,-0.00091497+0.00036283i,-0.0012477+0.00097411i,4.2588e-05+0.00076672i,0.0012743+0.00033671i,0.00058285+0.0011725i,-0.00039167+0.0009208i,0.00014322+4.2633e-05i,0.00098232+0.00063801i,0.0005182+0.00099598i,-0.00019641+0.00014637i,-0.00045855-0.00027151i,-0.00038586-0.0005745i,4.3162e-05-0.00057355i,0.00055289-4.5185e-05i,0.00067647-0.0002218i,0.00056232-0.0013338i,1.971e-05-0.00083973i,-0.0010365+0.00027138i,-0.00080647-0.00013845i,-0.00015415+9.2876e-05i
0.00085228+0.0010254i,0.0014794+0.0007007i,0.0019739+0.00074319i,0.0018812+0.00091029i,0.0022297+0.0012705i,0.0017428+0.00077636i,0.00041449-6.7567e-05i,-4.8273e-05+0.00064188i,-0.00031429+0.0013885i,-0.00026365+0.0014597i,0.00024737+0.0007227i,0.0002228-0.0005101i,0.00016889-0.00071891i,-0.00080869-0.00026982i,-0.0015033+9.0651e-05i,-0.00062507+0.00082446i,0.00030693+0.00048871i,0.00087661-0.00021397i,0.00059815+0.00018146i,-0.00012604-6.7653e-05i,-0.00013357-0.0002569i,0.00027588+3.4459e-05i,8.3226e-06+0.00022943i
-0.0024381-0.0014421i,-0.0027586-0.0010074i,-0.0026733-0.0019505i,-0.0022263-0.0019099i,-0.00079618-0.00032114i,0.0010703+0.00050416i,0.0010248-0.00011745i,0.00023248-0.000257i,-0.00023871-1.2634e-05i,-0.0009979+0.00048155i,-0.00085152+0.00061576i,-0.0002637-2.0209e-05i,-0.00038699-0.00065805i,-0.00014659-0.00086023i,0.00012189-0.00051288i,-0.00027679-0.00013521i,-0.00045292+6.1515e-05i,-0.00023395-5.2506e-05i,-7.532e-05+0.00059983i,-0.00052078+0.00069361i,-0.00082515-6.054e-05i,-0.00021505-0.00013803i,2.5929e-06+0.00015504i
0.00061297+0.00075373i,0.001821+0.00023911i,0.0015539+0.00028406i,0.00061508+5.3217e-05i,0.0010958+0.00024523i,0.0015155+0.00038708i,0.00064621+0.0012449i,-0.00022854+0.0014751i,-0.00048878+0.00042443i,1.5752e-05+0.00043393i,-0.00040679+0.00071357i,-0.0014375+5.8151e-05i,-0.0012976-0.00069121i,-0.00074614-0.00076027i,-0.00019872-0.00054063i,0.00041251-0.00011375i,0.0001018-4.8947e-05i,-9.584e-05-0.00043725i,0.00032493-0.0004968i,0.00019034-0.00025145i,-4.6139e-05-0.00038535i,0.00037448-0.00012239i,0.0002222+0.00062457i
