-0.0013027-2.4773e-06i,-0.00096-9.0109e-06i,-0.00077661+0.00098353i,-0.00067883+0.00045049i,-0.00094356-0.00028351i,-0.0003558-0.0001412i,-0.00026812+0.00046028i,-0.00012209+0.00055513i,0.00059898+0.00068083i,0.0010135+0.00044779i,0.0017876+4.9786e-05i,0.0014928-0.00039723i,-9.7391e-05-0.00055593i,-0.00051719-0.00078758i,-0.0001857-0.00053413i,0.00024286+0.00011845i,0.00012811+0.00048911i,-0.00051622+0.0006037i,5.2617e-05+0.00050425i,0.00087319+0.00022866i,0.0003462-0.00038396i,-0.0007142+3.9839e-05i,-0.0011014+0.00062095i
-0.0014424+5.1709e-05i,-0.00073876-0.00077029i,-0.00029402-0.00097501i,-0.00023819-0.00088768i,0.00051554-0.0018524i,0.00023418-0.0022374i,-0.00026072-0.00073804i,8.8466e-06+0.00044232i,0.00017258-0.00031207i,-0.0001689-0.00081005i,-9.4006e-05-1.7956e-05i,0.00048395+0.00065326i,0.0008545+0.00023868i,0.00074748-0.00035016i,0.00067773+0.0001178i,0.00027526+0.00067338i,-0.00032886+0.0002811i,-0.00033508+0.0003599i,0.000421+5.7192e-05i,0.00016835+2.9705e-05i,-0.00074322-0.00019926i,-0.00060171-0.00084789i,0.00010366-0.0003086i
-0.0010745+0.0016158i,-3.557e-05+0.0012746i,0.00055112+0.0012461i,0.00031759+0.00046048i,5.0092e-05-0.00014267i,-3.5013e-05-0.0010748i,-0.00029891-0.0020183i,6.5225e-05-0.0011466i,0.00086564+0.00015498i,0.0010694-0.0002219i,0.001227-0.0011892i,0.0011453-0.0011959i,0.00072474-0.00085672i,0.00015547-0.00033031i,-0.0001651+0.0002001i,0.00040383+0.00026201i,0.0012434+0.00041927i,0.0016607+0.0005358i,0.0014902+0.00015962i,0.00087754+0.00041442i,-0.00056104+0.00051092i,-0.0012006+4.3651e-05i,-0.00026114-0.00040255i
5.4146e-05-0.00015867i,-0.00081857-0.00052673i,-0.001543-0.00084991i,-0.00086598-0.0011297i,-0.00018474-0.00053818i,0.00023809+0.00032051i,0.00046606+0.00027548i,-0.00020338+0.00012076i,-0.00099996+3.1636e-05i,-0.00035739+0.00030347i,0.00013626+0.000593i,2.5568e-05-0.00010298i,7.4578e-06-0.00016093i,0.00017053+0.00053784i,0.00014936+0.00039957i,-0.00015331-0.00023237i,4.3648e-05-0.00046812i,0.00026589+0.00017217i,0.00069833+0.00071541i,0.00064672+0.0011402i,0.000461+0.00049646i,0.00021624+6.8023e-05i,-6.9118e-05+0.00025836i
5.5417e-05-0.00088956i,-0.00095292-0.0015846i,-0.0016586-0.0030815i,-0.0016908-0.0028622i,-0.0016376-0.0022914i,-0.00058867-0.0017334i,-8.4722e-05-0.00045538i,0.00016817+0.00057123i,8.5328e-05+0.00075675i,-0.00022163-3.0428e-05i,-0.00061557-0.00040533i,-0.00060381-0.00012919i,0.00027599+0.00043367i,0.00095082+0.0005377i,0.00089694-0.00017004i,0.00048343-0.00036512i,4.8606e-05-0.00013317i,-0.00025787-0.0005759i,-0.00029806-0.00027422i,8.2753e-05+0.00022177i,0.00052709-0.00047368i,0.00031783+9.1518e-06i,-0.00018345+0.00058912i
0.00072998-0.0011641i,9.8677e-05-0.0021022i,-0.00067116-0.0027492i,-0.0004762-0.0023139i,-0.00083581-0.0014035i,-0.0015112-0.00069195i,-0.00085317-0.00031669i,-0.00011199-5.4185e-05i,-0.00027809-0.00043902i,-0.00037947-0.00063432i,-6.9509e-05-0.00015466i,0.00029159-0.00025603i,-7.7421e-05-8.764e-05i,-0.00043844-1.8225e-05i,-0.00025715-0.00031252i,-0.00042453+0.00024075i,-0.00038719+0.00060332i,-4.6882e-05+0.00072731i,0.00013149+0.00013303i,-0.00024658-1.1825e-05i,-0.0006184+0.00012016i,-0.00074074-0.00010618i,-0.00055901-0.0001776i
-0.0017633+0.00082828i,-0.002065+1.8345e-06i,-0.0020599-0.00038665i,-0.0008921+8.9415e-05i,0.00018694-0.00012304i,-0.00037858-5.5539e-05i,-0.00082349-0.00019398i,-0.00063194-0.00016853i,-0.00078537-0.00036885i,-0.00048137-0.00099247i,0.00012272-0.00055295i,2.6057e-05-0.00029289i,7.2381e-05-0.00050831i,7.8916e-05-0.00028065i,0.00015739-0.00037007i,0.0010241-7.6068e-05i,0.0011913+0.00065962i,0.00041183+0.00047944i,-0.00010478-8.2933e-05i,-0.00019037+0.00016274i,-0.00015975+0.00084486i,-5.1862e-05+0.00071826i,0.00018677+0.00027568i
-0.00088822-5.8429e-06i,-0.00096317+0.000589i,-0.00062991+0.0017585i,-0.00041955+0.0015515i,0.00063776+0.0008007i,0.0014556-0.00027561i,0.00080059-0.00066011i,0.00041268-0.00077439i,0.00057638-0.00031171i,0.00043141-0.00010415i,0.00010739-0.0006846i,0.00070479-0.00056983i,0.001079-0.0004282i,0.0003333-0.00011138i,-0.00033187-0.00020793i,9.7187e-06-0.00059715i,0.00049902-0.00031711i,0.00075472-0.0004536i,0.00070768-0.00040964i,0.00039003+0.00026351i,0.00029081+3.9583e-05i,0.0011804-0.00045451i,0.0014469-0.00080086i
-0.0015987+0.00093777i,-0.0018771+0.0010496i,-0.0018198+0.0013138i,8.734e-06+0.0011448i,0.0019755+0.00047742i,0.0015716-0.0013633i,0.00044789-0.0012471i,-0.0003674+2.2446e-05i,-0.00076107+0.0011113i,-0.00030376+0.0010878i,0.00044709+0.00065294i,0.0004258+8.8914e-05i,-0.00032193-0.00039251i,-0.0003655-0.00048i,-0.00034402-0.00099007i,-0.00047179-0.0010476i,-7.1904e-05-0.00017188i,0.00086163+0.00039777i,0.00099703+0.0003186i,0.00060164+0.00032304i,-0.00029627+0.00030933i,-0.00058652+0.0004376i,-2.6556e-05+0.00034348i
-0.00079286+0.0020588i,-0.0015502+0.0016354i,-0.00057007+0.00074175i,0.00076381+0.00024245i,0.0011374-0.00066468i,0.00090757-0.001575i,3.2213e-05-0.0017112i,-0.00076429-0.00098647i,-0.00048295-0.00072118i,0.00051373-0.0007233i,0.0012463-0.00076724i,0.0010999-0.00033252i,0.00031025-0.0003384i,0.00049357-0.0011501i,0.00073198-0.00084095i,0.0006579-0.00054192i,1.0511e-05-0.00078775i,2.1534e-05-0.00077147i,0.00087908-0.00066406i,0.00094052-8.8864e-05i,0.0005207-0.00019575i,7.3062e-06-0.00040842i,-2.2052e-05-0.00016539i
-4.958e-05-0.00047914i,-0.0011138-4.255e-05i,-0.0020602+0.00045149i,-0.0020276+0.0004119i,-0.0016528+0.0002684i,-0.00039067+6.5982e-05i,0.00059928+0.00023874i,0.00015711+0.00045481i,-9.7955e-06+0.00053968i,2.8529e-05+0.00039259i,0.00015876+0.00015468i,0.00026962-0.00038965i,0.0006325-0.00054849i,0.00090623+6.1e-05i,0.00093777+0.00039194i,0.0013322+1.2559e-05i,0.00092883+0.00028063i,0.00033885+0.00077453i,0.00065502+0.00029074i,0.00062128+9.84e-06i,0.000469+0.00012519i,0.00018728+0.00024753i,-4.1131e-05+0.00069367i
-0.00010117-0.00016073i,-0.00015907+0.00031844i,-0.00019422-0.00049964i,-0.00083991-0.00099261i,-0.00081179-0.0019818i,4.7998e-05-0.0024797i,0.0003702-0.00045342i,0.00013237+0.00062615i,0.0003256+8.0156e-05i,0.00019973+0.00017399i,0.00022001-8.8616e-05i,0.0015021+1.357e-05i,0.0010418+4.8951e-05i,-0.00016722-0.00029324i,-0.00019737-0.00039512i,-4.8316e-05+7.7205e-05i,0.00011155+0.00076151i,0.00068818+0.00041631i,0.0002232-0.00057256i,-3.6466e-05-0.00035038i,0.00040653+8.4035e-05i,-0.00033842-0.00020985i,-0.001144+0.00021299i
-0.00035081-0.0023806i,-0.0013345-0.0022404i,-0.0036077-0.0012963i,-0.0036179-0.00010798i,-0.0021398+0.00044561i,3.7147e-05+0.00013165i,0.001172-0.0010878i,0.00048898-0.001654i,0.00021602-0.0003241i,-0.00036878+0.00034416i,-0.00077713+5.4437e-05i,0.00015635-0.00010645i,0.00077994-0.00052277i,0.00022671-0.00040874i,-0.00034663-0.00048675i,0.00011352-0.00098297i,0.000822-0.0010182i,0.00070528-0.0004801i,-0.00015302+0.00033397i,-0.00048455+0.00019175i,-0.00025688-0.0005543i,-0.00059644-0.0001018i,-0.00044049-0.0001237i
-0.0007446+0.00061422i,-0.00077262+0.0015707i,-8.3908e-05+0.0021036i,2.6718e-05+0.0012832i,-0.00016917+8.7589e-05i,0.00019625-0.00065415i,3.2095e-05-0.00078377i,-0.00034903-0.00032587i,0.00039866-0.00022649i,0.00099306-0.00019664i,0.0010949+0.00013096i,0.00066875-9.706e-05i,0.0001815-1.7558e-06i,0.00026712+0.00069962i,0.00039019+0.0010812i,0.00051283+0.00018107i,8.7197e-05-0.00021007i,-0.00022564+0.00022167i,0.00023969+0.00058604i,0.00019022+0.00085775i,0.00030135+0.00088772i,0.00048237+0.00087391i,-8.4131e-05+0.00056988i
-0.00019193-0.00032956i,-0.00028612-0.0011739i,3.9816e-05-0.00058319i,0.00049672+0.00033244i,0.00031285-0.00011851i,0.00010534-0.00058413i,-0.00078913-9.8504e-06i,-0.0014031+8.2701e-07i,-0.00081735-0.00025917i,-0.00050485-1.8686e-05i,-0.00051018+0.0002943i,8.6916e-05+0.00028228i,0.00034943+7.2056e-05i,3.643e-05-0.00054181i,-0.00017289-0.00038537i,0.00013546-0.00019954i,0.00013625-0.0003997i,-0.00026102-0.00076414i,0.00042651-0.00077232i,0.00034084-0.00078504i,3.0293e-05-0.000902i,-5.0504e-05-0.00040947i,0.00022516-0.0002325i
