0.0010912+0.00084368i,0.0023991+0.0004976i,0.0012732-0.00012257i,0.00027254+0.00078689i,-0.00047842+0.001881i,-0.0012407+0.0014957i,-0.00099005+0.0017351i,-0.0001936+0.0023546i,0.00035097+0.0028839i,0.00057386+0.0021891i,0.0011554+0.00050736i,0.0014775-0.0006101i,0.0004021-0.00066559i,5.1409e-05-0.0004658i,0.00075501+3.7073e-05i,0.00054034+0.00024292i,2.5957e-05-0.00013618i,-0.0002228-0.00030636i,0.00033525-0.00027902i,0.00024151-0.00070898i,-0.00020894-0.0010337i,0.00036864-0.00098481i,0.00085873-0.0012311i
-3.5073e-05-0.00038704i,-0.00039037+0.00079187i,-0.00063084+0.0012647i,9.6352e-05+0.001877i,0.00016698+0.0021315i,-3.7662e-05+0.0016317i,0.00011049+0.00084323i,-0.0002407+0.00057039i,-0.0012592+0.00061101i,-0.0011249+0.00046879i,-0.00058869+0.00077811i,-0.0005984+0.00060673i,-2.531e-05-0.00079268i,0.00087939-0.0013119i,0.00051929-0.00090204i,-0.00047834-0.0014334i,-0.00087471-0.0016005i,-0.00055317-0.00048274i,9.4937e-05+0.00048361i,0.00029143+0.00062751i,0.00035401+0.00033185i,0.00029966+0.00032207i,0.00085445+0.00024235i
-0.00016888+0.0012931i,0.00049667+0.00049448i,0.00077649+5.5624e-05i,-0.00011786+0.00023812i,-0.00032747+0.00095856i,-0.00041137+0.00065598i,-0.00065914-0.00012396i,-0.00067048+0.00011065i,-0.00074949+0.00071306i,-0.00085359+0.00043598i,-0.00081772+1.8508e-05i,-0.00050834-0.00019891i,0.00010666+0.00029761i,0.0003433+0.0012356i,0.00011686+0.00053931i,0.00037036-0.00022636i,-0.00012535+0.00018332i,0.00030201+1.161e-05i,0.0008132-0.00014775i,9.8052e-05-0.00020038i,-4.8783e-05-0.00039286i,0.00045605-0.00028688i,-0.00012478+0.00011873i
-0.0012967-0.00089293i,-0.0020319-0.0010737i,-0.00151-1.4267e-05i,-0.0014672+0.00054993i,-0.0022674+0.0018841i,-0.0020597+0.0020485i,-0.00045178+0.00046961i,-0.00011069-0.00020435i,-0.0005484+3.0588e-05i,-0.00052846+0.00039883i,8.195e-05+0.00057434i,0.00021674+0.00061488i,0.00034783+0.00038341i,0.00077923+0.00045155i,0.0004143+0.0007819i,0.00025138+0.00041355i,0.00022403-0.00028359i,0.00045132-0.00049218i,0.00071801-0.00073705i,0.0004407-0.00033366i,0.00033505+0.00019343i,0.00044637-0.00038831i,0.00089443-0.00038446i
-0.00096009-1.6619e-05i,-0.00059945+0.00037123i,-0.00057421+0.00093097i,-0.00075658+0.0022326i,0.00010553+0.003585i,0.00041089+0.0030204i,-0.0010654+0.00083192i,-0.0024101-0.00091886i,-0.0021442-0.0010317i,-0.00097594+0.0004618i,-0.00036289+0.00054537i,0.00034196-0.00020373i,5.8905e-05+0.00021296i,-0.00085415+0.00063917i,-0.00082866+1.3364e-05i,-0.00022106-0.00034085i,-0.00060433-0.00039248i,-0.0010143-0.00045649i,-0.00010109-0.00049988i,0.00019644-0.00067116i,0.00010998-0.00099691i,3.7872e-05-0.00042644i,0.00025805-0.00017323i
4.7479e-05+0.0014393i,0.00078353+0.0012533i,0.0008854+0.00036941i,-0.00014774+0.00093759i,-0.0007228+0.002805i,0.00035954+0.0028732i,0.00083361+0.00098761i,2.6383e-05+0.00016813i,-0.0015208+0.00022747i,-0.0021475+0.00063189i,-0.0016311+0.00081343i,-0.00083196+0.00055156i,0.00021907-6.638e-05i,0.00083959-0.00069285i,0.00095937-0.00030047i,0.00043907-0.00041764i,-0.00013764-0.00086828i,-0.00054308-0.00020971i,-0.00090398+0.00032287i,-0.00061938-0.00027318i,-0.00042693-0.00081377i,-0.00026733-0.00039025i,0.00033469+0.00048819i
0.00011013-0.00099513i,-6.8889e-05-0.0011966i,-0.00047668-0.001168i,-0.00092111+3.14e-05i,-0.0019061+0.0023909i,-0.00145+0.0026319i,-0.00042429+0.00081027i,-0.00047351+0.00042936i,-0.00059687+0.00079681i,-0.00062027+0.00052825i,-0.00060152-9.1505e-06i,-0.00050008+0.00015807i,0.0001768+0.00043042i,0.00050208+0.00021126i,0.00012193-0.0001584i,-0.00058179-0.0005651i,-0.00092428-0.0013265i,-0.00063821-0.0016475i,3.647e-05-0.00091943i,0.00071754-4.56e-05i,0.00036741+0.00010318i,-0.00046505-2.761e-06i,-0.0010297-0.00024126i
0.0016814-0.0012135i,0.0010199-0.00084781i,0.00029489-0.00048206i,-0.00010272-0.00015541i,-0.00068899+0.0018603i,0.00035956+0.0028703i,0.0010164+0.00097246i,-0.00024103-0.00067247i,-0.0014962+0.00014137i,-0.0014191+0.00095966i,-0.00082267+0.00035344i,-8.0282e-05+0.00015285i,-4.2328e-06+0.00036963i,-7.5735e-05+0.00010121i,0.00051899+0.00012729i,0.00069378-0.00015572i,3.1275e-05-0.00049885i,-0.00038825-0.00040542i,-0.00041161-9.7732e-05i,-0.00048934+0.00022054i,8.2152e-05+0.00036797i,0.0006884+0.00070677i,0.00041936+0.00077605i
0.00091307-0.00047837i,-0.00016321-0.00060026i,-0.0005505-0.00027031i,-0.00072709-5.4498e-05i,-0.00092089+0.0014888i,-0.00060177+0.0032655i,-0.00060003+0.0022406i,-0.0010658+0.00034898i,-0.0012531-0.00014319i,-0.0015271+0.00095063i,-0.0011025+0.0011267i,-0.00055562+0.0011318i,-0.00052258+0.00090043i,0.00014784+0.00047661i,0.00035423+0.00080388i,-0.00067169+0.00045096i,-0.00091513+6.4149e-05i,0.00036148+5.667e-05i,0.00022143-0.0001939i,-0.00063611-0.00052384i,-0.00071636-0.0010566i,0.00026796-0.00043058i,0.00029902+0.00018548i
0.00038892+0.00049324i,-0.00013149+0.00044099i,0.00088933+0.0016021i,0.00041197+0.0026264i,-0.00012643+0.0029734i,0.00039313+0.0027776i,0.00056527+0.0012735i,-0.00040376-2.5525e-06i,-0.00113-5.6297e-06i,-0.00068768+0.0012963i,-0.00038716+0.0012354i,-0.00038289+9.5669e-05i,0.00017221+0.00037073i,0.00039641+0.00040835i,-4.5659e-05+7.9893e-05i,-9.433e-05+0.00011034i,-0.00026264-0.00028526i,-0.00043689-0.00062272i,-7.7507e-05-0.0010022i,0.00053297-0.0011701i,0.00091663-0.0007727i,0.00051438+9.3403e-05i,0.00045811+0.00045378i
3.8487e-05+0.00064384i,0.0013891-0.00034299i,0.0021217-6.1811e-05i,0.00039695+0.00074247i,-0.00023984+0.0013296i,0.000367+0.0014372i,0.00010427+0.00068913i,-0.0007002-0.00012527i,-0.0013426-0.00030639i,-0.0015514-0.00016137i,-0.0010926-0.00038399i,-0.00063405-0.001069i,-0.00061016-0.0010371i,1.8649e-05-0.00023138i,-8.2428e-05-0.00029939i,-0.00032759-0.0014053i,-0.00011513-0.001521i,6.2687e-05-0.00056902i,0.00025225-2.4334e-05i,-0.0002633+0.00031723i,-0.0010155+0.0010608i,-0.00093209+0.00054009i,-0.00041166-0.00029938i
