0.0034825+9.486e-05i,0.0023943-0.00080115i,0.0013564-0.0030164i,-0.0021127-0.0028664i,-0.0046234-0.0021624i,-0.0042022-0.0004145i,-0.0023957+0.0015901i,-0.00057948+0.0014162i,0.00067768+0.00038407i,0.00077665-0.00070342i,0.00044269-0.00086972i,0.00080683-0.00040681i,0.0003325+0.00045827i,-0.00072686+0.000786i,-0.0016044+0.00028249i,-0.00089289-4.2033e-05i,-0.00010327-5.0105e-05i,0.00023165+0.00050789i,-1.4654e-05+0.00069334i,-0.00074254+0.00039005i,-0.00030684-0.0001476i,-1.3829e-05-0.00013442i,-0.00068967-3.4173e-06i
-0.00053268+0.00031313i,-0.00042439+0.00065595i,0.00028526+0.0018203i,0.0019161+0.001404i,0.0028439+0.00067281i,0.0023508+0.00033925i,0.0011832+0.00015811i,0.00045069-0.00049592i,-0.00026794+9.8576e-05i,-0.0007965+0.00062505i,-0.00066841-0.0001995i,2.7152e-05-0.0005475i,0.00037958-0.00013654i,-0.00050131-0.00040792i,-0.00051348-0.0014313i,0.00033301-0.0013463i,0.00032499-0.00054722i,-0.00022133-0.00052734i,-0.00070835-0.00048816i,-0.00057436-0.00064383i,-0.00026418-0.0014372i,-0.00078763-0.0011413i,-0.00084381-0.00067518i
0.00014741+0.0024634i,0.00069978+0.0020733i,0.0019365+0.0011406i,0.002744-2.8213e-05i,0.0022017-0.001162i,0.0013376-0.001631i,0.0011639-0.0009481i,0.0008086-0.00042321i,0.00045153+0.00033156i,0.00063492+0.00019623i,0.00042902-0.00041827i,0.0001006-0.00021886i,0.0001704+0.00025304i,-0.00015095+8.1038e-05i,-0.00062507-0.0003i,-0.00035459-1.2164e-05i,0.00012111+8.4321e-05i,0.00073703-0.00015995i,0.00069535-0.00026179i,0.00028611-0.00016005i,-5.054e-05-0.00016278i,-0.00017081-0.00028949i,-0.00060498+0.00011984i
0.00028888+0.0016384i,0.00091654+0.00087683i,0.0014055-1.3647e-06i,0.00115-0.00048481i,0.00060354-0.00048755i,-0.00023563-0.00027093i,-0.00017884+0.00010081i,-0.00016433+0.0002858i,0.00038287+0.00026419i,0.00121-9.5653e-05i,0.0014164-0.00034854i,0.0010447-0.00048937i,0.00058449-0.00079236i,-0.00019596-0.00055146i,-0.00070468+0.00028851i,-0.0005593+0.001011i,-0.00060836+0.00093619i,-0.00061916+0.00030314i,-0.00039418-0.00037391i,-6.6878e-05-0.00051179i,0.0002099-0.00025174i,-0.00010963+0.00031043i,9.4653e-05-0.00031662i
-0.0013391-0.0005168i,-0.00022981-0.00044969i,0.00053311-0.00079293i,0.00016129-0.0012535i,-0.00087423-0.0014426i,-0.0011708-0.0010497i,-0.00041332-0.00083993i,-0.00022427-0.00037042i,-5.4115e-06-0.00011548i,9.9437e-05-0.0006947i,9.4666e-05-0.00069991i,0.00040788-4.1562e-05i,0.00072208+3.9143e-05i,0.00069097-8.3142e-05i,0.0006195-0.00040844i,0.00038737-0.00037098i,8.9999e-05-0.00016291i,-9.8744e-05-0.00019346i,-0.0006296-0.00042121i,-0.00054184+0.00010782i,-5.8331e-05+0.00049081i,-0.00014415+5.072e-05i,-2.2996e-05-0.00075561i
-0.002093+9.1827e-05i,-0.0015036-0.00029345i,0.00012252-0.00026084i,0.00050945-0.00018227i,0.00027174+1.9601e-05i,-8.553e-05-0.00071279i,0.00045051-0.00035213i,0.00035001+0.00043699i,-3.5312e-05+0.00026188i,0.00074696-0.00016792i,0.0010741+0.00017392i,0.00029869+0.00086378i,-0.00010811+0.00077361i,0.00081573+0.00050194i,0.00068667+0.00062184i,-0.00022549+0.00020261i,-0.00032839-0.00087062i,-0.00022485-0.00083609i,-9.3659e-05-0.00046194i,0.00013955-0.00085279i,-9.2606e-05-0.0010029i,-0.00012512-0.00020453i,-0.00050729+0.00030812i
-0.0012864-0.00062405i,0.00017696-0.00051268i,0.00015125-0.00074852i,-6.0246e-05+6.202e-05i,-0.00018416+0.00055577i,0.00011142-0.00017253i,0.00038695-0.00035865i,-0.00052994-0.000629i,-0.00054565-0.00063841i,-0.00020266-0.00051261i,1.3597e-05-8.3772e-05i,0.00086445+0.00017606i,0.00049253-9.8857e-05i,-0.00043096-0.00011352i,-0.00092211+0.00012216i,-0.0007034+0.00054018i,-0.00010358+0.00028018i,0.00029238-7.5435e-05i,0.00011069-0.00042903i,-0.00057268-0.0010269i,-0.00094599-0.0010494i,-0.00039278-0.00048949i,0.00010542-0.00031301i
-0.0022333+0.0013918i,-0.0016509+0.0021364i,0.00030576+0.0014299i,0.0023732+0.00098659i,0.002539+0.00098678i,0.0018197-7.7372e-05i,0.0011786-0.0013342i,0.00022276-0.00080903i,-0.00030117+0.00043238i,0.00019229+0.00052851i,0.00077283+0.00025564i,0.00093979+6.5298e-06i,0.00050346-5.3086e-05i,-0.00012123-0.00049504i,-0.00026932-0.0010061i,-0.00042521-0.00068365i,-0.00015147-1.5362e-05i,0.00028237+8.9992e-05i,0.0002763+0.00010351i,0.0001447-1.3346e-05i,-4.6349e-05-0.00067514i,-0.00021941-0.00094995i,-0.00023077-0.00023022i
0.00067041+0.0013228i,0.0010444+0.00056327i,0.0016137-0.00061266i,0.00045954-0.00065155i,-0.00041019+0.00028388i,-0.00053078+3.6585e-05i,0.00019876-0.0006969i,0.00032498-0.00014938i,-9.8101e-05-2.2216e-05i,-0.00027881-0.00047358i,-3.2611e-05+0.00063172i,-0.00030014+0.0011182i,-0.00015732+0.00037463i,0.00018124+5.4439e-05i,-0.0001528-0.00020414i,-0.00073631-2.7401e-05i,-0.00076431-8.8316e-05i,-0.00031818-0.00036435i,-0.0011765+0.00013086i,-0.0014295+0.00083358i,7.3359e-05+0.00093734i,0.0005095+0.00083879i,-1.1911e-05+0.00099488i
-0.002703+0.0024875i,-0.0025146+0.0020724i,-0.00077668+0.0021595i,0.0013164+0.0011626i,0.0021919+0.0002967i,0.0015923-0.00076384i,0.0012025-0.0020428i,0.0012758-0.0013731i,0.00082694-0.00020083i,0.00046937-0.0012966i,0.00026258-0.0018462i,-0.00060938-0.00055689i,-0.00095936-4.8742e-05i,-0.00047009-0.00016416i,-0.00014709-0.00032664i,0.00030374-0.00028404i,0.00019356-0.00041793i,-0.00027897+9.1345e-05i,-2.8761e-05-0.00011713i,-0.00016851-0.0010231i,-0.00088731-0.00082747i,-0.00066199+0.00011i,-0.0003175+0.00042286i
0.0017354-0.00058627i,0.00017847-0.002144i,-0.001216-0.0018387i,-0.0010634-0.0012886i,-0.00062374-0.00050355i,-0.00027757+0.00032489i,9.2704e-05-1.6029e-05i,0.00038552-0.00045757i,-1.7294e-06-0.00041276i,-0.00037738-0.00083359i,0.00023246-0.0012616i,0.00032419-0.0008233i,-0.0001986-0.00052223i,0.00061352-0.00020455i,0.00093077-0.0004022i,-0.00025999-0.00090514i,-0.00058503-0.00091532i,-0.00017062-0.00072027i,-0.00043391-0.00048279i,-0.00041247-9.0806e-05i,-0.00020001+9.0087e-05i,-0.00017281+2.2206e-05i,-0.00021599+0.00041524i
0.0004245-3.2424e-05i,0.00040182+0.00094997i,0.0018924+0.00078228i,0.0013897-0.00059813i,-0.00011974+0.00028985i,-0.00032403+0.0012168i,-0.00029857-3.0382e-05i,-0.00081293-0.00052555i,-0.00045185+0.00023924i,-0.00024644+0.00030081i,-0.00048606-0.00022895i,0.00011433-0.0001898i,0.00074154-0.00027809i,0.00058752-0.0011358i,0.00015877-0.00092406i,0.00020666+0.00029209i,0.00017426+5.1424e-05i,-0.00018469-0.00041207i,-0.00042763-0.00059054i,-0.00034423-0.00073774i,-0.00013359+0.00015031i,0.00024493-0.00022242i,0.00015176-0.0005085i
-0.00039957-0.001664i,-9.6214e-05-0.001482i,-0.0011801-0.00087243i,-0.0014699-0.00011316i,-0.00015555+0.00072851i,0.00086189+0.0009376i,0.00043502+0.00015085i,0.00042262-2.1963e-05i,0.00045534-4.0683e-05i,0.00064634-0.00068252i,0.0014552-0.00080712i,0.0016749-0.00067203i,0.0004728-0.0005959i,-0.000277-2.3935e-06i,0.00036647+0.00072527i,0.000279+0.00080126i,0.00014975+0.00030949i,0.00045044-0.00020337i,-9.1061e-07-0.00061124i,-0.00040071-0.00075377i,-0.00078493-8.7419e-05i,-2.7522e-05+0.0013323i,9.0276e-05+0.00099369i
0.0010049+0.0017277i,0.0025836+0.0017508i,0.0033172+0.001i,0.0019471+6.3403e-05i,0.0014562-0.00085315i,0.00090819-0.00085925i,-0.00031413+9.9116e-05i,-0.00025415+0.00077864i,1.9167e-05+0.00066013i,0.00020271+0.00076581i,0.00055035+0.00022753i,0.00019057-0.0002444i,-0.00012483+8.194e-05i,0.00024828+0.00043089i,0.0007771+0.00022395i,0.00030874+2.7054e-05i,-0.00039295+0.00052408i,-2.4013e-05+0.0001019i,0.0003464+0.00021625i,0.00035498+0.0001747i,0.00027112-0.00035434i,-0.00014774-0.00012996i,-0.00085731+0.00055218i
0.0010586-0.00056226i,0.0011792-0.00080694i,0.00059959-0.0014451i,-0.00028939-0.0014531i,-0.00052206-0.00067308i,-0.00050975+0.00038732i,-6.2799e-05+0.00075912i,0.00035228+0.00024195i,0.00025065-0.00018864i,0.00025639+0.00056105i,0.00031134+0.0012346i,0.00028167+0.00027836i,0.00013968-0.00057882i,0.0002536+3.7903e-05i,7.8065e-05+0.00017335i,-0.0002593-0.00021514i,-0.00041973-0.00033153i,-0.00077398-8.4354e-05i,-0.00084381+0.00029629i,-0.00059101-2.7449e-06i,-0.00074138+9.722e-05i,-0.00043827+0.00070248i,-0.00010356+2.4296e-05i
0.0015161-0.00012158i,0.0011756+0.00036549i,0.0010673-0.00082069i,0.00065151-0.0018719i,-0.00065637-0.0017048i,-0.0013796-0.0012517i,-0.00032718-0.0013012i,4.1362e-05-0.0010378i,-0.00010849-0.00046405i,0.00034173-0.00047698i,0.00058083-0.00013702i,0.00032977-0.00014575i,8.407e-06-0.00031792i,-2.3628e-05-0.00047681i,1.5554e-05+4.0672e-05i,0.00014052+0.00011308i,0.00029951-0.00020041i,0.00041347-0.00016555i,0.00034801+0.00014093i,0.00014948+8.9739e-05i,3.6604e-06+0.00051194i,0.00024376+0.00065962i,-0.00038781+0.00037461i
