-0.0015467+0.0022153i,-0.00055436+0.00079707i,-0.0012163+0.00038284i,-0.0014491+0.0020474i,-0.00076455+0.0042593i,-0.00042214+0.0043659i,0.00036545+0.0029868i,0.0014299+0.0018701i,0.0016051+0.00033753i,0.0011691-0.0012605i,0.0012298-0.0018175i,0.0011166-0.0012548i,0.00010379-0.00080189i,-0.00094246-0.0012223i,-0.0015152-0.00094852i,-0.0011126-0.00029155i,-0.0012921+0.00027851i,-0.0011003+0.00020059i,-0.00022622+0.00049i,-0.00036072+0.00024856i,-0.0002288-0.00045367i,0.00078773-0.00079983i,0.00061898-0.00059107i
0.00088819-0.00033541i,0.0013054+0.00078982i,0.0015404+0.0011393i,0.0012233+0.00090259i,0.0010097+0.0015202i,-0.00013454+0.0015487i,-0.00073093+0.0012104i,0.00044877+0.00043854i,0.00041655-0.00049086i,-0.00022827-0.00071567i,-0.0001949-0.00027661i,-0.00059997-9.1634e-05i,-0.00032114+7.5872e-05i,0.00063358+0.00061526i,0.00070111+0.00098595i,0.00061947-0.00033884i,0.00033078-0.00053305i,9.6414e-05-0.00014688i,0.00011827-0.00042407i,7.0865e-05-0.00027881i,0.00053799-0.00057477i,0.00075269-0.00082372i,0.00030082+7.7831e-05i
0.00082849+0.00085561i,0.0019997+0.00041565i,0.0011979-0.00066305i,0.00013618-0.00043268i,-0.00024698+0.00036432i,-0.00062723+0.00029263i,5.1234e-05+0.0010152i,0.00049932+0.0011737i,0.00070006-0.00013699i,0.001005-0.0016438i,0.00061344-0.0018399i,0.00051563-0.00072489i,0.00032039-0.00017157i,3.4697e-05-9.0574e-05i,8.6559e-05+0.00075796i,9.189e-05+0.00097788i,0.00072675+0.00051533i,0.00076969+0.00026958i,0.00041357-0.00014557i,0.00056634-0.00035932i,0.0009079-5.6629e-05i,0.0010534+7.3531e-05i,0.00064892-0.00010918i
-0.00068139-0.00055693i,7.4197e-05-0.0012039i,0.00081189+0.00067457i,0.0010516+0.002038i,1.6949e-05+0.0018382i,-0.00012081+0.00075179i,0.00068828+6.0968e-06i,0.00086671-0.0003217i,0.00074477-0.00085331i,0.0005119-0.0011497i,0.00079686-0.00060354i,0.00045185+0.00026761i,-0.00037719-0.0003958i,-0.00019372-0.0014462i,-5.1286e-05-0.00098592i,-0.00086225-0.00048295i,-0.001427-0.00016179i,-0.00010086+0.00027775i,0.00061364-0.00015556i,0.00046996-0.00041442i,0.0009947-2.7954e-05i,0.00037831-7.0584e-05i,-0.00017365-0.00044926i
0.00049749+0.00022864i,0.0012211-0.00021428i,0.0014134-0.00045332i,0.0003675+0.00010164i,-0.00025245+0.0004211i,0.00025003+0.00017605i,0.00024068+4.6787e-05i,0.00074497-0.00018104i,0.001128-0.00098686i,0.00093681-0.0014145i,0.00086301-0.00065139i,0.00012317-0.0012381i,-0.00015657-0.0013735i,-2.8189e-05-0.00032946i,-0.00029716+0.00031596i,-0.0001792+0.00076298i,0.00038249+0.00071273i,0.0006744+0.00010873i,0.0010751+1.8506e-05i,0.0012766+0.00036584i,2.6058e-05-2.7821e-05i,-0.00021084-0.00047724i,0.0003853+0.00010309i
0.0023861+0.00042955i,0.0036765-0.00024165i,0.0032672-0.0011454i,0.0014878-0.001355i,0.00028813-0.00053001i,-6.0046e-05+0.00024671i,-3.9485e-05+0.00099808i,0.00046775+0.0011216i,0.0010246+0.00015645i,0.0007579-0.0005832i,-0.00036108-0.0003045i,-0.00095316-0.00015337i,-0.00013207-0.00017904i,0.00032337-0.00026624i,0.0001638+0.00013559i,-0.00059526+0.00042253i,-0.00090222+4.1836e-05i,-0.00064225-0.00012074i,-0.00023322-3.489e-06i,0.0001937+0.00039546i,0.00099698+0.00055135i,0.001144+0.00054556i,0.0005113+0.00029347i
0.00018048+7.4e-05i,0.0002577-0.00027227i,0.00024104-0.00058436i,0.00055548+0.0008442i,0.00079851+0.0020294i,0.00087771+0.0016549i,0.00064251+0.00056542i,0.00069329-5.4534e-05i,0.00061618-0.00086376i,0.00050125-0.0015672i,0.00085693-0.0010346i,0.00094572-9.6467e-05i,0.00053255+0.00032284i,-8.7641e-05+0.00040109i,-0.0003622+0.00036407i,-9.2838e-05-0.00050903i,0.00054339-0.00089614i,0.00097253-0.00030961i,0.00081384+0.00040802i,0.0007263+0.0011i,0.00094472+0.0010669i,0.0010166+0.00046686i,0.0009368+0.00040654i
0.0013378+0.0035935i,0.0028217+0.0026355i,0.0041704+0.00075183i,0.0037384+0.00026395i,0.0026949+0.00039271i,0.0014544-0.0004406i,0.0010643-0.00091246i,0.00041646-0.0011983i,0.00027549-0.0013661i,0.0009231-0.00098478i,0.0011069-0.0014177i,7.6575e-05-0.001189i,-0.0012347-4.2779e-05i,-0.001316-0.00029388i,-0.00056011-0.00034671i,-0.0001513+0.00013246i,0.00028883+0.00048818i,0.0010995+0.00064661i,0.00070718+0.00064107i,9.8636e-05+6.622e-05i,0.00035242-0.00057604i,0.00038602-0.00031953i,-0.00010848-0.00054858i
0.0012543-0.001335i,0.001652-0.00086493i,0.0018363-0.00038201i,0.0008043+1.1665e-05i,-0.00077793+8.1732e-07i,-0.0010653-8.1396e-05i,-0.00081597+0.0003427i,-0.00067607+6.3782e-06i,-0.00045702-0.0012772i,-0.00065524-0.0010702i,-0.00070392+0.00014717i,-0.00027591+8.4151e-05i,-7.4259e-05-0.00044652i,0.00019579-0.00024762i,0.00087043+6.9956e-05i,0.00089729+0.00049591i,0.00037005+0.00057473i,0.00014399-0.00038957i,0.00028817-0.00060573i,0.00022175-2.993e-05i,0.00039418-6.2988e-05i,0.00032708+5.8715e-05i,7.3093e-05-0.00016891i
0.0004875+0.00016445i,0.0016955+0.00059202i,0.0027643+0.00031291i,0.0020649+0.00098592i,0.0010362+0.001368i,0.00091986+0.0010099i,0.00036238+7.0128e-05i,-0.00028154+0.00011641i,5.8144e-05+0.00054121i,0.0013213+0.00053001i,0.0011919+0.00060162i,-9.7314e-05+0.00049522i,-0.00022165+7.4288e-05i,-0.00014139-0.00085664i,-0.00074287-0.00085643i,-0.00056674-0.00010978i,-0.00046624-0.00062254i,-0.00029164-0.0010115i,0.00036458-0.00053037i,-5.7678e-05-5.036e-05i,0.00018608+0.0010541i,0.0011991+0.00097535i,0.00098482-0.00040483i
0.00034179-0.00088673i,0.00025202-0.0015499i,0.00035003-0.0018627i,0.00033482-0.0014679i,0.00043389-0.00010452i,0.00029845+0.0015246i,0.00020228+0.00099675i,0.00042997+8.8545e-05i,0.0010326-0.00070893i,0.0011807-0.00097298i,0.00031593-0.00038094i,-7.5927e-05-0.00058785i,1.4086e-05-0.0013567i,5.6931e-05-0.00097232i,0.00047285+0.0002105i,0.00051069+0.00022951i,0.00078631-0.00022802i,0.0004222-5.4598e-05i,-0.00030861-0.00027494i,-6.5584e-06-0.000463i,0.00029006-0.00023692i,0.00045452-9.8195e-06i,6.2637e-05+0.00051746i
