-0.0029172+0.00016245i,-0.0026526+0.0007785i,-0.0023427+0.00092084i,-0.0021753+0.00093462i,-0.0022312+0.0019695i,-0.0011609+0.0023728i,0.00031539+0.0016635i,0.00053027+0.0013923i,0.00065091+0.00031596i,0.0010023-0.00079666i,0.00047094-0.0012685i,0.00011551-0.0016768i,0.00061068-0.001127i,0.00093013-0.001189i,0.0012654-0.0012081i,0.0014343-0.00041311i,0.00068724-9.4717e-05i,4.0916e-05+0.00020174i,-0.00031725+0.00016345i,-0.00081473+9.3454e-05i,-0.00099451+0.00031358i,-0.00054829+0.00069289i,-0.00014+0.00041552i
0.00049732-0.00076968i,0.0011119-0.0011113i,0.001786-0.0017496i,0.0020496-0.0012303i,0.0013313-0.00020462i,-1.6333e-05+0.0012953i,-0.00035309+0.0013817i,0.00022301-0.0001132i,0.00039149-0.00044611i,0.00036735-0.00025378i,0.00010136-0.00057513i,-0.00030015-0.00030868i,-0.00047467+0.00015585i,-0.0010569+0.00022136i,-0.0015477+0.00038702i,-0.001311-4.9798e-05i,-0.00062705-0.0011746i,6.2781e-05-0.0013794i,2.4775e-05-0.0010079i,-0.00012973-0.00062429i,-0.00016994-0.00086528i,-0.00019408-0.00047346i,-0.00028223-0.00033461i
0.0011877+0.0019231i,0.0014187+0.0013038i,0.001111+0.00084407i,0.0006757+0.0002313i,0.00069273-0.00011986i,-0.00019447+0.00052427i,-0.0011634+0.0011901i,-0.0011+0.00018575i,-0.00045938-0.00058131i,-0.00022447-0.00014164i,-0.00042742-8.8239e-05i,-4.9637e-05+0.00028985i,0.00028374+0.00021555i,0.00018339-0.00059081i,-0.00013124-0.00085955i,-1.3481e-05-0.00054758i,4.3739e-05+7.6942e-05i,-0.00088302+0.0006647i,-0.00079931+0.0001816i,-0.00039287-0.00015478i,-0.00037723-0.00026925i,0.00017352-0.00056274i,0.00014379-0.00028466i
0.00099424-0.0017743i,0.0010782-0.0010793i,0.0012422-0.00063289i,0.00069524-0.00041524i,-0.00039009+0.00022448i,-0.0011362+0.001018i,-0.00059704+0.001514i,0.00015223+0.00012455i,4.8508e-05-0.00090378i,3.3341e-06+0.00022586i,0.00013791+0.0012414i,-0.00034453+0.00014452i,-0.00036824-0.0010171i,-0.0003892-0.00082977i,-3.8563e-05+0.00047355i,0.00052139+0.00079094i,-1.3158e-05-8.1344e-05i,-0.00026817+0.00018253i,1.3536e-06+8.4048e-05i,-0.00011149-0.00041646i,-0.00060627+0.00017981i,-0.00023039+9.8325e-05i,0.00068973-0.00045916i
0.00032376+0.0010229i,0.00041379+0.0011331i,0.00036588+0.0011139i,0.001117+0.0004768i,0.0011981+0.00070144i,0.00093765+0.0008113i,0.00036952+0.00073682i,-0.00051202+0.00094776i,-0.00071661+0.00061939i,-0.00026351-8.3732e-05i,0.00032283-0.0001159i,0.00067338-0.00015385i,0.00041184-0.00045952i,-0.00053158-0.00047956i,-0.0003775-0.00015771i,0.00057559+0.00065986i,0.00092848+0.0011429i,0.00067041+0.00044449i,-0.00044689-0.00072343i,-0.0013251-0.0011196i,-0.0011129-0.00033612i,-0.00087548+4.7207e-05i,-0.0006746-0.00076449i
0.0013624+0.00071412i,0.0014857+0.00065732i,0.0014043+0.00042351i,0.0014178+0.00066976i,0.00066524+0.00091773i,0.00038003+0.00065934i,0.000583+0.00039304i,-1.9469e-05+0.00019822i,-0.0001077-7.734e-05i,-0.00036501-0.00092708i,-0.00094903-0.0016974i,-0.00062668-0.0010088i,3.3551e-05-0.00040854i,0.00017231+0.00027842i,-0.00010138+0.00062367i,0.00012106+0.00049356i,-0.00050015+0.00053597i,-0.0010648+0.00033805i,-0.00046201+0.00036797i,-0.00027223+0.00057301i,6.4097e-05+0.0006042i,0.00041095+0.00036751i,-4.7165e-05-0.00029851i
-0.0019387-0.00092649i,-0.00098562-0.00045309i,0.00031451+0.00036043i,0.0013157+0.00037585i,0.0021697+0.00017066i,0.0020406+0.00011268i,0.0014127+9.9621e-05i,0.00070685+6.075e-05i,-0.0004033-0.00027847i,-0.0013883-0.00025527i,-0.0014472-0.00054114i,-0.00072284-0.00084603i,-0.00078114-0.00075214i,-0.00097822-0.00055624i,6.0419e-05-0.00049426i,-2.9707e-05-0.0006265i,-0.00047177-0.00053551i,0.00023293-0.00016571i,0.00071201+0.00052978i,0.00060528-0.00031404i,0.00035271-0.00099277i,0.00053199-0.00049684i,0.0001578+0.00024442i
0.0012772+0.0028811i,0.0021438+0.0014477i,0.0027686+0.00017811i,0.0026416+1.0535e-05i,0.0019675-0.00033314i,0.00065699+0.00020862i,0.00023469+0.00041691i,0.00036582-3.4976e-05i,0.00014567-0.00051612i,-0.00024964-0.00032128i,5.5307e-05+1.5603e-05i,-0.0001807-0.00054476i,-0.00069696-0.00014776i,-0.0015048+0.00055081i,-0.0021858+0.00027032i,-0.0011451+3.6399e-05i,-0.00028938-6.1464e-05i,-6.1584e-05-8.9679e-05i,3.3947e-05+0.00083052i,-0.00042824+0.0010523i,-0.00051507-5.6301e-06i,0.00035836+0.00016343i,0.00040735+0.00034291i
0.00024281-0.0022575i,-0.0002426-0.0020682i,-0.00039142-0.0012397i,7.1547e-05-0.0008052i,0.00016505-7.4868e-05i,0.0003458+0.0011921i,0.00066189+0.0020924i,0.00085475+0.0015617i,0.0012069+9.6297e-06i,0.00089785-4.102e-05i,1.3291e-05+0.00044754i,-0.00076366+0.00059705i,-0.00043989+0.00070794i,0.00050532+0.00092925i,-2.3448e-05+0.0012198i,-0.00064941+0.00042342i,-0.0004044+0.0002057i,5.7926e-05+0.00046232i,0.00022204+0.00034925i,-0.00011087+0.00025118i,-0.00015421-7.0968e-05i,-0.00036156+0.00029624i,-4.7081e-05+0.0002795i
0.0010095+0.0010202i,0.0012607+0.00038384i,0.0009471+5.7964e-05i,0.0012623-0.0001774i,0.0014836-0.00021646i,0.00068339-3.2435e-05i,5.5866e-05+0.00043821i,0.00052391+0.00037367i,0.0010433+0.00026896i,-5.1404e-05+0.0012015i,-0.00093304+0.0013247i,-0.00049948+6.2698e-05i,0.00035891-0.0010814i,0.00089437-0.0014758i,0.00091299-0.001253i,0.00067602-0.00088087i,-0.00014902-0.00083106i,7.4672e-05-0.00089864i,0.00026157-0.00054663i,-0.00018403-0.00013034i,0.00014086-0.00038018i,0.00056269-0.00060639i,0.00021587-6.0151e-05i
-0.00055434+0.00044988i,0.00074924+0.0021673i,0.001106+0.002702i,0.00069896+0.0014939i,0.00035922+0.00099184i,-0.00014523+0.0017488i,-0.00067961+0.0019747i,-0.00061553+0.0012451i,-0.00010234+0.00077618i,0.00050643+0.00075352i,0.00018622+0.00032014i,-0.00059557+0.00043733i,-0.00086834+0.0006125i,-0.00081976+5.4871e-05i,-0.00050888-0.00046445i,-0.0010937-0.00034551i,-0.00097948+6.0062e-06i,-0.00011938-0.00059316i,0.00018713-0.0015072i,0.00032984-0.00063215i,0.00020588+0.00033835i,0.00027449+0.0003154i,-3.5252e-05+0.00055838i
