-0.0029172+0.00016245i,-0.0026526+0.0007785i,-0.0023427+0.00092084i,-0.0021753+0.00093462i,-0.0022312+0.0019695i,-0.0011609+0.0023728i,0.00031539+0.0016635i,0.00053027+0.0013923i,0.00065091+0.00031596i,0.0010023-0.00079666i,0.00047094-0.0012685i,0.00011551-0.0016768i,0.00061068-0.001127i,0.00093013-0.001189i,0.0012654-0.0012081i,0.0014343-0.00041311i,0.00068724-9.4717e-05i,4.0916e-05+0.00020174i,-0.00031725+0.00016345i,-0.00081473+9.3454e-05i,-0.00099451+0.00031358i,-0.00054829+0.00069289i,-0.00014+0.00041552i
0.0011104-0.00098992i,0.0011437-0.0011645i,0.0020199-0.0017822i,0.002575-0.0013201i,0.0020394-0.00018972i,0.00162+0.00083103i,0.00062823+0.0013719i,-0.00014944+0.0010778i,-0.00026555-3.2758e-05i,-0.00059076+0.00040402i,-0.0007679+0.0012279i,-0.00018851+0.00042965i,0.00073802-0.00035352i,0.00073444-1.0275e-05i,0.00013749+0.00054254i,0.00092338+2.5375e-05i,0.0015325-6.377e-06i,0.00053243+0.00080611i,-0.00011076+0.0007992i,0.00059049+0.00030554i,0.00072132+0.00012159i,0.00047951+7.1447e-05i,0.00056766-2.3559e-06i
0.0020992+0.0020472i,0.0020305+0.00109i,0.001904-1.8789e-05i,0.0014778-0.00067309i,0.00058786-0.0007919i,0.00037187-0.00025033i,0.00031444+0.00030253i,0.00026486-0.000463i,-0.00015138-0.00075096i,-0.00030976-0.00013359i,-0.0001708+0.0003775i,-0.00041897+0.00022931i,2.0608e-05+9.9403e-05i,0.00045658+0.00018167i,0.0002542-5.032e-05i,-0.00071703+0.00016285i,-0.0012425+0.0003866i,-0.00058029-0.00011241i,-0.00050058-0.00049987i,-0.00062292-0.00044294i,2.2217e-05+5.6292e-05i,0.00020307+0.00023212i,0.00010461-0.00022762i
0.00083195-0.001093i,0.00036868-0.00079981i,0.00082851-0.0012317i,0.00098054+3.6703e-05i,0.00079407+0.0016332i,0.00058518+0.0013854i,0.00040784+0.00086741i,0.00055136+0.00033221i,2.4628e-05-0.00014042i,-0.00031723+0.00037562i,-0.00018628+0.00057141i,-0.00036213+0.00058301i,-0.00012054+0.00041248i,0.00074886-7.1443e-05i,0.00066204-3.4799e-05i,0.00055992-0.00035863i,6.1738e-05-0.00068212i,-0.00043632-0.00038647i,-0.00032209-0.00040428i,-6.9877e-05-0.00071375i,0.00059746-0.0013556i,0.00064368-0.0010937i,-0.00019673-0.00018537i
0.002294+3.1463e-05i,0.0018072+0.00079116i,0.00089882+0.00066352i,0.0011328+0.00033881i,0.0011305+0.0010033i,0.0012591+0.0011249i,0.0011701+0.00053715i,0.00082141-0.00013614i,0.0004752-0.00030764i,0.0003411-0.00021072i,0.00054499-1.7545e-06i,0.00028049+0.00018173i,0.00016394-0.00015211i,0.00023587-0.00063599i,0.00022843-0.00036375i,-0.00032391+0.00023677i,-0.00066368+0.00043665i,-0.0012417+0.00010387i,-0.00081467-0.00043812i,0.00013409-0.00068763i,0.00017834-1.004e-05i,5.5901e-05+0.00085057i,0.00036453+0.00062193i
-0.00027675-0.00014422i,0.00027841-0.00023085i,0.00063329-0.00039051i,0.0015275+0.00025273i,0.0011987+0.0010001i,0.00028587+0.001491i,0.00023417+0.001177i,0.00097018+0.00058616i,0.0011472+0.00023286i,0.0010828-0.00031515i,0.00074589-0.00039236i,0.00026499-0.00038796i,0.00073188-0.00059073i,0.00064451-0.00048375i,4.5026e-05+9.4659e-05i,-0.00020432-6.6212e-08i,-7.8873e-05-0.00056759i,-0.00034178-0.00085112i,-5.9171e-05-0.00096512i,5.5316e-05-0.00022211i,-4.2975e-05+0.00024796i,0.00059996+0.00069478i,0.00057233+0.00075538i
0.0012354-0.0009339i,0.0018599-0.001637i,0.0026938-0.0014748i,0.0022914-0.0018339i,0.00055397-0.002403i,-0.00063905-0.00134i,-0.00032319+0.00024878i,-0.0001483+0.0010955i,-0.00021963+0.00018675i,0.00026538-0.00063595i,0.00039691-0.0003269i,7.8665e-05-5.1429e-05i,-0.0007031-0.00043298i,-0.0010635-0.00076507i,-0.00078192-0.00077578i,-0.00043021-0.00049008i,0.00011905+0.00037117i,-5.2637e-05+0.00077204i,-4.3777e-05+0.00056247i,0.00029812+0.00028154i,7.9781e-05-0.00016273i,-2.6523e-05-9.2357e-05i,0.00022497+6.7621e-05i
0.0019797+0.00013195i,0.0017732-0.00068987i,0.0020466-0.00061081i,0.001462-0.00016254i,0.00050066-3.3001e-05i,-0.00028849+0.00045067i,-0.00072555+0.0010839i,0.00020458+0.0012376i,0.00076195+0.00068893i,0.00031204-0.00023856i,-0.00013274-8.297e-05i,-0.00043854+0.00056774i,-0.0004228+0.00097499i,-0.0006133+0.0010916i,-0.00064377+0.0010488i,0.00016018+0.00081414i,0.00069728+0.00031417i,4.2194e-05-0.00022079i,-7.79e-05-0.00056429i,0.00071198-0.00068286i,0.00055572-0.00079621i,-3.1834e-06-0.00019869i,-8.9991e-05+0.00018151i
-0.0022519-0.0015885i,-0.0013251-0.00053898i,-0.0011243+0.00025577i,-0.00037516+0.00033547i,0.0012741+0.00081393i,0.0014585+0.0010233i,0.00056683+0.00050942i,0.00030357+8.2884e-05i,-4.3046e-05-6.897e-05i,-0.00037437-3.1631e-05i,-0.00022345-0.00035142i,0.00051709-0.00074942i,0.00044631-0.00011375i,0.00020815+0.00028427i,0.00050845+8.992e-05i,0.0011497-0.00024566i,0.00087821-0.00030637i,0.00052564+0.00015599i,0.00055448+0.00039885i,-0.00016559+0.00028604i,-0.00099949+0.00032764i,-0.001435+0.00019872i,-0.0011108+0.00025385i
0.0019278-0.0012873i,0.0016069-0.0014868i,0.00057262-0.0012258i,-0.00085166-0.00066971i,-0.0014816-0.0005982i,-0.0014644+0.0003475i,-0.0016433+0.00036262i,-0.0005581-7.5088e-05i,0.0005879+0.00033134i,-0.00037296+0.00060759i,-0.0003902+0.00049691i,-0.00023927-5.6182e-05i,-0.00027395-0.0007876i,0.00079273-0.0010234i,0.00076662+0.00045922i,-0.00051801+0.0015204i,-0.0011881+0.00082009i,-0.0012402+0.00027793i,-0.0007199+0.00059724i,-0.00023284+0.00023662i,-0.00032495-0.0008006i,-0.0008676-0.001221i,-0.00030964-0.00098186i
0.00023295+0.0025593i,0.00033823+0.0017673i,0.0015208+0.00069628i,0.0028744-0.00012393i,0.0023861+0.00065752i,0.00022254+0.0011259i,-0.0003963+0.00094347i,-8.0935e-05+0.0011046i,5.9745e-05+0.00086233i,0.00026781-0.00022011i,8.1327e-05-0.00075852i,-0.00047921-0.0007048i,-0.00053941-0.0002848i,-0.00039514+0.00018647i,0.00027804+0.00011247i,0.00030128+0.00028961i,0.00024322+0.00079654i,0.00024091+0.00092081i,-3.0615e-05+0.00071897i,0.00022772+0.00033172i,0.00083444-3.0873e-06i,0.00087908-0.0001079i,0.00065652-0.00043853i
-0.0010073-0.0016534i,-0.00031073-0.00146i,0.00045616-0.00042089i,0.0003917+0.00034094i,0.00043048+0.00031478i,0.00020532-7.5199e-05i,0.00038327-0.00034566i,0.00014834-0.00027839i,-0.0008273-0.00044874i,-0.00062521-0.00074493i,0.0003597-0.00021356i,0.00081755-0.00011357i,0.00040058-0.00028774i,-7.5446e-06+0.00034373i,-3.7158e-05+0.00046856i,-0.00039471-4.4586e-05i,-0.00052077-0.0005861i,-0.00060786-0.00061411i,-0.00041999-0.00040538i,-0.00026379-0.00018501i,-0.00076562-0.00038479i,-0.00042193-0.00015522i,0.00036209+0.00045415i
-0.0011319-0.0010765i,-0.0012723-0.0010416i,-0.001661-0.00093817i,-0.0011096-0.00040114i,-0.00013549+0.00065617i,0.00010762+0.00112i,-0.00021718+0.00098894i,0.00012583+0.00038684i,0.00040257-0.00043123i,0.00037697-0.00016811i,0.00068919-0.00013142i,0.00030971-0.00050657i,0.00016101-0.0006916i,0.00060033+1.2902e-06i,0.00090005+0.00074057i,0.00061372+0.00057922i,-0.00022921+0.00024557i,-0.00099794+0.00030744i,-0.00061181+0.00013141i,3.6149e-05-0.00012281i,-0.00053165-0.00032819i,-0.00043112+0.00053103i,-0.00017887+0.001258i
-4.3358e-05+0.00035018i,0.00036815-0.00025886i,0.00056788-0.00056515i,0.001832+0.0004353i,0.0023923+0.001058i,0.0019222+0.0010001i,0.001239+0.0010383i,0.00017379+0.00074029i,-0.00066177-0.00029835i,-0.00057688-0.00056743i,0.0003664-5.5589e-05i,0.00069752+7.5951e-05i,-7.6019e-05-0.00018183i,-0.00077267+0.00040238i,-0.00056634+0.00068672i,-0.00010102-0.00067904i,-0.00028908-0.0009637i,-0.00087492-0.00033123i,-0.00087759-5.436e-05i,-0.00062666+0.00062244i,-0.00067402+0.00067315i,-0.00054381+0.00043297i,0.00027509-0.0007121i
-0.00044877-0.00041489i,-0.00038504+0.00035193i,-0.00028167+0.00047434i,0.00030387-0.00020668i,0.00099224+0.00025734i,9.5791e-05+0.00080384i,-0.0004413+0.00097984i,0.00035557+0.00037964i,0.00039154-0.00026676i,-0.00028849+0.00012266i,-0.00058602+0.0011383i,0.00016757+0.0010549i,-1.5593e-05+0.00044446i,-0.00065243-9.1022e-05i,-0.00032786-1.5172e-06i,0.00014682-0.00019013i,-0.00028788+1.4508e-05i,-8.3894e-05+0.00038153i,0.00049583+7.6703e-05i,-0.00015439+0.00024596i,-0.00040804+0.00035659i,6.8472e-05+0.00014229i,0.00025523+0.00026853i
-0.0020175-0.0004918i,-0.001646-0.00034806i,-0.00028047+0.00034684i,0.00095508+0.00029629i,0.0010534-0.00033254i,0.0011429-0.00053483i,0.0011414-0.00025079i,0.00035835+0.00018499i,-0.0004143+4.1544e-05i,-0.00094486+7.3279e-05i,-0.00095051-7.6972e-05i,-0.00076595-0.00015667i,-0.00016464+0.00049194i,0.0003592-0.0004877i,0.00059792-0.0019527i,0.00098064-0.00081161i,0.0010539+0.00053772i,-0.0001592+0.00026017i,-0.00074747-4.4455e-05i,-7.5487e-05+0.00012508i,-0.00037156+0.00020162i,-0.00101-0.00020661i,-0.00029999-0.00061866i
-0.00014596-0.00057504i,0.00037688-0.0010024i,-0.00020051-0.0010855i,-0.00012754-0.00045627i,0.00084892-0.00011095i,0.0010822+7.5728e-05i,0.0013858+0.00036819i,0.0016211+0.00047032i,0.00057146-2.8001e-05i,0.00013935+0.00023582i,0.00024598+0.00029502i,0.0001624-0.00041765i,-0.00012552-0.0011246i,-0.00022298-0.0012434i,0.00012933-0.00070765i,0.00070942-0.000417i,0.00032514-0.0006475i,-0.00042791-0.0010294i,-0.00044962-0.0008389i,-0.00081785+0.00017046i,-0.00097051+0.00081447i,-0.00045867+0.00078894i,-0.00041129+0.00019784i
0.00070578-0.00028971i,0.0009244-0.0011988i,0.00048898-0.00025576i,0.00076954+0.0012602i,0.00094934+0.0017704i,0.00068487+0.0015084i,0.00037736+0.00073898i,0.00013176-0.00028732i,-0.00017258-0.00075054i,-0.00057953-0.00014052i,4.4682e-05+6.2519e-06i,0.00035258-0.00060069i,-0.00049034-0.00045246i,-0.00068018-0.00070322i,-0.00076279-0.00119i,-0.00053102-0.0005189i,7.3906e-05+0.00067855i,-0.00013061+0.00074878i,-0.0011004+0.00021419i,-0.0012786-1.6276e-05i,-0.00055263+0.00049777i,-0.00014266+0.00037625i,-0.00018663+0.00043934i
0.00026071+0.0006427i,0.00017874+0.00040944i,0.00017034+0.00067369i,0.0007858+0.0009896i,0.0012035+0.00058014i,0.0015357+0.00064587i,0.0015484+0.001419i,0.00034853+0.0010417i,-0.0011882+0.0004625i,-0.0013657+0.00012787i,-0.00055298-0.00039061i,0.00012902-0.0008356i,0.001079-0.00064301i,0.0012939-0.00042667i,0.00037377-0.00057951i,-0.00069492-0.00043072i,-0.00088415-0.00012266i,-0.00079963+0.00019442i,-0.0005967+0.00035799i,-0.00023812-0.00017248i,0.00038887-0.0011805i,0.00098863-0.0012974i,0.0006467-0.0010881i
4.4411e-05-0.00095094i,0.00025707-0.0015201i,0.00092597-0.00061445i,0.0016938+0.00036663i,0.00095551+8.6863e-05i,-0.00011092+0.00025975i,0.00032693+0.00062673i,0.0011658+0.0001037i,0.00079127-0.00022058i,-0.00043692+0.00043914i,-0.00055851+0.0007275i,-0.00045254+5.135e-05i,-0.00058299+3.5707e-05i,-0.00049721+0.00090632i,-0.00043333+0.0010388i,-0.00013612+0.00037349i,0.00018273-0.00022883i,-7.266e-05-4.5358e-05i,-0.00013198-0.00039653i,-0.00046099-0.00073281i,-0.00061368-0.00028723i,-0.00038497-4.344e-05i,0.00021173-0.00014073i
0.0002187-0.00067236i,0.00031982-0.0013502i,0.0012073-0.0013049i,0.0019818-0.0004213i,0.0012226+0.00087208i,-1.9118e-05+0.0011696i,-0.0003233+0.0010045i,-0.00041792+0.00033881i,-0.000267-0.00017088i,0.00018688+0.00011823i,0.000418+0.00054458i,-0.00039703+0.00034768i,-0.00096532-0.00011777i,-0.00011115-2.5173e-05i,3.6022e-05-0.00046792i,-0.00040651-0.0003588i,-0.00045642+0.00010079i,-0.0006553-0.00013957i,-0.00032218-4.3845e-05i,-1.4647e-06-0.00026152i,0.00017434-0.00061652i,0.00037555-0.00048306i,0.00074537+0.00054263i
0.0014494+5.1428e-05i,0.0017575-4.3662e-06i,0.0021888+0.00045758i,0.0011324+0.00011495i,-0.00032701+3.0703e-05i,-0.00091997+0.00057733i,-0.00064951+0.00047217i,0.00018362+0.00059383i,0.00031098+0.00028735i,0.00019011+0.00052225i,0.00033341+0.0008359i,0.00070789+0.00068992i,5.4176e-05+0.0009285i,-0.00035179+0.00071162i,6.7881e-05+0.00038938i,-0.00028192+0.00066526i,-0.00045951+0.00070879i,-0.00029577+0.00035073i,0.00024123+0.00050033i,0.00043349+0.00081208i,0.00038282+0.0013131i,0.00071155+0.00096872i,0.00025117+0.00028056i
0.00062718-0.00093511i,0.00018438-0.0013765i,-0.00025224-0.0017452i,0.00046476-0.0011765i,0.00062532+0.00058873i,-3.8189e-05+0.0014309i,1.6326e-05+0.0011132i,8.9738e-05+0.0003074i,-0.00016393+0.00032028i,-0.0005326+0.0001409i,-0.00071263-0.00072684i,-0.00054747-0.00087633i,4.6335e-05-0.0011596i,0.00041011-0.0014334i,0.00023218-0.00076677i,-9.1349e-05+0.00012359i,-0.00057356-0.00050009i,-0.0006534-0.00076985i,-0.00021304+5.9078e-05i,0.00012966+0.00059924i,-0.00073023+0.00089005i,-0.00076411+0.00061003i,0.00025928+0.0006632i
0.0040818+0.0018615i,0.0042644+0.0010562i,0.0035642+0.00035953i,0.0023296-0.00010326i,0.0017374-0.00089194i,0.0007794-0.0013107i,-0.00014077-0.00054927i,5.7963e-05-3.7633e-05i,0.00019579-0.00054716i,7.4324e-05-0.00052606i,-0.00028819-0.0001699i,-0.00069313-0.00033246i,-0.0011901-0.00013227i,-0.0011809+0.00029481i,-0.00024976+0.00073179i,0.00014918+0.0012588i,-0.00036555+0.0010592i,-0.0013823-0.00012231i,-0.0010716-0.00040486i,2.3832e-05+0.00039437i,0.00035431+0.00051898i,0.00075378+3.3811e-05i,0.001097-1.0396e-05i
0.0015216-0.00040091i,0.00073545-0.00048838i,0.00083372-0.00021322i,0.0010635+0.00022096i,0.00046354+0.00043076i,-0.00025816+0.0011473i,-0.00014631+0.001698i,-0.00017825+0.00072627i,-0.00018539-0.00018386i,0.00029121-0.00051693i,9.7366e-05-0.00068101i,-0.00044685-0.00063192i,-0.00033135-0.00024843i,4.9488e-05-0.00042011i,0.00055383-0.00068556i,0.00065247-0.00064511i,-0.00022152-0.00035311i,-0.00028057-0.00042529i,2.3201e-05-0.00017135i,-0.00058068+0.0001544i,-0.00039115-0.00084201i,0.00045392-0.00044747i,0.00030914+0.0006638i
0.00073187+0.00074986i,0.0017901+2.5213e-05i,0.0021761-0.00053668i,0.0026519-0.00092996i,0.0017355-0.00016388i,0.00068273-4.6252e-05i,0.0011413-3.3947e-05i,0.00077881-0.00023127i,1.8996e-05-0.00082432i,0.00036863-0.00078952i,0.00089025-0.00093612i,1.7181e-06-0.0010032i,-0.0012053-0.00058955i,-0.00096779-0.00041191i,-0.00011099+7.375e-05i,-0.00029718+0.00068042i,-0.00053438+0.0006696i,-3.0915e-05+5.4555e-05i,-0.00026723-0.00064864i,-0.00094072-0.00094989i,-0.00097048-5.6306e-05i,0.00032722-1.1889e-05i,0.00037593-0.00012045i
0.0005027-0.0011217i,0.0011188-0.00069583i,0.0012057+8.8784e-05i,-0.00054347+0.00063204i,-0.0018227+4.0805e-05i,-0.0014307+0.00061633i,-0.001116+0.0015683i,-0.00013116+0.00095067i,0.00061764-9.4316e-06i,-0.00088085-0.00051225i,-0.0016418-0.00032473i,-0.0010256-9.1238e-05i,-0.00054774+0.00050092i,-0.00014459+0.00062265i,-9.4413e-05+0.00027681i,-0.00069387+0.00011799i,-0.0011602-3.3781e-05i,-0.00091338+0.00051012i,-0.00020776+0.0010644i,0.00012275+0.00051123i,0.00056138+0.00048769i,0.0012406+0.00082384i,0.0011142+0.00011222i
0.0023603-0.00068468i,0.002393-0.00065581i,0.002782-8.2879e-05i,0.0029671+0.00032598i,0.0018147+0.00093242i,0.00015051+0.0015045i,-0.0006324+0.0015054i,-0.00037697+0.0011007i,0.00022707+0.0005786i,-1.7531e-05+0.00033759i,-0.00085651+6.4829e-05i,-0.001795-0.00047097i,-0.0020848-0.00030671i,-0.00047994+0.00032733i,0.0011169+0.00076644i,0.0003421+0.0010425i,-0.00066947+0.00027419i,-0.00085015-6.3826e-05i,-0.00038649+0.00056977i,9.8199e-05+0.00051455i,0.00010956-0.00070555i,5.8101e-05-0.00072275i,0.00045445+0.00042046i
-0.00081098+0.0015574i,-0.00094194+0.0010371i,-0.0010859+0.00053929i,-0.00088605+0.0010905i,-0.00045137+0.00090448i,-1.9925e-05+0.00013581i,-0.00041445+1.4679e-05i,-0.00020267-4.633e-05i,-7.3246e-05-0.00082795i,-0.00027581-0.001182i,7.7636e-05-0.0012347i,0.00060749-0.00088648i,0.00096187-0.00085235i,0.00078381-0.00064386i,0.00017548+0.00046163i,-0.00015611+0.00073364i,-0.00036366+0.0005252i,-0.0002691+0.00045671i,0.00038083+0.00031061i,0.00025067+0.00014275i,0.00031939+0.00053288i,0.00052265+0.00043918i,0.00018166+0.00019957i
0.0010572-0.00084038i,0.0019502-0.0011316i,0.0026584-0.00044253i,0.0025534-0.00015931i,0.001632+5.9999e-05i,0.00033012-0.00017463i,0.0003218-9.2244e-05i,0.00091775+0.00069632i,0.00061754+0.00061052i,-0.00013738-2.5277e-05i,-0.0005509+3.4546e-05i,-0.00082744+4.7188e-05i,-0.001042-0.00044048i,-0.00047432-0.00064918i,0.00017156-0.00033479i,0.00067608+0.00031598i,0.00043174+4.5103e-05i,-4.5239e-05-0.001055i,0.00037552-0.0017008i,9.2172e-05-0.0017164i,-0.00054506-0.0011531i,0.00055369-0.00056594i,0.00099673-4.7516e-07i
-0.0020979+0.0010047i,-0.0026306+0.00039397i,-0.0024264+8.5679e-05i,-0.00081621+9.7214e-05i,0.00085972+0.00048933i,0.0014267+0.00081885i,0.0014822+0.00075374i,0.00081436+0.00045829i,-0.00074064-0.00046036i,-0.00084156-0.00068752i,0.00021642+0.00053472i,0.0001922+0.0004639i,0.00087805-0.00075504i,0.0013609-0.0013654i,0.00058937-0.0014095i,-0.00032419-0.00061591i,-0.00027017+0.00033232i,2.1963e-06+0.0003576i,0.00024436-0.00054834i,0.00068665-0.00034918i,0.00048505+0.00069126i,0.00028627+0.00076327i,0.00095462+0.00046912i
-2.2761e-05-0.00031607i,0.00044567-0.00049407i,0.00073826+0.00040689i,0.0009509+0.0011676i,0.00036764+0.0011381i,-0.00025146+0.00047673i,-0.00014652+0.00046551i,0.0003318+0.00090712i,0.00052887+0.0013521i,-7.6247e-05+0.00059383i,9.567e-05-0.00078801i,0.00012044-0.00085668i,-0.00030896-0.00025379i,-0.00047347+4.3508e-05i,-0.00048578-2.8257e-06i,-0.0007069-0.00033205i,-0.0011551-0.00035596i,-0.00056475-2.1612e-05i,0.00015884+0.00011257i,0.00014876+1.8961e-05i,-1.8307e-05-0.00043075i,-0.00036492-0.00079002i,-0.00032508-0.00065745i
