-0.0023073+9.9363e-05i,-0.0021852-0.00020469i,-0.0026204+0.00035892i,-0.0015167+0.0013358i,3.8135e-05+0.0023578i,-0.00011181+0.0019289i,-0.00020776+0.0011261i,0.00065605+0.00055583i,0.00091694+0.0004898i,0.00022623+0.00019588i,0.00036556-0.00049891i,0.00021607+0.00013484i,-0.00047964+0.00049613i,-0.00047149+0.00011964i,-0.0004855+0.00040376i,-0.00049456+0.00027933i,-7.4957e-05-0.00020475i,9.521e-05+2.2831e-05i,-1.0811e-05+2.6875e-05i,-4.6268e-06-0.00021463i,-0.00012175+0.0002175i,-0.00097937-0.00011895i,-0.0014423-0.00055406i
-0.00066137+0.00058863i,-0.00082355+0.00071852i,-0.00084201+0.0011483i,5.5886e-05+0.0010155i,0.0015809+0.0004653i,0.001558+0.00083032i,0.00087726+0.00050102i,0.0011939+7.5406e-06i,0.0016436+0.00024379i,0.001244+0.00027029i,0.00052992+0.00017361i,0.00027933+0.00068605i,-0.00023991+0.00074544i,-0.00055548+0.00042498i,-7.4156e-05+0.00064441i,3.5862e-05+0.00052649i,-0.00037632-0.00023067i,-0.00074784-0.00019922i,-0.00042738-0.00016619i,3.8317e-05-0.0009662i,-0.00031261-0.0012697i,3.2477e-05-0.00089149i,0.00056438-0.00072102i
-0.00073229+0.00048164i,0.00010854+0.00063883i,-0.00037022+0.0010205i,-7.9156e-05+0.0019675i,0.00079308+0.0017913i,0.0014205+0.00084433i,0.00088653+0.00010912i,-5.7024e-05+0.00010718i,-0.00018942+0.00056894i,-0.00041495+0.00053897i,-0.00091503+0.00046646i,-0.00069466-7.471e-05i,-0.0006618-0.00013333i,-0.00038596+0.00052448i,0.00041038+0.0009741i,-5.2777e-05+0.00068839i,-0.00013582-0.0003992i,-4.5206e-05-0.00071984i,0.00025563-0.0005346i,0.00061063+8.0288e-05i,0.00018874-0.0003656i,-9.5541e-05-0.0005789i,7.7967e-05+0.00067852i
-0.00039845+0.00072257i,-0.00048088+0.0016776i,-0.00045195+0.0010769i,0.00063424+0.00042894i,0.0013485+0.00050789i,0.0010668+0.0002429i,0.00068188-0.00064206i,0.00075525-0.00024602i,0.00069962+0.00084981i,0.00079483+0.00068374i,0.00044469+0.00062395i,7.8733e-05+0.00097973i,-0.00049577+0.00048617i,-0.0013585-0.00018845i,-0.0010186+0.00033793i,-0.00044611+0.00084024i,-0.00053288+0.00049824i,-0.00033051+0.00024442i,0.000237+0.00065221i,0.00042063+0.00085806i,-0.00034573+0.00078095i,-0.00091712-0.00010624i,-0.00088088-0.00052014i
-0.0004762-0.0010637i,-0.00090358-0.001648i,-0.00063402-0.00077486i,-0.00039793+0.00054634i,6.9817e-05+0.0013581i,0.00084849+0.0013148i,0.0010242+0.0003285i,0.0010632-0.00017216i,0.0006963+0.00018435i,-8.9795e-05-3.2474e-05i,-0.00048708+0.00017467i,-0.00082577+0.00062531i,-0.00085727+0.00058531i,-0.0012939+0.00037081i,-0.0017254-0.00018058i,-0.0012205-0.00043338i,0.00024577-6.062e-05i,0.0010404+0.00027099i,0.00062526-2.7158e-05i,0.00036676-3.3425e-05i,0.00047659+0.00032195i,0.00026674+0.00025405i,-5.9729e-05+0.00041879i
-0.0011911-0.00030134i,-0.00074567-0.00052341i,-0.0015623-0.00091316i,-0.00034227-0.00017136i,0.0017634+0.0011602i,0.0024489+0.00035783i,0.0013852-3.1721e-05i,0.00041692+0.0006748i,0.0002047+0.00027704i,-0.00026785+5.7828e-05i,-0.00076716+7.3484e-05i,-0.00029572+0.00053251i,8.8837e-05+0.0018882i,-0.00041703+0.0017092i,-0.00013974+0.00055036i,1.5238e-06-0.00046086i,-0.001088-0.0013906i,-0.0010685-0.0012536i,0.00034397-0.00076493i,0.00078185-0.00049564i,0.00018157+0.00026704i,-0.00014625+0.00070489i,0.00020047+0.00038918i
0.0013382-0.00048687i,0.0016605-0.0021144i,0.00083111-0.0020192i,0.000424+2.6106e-05i,0.00084318+0.00084845i,0.0012492+0.0012957i,0.00098124+0.00058321i,0.00076296+0.00042647i,0.00059405+0.00084862i,8.0539e-05+0.00049364i,-0.00083999-6.1696e-05i,-0.00093763+0.00036988i,-0.0010325+0.0007418i,-0.0010459+0.00039552i,-0.00058607+0.0011875i,-0.00051087+0.0013843i,0.00028048+0.0010275i,0.00071894+0.0009263i,0.0005561-6.854e-05i,0.00025458-9.8244e-05i,5.7759e-05+0.00044904i,-0.00032486+0.0007784i,-0.00017932+0.00063808i
0.00058221+0.0013505i,0.0003209+0.0012159i,0.00038339+6.6871e-05i,0.0010431-0.0011825i,0.001172-0.0013121i,0.00066503-0.0011283i,0.0005703-0.0004852i,0.000705+0.00064328i,0.00026437+0.0010393i,7.1468e-05-6.231e-05i,-0.00028709-0.00083552i,-0.00096146+1.3238e-05i,-0.0012238+0.00053025i,-0.00094026+0.00056924i,-0.00039359+0.00034798i,-0.000383+6.2998e-05i,-0.00014227+4.7159e-05i,0.0006392-4.8031e-05i,-0.00015762+0.00035263i,-0.0010453+0.00070542i,-0.00050531+0.00047724i,-0.0005526+0.00057061i,-0.00043658+0.00073111i
-0.0021874-0.0012164i,-0.0024942-0.0015709i,-0.0017327-0.00055583i,-0.00089396+0.0013878i,0.00018339+0.0020229i,0.00045321+0.0017781i,6.4272e-05+0.0013277i,0.00054323+0.00053943i,0.0002879+0.0005161i,-0.00047839+0.0010464i,-9.9453e-05+0.00092116i,0.00016865+0.00025961i,0.00022185-0.00014331i,0.00037795-0.00045925i,0.00030647-0.00028509i,-0.00058044-9.9473e-05i,-0.0004895-0.00025075i,0.0005287+0.00011508i,0.00076663+0.00076369i,0.00042502+0.00033369i,9.147e-05-0.00060379i,-0.00012899-0.00065979i,1.2482e-05-0.00033803i
-0.00030663+0.00072144i,0.00052906+0.0011359i,-6.2328e-05+0.0014427i,-0.00057752+0.00046316i,0.00031155+0.00078129i,0.0013337+0.00047382i,0.0011124-0.00027599i,0.00080421-0.00062942i,0.00088252+1.821e-05i,-0.00048162+0.00061024i,-0.0013394+0.00083455i,-0.00011496+0.0008987i,0.00036116+0.00029002i,-0.00056387-0.00042842i,-0.00052217-0.00082534i,0.00019455-0.00083i,0.00034006-0.00045394i,-0.00041804+0.00045019i,-0.00029737+0.00084205i,0.00065324+0.00035015i,0.00058927+0.00036133i,0.00044032+0.00053418i,0.00093777+0.00081039i
1.8485e-05+0.001211i,6.5726e-05+0.00067283i,0.00066504+0.0003159i,0.0012988-0.00046765i,0.0013075-0.00027391i,0.00046803+0.00086221i,0.00018342+0.0011598i,0.00011956+0.0012987i,-0.00050552+0.00078331i,-0.0011108+0.00031394i,-0.0015548+0.00071653i,-0.0017998+0.00033972i,-0.0013553+0.00027674i,-0.0012452+0.00061441i,-0.0015522+0.0005874i,-0.0013226+0.00042886i,-0.00068701-0.00011781i,-0.00044213-0.00046818i,0.00010089-0.00011287i,0.00049408+0.00035805i,0.00050141+0.00046977i,0.00053602+0.0002388i,-0.00012045+4.1327e-05i
-0.00027621-0.0018139i,0.00077508-0.0017676i,0.00060207-0.00059395i,0.00027995+0.0015389i,0.00070504+0.0018341i,0.00064752+0.0007175i,0.00069315+1.9496e-05i,0.0011758+0.00036461i,0.00084658+0.00075012i,-0.00039084+0.0001126i,-0.00048061+0.00027283i,0.00011804+0.0010124i,0.00040091+0.00095655i,0.00065953+0.00079308i,0.00021264+0.00066332i,-0.0004132+0.00032224i,-9.1385e-06+0.00029469i,0.00026312-1.4373e-05i,-0.00022292-0.00026971i,-0.0004703-0.00022949i,-9.0728e-05-0.00044694i,0.00018342-0.00037748i,0.00036601-0.00068559i
-0.00095518-0.00028709i,-0.0011941+0.00062399i,-0.0017244+0.00048995i,-0.0010512-0.00035911i,-0.00016746+2.4351e-05i,0.00056659+0.0011907i,0.00060409+0.0010749i,-0.00012819-0.00043685i,-0.00018879-0.00077922i,-0.00021819-6.2513e-06i,-0.0010099+0.00078114i,-0.0014904+0.00096299i,-0.0014634+0.00016147i,-0.0011059+2.8949e-05i,-0.00067003+0.00081523i,0.00047865+0.0009623i,0.00087099+0.00059897i,0.0003458-0.00016311i,0.00041671+3.0183e-05i,-5.7751e-05+0.00050694i,-0.00025479-0.00033822i,3.9628e-06-0.00021261i,0.00019031+0.00043982i
0.00014852-0.00055384i,-0.00056674-0.0010339i,0.00055139-0.00078309i,0.0014561-0.00015313i,0.0019151+0.00059135i,0.0025394+0.00063301i,0.0020067+0.0003493i,0.00082941-0.0003574i,-4.6477e-05-0.00040855i,-0.00056843+0.00050189i,-0.00023068+0.0014877i,-5.707e-06+0.00119i,-0.00026859+0.00036164i,-0.00032245-0.00074319i,-0.00058405-0.0012086i,-0.001088-0.00034295i,-0.0011938+0.00029987i,-0.0011713+0.00071328i,-0.00073688+0.00059619i,-0.00060092-6.5258e-05i,1.2542e-05-0.00075177i,0.00095759-0.00080717i,0.00086285-0.00063139i
0.001847+0.00083074i,0.0012799+0.0014457i,0.0012724+0.0023693i,0.0011961+0.0013908i,0.00072161-1.4277e-05i,0.00080627-0.00048292i,0.00084808-4.248e-05i,-5.9516e-05+5.8181e-05i,-5.5299e-05+0.00018449i,-4.6316e-06+0.00051513i,-0.00068033+0.00038961i,-0.00081667+0.00053916i,-0.0001517+0.00027238i,-0.00015515+0.0010202i,-0.00084946+0.00086417i,-0.00079774-5.2965e-05i,-0.00059367-0.00022096i,-0.00036378+0.00046566i,0.00013065+0.00071167i,4.9644e-05+6.554e-05i,-0.00013927-4.0793e-05i,-0.00014431-0.00022157i,-7.4847e-05+0.00029785i
0.00016516-0.00015919i,8.4139e-05-0.00060629i,0.00056751-0.00074158i,0.00078428-0.00057445i,0.0013235+0.00020311i,0.0014796+0.00095769i,0.00079451+0.0012631i,0.00058711+0.0009428i,0.00054484+0.00074812i,0.00019651+9.8012e-05i,-0.00023619+4.0542e-05i,-0.00072277+0.00026593i,-0.0010408+0.00072265i,-0.0013851+0.00093613i,-0.0013902+0.00032025i,-0.0014348+8.7344e-05i,-0.00047345-0.00039796i,0.00055604-0.00043999i,0.00022265-0.00017685i,-0.00026637+0.00024875i,-0.00050407+0.00021474i,0.00010696+9.7235e-05i,0.00042338+0.00020434i
0.0010539-0.0015385i,0.0011241-0.00059371i,0.0018871-0.0009223i,0.00091196-0.0010264i,-0.00040227-0.0002416i,-4.4947e-06+9.0399e-05i,0.00065157+0.00047059i,0.00033631+0.00069719i,4.977e-05+0.00052785i,-0.0006517-0.00024182i,-0.00090949-0.00014794i,-0.00094436+0.00084226i,-0.0010558+0.0014754i,-0.00045764+0.0018342i,-0.00020239+0.0012927i,0.00048009+0.00039684i,0.0009897+0.0004267i,0.00034555+0.00047909i,0.00021887+0.00022189i,-0.00030052-0.00016726i,-0.00067419-0.00039293i,2.9691e-05-0.00096258i,-3.121e-05-0.0010176i
5.9864e-05+0.001877i,0.0001023+0.00075492i,-0.00072037+0.00010244i,-0.00057062+0.000736i,-0.00013773+0.0011435i,-0.00044077+0.00074185i,-0.00059468+0.00060318i,-0.00022778+0.00019766i,-7.8384e-06+0.00027363i,-0.00025417+0.00040977i,-0.0008839+0.00026066i,-0.001158+0.00013337i,-0.00066425-0.00014682i,-0.0011998-0.00019207i,-0.0014678+0.00053122i,-0.00060687+0.00066184i,-0.00024119+0.00043137i,0.00048529+0.00074037i,0.00077818+0.00063874i,0.00085776+3.9583e-05i,0.0006816-0.00019243i,0.00011265-0.00040209i,-0.00025717-0.00051461i
0.0017901-0.00067717i,0.0012887+1.8828e-07i,0.0011182-0.00026302i,0.00096931-0.00033209i,0.00060213+0.00024614i,0.0012627+0.00079694i,0.0012346+0.00070682i,0.00034487-0.00011576i,0.00013993-0.0010961i,0.00034411-0.00068302i,2.472e-06+0.00027937i,-0.00043664+0.00077318i,-0.00084225+0.00020765i,-0.00107+0.00046269i,-0.00060758+0.0011714i,-0.00027136+0.00081905i,-0.00052206+0.00061157i,-0.0002449+0.0010928i,0.00014508+0.00063442i,0.00029578+0.00020292i,0.00055696-5.4434e-05i,-1.5704e-05-4.5583e-05i,-0.0011684-0.000214i
-0.0018272-0.00047943i,-0.0027207-0.00052093i,-0.0021465-0.00068258i,-0.00086421+0.000437i,-0.00051852+0.0014577i,8.9863e-05+0.0019181i,-2.9419e-05+0.0015336i,0.00021929+0.0011951i,0.00037554+0.00055823i,-0.00011319-0.00017501i,-0.00012754-0.00050255i,0.00016933+1.8601e-05i,0.00035279+9.2493e-05i,0.00023338-0.0005293i,-0.0005001-0.00099674i,-0.00042536-0.0011666i,-0.00011314-0.00028659i,-0.00083649+0.00039425i,-0.00032606+0.00036709i,0.00029382+0.00019111i,0.00027937-0.00023483i,0.00045336+0.00025707i,0.00040064+0.00025636i
0.00029534-0.0011989i,0.0005783-0.0010522i,0.00020859-0.00085552i,0.00018763+0.00012158i,0.00046161+0.00071014i,0.00051144+0.00065817i,0.00045727+0.00042464i,-6.4055e-05+0.00024455i,-0.00052565+0.0008335i,-0.0007202+0.0015119i,-0.00065119+0.0013564i,-0.00043389+0.0005537i,-0.00074574-0.00012587i,-0.0011644+0.00038484i,-0.00082859+0.00069077i,-0.00043816+8.4335e-05i,-0.00032525+0.00085987i,-0.00014954+0.0011532i,-0.00027622-2.0241e-06i,0.00012276-0.0007281i,0.00056749-0.00012598i,-0.00025804+0.00022963i,-0.0005169-3.7321e-05i
0.00035387-0.0014051i,0.00050455-0.0015518i,7.9032e-06-0.0013032i,-0.00048288-0.00023684i,-0.0001883+0.0012166i,0.00087068+0.001594i,0.0017809+0.00054814i,0.00074103-0.0003413i,0.00013462-0.00064189i,0.00041028-0.00043623i,0.00029355+2.9338e-05i,-0.00037269+3.5002e-05i,-0.00055053+0.00052876i,-0.00081104+0.00084673i,-0.00033088+0.00025368i,-0.00022842+0.00011276i,-0.00034905+0.00013192i,0.00026688-0.00017795i,-3.4127e-05-0.00018797i,-0.0011366+6.4824e-05i,-0.00069928+0.00022124i,-3.1732e-05-0.00013867i,-0.0010042-0.00020623i
-0.0011108+0.001908i,-0.0010759+0.0022297i,-0.0014044+0.0016633i,-0.00097578+0.0023817i,0.0008872+0.0025373i,0.0021877+0.0010178i,0.0013342-0.00031399i,0.00079635-0.00048809i,0.00039218-0.00042244i,-0.00036834-0.00026009i,-8.6084e-05+0.00030795i,0.00045899+0.00040655i,7.1005e-05-0.00025254i,-0.00054556-0.00020844i,-0.00030944-0.0003225i,0.00030101-0.00092072i,-2.9467e-05-0.00087284i,-0.00070116-0.00081022i,-0.00035394-0.00059964i,0.00072259+0.0002949i,0.00060853+0.00021644i,0.00028342+0.00054448i,0.00015962+0.00073301i
-0.0017649-0.00040439i,-0.0015423-0.001204i,-0.001362-0.0011305i,-0.00078258+0.00021507i,-0.00054884+0.0015955i,-5.7301e-05+0.0011999i,0.000217+0.00043344i,1.5467e-05+6.613e-05i,0.00030365+9.4208e-05i,0.00016152-0.00038833i,-0.00038684-0.00059291i,-0.00024322+0.00030762i,-0.00017347+0.00013379i,-0.00018835-0.00063667i,-0.00013797-0.00017727i,-0.00016256+0.0005118i,-0.00025441+0.00043273i,-0.00011997+0.00027304i,-3.7998e-05+0.00034269i,-0.00048546+0.00012393i,-0.00097341+0.0005511i,-0.00059093+0.0007905i,-3.1976e-05+0.00015169i
