-0.003318+2.1578e-05i,-0.0022411-0.00065778i,-0.0035109+0.00065361i,-0.003782+0.0016704i,-0.0020971+0.0022668i,-0.00057232+0.0015796i,-6.238e-05+0.00069171i,0.00049021+0.0002225i,0.0010895+0.00014391i,0.0017823-0.00022179i,0.001725-0.00030104i,0.0011063-0.00049478i,0.0010474-0.00071071i,0.00045536+0.00013237i,-0.00057756-0.00010012i,-0.00036873-0.00036189i,9.7988e-05+0.00041976i,0.00023669+0.00091089i,0.00049427+0.00078229i,0.00085768+0.00064809i,0.0011212+0.00071173i,0.0011534+0.00025184i,0.00098933+0.00021514i
-0.00032142+0.00030196i,-0.00013891-0.00048026i,-0.0011256+0.00078979i,-0.0014499+0.0018263i,0.0001761+0.0015199i,0.0016075+0.00098732i,0.00081674+0.00037443i,-0.00026082-0.00019344i,-0.0011946+0.00051417i,-0.0013631+0.0010945i,-0.00053778-9.2433e-05i,-0.00045593-0.00019264i,-0.00085223+0.00041444i,-0.00043213+0.00048507i,0.00049186+5.9129e-05i,0.0018156-0.0002886i,0.001749-0.00032471i,0.00060043-6.3218e-05i,0.00092788+0.0010438i,0.00097472+0.0011005i,0.00039652+0.00029209i,3.8341e-05-0.00057086i,-2.2342e-05-0.0001517i
-0.00043399-0.0013671i,-0.00028992-0.0018202i,-0.00049156-0.0016135i,-0.00098281-0.00095461i,-0.00032284+0.00020611i,0.00039161+0.00042085i,0.0005202-0.00023869i,-0.00010701-0.00019025i,-0.0010668+0.00043707i,-0.00072539+0.00047147i,0.00040181+0.0005161i,0.00052297+0.00017933i,0.00019543+3.0859e-05i,0.00030964+0.00028268i,0.00046722+0.00040626i,0.00046852+0.00066296i,0.0004304+0.00073115i,0.00015928+0.00030577i,0.00025537-0.00017019i,0.00066444-0.00026423i,0.0009755-0.00027944i,0.0011698-0.00015562i,0.0013965-0.00030789i
0.00050615+0.00093987i,5.3942e-05+0.0015576i,-8.3964e-05+0.0019275i,-0.00086738+0.0018074i,-0.00075002+0.0018393i,0.00020404+0.0014438i,0.0003579+8.9142e-05i,0.00015536-0.00045804i,-0.00053309+0.00026828i,-0.00088975+0.0010412i,-0.00047623+0.001215i,2.387e-05+0.00084036i,0.00046547+0.00016763i,0.00058648-0.00010164i,0.00013497+0.00011986i,-0.00013003+0.00012089i,-0.00038367+0.00023347i,-0.00050557+0.00043234i,-0.00082712+0.00038588i,-0.00076852+7.2187e-05i,-0.00040018-0.00039281i,2.5998e-05-0.00046703i,0.00076881-0.00032723i
-0.00050279+0.0018008i,-0.00049312+0.0025708i,-0.00035589+0.0027519i,0.00092136+0.0014055i,0.0016489+0.00085493i,0.0016041+0.00051245i,0.00057642-0.00029678i,8.8158e-05-0.00037461i,0.00043943+0.0006925i,0.00070775+0.0014616i,0.00076545+0.0011564i,0.00051223+0.00021663i,0.00045064-0.0010782i,0.00040834-0.0015805i,-5.9578e-07-0.00088156i,9.3691e-05-0.00059333i,0.0001798-0.00087017i,0.00017336-0.0017156i,-9.6769e-05-0.00127i,-0.00040581-0.00071365i,-0.00051012-0.00094527i,-0.00073984-0.00075287i,-0.00033245-0.00028837i
0.00063982+0.0009321i,0.00041397+0.00010441i,0.0002284+1.1444e-05i,-1.9836e-05+0.0011015i,0.001003+0.0018977i,0.0017484+0.0011563i,0.00069495-7.3861e-05i,-4.8189e-05-0.00059524i,-0.00049679-0.00066214i,-9.3659e-05-2.7695e-05i,0.00069212+0.00044486i,0.0014145-4.5187e-05i,0.0010388-7.1483e-05i,-0.00063153-0.00014759i,-0.00084007+0.00035788i,-0.00051887+0.0012374i,-0.00047169+0.0012374i,0.00021053+0.0007018i,8.8694e-05+0.00072007i,-0.00037193+0.00041391i,-0.00013467-0.00085126i,0.00012208-0.00059023i,-0.00035056-0.00029157i
-0.00063671+0.00054066i,-0.00069535+0.0002647i,-0.00067339+0.00020799i,-0.00085132+0.00056321i,-0.00068348+0.0009119i,0.00013204+0.00054876i,0.00059342+0.00013316i,0.00058277-0.00041002i,0.001094-0.00017935i,0.0014577+0.0008465i,0.00086573+0.0010421i,0.00050548+0.0002115i,-0.0003254-2.3855e-05i,-0.00086969+0.00025681i,0.00034305+0.00010857i,0.0010812+0.00010971i,0.00076946-4.8007e-05i,0.00046723-5.4404e-05i,0.00031987+0.00056826i,0.00026066+0.00084884i,9.2107e-05+0.00078142i,0.00018244+0.00076837i,0.00047431+0.00057428i
0.002642+8.5334e-05i,0.0025075+0.00019244i,0.0021037-0.00091805i,0.0012439-0.00043731i,0.0002508+0.0006373i,0.00015618+0.00094333i,0.00080992+0.00086301i,0.00039679+0.00033954i,0.0005431-0.00023936i,0.00015977-0.0011635i,-0.00062537-0.0017775i,-0.00071183-0.0016246i,-0.00090849-0.00064038i,-0.0012071+0.00023189i,-0.0004877-0.0001551i,0.00034642-0.00025164i,-4.9935e-05-8.79e-05i,0.00035032-0.00017758i,0.00090373-4.9967e-05i,-1.2089e-05+0.00025494i,-0.00029505+0.00014912i,-4.4638e-05+0.00022662i,0.0002394+0.00071942i
-0.00072022-0.00022137i,0.00024939-0.00031841i,0.00087339+0.00016618i,0.00066366+0.00043546i,0.00072888+0.00066026i,0.0010039-2.3606e-05i,0.00075092-0.0017167i,0.00036235-0.0021495i,0.00034962-0.00041368i,-0.00031014+0.0002604i,-0.0010655-0.00059469i,-0.00060737-0.0010811i,0.00018505-0.0012535i,0.00075497-0.00072096i,0.001023+0.00010038i,0.00073801-0.00019633i,0.00043435-0.00014053i,0.00026136+0.00084855i,0.00024545+0.0012108i,0.00042625+0.00070232i,0.00043624+0.00037198i,0.00033751+0.00076826i,-0.00051783+7.415e-05i
-0.00082197+0.0020339i,7.237e-05+0.0022295i,0.00093977+0.0022557i,0.0010493+0.0023703i,0.001021+0.0015892i,0.0009074+0.00058372i,0.00069367-0.00024014i,-5.4229e-05-1.137e-05i,-0.00058032+0.00096012i,4.5185e-06+0.0017196i,0.00027021+0.0008284i,-0.0005715-0.00060819i,-0.00043349-0.00061456i,-0.00026471-0.00032371i,-5.2027e-06-0.00061822i,0.00020942-0.00099233i,-0.00096623-0.00053192i,-0.0012211+0.00034371i,-0.00051734+0.00044042i,-1.0006e-05+0.00029465i,0.00061206-4.053e-05i,0.00054544-0.00032504i,8.7808e-05+1.2272e-05i
-0.00056671-1.2356e-05i,-0.00068118+0.00039933i,0.00041654+0.00050109i,0.0011778+0.00076592i,0.00077122+0.001396i,0.0012277+0.00084709i,0.001761+0.00015446i,0.0014229-3.1546e-05i,0.00060943+0.00038001i,-5.126e-05+0.0013056i,-0.00031171+0.001542i,0.00023497+0.001287i,0.001182-0.00021565i,0.0010645-0.0012527i,8.6555e-05-0.00023797i,-0.00012336+0.00022251i,-0.00018402-0.00031317i,-0.00027645-0.00046078i,-1.0316e-05-0.00020752i,0.00030848+4.2384e-06i,0.000509-0.00023216i,0.00055572-0.00015046i,0.000224+4.8785e-05i
-0.00059939+0.00078308i,-0.0011161+0.00136i,-0.00051445+0.0010656i,-7.8922e-05+0.00055797i,5.1515e-05+0.00073479i,0.0005004+0.00034793i,0.00059105-0.00028077i,0.00036917-0.00038251i,0.00032266+2.2536e-05i,0.0005793+0.00097165i,0.0002689+0.0015421i,-0.00036523+0.00047004i,-0.00018741-0.00063748i,5.9438e-05-0.00046611i,0.0002551+0.0001662i,0.00090174-4.0833e-05i,0.0010352-0.0007079i,0.00026579-0.00046814i,-2.0513e-05-0.00028029i,0.00064214+0.00022713i,0.00027871+0.00076547i,-0.0006465+0.0002399i,-0.00081989-0.00072341i
0.001357+0.00051255i,0.00081736-0.00042429i,0.00044708-0.00047665i,0.0010611-0.00034838i,0.0013626-0.00074933i,0.0013375-0.00056055i,0.00073123-0.00025243i,0.00028807+0.00019868i,0.00039057+0.00078477i,0.00049378+0.00044446i,0.00088844-0.00039212i,0.00087349-0.00064108i,0.00042218-0.00053647i,0.00025862+9.111e-05i,-1.7008e-05-0.00023414i,-0.00017903-0.00024475i,0.00011168+0.00061734i,-0.00010179+0.00052821i,3.5411e-05+0.00017185i,0.00055799-6.8806e-06i,0.0004234+0.00020446i,0.00029001+0.00040747i,0.00012302+0.00023465i
0.00056718-0.00096493i,0.0010751-0.00012159i,0.0010893-0.00073082i,-0.00059293-3.7138e-05i,-0.0012566+0.00091886i,-0.00068133+0.00081609i,0.00014232+0.000345i,-3.7241e-05+0.00011861i,-0.0010451+0.00033195i,-0.00026941+0.00017642i,0.0010397-0.00053197i,0.00065286-0.0004951i,-0.0004994+0.00012068i,0.00029984+0.00076997i,0.0012955+0.0010157i,0.00033793+0.00031267i,-0.00067417+0.00025008i,-0.00045561+0.0007288i,0.00059265+0.00067492i,0.00071669+0.00021765i,0.00051303-0.0002135i,0.00058379+0.00039421i,0.00044531+0.00066991i
