-0.00042503+0.00012941i,-0.00025173+0.0001082i,-0.0012228+0.00057444i,-0.002197+0.00087141i,-0.0030201+0.0021488i,-0.0029738+0.0039537i,-0.0017447+0.0042662i,-0.0010705+0.0029682i,-0.00057888+0.00092102i,0.00028466+9.7563e-05i,0.00053827-0.00050952i,0.00032471-0.00067137i,0.00022181-0.0001641i,5.747e-05-0.00033291i,9.8654e-05+2.8923e-05i,-0.00015079+0.00085512i,9.6433e-05+0.00043888i,0.00025631-0.00023926i,0.00031398+0.00051365i,0.00083577+0.00066503i,0.00090186+0.00074146i,0.00022181+0.00052005i,-0.00015061+0.00021354i
-0.0024702-0.0018098i,-0.0024101-0.002146i,-0.0032853-0.0013915i,-0.0030902+0.0003946i,-0.0024449+0.0017336i,-0.0015953+0.0027622i,-0.00052374+0.0019731i,-0.00034407+0.0006987i,-0.00034846+0.0001312i,9.4969e-06+0.00063785i,0.00024072+0.000805i,-0.00023147-0.00031227i,-0.00044017-0.00098008i,0.00043293-0.00060289i,0.00071875-0.00021278i,0.00059396-4.4882e-05i,0.00039158+0.0007668i,-0.00044332+0.0008299i,-0.0002843+0.00016639i,4.8344e-05-0.00038117i,-0.00062622-0.00099796i,-0.0014837-0.00084053i,-0.0015773-0.00056237i
-4.1881e-05+0.00040003i,0.00055042+0.00084418i,0.00035763+0.00065164i,1.1099e-05+0.00063677i,-0.00081151+0.0011672i,-0.0010135+0.0011357i,-0.0011689+0.0012398i,-0.0010975+0.0014294i,0.00011141+0.0016682i,0.00049884+0.001394i,0.00040543+0.00037048i,0.00046857-0.0001556i,0.00023516-0.00070487i,0.00016174-0.00069841i,0.0003454-0.00042734i,-4.8735e-05-0.00046951i,-0.00044405-0.00031011i,-0.00039031-0.00014867i,0.00018889-0.00043565i,-0.00022748+9.0727e-05i,-0.0012997+0.0011708i,-0.00082733+0.0012257i,3.1481e-05+0.00029493i
-0.0015741-1.8647e-05i,-0.0018814+0.00052533i,-0.0024217+0.0013612i,-0.002446+0.0010864i,-0.0017805+0.0013399i,-0.0014348+0.0016878i,-0.0016144+0.0011451i,-0.0012652+0.00070362i,-0.00042175+0.00052111i,0.00063306+0.00022227i,0.0011358+0.00011176i,0.00096942+0.00020686i,0.00023037+0.00040727i,-0.00047946-0.00011198i,-9.9434e-05-0.0004181i,-0.00026649-0.0002525i,-0.00033998+9.0442e-05i,-0.00040896-0.00020412i,-0.0002736-0.00083804i,0.00041672-0.00033169i,-0.00034664+0.000511i,-0.0014887-0.00013688i,-0.0012197-0.00051864i
-0.0019073-0.00013118i,-0.0022791-0.00046732i,-0.0018746+0.00021706i,-0.00086582+0.00066703i,-0.00085838+0.0013472i,-0.001809+0.0022432i,-0.002+0.0024342i,-0.00093025+0.0018009i,0.00029082+0.00065753i,0.00016021-5.3197e-05i,-0.00017232-4.9824e-05i,0.00034332-0.0010476i,0.00076843-0.0016841i,0.00073464-0.00088629i,0.00020884-0.00080259i,-0.0001538-0.00083243i,-0.00031183-0.00040308i,9.193e-05+0.00012101i,0.000129+0.00085991i,-0.00049621+0.0010752i,-0.00044088+0.00066063i,-0.00018093+0.00079836i,-7.6171e-05+0.00064186i
0.0012879+0.00065237i,0.0011248-0.00027519i,0.00052067-3.2279e-05i,-0.0004248+0.00057308i,-0.0004918+0.0014774i,-0.00040984+0.0023612i,0.00021078+0.0026171i,0.00076744+0.002068i,0.00045907+0.0014093i,0.00065304+0.000942i,0.0010248+0.00036396i,0.00063114-0.00013096i,0.00069928-0.00030733i,0.00097264-0.00022241i,0.0006512-0.00064705i,0.00053974-0.00072371i,0.00043113-0.00063466i,0.00072066+0.00012884i,0.00035009+0.00058908i,3.8159e-05-0.00032563i,0.00021255-0.0002543i,0.00023619+0.00014399i,0.0005845+1.1578e-05i
-0.00010972-0.00048263i,-0.0011551-0.0010874i,-0.0020952-0.0010228i,-0.0029638+2.1191e-05i,-0.0026396+0.00097955i,-0.0016405+0.0016561i,-0.00092837+0.0020299i,0.00016853+0.0017324i,0.00090352+0.00044948i,0.001415+0.00032641i,0.0011967+0.00077813i,0.00063631+0.00028111i,0.00079489+0.00038222i,0.0012806+0.00071664i,0.00088129+0.0003119i,0.00088437+0.00034331i,0.00093435-3.2941e-06i,0.00076383-0.00060049i,0.0010348-0.00087211i,0.0013225-0.00045705i,0.00065706-0.00038501i,-2.2383e-05-0.00043512i,0.00052026-3.5055e-06i
0.0019194+0.00010404i,0.0015225-0.00014233i,7.2646e-05-0.00024934i,-0.00047998-7.8433e-05i,-0.00040659+1.4026e-05i,-0.00094217+0.0010832i,-0.0013813+0.0019566i,-0.0012044+0.0012996i,4.2399e-05+0.00093231i,0.00065218+0.00066177i,0.00095141+0.00021855i,0.00074147+0.0003528i,-8.6828e-06+0.00066244i,-0.00079039+0.00088094i,-0.00081326+0.00044753i,-9.3242e-05+0.00019057i,4.3961e-05+0.00014779i,0.00026797+0.00062067i,0.00057414+0.00077051i,6.4542e-06+1.4039e-05i,-0.00031227-4.5843e-05i,0.00014428+0.00023689i,0.00010127+0.00071473i
-0.0011014-0.00046744i,-0.0012428-8.7894e-05i,-0.001207+0.00088977i,-0.0012407+0.00069997i,-0.0012217+0.0014346i,-0.0014103+0.0032547i,-0.00070859+0.0033058i,3.8269e-05+0.0021314i,-0.00063525+0.00078351i,2.5447e-05+0.00032616i,0.00079526+0.0002916i,0.00045011-0.00034971i,-1.1841e-06-0.00015569i,-0.00036213-0.00010354i,-1.5994e-05-0.00045727i,0.00040961-0.00026909i,0.00024122+0.00040435i,0.00036958+0.00094405i,0.00063331+0.00073381i,0.00054121+0.00061631i,0.00022909+0.00069142i,-0.00020167+0.00035792i,-0.00083893-0.00019114i
-0.00057038-0.0011401i,-0.00017659-0.0019193i,-0.00053815-0.0018044i,-0.0012658-0.00089258i,-0.0014337+7.3841e-05i,-0.00096568+0.0010042i,-0.00083186+0.001786i,-0.00066486+0.0023524i,3.8321e-05+0.0012129i,0.00048196+0.00018554i,0.0007618+0.0002482i,0.00072079+0.00053208i,0.00015407+0.00068553i,0.00012309+0.0011024i,0.00024695+0.00077322i,9.3452e-06+5.1381e-05i,0.00017911-0.00023083i,0.00029418-0.00025026i,0.00022938-0.00025566i,0.00069854+0.00025104i,0.00044174+0.00072174i,0.00011525+0.00051864i,-0.00034683+0.00075888i
0.00091287+0.0015641i,0.00068776+0.0020351i,9.575e-05+0.0010259i,-0.00082868-4.3007e-05i,-0.001376+0.0005343i,-0.0009736+0.0017967i,-0.00078794+0.0020016i,-0.00078563+0.0011064i,-0.0010533+0.001045i,-0.00050763+0.00076025i,0.00049474-0.0001025i,0.00050104+3.7143e-05i,0.00018473-6.8806e-05i,0.00020257-0.00052739i,-0.00021086-0.0013051i,-0.00072402-0.00012236i,-0.00069883+0.0017167i,-0.00042054+0.0010651i,-0.00049377-0.00011173i,-0.00075557-0.00030604i,-0.00047769-0.00021446i,-0.0005402-0.00024417i,-0.0003563+5.0724e-05i
