-0.0010673+0.00054111i,-0.00068373+0.00014042i,-0.00091616-7.8487e-05i,-0.00090246-0.00094227i,-0.00091272-0.00076899i,-0.0014403+0.00023172i,-0.0012923+0.0010587i,-0.00028354+0.0012454i,0.0012576+0.0015134i,0.0014442+0.00070454i,0.00069155-0.00071081i,0.00023578-0.00096146i,1.7885e-05-0.00017271i,-0.0005478+0.00027309i,-0.00033523+0.00056432i,-0.0001261+0.00075255i,0.0004944+0.00046733i,0.0011307+0.00024243i,0.00071073+0.00062154i,8.4771e-05+0.00046375i,0.0003458+0.00023709i,0.00084496-0.00043189i,0.0005159-0.00079661i
-0.0017731-0.00063327i,-0.002356-3.263e-06i,-0.0028107+0.0010771i,-0.0023632+0.0020679i,-0.0012287+0.0024474i,-0.00017331+0.0021988i,-0.00027149+0.0011001i,-0.00047946-5.5758e-05i,0.00018314-0.00054368i,7.0545e-05-0.00036907i,-0.00038291-0.00019496i,-0.00029786-0.00045019i,-0.00066507-0.00093872i,-0.00063872-0.00082339i,-0.00021149+4.8559e-05i,-0.00023918+0.00048269i,-6.3718e-05+0.00016212i,0.0002493+0.00019312i,0.00065943+0.0004395i,0.0002881+3.9805e-05i,-0.00042472-2.8901e-05i,4.0775e-05+0.00012685i,0.00044934-0.00016784i
0.00043461-0.00095895i,0.00046183-0.00092509i,-0.00064572-0.00041894i,-0.00014421-0.00018181i,-0.00031433+0.00026891i,-0.0011997+0.00039143i,-0.0002807-0.0004296i,0.00036382-0.00092097i,0.00024769-0.00054166i,0.00090856-0.00014114i,0.00098163-0.00037814i,0.000767-0.00033297i,0.00027868-0.00025125i,-0.00024634-0.00061053i,0.00012158+6.4114e-06i,0.00041604+0.00068364i,0.00044954+0.00074129i,0.00021509+0.00059087i,0.00034337+7.4458e-05i,0.00059483-0.00025365i,-0.00017136-0.00020972i,-0.00046463-8.2744e-05i,-0.00042397-0.00036538i
-0.0020393-0.00028656i,-0.0020522-0.00014175i,-0.0010927+0.00075869i,-0.0004321+0.00080664i,-2.5872e-05+0.00042832i,-0.00010447+0.00013606i,-0.00047281+0.00032012i,-9.9112e-05+5.7611e-05i,0.00037459-0.00012326i,0.00019301+0.00059163i,0.00015918+0.00055865i,0.00013488+5.7641e-05i,-9.6106e-05+2.7252e-05i,-0.00042657+0.00017639i,-0.00052787-0.00015788i,0.00021717+0.0005576i,0.0004428+0.0012267i,0.00022014+0.00091438i,0.00012422+0.00052316i,-0.00029171-7.5049e-05i,-0.00026323-0.00098288i,0.00053282-0.0013659i,0.0009754-0.00086741i
-0.00026055+0.00064314i,-0.0006248+0.00032014i,-0.0013427+0.0001281i,-0.0014142+0.00040857i,-0.00051439+0.0010485i,0.00028485+0.00063767i,0.00016663-0.00045982i,-2.2146e-05-0.00069057i,0.00045911-0.00079153i,0.00046323-0.00107i,-0.00032451-0.00070759i,-0.00043099-9.5062e-05i,0.00038228-0.00081605i,0.0004741-0.00097501i,-0.00059279-0.0002546i,-0.00077487+3.3691e-05i,0.0001576+0.00053691i,9.2499e-05+0.00058629i,4.9821e-05+0.00056094i,8.9818e-05+0.00033416i,7.1186e-05-0.00021015i,0.0002287-0.00032083i,0.00067837-0.00049575i
-0.00069256-0.00046903i,-0.0012185-1.9814e-05i,-0.00064144+0.00083687i,-0.00054745+0.00037436i,-0.00076964+0.00020277i,-1.9877e-05+0.00094832i,0.00035167+0.00030729i,0.0003402+0.0003738i,0.00072754+0.00071745i,0.00024722-8.2654e-06i,-0.00038107-0.00045123i,0.00020095+8.8302e-05i,0.00059525+0.0002871i,-8.1578e-05+0.00011727i,-0.00073086-0.00033973i,-0.00098466+9.6988e-05i,-0.0004314+0.0010331i,0.00016717+0.0015517i,-0.00012522+0.0014447i,0.00040002+0.00083056i,0.00094176+0.0004572i,0.00059125+0.00051123i,-7.0547e-05-0.00018176i
-0.00071102-0.00055357i,-0.00029612-0.00023555i,-0.00056594+0.00074843i,-0.00045634+0.0011854i,-0.00026946+0.0011929i,-0.00021221+0.00065838i,-0.00022481-7.0697e-05i,-6.8262e-05+0.0003227i,0.001075+0.00047573i,0.0013782-0.00031283i,0.0010942-0.00026331i,0.00059032+0.00013985i,1.8309e-05-0.00032216i,-0.00011198-0.00095772i,-0.000702-0.0010456i,-0.0010646-0.00052733i,-0.00079252+0.00083955i,-0.00035235+0.00084898i,-9.7314e-05-0.00042587i,-0.0002448-0.0010771i,-0.00017181-0.00022875i,0.00037688+0.00070503i,0.00066907+0.00047394i
-0.00032934-0.00044302i,-0.00090262-0.00070757i,-0.0012782-0.0012438i,-0.00097139-0.00031575i,-0.00023184+0.0013582i,0.00050007+0.0011782i,0.00061098+0.00036434i,0.00077002+6.6102e-05i,0.0011423-0.00082952i,0.0016066-0.00089772i,0.0011639-8.4857e-05i,0.0004054+0.00058096i,-0.00010754+0.00053964i,-0.0008401+0.00098552i,-0.00080317+0.00056045i,0.00011291-0.00093791i,0.00065924-0.0012088i,0.00071932+4.4849e-05i,0.00032678+0.00082783i,-0.00027328+0.00041115i,-0.00038106-7.7769e-05i,-4.7472e-05-0.00039572i,-0.00011048-0.00012289i
-0.00069292-0.00028365i,-0.00027908-0.00012249i,-0.00018579-0.00056992i,-0.00037108-0.0011364i,0.00015179-0.0011521i,0.00014569-0.0007455i,-0.00050591+0.00015998i,2.3044e-05+0.00034243i,0.00083519-0.00036525i,0.00065798-0.00072891i,0.00010856-0.0012662i,-0.00024978-0.0011214i,-0.00041935-0.00079551i,-0.00012439-0.00024819i,3.1425e-06+0.00035094i,-0.00033676+0.00011685i,6.2034e-06+0.00027841i,0.00061971+0.00036504i,0.00099623+7.9333e-05i,0.00032707-0.0011965i,8.3668e-05-0.00091424i,0.00062994-3.5231e-05i,6.8425e-05+8.6895e-05i
9.9421e-05-0.0020171i,-0.00093845-0.001075i,-0.0017305-0.0001303i,-0.001519+0.00059253i,-0.0010708+0.00089464i,-0.00048085+0.00099132i,1.3349e-05+0.00028984i,4.9726e-05-0.0005237i,9.961e-06-0.00073122i,-0.0003329-0.00059941i,-0.00063833-0.00039183i,-0.0011118-8.9675e-05i,-0.00070455+8.0018e-05i,-9.0563e-05+0.00061534i,-0.00016927+0.00092547i,-0.0006824+0.00075271i,-0.00089777+0.00029527i,-0.00040299+0.00011911i,-0.00055603+0.00014477i,-0.00057826+0.00018147i,-2.6575e-05-0.00047799i,0.00094624-0.00089105i,0.0012717-0.00051618i
0.0019322+0.00095527i,0.001706-0.00029089i,0.0016726-0.0017097i,0.00044051-0.0012648i,-0.00090119-0.00074611i,-0.001078-0.00041324i,-0.00039127+0.00012824i,0.00049139+2.5682e-05i,0.00099722+0.00016976i,0.00020918+0.00021126i,-0.00010187-0.0002612i,0.00020015-0.00033364i,0.00013624-0.00030476i,7.2453e-05-6.9807e-05i,-0.00042457-1.6734e-05i,-0.001147-0.00052682i,-0.0011883-0.00066222i,-0.00066902+0.00015558i,-0.00041521+0.00036182i,6.7068e-05+8.1282e-06i,0.00073104-0.00011328i,0.00098633-0.00014423i,0.0002185-8.9856e-07i
-0.00086879-4.2751e-05i,-0.00055934+0.00097295i,-0.00041978+0.0013972i,-0.00021124+0.0013813i,-0.00014544+0.0013718i,-0.00044914+0.00098388i,-0.00015453+5.3736e-05i,0.00080706+0.0001797i,0.0013108+0.00025808i,0.00092056+0.00052096i,0.00056179+0.0003836i,0.00035437+5.1651e-05i,-8.4769e-05+0.00074661i,-0.00062404+0.00030314i,-0.00092733-0.00045436i,-0.00066316-0.00018693i,-0.00044479-8.3818e-05i,-1.3483e-05-0.00052585i,0.00090679-0.00056107i,0.00088799-0.00040312i,-0.00012725-0.00039086i,-0.00027647-0.00014577i,-0.00010599-0.00023184i
