-0.001756+0.00059967i,-0.00062217-0.0011639i,-0.0015819-0.0011777i,-0.001931-0.0016225i,-0.0012571-0.00087424i,-0.00010525+0.00080258i,0.0011056+0.00035702i,0.0017349-0.00014698i,0.0014479+0.00044042i,0.0011878+7.9517e-05i,0.0012729-0.00069978i,0.0012142-0.00061717i,0.0010066-0.00015194i,0.00074278+0.00033934i,0.00053224+0.00047831i,0.00012538-1.5816e-06i,0.00028636-1.1502e-05i,0.00052909+0.00055168i,0.00075394+0.00081459i,0.0011311+0.00016245i,0.00085419-0.00062587i,0.00010719-0.00015406i,0.00026011+0.00021068i
0.00027598-0.001033i,0.001583-0.0020216i,0.0025632-0.002328i,0.0025356-0.001741i,0.0015061+4.4956e-06i,0.0011124+0.0013134i,0.0019136+0.0008677i,0.0020141-4.6877e-05i,0.00065897-1.6487e-05i,0.00031394+0.00064666i,0.00067064+0.0011743i,0.00082592+0.0006451i,0.00078985-0.00050036i,0.00071301-0.0014379i,0.00069213-0.00071203i,0.00075319+0.0004408i,0.00087293-0.00010941i,0.0002773-0.0015117i,0.00041233-0.0015049i,0.00060527-0.00051864i,-9.9196e-05-0.0002939i,-0.00019855-0.00071928i,-0.00012258-0.001042i
0.00052615-0.00026371i,0.0015115-0.00055964i,0.0026371-0.0015106i,0.0027529-0.0020367i,0.0012204-0.0013986i,0.00021695-0.00014506i,0.001136+0.0002486i,0.0021878-3.1009e-05i,0.0014381+0.00086192i,0.00011697+0.0013538i,-0.00016678+0.00092134i,-5.0357e-05+0.00070408i,-0.00026487+0.00080309i,-7.6421e-06+0.0010091i,0.00093813+0.0015195i,0.0011923+0.0011168i,0.00074212-0.00044642i,-0.00011844-0.00023388i,-0.00077097+0.0010368i,-0.00078443+0.0010556i,-0.00070942+0.00046958i,-0.00039502+0.00034351i,-0.00026301+0.00030633i
0.00020064-0.00089953i,0.00064656-0.0012796i,0.00055508-0.0014179i,0.001576-0.0015891i,0.0019774-0.00056546i,0.0018845+0.00055549i,0.0024054+0.00079251i,0.0020812+0.0006305i,0.0011533+3.3943e-05i,0.00050371-0.00045588i,0.00077007+0.00040666i,0.0017349+0.0010482i,0.0016605+0.00014777i,0.0013609-0.00018404i,0.001262+0.00023736i,0.00039386+1.5442e-05i,-9.5603e-05-0.0006038i,-1.7322e-05-0.001357i,0.00024724-0.0012982i,0.00058603-0.00083534i,0.00021647-0.0004418i,-0.0003476-0.00055102i,-0.00023097-0.00059093i
2.7345e-05+0.0014885i,0.00091523+0.00018074i,0.0015154-0.0015143i,0.0013022-0.00287i,0.00014825-0.0024167i,0.00054714-0.0005594i,0.0017659+0.00035273i,0.0021068+2.9124e-05i,0.0013098+0.00040563i,0.00098171+0.00040099i,0.00079329-0.0005066i,0.0002018-0.00076325i,-0.00011275-0.00067181i,4.0809e-05-7.1527e-05i,-2.6948e-05+0.00018359i,-0.0002005+7.3362e-05i,5.5383e-05-0.00045481i,0.0001936-0.0005319i,0.00064826-0.00015223i,0.0010437+3.7043e-05i,0.00038732+0.00056362i,-0.00059383+0.00085908i,-0.00058911+0.00048933i
-0.0010547+0.00043871i,0.0011546+7.8052e-05i,0.002657-3.1828e-05i,0.0028157+0.00038389i,0.001932+0.0010342i,0.0019887+0.0016963i,0.0027815+0.0011945i,0.0022736-7.9616e-05i,0.00093284-0.00064583i,0.00086812-0.00044281i,0.0016493+3.3037e-05i,0.0013797+0.00015988i,0.00026045-0.00042695i,-0.00044053-0.0011619i,-0.00039977-0.00047633i,-0.00016547+0.00029432i,-0.0005248+0.00044644i,-0.00089254+0.00062303i,-0.00029084+0.00026673i,0.00053636-2.7057e-05i,0.00033993-0.0001236i,-0.00026441-0.00062096i,5.8476e-05-0.00091533i
0.0014609-0.0010008i,0.0024493-0.0024208i,0.0024151-0.0034991i,0.0015358-0.0029573i,0.00057619-0.0012471i,0.00012308+0.00068238i,0.0012688+0.00060541i,0.0022939-3.5936e-05i,0.00065821+0.00013882i,-0.00051105+0.00036299i,-0.00011361+0.0002139i,0.00076776+3.6326e-05i,0.00088394-0.00010755i,0.0007956+6.3207e-05i,0.00070736+9.571e-05i,-0.00022095+0.00038846i,-0.00093717+0.00070419i,-0.0006935+0.0011001i,0.00014731+0.00063738i,0.00018103+0.00023899i,0.00035047+0.0004934i,0.00023152+0.0008566i,1.7233e-05+0.00084649i
0.0019718+0.0013457i,0.0033149+0.0015281i,0.0041843+0.00026843i,0.0030695-0.0013076i,0.0010023-0.0010215i,-0.00059971+0.00051987i,-0.00028735+0.0012802i,0.00048078+0.0011427i,0.00070948+0.00074453i,0.00082864+0.00037983i,0.0010802+0.00010865i,0.00086409-0.00045061i,0.00035379-0.0007697i,0.00030068-0.00089701i,2.1951e-05-0.00053353i,9.4383e-05-0.00023015i,0.00042993-0.0008022i,0.00043464-0.00065279i,0.00041501-0.00027232i,0.00035232+2.7398e-05i,-0.0001727-0.00016882i,-0.00038647-0.00088395i,-0.0002151-0.00053325i
-0.00043428-0.0012987i,0.00055448-0.0021368i,0.00084576-0.0018484i,0.00062766-0.001861i,0.00063734-0.00096998i,0.001773+0.00081882i,0.0021741+0.0010627i,0.001428+0.0005478i,0.00094092+0.00039031i,0.00095463+0.0010923i,0.00085902+0.001272i,0.0013883+0.00037821i,0.0017519-9.9898e-05i,0.0012537-4.7307e-05i,0.00018525-4.247e-05i,0.00012764+4.4263e-05i,0.00075143-0.00049149i,0.00066521-0.0005171i,7.2077e-05-8.7872e-05i,0.00018811-0.00039672i,-3.9957e-05-0.00065089i,-0.00011807-0.00050034i,0.00028233+0.0007387i
0.0009476-0.00047674i,0.0020001-0.001556i,0.0018941-0.0023091i,0.0011756-0.0023398i,0.0007969-0.0014675i,0.0011508+0.00026003i,0.0021283+0.001461i,0.0023597+0.00076829i,0.0014186-0.00017783i,0.00099019+0.0001935i,0.00086809+0.00065117i,0.0010923-9.7702e-05i,0.0012858-0.00037298i,0.00079307+0.00036568i,0.00043187-0.00026479i,0.00044351-0.0007353i,-1.5513e-05-0.00040703i,-5.8829e-05-0.00055377i,0.00038078-0.00055346i,0.00071817-0.00057122i,0.00069079-0.00062586i,-0.00037115-0.00077333i,-0.0010766-0.00071893i
-0.00049509-0.00031539i,0.00027648-0.0008934i,0.00076613-0.00077192i,0.0012309-0.0006703i,0.00087873-5.722e-06i,0.00064137+0.00063792i,0.0013312+0.0002757i,0.0018302+3.6922e-06i,0.0010555+0.00058911i,0.00051109+0.00093899i,0.0008841+0.00012283i,0.00059801-0.00056387i,2.9751e-05-0.00085939i,9.2721e-05-0.00042117i,0.0004851-0.00025919i,0.00064008+8.9757e-05i,-7.7516e-05+0.00037155i,-0.0006665-0.00014656i,-0.00025209-4.7165e-05i,0.00089921-0.00010078i,0.00096521-0.00013331i,0.00043724-0.00028813i,0.00018006-0.0001977i
