-0.0028165+4.6682e-05i,-0.0036127-0.00098215i,-0.0046922-0.0011209i,-0.0037538+0.00021169i,-0.0029176+0.00083891i,-0.0029698+0.0013284i,-0.0022298+0.0014312i,-5.8163e-05+0.0016194i,0.001183+0.0013545i,0.0017883+0.00035247i,0.0023042-0.00021193i,0.00085116-0.00030069i,-9.731e-05-0.00068237i,9.4585e-05-0.00010643i,-0.00032306-0.00011618i,-0.0010972-0.00031619i,-0.001852-9.0995e-05i,-0.0011157-0.00018291i,-4.8774e-05-0.00043929i,-5.2431e-05-9.2471e-05i,-0.0001865-0.00010962i,-0.00035904-0.00018854i,-8.7191e-05+8.8136e-05i
0.0006278+3.0767e-05i,0.00095717+4.5789e-05i,0.0015617-0.00044899i,0.0011564-0.0008756i,-0.0007311-0.0012388i,-0.0018802-0.0010923i,-0.00097671-0.00046967i,0.00026878-0.00033136i,0.00064697+0.00014186i,0.00045617-0.00023062i,2.0819e-05-0.00037553i,-0.00024375+0.00030092i,-0.00033706+0.00012859i,-0.00044898+3.8512e-05i,-0.00047092+0.00019629i,-0.00038486+0.00060051i,-0.00094089+0.001043i,-0.00055055+0.00095024i,2.7348e-05+0.00033728i,-7.9959e-05+9.8731e-05i,-0.00022864+0.00052027i,-0.00024868+0.0010833i,-0.00011228+8.4624e-05i
0.00088952-0.00022889i,-0.00013075-8.2951e-05i,-0.00092074+0.00041293i,-0.0010927-0.0010886i,-0.001223-0.0017993i,-0.0007535-0.00074268i,-0.00033919+0.00033175i,0.00025455+0.00014955i,0.00032878-0.00062721i,-5.3218e-05-0.00073081i,0.00020396-0.00015801i,0.00035663+8.2144e-05i,-0.00011296-2.4539e-05i,4.0758e-05+0.00082919i,0.00051787+0.0008778i,0.00049206+0.00030238i,-4.2543e-05+0.00040214i,-0.00040161+2.5551e-05i,0.0001526-0.00073215i,0.00054129-0.00082883i,-0.00024105-0.00043025i,-0.00090456-0.00029005i,-0.00046946-0.00090427i
-0.0023188+0.0010573i,-0.0012725+0.0018105i,-2.0834e-05+0.002343i,0.000342+0.00095537i,-0.00027682-9.302e-05i,-0.0011435-0.00062105i,-0.00072131-0.00062337i,0.00013628-0.00021522i,0.00089918-0.00019902i,0.0014078-0.00052548i,0.00097558-0.00040523i,0.00038203+2.6067e-05i,0.00079356-0.00019767i,0.00087764-0.00054789i,0.00072003-0.00090594i,0.00065957-0.00078613i,0.00042952+2.344e-05i,5.7015e-05+0.00017366i,1.596e-05+0.00046947i,5.2205e-05+0.0005992i,-0.00023649-5.7073e-05i,4.5821e-05-0.00014282i,-3.7522e-05+0.00043714i
0.00078164+0.00062259i,3.1466e-05-3.821e-05i,-0.00010993-0.0011703i,-0.00099259-0.0018644i,-0.0019868-0.0019222i,-0.0021952-0.00083821i,-0.0010745+0.00023271i,-0.00014361+0.00010205i,0.00018716+1.9407e-05i,0.00066545-0.00041171i,0.0011819-0.00092618i,0.00097436-0.00056274i,0.00035062-0.00055773i,-0.00029954-0.00049052i,-0.00088378-1.4835e-06i,-0.0011605+0.0004728i,-0.0013274+0.00031968i,-0.00080895+0.00051475i,0.00026229+0.00063755i,0.00062326+0.00036837i,0.00010291+0.00025165i,0.00039043-0.0004892i,0.0010791-0.00089668i
0.00030938+0.0016905i,-0.00024832+0.0015007i,-0.00058113+0.00026125i,-7.291e-05-0.00050792i,-0.001133-0.00096926i,-0.0018442-0.00080693i,-0.0011433+0.00022714i,-0.00091444+0.00047887i,-0.00019006-9.153e-06i,8.3564e-06-0.00057514i,-0.0002661-0.00097997i,0.00012553-0.00070145i,9.7172e-05-0.0005551i,-0.00020339-0.00010378i,-0.00076553+0.0005972i,-0.00081949+0.00033327i,-0.00025186-0.00022337i,0.00026992-9.2726e-05i,-6.964e-05-0.00036739i,0.00034215-0.0004016i,0.0011934-0.00017821i,0.0011055-0.0004005i,0.00028181-0.00043909i
0.00040314-0.0013536i,0.00031963-0.0011512i,-0.00040779-0.00048172i,-0.0013774-0.00068594i,-0.0023456-0.0016107i,-0.0023104-0.0013467i,-0.001268-0.0011066i,-0.00059789-0.00037319i,-0.00048694+0.00045476i,-0.00021975+4.7544e-05i,0.00055354-0.00086114i,0.00077916-0.0009856i,0.00053486-0.00061768i,0.00063695-1.4468e-05i,0.00030419+0.00082169i,9.7218e-05+0.00088776i,5.9533e-05+0.00044345i,4.587e-06+0.00086746i,-0.00022563+0.00078138i,-0.00022758+0.00086217i,-0.00028037+0.001494i,8.9086e-05+0.0009641i,0.0013533+0.00042532i
2.9951e-05-0.001314i,-0.00035101-0.00091504i,-0.00095802-0.0012738i,-0.0012225-0.0011338i,-0.0027129+0.00016617i,-0.0037545-2.412e-06i,-0.0020166-0.00043987i,-0.0007671+0.00022933i,-0.0003921+0.00052739i,-0.00036975+0.00088441i,-0.0008553+0.001057i,-0.00074445+0.00083297i,-0.00028254+0.00018842i,0.00030895+1.2798e-05i,0.00063371+0.00013375i,0.00040999+0.00017304i,0.0006235+3.4397e-05i,0.00030989-0.00055853i,0.00035313-0.00056237i,0.00034992-0.00035695i,0.00038386-0.00076084i,0.00065334-0.00074155i,0.001035-5.5382e-05i
-3.7136e-05+0.00034759i,0.00041199-0.00053119i,8.7696e-05-0.00012891i,7.7192e-05+0.00015349i,-0.00026533-0.00086101i,-0.001274-0.0011096i,-0.00096805+2.2907e-05i,0.0005283+0.000333i,0.00070975+0.00019976i,0.00058755-0.00013264i,0.0003866-0.00059444i,0.00025314-0.00072255i,0.00048628-0.00047559i,9.0313e-05-0.00036022i,-0.00044198-0.00061065i,-0.00033219-0.00085652i,-0.00074108-0.00074047i,-0.0013424-0.00094792i,-0.0004047-0.00061685i,0.00034978+0.0003733i,-0.00022266+0.00015064i,-0.00041966-0.00050817i,-0.00017187-0.00026585i
0.0016574-9.217e-05i,0.0014635-0.00064412i,0.00014317-0.0012423i,-0.00086609-0.0020368i,-0.00044467-0.0016116i,-0.00061727-0.00056109i,-0.0016778-6.1117e-06i,-0.0012859+0.00054886i,-0.00060098+0.00083009i,-0.00059173+0.00020901i,-0.00056342-0.0010218i,-3.5634e-05-0.0014371i,0.00011499-0.0011475i,0.00018596-0.00036307i,0.00019893-0.00064539i,1.9005e-05-0.00095972i,0.00083062-0.00045208i,0.00071667-4.6912e-05i,0.00026242+0.00048897i,9.1816e-05+0.00072337i,-4.636e-05+0.00021612i,0.00012056-0.00049644i,0.00030004-0.00077414i
-0.001037+0.0015361i,-0.001124+0.0013777i,-0.00097921+0.0023279i,-0.00011219+0.002747i,-0.00096218+0.0014425i,-0.0020381-0.00047239i,-0.001705-0.0012156i,-0.0010187-0.00032718i,-0.00065847+0.00072955i,-0.00016129+0.0008049i,0.00036501+0.00012399i,0.0011295-0.00063271i,0.0015223-0.00097091i,0.00039189-0.00038505i,-0.00040682+0.00052541i,-0.00074869+6.895e-05i,-0.00021359-0.00074133i,6.9429e-05-0.00098759i,4.4451e-05-0.00091073i,1.1987e-05+0.00016521i,0.00011755+0.0011586i,0.00012139+0.0010969i,0.00010256+0.00075868i
0.00022693-0.00019057i,-0.00010758-0.0005186i,-0.00070026-0.0016236i,-0.0013365-0.0014338i,-0.0019476-0.00040923i,-0.0020531-0.001183i,-0.002026-0.00064886i,-0.0014806+0.00046676i,-0.00058293+0.00097071i,-0.00020161+0.0010031i,0.00047819+0.00037927i,0.0012253+9.8787e-05i,0.001135+7.2217e-05i,0.00076616+0.00079455i,0.0002408+0.0011807i,-6.9135e-05+0.00048921i,-3.8236e-05-0.00058003i,-0.00030937-0.0010407i,-0.001261-0.00063385i,-0.0015629-0.00013579i,-0.0012422+0.00015176i,-0.00094961-0.00014515i,-0.00045511-6.8414e-05i
0.00091139+0.00084451i,0.00024806+0.00143i,5.878e-05+0.0013213i,-0.00034424-0.00025073i,-0.0013442-0.00119i,-0.0031333-0.00051509i,-0.0029172+0.00039402i,-0.0012173+0.00047465i,-0.00057336+2.6473e-05i,-0.00010423-1.7486e-05i,0.00033184-0.00046036i,3.7736e-05-0.00061154i,-0.00046473-0.00089823i,-0.000288-0.00061166i,0.00024363+0.00052237i,0.0004317+0.00096104i,9.097e-05+0.00060729i,0.00027067+0.00019484i,-0.00034637+0.00043119i,-0.0010181-9.8655e-05i,-0.00051321-0.00026789i,-0.00030108+0.00050561i,-0.00073583+0.00048854i
0.0026195+0.00030542i,0.0024599-0.0006744i,0.0014066-0.00073985i,0.00016047-0.0007774i,-0.00095031-0.0013439i,-0.0015681-0.0013978i,-0.0004084-0.00018383i,0.00054398-4.169e-06i,0.0011382-0.00073325i,0.0013388-0.00063802i,0.0014092-0.00065671i,0.00087279-0.00044939i,-0.00016381-0.00043674i,-0.0012597+0.00010307i,-0.0010368+0.00063434i,8.6807e-05+0.00060574i,-0.00019487+0.00078128i,-0.00028935+0.00072646i,-0.00023153+0.0010422i,-0.00048736+0.00094372i,-0.00051645+6.2256e-05i,-0.00050937-0.00032641i,-0.00031353+0.00015241i
0.0028842+0.0012657i,0.0026597+0.00052052i,0.0027282-6.1211e-05i,0.0012142-0.00129i,-0.00084699-0.0020417i,-0.0017145-0.0015163i,-0.0012271-4.3971e-05i,-0.00048963+0.00030303i,0.00044317-0.00032021i,0.00060802-0.00080252i,-8.059e-05-0.0013656i,-0.0003573-0.0019524i,-0.00066784-0.0016758i,-0.0012843-0.00074166i,-0.001572+0.00069026i,-0.00056211+0.0015741i,0.00034064+0.0010299i,1.6062e-05+2.0825e-05i,-0.00023817+0.0004066i,-0.00098742+0.0011261i,-0.0011293+0.00084925i,-0.00078306+0.0003236i,-0.00096819-0.00021757i
1.3206e-05-0.00073507i,-0.00071371-0.0015527i,-0.00056676-0.0016988i,-0.0015207-0.0012934i,-0.0023211-0.0016465i,-0.0014347-0.0018041i,-0.00048128-0.00036977i,0.00034339+0.0013531i,0.00026986+0.0014302i,0.00038077+0.00081656i,0.00060819+0.00049223i,-0.00011911+0.00023659i,-0.00078241+0.0001262i,-0.00055837+2.029e-05i,-0.0002519-0.00013853i,2.4566e-05+5.7626e-05i,0.0002817+0.00027806i,0.00041045-0.00043747i,0.00033114-0.00090052i,-0.00076134-0.00042725i,-0.00099659-0.00025991i,-0.00029932+1.6174e-05i,-5.3148e-05+0.00046098i
-0.00051837+0.00033282i,-0.00088827+0.00066586i,-0.0015576-0.0001228i,-0.0013717-0.001025i,-0.0019747-0.00020965i,-0.0028428+0.00027001i,-0.0018163+0.00075589i,-0.00072927+0.0015121i,-0.00011376+0.0012153i,0.00020267+0.00045127i,-0.00020949-0.00013471i,-0.0003932-0.00013857i,0.00016071+3.1539e-06i,0.00042099+0.00016614i,0.00056595+0.00048527i,0.0004311+0.00074956i,-0.0003456-9.6105e-05i,-0.00081351-0.0003i,-0.00029447-0.00061777i,-0.0004257-0.0015443i,-0.00070313-0.0013761i,-0.00067379-0.00051719i,-0.00068963+0.00077517i
2.3237e-05+0.0004984i,0.0002873-6.4353e-05i,-0.00036935-0.00090743i,-0.0016897-0.0015715i,-0.0022724-0.0011445i,-0.0021638+1.4284e-06i,-0.0017358+0.00032569i,-0.0014293+0.0005048i,-0.001471+0.00014008i,-0.0010012-0.00076151i,0.00014043-0.00048595i,0.00014301+0.00039423i,0.00032556+1.2069e-05i,0.00021784-0.00086244i,-0.00087017-0.0011425i,7.4012e-05-0.00064108i,0.00059111-3.1194e-05i,-0.00041827+0.00043615i,-0.00075474-0.00022425i,-0.00043501-0.00040296i,-0.00038316-0.00012341i,-0.00015709-0.00017442i,-0.00039564+0.00049588i
-6.5728e-05+0.00058289i,0.00029775+0.0016117i,0.00012631+0.0014549i,-0.0003366+0.00068167i,-0.0010033-0.00072384i,-0.001302-0.0011264i,-0.00046723+0.00028935i,-0.00035626+0.0010956i,-0.00065787+0.00088323i,0.00016388+0.0011203i,0.00053227+0.00056154i,0.00075112-0.00042721i,0.0011704-0.00064554i,0.00051862-0.00078345i,-0.00019345-0.00091625i,-0.00024406-0.00041283i,-0.00025821+0.0003013i,0.00015114+0.00052131i,0.00023553-0.00022935i,-0.00032301-0.00045695i,-0.00080115+0.00052812i,-0.00087166+0.0012475i,-0.0005195+0.00065663i
-0.00061693+0.0011254i,-0.00020147+0.00081886i,-0.00037108+0.00086506i,-0.001007-0.00070528i,-0.0012514-0.0023756i,-0.0012748-0.0012977i,-0.0014267+0.00030163i,-0.0014999+0.00014661i,-0.0010856-0.00022182i,-0.00013-6.2289e-05i,0.00074625+0.00033931i,0.00078344+0.00057715i,0.0005364+0.00025041i,0.00041208+7.789e-05i,0.00063466-0.00011519i,-1.2417e-05+5.1348e-05i,-0.0011826+0.00035444i,-0.00082321+0.00016018i,-0.00022688-0.00060196i,2.4671e-06-0.00091266i,-0.0002089-3.5031e-05i,-0.00013975+0.00028294i,0.00050761-0.00019239i
-0.0011145-0.00042178i,-0.00092033-0.00013255i,-0.00020042+6.5725e-05i,-0.00043155+0.0002765i,-0.0010326-4.601e-05i,-0.0012619-0.00036997i,-0.0010704-0.00016675i,-0.00087949-3.3395e-05i,-0.00057423-0.00031846i,0.00067803-0.00044926i,0.00068937+0.00030103i,0.00011913+0.00036943i,0.00029052-0.00012669i,0.00019437+0.0005275i,-0.00059792+0.00065219i,-0.00055645-1.1022e-06i,3.5514e-05-0.00035134i,5.8622e-05+0.00047871i,-9.6025e-06+0.0009706i,-0.00018107+0.00027278i,-0.00057511-9.2499e-05i,-0.00087519+0.00012419i,-0.00043521+0.0004919i
