-0.0023237+0.0020711i,-0.00079769+0.00064334i,-0.00085291+2.6814e-05i,9.5922e-05+4.5707e-05i,0.00072816+0.0016143i,0.00073512+0.0018204i,0.00067962+0.00069589i,0.0013116+0.00012098i,0.0013102+0.0001276i,0.0003934-8.4757e-05i,3.2432e-05-0.00082883i,-0.00018205-0.0017259i,-0.0006855-0.0020021i,-0.00079879-0.0017976i,-0.00014881-0.00091086i,6.4917e-05-0.00017194i,0.00042858-7.7262e-06i,0.00037578-0.00012005i,0.00028055-0.00079306i,0.00026996-0.0010844i,0.00053698-0.00076415i,0.00058993-0.00034261i,0.00023027-4.4839e-05i
-0.0005036+0.0028028i,0.0006092+0.0022343i,0.0023313+0.0017573i,0.0026353-6.2027e-05i,0.0011755-0.0021306i,-0.00031293-0.0020088i,-0.0011706-0.0007585i,-0.0012595-0.00039574i,-0.0010624-0.00058444i,-0.00082521-0.0005888i,-0.00064498+8.1479e-05i,-0.0008437+3.5527e-05i,-0.0010384-6.8619e-05i,-8.3648e-05+0.00044232i,0.0007508+0.00053056i,0.00079957+0.00026566i,0.00019071-0.00025559i,4.8615e-05-0.00051611i,0.00073286+0.00058489i,0.0010252+0.0010152i,2.574e-05+0.00051461i,-0.00048085+0.00012612i,0.00029714-0.00039807i
-0.0011157-0.0014378i,-0.00097838+0.0016242i,-0.0025358+0.0026725i,-0.0034128+0.0021097i,-0.002115+0.0022008i,-0.0010536+0.00096594i,-0.0013058-0.00035878i,-0.0015454-0.00057134i,-0.0011724-0.00035416i,-0.00043558-3.1509e-05i,0.00015797+5.8343e-05i,0.00081064+0.0001334i,0.0014867+0.00046127i,0.0016503+0.00052653i,0.0017034-0.00016805i,0.00095714-0.001066i,-0.00039222-0.00043185i,-0.0010539-0.00038011i,-0.001003-0.0010048i,-0.00047738-6.6448e-05i,-0.00017065+0.0005685i,0.00032997-2.5469e-05i,0.00014511-0.00019209i
0.0011162+0.0014727i,0.00038517+0.0015328i,-0.00064797+0.00096828i,-0.00066292+0.00046292i,0.00025578+0.00032293i,0.00059196+0.00094418i,-0.0001447+0.00084827i,-0.00012581-0.00033167i,0.00037848-0.00074998i,0.00042858+6.3686e-05i,-0.0002393+0.00028933i,-0.00091364+8.6325e-05i,-0.00055823-0.00044234i,0.0003241-0.00055106i,0.00056036+0.00041163i,0.00017644+0.00024058i,-0.00015672+0.00032318i,-0.00065599+0.00042216i,-0.00059844-0.00032427i,-0.00010678+0.00028419i,-0.00058368+0.00080746i,-0.00068222+0.0005991i,-0.00052813+0.00062198i
0.001035+0.0010671i,0.0006146+0.00022586i,0.0018616-0.0014787i,0.0029946-0.0021144i,0.0022332-0.0019994i,0.00027253-0.0014231i,0.00017093-0.0010448i,0.00092049-0.00078296i,-6.9618e-06-0.00039731i,-0.00053122-0.00043617i,-0.00021917+0.00025912i,-9.4211e-05+0.00068144i,0.00051959-0.00020348i,0.00018344-0.00026485i,-0.00084015+6.7398e-05i,-0.00086119-6.1478e-05i,-8.6756e-06-0.00026909i,0.00066502-6.4906e-05i,0.0011468+0.00076162i,0.00092368+0.00071825i,0.00076304+1.8849e-05i,0.00018302+0.00020928i,0.00017826+0.00030698i
-5.1198e-05-0.0012154i,0.00074876-0.00066476i,-0.00014177+0.0003147i,-0.0015443+0.00064595i,-0.0016894+8.2022e-06i,-0.00088161-0.00040552i,-0.00010606-0.00055342i,0.00028248-2.9841e-05i,-0.00021709+0.00063663i,-0.0011102+0.00029514i,-0.00048937+2.3863e-05i,0.00075982+0.00043634i,0.0015089+0.0004681i,0.001347-0.00022545i,0.00013765-0.00065835i,-0.00019244-0.00092965i,6.1329e-05-0.00061273i,-0.00010516+0.00038553i,-0.00039836+8.4045e-05i,-0.00011506-0.00016576i,0.00048724-6.7651e-06i,0.0003513+5.7028e-05i,-0.00023804+0.0004977i
-0.001296+0.00042466i,-0.00099719+0.001207i,-9.131e-05+0.0020372i,9.1435e-05+0.0020141i,-0.00037453+0.0018013i,-0.0007245+0.0013059i,-0.00050685+0.00067494i,-0.00024776+0.00066836i,-0.00024288+0.0013811i,-0.0006388+0.0012601i,-0.00077976+0.00082653i,-0.00031921+0.00046436i,0.00021469+0.00026402i,-0.00015582+7.5476e-05i,-0.00035236+0.00032706i,-0.00032272+0.00064208i,-0.00079599-0.00020244i,-0.00037527-0.0005349i,1.2443e-05-0.00027888i,-0.0001773-0.00038631i,-0.00014938-0.0003404i,-0.00043229+0.00013531i,-0.00047506+0.0003231i
0.00098556+0.0016229i,0.0026402+0.0013949i,0.0033923+0.00062125i,0.0025139-0.00053876i,0.0015058-0.0011034i,0.0007962-0.0010355i,0.00051834-0.00076771i,0.00031448-0.00010609i,-0.00058749+0.00010956i,-0.00078782-0.00059862i,-0.00069579-0.00083468i,-0.0010078-0.00046094i,-0.0010841-0.00027032i,-0.0011934+0.00052968i,-0.0011603+0.00067047i,-0.00074456+0.00025349i,-0.00016728-0.00015239i,0.00037091-0.00040387i,0.00020746+0.00010718i,0.00016566+0.00056822i,0.00017862-6.6578e-05i,4.8083e-06-0.00061762i,1.9451e-05-0.00047079i
-0.00036712+0.0018315i,-0.001331+0.0025455i,0.00030585+0.0021866i,0.00091854+0.0016408i,0.0011584+0.00086272i,0.0011591+0.0001866i,0.00012588-0.00023817i,3.436e-05-0.00056443i,0.00043266-0.00030031i,0.00033687-0.00056589i,0.00013449-0.00044645i,-0.00016703-0.00020236i,3.6319e-05-0.00018679i,0.00014898-0.00022733i,-5.6487e-05-0.00095987i,4.1089e-05-0.0011789i,-0.00024075-6.3826e-05i,-0.00055775+0.00069378i,0.00013043+0.00032113i,0.00048238-0.00030618i,0.00021359-0.00045805i,-0.00035223-0.00034247i,-0.0014245-0.00037077i
0.00066321+0.00033522i,0.00099893-0.00011736i,0.00082981+0.00028226i,0.0013519-7.0303e-05i,0.0018775-0.00053385i,0.00067405-0.00043443i,-0.00073014-0.00030005i,-0.0010288-0.00028497i,-0.0008607+0.00011569i,-0.00033821+0.00055098i,-0.00016284+0.00051462i,-0.00050266+0.00064387i,-0.00022916-0.00033682i,0.00014401-0.0010288i,0.0004213+3.2071e-05i,0.00055164+0.00086718i,-0.00012676+0.00102i,-0.0011317+0.00076666i,-0.00091015+0.00017419i,0.000373-0.00059138i,0.0010429-0.00086174i,0.00042242-0.00077223i,-0.00077687-0.00078545i
-0.0006938+0.00045556i,0.0002156+0.0015777i,0.000276+0.0016256i,0.00012171+0.0010825i,9.4882e-05+0.0013032i,-4.9096e-05+0.00060247i,0.00013394-4.0558e-05i,3.7298e-05+1.0204e-05i,-0.00014805+0.00051902i,-9.6803e-05+0.00080118i,-0.00079789+0.00052495i,-0.00098734+0.00022848i,0.00044108-0.0006187i,0.00053216-0.0015744i,-0.00019649-0.0013599i,-5.1492e-05-0.00079039i,0.00027987-0.0006366i,5.1926e-05-0.00018796i,-0.00039215-0.00060875i,0.00013429-0.0012898i,0.00033858-0.0014155i,9.914e-05-0.00097067i,0.00066186-0.00042517i
