-0.0023237+0.0020711i,-0.00079769+0.00064334i,-0.00085291+2.6814e-05i,9.5922e-05+4.5707e-05i,0.00072816+0.0016143i,0.00073512+0.0018204i,0.00067962+0.00069589i,0.0013116+0.00012098i,0.0013102+0.0001276i,0.0003934-8.4757e-05i,3.2432e-05-0.00082883i,-0.00018205-0.0017259i,-0.0006855-0.0020021i,-0.00079879-0.0017976i,-0.00014881-0.00091086i,6.4917e-05-0.00017194i,0.00042858-7.7262e-06i,0.00037578-0.00012005i,0.00028055-0.00079306i,0.00026996-0.0010844i,0.00053698-0.00076415i,0.00058993-0.00034261i,0.00023027-4.4839e-05i
0.00082657+0.0021725i,0.0021457+0.0020249i,0.0023879+0.0019183i,0.0022243+0.0010105i,0.0015841-0.00038975i,0.00082409-0.00011376i,0.00016689+0.00028152i,-0.00078035-0.00081626i,-0.0015166-0.0014361i,-0.0021249-0.00085346i,-0.0022232+9.6602e-05i,-0.0010971+0.00027046i,8.1108e-05-3.1601e-05i,1.4161e-05+0.00052205i,-0.00061989+0.00062801i,0.00010153-3.4398e-06i,0.0012109+0.0004801i,0.0015273+0.001061i,0.00053197+0.00083799i,-0.0001066+0.00078409i,4.371e-05+0.00082678i,-0.00042909+0.00044624i,-0.0011012+0.0003125i
-0.0015264+0.0013386i,-0.0012848+0.0012101i,-0.0014139+0.0013057i,-0.00080057+0.001609i,-8.7251e-05+0.0016766i,7.8161e-05+0.00056947i,0.0010692-0.00025189i,-9.2389e-05+9.5996e-05i,-0.0021759+0.0006432i,-0.0020283+0.00094898i,-0.00092034+0.0010197i,2.1288e-05+0.0008149i,-6.4608e-05-2.4298e-05i,6.7027e-05-0.00072999i,0.00032552-0.00092556i,-9.4218e-05-0.00029002i,-0.00099752+0.00028921i,-0.001648+0.00067944i,-0.0013095+0.00066539i,-0.00080742+0.00041874i,-0.001081+0.00081738i,-0.0010105+0.0011426i,-0.00069048+0.00035984i
-0.0004398-0.0011462i,0.00047461+0.0011481i,0.00065284+0.002026i,0.00094192+0.0021065i,0.0011664+0.0014845i,0.00095756+0.00064815i,0.00053963+0.00014396i,0.00092312-0.00059244i,0.000704-0.00028985i,-0.00030134+0.00028221i,-0.00068276-0.00057195i,-6.8243e-05-0.00085833i,0.00066008-5.1639e-05i,0.00054701-0.00075487i,-0.00018198-0.00095871i,-0.0003158-0.00037726i,0.00045292-0.0003399i,0.00072544-0.00065315i,0.00041488-0.00075629i,6.3243e-05+9.4587e-05i,-0.00011569+0.00069718i,-0.00026781+0.0003917i,-0.00080401+6.103e-05i
0.000501-0.00095911i,-0.00067124-0.00053614i,-0.001551-0.00051314i,-0.0021018-0.0014216i,-0.0019723-0.0012885i,-0.00081416-0.00061124i,6.0188e-05-0.00073949i,0.00022734-0.00086121i,0.00015653-6.761e-05i,0.00013772+8.0774e-05i,6.7199e-05-0.00035203i,-4.0813e-05-0.00029423i,-5.0823e-05-0.0010605i,-0.00017043-0.0010242i,-0.00063438-0.00086307i,-0.00063517-0.00023647i,-0.00014445+0.00073517i,-6.1599e-05+0.0011126i,-0.00048201+0.00065477i,-0.00050739+0.0003226i,7.5501e-05+0.00055094i,0.00044195+0.00077167i,0.00047218+0.00052299i
-0.00013225-0.00071917i,-0.00069254-4.3183e-06i,-0.0018573+0.00093048i,-0.0015806+0.001652i,0.00024658+0.0021182i,0.0011509+0.0017084i,0.00047903+0.00060768i,-0.00023395-4.5943e-05i,-0.00061094-0.00055365i,-0.00081562-0.00066393i,-0.0011028-0.00063373i,-0.0014007-0.00064896i,-0.0012368+0.0003225i,-0.0012259+0.0013117i,-0.0013456+0.00067603i,-0.00094965-0.00044621i,-1.6827e-05-0.00069118i,0.00066886+8.5097e-05i,0.0008722+0.00050605i,0.0002739+0.00028707i,-0.00031504+0.00075034i,6.0707e-05+0.0007171i,-8.046e-05-0.00020446i
-0.0005557+0.00091853i,-0.001035+0.0020389i,-0.0016815+0.002545i,-0.0011109+0.0018491i,-0.00070807+0.00069487i,-0.00074549-0.00021935i,-0.00011109+6.7482e-07i,0.0007612-0.0002326i,0.00066273+4.9859e-05i,0.00045137-0.00035974i,0.00027703-0.00083664i,-0.00065494-0.00021878i,-0.00087144+0.00032458i,-0.00048049+0.00022809i,-6.8057e-05+0.00017515i,-5.3296e-05+0.00099451i,-0.00058988+0.0012583i,-0.0004201+0.0012792i,0.00016062+0.0010089i,0.00050136+6.9904e-05i,0.00039736-0.00063111i,-7.5087e-05-0.0006667i,-0.00041703-0.00065194i
-0.00213+0.00060525i,-0.00076111+0.0013969i,-9.1845e-05+0.0022303i,0.0015336+0.0028609i,0.002315+0.0017751i,0.0019056+8.8528e-06i,0.00060646-0.00020642i,-0.00040482+0.00016386i,-0.00027492-0.00017801i,-0.0003132-0.00017816i,-0.00018539-1.5454e-05i,0.00047464+0.00044838i,0.0010244+0.0012075i,0.0012149+0.0020029i,0.0011105+0.0021368i,0.00027995+0.00165i,9.2901e-05+0.0012762i,0.00032521+0.00051084i,9.3664e-05+0.00036568i,-0.00046371+0.00091812i,-0.00030922+0.00078598i,0.00043246+0.00025825i,0.00015657-0.00015895i
-0.0012327+0.0005756i,-0.00093065+0.00082829i,-0.0011336+0.0017796i,-0.00080118+0.00085686i,-0.00028737-0.00030407i,-0.00028041-0.00055326i,0.00044828-0.0011113i,0.0012346-0.0010199i,0.00061822-0.00034294i,0.00027878-0.00068615i,0.00041968-0.00029058i,-4.0517e-05+6.9537e-05i,7.1171e-05-0.00028414i,0.00010297-0.00026217i,0.0002698-0.00041441i,0.00118-0.00073529i,0.00042367-0.00028376i,-0.00025156-8.1308e-07i,-0.00021568+0.00030379i,-0.00043475+0.0011285i,-0.00029273+0.0015417i,-0.00020734+0.0010929i,0.00030812+0.00012477i
0.0011993+0.0022725i,0.0009086+0.0029742i,0.00070389+0.0031146i,0.00051183+0.0011674i,0.00025973-0.00049163i,-0.0010519+0.00024503i,-0.0014956+0.000683i,-0.0009185-0.00022567i,-0.00020394-0.00057107i,0.00032889-0.00080453i,0.000283-0.0010296i,-0.00016572-0.0013139i,-0.00042752-0.0015787i,-0.0007901-0.00187i,-0.00097689-0.001569i,-0.00039418-0.00085574i,-0.00030099-0.00043771i,-0.00051532+3.337e-05i,-0.00079387-0.00035703i,-0.0010908-0.00081323i,-0.00095701-0.00035207i,-0.00063779+0.00014529i,0.00054941-2.7315e-05i
-0.0012321-0.0012034i,-0.001678-0.0017666i,-0.0021243-0.0014121i,-0.0022653-0.00049417i,-0.0018895+0.00040827i,-0.00064708-0.00017672i,-0.00020039-0.00075659i,-0.00071733-0.0010564i,-0.00049769-0.00091897i,-0.00021656+7.8315e-05i,-0.00080911+0.00036748i,-0.0015202-0.00029602i,-0.0014077-0.00030826i,-0.0015224-0.00057461i,-0.0014246-0.0012028i,-0.0010707-0.0013491i,-0.00087122-0.0016652i,-0.0010911-0.00085694i,-0.00050096-8.6235e-05i,0.00013299-0.00047429i,4.0352e-06-0.00041855i,-0.00025972+0.00032509i,-0.00015822+0.0003559i
9.1954e-05+0.00017369i,1.763e-05+0.0018381i,0.00040494+0.0025949i,-6.6283e-05+0.0033032i,0.0006833+0.0023667i,0.0015443+0.0005287i,0.000761-9.5077e-05i,0.00016732-2.5237e-05i,4.7969e-05+1.452e-05i,-0.00021668-0.00041993i,-0.00011026-0.0011841i,0.00021247-0.0001861i,-0.00073087+0.0014469i,-0.0008184+0.0016459i,-0.00035341+0.001075i,-0.00070132+0.0010249i,-0.0011398+0.00064154i,-0.00097735+0.00044403i,-0.00041959+0.00057396i,0.00023053+0.00026709i,0.0007247+0.00064768i,0.00097686+0.00069436i,0.00098884+0.00069161i
0.0011674-0.00095589i,-0.00036477-0.0021821i,-0.00091109-0.0037283i,-0.0014132-0.0027153i,-0.0014641-0.0013869i,-0.0013478-0.0015911i,-0.00089623-0.0011625i,-0.00018012-0.00017965i,-0.00026989-0.00048827i,-0.00044266-0.00096194i,-0.00016436-0.00083936i,0.00025383-0.00026897i,0.00052503+0.0007178i,0.00014699+0.0013773i,-6.0673e-05+0.0020102i,0.00052825+0.0023824i,0.00024926+0.0017254i,-0.00012927+0.00087375i,-0.00014735+0.00060237i,-0.00039108+0.00023749i,-0.00076869-0.0003055i,-0.00033417+0.00022418i,0.00025691+0.0009295i
0.0007266+0.0011543i,0.00032023+0.0021052i,0.00025955+0.002593i,0.00015984+0.0014664i,0.00067841+0.0001132i,0.00097186-0.00014056i,0.0012652-0.00082106i,0.00096379-0.001399i,0.00042645-0.0014302i,0.00081966-0.0011612i,0.00082639-0.001002i,0.00061034-0.00030284i,0.00077181+0.00064226i,0.0010483+0.00087265i,0.0011644+0.00024103i,0.0012155-0.00018376i,0.0010863+0.00040977i,9.5648e-05+0.00074967i,-0.00025514+0.0004819i,9.3541e-05+0.0006183i,0.00033988+0.00071984i,0.00088677+0.00047952i,0.00084384+0.00051007i
-0.0011063+0.0011885i,-0.0018437+0.0010837i,-0.0017778+0.0011025i,-0.0015117+0.0010735i,-0.001104+0.00040527i,0.00018426-9.0389e-05i,0.00052778-0.0002256i,0.00052-0.00094922i,0.00021117-0.0015082i,-0.00083427-0.0014891i,-0.001103-0.0013413i,-0.00041342-0.0015314i,0.00021378-0.0013461i,0.00045117-0.00024964i,0.00064084-0.00020996i,0.00094888-0.00095352i,0.00065389-0.00051338i,0.00054547-0.00021536i,0.00023624-0.00039492i,0.00033507-0.00019875i,0.00085651+0.00018624i,0.00066988+0.00069274i,9.6796e-05+0.00066424i
0.0010912-5.8511e-05i,0.0016656+0.00073446i,0.0025402+0.0019844i,0.0020689+0.0023252i,0.00087311+0.001361i,0.00027287+0.00021937i,-1.1613e-06-0.00035009i,-0.00075235-0.0010032i,-0.0015613-0.0011992i,-0.0023204-0.001156i,-0.0020427-0.00085382i,-0.0010193-0.00064043i,-0.00075512-0.0011257i,-0.00048504-0.0013843i,-0.00060494-0.0012565i,-0.0011297-0.00049115i,-0.00081447+0.00014529i,-0.00061482+0.00029653i,-0.00077488+0.00075486i,-0.00044384+0.00088568i,-0.00030079+0.00052416i,3.6672e-05-1.3016e-05i,0.00078683-0.00029009i
0.00072408+0.0016297i,0.00031993+0.00070931i,0.0021045-0.00024863i,0.0034517-0.00024875i,0.0027581-0.00070876i,0.0010524-0.0011259i,6.1186e-05-0.00060299i,-0.00032073+0.00044552i,-0.0010093+0.0012258i,-0.0018043+0.0011582i,-0.0020488+0.00070624i,-0.0021436+0.0003796i,-0.0022176-0.0005086i,-0.0020212-0.0004844i,-0.0012852+0.00072074i,-0.00068223+0.0015442i,-0.0010364+0.00082247i,-0.0011955-0.00058732i,-0.00047184-0.00039124i,0.00056533+0.00073988i,0.0010524+0.0014753i,0.00055072+0.0014641i,-0.0005503+0.00059415i
0.0014294+0.0014559i,0.00070197+0.00095511i,0.0016111+0.00058378i,0.0019201-0.00022395i,0.00067815-0.00076222i,-3.3339e-05-0.0011059i,0.00064627-0.00070949i,0.00094736+8.2341e-05i,0.00045859+0.00060856i,-0.0001811+0.0013386i,-0.00051198+0.00075443i,-0.00061921-0.0004365i,-0.00070352-3.7062e-06i,8.0542e-05+0.00057632i,0.00017223+0.00066111i,7.6657e-05+0.0011189i,0.00030059+0.001334i,0.00040147+0.0010546i,0.00017239+0.0012761i,-0.00064509+0.00081236i,-0.00077919+0.00055886i,8.1935e-05+0.00021942i,0.00030462-0.00075852i
-0.0023463+0.0022356i,-0.0025786+0.0034349i,-0.0027689+0.0035591i,-0.0020405+0.0030772i,-0.00055667+0.0017265i,0.00052054-0.0005506i,0.00081327-0.0013981i,0.00074793-0.0011373i,0.0004842-0.00016127i,0.001119+9.7689e-05i,0.0021158-0.00040993i,0.00189-0.0002525i,0.00099991-0.00051769i,0.0005571-0.00024422i,0.00083736+0.00030192i,0.00090545+4.1414e-05i,-0.00031779-0.00015385i,-0.00044803+6.3953e-05i,0.00031139-0.00016339i,0.0003907-0.00089784i,0.00041893-0.0011678i,0.001158-0.00056458i,0.00079345+0.00043066i
-0.0018435+0.0013078i,-0.0016194+0.0027639i,-0.0017043+0.004108i,-0.0010745+0.0026291i,-1.84e-05+0.0015809i,0.00017903+0.0006696i,-0.00040689-0.00047337i,-0.00083228-0.001454i,0.00011665-0.0014653i,0.00090299-0.0011534i,0.00074978-0.0011331i,0.00099945-1.485e-05i,0.0012685+0.00076975i,0.00079023+0.00034787i,0.00029206-0.00090609i,-0.00042311-0.0013999i,-0.00099684-0.00075299i,-0.00062336+4.5131e-05i,7.3231e-05+0.00016977i,0.00020713+0.00056987i,7.0933e-05+0.00058114i,2.3737e-05+0.00059102i,5.4446e-05+0.0011315i
0.00091121+0.0024421i,0.00028352+0.0024027i,0.00072017+0.0021138i,0.0021507+0.00076064i,0.002468-0.0012096i,0.00018004-0.0011929i,-0.0014592+0.00023296i,-0.0011338+0.00024176i,-0.0010914-0.00065204i,-0.0017679-0.0017745i,-0.0015229-0.0014154i,-0.00035447-0.00068621i,0.00017584-0.0002347i,-0.0002101+0.00054864i,-0.00044705+0.0004504i,-0.00088172-0.00034175i,-0.0010859-0.00055375i,-0.00032544-0.00083511i,-4.3651e-05-0.00074437i,-0.00053475+0.00035949i,-0.00087788+0.00020298i,-0.00022644-0.00020985i,-0.0001547+0.00016163i
0.0013905+0.00098805i,0.00086407+0.00045047i,0.0005031+7.9583e-05i,0.00017634-0.0013383i,0.00044579-0.0014519i,0.00026312-0.00020483i,-0.00030842+0.00035596i,-0.00033601+0.00045068i,-0.00026923-0.00022229i,-0.0011505-0.00048637i,-0.0015072-0.00066115i,-0.00093589-0.00071453i,-0.00065434-0.00059997i,-0.0006831-0.00023505i,-0.00056256+0.00047449i,-0.00027585+0.00063932i,0.00020662+0.00025459i,-4.9858e-05-9.1036e-05i,-7.886e-05+0.00013229i,0.00035007+0.00022825i,0.00070404-4.0544e-05i,0.00034915+0.00011197i,-0.00021045+0.00041417i
0.0017815-7.5919e-05i,0.0022381+0.00052178i,0.003116+0.00061946i,0.002264-0.00036394i,0.0011626-0.0020331i,0.00073632-0.0029593i,0.0011152-0.0017063i,0.0012197-9.4334e-06i,8.6935e-05+0.0006887i,-0.0012905+0.00060834i,-0.0014547+0.00081064i,-0.0013678+0.00047267i,-0.0020569-0.00054834i,-0.0016238-0.00068516i,-0.00070442-0.00038093i,-0.0005272+0.00045177i,0.0003908+0.00061382i,0.00047153+0.00013503i,-0.00041998-6.2841e-05i,-0.00076887+0.00025969i,-0.00077285+0.00039969i,-0.00028948+0.00041927i,0.00025925-8.0769e-05i
-0.00039725+0.00088989i,-0.00061465+0.00098991i,-0.00084025+0.0011554i,0.00017497+0.00046482i,0.0014323+0.00038324i,0.0018971+0.0006788i,0.0018889-0.00046723i,0.0015029-0.00090611i,0.0011699-0.00016537i,0.0017535+0.00098095i,0.0015985+0.00086276i,-2.4498e-06+0.00010766i,-0.0013138+0.00055254i,-0.00091138+0.0011624i,-0.00034139+0.001028i,-0.00059124+0.00029129i,-1.1102e-05-0.00012031i,0.00018438+0.00011933i,-0.00027596+0.00035366i,4.1643e-05+0.00020793i,0.00047795-5.4316e-05i,0.00068779+8.0151e-05i,0.00033266+0.00019302i
0.0018474+0.0021018i,0.0012135+0.0016326i,0.00099222+0.0019389i,0.0016477+0.0018285i,0.0026154+0.0016062i,0.0012769+0.00072814i,-0.00049747-0.00080178i,-0.00082657-0.0015557i,-0.00031913-0.00083346i,0.00046779-7.3664e-05i,0.00042552-0.00018172i,-0.00027971-0.00037204i,-0.00076767+0.00037735i,-0.00050404+0.0012777i,-0.0001508+0.0016614i,-0.00050822+0.0013427i,-0.00093179+0.00076359i,-0.00059233+0.00024036i,0.00052635-0.00022824i,0.00098383-0.0007729i,0.00012419-0.0012048i,-3.1255e-06-0.00080548i,-9.4217e-06+0.00043227i
-0.00075984+0.002278i,-0.00056635+0.0023433i,0.00068887+0.0013537i,0.0027087-6.4175e-07i,0.0034377-0.0011954i,0.0017808-0.0011849i,0.0003769-0.00051687i,0.00040706-0.00023091i,0.00044883-0.00092099i,0.0003942-0.0014682i,0.00025387-0.0011287i,0.00017696-0.0010149i,-0.00044457-0.00060597i,-0.00067998-0.0002077i,0.00016523+0.00010468i,0.00022141+0.00065724i,-0.00022362+0.00051737i,-0.00046016+9.3725e-05i,-0.0012191-0.00059463i,-0.0010619-0.00038697i,0.00027437+0.00067006i,0.00020436+0.00065023i,-0.00011422-9.7253e-05i
0.00082451+0.00036511i,0.0011421+0.0015492i,0.00069308+0.002571i,-0.00022009+0.0024704i,-0.00020726+0.0012414i,0.00038569-0.00037041i,0.0003143+2.6859e-05i,0.00039158+0.0011586i,-0.00014204+7.0565e-05i,-0.00091241-0.00095768i,-0.00095142-0.00066074i,-0.00046307-0.0005346i,0.00048241-0.00011396i,0.00035326-0.00010602i,0.00014808-0.00095689i,4.6604e-05-0.00048738i,-6.2545e-05+0.00040374i,0.00030966+0.00012581i,0.00039465+0.00014792i,0.00026319+0.00047865i,0.00023473+0.00028417i,0.00050557+0.00019328i,0.00048835-0.00031707i
-0.0010068+0.00029906i,-0.0007228+0.0015378i,-0.0004931+0.0015813i,-0.00082335-0.00018136i,-0.0007687-0.0013194i,0.00033885+8.9814e-06i,0.0015993+0.00068904i,0.0016218+3.4121e-05i,5.1837e-05+0.00026266i,-0.00061173+0.00041979i,-0.00059212+0.00027543i,-0.0007688+0.00054902i,-0.0010107-1.8937e-05i,-0.00064025-0.0011721i,-0.00031727-0.0010654i,0.00039726-0.00082557i,0.00070035-0.0010263i,-0.00026148-0.00089395i,-0.00081716-0.00065093i,-0.000505-0.00041094i,-0.00020802+5.4791e-05i,8.1052e-05+0.00056256i,0.00015352+0.00059489i
-1.4602e-05+0.00099613i,-0.00065394+0.0015503i,-0.001276+0.0027358i,-0.001354+0.0031289i,5.9362e-06+0.0021352i,0.0013591+0.00080159i,0.00078715-0.00047848i,-0.00061956-0.001353i,-0.0010546-0.00098492i,-0.0010432-0.00033486i,-0.00096313-0.00079056i,-0.0011856-0.0016285i,-0.0014638-0.0020463i,-0.0015181-0.0020833i,-0.0013987-0.0018484i,-0.0015563-0.0010218i,-0.0012168+0.0001077i,-0.00058943+0.0004981i,-0.00053902+0.00011801i,-0.00065825-0.00047149i,-0.00085918-0.00020837i,-0.00066388+2.7426e-06i,-0.00025466-0.00037305i
-0.00046974+0.00035828i,-0.00061011+0.00042483i,0.00075025+0.00036675i,0.0020176-0.00043166i,0.0024856-0.00093911i,0.0014097-0.00124i,1.7843e-05-0.0017748i,-0.00061978-0.002696i,-0.0013196-0.0027821i,-0.0015179-0.0016348i,-0.00063031-0.00060494i,0.0004852+0.00037423i,0.00082585+0.00099821i,0.00043757+0.00063987i,-2.0352e-06-5.9416e-05i,-0.00057913+0.00047204i,-0.00089513+0.00070722i,-0.0003943+0.00041043i,-0.00016006+0.00012731i,-0.00013192+0.00019022i,0.00037898+8.1156e-05i,0.00075375+4.9393e-05i,0.0003183+0.00078719i
-0.0006669+0.0010377i,-0.0016279+0.002369i,-0.0022764+0.0023157i,-0.0016708+0.0016894i,-0.00060437+5.9052e-06i,-0.00066411-0.0010728i,-0.00093815-0.00018191i,-0.00097446+0.00033758i,-0.0017355-7.572e-05i,-0.0016073+3.5599e-05i,-0.001008+0.00027452i,-0.00059082+0.00037082i,-0.0009322+0.00020728i,-0.00075791-0.00046428i,9.0631e-05-8.8511e-05i,-0.00025988+0.00097336i,-0.00068782+0.0013462i,-0.00071739+0.0010421i,-0.00051959+0.0010911i,-0.00045678+0.0015533i,3.1008e-05+0.0010826i,0.00024221+0.00044008i,6.2432e-05+0.0005058i
0.001471+0.0025765i,0.0010725+0.0015212i,0.0019001+0.00091134i,0.00351-9.9979e-05i,0.0026248-0.00030115i,0.00023165+0.00056858i,-0.00032852+0.001059i,-0.00048576+0.0015061i,0.00011212+0.0018602i,0.00030993+0.0017512i,-4.8719e-05-2.5937e-05i,4.9935e-05-0.0015856i,0.00025159-0.0012225i,0.00066111-0.00043479i,0.0013751+0.00077457i,0.0013442+0.0015727i,0.00064124+0.001114i,0.00036166+0.00047118i,0.00033462+0.00068216i,0.00040395+0.0010906i,0.00010676+0.00052729i,-0.00078922-0.00073649i,-0.00042615-0.00062282i
-0.00020307+0.0034032i,-0.0018446+0.0024779i,-0.0018981+0.0028297i,-0.00054927+0.0025385i,0.00019533+0.0009952i,0.0011344-0.0002009i,0.0026566-0.00032984i,0.0031248+8.5324e-05i,0.0021378+0.00027872i,0.0016815-0.00039643i,0.00095408-0.00063159i,-0.00020837+0.00014739i,-5.5981e-05+0.00036169i,0.00070573-0.00036046i,0.00080069-0.00084856i,0.00058821-0.00091199i,0.00080193-0.00074011i,0.00048289-0.00033713i,0.0011685-0.00034269i,0.0013185-0.00060667i,0.0011074-0.00041897i,0.0014236+0.00022233i,0.0004594+0.00051526i
0.0007301+0.00026573i,0.0011153+0.00059285i,0.002088+1.119e-05i,0.001464+0.00064452i,-0.00022782+0.0018368i,-1.5214e-06+0.00085233i,0.0015346-0.0015385i,0.0021313-0.0026635i,0.0017467-0.0028012i,0.001248-0.0026477i,-0.00012646-0.00097397i,-0.0012499+0.00036895i,-0.0002928+0.00070206i,0.00047306-8.7133e-07i,-0.0002073-0.0010151i,-0.001296-0.0016762i,-0.0011705-0.0013943i,-0.00080973-0.00059581i,-0.00070921-0.00096117i,-0.00073071-0.00082973i,-0.0010965-3.7156e-05i,-0.00126+0.0003219i,-4.8512e-05+6.9946e-05i
0.00092661+0.0028412i,0.00052209+0.003368i,0.00066904+0.00368i,0.0010144+0.001807i,0.001291-0.00090413i,0.00094473-0.00181i,-0.00025383-0.0015426i,-0.00026193-0.0029285i,2.078e-05-0.0040552i,-0.00045106-0.0040527i,-5.9743e-05-0.0022042i,2.597e-05+3.1891e-05i,-0.00060653-5.2407e-05i,-0.00022857-0.00044693i,-0.00044051-2.0406e-05i,-0.0011003+0.00047418i,-0.0011621+0.00065548i,-0.0012227+0.0001816i,-0.00085698+0.00024646i,8.6024e-05+0.00080996i,0.00012023+0.0011365i,0.00026868+0.00055126i,0.00082233-0.00026309i
0.00027126+0.00077912i,-0.00014856+0.00059575i,0.00043962+0.00019839i,0.0011164-0.00085898i,0.00060235-0.0013474i,-0.0011865-0.00066988i,-0.0016411-0.00084893i,-0.0027699-0.0018975i,-0.0039432-0.0022979i,-0.0030695-0.0017198i,-0.00119-0.00088264i,-0.00025689+0.00014668i,0.00038025+0.00067989i,6.0734e-05+0.00027661i,-0.00050501+0.00022324i,-0.00047915+0.00094367i,-0.00068409+0.0011331i,-0.00084274+0.00070972i,-0.00053106+0.0012079i,0.00038777+0.0013832i,0.00051585+0.0010476i,-0.00029084+0.00060445i,-0.00058242-0.00014495i
-0.00085177+0.0010159i,-0.00090444+0.0019061i,-0.0013635+0.0040555i,-0.0019156+0.0040124i,-0.0010549+0.0018495i,0.00028912+0.0010493i,-0.00061729+0.0011646i,-0.0026398+0.0015763i,-0.0035913+0.0019149i,-0.0026547+0.0021885i,-0.00091683+0.0019373i,-0.00015426+0.00075423i,-0.00055057+2.9159e-05i,-0.00066626+0.00046859i,-0.00014107+0.00066332i,0.0006759+0.00080529i,0.00068508+0.0012659i,0.00018205+0.0016209i,3.9444e-06+0.0011176i,0.00035726+0.00017566i,0.00075294-0.00029321i,0.00033474+3.2686e-05i,0.00023437+0.00021355i
0.00073503-0.001111i,-0.0016203-0.00038412i,-0.0029514+0.00032991i,-0.0010087+0.00020849i,0.0010313-0.00062145i,0.0014024-0.00059345i,0.0016171+0.0014838i,0.0019873+0.0036273i,0.0017985+0.0043358i,0.0008156+0.0029882i,-4.9114e-05+0.0012369i,6.9039e-05-0.00040709i,0.00093583-0.00019862i,0.001241+0.00068627i,0.001241-0.0001711i,0.00062689-0.0012511i,-0.00050641-0.00043191i,-0.00021103+0.00086719i,0.0010428+0.00023374i,0.0012401-0.0006744i,0.0013637+5.2324e-05i,0.0014807+0.00093851i,0.0004474+0.0003454i
0.0013783+0.002108i,0.0011335+0.0017963i,0.00097996+0.0027109i,0.0017244+0.0016923i,0.0022655-0.0008579i,0.0023261-0.001688i,0.0028243-0.00072962i,0.0046301+0.00039593i,0.0052964+0.00092193i,0.0031904+0.00089856i,0.00093857+0.00076129i,-0.00016704+0.00052843i,-0.00032479+0.00076678i,-0.00012496+0.00061687i,-0.00040257-0.00035597i,-0.00068487-0.00093144i,-0.00038406-0.00071559i,-0.0010613-0.00076924i,-0.00094118-0.0010675i,-0.00023976-0.00094205i,0.00016304-0.00037765i,0.00040632-0.00025454i,0.00027401-0.00042488i
-0.001393+0.00060357i,-0.0021899+0.00096851i,-0.0014575+0.0017008i,-0.00011515+0.0013648i,0.00065148+0.00040668i,0.00074958-0.00065355i,0.0018003-0.0024601i,0.003816-0.0044816i,0.0043495-0.0047148i,0.0025158-0.0039786i,0.00052351-0.0017232i,-0.00029269+0.00066877i,-0.00019225+0.00038248i,0.00019137-0.00068483i,-0.00034452-0.0012445i,-0.00085972-0.0013844i,-0.00017862-0.00084447i,1.8153e-05-0.00045135i,-9.4695e-05-0.00044057i,-5.1987e-05-0.00068112i,-0.00094797-0.00024577i,-0.00091941+1.7915e-05i,-0.00045656+9.4617e-05i
-0.0042113+0.0014207i,-0.0034996+0.0018178i,-0.0028491+0.0022556i,-0.0014559+0.0024972i,0.00033608+0.0026011i,0.00068178+0.0015282i,-0.0010678-0.0010965i,-0.0024753-0.0033796i,-0.0026844-0.0044604i,-0.0018512-0.0035048i,-0.00091367-0.0016578i,-8.6411e-05-0.00079157i,8.9141e-05-0.0011498i,-0.00050256-0.0015975i,-0.00058136-0.0012954i,-0.00023458-0.0008265i,0.0001428-0.00077977i,0.00025133-0.00036532i,7.4358e-05+0.00086117i,0.00026152+0.0019406i,2.5598e-05+0.0018835i,-0.00025312+0.0014528i,-0.00031539+0.00064226i
-0.0016155+0.0010795i,-0.001254+0.0011633i,-0.00050255+0.00072146i,0.00058405+0.00035853i,0.00085516+0.0011383i,-0.00033809+0.0018028i,-0.002772+0.0012837i,-0.0055581-0.00010158i,-0.0070771-0.0012293i,-0.0061555-0.0013313i,-0.0029619-0.0013375i,-0.00062232-0.0014164i,-0.00041407-0.0012995i,-0.00073852-0.00083047i,-0.00062509-0.00023791i,-0.0010204-1.8558e-05i,-0.0011318+0.00051922i,-0.00064666+0.00065378i,8.3875e-05+0.00077862i,0.00079553+0.000641i,0.00092281-0.00098204i,0.00063973-0.0016701i,-4.2536e-05-0.00012753i
-0.0034618+0.0012076i,-0.0036176+0.0037609i,-0.003266+0.0056362i,-0.0014886+0.0043583i,0.0012488+0.0024315i,0.0020031+0.0015832i,0.00077721+0.0020866i,-0.0011279+0.0039114i,-0.0027584+0.0051038i,-0.0022651+0.0043537i,-0.0012428+0.0014837i,-0.0007633-0.00015722i,0.00018333+0.00037288i,0.00054846+0.00025868i,8.8654e-05-0.00056847i,-0.0008516-0.00074628i,-0.0008592+8.7568e-05i,-0.00058835+0.0010919i,-0.0010362+0.00077028i,-0.00064519+0.0005478i,7.308e-05+0.00092623i,0.00066161+0.00097901i,0.00055523+0.0003477i
0.0009873+0.00049475i,-0.00017812+0.00025955i,-0.00035123+0.00076523i,0.00048761+0.00099625i,0.001192+0.001325i,0.0019128+0.0011807i,0.0029348+0.0010965i,0.0043211+0.0028437i,0.0039431+0.0042492i,0.0017396+0.0037592i,-3.5222e-05+0.002117i,-0.00098541+0.0012929i,-0.00030885+0.00023024i,0.001321-0.00073401i,0.0012142-0.00043093i,0.00041544-3.4604e-05i,0.00048815+0.00012356i,0.0011006+0.00015275i,0.00055837-0.00039691i,0.00036732-0.0002564i,0.00064037+0.00075966i,0.00018179+0.00040702i,-5.5965e-05+2.8954e-05i
