0.002117+0.00045403i,0.003096-0.0012332i,0.0013688-0.0031609i,-0.00077808-0.0029082i,-0.0018645-0.000743i,-0.0032484+0.0018794i,-0.0025025+0.0024387i,-0.00054123+0.0014765i,0.0003932+0.00021741i,0.0013465-0.00091946i,0.0018068-0.00061779i,0.00086211-0.00018558i,-0.00066793+0.00010391i,-0.00080491+0.00042689i,-9.5238e-05+5.2141e-05i,-0.00016333-0.00013343i,-0.00070314-0.0003439i,-0.00069564-0.00051465i,-0.0007239-0.00035398i,-0.001669-0.00032528i,-0.0017657-0.00057146i,-0.00043787-0.00040221i,0.00053146+0.00044843i
-0.00062622-0.00056291i,-0.00084171+3.4565e-05i,-0.0018436+0.00064933i,-0.00040901+0.00028134i,0.001202+0.0016838i,0.0010637+0.0018756i,0.00040045+0.00071682i,0.00026172+0.0010616i,0.00032889+0.0011629i,8.1764e-05+0.00061708i,0.00013977+0.0011556i,0.00035461+0.0007472i,0.0002969-0.0002852i,-0.00022896-0.00045751i,-0.00075633-0.00032073i,-0.0010912-0.00052494i,-0.0012028+0.00022526i,-0.00063866+0.00045181i,-0.00034099+0.00026403i,-0.00055043+1.4899e-05i,-0.00029264-0.00039522i,-0.00039385-0.00032103i,-0.0003828-0.00048605i
-0.00063022-0.00014438i,-0.00079784-0.00052712i,-0.0010018-0.00026563i,-0.00050374+0.00045308i,-0.00022285+0.00051814i,-7.3172e-05+0.00042231i,-4.6067e-05+0.00048734i,0.00016574+0.00078564i,0.00031132+0.00039525i,-0.00042407-6.5051e-05i,-0.00075173+0.00015311i,-0.00034877+0.00013329i,-0.00030584-0.00050176i,-0.0010555-0.00069967i,-0.0011411-0.00069905i,-0.00093635+0.00017821i,-0.00019447+0.00059669i,0.001063+0.00036745i,0.0011728+0.00070373i,0.00082109+0.00091607i,0.00071905+0.00044983i,0.00040537+4.4154e-05i,0.00063835-0.0003291i
0.00040345-7.4544e-05i,1.0122e-05-0.00025381i,0.00060156-0.00020379i,0.00080786+0.00018789i,0.00047378+0.00097128i,-0.00028464+0.0011916i,-0.00014824+0.00072267i,-6.0933e-05+0.00030871i,-0.00050223-0.00059502i,-0.00055382-0.00081409i,-6.7435e-05-0.00061857i,-0.00015468+0.00022749i,-5.5991e-05+0.00038477i,0.00026051-0.00020763i,0.00033584-0.00015145i,-0.00031732+0.0003381i,-0.00046542+0.00022281i,0.00015717-0.00020829i,0.00026409+0.00026883i,0.0004124+0.00054043i,0.00029113-0.00030426i,-0.00039344-0.00047618i,-0.00048031+0.00052383i
-0.00014556-0.00068611i,-9.7123e-05-0.00034776i,0.00057487-0.00070451i,0.00040265-0.00099913i,4.5208e-05-1.6513e-06i,-9.0752e-05+0.0013564i,-0.0008389+0.0014042i,-0.0016665+0.00078i,-0.0017269-0.00011043i,-0.00090756-0.00016651i,0.00010432+0.00035808i,0.00046505+8.8911e-05i,0.00082625-0.00026598i,0.00097889+0.00019872i,0.00032968-0.00015241i,0.00014691-0.00046535i,0.00061815-0.0004096i,0.00047222-0.00072064i,0.00018575-0.00027269i,5.0164e-05+0.00024244i,-0.00040864+0.00051138i,-0.00027423+0.0001268i,0.00011901-0.00024419i
0.0029516+0.00061572i,0.0028982-0.00033766i,0.0025995-0.0019139i,0.0012599-0.0032854i,-0.00080866-0.0029016i,-0.0020732-0.0013706i,-0.0007293-0.00074403i,0.0011465-0.00026591i,0.0010989+0.00038216i,0.00027972-0.00052207i,6.804e-05-0.001402i,-0.00030325-0.00041538i,-0.0002313+0.0011504i,0.00030309+0.0015213i,0.00060672+0.0016128i,0.00039322+0.00081691i,-0.00032458-0.00020124i,-0.00041895-0.00060809i,0.00051393-0.0005812i,0.0010085-0.00031215i,0.00080286-0.00092548i,0.00012102-0.0011482i,6.8671e-05-0.0010357i
0.0023145+0.0007043i,0.0017918+0.001312i,0.0011436+0.0016786i,0.0011763+0.00084771i,0.00078022-0.00059301i,-0.00023967-0.0014788i,-0.00057446-0.00089429i,-0.00037043-5.0283e-05i,-1.5678e-07+0.00034106i,0.00024183+0.00011513i,-0.00010689-0.00087369i,-0.0001266-0.0007097i,0.00016071+0.00023201i,-0.0002376+0.00050303i,-0.00066371+0.0008804i,-0.00012092+0.0013587i,0.00048291+0.0007664i,0.00022166-3.6302e-05i,0.0003098+0.00069871i,-6.8345e-05+0.00055181i,-0.0007115+0.00013493i,-0.0010014-2.7887e-05i,-0.00076912-0.00042399i
-0.0025488-0.0010377i,-0.0026949-0.00054298i,-0.0028635+0.00098582i,-0.0017907+0.0014906i,-0.00045037+0.0015208i,-5.8721e-05+0.0018444i,-0.00065404+0.0015691i,-0.0012025+0.0011107i,-0.0011036+0.00071766i,-0.00091686+0.00055561i,-0.00057027+3.4227e-05i,3.8294e-05-0.00042854i,4.0299e-05-0.0011946i,-0.00015322-0.0012754i,-0.00036798-0.00075865i,-0.00053328-0.00088993i,-9.8033e-05-0.00093173i,8.7125e-05-0.00029172i,-0.00040918-0.00011306i,-0.00019637-0.00057038i,0.00014862-0.00084644i,0.00039394-0.00084938i,0.0010024-0.00091229i
0.00015897+0.0011415i,0.00088509+0.0005143i,0.0015554+0.00061618i,0.0015663+0.0013608i,0.001007+0.0017311i,-1.8322e-05+0.00092489i,-0.00066249+1.6908e-05i,-0.00040103-0.00035961i,-0.00015115+0.00012477i,0.00059132-8.8504e-05i,0.0011996-0.00014482i,0.00024582+0.00031742i,-0.00051241+0.00022386i,0.00029869-0.00022783i,0.00031768+6.3386e-05i,-0.00063236+0.00041078i,-4.0893e-05-0.00013935i,0.00085488-0.00033431i,0.00016068-0.00019645i,-0.00039009-0.00021463i,0.00034309-1.0802e-06i,0.00093244+4.6416e-05i,0.0014809-3.4961e-05i
-0.00016636-0.00076725i,-0.00062012-0.00015706i,-0.00083551-0.00028164i,-0.00024352-0.00035168i,-1.9362e-05-8.469e-05i,-0.00058075-0.00036038i,-0.00062912-0.0010522i,-0.00066445-0.0010189i,-0.00079726-0.00073469i,-0.00073895+0.00015935i,-0.0006877+0.00096867i,-7.4762e-05+0.00053453i,-0.0002478+0.00014651i,-0.00020626+0.00010778i,1.0217e-05+2.0141e-05i,-0.00012196-8.7966e-05i,3.0448e-05-0.00051019i,-0.0004422-0.00085994i,-0.001079-0.00021227i,-0.0010135-0.00025741i,6.4768e-05-0.00080452i,0.00071901-6.8212e-05i,0.00092576-5.4982e-05i
0.00035054+0.0019461i,-1.7389e-05+0.0016856i,-0.00040006+0.0013764i,-0.00037798+0.0016162i,-0.00095689+0.0014374i,-0.001989+0.00035067i,-0.0026389+0.00014952i,-0.0021302+0.00026743i,-0.00066895+3.8638e-05i,0.00030421+0.00020603i,7.9541e-05-0.00011932i,-0.00023964-9.4917e-05i,-0.00072445+0.00043915i,-0.00066543+0.00060751i,0.00034283+0.00035764i,0.0004953+0.00017118i,0.00060814-0.00011521i,0.00021911-8.1462e-05i,-7.2962e-05+0.00056424i,0.00013267+0.00044662i,-0.00019407+0.00059894i,0.00029412+0.0010905i,0.0009383+0.00042948i
