-0.006203-0.0020461i,-0.0073753+0.0012424i,-0.0083268+0.0037905i,-0.0063162+0.0046872i,-0.0028285+0.0041669i,0.00030089+0.0030949i,0.0011105+0.0019405i,0.00053763+0.0017241i,-4.8934e-05+0.00053888i,-0.00020772-0.00021301i,0.00034024+0.0003048i,0.00066736+0.0010127i,0.00030117+0.0008722i,0.00021003-0.00026209i,-3.0463e-05+0.00024688i,-0.00016321+0.0014359i,0.00081533+0.0013565i,0.0012687-0.00016876i,0.00041761-0.00095453i,-0.00019949-0.00021519i,-0.00011805+0.00024019i,-0.00043988+0.00033294i,-0.00094105+0.00064886i
-0.0014119-0.0012547i,-0.0021527-0.00053997i,-0.0021756-0.00056344i,-0.001559+0.00051553i,-0.00033136+0.0018213i,0.00048227+0.0014834i,0.0016058+0.00066245i,0.0017352+0.00052145i,0.00019804+0.00042276i,-0.00044149+0.00040351i,0.00028006+0.00049961i,-5.081e-05-0.00010213i,-0.00051264-0.00030051i,-0.00038579-0.00013081i,-0.00042306+7.147e-05i,-0.00056454-0.00015015i,-0.00085146-0.00010747i,-4.403e-05+0.00030641i,0.00027621+0.00026471i,-0.00052478-0.00015163i,-0.00098997-0.00046378i,-0.00039559-0.00019892i,2.1352e-06+4.5822e-05i
-0.00017422-0.0003755i,-0.00096485+0.00066269i,-0.0017041+0.0019116i,-0.0010299+0.0017125i,-8.7181e-06+0.0010177i,0.00038009-0.00019431i,0.00065632-0.00077109i,0.00057888-0.00039866i,0.00033531+0.00017469i,0.00028701-0.00016018i,-0.00014007-0.00077267i,-0.00054267-0.00072168i,-0.0001568-0.00029771i,0.00016091-0.0002786i,0.00013178-0.00045918i,-3.5434e-05-0.00030772i,-0.00014072-0.00077697i,-0.00037368-0.00036202i,-0.0002144+0.00018085i,0.00018828-0.00023198i,-9.7881e-05-0.00038932i,6.2701e-05-0.00053617i,0.00032997-0.00072864i
-0.00026671-6.1665e-05i,-0.00082541+0.0013144i,-0.0010996+0.00052536i,-0.00040604-0.00018344i,-0.00036008+7.8532e-06i,-0.00046343+0.00027032i,0.00074255+0.000539i,0.0012846+0.00086636i,0.00060905+0.00066252i,0.0004622+0.00039237i,0.00048469-0.00095746i,0.00024484-0.0019348i,8.0449e-05-0.0013127i,0.00039605-0.0008369i,0.00070183-0.00095628i,-0.00017606-5.3757e-05i,-0.00071012+0.00029852i,-0.00031674+0.00013375i,-0.00064261+0.00020693i,-0.001081+8.0645e-05i,-0.00082612-0.00026193i,-0.00021232-0.00096046i,-2.6384e-05-0.0007382i
-0.0019588-0.0017697i,-0.0022046-0.002068i,-0.0021079-0.0020726i,-0.0010282-0.00063002i,-0.00068634+0.00060437i,0.00022401+0.00067787i,0.00076577+0.00061297i,0.00015861-7.1317e-05i,-0.00036253-0.00041823i,-0.00018199-1.1663e-05i,-4.1993e-05+6.1391e-05i,-5.4116e-05-7.3952e-05i,0.0002584-0.00062182i,0.00086134-0.00046937i,0.00062534+0.0010577i,-0.00036489+0.0016109i,0.00028469+0.00078748i,0.00089017-5.4081e-05i,0.00080547-0.00064424i,0.00022765-0.0004783i,-0.00049306-0.00014494i,-0.00056126+8.0441e-05i,-0.00082107-1.8828e-05i
0.00053489+0.00066675i,0.00033176-0.00055443i,0.00043801-0.00067288i,-0.00012737+0.00073362i,-0.0008003+0.0021235i,-0.00097113+0.0017267i,-0.00065014+0.00067603i,-0.0001852+0.00030646i,0.00056593+0.00019168i,0.0009392-0.00013139i,0.00021869-0.00036619i,-0.00042715-0.00017364i,-0.00029672-0.00017723i,1.7942e-05-0.00022847i,0.00019421-0.00050788i,0.0005467-0.00026187i,0.00070425-0.00044918i,0.0010152-0.00078597i,0.00077737-0.0011832i,0.00025091-0.0012272i,-0.00042634-0.0005602i,-0.00038672-0.00010078i,0.00022339+0.00053628i
-0.0019162+0.0018672i,-0.0023887+0.0030387i,-0.0021066+0.0039993i,-0.00065813+0.0029169i,0.0011616+0.0014735i,0.00047285+0.00046726i,-0.00047998+0.00037045i,-0.00011135+0.00030877i,-0.00030585+1.1731e-06i,0.00013672+0.00025628i,0.00046166+0.0002287i,0.00044812-0.00011714i,0.00068599-0.00010649i,0.00040153-0.00017528i,0.00077296+3.0014e-05i,0.0011107+0.00045934i,0.00018954+0.00016721i,-0.00040701-0.0004541i,0.00031056-0.00014303i,0.00045083+0.00085846i,0.00012007+0.00047033i,0.00017718+0.00044055i,0.00023945+0.0010864i
-0.00019629-0.00027042i,-0.0013583-6.4971e-05i,-0.0015721+0.0011028i,-0.00075242+0.0020792i,0.00089047+0.0013215i,0.0017008-9.2226e-05i,0.0016099-0.00042468i,0.0015686+0.00018241i,0.0017795+0.00060586i,0.0013059+0.00042055i,0.0011472-0.00011848i,0.0012678-0.00043944i,0.00101-0.00049682i,0.00096446+0.00017333i,0.00041564+0.00031221i,-0.00041198-0.00012801i,-0.00068922+0.00058628i,-0.00019488+0.00022199i,0.00041969-0.00015855i,0.00037178-3.3083e-05i,5.1151e-05-2.0005e-05i,0.00043617-3.7365e-05i,0.00061324+0.00043914i
-0.00064452+0.0006776i,-0.00079085+0.00029822i,-0.00080425+0.0012875i,-0.00027761+0.0021548i,0.00042791+0.0014938i,0.0011689+0.00028437i,0.0012925+0.0001819i,0.0010965+0.00053449i,0.00093007+0.00091754i,0.00063382+0.00084836i,0.00038175-3.49e-05i,0.00017928-0.00049444i,-0.00020571-0.00047707i,-0.00067073-0.00030935i,-5.6886e-05-0.00050105i,5.106e-05-0.001358i,-7.4997e-06-0.00098627i,-7.3089e-05-2.5915e-05i,-0.00014955+0.00015954i,-0.00082896-0.00066963i,-0.0011776-0.00097997i,-8.4786e-05-8.4286e-05i,0.00070254+0.00041108i
-0.00053001-0.00055205i,-0.00096474-0.00013783i,-0.0026475+0.00010038i,-0.0023592+0.00011355i,-0.00098689+0.00054004i,-0.00031125+0.0013217i,-0.00013341+0.00099853i,0.00015175+1.3196e-06i,-3.1171e-05-0.0002021i,-0.00095663-0.0005658i,-0.0006345-0.00013301i,-2.0768e-05+0.00020871i,-0.00029317-0.00021792i,-4.4218e-05+0.00013388i,0.00063531+0.00049529i,0.00039586-0.00068733i,0.00020951-0.0018371i,-2.162e-05-0.0011146i,-0.00041857-0.00023025i,-0.00018599-0.00059493i,-0.00035112-0.00060425i,-0.00030835-7.797e-05i,0.00010372+0.00026162i
-0.001018-0.00016434i,-0.0011819-0.00052172i,-0.0012985+7.7606e-05i,-0.0011949+0.00055635i,0.00038083+0.00031347i,0.0010867-1.1776e-05i,0.0002898+0.00036979i,0.00015908+0.0010816i,-0.00025395+0.00075471i,-0.00064349-0.00043641i,-0.0001543-0.00098488i,-9.7842e-05-0.00052979i,-0.00014434-0.00051633i,0.00072081+0.00019799i,0.00025465+0.00052403i,-0.00057515+8.0437e-05i,-0.00062381+0.00029126i,1.741e-06+0.00054064i,-0.00047915+0.00036633i,-0.0013252-1.9965e-05i,-0.0007234-0.00036001i,0.00033526+9.312e-05i,0.0007852-1.607e-06i
