-0.0036907+0.0022016i,-0.0023615+0.0024658i,-0.003154+0.0035356i,-0.0017569+0.0027407i,0.00051344+0.0020945i,0.0014958+0.0019679i,0.0013475+0.0012353i,0.00024273+0.00074799i,-0.0001939+0.00038094i,0.00029377-0.00010262i,-9.8135e-06-0.0012065i,-0.00057745-0.002521i,-0.00032542-0.0023557i,-0.00024046-0.0013562i,-1.1395e-05-0.00057664i,-5.6302e-05-0.00013541i,-4.5344e-05-0.00013388i,-0.00054632-0.00030214i,-0.00055553-6.6088e-05i,0.0005816-0.00047187i,0.00061052-0.0010214i,7.1939e-05-0.00060426i,-0.00032903-0.00010013i
-0.0015527+0.0014877i,-0.0016103+0.0017061i,-0.0026663+0.0012069i,-0.0019065+0.00072766i,-2.4187e-05+0.00081931i,0.00051727+0.00094165i,0.00015588+0.00074956i,0.00019676+0.00037159i,-5.7902e-05+0.0007382i,-0.00045993+0.0012489i,-0.00017559+0.00084705i,-9.0243e-05+2.1682e-05i,-0.00038264-0.00036161i,-0.00047488+5.4372e-06i,-0.00043318+0.00018014i,-0.00034366+1.2905e-06i,-0.00028412-0.00016666i,-0.00020676+8.6648e-05i,-0.00052742+0.00079646i,-0.00051157+0.00085742i,-0.00060193+0.00045588i,-0.00059426+0.00034154i,-0.00057988+0.00031816i
0.0011892+0.00079141i,0.00093458+0.0011246i,0.000361+0.00050579i,0.00034658-8.0775e-05i,-8.7411e-05-0.00059611i,-0.00092731-0.0011511i,-0.00030454-0.00093071i,8.5397e-05+4.4547e-05i,-0.00019835+0.00060375i,-0.00025659+0.00012399i,0.0002569-3.7665e-05i,0.00064009+0.00025809i,-9.6226e-05+0.00065863i,-0.00046224+0.00088072i,8.6631e-05+4.278e-05i,-2.2713e-05-0.00028317i,0.0001277+0.00014384i,0.00016913-0.00036407i,6.7089e-05-0.00051839i,-0.00010368+2.6637e-06i,-9.4025e-05-3.0075e-05i,-8.7293e-05+0.00031996i,-0.00070827+0.00084747i
-0.00043737-9.5586e-05i,-0.00084144+6.0964e-05i,-0.0011678+1.7874e-05i,-0.00048921-0.00040074i,0.00046452-0.00025723i,0.00011688+4.2799e-05i,-0.00016243+5.6267e-05i,-0.00048021+0.00017417i,-0.0015485+0.00051971i,-0.0013557+0.00088254i,-0.00049095+0.00071652i,-0.00019229+0.00066203i,-0.00048414+0.00075478i,-0.00048627+0.00027127i,0.00023815-0.00018582i,0.0011222+0.0002798i,0.00050362+0.00093652i,4.9182e-05+0.00073421i,0.00056702+0.00048584i,0.00070489+0.00045371i,0.00043125+0.00050203i,-0.00044556+0.00048611i,-0.00053979+0.00071779i
-0.00084049-0.00087587i,-0.001513-0.00058374i,-0.0011887-0.00079002i,-0.0010075-0.00069461i,-0.00055272+0.0001844i,0.00026308+0.0010725i,-7.6302e-05+0.00074748i,-0.00032764-8.1589e-05i,-5.022e-05-0.00045025i,0.00012839-0.00040326i,7.9584e-05-9.6425e-05i,-0.00036111+0.0004834i,-0.0010194+0.00049344i,-0.00059534+0.00013704i,-5.6029e-05+0.00012693i,0.00054616-0.00010478i,0.0011786+0.00034485i,2.3861e-05+0.00028265i,-0.00091185-0.00021583i,-0.00077836-0.00049686i,-0.00026715-0.00028681i,-0.00021222-2.3417e-06i,-0.00052485-0.00020016i
-0.00024988+0.0012345i,-0.00084252+0.0017377i,0.00040642+0.001825i,0.00099201+0.00069413i,0.00025694-0.00058572i,-0.0003338-0.00076112i,0.00069278+0.00025974i,0.00059182+0.00078112i,-0.00043072+0.00049442i,-0.00053278+0.00040153i,-0.00021369-0.00072806i,-0.00031927-0.00080812i,-0.00043189-0.00018307i,-3.0485e-05+2.6979e-05i,-0.00017541+0.00011612i,-0.00011982-0.00012999i,-5.5553e-05-0.00044981i,-0.00037555+2.2501e-05i,-0.00014371+0.00016113i,0.00026154-0.00031905i,0.00034507-0.00012881i,-0.00025604+0.00020001i,-0.00072493-1.0179e-05i
8.4965e-05+0.00068497i,0.0007314+0.00019292i,0.0013503+0.00099937i,0.0015482+0.00037917i,0.0012968-0.00097817i,0.00065339-0.0015362i,0.00017971-0.0020988i,6.7676e-05-0.0009241i,-0.00038266+0.00045812i,-7.7486e-05+0.00075367i,0.00015857+0.00044362i,4.2365e-05+0.00010174i,0.00018519+7.6802e-05i,-5.2962e-05-0.00034433i,0.00033132-0.0009855i,0.00086949-0.00059673i,0.0012834-0.00016359i,0.0014423+0.00037765i,0.0002303+0.00091795i,-0.00061764+0.00049201i,-0.00041627-0.00030324i,0.00038629-0.00026886i,0.00014452+0.00053289i
0.00048284+2.9371e-05i,-0.00013955+0.0011362i,-0.0015268+0.000815i,-0.001697+0.00023402i,-0.0015232+0.00051279i,-0.0008892+0.0002434i,4.6468e-05-0.00045348i,0.00032535-0.00066343i,-0.00016059-0.000419i,-0.00054971-9.6125e-05i,-0.00018148-0.00014422i,0.00053016+1.0375e-05i,0.00064543+0.00059545i,-0.00014571+0.00046769i,-0.00086971+0.00029854i,-0.00024812+0.00084441i,0.00031605+0.00080732i,0.00028148+0.0006359i,0.00036078+0.00082552i,-0.0001916+0.00042495i,-0.00052677-0.0001509i,-0.00055448+9.9485e-05i,-0.0004517+9.1477e-05i
-0.00078691-0.0010483i,-0.0011636+6.7504e-05i,-0.0018319+1.5393e-05i,-0.0015701+3.1793e-05i,-3.6519e-05+0.00040672i,0.00058907+0.00030161i,0.00086987+8.7182e-05i,0.0006629+5.597e-05i,0.00018474+0.00077134i,-0.00043041+0.00048843i,-0.00042191-0.00055858i,-1.8764e-05-0.0010832i,-0.0001666-0.0017732i,-5.7052e-05-0.0017798i,0.00032944-0.0002684i,-9.1086e-05+0.00026506i,-0.00059265-0.00013707i,-0.0001187+9.5313e-05i,0.00028779-0.00024091i,2.5554e-05-0.00046164i,5.0341e-05+4.2491e-05i,6.0403e-05-0.00015855i,0.00011002-0.00087405i
0.00047306+0.00049048i,-0.001364+0.00034124i,-0.0015294+0.00047467i,-0.00042299+8.4389e-05i,0.00057718-0.0010942i,0.00099593-0.00079295i,0.00031919-0.00016461i,-0.00072194-0.00023629i,-0.00075239+0.00033696i,0.00025453+0.00056113i,0.00076442+0.00011513i,0.00036322+0.00021768i,-0.00021807+0.00014586i,-0.00049457+8.217e-05i,0.0001519-0.00012278i,0.00049109-0.00027619i,0.00027387-0.00016476i,0.0002059+0.00021974i,0.00034154+0.00058113i,0.00040194+0.00031914i,-2.7732e-05+0.00011368i,1.8286e-05+0.00037093i,0.0012624+0.00025853i
-7.5692e-05+0.0016777i,-1.521e-05+0.00099362i,0.0002552-0.00077541i,-5.9417e-06-0.0014988i,9.4785e-05-0.0012678i,0.00018859-0.00064537i,8.7421e-05+0.00021403i,4.5481e-05+0.00023508i,-0.00076546-3.6873e-05i,-0.0013526+0.00024555i,-0.0010816-5.6796e-05i,-0.0010594-0.00088846i,-0.001375-0.00061996i,-0.00079419-0.00035769i,0.00031374+0.00012423i,0.00023294+0.00084424i,0.00040553+0.00024777i,0.00062255-0.00057076i,-0.00029097-0.00033597i,-0.00071017-0.0002037i,-0.00027053-0.00076352i,0.00073456-0.0012009i,0.00059297-0.00097162i
