0.00074688+0.00079012i,-0.0003208+0.00012369i,-0.00016178-5.2532e-05i,-0.00041861-0.0016768i,-0.0017355-0.0016868i,-0.0030328-0.00064284i,-0.0024147+0.00023985i,-0.00010199+0.0010372i,0.0010915+0.00076358i,0.0012885+0.00036754i,0.001054-0.00064038i,0.00024652-0.0014612i,-8.2657e-05-0.0010097i,-0.00015888-0.00021284i,-8.0145e-05-0.00042311i,0.00052726-0.00061985i,0.00056696-0.00013016i,-0.00030502+0.00024258i,-0.00043881+7.3588e-05i,-0.00023223-0.00047666i,-1.9534e-05-0.00039592i,-0.00014856-0.00015115i,-0.00053953+0.00059083i
-0.0013889+1.957e-05i,-0.0015746+1.1327e-07i,-0.0011362+0.00043607i,-0.00087602+0.00028918i,-0.00083419-0.00025999i,-0.00091591-0.00052041i,-0.00072231+0.00016313i,-9.8916e-05+0.0004229i,1.6164e-05-0.0002836i,-0.00038038-0.00051191i,-0.0010253-0.00044334i,-0.00086512-0.00016291i,-0.0002317-0.00034621i,-7.8687e-05-0.00075166i,-0.00036051-0.00088647i,-0.00055773-0.00051712i,-1.8801e-05+0.00013691i,0.00022288+0.00049651i,7.3213e-05+0.00017739i,-0.00039383-0.00046773i,-0.00077032-0.00045954i,-0.0005922+0.00026779i,-0.00045372+0.00065094i
0.00056269+0.0022039i,0.00092687+0.0025121i,0.0015918+0.0022685i,0.0015955+0.0012363i,0.001591+0.00014605i,0.001255-0.00032825i,0.00046897-0.00023171i,4.262e-05-0.00036066i,0.00012758-0.000278i,-1.8499e-06+8.2841e-05i,-0.0010946+0.00014923i,-0.0015002-0.00019031i,-0.00063387-0.00014249i,-0.00019365+0.00019541i,-0.00021653-0.00028995i,9.04e-05-0.00054032i,4.762e-05-7.9508e-05i,-0.00047422+0.00012402i,-0.00074721+0.00052337i,-0.00069499+0.00092439i,-0.00033375+0.00062846i,-0.00016267+0.000215i,-8.2016e-06-2.7059e-07i
0.0013183-0.0018004i,0.00077501-0.001948i,0.0011114-0.0035387i,9.0928e-05-0.0028135i,-0.0021803-0.0014504i,-0.0024667-0.00092244i,-0.0013609-0.00032861i,-0.00013459-0.00030609i,0.00061705-0.0011006i,0.00045472-0.0010713i,8.8023e-05+0.00024571i,0.00063874+0.00099369i,0.00069192+0.00072439i,2.8899e-05+0.00052317i,0.00025123+0.00017947i,0.00057544+0.00073684i,1.1514e-05+0.0014836i,-6.7033e-06+0.00017658i,0.00018169-0.0010986i,0.00036298-0.00028982i,-0.00010686+0.00095827i,-0.00088255+0.00046469i,-0.00068958-0.00025691i
0.0012063+0.002306i,0.00053688+0.0026025i,-0.00081006+0.0012144i,-0.00055142-0.00048658i,-0.00060834-0.00065726i,-0.0013767-0.00019989i,-0.0010735-0.00032236i,0.00041143-0.00096567i,0.00094476-0.0016138i,-3.1167e-05-0.0014294i,-0.00057334-0.0013143i,-0.00062932-0.0015037i,-0.00049171-0.0009313i,-0.00017807-0.00023996i,8.9635e-05+0.00038263i,0.00056891+0.00080404i,0.00074256+0.00024852i,0.00066477-0.00060602i,0.00022227-0.00035377i,-0.00043937-0.00055509i,-7.8948e-05-0.00045275i,0.00041322-3.1027e-05i,-6.9469e-05-0.00018872i
-0.00010029+0.00080446i,0.00050662-2.7129e-05i,0.00057317-2.9178e-05i,-0.00045876+0.00046954i,-0.001063+0.00021352i,-0.00072839+0.00017259i,-0.0012087+0.00034314i,-0.0013269+8.2133e-05i,-0.00049652-0.00064327i,-0.00035729-0.00070773i,-0.00097419-0.00070803i,-0.0010811-1.4141e-05i,-0.00065889+0.0010167i,-0.000108+0.00079011i,-0.00056053+0.0005678i,-0.0007426-4.8698e-06i,-2.4039e-05-0.00069935i,0.00043795-0.00075716i,9.9392e-05-0.00064588i,2.8372e-05-0.00019014i,0.00043233-0.00053325i,0.00061648-0.00057593i,0.00059597+0.00033786i
-0.00017776-0.00070758i,0.00045974-0.00011689i,-0.00029662+0.00064376i,-0.0011198+0.00070399i,-0.0017277+0.00041017i,-0.0014973+0.00016642i,-0.0010276+0.0010132i,-0.00081254+0.0010367i,-0.00090295-0.00015007i,-0.00061854-0.00050741i,-0.00021277+0.00031082i,-0.00020204+0.00064024i,-0.00050247+0.00068978i,-0.00065734+0.00076434i,-0.00034767+2.8388e-05i,-2.4267e-05-0.00040591i,0.00019734+9.9339e-05i,0.00016807+0.00052581i,-8.4396e-05-3.9921e-05i,0.00030729-0.00052585i,0.00059026-0.00052221i,0.00028005-0.0001613i,-0.00040655+0.00019358i
-0.0017052-0.00083592i,-0.0019874-0.00082401i,-0.00064397+0.00033139i,0.00010107-0.00024709i,-0.00067294-0.0015912i,-0.0010774-0.0012728i,-6.3284e-05-0.00085451i,0.00091976-0.0014223i,0.00068743-0.0012329i,-0.00022268-0.00012462i,-0.00052765-0.00016898i,9.3406e-05-6.4749e-05i,0.00021343+0.00051044i,0.00086154+0.0010414i,0.0010448+0.0012477i,0.00021513+0.00098662i,5.9168e-05+0.00017788i,0.00078144-5.3826e-06i,0.00093086+0.00032536i,0.00014056-0.00018862i,-0.00025948-0.00059905i,5.3997e-06-0.00012527i,0.0003031+0.00019873i
0.00047109-0.00010157i,7.1475e-05+0.00020242i,-0.00031951-0.00021055i,-0.0013023-0.00081921i,-0.0020214-0.0008675i,-0.0018303-0.0001432i,-0.00088695+0.00032952i,0.00032066+0.00046736i,0.00056064+0.00030334i,0.00024794-0.00026085i,0.00017236-0.00034804i,0.00051263-0.00027617i,0.001096+7.79e-05i,0.00081957+0.00065325i,0.00012217+0.00099822i,-0.00045359+0.0011569i,-0.00045618+0.00054138i,-0.0002371-0.00071663i,-0.00048164-0.00083966i,-0.00028515-0.00062135i,0.0002089-0.0007449i,0.00057222-0.00020144i,0.00029463+0.00054049i
0.00060755-5.3775e-05i,9.3773e-05-3.4883e-05i,-0.00050837-0.0013784i,-0.0011774-0.0016267i,-0.002192-0.00093102i,-0.002961-0.00018266i,-0.0018589-0.00033909i,0.00018045-0.0012009i,0.00069518-0.00096026i,0.00023427-0.0012914i,-0.00030291-0.001634i,-0.00088126-0.00096525i,-0.00069717-0.0008498i,-0.00078442+0.000302i,-0.0012441+0.00070095i,-0.0006878+0.00029171i,-0.00049801+7.3162e-05i,-0.0010351+0.00029866i,-0.00079669-4.7649e-05i,-3.9618e-05-0.00018356i,0.00030613+0.00029337i,7.6924e-05-6.8496e-05i,-0.00020657-0.00033431i
0.0001271-0.00021619i,0.00061068-0.00030426i,0.00039502-0.0002693i,-0.00086725-0.0007491i,-0.001239-0.0011494i,-0.0017175-0.00063905i,-0.001396-0.00032815i,-0.00076484-0.00051876i,-0.00030889-0.00066694i,5.0576e-05-0.001219i,-0.00043181-0.0011542i,-0.00075694+0.00043144i,-0.00058314+0.0011624i,-0.00095187+0.00048922i,-0.0014794+0.00018356i,-0.0010887+0.00076974i,-0.00057744+0.00016573i,-0.00021208-0.001586i,-7.6685e-05-0.0014537i,-4.8756e-05+0.00037362i,0.00041391+0.0014745i,0.0004369+0.0011118i,0.00053393+0.0005563i
