0.00072809+0.00048253i,0.00025616-0.00027824i,0.00024621-0.0010661i,-0.00013643-0.0012435i,-0.001503-0.001671i,-0.0022115-0.00098828i,-0.00082807+0.00061143i,0.0010622+0.0011314i,0.0017314+0.00077495i,0.0017884-0.00038806i,0.00084417-0.00067127i,1.2898e-05-0.00034091i,-1.3164e-05-0.00010145i,0.00039451-0.00029298i,0.00011049-0.00032334i,0.00050066+0.0001223i,0.00039747+0.0005537i,0.00014372+0.00099422i,0.00093494+0.00078892i,0.00063423+0.00057586i,0.00020009-4.6873e-05i,0.00083352+2.1648e-05i,0.00036916+0.000581i
-0.00040233-0.0015045i,-0.00067034-0.0011031i,-0.00080197-0.00025164i,-0.0010705-0.00036703i,-0.00075108-0.00086692i,0.00010611-0.00011649i,0.00053039+0.0001557i,0.00028278-1.8574e-05i,-0.00013492-4.6449e-05i,-0.00021276-0.00018846i,0.00053506+0.00050356i,0.00084532+0.0010664i,0.00070323+0.00090338i,-0.00020267+0.00081649i,-0.00042736+0.00056941i,0.00066017+0.00027274i,0.0010665+0.00034889i,0.0003512+0.00026898i,0.00013096+0.00013023i,-3.1185e-05+0.0010124i,-7.2874e-05+0.0010455i,-0.00027003+0.00026318i,-0.00047058-0.00065248i
-0.0012642+0.0011721i,-0.00088629+0.001765i,-0.00036736+0.001602i,0.00053685+0.0010577i,0.00053396+0.00019765i,-0.00010861+7.1861e-05i,-0.0006619+0.00013835i,-0.00069324+0.00049598i,-0.00041099+0.00063967i,0.00014135+2.1631e-06i,0.00067664-0.00024389i,0.00052182-3.1856e-05i,2.4875e-05-0.00062768i,1.9373e-05-0.0014535i,0.00067148-0.0012544i,0.00043467-0.00043289i,-5.5449e-06+0.00037414i,0.00017717+0.00098601i,-0.00019045+0.0014072i,-0.00058094+0.0012046i,-0.00020235+0.0010126i,-0.00021559+0.001186i,-0.00038815+0.0011266i
-0.00054599-0.0012476i,-0.00071814-0.0017569i,-0.00077138-0.0011686i,2.1767e-06+0.00062959i,0.00092389+0.0011436i,0.00070094+0.0002233i,0.00075979-0.00011496i,0.00068808+0.00022244i,0.0001169+0.00043103i,-0.00037009+0.00036268i,-0.00071059+0.0005258i,-0.00030326+0.00064899i,-0.00043449+0.00062259i,-0.00043262+0.00016011i,0.00030092+0.00011481i,0.00031227-0.00028284i,-0.0003154-0.00026779i,-0.00041327+0.00013167i,-0.00052505-0.00062394i,-9.0438e-06-0.00085947i,0.00080821-0.0001132i,0.00088037+0.00017129i,0.00043451-0.00039827i
-0.0016-0.0016557i,-0.0020695-0.0011959i,-0.0017862+0.0015491i,-0.00084019+0.0021944i,-0.00010251+0.00032924i,-2.9564e-05-0.001051i,-0.00050388-0.00096262i,-0.00094658-0.00060006i,-0.0010695-0.00025086i,-0.00066439+0.00092315i,0.00052302+0.0009257i,0.0013204+0.00011608i,0.00075118-0.00049394i,0.00028711-0.0004994i,0.00051941-0.00036366i,-0.00017937-0.00032307i,-0.0012853+0.00018653i,-0.001011+0.00055465i,-0.00028942-9.2421e-05i,-0.00035354-0.00033729i,-0.00041656+0.00047168i,-0.00015295-2.7801e-05i,0.00027514-0.00069793i
-0.0023464-0.0011894i,-0.0014274-0.00083883i,-0.00075292+0.00076962i,-0.00046075+0.0017756i,0.00069673+0.0016591i,0.0015388+0.00069327i,0.0005748+0.00053882i,-0.00011362+0.00030293i,-0.00045832-0.00031874i,-0.0006205-0.00010368i,-5.0054e-05+0.0005094i,0.00022674+0.00013665i,0.00049465+0.00044874i,0.00041585-2.8178e-05i,5.1063e-05-0.0013147i,0.00023833-0.00076921i,0.0006558+0.00035479i,0.00052505+0.00032868i,0.00019203+0.00052574i,0.00016549+0.00093198i,0.00057483+0.00055651i,0.0010254-2.9486e-05i,0.00079187+0.0004122i
0.00028923-0.0017141i,-0.00027034-0.0022514i,-0.00029367-0.0015727i,-0.00072748-0.00080405i,-0.00092774-0.00034582i,-0.0002426+0.00082017i,0.0001895+0.0011631i,4.7425e-05+0.00041923i,-0.0002227-0.00016049i,-0.00051641+9.3558e-05i,-0.00053024+0.0011793i,-0.00075273+0.00088462i,-0.00059935-0.00014815i,2.726e-05-0.00084705i,0.00021319-0.00074025i,0.00011328-0.00031779i,-0.00029341-2.8535e-05i,-0.00022366-0.00047987i,9.8452e-05-0.00050997i,-0.00032939-3.4625e-05i,-0.00010647+0.00020688i,0.00029466+0.00088388i,-0.00065693+0.00079748i
0.0031468+0.0003633i,0.0017023+0.00022745i,0.0011442-0.00020843i,0.0004396-0.0007411i,-0.00057358-0.00022898i,-0.00060044+0.00046183i,0.00034986+0.00072449i,0.00040638+0.00046191i,-0.00053553-0.00066532i,-0.00076506-0.00080148i,-0.00026826-0.00039489i,-0.00017294-0.00017415i,-0.00042782+0.00036776i,-0.00032866+0.00034496i,0.00031242-3.7487e-05i,0.00040598-0.00014542i,0.00030111-0.00025179i,0.00038291-3.7294e-05i,0.00014423+0.00059122i,0.00018052+0.00045051i,-0.00016167-0.0004818i,-0.00011492-0.00019328i,0.00056767+0.00074928i
-0.00070112+0.00019118i,-0.001058-0.0010043i,-5.6827e-05-0.00038022i,9.111e-05+0.00015635i,-0.00057313-0.00085378i,-0.00071463-0.00075033i,-2.9725e-05+0.00010819i,0.00060802+0.00052772i,0.00075592+0.00066397i,0.00069444+0.00051783i,0.00073525+0.0003165i,0.00078827-3.0225e-05i,0.00082427-0.00058955i,0.00028792-0.0003565i,7.316e-05-0.00019864i,0.00037969+0.00037511i,0.00023841+0.00040233i,-0.00056897-0.00011349i,-0.00079637-0.00045716i,-0.00046148-0.00019006i,0.00029641+0.0002972i,0.0011659-0.00010933i,0.0013443+0.00015387i
-0.00092941-0.0012175i,0.00037672-0.00021155i,0.00061284+0.0008518i,0.00073853+0.00068646i,0.00058266-0.00039735i,9.7092e-05-0.00034429i,0.00038949-0.00020923i,1.0099e-05-0.00080772i,-0.00047414-0.00068707i,-8.1864e-05+0.00032025i,5.602e-05+0.00070092i,9.1912e-05+0.00071029i,-3.6906e-05+0.000241i,2.6906e-05-0.00021702i,-2.7386e-05-0.0006476i,-0.00023687-0.00095706i,-0.00039412-0.00014541i,-0.0010011+0.00045263i,-0.0012632+0.00012183i,-0.00062534+0.00020047i,0.00010088+0.00025636i,-0.00014939+0.00016727i,-0.00091113-0.00018309i
-0.001756-0.001584i,-0.0024478-0.00023083i,-0.0026876+0.00032336i,-0.0017953-0.00068995i,-0.0011724-0.0015936i,-0.00035964-0.0016403i,-1.6539e-06-0.0011742i,9.1015e-05-0.0012026i,0.00013553-0.00096654i,-0.00094161-0.00052037i,-0.00081899-4.5253e-05i,0.00011026+1.0108e-05i,0.0002057+0.00021444i,0.00019789+4.647e-05i,5.8213e-05+0.00057101i,-0.000198+0.00045816i,0.00028837+9.1469e-05i,0.00012801+0.00038943i,-0.00028184-3.215e-05i,-8.5735e-05-0.00027772i,0.00037804-0.00018898i,0.00034512-0.00027123i,0.00012766-0.0010115i
