-0.0031207+0.00060564i,-0.0017855+0.00018939i,-0.0019758+0.00051032i,-0.0022994+0.0010113i,-0.0026108+0.0011773i,-0.0021505+0.0022409i,-0.001639+0.0014657i,-0.0012323+0.00081139i,0.00014889+0.00098712i,0.00091908+0.00057426i,0.0006059+0.00034839i,0.00079743+0.00040828i,0.00029781+6.2337e-05i,-0.00050147-0.00072696i,-8.2617e-05-0.00045323i,0.00038229+0.00016228i,-0.00016499-2.6888e-05i,-0.00080544-3.3869e-05i,-0.0005721-1.8802e-05i,0.00020365-0.0011152i,0.00045799-0.0011374i,-1.2646e-05-0.0001884i,8.4226e-05-0.00026382i
0.00060292+0.0003132i,-3.9823e-05+0.00098482i,0.00012471-0.00022186i,0.00060217-0.0020165i,-0.00024463-0.0023275i,-0.00079264-0.0010172i,0.0002518-0.00052238i,0.0011018-0.00041827i,0.0016152+0.00024564i,0.0016036+2.7439e-05i,0.0004039-0.0003271i,-0.00066711+3.2007e-05i,-0.0010299+0.00064998i,-0.00077149+0.00059246i,-0.00033921+3.2585e-06i,-0.00051286+0.00054752i,-0.0007632+0.0011595i,-0.00074376+0.00084394i,-0.00060694+9.1784e-05i,-0.00070586-2.187e-05i,-0.00083075+0.00033191i,9.0233e-05-0.0002459i,0.00016843-0.00083266i
-0.00013437-0.001267i,9.8481e-05-0.0013278i,0.00016406-0.00087181i,-5.7809e-05-8.5053e-05i,-0.00052226+0.00049925i,-0.0003981+0.00083366i,-0.00015334+0.0011137i,-0.00049333+0.0009402i,-0.00038669+0.0006616i,-0.00019673-0.00026305i,-0.00016204-0.00086437i,-0.0001273-0.00088417i,0.00042162-0.00072247i,0.00021008-0.00057369i,-0.00017336-0.0004869i,-0.00016961-0.00057286i,-0.00033118-0.0004109i,-0.00015566+0.00045787i,-1.8e-05+0.0007491i,0.00020698-0.00035361i,-3.6932e-05-0.0013819i,-0.00035362-0.00077268i,-5.062e-05-9.1449e-05i
0.00025722+0.0025574i,0.0018997+0.0022698i,0.0025753+0.0021681i,0.0028922+0.00066479i,0.0024092+7.349e-05i,0.00084574-0.00018051i,-0.00025605-0.00099541i,-0.00073138-0.0013i,-0.00053731+1.9459e-05i,0.00067655+0.00047047i,0.001629+1.8173e-05i,0.00029117-0.00038659i,-0.0006886-0.0010339i,-0.00039004-0.00077985i,-0.0002854+0.00022541i,-1.9677e-05+0.00043911i,0.00029502-5.3984e-05i,-0.00040562-5.8226e-05i,-0.00098014-0.00018535i,-0.00048654-0.00097583i,-0.00049549-0.00088757i,-0.0004527-9.624e-05i,-0.00011019+0.00015036i
0.00069359+0.00095488i,0.001063+0.00069856i,0.0011224-1.1313e-06i,0.00042741+0.00032352i,0.00029434+0.00016446i,0.00022409-0.00026971i,-0.00039603-0.0001034i,-0.00053664-0.00057487i,-0.00023722-0.0007601i,0.00038033-0.0006174i,0.00028209-0.00072227i,-0.00039733-0.00031627i,-0.00040418+0.00057524i,-0.00032039+0.00065036i,1.87e-05-0.00012401i,1.2996e-05-0.00017156i,-0.0001031+0.00029027i,3.3089e-05-0.00013156i,-0.00010032-0.00048355i,-0.00059018-0.0003072i,-0.00071673-0.00053656i,-0.0005932-0.00070599i,-0.00053851-0.00063995i
0.0012737+0.0017962i,0.0018759+0.00099524i,0.0032156-0.00055058i,0.0028266-0.0023286i,0.00065785-0.0032469i,-0.00065518-0.0018276i,-0.00042713-0.00069379i,-0.00028077-7.9381e-05i,0.00011367+0.00022043i,0.00043331-0.00031881i,0.00013366-0.00049191i,-0.00049736-0.00061256i,-0.00076184-0.00079877i,6.7931e-05-0.00020705i,0.00094573+0.00080401i,0.0010061+0.00097103i,0.00030015+0.0008644i,-0.00029565+0.00063312i,-0.00037022-5.1787e-05i,-0.00015287-0.00011432i,-0.00032785-0.00036763i,-0.00103-0.0013491i,-0.00071469-0.0011341i
-0.0010595-9.8893e-05i,-0.0013883+0.00043104i,-0.0015077+0.0014032i,-0.0013525+0.0012375i,-0.00087134+0.001297i,-0.00058773+0.00081546i,-0.00085219-0.00035244i,-0.00020927-0.0002823i,0.00069999+0.0010251i,0.0010816+0.00076792i,0.00028586-7.5436e-05i,-0.00070021+0.00042646i,-0.00015816+0.00013898i,0.00034382-0.00024774i,0.00015436+0.00023859i,0.00016327-0.00026306i,3.1359e-05-0.00045982i,-0.00029915+0.00035009i,-8.8978e-05-4.5531e-05i,-0.00029032-0.00011955i,-0.00049285+0.00039778i,-0.00069765-0.00020992i,-0.0011708-0.00038846i
-0.00092917-0.0013251i,-0.0017303-0.00085309i,-0.0014293-0.00062193i,-0.0010971-0.00011838i,-0.0017753+0.00030341i,-0.0014045+0.00038546i,0.00018433+0.00026203i,0.00054167-0.00025084i,0.0002547-0.0002496i,-2.4991e-05+0.0004631i,-0.0001778+0.00010502i,-0.00045141-0.00014311i,-7.1305e-06+0.00034602i,0.00041936+9.5919e-05i,0.0002025+4.6881e-05i,-0.00016533-0.00017898i,-0.00071619-0.00035261i,-0.00046862+0.0003883i,-0.00011347+0.00048265i,-3.7867e-05+6.2301e-05i,-9.7705e-05-0.00013091i,0.00011891-4.3309e-05i,1.5677e-06+0.00042893i
-0.00035582-0.0013728i,0.00047118-0.0014934i,0.0011228-0.0013753i,0.00038538-0.00053347i,-0.0003381+0.00023611i,-5.7735e-07+0.00095286i,-0.00012859+0.0012552i,-0.00047538+0.00093595i,-5.9974e-05+0.00052366i,0.00086504-0.00017424i,0.00074038-0.0005156i,0.00063426-3.6928e-05i,0.00014256+0.00025928i,-0.00061292-0.00042752i,-0.00075901-0.0011721i,-0.00034599-0.00099987i,-0.0001815-0.00059086i,-0.00023115-0.0009744i,-0.00012892-0.00077391i,-0.00019294+0.00029735i,-1.0289e-05+0.00031915i,-0.0003167-0.00021605i,-0.00048837-0.00018753i
-0.0012352+0.0024683i,0.00019587+0.0012029i,0.0020847-0.00026279i,0.0021986-0.0013761i,0.00083258-0.0010914i,0.0003263-0.00074879i,0.00013108-0.00083495i,5.8261e-06-0.00041874i,8.5397e-05-0.00021784i,0.00045777-0.00051048i,0.0010503-0.0010551i,0.00023364-0.00071633i,-0.00081272+0.00019915i,-0.00053553+0.00047594i,7.884e-05+0.00011983i,-0.00011785+0.00036667i,-0.00028753+0.0002579i,0.00055948-0.00034649i,0.00027647-0.00038963i,-0.00053275-0.00056361i,-0.00090301-0.00079032i,-0.0011908-0.00094542i,-0.001052-0.00098019i
-0.0012216-2.4997e-06i,-0.00059141-0.00019799i,0.00061914-0.00067818i,0.00045407-0.00087746i,-0.00011678-0.00061511i,-0.00056643-0.0004732i,-0.00051765-0.00024409i,4.9363e-05-0.00050217i,0.00030679-0.00045402i,0.00050697+5.3987e-05i,0.00046629-0.00015378i,-3.5687e-05-0.00047281i,-0.00065088-0.0010692i,-0.00065484-0.00111i,-0.0006844+0.00010967i,-0.00097278+0.00052881i,-0.0003382+0.00034626i,-0.00017308+0.00011272i,-0.00078069-0.00028145i,-0.00084483-0.00038144i,-0.00087838-0.00014874i,-0.00095918-0.00010118i,-0.00017467-0.00055071i
-0.00017478+0.0017978i,0.0015869+0.0013605i,0.0022884+0.0018515i,0.0017911+0.001195i,0.0014031+0.00025576i,0.00063443+7.4671e-05i,-0.0006763-0.00014972i,-0.00047807+0.00012608i,0.000443+0.00042597i,0.0011941+0.0004015i,0.00078059-2.1727e-05i,0.00013629+0.00010322i,-0.00019213+0.00045111i,-0.00085878+0.00094952i,-0.0010962+0.0013656i,-0.00037269+0.0010306i,5.6217e-06+5.4005e-05i,0.00072596-0.00050515i,0.0010163-0.00026319i,0.00018822+0.00038525i,-0.00017143+0.00044879i,-0.00016131-0.00011794i,-0.00019939-0.00069054i
-0.00046333+0.00045114i,-0.0009722+3.9337e-05i,-0.00045343-0.00086229i,-0.00025922-0.00074971i,-0.00012859+0.00029503i,0.00044437+0.00039525i,0.0004009-0.00043876i,-0.00011643-0.00039577i,-0.00056854+0.0003638i,0.00014632+0.00033201i,0.00017329+0.00016896i,-0.00051801-9.9113e-05i,-0.00063354+7.9405e-05i,-0.00017529+0.0001201i,0.00027129+0.00045834i,0.00027649+0.0007885i,0.00016955+8.662e-05i,-0.00011149-0.00024751i,-0.00011762+0.00020855i,-0.00052622+0.00010336i,-0.00066323-0.0002795i,-0.00022646-0.00081259i,-2.2219e-05-0.0012219i
4.7723e-05+0.000513i,0.00091978+0.0004899i,0.0022122+0.00051747i,0.002776+0.00030285i,0.0020272-0.00010799i,0.0011627-0.00047976i,0.00080877-0.00057909i,0.00013658-0.00041819i,4.0735e-05+0.00015226i,0.00018601-4.3822e-05i,0.000168-0.0002568i,-0.00011311-3.3445e-05i,-0.00012039-0.00016311i,0.00016211-0.00033661i,-7.039e-05+0.00025556i,9.6603e-05+0.0013755i,0.00094159+0.0012097i,0.00079378+0.00023077i,-8.3455e-05+7.4537e-05i,-0.00060558-0.00088667i,-5.6895e-05-0.00068771i,0.00014808+0.00047092i,7.8602e-05+5.7326e-05i
-0.0016242+0.00053122i,-0.0017917+0.00071527i,-0.0013793+0.0011924i,-0.00014169+0.0010561i,0.00067581+8.2326e-06i,0.00019837-0.00051608i,-0.00033532+2.4712e-05i,7.0316e-05+2.3268e-05i,0.00055333-0.00011237i,0.00071338-5.844e-06i,0.00068993-0.00082834i,0.00019234-0.0010439i,-0.00069292-0.0007268i,-0.00096927-0.0004739i,-1.3016e-05+0.00054325i,0.00039106+0.00065633i,0.0002197+0.00027722i,0.00016438+0.00048355i,7.6383e-05+9.9154e-05i,-2.2387e-05-0.00023146i,6.9822e-05-1.7286e-05i,-7.7418e-05-0.00018977i,-0.00028674-0.00053165i
3.8143e-05-0.00040303i,-0.00070333-4.5968e-05i,-0.00044214-0.0006126i,7.6795e-05-0.00089296i,8.3101e-05+6.5063e-06i,0.00021616+0.00030479i,0.00028046-0.00071987i,-0.00023339-0.00056551i,-0.00046625+0.00053394i,-0.00028822+0.00075246i,-0.00015051+9.8369e-05i,-0.00033766-0.00047701i,-0.0009016-4.692e-05i,-0.00021504+0.0004574i,0.00038493+0.00061278i,4.8649e-05+0.00069729i,-6.4952e-05+0.00092612i,0.00058543+0.00099159i,0.00058306+0.00059962i,-6.8884e-05+9.868e-05i,0.00017999-0.00068306i,0.00042208-0.00080935i,0.00013909-0.00049404i
0.00050484-0.0010396i,-0.00017736-0.0014804i,-0.00024333-0.00064057i,-0.00058753+0.00080684i,-0.00095076+0.00067936i,-0.00054048-0.00067953i,-0.00063249-0.0012251i,-0.0004106-0.00091343i,0.0002154-0.00022934i,0.00024437+0.00032299i,-9.6421e-07-3.1072e-05i,-3.8813e-05-9.9897e-05i,-4.6846e-05+0.00081934i,0.00016116+0.0011108i,0.00056185+0.00070238i,0.00073336+8.2409e-05i,0.00056954-0.00020668i,0.00053293+0.00048353i,0.00016764+0.0004284i,-0.00079341+0.00015424i,-0.00046889+0.00010342i,0.00027243-0.00045079i,-4.1265e-05-0.0005174i
0.00028308+0.00037473i,0.00109-0.0012562i,0.0014281-0.0021624i,0.00059474-0.001889i,-0.0001677-0.0015285i,-0.00065334-0.00098129i,-0.00052395-0.0006806i,-0.00018251-0.0012129i,-0.00048618-0.0015664i,1.3141e-05-0.0013235i,0.00044546-0.00076706i,-0.00011158+0.00018669i,0.0002789+0.0011704i,0.00016376+0.0013156i,-0.00049666+0.0010751i,-0.00055601+0.00057368i,-0.00021342+0.00018766i,-0.00030691+0.00049548i,-0.00063439+0.00041202i,0.00025388+7.2113e-05i,0.00087101-0.00080517i,0.00035523-0.00094958i,7.1488e-05-0.00075388i
4.5919e-05-0.0004473i,-0.00029102-0.00054007i,-0.00018941-0.0012026i,0.00024932-0.0011606i,0.00011404+0.00063712i,0.00010764+0.0016799i,0.00016528+0.0012469i,6.6592e-05+0.00062612i,0.00063924+0.00021063i,0.00069397+0.00034149i,-4.7842e-05+0.00014618i,-0.00060955-4.8695e-05i,-0.00035918+0.00042606i,0.00041205+0.00034892i,5.9153e-05-3.2053e-05i,-5.0697e-05+1.6434e-05i,0.00033786-4.1852e-05i,0.00025941+0.0004075i,-0.00049241+0.0010865i,-0.0011143+0.00098712i,-0.00076953+0.00053242i,-0.00016593-0.00083264i,0.00017509-0.0017274i
0.00017144+0.0016312i,0.00053196+0.00098154i,0.0021213+0.00077579i,0.0028419-4.2184e-05i,0.0023347-0.00098197i,0.00094109-0.0015347i,-0.00047402-0.0017992i,-0.00092706-0.0010737i,0.00010579+0.00042766i,0.0012238+0.00064172i,0.00046925+0.00012722i,2.2891e-06+7.6474e-05i,-0.00015234+0.00048255i,-0.00053678+0.0010515i,-0.00037958+0.0011263i,-0.00050746+0.00065679i,-0.00037607+0.00054055i,-0.00050559+0.00055673i,-0.00018055+8.093e-05i,2.0303e-05-0.00029686i,-0.00055321-0.00024426i,-0.00021189-0.00040957i,0.00017246-0.00024289i
-0.001318+0.00044165i,-0.0005964+0.00073735i,0.00093309+0.00093774i,0.0016149+0.0001097i,0.00042639-0.00080747i,4.3859e-05-0.00062904i,0.00048843-0.00051499i,-4.4992e-06-0.00062615i,-0.00030139+0.00024347i,0.00027634+0.00090825i,0.00021078+0.0010109i,3.5021e-06+0.0009084i,0.00041109+0.00023096i,0.0011445+0.00030375i,0.00085942+0.00082911i,-0.00041642-6.1353e-05i,-0.0011653-0.00094604i,-0.0007657-0.00061526i,-0.00060327-4.6033e-05i,-0.0005868+3.7975e-05i,8.0267e-05+0.00020292i,0.00021235+0.00033133i,-0.00054982+0.00011529i
0.00015573-0.00033662i,0.001293+9.0598e-05i,0.0012825+1.6203e-06i,0.00066815-0.00088649i,0.00051831-0.00071466i,-0.000191-4.6413e-05i,-0.0011828+3.2654e-05i,-0.0010004-0.00024191i,-0.00074463-0.00032952i,0.00014997-0.00077932i,0.0011627-0.00029265i,0.00018893+0.000476i,0.00010263+0.00056494i,0.00037351+0.00027587i,-0.00021095-0.00073929i,-0.0010719-0.00064581i,-0.0014335-4.1665e-06i,-0.00049228+0.00054345i,9.3957e-06+0.00038256i,0.00011125+4.5187e-05i,0.00025217-0.00034604i,0.00023226-0.0012293i,-1.1462e-05-0.0018118i
-0.00031962-0.00026815i,-0.00069282-9.3087e-05i,-0.00089273-0.00014379i,-0.00075692+0.00059515i,-0.00013196+0.0010232i,0.00061318+0.00086237i,0.00021161+0.00086615i,0.00024448+0.00068021i,0.00089752+0.00084397i,0.0012122+0.00063454i,0.0003673-0.00055586i,-0.00028478-0.00069733i,-9.5296e-05-0.00033355i,-0.00016222-0.00053865i,0.00039612+0.0003339i,0.00062383+0.00072248i,0.0003517+0.00013663i,-0.00014628-0.00025769i,-0.00028423-0.00019579i,0.0002407-0.00012166i,0.00039262+0.00013667i,4.3759e-05+0.00023804i,-0.00044212+0.00033164i
