-0.0031207+0.00060564i,-0.0017855+0.00018939i,-0.0019758+0.00051032i,-0.0022994+0.0010113i,-0.0026108+0.0011773i,-0.0021505+0.0022409i,-0.001639+0.0014657i,-0.0012323+0.00081139i,0.00014889+0.00098712i,0.00091908+0.00057426i,0.0006059+0.00034839i,0.00079743+0.00040828i,0.00029781+6.2337e-05i,-0.00050147-0.00072696i,-8.2617e-05-0.00045323i,0.00038229+0.00016228i,-0.00016499-2.6888e-05i,-0.00080544-3.3869e-05i,-0.0005721-1.8802e-05i,0.00020365-0.0011152i,0.00045799-0.0011374i,-1.2646e-05-0.0001884i,8.4226e-05-0.00026382i
-0.00021478-0.0018852i,0.00067727-0.0013358i,0.00248+0.00031182i,0.0022298+0.0007039i,0.0014566+0.00020036i,0.0010593-7.1211e-05i,0.00057709-0.00017669i,0.00052409+6.6285e-05i,0.0010719-0.0001446i,0.0014239-0.00078842i,0.0011332-0.00062005i,0.00041409+0.00035616i,-0.00050306+0.00091289i,-0.00065666+0.00084956i,-0.00037999+0.00026105i,-0.00030828-0.00037779i,-0.00029322-0.00067798i,0.00012688-0.00023368i,0.00011785+0.00036829i,-0.00051582+0.00024883i,6.3845e-05-5.6335e-05i,0.00050074-0.00027559i,0.00052966-0.00025613i
-0.0012075+0.0001278i,-0.0014185-0.00073317i,-0.0018361-0.00070829i,-0.0016897-0.00054562i,-0.0014775-0.00039942i,-0.0013904+0.00059973i,-0.00042637+0.00028315i,8.685e-05-0.00025726i,-0.00017813+0.00060858i,0.00013424+0.00019718i,0.00067059-0.00093006i,0.00038304-0.0013233i,-3.0405e-05-0.00068092i,-0.00090524+0.00036096i,-0.0015569-0.00015623i,-0.00074065-0.00064165i,-0.00027225-2.8124e-05i,0.00015569-0.00068087i,-4.2704e-05-0.00084576i,-0.00015843-0.00038443i,0.00042315-0.0002763i,0.0004398-1.7869e-05i,0.00032333+3.3773e-07i
-0.0034225-0.0001745i,-0.0022028+0.00050057i,-0.0020078+0.0017648i,-0.0014561+0.0012947i,0.00021015+0.00092434i,0.0010056+0.0010312i,0.00084892-4.18e-05i,0.00093617-0.00077729i,0.00052664-1.3917e-05i,0.00023667+0.00035773i,0.00036646+6.3839e-05i,-0.00042957-0.00010662i,-0.0013049-0.00030319i,-0.00090873-0.00038579i,-6.636e-05-0.00012986i,-5.8522e-05+9.8983e-05i,-0.00023747+0.00016879i,-0.00025314+0.0010146i,-0.00052488+0.0013592i,-0.00095985+0.00061097i,-0.00066775-4.6137e-05i,-0.00043396-0.00015729i,-0.0008636-0.00045397i
0.0012967+0.00058796i,0.00061087+0.00010218i,0.00097038-0.00038648i,0.0012416+0.00030254i,0.001221+0.00028191i,0.00080247+3.5355e-05i,0.00025049-0.00023402i,0.00019847-0.00066929i,0.00026607-0.00059193i,0.00054601-0.0010569i,4.4341e-05-0.0011642i,-5.3326e-05-0.00070907i,0.00025512-0.00084366i,-0.00019555-0.00029165i,-0.00094611+0.00061836i,-0.00083973+0.00065296i,-0.00078018-5.1873e-05i,-0.00041527-0.00041708i,-0.0005104+0.00029035i,-0.00163+0.00041426i,-0.0012526-5.7976e-05i,0.00013772-0.00042696i,0.00095742-0.00014541i
-0.0024225-0.00068155i,-0.0022275-0.00075579i,-0.0013327-0.00040074i,-0.001074-0.00013117i,-0.001259-0.00042516i,-0.00012107+0.00021969i,0.00085679+0.0005318i,0.00080687+0.00040451i,0.00035543+0.00076959i,0.00026885+0.00099836i,0.00060494+0.00083456i,0.00048985+0.0006234i,-0.00033895+0.00045244i,-0.001418+1.6051e-05i,-0.0012098-0.00017021i,-0.00065955-0.00026962i,2.553e-05-0.00051777i,0.00052286+0.00018985i,-9.0116e-05+0.001187i,-0.00038823+0.0016617i,0.00016227+0.0013346i,0.0006189-4.7369e-05i,0.00047239-0.00039848i
-0.00045583+0.00049795i,-0.0003073-0.00014457i,-0.00031852+0.00017167i,8.2484e-05+0.00013527i,0.00020964-0.0004247i,-0.00034846-0.0011155i,-0.00020574-0.0011891i,3.3561e-05-0.00052316i,2.2815e-05-0.00015325i,0.00060803-0.00049321i,0.00089059-0.00079681i,0.00013756-0.00072501i,-0.00068708-0.00045354i,-0.00047748+0.00019475i,-0.00029256+0.00032319i,-0.00039369-0.00012863i,-0.0003101-0.00062454i,-0.00028474-0.00077132i,-0.0011081-0.00016359i,-0.0011916-0.00047049i,4.9522e-05-0.00069736i,0.00074982-0.00020073i,0.001104+0.00026199i
-0.00036797+0.0010383i,0.00015856+0.0019748i,0.0006577+0.0025001i,0.00094666+0.0023424i,0.0013189+0.0017702i,0.0015087+0.00048913i,0.00035949-0.00035725i,-0.00028334-0.00035961i,-2.1015e-05-0.00040112i,0.00046942+7.4951e-06i,0.00068655-0.00014877i,0.00097736-0.00051964i,0.00099462-0.00016415i,0.00044968+7.4377e-06i,0.00040666-0.00021339i,0.00097056+0.00028933i,0.000399+0.00087515i,-0.00040606+0.00045523i,-0.00040647-0.00040577i,-0.0008811-0.0010104i,-0.00070667-0.00033457i,-0.00011931+0.00021034i,5.4871e-05-0.00024184i
-2.4789e-05-0.00095941i,0.0003148-0.0015216i,-0.0003662-0.0021346i,-0.00066548-0.0016415i,-0.00073591-0.0008178i,-0.00021465-0.0007597i,0.00036181-0.00094539i,-7.8224e-05-0.00060715i,-0.0002858+0.00031772i,0.0003555+6.4186e-05i,0.00050306-0.00084817i,-7.9732e-05-0.0011139i,-0.00028541-0.00056833i,-6.9082e-05+0.00013972i,0.00012015+0.00016128i,-0.00022946+4.323e-05i,-0.00045562+0.00040865i,-0.00058212+0.0011444i,-0.00095449+0.00075357i,-0.00068745-0.00051704i,0.00078258-0.00071795i,0.0012073+9.0183e-05i,3.0706e-05+0.00014453i
-0.0017919-0.00030612i,-0.0015779+0.00027707i,-0.00052732+0.0011486i,0.00049382+0.0012309i,0.00052559+0.0014501i,-0.00015425+0.00024821i,-0.00021996-0.00098996i,-0.00015565-0.00084325i,0.00018355-0.00069356i,0.00099849-0.00059611i,0.00064044-0.00051024i,-0.00027897-0.0004237i,-0.00034891-0.0002993i,-0.00034566+2.7625e-05i,-0.0011045+0.0008069i,-0.0014852+0.0004484i,-0.00062128-0.00019658i,-6.8408e-05+0.00025805i,0.00013726+0.00080391i,-0.00016461+0.00042185i,0.00025885-0.00042772i,0.00061599-0.00017198i,0.00014108+0.00069126i
-0.00077829+0.00090825i,-0.00094973+0.0016927i,-0.00065592+0.0013681i,0.00052105+1.8732e-05i,0.0011867-0.00070385i,8.9554e-05-0.00045477i,-0.00051903-0.00039295i,-0.000472-1.1968e-08i,0.00022967+0.00067407i,0.00094602+0.00031777i,0.00038273-0.00049511i,-0.00051823-0.0010861i,0.00012084-0.0010704i,0.00066113-0.00044005i,-4.4259e-05+0.00013289i,-0.00047124-0.00023392i,-0.00015302-0.00050101i,9.5036e-05+0.00023582i,-0.00037877+0.00040772i,-0.001108+0.00060755i,-0.00088733+0.00011352i,7.8416e-05-0.00074257i,0.00029909-0.00077951i
-0.0001523+0.0006918i,-0.00072174+0.00029827i,0.00036001-0.00068492i,0.00097798-0.0011371i,0.00019515-0.00066458i,-0.00058002+0.00047648i,-0.00088242+0.00057723i,0.00040828-6.0506e-05i,0.00066687+0.00014863i,0.00071109+2.6385e-05i,0.0010006-0.0004868i,0.00045126-0.00074923i,0.00013793-0.00083933i,-0.00035048+0.00018116i,-0.0012086+0.0014647i,-0.00099116+0.0014668i,-0.00031215+0.00089979i,-0.00030531+0.00080959i,-2.9085e-05+0.00093741i,0.00022361+0.0003127i,-1.7701e-06-0.00022349i,-0.00037714-0.00069763i,-0.00050177-0.0010062i
0.0014636-0.00020503i,0.0011376-0.0005932i,0.0013328-0.0011558i,0.00094014-0.0011985i,-0.00034111-4.0198e-05i,-0.00092646+0.00037726i,-0.00010029+0.00017963i,0.00041853-7.9417e-06i,0.00044964-0.00062541i,0.00015987-0.0014381i,1.0252e-05-0.0012343i,0.00014855-0.00040208i,6.3285e-05-0.00043365i,0.00033951-9.5861e-07i,0.00092709+0.00051261i,0.00049856+4.4005e-05i,-0.00040827-0.00032566i,-0.00061615-0.00018637i,-0.00013474+0.00030521i,-0.00024171+0.00088672i,-0.00096896+0.0007717i,-0.001542+0.00077846i,-0.0010742+0.00061042i
0.00046225-0.00054233i,0.00039067-0.00021048i,-0.00012774-0.00066576i,-0.00053242-0.0015842i,0.00012749-0.0013848i,0.00017414-0.00067297i,-5.0204e-05-0.00021582i,0.00052163+0.000318i,0.00078909+0.00025452i,0.00099711-0.00030668i,0.0015177-0.00037436i,0.0012943-0.00026982i,0.00027287-0.00015536i,-0.00020241-0.00051693i,-0.00041208-0.00092516i,-0.00082329-0.0010493i,-0.00075451-0.00024894i,-9.1982e-05+0.00025072i,6.9929e-06+0.00010626i,-0.0013484+2.9566e-05i,-0.0015264-0.00013975i,-0.00026601-0.00032747i,-0.00037749-0.00046798i
-0.00039423-0.0014332i,-0.00019913-1.6818e-05i,-0.00019314+0.00064496i,-0.00037011+3.6629e-05i,-0.00044821-0.00034395i,-2.3153e-05+0.00074464i,0.00084304+0.0010482i,0.00047938+0.00039932i,-0.00053866+0.00044028i,0.00045421+4.8953e-05i,0.0012361-0.00072399i,0.00061281-0.00033696i,-0.00026839-0.000634i,-0.00067866-0.0013523i,-0.00054972-0.0012324i,-1.5871e-05-0.00091718i,-4.9686e-05-0.00011381i,-0.00031633+0.00053137i,-4.0608e-05+0.00046767i,0.00052058+0.0002411i,0.0010019+0.0003173i,0.00070186-5.2493e-06i,0.00013618+0.00018294i
-0.0015717-0.00042411i,-0.00106+4.8592e-05i,-0.00022203+0.00052434i,-0.0007121+0.0015044i,-0.0015394+0.0011914i,-0.00065671+0.00070644i,-0.00025165+0.00030877i,-0.00026438-0.0001528i,0.0001647-0.00067101i,0.00018956-0.00088925i,-0.0001503-0.00056466i,3.3626e-05-0.00082122i,0.00031902-0.0010807i,0.00031356-0.00073186i,0.00036336-0.00058701i,0.00043249-0.00039069i,0.00071025-0.00018569i,0.00038962-0.0004492i,0.00026637-0.00037339i,-0.00030702+0.00029962i,-0.00095015+0.00080306i,-0.00055414+0.00039999i,3.4006e-05-0.00031394i
0.00066615+0.00026873i,0.00094749-0.00029987i,0.001281-0.0011489i,-5.4374e-09-0.0013454i,-0.0011371-0.00093724i,-0.0012016-0.00049511i,-0.00075251-0.0005056i,-0.0004199-0.00074324i,-0.00029496-0.00040432i,1.2596e-06+0.00019381i,0.00019252+2.1292e-05i,-0.00024485+0.00029227i,-0.00027675+0.00076922i,-0.00019252+0.00034417i,-0.00033633+6.9613e-05i,-0.00032083+0.00033155i,-0.0001032+0.00023824i,-0.00012543+1.751e-06i,-0.00072546-2.6806e-05i,-0.00073562-0.00030752i,0.00055427-0.0002282i,0.00072869-7.3329e-05i,-0.00016639+0.0001044i
-0.00067102+0.0015169i,0.00049839+0.0010578i,0.0013919+0.0012895i,0.00075839+0.001156i,0.00034963+0.00060075i,0.00086025-0.00036361i,0.00096958-0.00070933i,0.00015037-0.00017394i,0.00018146+0.00060767i,0.00064142+0.00021721i,0.00053163-0.0011554i,0.00053425-0.00082748i,8.9602e-05+0.00031439i,-0.00052405+0.00044739i,-0.00015261+0.00034303i,0.00030225+0.00030361i,0.00024217+0.00030938i,0.00024998+0.00098268i,7.3895e-06+0.0012055i,-0.00020654+0.00025299i,-0.00027187-0.00031733i,7.1844e-05-0.00070856i,0.0013262-0.0011014i
0.00022513+0.0016822i,0.00090221+0.00090515i,0.001208+0.00036905i,0.0011367-0.00037739i,0.0013632-0.00065228i,0.0010467-0.00081646i,-3.3802e-05-0.0010098i,-0.00075735-0.0011323i,-0.00030374-0.00071115i,0.00093449+7.8088e-05i,0.0011394-7.0706e-05i,0.00070908-0.0001375i,-2.6388e-05+0.00028255i,-0.00023813+0.00045178i,0.00018409-3.7377e-05i,0.00025351-0.00029783i,0.00028564+8.0007e-06i,0.00047406-0.00017303i,0.00040773+0.00012705i,0.00013665+0.00091142i,-0.00011207+0.0002884i,-1.0817e-05-0.00043519i,0.00035112-0.00056714i
-0.0010102+0.00038464i,-0.0011233+0.0013234i,-0.0012494+0.00086617i,-0.00034853+0.00011561i,2.3515e-05+0.00011166i,-0.00065974-0.00019616i,-0.0005136-0.00067795i,6.3423e-05-0.0005184i,0.00053245+0.00026957i,0.00080116+0.00033659i,0.00089192-0.00031685i,0.00044871+0.00028656i,-9.5228e-05+0.00063226i,0.00022344-0.0001784i,0.00042548-0.00013773i,-0.0001237-0.00017417i,-0.00049931-0.00046929i,7.3288e-05-0.0005287i,5.573e-05-0.00049124i,-0.00058444-0.00065636i,-0.00017397-0.0002532i,-0.00028065+1.5744e-05i,-0.00034063-0.00038915i
