0.0025111+0.00071462i,0.0030935+0.00017743i,0.0032211+0.00077608i,0.0021105+0.00065892i,-2.4442e-05+0.00077486i,-0.0022604+0.0022653i,-0.001019+0.0027038i,0.0012537+0.0019106i,0.0014385+0.00075678i,0.00033124-0.0002972i,-0.00065418-0.00058511i,-0.0010021-0.00069867i,-0.00068694-0.00065749i,-0.0006301-0.00071553i,-0.0002816-0.00069812i,0.00022086-0.00012861i,0.0010365-0.00024845i,0.0012616-0.0011597i,0.00058434-0.0012249i,0.00036884-0.00043316i,0.00043764-5.5756e-05i,2.69e-05-0.00054735i,-0.00067745-0.00014789i
-0.00039875-0.00069516i,-0.000206-0.0013797i,9.1953e-05+0.00045294i,0.00099954+0.0020866i,0.0011209+0.0026127i,0.00025478+0.0022653i,-0.00054039+0.0011875i,-0.00058956+0.00023413i,-0.00083154-8.2841e-06i,-0.00023797-0.00013221i,0.00043588-0.00022824i,1.5727e-06+0.00044925i,-0.00031012+0.00067212i,-0.00031847-3.9208e-05i,-0.00030096-0.00019455i,-0.0003097+0.00033163i,-0.00014266+0.00035878i,0.00030334+0.00040582i,0.00092029+0.0003184i,0.00091102+0.00042412i,7.1807e-05+0.0005626i,0.00025232+0.0004385i,0.00068496+0.00015848i
0.0006379-0.00011432i,0.00016403+0.0001201i,3.8139e-05+0.0010201i,0.0013991+0.0020648i,0.0019777+0.0018827i,0.0013505+0.00077282i,0.00098872+0.0010889i,0.00041782+0.0012891i,3.4548e-05+0.00020679i,-0.00025503-0.00058255i,-0.00062538-0.0004444i,-0.00054329-9.6117e-05i,-0.00054051+0.00087603i,-0.00043546+0.00073542i,-0.00029196-0.00047681i,-0.00051367-0.00027954i,-3.7892e-05-4.3567e-05i,0.00034089-0.00067919i,6.7655e-05-0.00096377i,1.5172e-05-0.00052863i,-0.00014784-6.4191e-05i,-0.0002735-0.00016383i,0.00012929+0.00035254i
0.002216-0.0010073i,0.002126+0.00028903i,0.0017487+0.0014274i,0.0019208+0.0014976i,0.0018842+0.0010604i,0.0010363+0.0014983i,0.0002626+0.0022497i,0.00067695+0.00068285i,0.00086127-0.00042249i,3.1523e-05-0.00022962i,-0.00075175-0.00097815i,-0.00070026-0.00089232i,-0.00015387+0.00026192i,0.00027624+0.00042803i,0.00029588+0.00024162i,0.00014777+1.5275e-05i,-0.00057532-0.0005701i,-0.00049482-0.0011488i,-0.00010653-0.00055349i,-0.00068876-0.00069289i,-0.00060448-0.00038779i,-0.00018854+0.00063793i,-0.00021217+0.00041257i
0.0019994+0.00033257i,0.00095798-0.0004469i,0.00075915-0.0010425i,0.00044349-0.0003035i,0.00031876+0.001541i,7.5702e-05+0.0019291i,-2.5844e-06+0.00098086i,0.00041455+0.001435i,0.00047737+0.001251i,-0.00017588+0.00035877i,-0.0006695+0.00039432i,-0.00078212+0.00031726i,-0.00089025+0.00069777i,-0.00054639+0.0010941i,-0.0001502+0.000747i,-0.00027615+0.00081782i,-0.00071475+0.00077135i,-0.0013981-0.00014242i,-0.0010553-0.00041705i,-0.00118+3.1373e-05i,-0.00098662-0.00047504i,-0.00010965-9.4074e-05i,-0.00029271+0.00066675i
0.0017818+0.001391i,0.0012672+0.00078445i,0.0016508+0.0014239i,0.0018119+0.0019125i,0.0015395+0.00086048i,0.0002167-0.00019273i,-0.00082176-1.6384e-05i,-0.00026172-0.00038592i,0.00072625-0.00053347i,0.00012445+0.0007771i,-0.00075287+0.0013343i,-0.00082802+0.00062394i,-0.00080217-0.00013658i,-0.00048002+3.1347e-05i,-0.00033957-0.00034714i,-0.00021514-0.00056842i,0.00028099-0.00035484i,0.00033191+0.00011028i,-0.00053632+6.719e-05i,-0.00065056-0.00048902i,-0.00032306-0.00033626i,-0.00041267-0.00034166i,4.7503e-05-0.00029228i
2.7452e-05+0.0016071i,-0.0001053+0.0017628i,0.0004933+0.0017319i,0.0013296+0.0012904i,0.0012327+0.00084383i,0.0013846+0.00087395i,0.0013161+0.00081062i,0.00065173+0.00088194i,0.00020681+0.00016706i,-0.00042792-0.00011595i,-0.00088525+0.00050595i,-0.00074849+0.00054728i,-0.00019522+0.00049845i,-9.8323e-05+0.00043347i,-0.00016876-0.00029343i,-7.1965e-05-0.00056817i,-6.6612e-05-0.00087089i,-0.0001972-0.0010662i,-0.00021145-0.0006502i,-0.0002017+0.00042579i,-4.8604e-05+0.00063671i,-2.5935e-05+0.00011189i,-0.0004993-0.00021338i
0.0021693+0.0021302i,0.001778+0.0027389i,0.0017414+0.0027682i,0.0024765+0.0021555i,0.0023921+0.0012518i,0.0015682+0.0015351i,0.00083896+0.0021752i,0.00072763+0.0014244i,0.0004762+0.00022944i,0.00010627+0.0002341i,-0.00036653+0.00047122i,-0.00033847+0.00035772i,0.00018803-5.453e-05i,1.3741e-05-5.984e-05i,-0.00051015-0.00020529i,-0.00016436-0.001133i,0.00063953-0.00068668i,0.00031819+9.1402e-05i,0.00053083-0.00023865i,0.00096322-0.00011329i,0.00063153+6.9991e-05i,0.0004976+0.00084407i,-0.00026443+0.0013603i
-0.00061212-0.0010062i,-0.00065948-0.001189i,-0.00044902-0.00038942i,0.00036435+0.0016401i,-0.00024953+0.0038771i,-0.00051101+0.003491i,0.00088439+0.0022405i,0.00068492+0.0010532i,-0.00034903-0.00056043i,-0.00076272-0.0008156i,-0.0005975-0.00027276i,-0.00041861+0.00015219i,-0.00027327-2.1185e-05i,0.00046482-0.00061462i,0.0001731-0.00033823i,-7.757e-05+4.3357e-05i,0.00018131-0.00020424i,0.00013356+9.8897e-07i,0.00069077+0.00022906i,0.00052639-0.00011305i,-0.00037074-0.00015862i,-0.00064526+6.969e-05i,-0.00059577-3.524e-05i
-0.0006029+0.0014484i,0.00013782+0.0021747i,0.00094854+0.0026579i,0.0022922+0.0024886i,0.0029853+0.0019119i,0.0017315+0.0018479i,0.00099329+0.0016075i,0.00045629+0.0013713i,-0.00088943+0.00048324i,-0.0012855-5.2914e-05i,-0.000817+0.00038579i,-0.00027862-8.4193e-05i,0.00017527-0.00031363i,0.00037241-0.00016314i,0.00018752+2.1119e-06i,-4.6967e-06+0.00019865i,-0.00035006-0.00027625i,-0.00059636-4.8107e-06i,-0.00020644+0.00063412i,0.00034736+0.00035081i,0.00076907+0.000243i,0.00063125+6.3039e-05i,0.00040288+0.00020365i
0.00072617+0.00057964i,0.00073826+5.4867e-05i,0.00055025+0.00039812i,0.00068104+0.0012133i,0.00055159+0.0018534i,0.00069557+0.0016055i,0.00087008+0.0008534i,0.00058059+0.00048473i,8.961e-05+0.00048972i,-0.00049531+0.00045951i,-0.0013191+0.00025283i,-0.0014823-7.9443e-05i,-0.00081441+0.00016538i,-0.0003791+0.00042875i,-0.00032746+0.00025117i,-7.8033e-05-0.00024373i,-0.00014715-0.00055889i,-0.00061662-0.00037648i,-0.0011172-0.00029851i,-0.00061707+0.00035706i,0.00018805+0.00087053i,0.00031873+0.00019814i,0.00037241-0.00033721i
