-0.0042739+0.0011015i,-0.0036556+0.0015259i,-0.0027752+0.0024364i,-0.0021256+0.0017685i,-0.0020702+0.00095839i,-0.00055764+0.00048832i,0.00092559+0.00018103i,0.0013443+0.00048928i,0.00072938+0.00061552i,0.00063829+0.00024648i,0.00046912-0.00015216i,0.00016543-0.00047924i,-2.0836e-05-0.00086227i,-0.00027818-0.0010149i,0.00021176-0.00072526i,0.00016003-0.00057934i,-0.00042207-1.1436e-05i,-0.001154-0.0003028i,-0.0016802-0.00098966i,-0.0013898-0.001161i,-0.00070798-0.00052829i,0.00042291-0.00013336i,0.0015562+8.3734e-05i
0.0014421-0.0006134i,-0.00061198-0.0011217i,-0.0020934-0.00076708i,-0.0017264-0.00066068i,-0.0003437-0.00092488i,5.4439e-05-0.00060311i,0.00076615-0.00071225i,0.0010208-0.00049518i,-7.2606e-05-0.00016022i,-0.0002921-9.7697e-05i,-0.00025296+6.1457e-05i,-0.00070755+0.00048115i,-0.00054941+0.00058589i,-0.00035044+0.00065052i,-0.00021512+0.00024809i,-0.00063374+0.00010492i,1.2955e-05+0.00041627i,0.0013373+0.00049011i,0.001276-0.00055463i,0.00035833-0.00071931i,0.00024282+0.00052169i,0.0001797+0.0011194i,-0.00030254+0.00035268i
-0.0011869-0.00026347i,-0.00055479-0.0012051i,-0.0010947-0.00067517i,-0.0012844+3.2023e-05i,-0.00037027+0.00044266i,0.00042548+0.00069562i,0.00078428-0.00064321i,0.00055097-0.0012131i,-0.00014476-0.00018558i,-0.00030207+0.00011867i,-0.00027304+0.00052681i,-0.00083366+0.00088502i,-0.0010885-0.00096005i,-0.00148-0.0014675i,-0.0010744-0.00027508i,-8.4807e-05+0.00026253i,4.4028e-05-9.5045e-05i,0.00014351-3.7509e-05i,0.00042517+0.00032983i,-0.00010192+0.00045095i,-0.00033324+0.00014372i,7.5299e-06-6.3602e-05i,0.00030682-0.00011923i
-0.00089002-0.00082732i,-0.00078372+0.00026554i,-0.0014859+0.00069999i,-0.001037+0.00078835i,-6.3511e-05+0.00046517i,0.00067231+0.00043008i,0.00094699+0.00049728i,0.00040998-0.00012787i,-0.00014539-0.00040107i,-0.00019988+6.0218e-05i,-0.00011992-6.333e-05i,0.00053819+4.0613e-05i,0.00030574+0.0003087i,8.1318e-05-0.00083661i,0.00060042-0.0010629i,0.00073916-4.5209e-05i,0.00081369+0.00074332i,0.000935+0.00080784i,0.0010291+0.001027i,0.00027358+0.00088151i,-0.00035783+0.00025333i,-5.4983e-07+0.0001776i,-0.00021879+0.00025371i
-0.0012438-0.0010067i,-0.0023429-0.0012067i,-0.0031971-0.00081416i,-0.0024696-0.0010265i,-0.0010197-0.00051573i,0.00026609-1.3684e-05i,0.00011676-0.0001797i,-0.00025931-0.00011252i,-0.00070626-0.0001469i,-0.0011897-0.00025238i,-0.0011339+4.6751e-05i,0.00020053+0.00020777i,0.0013359-0.00034776i,0.0011517-0.0011196i,0.00068148-0.00096658i,0.00025404-0.00076916i,-8.6359e-05-0.00051177i,-0.00019056+0.00016119i,-0.00075011+0.00051052i,-0.0012715+3.9001e-05i,5.3864e-06-0.00052413i,0.00098071-1.0437e-05i,0.00053139+0.00072262i
0.0015282-0.0015995i,0.0011116-0.0023311i,0.0011007-0.0021034i,0.00068999-0.00096631i,0.00078789+0.00024309i,0.0010193+0.0013115i,0.00046116+0.0011857i,0.00023426-0.00046038i,0.00042872-0.0010357i,0.0003558-0.00044942i,-0.00021194-2.309e-05i,-0.00020163+0.00056437i,-0.00017752+0.00099804i,-0.00032218+0.0011406i,-0.00017805+0.00058039i,-0.00032616-1.7398e-05i,-0.00023784+2.6207e-05i,0.00032599-0.00019227i,0.00055445+8.6931e-05i,0.0004114+0.0005005i,0.00039801+0.00044338i,0.00022258+0.0012736i,0.0004402+0.001145i
-0.0013859-0.00071825i,-0.001494-3.431e-05i,-0.0025042-0.0003455i,-0.0028545-0.0011212i,-0.0016835-0.0016328i,0.00099828-0.0013547i,0.0025048-0.00097208i,0.001649-0.00049141i,0.00011064-0.00056249i,-0.00092634-0.00067918i,-0.001251-0.00049702i,-0.0010113+0.00049674i,-0.00034591+0.00081778i,0.0002636-0.00012214i,0.00033933+0.00018847i,-0.00011943+0.00052037i,-0.00059654-6.0172e-05i,-0.00015982-0.00027519i,2.4355e-05+0.00043746i,-0.00015737+0.00030062i,-0.00047263+0.00015148i,-0.00044575+0.00018836i,-0.00029652-0.00012887i
0.00060383+0.00055924i,-0.0002759-0.00012836i,-0.0011162-0.0008422i,-0.0006755-0.0013218i,0.00023002-0.00014956i,0.00053583+0.001052i,0.00075302+0.00075997i,0.00068885-0.00026358i,0.0010453-0.0010236i,0.00071411-0.00071311i,-0.00085888+8.3983e-05i,-0.0013375-0.00040068i,-0.00022173-0.00065028i,0.00025711-0.00027206i,7.8265e-05-0.00020306i,-0.0003459-4.1642e-05i,-0.00062556-0.00013269i,-0.00024268+5.1402e-05i,0.00014863-0.00021069i,0.00040332-0.00025124i,0.00090152-4.6531e-05i,0.00027854-0.00044856i,-0.00085208-0.00051577i
0.00011079-0.0013688i,-0.00027191-0.00070049i,-0.0012024-0.0005793i,-0.0021888-2.2018e-05i,-0.0020501+0.00065293i,-0.00052248+0.00086115i,-0.00012303+0.00054226i,-0.00023717-0.00025363i,-0.00019671-0.00036433i,-0.00010512-0.00017918i,-0.00017325-0.00054761i,-0.00015877-0.0004783i,-0.00022489-5.8219e-05i,-0.00087001+3.3392e-05i,-0.00028014+0.00022112i,-8.7823e-05+0.00029154i,-0.00098628+0.00015366i,-0.0011629-8.9937e-05i,-0.0004903-0.00039749i,8.8903e-05+0.00015673i,-0.00037535+0.00026058i,-0.00048256-0.00046545i,-6.096e-05-0.00091885i
0.0017475+2.99e-05i,0.0013529-0.00094716i,0.0004815-0.0011181i,-6.2098e-05-0.0016282i,0.0004453-0.0011899i,0.0015245+0.0001914i,0.0020583+0.00020726i,0.0020004-0.0003371i,0.0019786-0.00033449i,0.0013869+5.1219e-05i,0.00070822+0.00042871i,2.1274e-05-0.00020028i,-0.0011203-0.0002226i,-0.0020275+0.00098042i,-0.0019753+0.00054658i,-0.0012607-0.00065738i,-0.00054973-0.00079032i,-0.00021223-0.00059563i,-0.00015482-0.00021847i,-0.00054022-0.00053209i,-0.00061089-0.0011447i,-0.00026253-0.0012704i,-0.00061144-0.00082562i
-0.00061421-0.00049659i,-0.0023077-0.001122i,-0.0036565-0.0013723i,-0.0037396-0.0012827i,-0.0018563-0.00050441i,0.0001629-0.00013637i,0.0013431-0.00019452i,0.0012535-0.00079849i,0.00079293-0.00084587i,0.00018394-9.2875e-05i,-0.00031388+0.00035671i,-0.00074826+0.00058233i,-0.00091861+0.00042951i,-0.0010497-0.0003437i,-0.00071595-0.00058869i,4.3616e-06+0.00046738i,-0.00017452+0.00030935i,-0.00084615-0.00013272i,-0.0004691+6.4803e-05i,0.00025701-0.00025475i,-7.8525e-05-0.00010352i,-0.00013829-0.00040107i,0.00068032-0.00045911i
0.0014696+0.0020677i,0.0018226+0.0014637i,0.0015488+0.00088361i,0.00070191-0.00029529i,0.00079293-0.0010263i,0.00085196+0.00030158i,7.3964e-05+0.0011351i,-0.00028161+0.0007533i,0.0011369-3.8971e-06i,0.0017185-0.00054836i,0.0014849-0.00027302i,0.00099393-0.00012473i,4.0508e-05-0.00063442i,-0.00039846-0.0016772i,-0.00044456-0.0015956i,-0.00087175-0.00069412i,-0.00074611-0.00057894i,-0.00032632-0.00040697i,4.0873e-05+0.00024799i,0.00044045+0.00046402i,0.00066321+9.8241e-05i,0.00018393-0.00018358i,-0.00099109-0.00018316i
-0.00072233-0.0018268i,-0.0018807-0.0012314i,-0.002765-0.0013492i,-0.0022652-0.00072268i,-0.001744+0.00062429i,3.1207e-05+0.00061159i,0.0018539-0.00070808i,0.00093378-0.0012143i,-0.00050296-0.00077926i,-0.00049261-0.00039868i,0.0001436-7.6688e-05i,0.00013253+0.00017209i,0.00019425+0.00022409i,0.00091652+0.00045934i,0.00078509+0.00014493i,0.00076562-0.00054698i,0.00070622-0.00017623i,0.00012964+0.00032141i,7.275e-06+0.00036903i,-0.0001373-0.00023239i,-0.00067143-0.00075979i,-0.0003008+6.6534e-07i,0.00060741+0.00016253i
