0.0019432-0.00016545i,0.002631-0.0018042i,0.00023609-0.002814i,-0.0017982-0.0025433i,-0.0022236-0.0016996i,-0.0022755-0.00016644i,-0.00060932+0.0017052i,0.0014074+0.0022422i,0.0027003+0.0010476i,0.00195-7.9439e-05i,0.00024031+7.2591e-05i,-0.00033998-0.00034427i,-0.00071867-0.00056377i,-0.00105-2.5185e-05i,-0.00083809+0.0001421i,-0.00083592-0.00024112i,-0.0009225-0.00024336i,-0.00056376+0.00030869i,-0.00032817+0.00012044i,-0.00023895+0.0003348i,-0.00017459+0.0011071i,-0.00050288+0.00077793i,-0.00065191+9.8893e-05i
0.00083666-0.0014093i,-0.00014714-0.0012733i,-0.00063621-0.0013488i,-0.00089939-0.0028363i,-0.00034765-0.003575i,0.00096313-0.0021855i,0.00087886-0.00065238i,-0.00039744+7.6776e-06i,-0.00062772+0.00016241i,0.00050938+0.00081953i,0.0010734+0.00049109i,0.00033795-4.4867e-06i,-0.00057172+6.4336e-05i,-0.00089025+2.3481e-05i,-0.00090116-0.0004749i,-0.00067528-0.0011509i,-0.00015484-0.00043136i,0.00063857+0.00021884i,0.00041522+0.0003564i,0.00029392+0.00010311i,0.00069091-0.00093716i,0.00091952-0.0011207i,3.8367e-05-0.0005771i
0.0011959+0.00061038i,0.00046899+0.00029465i,0.000786-0.00023123i,0.0019867-0.00012135i,0.0018641-0.00056222i,0.00073925-0.0014319i,0.00016365-0.00034488i,-0.00047799+0.00054229i,-0.00044385+0.001051i,-0.00078779+0.0005031i,-0.00091076-0.00063147i,-0.00073078-0.0011409i,-0.00032028-4.9417e-06i,-0.00038064+0.00063174i,-0.0006385+0.00010768i,-0.00083072+0.00037147i,-0.00084331+8.0015e-05i,-0.00099544-0.00065217i,-0.00082086-0.00042877i,-0.00045396-0.00010402i,0.00038066-6.6026e-05i,0.00078321+0.00013954i,9.8459e-05+0.00066857i
0.00018208-0.00015714i,0.00041863-1.352e-05i,-0.00030098-0.00026364i,-0.00018083-0.00075486i,0.00069061-0.00021477i,0.00034574+0.00029905i,-3.3084e-05+0.0003099i,-0.00034701+0.00054886i,-0.00014567+0.00057521i,0.00062143+0.00097444i,0.00076951+7.1379e-05i,-6.1347e-05-0.00090452i,-0.00078419-0.00031141i,-0.00074512-0.00031506i,-0.00040425-0.0011781i,-0.00011579-0.0013604i,-0.00033071-0.00035035i,-0.0014426+0.00030798i,-0.001632-3.2722e-07i,-0.00086693-0.00047634i,-0.00066875-0.00024765i,-0.00050707-8.0456e-05i,-0.00058068-3.8541e-05i
-0.001435-0.00031205i,-0.00052282-0.00054058i,-0.00053401+0.0003505i,-0.00022298+0.00022798i,0.00076747-0.00039817i,0.00082185-0.00017221i,0.00023721+0.0001814i,6.3348e-05-1.2355e-05i,0.00026337-0.00043096i,3.0009e-06+9.9996e-05i,0.0001455+0.0003586i,0.00044851+3.5665e-05i,0.00038853-9.5151e-05i,0.00080203-0.00094365i,0.00097602-0.0010949i,0.00043616-0.0002091i,0.00027382-0.00025401i,0.00028915-0.00049183i,3.5247e-05-0.00021855i,-0.000227-0.00017942i,-0.00041113-0.00030893i,0.00025034-0.00023574i,0.00020492-0.00019806i
-0.0002305-0.00077354i,4.8474e-05-5.5183e-05i,0.00079876+0.00020916i,0.00092459+0.00097136i,0.00054455+0.00076769i,0.0013495+0.00073899i,0.0013398+0.00082521i,0.00059104+0.00061039i,4.9181e-05+0.00039984i,-0.00034222-6.43e-05i,-1.7991e-05-0.00040561i,0.0003327-0.00031784i,0.00014666-0.00010732i,1.7042e-05-0.00011156i,-0.00021851-0.00047768i,-0.00054826-0.00027608i,-0.00050481-0.00012977i,-4.3882e-05-2.5885e-05i,0.00045324+0.00019969i,0.0004526+0.00057748i,0.00027116+0.00082835i,0.00076715+0.00060533i,0.0013418-0.00052384i
-0.00080497-5.8278e-05i,-0.0027706+0.00075028i,-0.0026963+0.00020262i,-0.0011782-0.00049211i,-0.00024329-2.0426e-05i,9.0941e-06-0.00041209i,0.0003809-0.00066283i,0.00039415-0.00066919i,0.00030257-0.00043573i,0.00019921+0.00031771i,-0.00015847+0.00072118i,-0.00052622+0.00033551i,-0.00021511-0.00050041i,-0.00011675-0.00052995i,-0.00021042+0.00028003i,0.00011752+0.00076343i,-3.8855e-05-4.2097e-06i,-0.00039023+2.9378e-05i,0.00025413+0.00026736i,0.00055794+0.00033719i,0.00024185+0.00091835i,-0.00022506+0.00056158i,-0.00017076-0.00052397i
0.00088959-0.00156i,-1.3964e-05-0.00252i,-0.0013073-0.0028242i,-0.0021813-0.0021146i,-0.0016867-0.00045808i,-0.00030648+0.00041074i,0.001095+0.00017604i,0.0016718+9.9829e-05i,0.00046702-0.00014099i,-0.0002445-0.00048337i,0.00044961+0.00034864i,0.0002533+0.00077441i,0.0005112+0.00071077i,0.00078121+0.00045317i,0.00024539-0.0002992i,-0.00013436-0.00069405i,-0.0003017-0.00050594i,-0.0004784+0.00063972i,-0.00059334+0.00096843i,-3.6503e-05+0.00031421i,0.00058266+0.00045939i,0.00023891+0.0010504i,-0.0003399+0.00051377i
-0.00012221-0.0006449i,-0.00092341-0.0017567i,-0.0024145-0.0021756i,-0.0022392-0.00083142i,-0.0012265-0.00073374i,-0.00036824-0.00092515i,0.00033415+0.00056079i,-4.3288e-05+0.0011763i,-0.00054711+0.00030736i,2.6639e-05-7.615e-05i,0.00041117-0.00037526i,0.00059479-0.00024337i,0.00087526+0.00018048i,0.00057921-8.3112e-05i,0.00040184-0.00038633i,0.00055778-0.00029008i,0.00019525+0.00028257i,0.00019613+0.0005912i,0.00037002+0.00024091i,-6.2292e-05+0.00039072i,-2.2052e-05+0.0004393i,0.00037546+5.4749e-05i,0.00015176-0.00023607i
-0.0011902-0.0021523i,-0.002071-0.00072448i,-0.0029536-0.00060807i,-0.0024743-0.00035809i,-0.0015425+0.00045558i,-0.00044818+0.0010773i,4.155e-05+0.0010018i,0.00027946+0.00032659i,0.00048298+0.00063795i,0.00071922+0.0011827i,0.00024496+0.00080299i,0.00033537+0.00055898i,0.0014199-2.9595e-05i,0.0012362-0.00045432i,-0.00030153-0.0002931i,-0.0009264-0.00095146i,-0.00037219-0.0010129i,-6.7419e-05-0.00043559i,-0.00012226-0.00030619i,0.00034872+3.4264e-05i,0.00090416+0.00058575i,0.0013154+0.0005383i,0.00088305+0.00037621i
0.001442+0.0002472i,0.0010715+4.2818e-05i,0.00030631-0.00024331i,-0.00021418-0.00015273i,0.00015055-7.8201e-05i,0.00045553-0.00035059i,0.0010745+3.3823e-05i,0.00053672+0.00029586i,-0.00024815-0.00028219i,-0.00028706-0.00047014i,4.8399e-05-4.4059e-05i,-0.00038649+0.00078846i,-0.00057802+0.00078594i,-5.0613e-05+1.6091e-05i,0.00035812-0.00066088i,0.00073236-0.000648i,0.00035445-0.00076211i,0.00050822-0.00086929i,0.0003704-0.00022937i,-9.7726e-05-6.3722e-05i,-0.00031542-0.00041997i,-2.5243e-06-0.0005549i,7.0379e-05-0.00017774i
