-0.0030644-0.00090741i,-0.0019065+2.2481e-05i,-0.0023476+0.0024402i,-0.0018798+0.0028551i,-0.00017219+0.0025388i,0.00043522+0.0017198i,-0.00024223+0.0011953i,-0.00066222+0.0011947i,-2.9347e-05+0.00072439i,0.0012324-0.00013219i,0.0017806-0.00027851i,0.0015832-0.0010055i,0.00096336-0.0017929i,-0.00052154-0.0018055i,-0.0015546-0.0016582i,-0.00079483-0.0008602i,-0.00054913-0.00054922i,-0.00059181-0.00076423i,0.00014865-0.00069563i,0.00051918-0.00020514i,0.00025292-0.00056521i,0.00066778-0.00053743i,0.0013732+0.00015469i
0.0019287+0.0012798i,0.0014819-7.657e-05i,0.00080305-4.467e-05i,0.00011183+0.00055403i,-0.00017232+0.00067413i,-0.00086184-0.00019378i,-0.0015614-0.0010156i,-0.0011044-0.00050166i,-0.00018952+0.00040524i,0.00012403+0.00036066i,0.0001379-0.00036506i,-0.00014763-0.00098311i,-0.00017381-0.00081083i,-6.3069e-05-0.0013823i,-0.00036431-0.0015324i,-0.00079415-0.00043957i,-0.00098585+0.00012595i,-0.00018109-0.0003174i,0.00060781-0.00081587i,0.00068925-0.00067585i,0.00022645-0.00059338i,0.0001168-0.00081639i,0.00021678-0.00031031i
-0.0013712-0.0016166i,-0.0015563-0.00036505i,-0.00099821+0.00088398i,-0.0011692+0.0014319i,-0.0016579+0.0001179i,-0.00017042-0.00075784i,0.0012131-0.00046425i,0.00094826-0.00014823i,0.0006253-0.00024234i,0.00041891-0.00033738i,0.00030048-0.0005048i,9.4373e-05-0.00067535i,0.00033593-0.00022256i,0.00015975-0.00015531i,0.00021555-0.00013544i,-0.00025609+0.00015004i,-0.0010402+5.3235e-05i,-0.00010983-0.00042431i,0.00035885+0.00014136i,5.9892e-05+0.0011072i,0.00052738+0.00060579i,0.0009344+0.00041404i,0.00062866-9.6339e-06i
7.9892e-05-0.0012291i,-0.00067849-0.0014934i,-0.001265-6.1149e-05i,-0.00057626+0.0016259i,0.00016115+0.0018821i,-0.0004112+0.0013397i,-0.0006836+0.00017908i,0.00032064+0.00010185i,0.00085479+0.0007145i,0.00047274+0.00030285i,0.00072754+7.0582e-05i,0.00092264+7.9651e-05i,0.00014024+0.00042802i,-0.00035982+0.00080796i,-0.00027995+0.00021347i,0.0002123-2.7427e-05i,0.00071208-3.1734e-05i,0.00069234+0.00032004i,0.00063566+0.00037889i,0.00039531+0.00013694i,0.00023468-2.0174e-05i,0.00087799-0.00016177i,0.001136-0.00035675i
-0.00039015+0.00018632i,-0.00056547+0.0022374i,-0.00092595+0.0028125i,-0.00013591+0.0022449i,7.2262e-05+0.0017139i,3.617e-05+0.00062792i,0.00013351-0.00015024i,0.00065307-0.00038189i,0.00055758-0.00014852i,-0.00014184+1.786e-05i,-0.00086612-0.00042997i,-6.3802e-05-0.00059483i,0.00062548-0.00040849i,0.00015038+0.00011902i,-0.00038002+0.00040328i,-0.00049001+3.3178e-05i,-0.00022176-0.0003783i,-6.0415e-05-8.1034e-06i,0.00044238+0.00082609i,0.00069373+0.00051431i,0.0012605+0.00029717i,0.00093594+0.00066511i,-5.0287e-05-3.4019e-05i
-0.00087626+0.0001344i,-0.00018968+0.00078938i,0.00048674+0.00017348i,0.0010665+0.00037665i,0.0014666+0.0010079i,0.0012509-9.9995e-05i,0.00038649-0.0011639i,-0.00038521-0.0012158i,-0.00056563-0.00082859i,-5.3746e-05-9.517e-05i,0.00028457-0.00024862i,0.00024202-0.00075702i,-0.00043697-0.001506i,-0.00071497-0.0013739i,8.2318e-05-0.00076313i,-1.1857e-05-0.00010078i,3.6059e-05+0.00031876i,0.00062086+0.00011997i,0.00058324-0.00024436i,0.00075456-0.00022987i,0.00084156+0.00028678i,0.00029934+0.00015043i,-0.00051219-0.00033378i
0.00048581+0.0004922i,-0.00023077+0.00077747i,1.5248e-06+0.00099746i,0.00037935+0.00077331i,0.00032593+0.00019496i,0.00051903+5.6754e-05i,0.00057427+0.00036216i,0.00064482+0.00055674i,0.00029229-0.00010947i,0.00051387-0.0012685i,0.00078133-0.0016677i,0.00060878-0.0015358i,9.6257e-05-0.001546i,-0.00037011-0.0010539i,5.7153e-05-0.00046564i,-0.00012918-0.00054051i,-0.00085576-0.00012676i,-0.0011496-0.00011606i,-0.00042156-0.0004301i,5.3799e-05-0.00044518i,-0.00020418-0.00056509i,0.00054157-0.00019012i,0.0011725+0.00028478i
0.0017228-0.00045302i,0.00082979-0.00079085i,-9.7407e-05-0.0013229i,-0.00056607-0.0010877i,-0.00078884-0.00041191i,-0.0012186+4.3468e-05i,-0.00059325+0.00018958i,-2.9847e-05+0.00023817i,0.00042598+0.00019225i,0.0010419+6.3499e-05i,0.00080398-3.556e-06i,3.5989e-05-6.0893e-05i,-0.00030497-0.00046898i,-0.00063215+7.3453e-05i,-0.00024059+0.00088978i,-0.0001362+0.00089506i,-0.0008425+0.00024354i,-0.00094415-0.00024945i,-0.00056863-0.00029818i,9.2046e-05-0.00065374i,0.00064456-0.0014881i,0.00080222-0.0012851i,3.4701e-05-0.00033247i
-0.0009287+0.00038055i,-0.00019776+0.00077503i,0.0006359+0.0018391i,0.0012329+0.0023582i,0.0011764+0.0013991i,0.00065599+0.00025753i,4.5157e-05+0.00034272i,-0.00019078+0.00072678i,-8.4431e-05+0.00037683i,5.0381e-05+0.00034784i,4.089e-05+0.00077632i,-0.00052044+0.00026807i,-0.0012727-0.00020371i,-0.0015015+0.0004448i,-0.0013941-0.00026586i,-0.00072141-0.00056854i,-0.00022323+0.00025718i,-0.0002459+0.00068541i,0.00014835+0.0014504i,0.00086575+0.0012876i,0.00098157+0.0005451i,0.00063772-1.5012e-05i,0.00058826-4.5614e-05i
0.0026226+0.00020914i,0.0022547-0.0013918i,0.001499-0.0029013i,0.0011665-0.002388i,0.00061157-0.0012283i,-0.00038678-0.00035029i,5.4855e-05+0.00053844i,0.00077336+0.00079553i,0.00088526+0.00053298i,0.0004532-7.8594e-05i,0.00080002-0.00027803i,0.0010905+9.1123e-05i,-0.00017006-6.1575e-05i,-0.00072691-0.00025217i,-0.00031992-4.5962e-05i,-1.7683e-05-0.00028979i,-0.00016274-0.0007076i,-0.00036314-0.00077948i,-0.00014952-0.00045484i,0.00042285+0.00065939i,0.00073721+0.0012748i,0.00099625+0.00049215i,0.00092589-0.00026378i
0.00030145+0.0011634i,0.0016543+0.0019576i,0.0025494+0.0027728i,0.0021398+0.0023209i,0.0011654+0.0006617i,0.00042941-0.00050381i,-8.5906e-05-9.6043e-05i,0.00028828+0.00019041i,0.00076263+6.0768e-05i,0.00069623-0.00013597i,0.00040972-0.00049464i,-6.7004e-05-0.00082439i,-0.00021203-0.0010058i,-0.00021314-0.00077739i,-0.00023908-0.00021403i,0.00056253+0.00060784i,0.00063123+0.00061303i,8.1181e-05+0.00041573i,-1.6004e-05+0.00025338i,0.00060814-0.00043191i,0.00075527-4.9085e-05i,-7.0041e-05+0.00063395i,-0.00014489+0.000902i
