-0.0030644-0.00090741i,-0.0019065+2.2481e-05i,-0.0023476+0.0024402i,-0.0018798+0.0028551i,-0.00017219+0.0025388i,0.00043522+0.0017198i,-0.00024223+0.0011953i,-0.00066222+0.0011947i,-2.9347e-05+0.00072439i,0.0012324-0.00013219i,0.0017806-0.00027851i,0.0015832-0.0010055i,0.00096336-0.0017929i,-0.00052154-0.0018055i,-0.0015546-0.0016582i,-0.00079483-0.0008602i,-0.00054913-0.00054922i,-0.00059181-0.00076423i,0.00014865-0.00069563i,0.00051918-0.00020514i,0.00025292-0.00056521i,0.00066778-0.00053743i,0.0013732+0.00015469i
-0.0023584+0.0018695i,-0.0018521+0.0029786i,-0.00055541+0.0031068i,0.0011627+0.0024009i,0.0020397+0.0019879i,0.0020764+0.00059784i,0.0011744-0.00023185i,5.5314e-05+0.0002153i,-0.00018983+0.00098706i,-0.00022495+0.00081392i,0.00070875+1.4373e-05i,0.0007799-0.00040407i,-0.00054077-0.00075238i,-0.00093689-0.0011973i,-0.00060702-0.00077649i,-7.7192e-05+0.00048944i,6.991e-05+0.00056717i,0.00034651+0.0002465i,0.00038345+0.00052455i,0.00030083+0.00075319i,0.00028513+0.0003888i,0.00023506-2.2554e-05i,0.00033779-0.00072046i
-0.00012606+0.0014529i,0.0011311+0.0010132i,0.0019089+0.0015073i,0.001359+0.0019954i,0.00083038+0.0010764i,0.00099102+7.5686e-05i,0.0012961-0.00024983i,0.00091186-2.246e-06i,0.00049013+0.00054613i,0.00011638+0.00075626i,-0.00029789+0.00043783i,-0.00016867-0.00012802i,0.00040755+4.7084e-05i,0.00016403+0.00031836i,-2.5676e-05-0.00028858i,-0.00062427-0.00056371i,-0.0012591-0.00050147i,-0.00080839-0.00010277i,-0.00073993+4.5689e-05i,-0.00073015-0.00071121i,0.00020219-0.0010183i,0.00079913-0.00029431i,0.00063466+8.7131e-05i
-0.00055628+0.00023147i,-6.2092e-05+0.001063i,-0.00020712+0.0018943i,-0.00036083+0.0015757i,0.00036567+0.00035032i,0.0010458-4.1943e-06i,0.0011082-9.6805e-05i,0.00091478-0.00059312i,0.00067254-0.00056598i,0.00024195+4.9545e-05i,0.00011127-0.0002368i,0.00013356-0.0014989i,-0.0001448-0.0013894i,-0.00062607-1.315e-05i,-0.00072477+0.00068535i,-0.0012006+0.00017852i,-0.0012678-0.00030567i,-0.00024298-0.00053586i,0.00036563-0.00080461i,0.00011357-0.0005744i,-0.00058264+0.00015822i,-0.00068261+0.00024864i,0.00013145-0.00042737i
-0.00090094+0.00041609i,-0.00030195+0.0014743i,0.00085021+0.0018786i,0.00089706+0.0020303i,0.00078205+0.0016149i,0.0012438+0.00097995i,0.001004+0.00013849i,0.0005956-0.00026384i,0.00019744-0.00030155i,-0.00025152-0.00052764i,0.00046208-0.00094754i,0.0011333-0.00035545i,0.0010434-0.00011957i,0.00071127-0.00011861i,-8.1763e-05+0.00021275i,-0.00087387+0.00044896i,-0.0007645+0.000393i,-0.00044074+0.00033841i,-3.7652e-05+0.00025609i,-0.00037108+0.00043455i,-0.000755+0.00075107i,4.655e-05+0.00037291i,0.0013205-2.4836e-05i
-0.00046532-0.00021195i,-0.0010449+0.00043286i,-0.0012473+0.00020121i,-0.00027819-0.00021658i,0.0003605-0.00021295i,0.00098749+0.00029752i,0.001232+0.0012476i,0.00073748+0.00072525i,0.00040757-0.0008729i,0.00066983-0.0014144i,0.001126-0.00092155i,0.0014297-0.0011639i,0.0015034-0.00097824i,0.00095925-8.7145e-05i,-0.0003812+0.00015563i,-0.0010237+9.3948e-05i,-0.0010135+0.00040668i,-0.00083526+0.00047035i,0.00033326+0.00023303i,0.00090698+0.00019583i,0.00055049+3.823e-05i,0.00064586-0.00035316i,0.0010619-0.00035353i
-0.00057026-0.00083764i,-0.00067597-0.00037513i,-0.00040733+0.00073922i,-0.00047131+0.0013782i,-0.00046243+0.001051i,-0.00048112+0.00035029i,-0.00028432-0.00012684i,-0.0002014-0.0003434i,4.02e-05-0.00061863i,0.00032277-0.00044787i,-6.0804e-05+0.00011868i,-0.00026307+0.00019869i,-8.9421e-06-0.00028069i,-0.00037982-0.00084881i,-0.00025523-0.00047141i,0.00011191+4.2248e-05i,-0.00040657-0.00030072i,-0.00051135-0.00016401i,0.00022872+0.00082307i,0.00064992+0.00085612i,0.00032069-0.00011297i,6.3935e-05+0.0005568i,-0.00018639+0.001008i
0.00028818-0.00027071i,-0.000832-0.00017621i,-0.0016021-0.00036444i,0.00021585+0.00018881i,0.0011588+0.0010564i,0.0002275+0.00069795i,-0.00067833+0.00073141i,-0.0011704+0.00048161i,-0.00036567-0.00028808i,0.0010334-0.00023166i,0.0015877+0.00011177i,0.00038659+6.4089e-06i,-0.000724-0.00052039i,8.7066e-05-0.0010826i,0.00051671-0.0013755i,-6.1717e-05-0.001089i,-0.00051468-0.00066348i,-0.00011427-8.5549e-05i,0.000284+5.7313e-05i,0.00037435+6.6695e-05i,0.00024967+0.00034426i,0.00078291+5.5785e-06i,0.00089729-0.00047156i
-0.0035344-0.00014151i,-0.0022865-0.00019727i,-0.0012748+0.0011398i,-0.00027088+0.0021824i,0.00056841+0.0019027i,0.00078074+0.0008912i,0.0010418+1.0494e-05i,0.0011529-1.0889e-05i,0.00068778-0.00029235i,0.00021609-0.00051025i,0.00019968-0.0001896i,-0.00031276-0.00011943i,-0.00025604-0.00028825i,0.00020434-0.00026594i,0.00010381+0.00020965i,-0.0001495+0.00057505i,-0.00040637+0.00069605i,-0.0011421+0.00038421i,-0.00095661-7.6181e-05i,-0.00030604+6.0407e-05i,0.00078216+0.00043276i,0.0013685+0.00033319i,0.0011797-0.00062163i
-5.702e-05-0.0022315i,0.00013646-0.0015467i,0.00032009-0.00033332i,0.00018172+0.00055365i,3.2269e-05+0.00068664i,-0.00056203+0.00014921i,-0.00070019+0.00032912i,0.00040197+0.00049967i,0.00056768-0.00015647i,0.00019296-0.00059468i,0.00010171-0.00059787i,0.00053524-0.00064697i,0.00040689+8.0098e-05i,0.00017385+0.00071579i,-0.00012034+9.5253e-05i,-0.00027326+4.5886e-05i,0.00032921+2.9512e-05i,-0.00011864-0.00010593i,-0.00026784+8.7744e-05i,0.00029102+9.9211e-05i,-0.00023983-0.00046221i,-0.00057736-0.00060198i,-0.00087549-0.00017058i
-0.00070015+0.00034085i,-0.00077996+0.0009659i,-0.00090605+0.0012741i,-0.00070954+0.0008807i,0.00070562-1.011e-05i,0.00098486-0.00050456i,0.0014222-0.00062305i,0.0015082-0.00082745i,0.00068812-0.00026466i,0.000182+0.00042262i,0.00027378+0.00017678i,-3.8879e-05-0.00026051i,-0.00066782-0.00020974i,-0.0005648-0.00046489i,-0.00020539-0.0011964i,-0.00043369-0.00093389i,-0.00061617-0.00039044i,-0.00086597-0.00068119i,-0.00057802-0.0012698i,0.00022382-0.0010967i,6.7851e-05-0.0004581i,2.1602e-05+0.00013751i,-0.00027671+0.00012572i
-0.00072451-0.00040692i,-0.00083436+0.00022828i,-0.00099971+0.0008915i,-0.00061307+0.00085627i,-0.00042974-7.3527e-05i,-0.00035976-0.00085471i,-0.00036161-0.00071168i,-0.00036231-0.00030999i,0.00011899-0.00054399i,0.00050928-0.00035723i,-6.3313e-05-0.00022302i,-7.2575e-05-0.00046499i,-8.4281e-05-0.00086114i,-0.00036932-0.0016908i,-0.00079532-0.0021149i,-0.0012008-0.0013075i,-0.00071343-0.0001556i,0.00015429+0.00012045i,0.0003093-0.0003237i,-0.00012171-0.00042226i,9.3241e-05-0.00067429i,0.00024102-6.2729e-05i,5.5824e-06+6.0534e-05i
-0.0018362+0.0014001i,-0.0011156+0.001583i,0.00028069+0.0021085i,0.001816+0.0023341i,0.0016905+0.0017408i,0.00099432+0.00036971i,0.00041493-0.00041679i,0.00041058-0.00072124i,0.000885-0.00016419i,0.0011999-0.00012382i,0.00065566-0.00035833i,-0.0006727-0.00034985i,-0.00065492-0.00051643i,-0.000454-0.00038244i,-0.00062093-0.00037893i,-0.00053136-0.00026723i,-0.00082945+0.00019623i,-0.00034999+0.00023289i,0.0003942-0.00028223i,0.00044595-0.00080366i,0.00056618-0.00028744i,0.0005238+0.00010272i,0.00041132-0.00015418i
0.0017273-0.00066576i,0.00042854-0.00043011i,-0.00018737-0.00059572i,-0.0013099-0.00099167i,-0.0023176-0.00083742i,-0.0022016+0.00046386i,-0.00068133+0.00073127i,0.00057836-3.7561e-05i,0.00095113-0.00060568i,0.00080866-0.0006866i,0.00098438-0.00037539i,0.00066047-0.00027344i,-0.00047569-0.00039143i,-0.00046144-0.00050502i,-0.00035095-0.00018337i,-0.00025878-6.5988e-05i,0.00024126-0.00025014i,0.00014888-0.00040961i,0.00014181-0.00048346i,0.00057984-0.00039281i,0.00078162-0.000243i,0.00065682-2.4362e-05i,-4.5474e-05-8.9092e-05i
6.6281e-05+0.0010692i,0.00041096+0.0022134i,0.00045602+0.0022632i,0.00085694+0.0021058i,0.00085379+0.0014063i,-3.8818e-05+0.00061022i,-0.00027772+0.00013583i,-0.00069445-0.00025777i,-0.0011345-0.00041794i,-0.00045251-0.00034729i,0.00034144-0.00019352i,0.00055173-0.00028679i,0.00076242-0.00048847i,0.00064652-0.00067751i,-0.00063719-0.00062385i,-0.0012073-0.00015809i,-0.00050376+0.00015134i,-0.00010411+0.00024757i,0.00042103+0.00013136i,0.0010137+0.00023841i,0.00047028+0.00061631i,-0.0004274+0.00097799i,-0.00027171+0.00078003i
0.00040614-0.00016731i,0.00094315-0.00012928i,0.00062085-0.0002958i,0.0003435-0.00019142i,-0.00033934-0.00020465i,-0.00090433-0.00049397i,-0.00020708+0.00031695i,8.4688e-05+0.00077815i,0.00021243-8.2798e-05i,0.0010647-9.0712e-05i,0.0011237-7.4621e-05i,0.00064805-0.00092735i,0.00040578-0.0007326i,0.00061505-0.00032965i,0.00072526+0.00075334i,-0.00043275+0.0010987i,-0.001167-0.00030874i,-0.00056374-0.00097889i,0.00014318-0.00088255i,-0.00015325-0.0005957i,-9.7548e-05+0.00021004i,0.00056939+0.00029319i,0.00067127-5.3871e-05i
0.0003757-0.0010085i,-0.0010077-0.00078026i,-0.0012247-0.00026363i,-0.0012332-0.00011542i,-0.00073663+0.00019255i,0.00018356+0.00034712i,0.00024577+0.00024675i,-0.00016246-0.00029661i,0.00029701-0.00064878i,0.00030383-0.00047547i,0.00035169-0.00075566i,0.00017457-0.0013017i,-0.00017833-0.0010279i,-0.00028165-0.00052177i,-0.00013226-0.00035946i,0.00033165-7.0251e-05i,0.00035674+0.00027803i,0.00034675+0.00050434i,0.00063513-1.8215e-05i,0.00033923-0.00050242i,-5.4064e-05-0.00020921i,0.00032765+0.00031726i,0.00020584+9.1464e-05i
0.00052599-0.00022936i,0.00023976-0.00043017i,0.00044575-0.00059258i,0.00073157-0.0004264i,0.00072495-0.00068365i,-0.00024896-0.00039423i,-0.0010298+0.00023195i,-0.00044355+0.0002527i,-8.3077e-05-0.00028956i,0.00070483-0.00099926i,0.0017479-0.0012293i,0.0016198-0.0014323i,0.00070378-0.0012232i,-0.0004843-0.00066207i,-0.00039043-0.00041107i,-0.00017168-0.00043125i,-0.000975-0.00028914i,-0.00086516+6.5169e-05i,6.7682e-05+0.00061146i,0.00056088+0.00047931i,0.00095516+0.00010267i,0.00075127-0.00022021i,5.7736e-05-0.00012293i
-0.0002617+7.5174e-05i,6.0366e-05+0.0013489i,0.00020397+0.0023735i,0.00026762+0.0017689i,0.00089038+0.00054409i,0.0017099+0.000479i,0.0015649+0.00083539i,0.0012324+0.00053341i,0.00086255+0.00041523i,0.00091687+0.00019878i,0.00097568-0.0002131i,0.00045255-0.00064552i,0.00070466-0.0012892i,1.0258e-05-0.0014248i,-0.00026997-0.00095632i,-0.00016695-0.00046985i,-0.00040091-0.00016359i,-0.00021983+1.6755e-05i,1.2789e-05-0.00013082i,0.0006773-0.00031371i,0.00080484-3.7208e-05i,0.00091204+0.00049729i,0.00084516+0.00064487i
0.0019332-0.00051447i,0.0019089-0.00049259i,0.0018913-0.00071236i,0.001004-0.0012592i,-0.0003237-0.0017794i,-0.00053675-0.0021721i,-0.0001325-0.0011156i,-0.00049121+0.0001546i,-7.6695e-05+0.00024692i,0.00026968-0.00059743i,-0.00023645-0.00059031i,-0.00027673-0.00018946i,-0.00054253+0.00015098i,-0.0013574+0.00025181i,-0.0016108-0.00045736i,-0.0010748-0.00071637i,0.00031004+0.00043206i,0.00047585+0.0013362i,-0.00018049+0.00079837i,1.0285e-05+0.00024154i,0.00019564-0.00051699i,-0.0003177-0.0010507i,-0.00059001-0.00015715i
-0.0002379+0.00037401i,-0.00031533+0.0010365i,-9.3072e-05+0.001238i,0.00048428+0.00081262i,0.00045077+0.0011561i,0.00060688+0.00051931i,0.0004706-0.00058807i,0.00053441-0.00045986i,0.00094393+0.00025442i,0.00071398+0.00056654i,0.0012239+0.00075947i,0.00055039+0.00037309i,-0.00029299-0.00050175i,0.00041404-0.00077583i,0.00084524-0.00082045i,0.00077867-0.0010906i,0.00012408-0.0007359i,-0.00062655-7.993e-05i,-0.00084401+0.00019529i,-3.2763e-05-9.8538e-05i,0.00050632-0.00034771i,0.00025062+0.00032305i,0.00024184+0.00068992i
7.0233e-05-0.00043513i,-0.00011046+0.00072295i,-0.0014414+0.0001932i,-0.00086384-0.00055786i,0.00033161+3.5385e-05i,0.00082065+0.00030994i,0.00039968+0.00051363i,0.00014927+0.00026154i,-0.00022575-8.1949e-05i,-0.00043374-0.00056606i,-0.00046533-0.00075365i,-3.9053e-06-0.00068094i,0.00086305-0.00067175i,0.001025-0.00048213i,0.00086166-0.00011597i,0.00037861+0.00024658i,6.6455e-05+0.00030144i,-2.465e-06-0.00035875i,-0.00031073-0.00091556i,-0.00047035-0.00048579i,-2.2364e-05+0.00061749i,0.00024501+0.0014629i,-7.1256e-05+0.001037i
-0.00079349-0.00036513i,-0.0014062+0.00051359i,-0.0017936+0.00061127i,-0.00024677+0.00089629i,0.0012453+0.0016615i,0.0011694+0.0016993i,0.00014352+0.0008362i,-0.00033914-0.00067855i,1.0984e-06-0.00087879i,0.00018494-8.3418e-05i,-0.00035886-0.00013991i,-0.00025025-0.00081656i,0.00047827-0.00081992i,0.00061081-0.00062369i,-0.00035747-0.00012052i,-0.00094797+0.00025874i,-0.00031463+0.00061434i,-0.00025297+0.00011865i,0.00019565-0.00070033i,0.00054078-0.00043225i,0.00047402+0.00068115i,0.00018467+0.0013232i,-0.00013456+0.0011426i
0.0014364-0.00066037i,0.00045784-0.0012392i,0.00043576-0.00086909i,0.00028242-0.00049623i,-8.0068e-05-0.00097785i,-0.00029702-0.0013861i,-0.00012368-0.00052581i,-7.5169e-06+0.00013631i,0.0005421+9.8631e-05i,0.00012916-0.00073883i,-0.00040202-0.0013387i,-8.7625e-06-0.0007265i,0.00041395-0.0006488i,0.00046625-0.00094468i,0.00049623-0.0004122i,-0.00026999+0.00012652i,-0.00074885-0.00019521i,6.9988e-05-0.00052754i,0.00078002-0.00031635i,0.00086666-5.6685e-06i,0.00042759+0.00080218i,0.00029021+0.0010707i,0.00090568+0.00067524i
-1.3215e-05-7.3773e-05i,0.00041437+0.0010477i,-0.00020034+0.0024711i,-0.0002743+0.0026139i,-6.9407e-05+0.00085898i,0.00049954-0.00023797i,0.0008377-0.00035925i,0.00064985-0.00011357i,0.00019139+0.00063638i,0.0003208+0.0010404i,0.00058898+0.00014537i,0.00051763-0.00084969i,0.00087867-0.0011503i,0.00073942-0.0011073i,-0.00012541-0.00066816i,-0.00047215+0.00021122i,0.00025808+0.00045547i,0.00035227+0.0003064i,0.00011635+0.00013512i,0.0009063-8.5952e-05i,0.0005994+9.5198e-05i,2.9895e-05+0.00045274i,0.00047122-7.431e-05i
-0.0014157+0.00032078i,-0.0010843+0.00059596i,0.00011396+0.0014306i,0.00069176+0.0014105i,-1.2023e-05+0.00074422i,-0.00048228+0.00026449i,-7.456e-05-0.00042283i,0.00041738-0.0010704i,0.00071-0.00062406i,0.00091079+0.00023077i,0.00064183+6.1065e-05i,0.00081273-0.00060082i,0.00098672-0.00068896i,-9.1247e-06-9.5911e-05i,-0.00081834-0.00041335i,-0.00017985-0.00058487i,0.00017502-0.00059143i,-0.00012744-0.00040651i,0.00037255-9.4042e-05i,0.0012786-0.00015437i,0.0012728+0.00053692i,0.0004422+0.00091587i,4.404e-05+0.00043652i
0.0011726+0.00077778i,0.0016191+0.0022147i,0.0019565+0.0024971i,0.0021242+0.00063974i,0.0017873-0.0014629i,0.00091279-0.0018039i,0.00051949-0.00036937i,7.6051e-05+0.00073496i,0.00023994+0.0010166i,0.0011182+0.00062412i,0.0012453-5.9829e-06i,0.00047956-0.00038021i,-0.00069226-0.0004209i,-0.00065867-0.00053374i,-0.00043504-0.00030137i,-0.00048655-0.00029887i,-7.7143e-05-0.00043965i,-0.0003841-0.00018251i,-0.00041201-0.00049519i,0.00027488-0.00096418i,3.4999e-05-0.00038196i,-0.00023337-0.00017467i,0.00054264-0.00021471i
-0.0005855+0.00062839i,-0.0012454+0.0010253i,-0.0011148+0.0014497i,-0.00029199+0.001314i,-6.645e-06+0.00086022i,-0.00030698-0.0001141i,-0.0002699+0.00022433i,0.00064174+0.00093768i,0.00051647+0.00055771i,0.00031478+0.00037026i,0.00040229-0.00048642i,0.00028191-0.0012604i,-0.00019259-0.0014719i,-0.00042585-0.0013753i,0.00016619-0.00093568i,-0.00013906-0.0014003i,-0.00035714-0.0012967i,-6.2949e-05-0.00069023i,6.9548e-05-0.00042989i,0.00067562-0.0003895i,0.00072746+0.00016471i,0.0003621+0.00012459i,-9.3604e-05+0.00025926i
0.0014021+0.0010357i,0.0013368+0.00049492i,0.0020496+0.00080373i,0.0026116+0.00093654i,0.0019694-0.00018808i,0.0013414-0.00064942i,0.0010815-0.00027596i,0.0013208-1.0804e-05i,0.001406+0.00038982i,0.00089382+0.00073672i,0.00048883+0.00094197i,-0.00078697+0.00088977i,-0.0010538-0.00024777i,0.00020589-0.00081891i,0.00082414-0.00021268i,0.00059622-0.00036614i,-0.00017051-0.00021835i,-0.00053266+0.00065744i,-0.00033404+0.00040993i,0.00050615-3.0723e-05i,0.00058083+0.00026122i,1.0327e-05+0.00054014i,0.00026981+0.00065956i
0.00037914+0.0020277i,-8.411e-05+0.0016169i,0.00018404+0.0013017i,-0.00015293+0.00098194i,-0.00061624-4.2144e-05i,-0.00091491-0.0011363i,-0.0010275+2.1387e-05i,0.00010027+0.00073473i,0.00082572+0.00060172i,0.00012722+0.00055514i,0.00020018-0.00014435i,0.00049201-6.845e-05i,-0.00028049+0.00031578i,-0.00076636-0.00023492i,-0.00025289-0.00081855i,0.00051909-0.00077517i,0.00079201+2.7484e-05i,0.00072815+0.00017592i,0.00032751-0.00092512i,0.000102-0.0011111i,-0.00028996-0.00053432i,-0.00033265-0.00067337i,4.4624e-05-0.00028678i
0.00050012+2.1964e-05i,0.00066219+0.00020297i,0.00085513+2.7212e-05i,0.0009808+0.00069944i,0.00078146+0.00086006i,0.00096678+0.00013273i,0.00068655+0.00011544i,0.00062012+0.00034579i,0.0010211-0.00024064i,0.00073153-0.00060405i,0.00040933-0.00074213i,0.00031157-0.0013005i,0.00021195-0.0011048i,0.00014639-0.0010811i,-0.00071214-0.0012432i,-0.00082278-0.00073831i,-0.00026439-0.0002013i,3.9201e-05-0.00082546i,0.00044383-0.0010193i,0.0012079-0.00023443i,0.0010834+0.00010097i,0.00063026+0.00050848i,0.00069593+0.0003979i
0.0020022-8.6864e-05i,0.001485-6.0271e-07i,0.0013505+0.00042512i,0.00097914+0.00049974i,0.00030973-8.344e-05i,-0.00047864-3.4797e-05i,-0.00069874-0.00035352i,0.00052463-0.0012699i,0.00090044-0.0013384i,7.2737e-05-0.00067745i,0.00019359-0.00054725i,0.0010759-0.0010206i,0.00072426-0.0010875i,-4.8714e-05-0.001091i,-0.00015697-0.0012977i,0.00016296-0.0010121i,8.1016e-05-0.00023764i,0.00032393+0.00020796i,0.0010897-8.4859e-05i,0.00062433-0.00015998i,-0.00046064-9.6444e-05i,-0.00064476-0.00017717i,0.00010295-0.00017785i
0.00040074-0.00030057i,0.00021193+0.00032569i,0.00030199+0.00018837i,0.0011058-0.00030589i,0.0013262+0.00048188i,0.00072688+0.0012093i,7.9264e-05+0.00040443i,0.00017951-9.5913e-05i,0.00083189-4.9623e-05i,0.00050728-0.00023057i,-7.4288e-05-9.2012e-05i,-8.7382e-05+0.00013594i,-0.00092209-0.00038582i,-0.0011896-8.7143e-05i,-0.00041772-2.2559e-05i,0.00012193-0.00036577i,-0.00018351+0.00044335i,-2.5497e-05+0.00062397i,0.00082394-0.00016085i,0.00065658-0.00024281i,0.00033677+0.0003276i,0.00093562+0.0003904i,0.0013222+0.00036598i
