-0.0031781-0.00091124i,-0.0028216-0.00047303i,-0.0027395-4.492e-05i,-0.0015074+0.0013136i,-0.00054726+0.0025665i,-0.00018033+0.0026329i,-0.00031855+0.0020913i,-0.00030248+0.00090469i,9.6115e-05-0.00052587i,0.00014477-0.00084831i,-0.00029381-0.00030435i,0.00016666-8.3854e-05i,9.5209e-05-2.0225e-05i,-0.00090238-0.00044412i,-0.0014409-0.0012887i,-0.00069611-0.0014079i,8.5761e-06-0.00087924i,0.00015301-0.0011906i,8.6567e-06-0.0012697i,-0.00018999-9.4252e-05i,-0.00031462+0.00080773i,-0.0010893+0.00051711i,-0.0012276+2.0332e-05i
-0.001017+0.003078i,-0.00038772+0.0031598i,0.0013043+0.0022299i,0.00074496+0.0011056i,0.0002823+0.00049487i,0.00058548-9.3585e-05i,0.0008634-5.4743e-05i,0.00094552+0.00050125i,0.000352+0.00035238i,0.00051695+9.8344e-06i,0.00067223-0.00020889i,-7.1781e-05-0.00053583i,-0.00010569-0.00023409i,0.0004638+0.00017647i,0.00085944+0.00066224i,0.00036583+0.00041279i,-0.00050941-0.00016464i,9.0628e-06+0.00050643i,0.00054204+0.00043653i,0.00037952+0.00010749i,-0.00013537+0.00019424i,-0.00055691+0.00021156i,-0.00025134+0.00024345i
-1.5166e-05+0.0018023i,0.00046689+0.0019092i,0.00054268+0.0024705i,0.0010489+0.0020089i,0.0015587+0.00018191i,0.0021015-0.00029601i,0.0014806+1.2202e-05i,-0.00026093-0.00020699i,-0.00065562+0.00049825i,0.00061674+0.00046229i,0.00045824-0.00015107i,-0.00015559-0.00029814i,0.00012012+0.00015434i,-0.00013579+0.0013771i,-0.0010351+0.0021015i,-0.001486+0.0012626i,-0.00060848+0.00020175i,-0.0003085-0.00020736i,-0.00049161-3.0485e-05i,-0.00050538+0.00035754i,-0.00057327+0.00011574i,0.00024974-0.00029475i,0.0011006-5.5393e-05i
0.0016991+0.0029144i,0.00083745+0.0035498i,0.00060017+0.0016742i,0.0018815-0.00056771i,0.0026623-0.00081516i,0.0020154-0.00046355i,0.00073131-0.00013817i,-0.00018401-0.00017128i,3.44e-05-0.00045719i,0.00059716-0.00062622i,0.00038623-0.0006528i,-0.00010989-0.00026255i,-0.0001268+0.00066723i,0.00050067+0.00072363i,0.00066017+0.00028589i,-0.00041497+3.2576e-05i,-0.00060029-0.00029971i,0.00020164-0.00017927i,0.00095182+0.00019873i,0.00065016-0.00016746i,-0.00030844-0.00018789i,-0.00065249-0.0001602i,-0.00022554-6.3079e-05i
-0.0023964+0.00022738i,-0.0035762-9.1392e-06i,-0.0023247+0.00035304i,-0.00025579+0.00078135i,0.0018774+0.00075739i,0.0030139+0.00020671i,0.001594-0.00044345i,0.00071845+1.6122e-05i,0.00063311+0.000704i,-0.00030683+0.00079002i,-0.00086297+0.0004401i,-0.00013969+0.00026278i,0.00045067-0.00015196i,-0.00020657-0.00045686i,-0.0006086-0.00049066i,-0.0003157-0.00082744i,-0.00022013-0.00013312i,8.3248e-05+0.00078865i,0.00092208+0.00050966i,0.0011878+1.9109e-05i,0.00052078+7.2979e-05i,0.0001272+0.00043694i,-0.00043707+0.0006794i
-0.00012149+0.0022593i,-0.00010388+0.0018413i,0.00036082+0.0013955i,0.0003215+0.0014215i,0.0008181+0.00036164i,0.00078086-0.0014826i,0.00053922-0.0018694i,6.7734e-05-0.0014278i,-0.0006252-0.001105i,-0.00020964-0.0010142i,0.00022252-0.00102i,-0.00023763-0.00076602i,-0.00059699-0.00039717i,-0.00030163-0.00024392i,-6.4891e-05+0.00013947i,-0.00074482+0.00093441i,-0.0011656+2.9212e-05i,-0.00033631-0.00095514i,0.00013901-9.3366e-05i,3.5567e-05-0.00023976i,-9.3858e-05-0.00094722i,-0.00011731-0.00074581i,9.9995e-05+0.00017453i
-0.0021019-0.00071626i,-0.0024252-0.00068201i,-0.0014292+0.00016435i,-0.00016142+0.0015179i,0.00025178+0.001875i,0.0016964+0.0013906i,0.0016241+0.00041986i,0.000197-0.00028657i,-0.00059414+6.7655e-05i,-0.00084819+0.00045411i,-0.00078677+0.00026231i,-0.00013217+4.4568e-05i,0.00040299+3.4109e-05i,0.00035451-0.00058311i,-0.00034894-0.00091458i,-0.00080704-0.00033828i,3.2545e-06+0.00041373i,0.00082542+0.0011066i,0.00081578+0.00094653i,0.0001772+0.0001011i,5.5744e-05-0.0004114i,0.00039787-0.00046641i,0.00032737-0.00063771i
-0.0013024+0.0017712i,-0.0015306+0.0015582i,-0.00083003+0.00148i,6.6904e-05+0.0011142i,0.0010882+9.438e-05i,0.0015151-0.00048871i,0.00097853-0.00083848i,0.00037335-0.00091768i,7.4008e-05-0.00082981i,0.00067826-0.00077834i,0.00079221-6.6827e-05i,-0.00036766+0.00050145i,-0.00078789-0.00063983i,0.00014291-0.0014759i,0.0012137-0.00056359i,0.0010002-0.00042877i,0.00048165-0.00085773i,5.2985e-05-0.00027798i,-0.00024611-6.0598e-05i,0.00015084-0.00088575i,0.00014818-0.0010979i,-0.00079323-0.00059562i,-0.00072849+0.0002974i
0.00023794-0.00026093i,0.00012112+5.6739e-05i,-0.00015964+0.00056508i,-0.00069089+0.00060611i,7.1182e-06+0.0008995i,0.0011648+0.0010035i,0.0015175+0.00059835i,0.00035786+0.00024335i,0.00031062-0.000636i,0.00066087-0.00066223i,-2.9231e-05+0.00017452i,-0.00040655-0.00033882i,-0.00036228-0.00022989i,-0.00060466+0.00072343i,-0.00099635+0.00018542i,-0.0011814-0.00064244i,-0.00027149-0.00057721i,-0.00030398+0.00022454i,-0.00021726+0.00036957i,0.0004786-1.4536e-05i,0.00042798+0.00012807i,-8.2309e-05-0.00067256i,0.0002907-0.00079611i
-0.0016892+0.0031663i,-0.0014408+0.0030976i,-0.00077741+0.0021223i,0.00033046+0.0019766i,0.001393+0.0015242i,0.0017078-0.00011782i,0.00087373-0.0016197i,0.00035396-0.0012618i,0.00045712+9.3603e-07i,5.1915e-05+0.00049871i,0.00028185+0.00022526i,0.0010731+1.2374e-05i,0.00011816+0.00012095i,-0.00088679+0.00016366i,-0.00084624+0.00050979i,-0.00067233+0.00096086i,-0.00033165+0.00061215i,-0.00028683+0.00021995i,-0.00028296+0.00050252i,-0.00043669+0.00087486i,-0.00051191+0.0005709i,-0.00047251+0.00082206i,-0.000406+0.00052178i
-0.00079641+0.00064512i,-0.0010289+0.001054i,-8.9652e-05+0.0012491i,0.0008474+0.0014916i,0.00092065+0.0016581i,0.0010715+0.0006414i,0.00072819+0.00019813i,-2.5472e-06+0.00043179i,0.00018602+0.00020411i,0.00045555-0.00052402i,0.00027661-0.00079799i,-0.00012957-0.00023052i,-0.00029051-0.00027932i,0.00021251-0.0003742i,0.00026509-0.00058248i,0.00032189-0.0012408i,0.00016439-0.0010143i,-0.00012271-0.00051672i,0.00042694-4.5497e-05i,0.00097847+0.00074526i,0.00035277+0.00064178i,4.7339e-06+0.0002093i,0.0002453+0.00051475i
-0.00094555-0.0013092i,-0.0013489-0.001562i,-0.00077543-0.0014346i,-0.00091172-0.00029287i,-0.0010108+0.00063098i,0.00058356+0.0019904i,0.0012127+0.0016025i,0.0007342-9.431e-05i,-7.042e-05-0.0011768i,-3.5164e-05-0.0012553i,0.00050583+0.00027486i,0.00045097+0.0010071i,0.0009185+0.00023942i,0.00075001-0.00071596i,0.00025277-0.0008447i,0.00069656-0.00081581i,0.0013219-0.00058472i,0.0010122+4.1109e-05i,-0.00010159-0.00017385i,-0.00055344-0.00057399i,-0.00014699-0.00028652i,0.00039662+2.0934e-05i,-6.1869e-05+0.00036352i
-0.0014403+2.5611e-05i,-0.0010981-0.00070757i,-0.0014102-0.00029666i,-0.00055808+0.00034494i,0.00040859+0.00030983i,0.00091704-0.00023677i,0.0011722-0.00090302i,0.00080944-0.00087516i,0.00046955-0.00068793i,-7.0441e-05-0.00040468i,-0.00022781+4.6114e-05i,0.00011431-0.00016757i,0.0003111-0.00040758i,0.00029127-0.00029026i,0.00056169-0.00024027i,0.00051786-4.7622e-06i,0.00022246+2.7217e-05i,0.00049661-0.0001351i,0.000463+0.00046457i,0.00046494+0.00078621i,0.00024168-0.00020835i,9.4003e-05-0.00075458i,-9.1549e-05+7.446e-05i
-0.0016411+0.00020972i,-0.0010047+0.002669i,-0.0015865+0.0029248i,-0.0014789+0.0020634i,-0.00050559+0.0016405i,3.9251e-05+0.0008529i,0.00082491+0.00011486i,0.00063054-3.8184e-05i,-0.0013071+0.000261i,-0.0019823+0.00023711i,-0.00074901-0.00042639i,0.00042926-0.00022919i,0.00036193-1.2927e-06i,-0.0004095-0.00037879i,-0.0004379-0.00041358i,-0.00013436-0.00044841i,0.00010577-0.00094858i,0.00016067-0.00041995i,0.00040465+4.1311e-05i,0.0003964-0.00012991i,0.00078275+0.00025829i,0.00087388-5.2084e-05i,0.00061003-0.0003802i
-0.00056267-0.001436i,-0.0015357-0.00089549i,-0.0026229-0.0017651i,-0.0023039-0.00025134i,-0.00081526+0.0021962i,0.00084578+0.0017301i,0.0011095+0.000248i,0.00065187-0.00024468i,-0.00013138-0.00019966i,-0.00096853+1.2807e-06i,-0.0013624+0.00054496i,-0.0011522+0.0012537i,-0.00034807+0.00098031i,-0.00024586-0.00018778i,-0.00042887-0.00071064i,0.00026058-0.00039261i,0.0011082-0.0005385i,0.0007957-0.00032951i,0.00010973+0.00052839i,0.00013628+0.0011533i,0.00032171+0.00040771i,0.00038623-0.00090227i,0.00048238-0.00065044i
-0.0030041+0.0035603i,-0.0021722+0.004601i,-0.0013704+0.0042589i,-0.00039702+0.0021705i,0.0012969-0.00013295i,0.0021061-0.0016082i,0.0011162-0.00090858i,0.0001374+0.00011973i,1.0329e-06+0.00067733i,-0.00033583+0.00039031i,-0.00028992-0.00026976i,0.00015615+1.4395e-05i,0.00012431+0.0010178i,2.8591e-05+0.0010589i,-0.00047147+0.00059045i,6.0327e-05+0.00012297i,0.0011275-0.00020031i,0.00070742-0.00021391i,-0.00046722+5.4249e-06i,-0.0011707-4.8254e-05i,-0.0014472-0.00023096i,-0.0013123-0.00019049i,-0.00060738+0.00026742i
0.0012746+0.0014074i,0.0010064+0.00059471i,0.00065421+0.00018546i,0.0011528+0.00053519i,0.0014478+0.0010037i,0.00092768+0.00046466i,0.00055587-0.0001708i,0.00029279-7.8089e-05i,-1.2538e-05-0.00081727i,-0.00042218-0.00083644i,-0.00052017+0.00025003i,-0.00032712+0.00030602i,-2.8389e-05-0.0003088i,-0.0001546-0.00019189i,0.00037959-0.00031388i,0.00049607-0.00034241i,-0.00083988+0.00086609i,-0.0010506+0.00094871i,-0.00029547-0.00046596i,-0.00013105-0.0009487i,0.0008256-0.00066751i,0.0010552-0.00044556i,0.0004042+0.00019766i
-0.0012483-0.00021124i,-0.0016541+0.00078735i,-0.0019789+0.00090612i,-0.0016003-0.00022378i,-0.00015159-0.00091048i,0.0015931-0.00069992i,0.0010875-0.00025269i,-1.7423e-06-3.4e-05i,0.00055424-0.00067416i,0.00066664-0.0006826i,-0.00025582-0.00060214i,-1.5835e-05-0.00056407i,0.00079865+0.00053992i,0.0011606+0.00094383i,0.00056218+0.0014121i,-0.0001313+0.0016205i,0.00039322+0.0012789i,0.00091971+0.00025407i,0.0006287-0.00013125i,0.00014588+0.00023343i,0.00015741+0.00014533i,-0.00015902+0.00011488i,-0.00061922-0.00013276i
0.00089603+0.0028784i,0.0020305+0.0030147i,0.0032088+0.002001i,0.0031639+0.0014806i,0.0018901+0.00066667i,0.0015863-5.8945e-05i,0.0010269-0.00070437i,6.0219e-05-0.00081076i,-0.00039332+6.7827e-06i,-0.0003404+0.00041131i,-4.2852e-05+7.604e-05i,0.00064295-1.9794e-05i,0.00016177+0.00046247i,-0.00041397+0.00065755i,-0.00011992+0.00098176i,-0.00018361+0.00077778i,-0.0006042-0.00039538i,-0.00013754-0.00064449i,0.00043628+7.6686e-05i,0.00044026-2.3659e-05i,0.00042124-0.0005651i,0.00030212-0.00038727i,0.00034529-0.00020941i
-0.0012589+0.00037212i,-0.0024522+0.0001469i,-0.0022071+0.00061344i,-0.00054813+0.00098731i,0.0013279-0.0001294i,0.0017644-0.00083813i,0.00054355-0.0010869i,-0.00045754-0.00068909i,-0.00057033+6.6768e-06i,-0.00049298+0.00033391i,2.2782e-05-9.3854e-05i,0.00038213-0.00042129i,-1.6278e-05-0.00010486i,-4.7433e-05+6.4433e-05i,-0.00034971+0.00046694i,-0.00072122+0.00069309i,-0.00077566+0.00076472i,0.00016201+0.00097337i,0.00097332+0.00031377i,0.00021031-0.00021823i,-0.0013468-0.00032356i,-0.0016517-0.00017741i,-0.0010906-3.7539e-06i
-0.00094597+0.0031015i,-7.2227e-05+0.0031395i,0.0013573+0.0018804i,0.0019097+0.0010708i,0.0015702+0.0010908i,0.00097697+0.00062055i,0.00066637-0.00018099i,0.00026915-0.001088i,0.00029476-0.001481i,0.00030013-0.0012366i,-0.00045729-0.00043267i,-0.00077869+0.00052077i,5.8996e-05+0.00055205i,0.00066967+0.00027257i,0.00032922-1.7223e-06i,-4.5391e-05+5.6085e-05i,0.00027758-1.8676e-05i,0.00067321-0.00021966i,0.00032468-0.00082913i,5.1778e-05-0.00049157i,0.00018169+0.00027456i,0.00071576+0.00016861i,0.0001972-0.00078452i
-0.00074987+0.00052198i,-0.00051771+0.0001755i,-1.1028e-05+0.00020426i,0.00073685+0.00020994i,0.0015223+0.00030573i,0.0016703+0.00031945i,0.0012214+0.00068763i,0.00085632+0.00068913i,0.00047125+0.00062456i,-0.00031207+0.00029592i,-0.00081155-0.00015296i,-0.00075457-0.00041226i,-0.00037545-0.00044898i,0.00022597+1.7495e-05i,0.0004566+0.00028303i,0.00012589-0.00038627i,0.00051845-0.00079486i,0.0011566-0.0001206i,0.0010161+0.00011703i,0.00051412+1.4578e-05i,0.00030557-0.0003535i,0.00027591+1.416e-06i,-3.7836e-05+0.0007363i
0.00030245+8.2544e-05i,-0.00023201+0.0015129i,-0.00059746+0.0013115i,-0.00050693-3.9926e-06i,-7.1353e-05+0.00040695i,0.0012662+0.0013131i,0.0018825+0.0010135i,0.0012801+0.00041442i,0.00076886-0.00018347i,0.00014422+0.00022321i,-0.00054196+0.00044421i,-7.8501e-05-0.00040942i,0.00077326-0.00096109i,0.0011672-0.00044118i,0.001019+0.00013805i,0.00048368-2.1229e-05i,0.0012759-0.00015169i,0.00087648-0.00018696i,0.00014949-0.00035046i,0.00029566-0.00023487i,0.00038211+0.00016349i,0.00076344+0.00035223i,0.0015079+0.00063603i
0.00070695+0.001148i,0.0018441+0.00061459i,0.0020467+0.0009547i,0.0021901+0.00057996i,0.0014263-0.00018797i,0.0013-0.00040734i,0.0017191+6.0391e-05i,0.00041361-0.00035248i,-0.00058665-0.001084i,-0.00048328-0.0010917i,-0.00020377-0.00035934i,-0.00030754+0.00011685i,-0.00014758+0.00068593i,0.00030312+0.0006685i,7.1444e-05+0.00068988i,0.00024688+0.00067172i,0.00032264+0.00037202i,0.00012454+0.00046979i,0.00076797-8.1984e-05i,0.00058806-0.00051549i,5.5123e-05+0.00014543i,-6.5079e-05+0.0001476i,-0.00037205-8.7312e-05i
-0.0020658+0.0012198i,-0.0025884+0.0019471i,-0.0023749+0.0014604i,-0.00084166+0.00098713i,0.00088838+0.00091958i,0.0013053+0.0001199i,0.0014136-0.00059555i,0.00094005-0.00054518i,0.0002865-0.00058656i,0.00033804-0.00016532i,0.00015731+0.00029713i,-0.00035224+0.00041194i,-0.00026005+0.00027363i,-0.00021269+0.00043272i,-0.00057176-9.0952e-05i,-0.00028048-0.00079677i,-0.00031889-0.00027443i,-0.00025049-0.00039672i,5.2432e-05-0.00039922i,0.00018059+0.00027895i,0.00021892+0.0006448i,-0.00054456+0.00067776i,-0.00029963+0.00026074i
-0.001187+0.0025231i,0.00062424+0.00257i,0.0013239+0.0019398i,0.0016792+0.0010468i,0.001554+4.6916e-05i,0.0011798-0.00043214i,0.00037228-0.00053404i,0.00014021+0.00022105i,0.00015926+0.00077181i,0.0001045+9.1785e-05i,0.00024482-0.00047709i,0.00041623+0.00025987i,0.00051428+0.00095919i,2.9161e-05+0.0013418i,0.00010865+0.00116i,0.00063618+0.00016595i,-0.00043949-0.00047757i,-0.0017071-0.00013006i,-0.0015385+0.00062285i,-0.00068405+0.00022236i,-8.2386e-05+0.00067906i,0.00030549+0.0011067i,0.00018431+0.00055003i
0.00032681+0.0018094i,-0.00023175+0.0028214i,-0.00028213+0.0013052i,-0.000665-0.00017523i,0.00045984+0.0007532i,0.0012846+0.0014155i,0.00039646+0.00053091i,-0.00022617+0.00018378i,7.6732e-05+0.0003107i,9.4488e-05-0.0002406i,-0.00067105-0.00074274i,-0.00085591-2.7576e-05i,-0.00017301+0.00084446i,0.00018442+0.0008334i,0.00017274+0.00083815i,-4.2508e-05+0.00039214i,0.00053128-0.00021245i,0.00095519+0.00020427i,0.00045866+0.000421i,0.00065636+0.00034223i,0.00091061-0.00017708i,6.2218e-05-0.00019752i,0.00018364+9.7259e-05i
0.0023888+0.0015422i,0.0023543+0.00061992i,0.0026314-0.00038311i,0.0016531-0.00060784i,0.00086395-0.00043459i,0.00077676-0.0005684i,0.00062552-0.00080289i,0.00078271-0.00042508i,0.00062161-0.00076698i,-1.914e-05-0.0015839i,-0.00022635-0.001584i,0.00029644-0.00047755i,0.00070333+0.00064211i,-0.00022833+0.00068847i,-0.00034591+0.00070909i,0.00068389+0.00086267i,0.0003186+0.00021596i,-0.00041417+7.8701e-05i,-0.00082326+9.6002e-05i,-0.00071201-0.00035115i,-0.00030376-0.00041001i,-0.00021465+9.6523e-05i,-0.00086524+0.00065086i
0.00013951+0.0016472i,-2.8495e-05+0.0021167i,-0.0004239+0.0011365i,-0.00052312-0.00056826i,0.0010098-0.00040755i,0.0020195-0.00041256i,0.0020096-0.00074904i,0.0017421-0.00081589i,0.00068679-0.0010943i,-9.5663e-05-0.0017666i,0.00029792-0.0015146i,0.00061528+7.8499e-05i,0.00040505+0.00039567i,0.000724-7.0235e-05i,0.00083456+0.00070846i,4.8167e-05+0.0013337i,-1.0603e-05+0.0011966i,-0.00045652+0.0012232i,-0.0014675+0.0012358i,-0.00076605+0.0008899i,0.00024153+0.00057306i,6.2828e-05+0.00082185i,-0.00060896+0.00073197i
-0.00081821-0.001014i,-0.00016591-0.00070131i,0.00043533-0.0001199i,-5.4563e-05+7.0456e-05i,-0.00012207+0.00048228i,0.00065768+0.00067789i,0.0011232+0.00041628i,0.0004104+0.00021855i,4.6126e-05+0.0003144i,4.9864e-05+2.6093e-05i,-0.00020257+0.00023847i,-0.00012659+0.00058538i,4.6297e-05+0.00013898i,0.00040076-0.00024482i,0.00024556-0.00055203i,-0.00010998-0.0002949i,-0.00018321-9.0498e-05i,-0.00020129-0.00013482i,-0.00087012+3.381e-05i,-0.0011637-0.00014827i,-0.00077145-0.00011443i,-0.0003828-1.142e-06i,-0.00039926+2.2925e-05i
