0.0003227-0.0012841i,0.00053975-0.0010518i,-0.00011063-0.00047495i,-0.0014448+0.00043989i,-0.0027179+0.0010053i,-0.0023904+0.0011776i,-0.00052352+0.0015691i,0.00058588+0.0016822i,0.00070794+0.00048901i,0.00068606-0.00037008i,0.00059236-0.00013889i,0.00054013-0.00051i,0.00053002-0.0012428i,0.00068602-0.0010708i,0.00076077-0.00025402i,0.00059945+0.0001703i,0.00054357+0.00038816i,0.00063575-1.0359e-05i,0.00026074-0.00066581i,-0.00061696+5.5144e-05i,-0.00031764+0.00074505i,0.00069837+0.0006805i,0.0006997+0.00061128i
-0.0011562+0.0013542i,-0.00046257+0.0022816i,0.0002584+0.002269i,0.00073289+0.0025851i,0.0003242+0.0025936i,0.00034253+0.0015i,0.00054612+0.0011888i,0.00059223+0.0010285i,0.0003963+0.00014676i,-9.713e-06-0.00058042i,-0.00017152-0.00088022i,4.1636e-07-0.00022248i,-0.00015003+0.00042434i,-1.522e-06+1.6753e-05i,0.00051336-0.00029374i,0.00054817+2.2597e-06i,-9.3354e-05+0.00032617i,-0.00039054+0.00016076i,0.00032763-2.88e-05i,0.0005838+8.576e-05i,0.00044676-9.1453e-05i,0.00055625-0.00045161i,0.00033499-0.00080666i
-2.3175e-05-0.00073782i,-0.00031437-0.0012175i,-5.7679e-05-0.001554i,0.00061605-0.0010364i,0.00059155+0.00044494i,-0.00040009+0.0012221i,-0.00043151+0.00080739i,3.1411e-05+0.00054928i,0.00014353+1.4172e-05i,0.00065016-0.00045518i,-0.00049124+0.00015655i,-0.00087408+0.00034564i,0.00036079-0.0005609i,0.00066294-0.00077123i,0.00050781-0.00027336i,-0.00015399+1.9207e-05i,-0.0011006-0.00029972i,-0.00075069-0.00046733i,-0.00041463+0.00068738i,-0.00028979+0.0012672i,-0.0002057+0.0013908i,-0.00014052+0.0011649i,-0.00029953+0.00079786i
0.00067085+0.0017762i,0.0012064+0.0031303i,0.0013329+0.003369i,0.00088394+0.0023598i,0.00094663+0.001179i,0.0010233-4.0472e-05i,0.0005818-0.00039131i,5.1232e-05-0.0001313i,7.3711e-05-0.00014568i,-0.00032609+0.00015081i,-0.00088756-7.0715e-05i,-0.00064471-0.00036135i,-0.00034613-0.00029221i,-3.4691e-05-0.00021694i,0.00032139+7.5805e-05i,1.2287e-05-0.00016771i,-7.1799e-05-0.00079767i,0.00044568-0.0010295i,0.0009093-0.00043103i,0.00060402+0.00027498i,0.0003215+0.00035001i,0.00078906+0.00028239i,0.00012427-0.00023649i
-0.0030069-0.0003215i,-0.0033085-8.0641e-05i,-0.0022683-0.00044491i,-0.0012686+0.0001289i,-0.00073662+0.0012463i,-0.00042803+0.00096412i,-0.00017064-0.00017979i,0.00038901-5.9367e-05i,0.00017371+0.00033225i,0.00010701+0.00063588i,0.00031659+0.0011809i,-5.3276e-06+0.0008289i,-0.00099881-0.00069397i,-0.00099544-0.0012098i,-0.00062283-0.00015063i,-0.00074629+0.00027046i,-4.8904e-05-0.00028189i,0.0004587-0.00022361i,-0.00011289+5.9111e-06i,-0.00051764+0.0003616i,-0.00024511+0.00046493i,-0.00016137-9.2572e-06i,-0.00019973-0.00082029i
0.00091533-0.00032154i,0.0018827+0.00040527i,0.0020958+0.00052359i,0.0012125-5.0495e-05i,0.00071399+0.00013676i,0.00013577+0.0010398i,-0.00089261+0.0014044i,-0.00070511+0.00042551i,-0.0002551+9.5879e-05i,-0.00015226+0.00019443i,-0.00058611-0.0001035i,-0.00045359+0.00024233i,0.00015716+0.00049713i,-0.00013186+0.00083118i,0.00034935+0.00047424i,0.00085299+0.00020089i,6.1779e-05+0.00049253i,-0.00066095+0.00032434i,-0.00019729-0.00078553i,6.9537e-05-0.00079323i,-0.000183-0.00042007i,-0.00048121+7.411e-05i,-0.0005156+0.00031676i
0.00050571+0.0001967i,0.00068508+0.00014561i,0.00038952-0.0011796i,-0.00017581-0.0020054i,9.7977e-05-0.0012257i,0.00055018+0.00028053i,0.00069715+0.00087344i,-0.00015126-5.3367e-05i,-0.00081049-0.00083214i,-0.00030723-0.00029133i,-0.00028504+0.00021424i,-0.0004504+0.00049796i,-0.00049068+0.00072385i,-0.00050179+0.00014611i,0.00019061-0.0006995i,0.0004914-0.00094691i,-4.3346e-05-0.00052254i,0.00011564-0.00048244i,0.00097591-0.00013905i,0.00099289+0.00018528i,0.0006685-0.00018532i,0.00076894-0.000176i,0.00019008-0.00026881i
-0.00025084+0.0004233i,-0.00051016+0.0008883i,-0.00037192+0.0010503i,-0.00016144+0.00096315i,0.00020687+0.00014183i,-0.00038487-0.00018995i,-0.00069346-0.00028787i,-0.00036167+8.7747e-06i,-0.00049263-0.00057446i,-0.0005898-0.00066143i,-0.00056408-0.00025449i,0.00050875-0.00058574i,0.00059035+8.4458e-05i,-6.4261e-05+0.00012178i,-0.00032293-0.00051414i,-0.00055733+0.00013738i,-0.00097613+0.00076303i,-0.00052357+0.00049391i,-0.00023798-0.00073551i,7.9572e-05-0.00093528i,0.00020538+0.00018758i,-0.00015036+0.00082249i,0.00019548+0.00057282i
-0.0012311+0.0006292i,-0.00038188+0.0020103i,0.00042141+0.0011969i,0.00038967+9.4703e-05i,0.00014344+0.00018358i,-0.00030983+0.00018632i,-0.0004099+0.00019611i,0.00059661-0.00013875i,0.001428-0.00055551i,0.00065244-4.7116e-05i,-0.00043162+0.00021611i,-8.5083e-05+0.00013994i,0.00040203+0.00032742i,-6.4199e-05+8.3949e-05i,-0.0003356+6.4579e-05i,0.00024577-3.3359e-05i,0.00054246-0.00084158i,0.00069309-0.00066498i,9.7646e-06-0.00044014i,-0.00049461-9.513e-05i,7.2876e-05+5.7652e-05i,0.00029998-6.3358e-05i,-6.6151e-05+0.00056923i
0.00042296+0.00024503i,0.00057765-0.0010841i,-4.7904e-05-0.001557i,-0.0008406-0.0012581i,-0.00040816-0.00053466i,-0.00016684-0.00017239i,-0.00026353-0.00023026i,0.00011078+0.00010568i,0.00017941+0.0001753i,1.0891e-05-4.9497e-05i,5.7797e-05+0.000166i,0.00047544+0.00010564i,-8.3333e-05-0.0003372i,-0.00076168-0.00045991i,-0.0010081-0.00064388i,-0.00099146-0.00072517i,-0.00047253-0.00029571i,-0.00022781-0.00040004i,-7.2778e-05-0.00056798i,4.7624e-06-0.00021451i,0.00012127-0.00015845i,0.0003853-0.00074682i,-0.00044195-0.00096684i
-0.0018506-0.00063492i,-0.001784+7.7764e-05i,-0.00082567+0.00096745i,-1.7005e-05+0.0012351i,0.00019151+0.00074702i,0.00035054+0.00078782i,0.00043212+0.00081124i,-0.0002145+0.0005231i,-0.00045257-8.7892e-05i,-0.00012017-0.00029392i,0.00012025+4.6833e-05i,0.00039564-0.0002811i,0.00012741-0.00099518i,-0.00045895-0.0012835i,-0.00077574-0.00048785i,-0.00098983-1.5958e-05i,-1.5961e-05-0.00047813i,0.00046006-0.00045023i,-0.00012946+0.00013215i,-0.00033469+0.00026543i,0.0001943-0.00036179i,0.00017815-0.00023176i,-3.7879e-05+0.00015126i
