-0.0049482-0.0015119i,-0.004659-0.00046781i,-0.0041745-0.00018813i,-0.0034023+0.001132i,-0.0023726+0.0017543i,-0.00056226+0.00057325i,-0.00080271+0.00053772i,-0.0014162+0.0017786i,-0.00080567+0.0013591i,-0.00020771+0.00052482i,0.00037938+0.00083101i,0.00073432+0.00082366i,0.0010322+0.00039504i,0.001323-5.5876e-05i,0.00061044-0.00045772i,0.00051099-0.00034189i,0.0013498+3.6103e-05i,0.00099284-0.00026667i,6.6612e-06-0.00030218i,0.00013918+0.00067647i,0.00072787+0.00089683i,0.00012146+0.00022802i,-0.00046439-0.0003836i
-0.00063247-0.00027388i,-0.00060938-0.00021153i,-0.0010703+0.00064012i,0.00067794+0.00058942i,0.0025448+0.00038948i,0.002317+0.00046662i,0.0012813-5.2056e-05i,0.00097368-0.00044048i,0.00094754-0.00040289i,-0.0002006+6.6945e-06i,-0.0010109+0.00019345i,-0.00073602+0.00022524i,0.000117-1.6194e-05i,0.00076597-0.0001476i,0.00079418-5.3251e-06i,0.00040623+8.6508e-06i,-0.00035932-0.00037787i,-0.00056565-0.0011013i,-0.00026021-0.0010184i,2.4269e-05-0.00071269i,2.8425e-05-0.00030486i,-0.00039069+4.8538e-05i,3.0493e-05-0.00035221i
0.00065738-0.00028715i,0.00010535-1.4535e-05i,-0.0007772-0.00062776i,0.0011274-0.001011i,0.0026096-0.00077719i,0.0020966+6.9031e-05i,0.0010163-0.0001036i,0.0001335-0.00040036i,0.00036701-0.00021733i,0.00056089-0.00020359i,0.00047622+0.00021639i,0.00012624+0.00053629i,0.00012495+0.00050503i,0.00071105+0.00079542i,0.00082976+0.00048546i,0.00063106+0.00015962i,0.00022968+8.0599e-05i,0.00012734-0.00036871i,-0.000489-0.00029241i,-0.00067826+0.00019941i,1.2098e-06+4.2297e-05i,0.00013042-0.0010517i,0.00022381-0.0015107i
0.0019842-0.00099829i,0.0013746-0.0018504i,0.001142-0.0030601i,0.0011696-0.0035171i,0.0015638-0.0029451i,0.0019298-0.0015121i,0.0016175-0.00047377i,0.00055348-0.00057411i,-0.00036175-0.00093809i,0.00015623-0.00085965i,4.4849e-05-0.00078576i,-0.00047719-0.00065993i,-0.00039219-0.00030516i,-5.1273e-05+0.00036776i,-0.00036744+0.0002846i,-8.5525e-05-0.00022654i,0.00072574-0.00035438i,0.00022556-0.00029726i,-0.00070163-6.4798e-05i,-4.7188e-05-1.2799e-06i,0.00036099-0.00026093i,-0.00042425-0.00058954i,-0.00069093-0.0010013i
-4.3809e-05+0.0010106i,0.0011941+0.00099785i,0.0016789+0.00099354i,0.0018989+0.000188i,0.0025199-0.00080134i,0.0019726-0.0012575i,0.0011456-0.0012171i,0.00045574-0.0011058i,-9.3727e-05-0.00056248i,0.0002789+4.4543e-05i,0.00032204-0.00014675i,0.00012718-0.00058896i,0.00022092-0.00080796i,-7.6492e-06-0.00038373i,-0.00016645+0.00020972i,0.00037231-0.00015099i,0.00045513-0.00073712i,-0.00017028-0.00057953i,-0.00041107-0.00019864i,-0.00044968+5.9982e-05i,-0.00014718-6.7159e-06i,0.00042698+0.00014752i,-1.3197e-05-9.5465e-05i
0.00011978+0.00063434i,-0.00044871+2.4053e-05i,-9.7348e-05-0.00075045i,0.00021946+0.00029693i,0.00034569+0.00080344i,0.0011715-0.00013919i,0.0010949-0.0010047i,0.00055488-0.0010687i,0.00028636-0.00033194i,-5.6285e-05+0.00028904i,-7.1616e-05+0.00018235i,0.00057063-0.00021899i,0.00050607+0.00013362i,0.00015169+0.00058252i,4.8869e-05+0.00084096i,8.3806e-05+0.00066079i,0.00054739+0.00054427i,0.00071832+0.00035553i,0.0001569+0.00028406i,-0.0007231-0.00018452i,-0.00046712-0.00072412i,0.00031649-0.00036574i,0.00035701+0.00011194i
-0.00080518-0.00047947i,-0.0010626-0.00026752i,0.00046747-0.00082161i,0.0022174-0.00027758i,0.0021641+0.00030542i,0.0018198-0.00074708i,0.0013968-0.00059669i,0.00047435+0.00063897i,5.2858e-05+0.00077333i,0.0005381-0.00091053i,0.00053202-0.0014966i,-0.00015608-0.00036418i,-3.7925e-05+0.00014408i,0.00025411+0.00010503i,-0.00017163-0.00042128i,-0.00038546-0.00093623i,-0.00028283-0.00059316i,-0.00037192-0.00061888i,-0.00075406-0.00081064i,-0.0004427-0.00088497i,-0.00027527-0.00056995i,-0.00079335+0.00038531i,-0.00029657+0.00075611i
0.0012405+0.002245i,0.0013601+0.0019603i,0.0017039+0.002226i,0.0021176+0.0013655i,0.0031424-8.0562e-05i,0.0033375-0.0015649i,0.0023797-0.0015943i,0.0010928-0.00090014i,0.00015189-0.00055205i,0.00058761-0.00039885i,0.00039773-0.00069792i,-8.4529e-05-0.00072115i,0.00028548-0.00020612i,0.0010161-0.00048456i,0.0016749-0.00088973i,0.001057-0.00057702i,0.00045585-0.00042109i,-0.00032902-0.00047795i,-0.00086891-0.00021958i,-0.00057886-0.00016412i,0.00022896-0.000275i,0.00092676-0.00066617i,0.0010377-0.00075924i
-0.0003476+0.0027582i,-0.00029361+0.0019313i,0.00039888+0.00043649i,0.0010884-0.0005917i,0.0020691-0.0014582i,0.0019884-0.0015431i,0.00069433-0.00074644i,-0.00043541-0.0001505i,-0.00062462+9.6578e-05i,6.1234e-05+0.00083461i,0.00028639+0.00076427i,0.00040768-0.00028008i,0.0008955-0.0001451i,0.00073114+0.00056194i,-6.2749e-05+0.00084273i,-0.0005683+1.9039e-05i,-1.4528e-05-0.00056172i,0.0004393+0.00051797i,0.0003276+0.0008653i,0.00024381+0.00022946i,-0.00044139-0.00030911i,-0.0006425-0.00098792i,-0.00013811-0.00075362i
-0.00053337+0.00031356i,0.00025836-0.00035698i,0.0014581-0.0014638i,0.0023923-0.0025139i,0.0026518-0.0026845i,0.0015573-0.0019556i,-8.5689e-06-0.00069872i,-0.00023849+0.00018604i,3.9816e-05-0.0003495i,-0.00027883-0.00080969i,-0.00015966-0.00074498i,0.00031441-0.00135i,0.00092748-0.0015077i,0.0008926-0.0011801i,0.00029315-0.00063985i,0.00010038-0.0012841i,8.8097e-05-0.0020234i,-0.00038908-0.0014225i,-0.00057953-0.00080325i,-0.00028994-0.00011724i,-0.00010168-7.7593e-05i,0.00015069-0.00069423i,0.00043818-0.0004825i
0.00069302+0.00032127i,-0.00020508-0.00052509i,-0.00018013-0.00011728i,0.00047747+0.00032128i,0.0016262-0.0002596i,0.0023113-0.0010702i,0.0018074-0.00097685i,0.00071368-0.00063681i,-1.3747e-05-0.00062321i,-1.1132e-05-0.00068261i,-0.00020076-0.0011428i,-0.00028245-0.0005399i,2.6368e-05+0.00074329i,0.00043434+0.00060811i,0.00088785-0.00055291i,0.00096909-0.00066627i,0.0012601-0.00017512i,0.0011929-0.00054066i,0.00046599-0.00078579i,0.00035942+0.00020387i,0.00048635+0.00034942i,-0.00017733-0.00042193i,-0.00078618-0.0010598i
