-0.0049482-0.0015119i,-0.004659-0.00046781i,-0.0041745-0.00018813i,-0.0034023+0.001132i,-0.0023726+0.0017543i,-0.00056226+0.00057325i,-0.00080271+0.00053772i,-0.0014162+0.0017786i,-0.00080567+0.0013591i,-0.00020771+0.00052482i,0.00037938+0.00083101i,0.00073432+0.00082366i,0.0010322+0.00039504i,0.001323-5.5876e-05i,0.00061044-0.00045772i,0.00051099-0.00034189i,0.0013498+3.6103e-05i,0.00099284-0.00026667i,6.6612e-06-0.00030218i,0.00013918+0.00067647i,0.00072787+0.00089683i,0.00012146+0.00022802i,-0.00046439-0.0003836i
-0.0019712+0.003417i,-0.0021568+0.0036421i,-0.0011854+0.003221i,0.0014165+0.003663i,0.0033993+0.0023106i,0.0039745+0.00021781i,0.0020973-0.00016149i,0.00031205-0.00047577i,-0.00061341-8.8457e-05i,-0.0011559+0.00070219i,-0.00062815+0.0013481i,0.00025518+0.0013848i,9.48e-05+0.0017909i,0.00036666+0.0019511i,0.00094203+0.00015584i,0.00011712-0.00094291i,-0.00055318-0.0008745i,-0.00036386-0.00099038i,-0.00046171-3.8937e-05i,-0.00039341+0.00023105i,0.00044035-0.00011078i,0.0010927-0.00018583i,0.0010037-0.00056029i
7.1381e-05+0.00045731i,0.00020379-0.0011095i,-0.0010059-0.0022735i,-0.00034407-0.0014204i,0.0014708-0.00031902i,0.0022566-6.59e-06i,0.0015824+0.00057587i,0.00042062+0.00020314i,0.00062065-0.00053722i,0.00093688-0.00092797i,1.3196e-07-0.0008434i,-0.00041094-0.00018191i,-0.00061054+0.00061683i,-0.00038849+0.00083753i,7.4102e-05+0.0003188i,0.00061212-0.00014934i,0.00027698-0.00034145i,-0.00072628-0.00066404i,-0.00097131-0.0006047i,-0.00040948-8.6856e-06i,5.7932e-05-0.00041886i,0.00045956-0.0015183i,0.000298-0.0014905i
-0.0018793+0.0034577i,-0.000925+0.0020868i,-0.00059445+0.0011944i,0.00050465+0.0011185i,0.003019+0.0012306i,0.0038998+0.00039899i,0.0029606-0.00052883i,0.0010328-0.00096733i,-0.00030754-0.0010775i,-0.00027961-9.7868e-05i,0.00062168+0.00036737i,0.001252-8.4564e-05i,0.00044907-0.00038023i,-2.85e-05-0.00046808i,9.6045e-05-0.00044094i,0.00023214-0.0004079i,-1.1526e-05-0.00024315i,-0.00027512-0.00081214i,-0.0001542-0.0004925i,-0.00031209+0.0010231i,-0.00067182+0.00095543i,-0.00048393-0.00019602i,0.00016511-0.00035918i
0.00014075+0.00024337i,0.00017486-0.00026165i,-0.0002076+0.00012175i,0.00098737+0.00063982i,0.0028414+0.0014229i,0.0025887+0.00087845i,0.0017131-0.0008197i,0.00090208-0.0016157i,0.00025044-0.00069658i,9.7905e-05+4.6602e-05i,-0.00020089-0.00039911i,-0.00077928-0.00055573i,-0.00064557+0.00043166i,-6.4164e-05+0.0005331i,0.00013814-0.00036268i,0.00038492-0.0010373i,0.00091752-0.0012018i,0.0010405-0.00090485i,0.0005125-0.00040126i,0.00010036-0.0004117i,-0.00064593-0.00083799i,-0.0016442-0.00055054i,-0.0010965-0.00034925i
-0.0011242+0.0019881i,-0.0019944+0.001828i,-0.0011458+0.00068376i,0.00028875+0.00086144i,0.0024747+0.00085184i,0.0025709+0.00076979i,0.00059953+0.00032339i,-0.00012437-0.00032968i,0.00043579+2.2223e-05i,0.00074783+0.00044912i,0.00040653+0.00041856i,-0.00036173-0.00059118i,-0.00013627-0.00035524i,0.0005871+0.00096882i,0.00080733+0.0011283i,-6.5237e-05-5.1244e-06i,-0.00062063-0.0012368i,0.00054405-0.001261i,0.00060727-0.00030496i,-0.00024821+3.7428e-05i,0.00016427-0.00032114i,0.00037582-0.00016039i,-4.2303e-05-2.9714e-05i
0.0011603-5.033e-05i,0.0013051-0.00024712i,0.0023707+0.00047823i,0.0026324+0.00058283i,0.0023517+0.00071026i,0.0024135+0.00029929i,0.0023694-0.00029954i,0.001942-0.00037203i,0.0012214-0.00068512i,0.0011695-0.00082327i,0.0010254-0.00038783i,0.00028916+0.00050321i,-8.0925e-05+0.00083528i,2.2862e-05+0.0010458i,0.00036604+0.00068303i,0.00071914-0.00025642i,0.00070625-0.00045378i,-0.00012009-0.00065968i,-0.00026786-0.00085473i,-5.1192e-05-0.00057576i,-0.00021417-0.00017552i,0.00028755+2.016e-05i,0.00062807+0.00010898i
-0.0025067+0.0012925i,-0.0027452+0.00082936i,-0.00078774+9.6179e-05i,0.0012687+0.00018477i,0.0019374+0.00062274i,0.0023514+0.00067026i,0.0015496+1.0232e-05i,0.00046114-0.00076744i,0.00041934-0.0006505i,0.00028994-0.00084765i,-0.00025209-0.0012889i,-0.00064855-0.00053681i,3.8444e-05+0.00092687i,0.00020538+0.0015324i,-0.00053982+0.0011156i,-0.00019753+0.00039536i,0.00071005+0.00024438i,0.00061605-7.8505e-05i,0.00013199-0.00029914i,0.00025218+0.00023144i,0.0011949+0.00073885i,0.0013234+0.00027024i,1.0708e-05-0.00035954i
-0.00053601-0.0019795i,-0.00086895-0.0010195i,-0.0017341-0.00069515i,-0.0014367-0.00036423i,0.00010641+0.00051226i,0.0016985+0.00029109i,0.0019048+3.5638e-05i,0.00092701+0.00018711i,0.00054226+7.2149e-05i,0.00056393-0.00015952i,-0.00024-3.9626e-05i,-0.00036672+0.00077181i,6.0048e-05+0.001107i,0.00053613+0.00080637i,0.00066674+0.0005284i,0.00064671-0.00028535i,0.00053257-0.00093321i,-0.00020053-0.00055339i,-0.0005757+0.00013285i,-0.00034477+0.00065734i,0.00033632+0.00015817i,0.00037196-0.00012233i,0.00045145-0.00050124i
-0.002851+0.00060406i,-0.0030725+0.00097295i,-0.0039869+0.00058733i,-0.0021622+0.00026926i,7.1293e-05+0.00042577i,0.0017522-0.00024619i,0.0024103-0.0018772i,0.0014702-0.0017779i,0.00052533-0.00056969i,0.00022111-0.00031834i,0.00015108-0.00079054i,0.00048197-0.00058278i,0.00013839+0.0007005i,-0.00052079+0.00088723i,0.00048017+0.00018416i,0.0012955-0.00077557i,0.0010061-0.0012348i,0.00027142-0.00031811i,-0.0002479+0.00050329i,-0.00062331-9.045e-05i,-0.00048164-0.00068639i,0.000331-0.00039856i,0.00015781-0.00049625i
0.00038921-0.0010916i,0.00020719-0.001519i,-0.00023543-0.0018393i,0.00079258-0.0013789i,0.0019588-0.00038535i,0.0023596+2.8914e-05i,0.0023094+0.00058184i,0.001483+0.0011631i,0.00074971+0.00057636i,0.00039627-6.347e-05i,0.00014137-0.00018003i,0.00064984+0.00046704i,0.00050184+0.0011902i,0.00013449+0.00099647i,0.00070697+0.00063529i,0.00068002+0.00016657i,-8.1371e-05-0.00038267i,-0.000153-0.00029173i,-0.00024904-0.00017775i,-0.00044349-8.8024e-06i,-0.00059631+0.00028608i,-0.0005497+0.00029789i,0.00069999+0.00056106i
-0.00091675-0.00014415i,-0.00076511-0.0012701i,-0.0016144-0.0015455i,-0.0011313+1.2387e-05i,1.5205e-06+0.0006909i,0.0010885+0.00077791i,0.0012618+0.00061264i,0.00032947+0.00022663i,0.00025019+0.00032705i,0.00058016+0.00012139i,-1.5341e-05-0.00031224i,-0.00072401-0.00030221i,-0.00075988-5.2712e-05i,-0.00047066+6.8301e-05i,-0.00051707-1.3186e-05i,2.9103e-05-0.00067344i,0.0012708-0.0010846i,0.0012628-0.00059521i,0.00071394-0.00067695i,0.00021924-0.00050336i,3.9449e-05+3.7961e-05i,-6.4752e-05+0.00027827i,-8.5297e-06-0.00054648i
-0.002321-0.002281i,-0.0026642-0.0019247i,-0.0022678-0.0016089i,-0.00086406-0.00023958i,0.0014531+0.0007902i,0.0021772+0.00084286i,0.0014311-0.00014796i,0.00067453-0.00038687i,0.000266-8.4312e-05i,0.00040458-8.2379e-05i,-0.00017037+0.00014389i,-0.00072312-0.00026387i,-0.00098363-8.1848e-05i,-0.00023256+2.9206e-05i,0.00078487+0.00013797i,0.00061593+0.00020738i,0.00058899-2.5494e-05i,0.00064004-0.00030529i,-0.00020314-0.0003981i,-3.0869e-05-0.00032085i,0.0001611-0.00050801i,-0.00024221-0.00048635i,-4.1742e-05-0.00034608i
0.0010501-0.0018326i,0.0014173-0.0019352i,0.00074648-0.0019758i,0.00028466-0.0010409i,0.0011077+6.6982e-05i,0.001275+0.00043243i,0.00089068+0.00037529i,0.00072244+0.00071758i,0.0007184+0.00080423i,0.0012014-0.00010079i,0.00058905-0.0009235i,-0.00078832-0.0010053i,-0.00077929-0.00058419i,-0.00017992+0.00065534i,0.00036454+0.0013201i,0.00010423+0.00055841i,0.00016934-0.00089043i,0.00020624-0.00090912i,-0.00052178-0.00015539i,-0.00071425+0.00051728i,-0.0002972+0.00079816i,-0.00018928+0.00044651i,-0.00024735-0.000271i
-0.0045096-7.4846e-05i,-0.0047126+0.00069631i,-0.0040345+0.0016358i,-0.0025542+0.002397i,1.4896e-05+0.0026344i,0.0022184+0.0018681i,0.0015201+0.00063181i,0.00045546-0.00034043i,0.00016154+0.00011435i,-0.00027749+0.00074687i,-0.00017251+0.0004274i,-0.00024019-0.00030044i,0.00031531-0.00063215i,0.00031983-0.00017608i,0.00031364+0.00050783i,0.00059783+0.0011409i,0.00034249+0.00088518i,0.00056739-0.00024205i,0.00030832-0.00019643i,-0.00019475+0.00065968i,9.6676e-05+0.00070406i,0.00028783+0.00018772i,0.00017239-9.108e-06i
0.0020984+0.0020895i,0.0025718+0.00038389i,0.003408-0.00059292i,0.0032718-0.00023681i,0.0032923-0.00018336i,0.0032313+0.00017408i,0.0023877-3.1216e-07i,0.0014853-0.00050787i,0.0012541+0.00031395i,0.00076197+0.00069582i,0.00024984+0.00046724i,-5.4806e-05-5.2173e-05i,-0.00036165-0.00063002i,-0.00049989-1.2694e-05i,7.4695e-05+0.00039744i,0.0011575-0.00054954i,0.001163-0.00097828i,4.3019e-05-0.00070653i,-0.00078694-0.00025664i,0.0002334+0.00056603i,0.0012251+0.00048949i,-5.0616e-05+0.0001045i,-0.001398-0.00019733i
-2.1405e-05+0.00095866i,-0.00074318+0.00064357i,-0.0015351-0.00097036i,-0.00089235-0.00074132i,0.0011227+0.00041303i,0.0018984+0.00059599i,0.00035094-0.00045431i,-0.00033079-0.0013888i,0.00058157-0.00093961i,0.0012002-0.0003345i,0.00059781-0.0002829i,-0.00067511-0.00065743i,-0.00078765-0.00045319i,-0.000585-3.903e-05i,-0.00028158+0.00019295i,-0.00025158+0.00052313i,-0.00042447-0.00043251i,-0.00075157-0.0009786i,-0.0011022-0.0011997i,-0.00042154-0.0012146i,-2.8567e-05-0.0002515i,-0.00011493+0.00020853i,-0.00040084+6.6236e-05i
0.00025249-0.0011796i,-0.00020619-0.0018842i,0.00023927-0.0028128i,0.0012081-0.0019673i,0.0026901-0.00018375i,0.0030666+0.00072217i,0.0019128+0.00042142i,0.00013236+0.00039766i,-0.00013955+0.00059547i,0.00086494+0.00032197i,0.0002249-0.00013567i,-0.0010807+7.0275e-05i,-0.0010258+0.00099412i,-0.00082495+0.0010872i,5.9958e-06-5.8774e-05i,0.00074923-0.0004319i,0.00016349-0.00044751i,-0.00089879-0.00063767i,-0.0010093-0.00023313i,-0.00037547+0.00011246i,0.00024666-0.00034917i,0.00043186-0.00031888i,8.0922e-05-0.00070297i
0.0008448+0.0014129i,0.0010578+0.00011608i,0.0018482-0.00138i,0.0013451-0.00070725i,0.0010481-0.00011831i,0.00077912+9.0148e-05i,0.00070067+0.00022265i,0.0012567-0.00024674i,0.0015677+1.4698e-05i,0.0010812-0.00010263i,0.00045303-0.00077798i,-9.6511e-06-0.00071342i,-0.00011753-0.00080544i,0.00043294-0.00053893i,0.00035928-0.00039139i,7.443e-05-0.00028402i,0.0002972-0.00027503i,0.00035474-0.00082021i,0.00042489-0.0012273i,0.00023765-0.00082956i,0.00021793-0.00062445i,0.00063095-0.0010028i,0.00060235-0.0011061i
0.00086694+0.00056399i,0.00057023+0.00010451i,0.0015559-0.00082421i,0.0025682-0.0013557i,0.0025428-0.0003772i,0.0029067+0.0001042i,0.0026288+0.00010744i,0.001569-0.0002335i,0.001148+4.9758e-05i,0.0011144+0.00027969i,0.00090951-0.00019538i,0.00059135-0.00030971i,0.00024424-0.00051593i,0.00072394-0.00029394i,0.00095381-0.0001425i,0.0009172-0.00041028i,0.00031005-0.000686i,-0.00034012-0.00049164i,-0.00034302-0.00042449i,-0.00028325-0.00051835i,0.00033888-0.00043487i,0.00052596-0.00043673i,-0.00016381-0.00061859i
-0.0028155-0.0029618i,-0.0031655-0.0024407i,-0.0045639-0.0020389i,-0.0036399-0.00083716i,-0.00098658+0.00047389i,0.00076642+0.00059371i,0.0015538+0.00057737i,0.0015356-0.00010299i,0.00078821-0.00079143i,0.00023419+3.3032e-05i,0.00014707+0.0006244i,-0.00015292+0.00012596i,-0.00071299+0.00031877i,-0.00046639+0.00086915i,0.00012402+0.00058375i,0.00028216+0.00042796i,0.00045551-0.00020487i,0.0009372-0.001599i,0.00073489-0.0018554i,0.0001125-0.0013297i,-8.6333e-05-0.00099121i,0.00028208-0.00061953i,0.00073432-0.00054071i
0.0011091-0.0018344i,0.00031724-0.0016183i,-0.00026957-0.0020376i,-1.3327e-05-0.0018274i,0.0010634-0.00056055i,0.0012747+0.00049841i,0.0014038+0.00092197i,0.0012288+0.00088823i,0.00061757+0.00029504i,-0.00029757-0.00025871i,-0.00066503-3.9826e-05i,-0.00058788+1.9025e-06i,-9.0517e-05-0.00018042i,0.00012688+9.0124e-05i,0.00014636+0.00034075i,0.000531+0.00034175i,0.00075978-0.00021881i,-1.0768e-05-0.00034516i,-0.00037954-0.00043042i,-0.00054627-7.6848e-05i,-0.00071049+0.00041779i,-0.00010699+0.00013947i,0.00032441-0.0001419i
-0.0013336+0.0016325i,-0.00094934+0.0014699i,-0.00019654+0.00096815i,0.00030506+0.00096755i,0.0014255+0.00091147i,0.002221-3.9673e-05i,0.0016531-0.0004121i,0.00017621-0.00059152i,0.00033339-0.0010445i,0.0011774-0.00043662i,0.000534+0.00064939i,4.7811e-05+0.00066421i,3.8913e-06+6.2657e-05i,0.00032156+0.00020371i,0.0005464-0.00035025i,3.7312e-05-0.0010868i,-0.00027325-0.0011034i,6.1619e-05-0.00041831i,7.5708e-05+0.00032742i,-0.00012174+0.00018302i,0.00025968-0.00023799i,0.0011115-0.00063804i,0.0010009-0.00020279i
-0.0032026+0.0019859i,-0.002416+0.0023833i,-0.0012561+0.0030223i,0.00092441+0.0035225i,0.0023495+0.0034812i,0.0029838+0.0017958i,0.0024848+0.0002553i,0.0013771+1.4978e-05i,0.00085593+0.0011242i,0.00083773+0.0014221i,0.00087502+0.00066394i,0.00098298+0.00061797i,0.00077888+0.00089161i,0.00069719+0.0007514i,0.00088683+0.0005232i,0.00083723+9.4232e-06i,0.00095225-0.00069408i,0.00070847-0.00094021i,-0.00049694-0.00075812i,-0.00068192-0.00017013i,0.00037637+0.00011145i,0.00071133+4.3273e-05i,0.00069862+5.315e-05i
0.00023484+0.0015364i,0.00022535+0.0020952i,0.0019088+0.00097087i,0.0030581-0.00011917i,0.0034389-0.0008977i,0.0020186-0.00093651i,0.00042593-0.00065551i,0.00031247-0.00058469i,0.0010049-0.00067308i,0.0010083-0.00075606i,0.0006291-0.00044664i,0.00017146-1.8833e-05i,-0.0001711+0.00054935i,0.0004936+0.00085751i,0.0011158+0.00054931i,0.00065165+0.00039682i,0.00078902-1.4415e-05i,0.00067168-0.00038364i,6.3025e-05+7.8367e-06i,-0.00019495+0.00040597i,-1.2396e-05-0.0003549i,-0.00035191-0.00059917i,-0.00098396-7.2824e-05i
-0.00011825-0.00054848i,-0.00054617-0.00052951i,0.00011615-9.1475e-05i,0.0016522-0.00069248i,0.001931-0.0010394i,0.0014521-0.000519i,0.0013123+0.00011651i,0.00099819+0.00078347i,-0.00030733+0.00071873i,-9.1968e-05+0.00034135i,0.0008735-4.376e-05i,0.0009325-0.0010228i,0.00034157-0.00076504i,0.00012843+0.00030107i,0.0013942+0.00037568i,0.0015413-6.7825e-05i,0.00074047-0.00031941i,-9.9563e-06-0.00069152i,-0.00045367-0.00079949i,-7.694e-05-0.00043996i,0.00042238-0.00050974i,0.00023902-0.0009824i,0.00045644-0.0012924i
0.00093242+0.0009817i,0.0011463+2.4239e-05i,0.0023729-0.00094049i,0.0029931-0.00063926i,0.0028251-0.00062982i,0.0018431-0.00054104i,0.00094876-1.4165e-05i,0.00052467+0.00020725i,0.00038376+9.093e-05i,0.00089068+0.00048217i,0.0011808+0.00020501i,0.0003428-0.00022068i,-0.0005481+0.0003749i,-8.9288e-05+0.00062873i,0.00044907+0.00020774i,0.00074926-0.00034188i,0.0011396-0.00056971i,0.0013274-0.00054188i,0.00088771-0.00041658i,0.0003005+0.00016459i,5.211e-05+0.00060985i,5.3843e-05+7.0825e-05i,-1.7714e-05-0.00037079i
-0.0014447-0.00020455i,-0.0010314-0.00024421i,-0.00046154-0.0002166i,-0.0002289+0.00087013i,0.00016123+0.0015757i,0.00066603+0.00070077i,0.00070032+0.0001861i,0.00056619+0.0004146i,0.00032867+0.00046525i,0.0003454+0.0007128i,0.00028276+0.0011628i,-0.00070758+0.00033426i,-0.00030193-0.00031514i,0.00072847-0.00023206i,0.00041771+0.00015267i,-1.2358e-05+0.0005144i,0.00023424-0.00015619i,0.00017989-0.00056258i,-0.00047116-0.00030377i,-0.00010844-0.00076466i,0.00048784-0.0012169i,0.00074913-0.00089788i,0.00022332-0.00050558i
-0.0026938+0.00042213i,-0.0034286+0.0006494i,-0.0040859+0.0015025i,-0.0018456+0.0021809i,0.0018522+0.0026864i,0.0031944+0.0022332i,0.0020585+0.00086929i,0.0011912-0.00015506i,0.00041353-0.00035484i,-0.00048498+0.00049134i,-0.00054726+0.00076787i,-0.00029902+0.0001436i,-0.00023765-6.6057e-05i,0.00022124-0.00022105i,0.00058575-0.00011624i,0.00080978-0.0003477i,0.0012138-0.001152i,0.00050824-0.00070805i,0.00012304+0.0007443i,-4.585e-05+0.00091747i,0.00027712-0.00026998i,0.00091126-0.00062341i,0.00088548-0.00068902i
-0.00029081+0.00012281i,-0.00057405+0.0002103i,-0.0013062-0.0006477i,0.00042687-0.00014675i,0.0020829+0.0017485i,0.0021679+0.0015632i,0.001037+0.00027005i,0.00054159-0.00027037i,0.0006826-0.000333i,0.00041018-5.4475e-05i,0.00017711+9.7993e-05i,0.00012921+7.1614e-05i,0.00041313+0.00061494i,0.00039615+0.00064945i,6.277e-05+0.00032727i,-0.00015578+0.00049798i,-0.00029752-2.757e-05i,5.9868e-05-0.00059905i,-8.245e-05-0.00073268i,-0.000177-0.00069824i,0.00029065-0.00024413i,0.00064624-2.7198e-05i,0.00088769+0.00015985i
-0.0015827-2.9844e-05i,-0.0023563+0.00013172i,-0.0015045+0.00015508i,0.0011211+0.00079124i,0.0022569+0.00092571i,0.0024778+0.0016672i,0.0020893+0.0012956i,0.0010042-3.1124e-05i,0.00065761+6.8204e-06i,0.0002583-0.00039751i,0.00024924-0.0013908i,0.00048732-0.0012789i,0.0011051-0.00099951i,0.0014788-0.00056464i,0.0010603+2.3281e-05i,0.00069512-0.00037008i,0.00066489-0.00092039i,0.0004312-0.0017765i,-6.8727e-05-0.0019629i,0.00027217-0.0012976i,0.00064435-0.0001371i,-0.00046002+0.00049227i,-0.00097821-0.00017997i
0.0020089+0.00080992i,0.0030805-0.00032364i,0.0038919-0.001987i,0.0031908-0.0022574i,0.0018866-0.0012207i,0.0020032-0.00042358i,0.0018538+9.4116e-05i,0.0008148-0.00032387i,0.00013928-0.00025626i,0.00022798+0.00021403i,0.00043001+0.00035508i,0.00070883+3.5732e-05i,0.00031913-0.00067945i,-0.00015202-0.00078619i,0.00068843-2.283e-05i,0.0013239+0.00047325i,0.00043376+0.00012685i,-0.00092295-0.00041852i,-0.00084433-0.00077476i,-2.9104e-05-0.00062233i,0.00028314-0.00029618i,0.0008241+0.00031742i,0.0010386+0.0007844i
-0.0011168+0.00042679i,-0.00086022-0.00032379i,0.00062156-0.00075887i,0.0014016-8.039e-05i,0.0022843-0.00020682i,0.0026912+4.2833e-05i,0.0015658-0.00011092i,0.00040097-0.00086535i,0.00030368-0.00046098i,0.00059549-0.00019057i,0.00017844-0.00073243i,-9.9081e-05-0.00038714i,6.4802e-05+8.232e-05i,0.00065636-0.00040445i,0.0011147+0.00021522i,0.0010328+0.00011184i,0.00079164-0.00091059i,0.00039535-0.00097264i,0.0003204-0.00042384i,0.00052771-0.00024419i,0.00046512+0.00018238i,-0.00011096-0.00014279i,-2.8274e-05-0.00063736i
5.0948e-05+0.0012479i,0.00094692+0.00073583i,0.0010755+0.0016656i,0.0020667+0.0021081i,0.0030883+0.0009457i,0.0022922-1.3034e-05i,0.0014357-0.0002394i,0.00043191+0.0003053i,-3.2627e-05+0.00026103i,0.00085136+0.00012284i,0.0013795+0.00045136i,0.0008873+8.7172e-05i,-7.6944e-05+0.00028342i,-0.00053378+0.00039674i,0.00014493-0.00061161i,0.0011603-0.00076113i,0.0011586-0.00075756i,-2.9689e-05-0.0010674i,-0.00037958-0.00011011i,-0.00044551+0.00063025i,-0.00011564+0.00023044i,-0.00022225-8.0875e-05i,-0.00022486-0.00063276i
-0.00097731+0.00084158i,-0.0016492-0.00012266i,4.6428e-05-0.0013095i,0.0011296-1.2767e-05i,0.0013248+0.00086975i,0.0015807+0.00048613i,0.0018187+0.00061859i,0.0017035+0.0010173i,0.0010208+0.00042311i,0.0012473-0.00021289i,0.0015727+0.00015372i,0.0011027+0.00021758i,0.00069899-9.872e-05i,0.00049046+0.00020046i,0.00062743+0.00039121i,0.0010049+0.00026595i,0.00064241-3.7945e-05i,-0.00048618-0.00045335i,-0.0010614-0.0007322i,-0.00068468-0.00077743i,-8.5082e-05-0.00038554i,0.00031347-0.00053637i,0.00055117-0.00068506i
-0.0025406+0.0028222i,-0.0014292+0.0020092i,-0.00061656+0.0013581i,0.0010398+0.0019564i,0.0025202+0.0023882i,0.0029439+0.0019355i,0.0027667+0.0011227i,0.001847-1.2055e-05i,0.00092765-0.00035509i,0.00080521-0.00010664i,0.00046723-0.00054451i,0.00059059-0.0006028i,0.00038355+0.00091799i,0.00053296+0.0016303i,0.0005124+0.00013974i,0.00023262-0.00073032i,0.00048561-0.00054314i,0.00028009-0.00074053i,-0.00020223-0.00075561i,-0.00011457-0.00061106i,-1.0719e-05-0.00024665i,0.00013864-0.00064238i,0.00012365-0.0013232i
-0.0025558+0.00039469i,-0.0011072-2.312e-06i,-0.001372-9.1002e-05i,-0.00047561+0.0010616i,0.0012806+0.0026064i,0.0023986+0.0015635i,0.0018182+3.1262e-05i,8.6055e-05-0.00045954i,-0.00022991-0.00059951i,0.00012079+0.00033789i,-0.00013679+0.00060854i,-6.72e-05+0.0002942i,6.4817e-05+0.00078095i,-0.00014483+0.0012455i,0.00033578+0.00076909i,0.00054806+0.00062102i,0.00038558+0.00033053i,9.9594e-05-0.00043829i,-8.5143e-05-0.00026336i,0.0004231-0.00024312i,0.00014434-0.00021161i,0.00022439-0.0003903i,9.5563e-06-0.00026967i
-0.0017489-0.00069473i,-0.0011693-0.00073616i,-0.00018053-0.00024807i,0.00038193+0.000402i,0.00079843+0.0016183i,0.0010885+0.001651i,0.00089767+0.00071205i,0.00026519-0.00010209i,-8.9193e-05-0.00042108i,0.00056435+5.1585e-06i,0.00032384+0.00026395i,-0.00067515+0.00062288i,-0.00081091+0.00081955i,0.00012447+0.0010756i,0.00099252+0.0013145i,0.0013305+0.00080417i,0.00093909+0.00031856i,0.00035002-0.00025039i,-0.00037274-0.00071561i,-0.00044489-8.9388e-05i,6.5481e-05+0.00016953i,-0.00019167+7.273e-05i,-0.00066393-9.3169e-05i
0.0018579-9.9943e-05i,0.0011409-0.0014889i,0.0016721-0.0025105i,0.001435-0.0019491i,0.0011058-0.00084551i,0.0014269+7.8336e-06i,0.00087779-0.00033232i,0.00045245-0.00090418i,0.00044815-0.00047107i,-5.4278e-05-0.00016736i,-0.00013725-0.00054492i,-0.0007461-0.001168i,-0.00084324-0.0014973i,-0.00053312-0.0013995i,-0.00020179-0.00092144i,0.00069517-0.0013243i,0.00031799-0.0016839i,-0.00013219-0.0010827i,9.98e-05-0.00054905i,-0.00024221-5.7552e-05i,-0.00038279+3.3905e-05i,4.2918e-05-0.0004724i,2.7336e-05-0.00078494i
0.00014344-0.00046837i,1.5854e-05+4.0125e-05i,8.9025e-05-0.0009084i,0.00080424-0.00086788i,0.0017481-0.0004705i,0.0012266-0.00061675i,0.00095456+0.00023204i,0.00068337+0.00057062i,0.00023702-0.00013045i,0.00060934+0.00049586i,0.00049336+0.0010423i,-0.00065425-0.00024716i,-0.0011535-0.00098443i,-0.0005402-3.2179e-05i,8.5808e-06+0.00056018i,-5.62e-05+0.00062375i,-0.00036841+0.00018867i,-0.00071047-0.0005252i,-0.00048985-0.0006486i,-0.0002441-0.00098749i,-0.00044123-0.00077793i,-8.7738e-05-0.00025152i,-5.6418e-05-0.00050784i
-0.0021912+0.00053358i,-0.0018457+0.0017485i,-0.00064879+0.0014123i,0.00073179+0.0015246i,0.0018586+0.0021404i,0.0022366+0.0016764i,0.0015423+0.0010824i,0.0011534-8.5681e-06i,0.00062061-0.00031033i,0.00081807-0.00023526i,0.00080462-0.00043998i,-0.00010807-2.7033e-05i,-8.2801e-05+0.00050428i,-0.00011087+0.00096968i,-0.00038134+0.0010245i,-0.00052616+0.00034143i,0.00063695-0.00060986i,0.0015632-0.001073i,0.00095577-0.0002948i,0.00020447+0.00045531i,0.00016512+7.2959e-05i,0.00047168-0.00056614i,0.00044328-0.00091678i
-0.0014226+0.00075183i,-0.0018146+0.0011422i,-0.0012341+0.0023325i,-0.00010999+0.0025718i,0.00078275+0.0026461i,0.0021616+0.001307i,0.0023157+0.00029125i,0.0012038+0.00051292i,0.00041322-9.3818e-05i,0.00034773-0.0005141i,0.00010483-0.0001118i,-0.00012494-0.00010161i,0.00034347-0.00060764i,0.0010462-0.00049851i,0.00071712-3.8447e-05i,0.00027323+0.0002927i,0.00053705+0.00083631i,0.00020534+0.0010645i,-0.0004018+0.0010478i,-7.0645e-06+0.00086734i,6.5138e-05+0.00046974i,-0.00059914+0.00014075i,-1.3876e-05-7.5172e-05i
7.2977e-05-0.00076939i,0.00067324-0.0013732i,0.00030433-0.00040718i,-6.3583e-05+0.00039445i,0.00034707+0.0014189i,0.00081848+0.0020435i,0.0010669+0.00072949i,0.00098913+6.7987e-05i,0.00044101+5.6464e-05i,0.00011606+9.2153e-05i,0.00022974+0.00041589i,0.00038099+0.0004918i,0.00025105+0.00011337i,0.00057302+0.00014473i,0.0012247+0.00040602i,0.00072737-0.00010157i,0.00035061-0.00024405i,0.00015097-0.00015151i,-0.00029344-0.00023231i,7.0563e-05+2.3853e-05i,-9.2994e-05-0.00033421i,-0.00033761-0.00023436i,0.00038775-0.00012262i
-0.0017801-0.00086425i,-0.0027673-0.0015525i,-0.0027767-0.0019666i,-0.0016251-0.00041787i,0.00026085+0.00076919i,0.0019588+0.0013749i,0.0019446+0.0010142i,0.0011892-0.00050549i,0.00076383-0.00056563i,0.00068074+0.0005373i,0.00096992+0.00010753i,0.00076182-0.00012322i,0.00077342+0.00055824i,0.00085794+0.0011465i,0.00080641+0.0013138i,0.00092647+0.00027464i,0.001391-0.0010673i,0.001234-0.0014418i,3.6566e-05-0.00088599i,-0.00090149-0.00019475i,-0.0005982-0.00027874i,0.00025919-1.8696e-05i,8.2147e-05+0.00041066i
