-0.002191+0.00035167i,-0.001628+0.0002616i,-0.0023562+0.00051405i,-0.0023469-5.8021e-05i,-0.0019343+0.00055744i,-0.0014017+0.0017102i,-0.0017936+0.0019829i,-0.0013642+0.0022492i,-3.9347e-05+0.0019496i,-8.5892e-06+0.0010101i,1.0106e-06-5.2445e-05i,0.00042409-0.00067345i,-0.00022455-0.0010474i,-0.0013977-0.0011892i,-0.001727-0.0011209i,-0.0012171-0.00070427i,-0.00032052+0.00066216i,0.00040445+0.00092819i,0.00033684+0.00015265i,6.0078e-05+0.00023207i,0.00022046+0.00033474i,5.456e-05-5.3456e-05i,-0.00092585-0.00041827i
-0.0016527-0.00061533i,-0.0019326-0.00035269i,-0.0020565-6.4051e-05i,-0.0016064+0.00041619i,-0.00099215+0.00050383i,-0.00048128+3.0983e-05i,-7.2948e-05+0.00046401i,-0.00080303+0.001545i,-0.0023863+0.0025871i,-0.0030606+0.0028269i,-0.0019721+0.0016597i,-0.00054582+0.00058938i,-0.00019739+0.0007842i,-0.00057718+0.0014892i,-0.00069367+0.001704i,0.00012863+0.0013019i,0.00051592+0.00079801i,0.00046849+0.00030243i,0.00021159+9.3074e-07i,-4.1105e-05-0.00039044i,0.00043981-0.00055643i,0.00012633-2.234e-05i,8.8263e-05-4.6423e-05i
0.0010235+0.00040312i,0.00041554-0.00047391i,-0.00018472-0.0013738i,-5.6611e-05-0.00090731i,-0.00025022-5.5742e-05i,-0.00040289+8.2524e-05i,-0.00077595-0.00014129i,-0.0010223+0.00011051i,-0.00041729+0.0017488i,0.0002557+0.0029047i,0.00046735+0.0021627i,-0.00031351+0.0016536i,-0.00051156+0.0015666i,-5.5629e-05+0.00098037i,-0.00027485+0.00086863i,-0.00029714+0.00054195i,0.00036097+9.8265e-05i,0.00079542+0.00025131i,0.00043276+0.00077022i,-0.00025358+0.00059332i,-0.00019264-0.00053692i,0.0002865-0.0014932i,0.00020661-0.001819i
0.00065961-0.00063667i,-0.00022797-0.00094756i,-0.00068993-0.00083055i,-0.00095517-0.00077476i,-0.00031203-0.00092234i,-0.00015941-0.00050503i,-0.00020379-0.00076364i,0.00064507-0.00082726i,0.0019039-0.00066689i,0.0026279-0.0012613i,0.0023154-0.00048853i,0.0019128+0.00010982i,0.0016464-0.00029051i,0.001035-0.00023483i,0.0009364-0.00058119i,0.00026215+3.3538e-05i,-0.00031661-0.0001973i,0.00029332-0.00073138i,0.00012762+0.00032858i,2.4022e-05+0.00047624i,-0.00011685+0.00068383i,-0.00040031+0.00067243i,-0.00050494-0.00055047i
0.0003544-0.0013635i,-0.00033771-0.0018294i,-0.0020386-0.0013789i,-0.0025698-0.0002146i,-0.0020448+6.8822e-05i,-0.0016031-0.00051938i,-0.0015909-0.00044466i,-0.0011868+0.00015608i,-0.0011358-0.00085004i,-0.0012505-0.0026996i,-0.00084938-0.0027216i,-0.00032043-0.0024214i,-0.00010557-0.0025997i,-0.00025822-0.0016346i,-0.00025845-0.0003762i,-0.00067851-0.00037262i,-0.00091272-0.00025606i,-0.00057509+3.3778e-05i,-5.2459e-05+0.00067904i,0.00070426+0.0012191i,0.00042781+0.000609i,-0.00067472+0.00011133i,-0.0010165+0.00044738i
0.0015881-0.00070043i,0.00058317-0.00044779i,0.00032791-0.0012009i,0.0012798-0.0018705i,0.001323-0.001967i,-3.2692e-05-0.0014091i,-0.0010892-8.1533e-05i,-0.0019527+0.0003299i,-0.0022176-0.00068219i,-0.0021524-0.0013631i,-0.0023852-0.0016934i,-0.0024156-0.0018303i,-0.0021122-0.0011531i,-0.00175-0.00074562i,-0.00092296-0.00052783i,-0.00025957+0.00032819i,-0.00036397+0.00051755i,-0.00054908-0.00020591i,-0.00015455-0.00025646i,0.00080188-0.00018342i,0.002026-7.2776e-05i,0.0021492+0.00075976i,0.0014112+0.0010826i
-0.00070342-0.0013842i,-0.0010318-0.0010899i,-0.0008695-0.00098477i,-0.00064008-0.00058381i,-0.0002888+0.0001845i,4.6225e-05-6.1961e-06i,0.00069004-0.00040763i,8.9e-05+0.00075758i,-0.0013994+0.0028718i,-0.0029561+0.0031526i,-0.0039229+0.0017136i,-0.0030993+0.00069367i,-0.001795+0.00055131i,-0.00065325+0.00048461i,-0.00026348+0.0011537i,-0.00082379+0.0021731i,-0.00050954+0.0016606i,0.00036431+0.00026059i,0.00040154-0.00043315i,-0.00044528+6.6354e-05i,-0.00093824+9.8409e-06i,-0.00039367-0.00056987i,0.00069583-0.001188i
-0.0014372+0.00012558i,-0.00084866+0.0010942i,-4.4271e-05+0.0020416i,0.00043351+0.0015418i,0.00047232+0.0012724i,-8.7526e-07+0.0014926i,-0.00015818+0.0012967i,-9.1e-05+0.0019086i,0.00083605+0.0035046i,0.0021654+0.0037165i,0.0017661+0.003145i,-1.8684e-05+0.0026684i,-0.0012711+0.001704i,-0.00093393+0.00078968i,0.00016945+0.00031782i,0.00068035-1.4568e-06i,0.00030215-0.00053945i,-0.00030333-0.00068108i,-0.00093949-1.3226e-05i,-0.00074146+0.00022582i,-3.5521e-05-0.00077061i,-0.00054813-0.0017278i,-0.00076587-0.0017189i
0.0012938+0.00017833i,0.00050317-0.00069466i,0.0006807-0.00090297i,0.00055464-0.00018401i,0.00046372-0.0002914i,0.00047176-0.00093644i,0.0002344-0.00067662i,0.001219+0.00022652i,0.0038366+0.000796i,0.0051635+0.0010242i,0.0043191+0.00060699i,0.0029383+0.00021315i,0.0016971+0.0011225i,0.00075589+0.0018103i,0.00074298+0.0019614i,0.00060989+0.0019005i,-2.8965e-05+0.0011411i,-7.8017e-05+0.00015991i,5.3359e-05-5.2695e-05i,-7.9433e-05-0.00011832i,3.4508e-06-0.00021952i,2.2359e-05-0.00045679i,-0.00068061-0.0004102i
0.001107-0.00036923i,0.00045241-0.00079116i,0.00041443-0.0010184i,0.00083133-0.0010782i,0.00021058-0.00036289i,-0.00025758-0.00038277i,-0.00094861-0.00062644i,-0.0014437-0.0009404i,-0.00099435-0.001809i,0.00084505-0.0028773i,0.0022665-0.0036876i,0.0018294-0.0037649i,0.00098041-0.0020444i,0.00048961-0.00087788i,0.00075157-0.0014892i,-0.00029255-0.0011319i,-0.00051818+0.00022764i,0.0002876+0.00045829i,0.00012102+0.00026701i,0.00025319+0.00065578i,0.00039758+0.0008608i,-0.00035382+0.00079469i,-0.0010304+0.00059419i
0.0023054-0.00092527i,0.00079902-0.00062953i,-8.0649e-05-0.00029608i,-7.0234e-05-0.00031601i,-0.00068174-0.00089435i,-0.0014775-0.00052073i,-0.0014534+0.00020982i,-0.0017487+0.00015362i,-0.0024249-0.00034753i,-0.0024498-0.0017436i,-0.002717-0.00273i,-0.0024074-0.0023396i,-0.0015694-0.0016917i,-0.0013101-0.0012732i,-0.0004739-0.00093494i,0.0005944-6.5164e-05i,0.0010464+0.00066057i,0.00096054+0.00025147i,0.00094501-0.00025728i,0.00088555-0.00034849i,0.00016103-0.00043987i,-4.4494e-05-0.00076551i,-0.00020723-0.00019379i
0.0010912-0.0006683i,0.00038281-0.0015624i,-0.00035648-0.0021642i,-0.0013437-0.00089592i,-0.0016386-0.00075875i,-0.0015655-0.00087915i,-0.0011435-0.00084485i,-0.00091048-0.0001265i,-0.0012145+0.0013603i,-0.0021126+0.0017922i,-0.0025377+0.0018072i,-0.0023661+0.0012025i,-0.0023749+0.00045702i,-0.0018653-0.00030951i,-0.00089486-0.00038662i,0.00017907-7.0011e-05i,0.00037006-4.745e-08i,5.4755e-05+0.00033368i,-0.00018461+0.00041006i,-3.8869e-05-9.7749e-05i,0.00071953-0.00046269i,0.001116-0.00070846i,0.0019066-0.00077609i
-0.0015554-0.0026386i,-0.0023286-0.0020274i,-0.0031291-0.00067861i,-0.0032969+0.0019496i,-0.0024766+0.0026117i,-0.00098908+0.00069446i,-0.00029537-0.00031955i,-0.00015452+0.00069385i,8.5009e-06+0.0026188i,-0.00049875+0.0046953i,-0.00079167+0.005729i,-0.00040446+0.0046797i,-0.00039718+0.0027875i,-0.00057929+0.0022913i,-0.00070959+0.0014745i,0.00023373+0.00023172i,0.0014317-0.00034386i,0.0015741-0.00059972i,0.00055866+0.00031006i,-0.00040372+0.00070236i,-0.00059538+1.0825e-05i,-0.00043248-0.00029197i,-0.0010713-0.0012984i
-0.0010638+2.4398e-05i,-0.0015818-7.7391e-05i,-0.0013324+0.0003934i,-0.00063375+0.0012817i,-0.00032687+0.0013398i,-0.00016277+0.00062682i,-0.00052998-2.5256e-05i,-0.00021413+0.00053912i,0.0010876+0.0011205i,0.0026699+0.0012601i,0.0029942+0.0018013i,0.0032159+0.0015058i,0.0028777+0.001071i,0.0015283+0.0014426i,0.00042197+0.0012483i,-0.00041589+0.0010013i,-0.00080508+0.00043849i,-9.3559e-05-0.0006074i,0.00060216-0.00018591i,0.00016778+0.00066787i,-0.00040573-3.17e-05i,-0.0011633-0.00099239i,-0.0016625-0.00096182i
0.00076427-0.0024976i,-9.0969e-05-0.0015854i,-0.00083098-0.00050538i,-0.00061841+1.0791e-05i,-0.00049958-0.00024234i,-0.00062284-5.8133e-05i,-0.00041845-0.00023541i,0.00014408-0.0010377i,0.00034074-0.0024678i,0.00072285-0.0031963i,0.0012252-0.0033481i,0.0014643-0.0027936i,0.0018507-0.0013938i,0.0023096-0.00093912i,0.0016837-0.00075895i,0.001481-0.0002464i,0.0014838-2.2373e-05i,0.00076119+0.00043571i,0.00074075+0.00030187i,0.0021384+0.00035555i,0.0022381+0.00085819i,0.0005125+0.001127i,-0.00046483+0.0018333i
-0.0008875-0.00032616i,-0.0014417-0.0015172i,-0.0024801-0.0015561i,-0.0024778-0.00040019i,-0.0013853+0.00012863i,-0.0007839-0.00039499i,-0.0011492-0.00023242i,-0.0017468-1.721e-05i,-0.0021518-0.0002037i,-0.0017461-0.00087853i,-0.0012435-0.0021551i,-0.0012322-0.0026763i,-0.0011945-0.0019917i,-0.00062146-0.0015933i,1.7292e-05-0.00094787i,0.00071104-6.0896e-05i,0.0015067+0.00088503i,0.0015096+0.00036728i,0.0010192-0.00056745i,0.00061567-0.00044624i,0.00015696+9.2567e-05i,0.00085787-4.6532e-05i,0.0011102-0.00027745i
0.00092977-0.0012578i,0.00017777-0.0011475i,9.0647e-05-0.00040018i,0.00059196-0.00016944i,0.0012283+2.3857e-06i,0.0010602-0.00026271i,-0.00020653-0.00025971i,-0.0012129+0.00072319i,-0.0015577+0.0014086i,-0.0017892+0.0013096i,-0.0032773+0.0010924i,-0.0041197+0.00077485i,-0.0023753+0.00066141i,-0.00080454-3.1454e-05i,-0.00052914-0.00054129i,-0.00070732-0.00025609i,-0.00054811+0.00029795i,-0.00047687+0.00030439i,-7.0765e-05+0.00034355i,5.697e-05+0.00012337i,-0.00049219-0.00078235i,-0.00015511-0.0010934i,0.0008917-0.001422i
0.00026649-0.0025213i,-0.00018486-0.0015871i,-0.0015779-0.00044983i,-0.0023645+7.041e-05i,-0.0016678+0.00026929i,-0.00044399-0.00012497i,-0.00067415-0.00023683i,-0.0009528+0.0011052i,7.1953e-05+0.002544i,0.00020403+0.0028523i,0.00023505+0.0021462i,0.0003675+0.0020361i,-0.00023578+0.0017888i,-0.00049133+0.00066893i,-0.00073314-3.5917e-05i,-0.0011032-0.00046842i,-0.00091603-0.00027051i,-0.00038067+0.0007059i,-0.0006404+0.00096021i,-0.00069717+0.00023297i,-0.00042187-0.00041098i,-0.00016218-0.0008323i,-0.00051228-0.00073644i
-0.00014017-0.00064516i,-0.00062697-0.00084852i,-0.00067448-0.0017182i,-0.00061479-0.0011653i,-0.00098406-0.00021411i,-0.0010464+0.00019187i,-0.00096906+0.0003483i,-0.00049606+0.00010308i,0.00053781+0.00019023i,0.0020228+0.00040937i,0.0026659+0.00022845i,0.0020395+6.0656e-05i,0.0015953+0.00031512i,0.00070347+0.00050452i,6.6429e-05+0.0016098i,7.7065e-05+0.0022267i,3.3723e-05+0.0015462i,6.0205e-05+0.0012317i,-0.00016445+0.0015486i,-0.00020805+0.0011943i,-8.6988e-05+0.00035312i,-0.00085316-0.00062522i,-0.0012915-0.00022508i
0.00089366-0.0018226i,0.0014437-0.001718i,0.00087052-0.00096819i,0.00060006-0.00037731i,-0.00050526-0.00072289i,-0.0011153-0.0012403i,-0.0002959-0.0013955i,0.00019727-0.0019083i,0.00053934-0.0020184i,0.00096791-0.0020881i,0.0008596-0.0030496i,0.00066329-0.0026472i,0.0012213-0.0010306i,0.0016214-0.00024242i,0.0015015+0.00054778i,0.00092697+0.0010373i,0.00052798+0.0010558i,0.0011718+0.00098861i,0.0010254+0.00094263i,4.9095e-05+0.00048925i,0.00020262+0.00037824i,0.00041358+0.00073605i,0.00056298+0.00047414i
-0.00049172-0.00090859i,-0.0018381-0.0007564i,-0.0023598-0.00044344i,-0.0020428+0.00078554i,-0.00059526+0.001867i,3.8872e-05+0.0014386i,-0.00069371-0.0001773i,-0.002221-0.0014004i,-0.0032973-0.0012328i,-0.0038816-0.00116i,-0.0040916-0.00071991i,-0.0035049-0.00049771i,-0.0020432-0.00076923i,-0.00049286-0.0012464i,0.001164-0.0020318i,0.0015949-0.0017701i,0.0016406-0.0009422i,0.0014364-0.00046268i,0.00074415-0.00037894i,0.0013139+5.3936e-05i,0.001794+0.00021293i,0.0016331-0.00022906i,0.0023009-0.00042273i
0.0011747-0.0021014i,0.00082627-0.0022452i,-0.0002337-0.0018544i,-0.00092441-0.00039341i,-0.00063733-0.0003756i,-0.00090453-0.0012994i,-0.0018742-0.00095182i,-0.0025678+0.00096809i,-0.0029997+0.0022365i,-0.0027907+0.0026676i,-0.0021345+0.0031569i,-0.001932+0.0023123i,-0.0017843+0.0004471i,-0.0018188-0.0003292i,-0.0019127-0.00080567i,-0.0014524-0.0016162i,-0.00075113-0.0014663i,-0.00036741-0.00059625i,-0.00033856-0.00033063i,0.00064234-0.00071667i,0.0013201-0.00059653i,0.0016091-9.0223e-05i,0.0012914+6.7446e-05i
0.0020536-0.00045569i,0.0021736-0.0014788i,0.0021286-0.0017974i,0.0015593-0.0023003i,0.00059436-0.0024906i,-0.00011803-0.0015589i,-0.00027736+0.00036959i,-0.00033795+0.0020075i,-0.00056585+0.0032361i,3.7091e-05+0.003288i,0.0011937+0.00291i,0.0014757+0.0028207i,0.00064597+0.0019766i,-0.00072463+0.0013934i,-0.0021822+0.0015019i,-0.0021057+0.0011544i,-0.0020113+0.00084122i,-0.0018849+0.00010498i,-0.00084853-0.00084292i,-0.00036817-0.0011134i,0.000184-0.00098686i,0.00011497-0.00084771i,-0.00049617-0.00020117i
-1.0869e-05-0.00033318i,0.00023894-0.00010241i,-0.00033725+8.6966e-05i,-0.00093057+0.00039247i,-0.0010042-7.1577e-05i,-0.001338-0.00078679i,-0.00056739-0.00023769i,0.00096667+0.0004236i,0.0026657+0.00071742i,0.0041478+0.00034101i,0.0041366-0.0011247i,0.0027902-0.0018659i,0.0011049-0.0014427i,0.00052301-0.00058035i,0.00019053-0.00020125i,-0.00049184+0.00031849i,-0.00077923+0.00075179i,-0.00059379+0.00089041i,-0.0003903+0.001444i,-0.00053403+0.0014822i,-0.000701+0.00047926i,-0.0001504-0.00015344i,0.001228-0.00040294i
0.0003467-0.0012587i,-0.00095635-0.0015156i,-0.001923-0.0022015i,-0.0023512-0.0012963i,-0.001897+0.00063419i,-0.00045819+0.00085455i,0.00050596-8.2192e-05i,0.00055272-0.0011948i,0.00078674-0.0020251i,0.00064504-0.0036814i,0.00030376-0.005218i,-7.6059e-05-0.0044616i,0.00041707-0.0028529i,0.0013438-0.0026949i,0.0018803-0.0024781i,0.0017438-0.00090228i,0.0017017+0.00059654i,0.0012123+0.0011643i,0.00072839+0.00063545i,0.00051087+0.00037595i,-1.2614e-05+0.00058718i,-0.00025319+0.00048945i,6.3341e-05-0.000186i
9.186e-05+0.00052799i,0.0014901-0.00065317i,0.0015666-0.00043555i,0.0017761-0.00012463i,0.0018416-0.00017367i,-9.0006e-05-0.0012959i,-0.0018716-0.0022846i,-0.0027109-0.0022452i,-0.0030799-0.0021356i,-0.003138-0.0024406i,-0.0034869-0.0022332i,-0.0035359-0.0014779i,-0.0024779-0.0010971i,-0.0013413-0.0011204i,-0.0011133-0.00058035i,-0.0006411+6.3833e-05i,0.00030643+0.00056754i,0.00019822+0.00044229i,0.0004484+4.8012e-05i,0.0010239+0.00070251i,0.00053076+0.0013764i,0.00055666+0.001306i,0.00027787+0.00013361i
0.00044452-0.0013518i,-0.0004425-0.0010128i,-0.001634-0.0010725i,-0.0019526+9.122e-05i,-0.00098813+0.00073912i,-0.00079316-0.00018529i,-0.0022848-0.00049951i,-0.0038159-5.037e-05i,-0.0044392+0.00054662i,-0.0048434+0.0011962i,-0.0048158+0.0028414i,-0.0036315+0.00317i,-0.0019089+0.0012875i,-0.001303+0.00012866i,-0.0015818-0.00029333i,-0.0017624+6.4083e-05i,-0.0015823+0.00038588i,-0.00123+0.00014099i,-0.00092197+9.496e-05i,-0.00073236+0.00024611i,-0.00010486+0.00015523i,0.00071318+8.5327e-05i,0.00079346+0.00034895i
0.0010988-0.0015846i,0.001118-0.0012403i,-0.00015259-0.0014945i,-0.00099497-0.00061421i,-0.0015894+0.00043447i,-0.0022453+0.00081342i,-0.0019134+0.0017594i,-0.00099439+0.0031164i,-0.0014121+0.0039032i,-0.00068927+0.0037063i,0.001515+0.0032173i,0.002925+0.0024217i,0.0022553+0.0019101i,0.00044956+0.0018616i,-0.00021424+0.0019272i,0.00033597+0.0019616i,0.00086259+0.0025191i,0.0011153+0.0020086i,0.0013392+0.00104i,0.00055753+0.0011674i,-0.00040101+0.00030858i,-1.4179e-07-0.00025549i,0.00082997+0.0012541i
0.0014227-0.002203i,0.00062739-0.003003i,-0.00010273-0.004474i,-0.0012008-0.0040966i,-0.0015534-0.0025377i,-0.0003873-0.0019553i,0.00086007-0.00019399i,0.0020917+0.0022517i,0.0033108+0.0024298i,0.0035404+0.0025265i,0.0038183+0.0019434i,0.0041594-0.00063509i,0.0034973-0.001677i,0.0026443+0.00031608i,0.0028313+0.0012212i,0.0033845+0.0012443i,0.0026291+0.0017036i,0.0014733+0.0011721i,0.00088985+0.00055911i,0.00036199+7.6471e-05i,-0.00016764-0.00074753i,-0.00079018-0.00043985i,-0.00023609-0.00040894i
-8.3397e-05-0.00031096i,0.00069278-0.00093978i,-0.00013483+7.9496e-05i,-0.00056106+0.0010987i,-0.00045784+0.00091477i,-0.00097988-0.00079778i,-0.00070406-0.0019456i,0.00045897-0.0014693i,0.0014803-0.0010245i,0.0021669-0.0013695i,0.0014333-0.003422i,-0.00038952-0.0046025i,-0.0013733-0.0033852i,-0.00040416-0.0019036i,0.00011882-0.0013349i,-0.0004945-0.0015829i,-0.00029586-0.0016936i,0.00030787-0.0013593i,0.00086773-0.00056589i,0.00033379+0.00021729i,-0.00057532-0.00023538i,0.00041646-0.0013164i,0.0014087-0.0017486i
-0.0017305-0.0031528i,-0.0025739-0.0023169i,-0.0027633-0.0010838i,-0.0011125+0.0015012i,0.00024114+0.001847i,0.00033348-4.0161e-05i,0.00022729-0.0025953i,0.00045254-0.0041157i,0.000384-0.0034197i,-0.00088241-0.0028217i,-0.0028922-0.0025226i,-0.0042306-0.0014054i,-0.0039388-0.00068782i,-0.0025995-0.001213i,-0.0019833-0.0022499i,-0.0021483-0.0023571i,-0.0017746-0.0014489i,-0.00082006-0.00063995i,-0.00046973+0.00041799i,-0.00050404+0.00097876i,0.0004623+0.0008971i,0.00098143+0.0006505i,-0.00043378+0.00033088i
-0.0017792-0.00096961i,-6.7701e-05-0.0009639i,0.00057667-0.0004415i,0.00033759-0.00050367i,-1.2257e-05+0.00016393i,-0.000309+1.9254e-05i,-0.0019578-0.001239i,-0.0041691-0.0013972i,-0.0045995-0.001086i,-0.0043735-0.00045309i,-0.0036551+0.0013914i,-0.0023688+0.0032765i,-0.0016288+0.0032482i,-0.0015455+0.001549i,-0.0021595+0.0011822i,-0.0017872+0.0014405i,-0.00071642+0.0013689i,-0.00025593+0.0011759i,1.2887e-05+0.001087i,0.00098167+0.0012276i,0.0012326+0.0014117i,-0.00020728+0.0006324i,-0.0010377+0.00064488i
-0.001266-0.0011051i,-0.00059732-0.00068336i,-0.0010682-0.00021572i,-0.0013736+0.00043793i,-0.0011608+0.00096044i,-0.0015824+0.0010449i,-0.0034363+0.0012327i,-0.0046892+0.0016595i,-0.0038365+0.0022067i,-0.0034019+0.003173i,-0.0020822+0.0034099i,0.00089905+0.0028345i,0.0019942+0.0015429i,0.00082953+0.00079848i,0.00018655+0.0020784i,0.00036619+0.003027i,0.00093741+0.0024616i,0.0015217+0.0016291i,0.0018046+0.0011469i,0.0021229+0.0004362i,0.0023258-8.4502e-05i,0.0021902+0.00034038i,0.0019011+0.0006974i
-0.00052614-0.00075428i,-0.00065449-0.0008998i,1.8377e-05-0.00017845i,0.00029578+0.00073579i,-1.6804e-05+0.00054357i,-0.00029038+0.00067249i,0.00020864+0.0016531i,0.00030979+0.0032574i,-0.00025876+0.0037112i,-8.7557e-05+0.0027785i,0.0015804+0.00021619i,0.002763-0.0026012i,0.0014023-0.0034963i,0.00073341-0.0020361i,0.0012203-0.0011948i,0.0010018-0.001076i,0.0010853-0.00044011i,0.00108+0.00032521i,0.00056961+0.00013373i,-0.00047922-0.00038664i,-0.001226-0.0008487i,-0.00054589-0.0006848i,0.00026705-0.00067623i
-0.0010195-0.0024112i,-0.0010302-0.0024648i,-0.0021479-0.0017053i,-0.002093-8.8176e-05i,-0.001017+0.00032537i,0.00069082+3.2397e-05i,0.0024371+0.0002765i,0.0028984+0.001217i,0.0024762+0.0021699i,0.0020156+0.00036184i,0.0013482-0.002607i,-0.00048918-0.0036647i,-0.0015193-0.00247i,0.0005397-0.0017272i,0.0017993-0.0018273i,0.00088508-0.0015214i,-2.8918e-05-0.0013105i,-0.00058386-0.0011856i,-0.00058142-0.00072844i,-0.0010018-0.00010655i,-0.0019001-0.0005508i,-0.0017269-0.00081278i,-0.00094717-0.00055514i
-0.0012439-0.0003036i,-0.00053409+0.00034953i,-0.00025898+0.00099077i,-0.00014843+0.00097049i,8.0596e-05-0.0001679i,0.00014531-0.001463i,-0.00017565-0.0027735i,0.00036677-0.0029979i,0.0013028-0.0022323i,0.0010283-0.0013999i,-0.0010289-0.0010488i,-0.0037325-0.00029723i,-0.0041402+0.00085658i,-0.0029504-6.6557e-05i,-0.0025547-0.0014321i,-0.0024389-0.00069459i,-0.0014523+0.00067283i,-0.0010131+0.00075204i,-0.0010678+0.00076795i,-0.00057794+0.0016807i,-4.4518e-05+0.0017517i,0.00056359+0.00020096i,0.00022473-0.0015765i
-0.0028289-0.0021403i,-0.0027179-0.0014257i,-0.0028999-0.00048643i,-0.002324+0.0010744i,-0.00097272+0.0017319i,3.1242e-05+0.00044598i,2.9802e-05-0.0012356i,-0.00063471-0.002305i,-0.001842-0.0021841i,-0.0025874-0.00049652i,-0.0025758+0.002276i,-0.0013532+0.0040364i,0.00021587+0.0030145i,-0.000245+0.00089821i,-0.0021775+4.4767e-05i,-0.0027282+0.00071571i,-0.0017429+0.0013091i,-0.00044316+0.0011353i,-5.3512e-05+0.0018477i,0.00073321+0.0021239i,0.0015635+0.0012551i,0.0013774+0.00073838i,0.0013236+0.00097884i
-0.00028038+0.00038382i,0.00049076-0.00011958i,0.00019508-0.0005535i,0.00037448-0.00024496i,0.00096421+5.7298e-05i,-4.4782e-06-0.0004592i,-0.0017878-0.0019957i,-0.0034103-0.0014757i,-0.003528-0.00021715i,-0.0019823+5.6841e-05i,0.0013644+0.0010025i,0.0042629+0.0018824i,0.0036998+0.00086519i,0.0012694+0.00020923i,0.00017044+0.0012593i,0.00081422+0.0013593i,0.0012446+0.001385i,0.0017224+0.0026367i,0.0018245+0.0018308i,0.00039731-0.00011173i,-0.00022186-0.0012774i,-3.3761e-05-0.00099725i,-0.00052027-0.00030669i
8.1993e-05-0.00040231i,-0.00081485-0.00058478i,-0.00054595-0.00058778i,-0.0011627-0.0010092i,-0.0020136-0.00020738i,-0.0018443+0.00016947i,-0.0018399+0.00075771i,-0.0024386+0.0024565i,-0.0027151+0.0028772i,-0.0014002+0.0016649i,0.0010585-0.0011772i,0.0019526-0.0039486i,0.0010065-0.004173i,0.001156-0.0018089i,0.0022665+2.0785e-05i,0.0023358-0.00033481i,0.0021752-0.00094553i,0.0016659-0.00089821i,0.00058764-0.0010203i,4.0142e-05-0.0012102i,-0.00031055-0.0017328i,-0.00047119-0.0022301i,-0.0005062-0.0025668i
-0.0014598+0.0011827i,-0.00049279+0.00066427i,0.00059072+0.0011024i,0.0012008+0.00046503i,0.0014495+1.6865e-05i,0.00059871-0.00067283i,-0.00027805-0.00014544i,0.00029053+0.0017384i,0.00050542+0.0031133i,-6.8868e-05+0.0017644i,-0.0016517-0.0019631i,-0.0039021-0.0045609i,-0.0045346-0.0039614i,-0.0023466-0.0026257i,-0.00065594-0.0025328i,-0.0012899-0.0013273i,-0.0015547-0.00044019i,-0.0012806-0.00089612i,-0.0012369-0.00067954i,-0.0016551-9.2376e-05i,-0.0015752-0.00042086i,-0.00096689-0.00082894i,0.00017478-0.00037044i
-0.00080693-0.0020299i,-0.00056855-0.00099935i,-0.0025985-8.3882e-05i,-0.003618+0.0004571i,-0.0021044+0.00024032i,-0.0001723-0.00066316i,0.00087919-0.0011517i,0.0011022-0.00054643i,0.00093689+0.0003079i,-7.8497e-05+0.00043008i,-0.0028466+0.00026433i,-0.0045763+0.0017839i,-0.0024574+0.0033527i,-6.4424e-05+0.0019658i,-0.00036281-0.00014769i,-0.0017178-0.00067322i,-0.0013582+0.00018398i,-0.0011375+0.0008389i,-0.0016481+0.0011347i,-0.001057+0.0016923i,-0.00024093+0.0016296i,-0.00018288+0.0019046i,-0.00057975+0.0016406i
-0.0020554+0.0012855i,-0.0017002+0.00076454i,-0.0016646+0.0014538i,-0.0013978+0.0015332i,-0.00057541+0.00095259i,-0.000584+0.00077172i,-0.00058942-0.0011448i,0.00026317-0.0015416i,0.00097278-0.00075139i,0.00095613+0.00044617i,-0.00018386+0.0040651i,-0.00029572+0.005742i,0.00069466+0.0039646i,0.00037517+0.0014321i,-0.00074969+0.0014723i,-0.00099002+0.0030436i,-0.00015325+0.0025085i,-0.00012366+0.0016321i,0.00012394+0.0019288i,0.0013034+0.001827i,0.0015153+0.0013365i,0.0012383+0.00062863i,0.00045366+0.0003232i
-0.00066301-0.00044253i,-0.00034161-0.0013469i,4.717e-05-0.0018163i,0.00086399-0.0016587i,0.0010627+0.00011136i,0.00043609+0.00040933i,0.00025949-0.00084269i,-3.5392e-05-0.00083674i,-0.00015376-0.00058632i,0.00045983-0.00022635i,0.0021794+0.0011141i,0.0046079+0.00018573i,0.0047376-0.0019204i,0.0031473-0.0015544i,0.0022405+0.001234i,0.0017381+0.0022457i,0.0014231+0.0010136i,0.00135+0.00054123i,0.0018579-0.00028549i,0.0015477-0.0014981i,0.0013822-0.0016609i,0.0015739-0.001247i,0.001891-0.0012571i
-0.0019611-0.0034893i,-0.0024697-0.0021438i,-0.00368-0.0014266i,-0.0031764-4.8996e-05i,-0.0012213+0.00069955i,0.0012398+9.1503e-06i,0.0017911-0.0017334i,-0.00063114-0.0021717i,-0.0025075-0.0015159i,-0.0013581-0.0013301i,0.0013604-0.0024218i,0.0021832-0.0051978i,0.00039355-0.0051378i,-0.00061253-0.001965i,0.00027369-0.00012688i,0.00056955-0.001075i,0.00098651-0.0019747i,0.001836-0.0017527i,0.0012994-0.0019403i,7.3243e-05-0.0011483i,-0.00073647-0.0002952i,-0.0014564-0.0003165i,-0.0014832-0.00042364i
