-0.0013913-0.00041392i,-0.0014365-0.0013095i,-0.0036348-0.0017967i,-0.0050567-0.0014066i,-0.0035226-0.00052293i,-0.001538+0.00029149i,-0.00060575+0.00041897i,-0.0004711+0.00045004i,-0.000161+0.00086562i,0.00051126+0.00018296i,0.00078578-0.00088671i,0.00052085-0.001367i,0.00016906-0.0017546i,-9.4705e-05-0.0014893i,-0.00038597-7.9358e-05i,-0.00072456+0.00050982i,-0.00083763+0.00027559i,-0.00069734+0.0005761i,-0.00052223+0.00040435i,-0.00064542-0.0002304i,-0.00033141-0.00054652i,-0.00041133+0.00026245i,-0.00062719+0.0010478i
-0.00092142+0.0003792i,-0.0015938+0.00042698i,-0.0039722+0.0011537i,-0.0046286+0.0020026i,-0.0033955+0.0022046i,-0.00099711+0.0012989i,0.00030467+8.9378e-05i,5.7417e-05-4.2603e-05i,-0.00069864-0.00033358i,-0.00087231-0.00018672i,1.639e-05+0.00029413i,0.0005286-0.00023223i,0.00070281-0.00040459i,0.00040385-0.00085905i,-0.00058528-0.00053481i,-0.0007068+0.0005535i,3.1058e-05-3.966e-05i,9.2109e-05-0.00017897i,1.5447e-05+4.5264e-05i,0.00020036-0.00024899i,0.00062053+1.2807e-05i,0.00021459+0.00044245i,-0.00037632-0.00026686i
-0.0012154+0.0003011i,-0.0017133-0.00033174i,-0.0037809-6.4892e-05i,-0.0044193+0.00116i,-0.002928+0.0021815i,-0.00058148+0.0011213i,0.00057603+4.3514e-05i,-0.00017102-0.00057498i,-0.0002239-0.00073441i,0.0002244-0.00046793i,-0.00013391-0.00017038i,-0.00041663-0.00013206i,0.00019495-0.00058581i,0.00087624-0.00081428i,0.00030992-0.00046278i,2.5335e-05-0.0001995i,-2.3926e-05-0.0005865i,-0.00039454-0.0010423i,-0.00033879-0.0001775i,-5.0631e-05+0.00088318i,-0.00024913+0.00061065i,-0.0005084+0.0001647i,-0.00018713+0.00048514i
-0.0007933+0.0010165i,-0.0025117-0.0005329i,-0.0034431-1.5266e-06i,-0.003393+0.001885i,-0.0025699+0.002566i,-0.00076371+0.00087008i,0.00032307-0.00056878i,-0.00017221-0.00069494i,-0.001023-0.00016292i,-0.00073304+0.00062233i,0.00089599+0.00090264i,0.001438+0.00018793i,0.00107-0.0001746i,0.00079534+0.00036346i,0.00071471+0.00026267i,-6.3085e-05+0.00060799i,-0.00084078+0.00088969i,-0.00085023+0.00098135i,-0.00097619+0.0010516i,-0.00061413+0.00025946i,-0.00050689-0.00081371i,-0.00054525-0.00078586i,-0.00012315+0.00037262i
-0.0013638+0.0002564i,-0.0026524+0.00038042i,-0.0036134+0.00045142i,-0.0040011+0.0014183i,-0.0024923+0.0021417i,-0.0010146+0.0014843i,-0.0003907+0.00053993i,-1.7974e-05+0.00027249i,-0.00028593+0.00012625i,-0.00014397-8.3273e-05i,0.00057154+0.00050475i,0.00050831+0.00040933i,0.00043304-0.00012186i,0.00035934-5.6918e-06i,0.00044046-0.00012925i,0.00095312+0.00011336i,0.00040821+0.00056183i,0.00012516+0.00048247i,0.00037143+0.00074143i,-0.00017129+0.00076635i,0.00012296+0.00015266i,0.00073531-0.00023859i,0.00023152-0.00030095i
-0.0014382+0.00062246i,-0.0017733+4.7596e-05i,-0.0031821+0.00042405i,-0.0033725+0.00069908i,-0.0023464+0.0011542i,-0.00046437+0.001202i,0.00077284+1.4791e-05i,-0.0002464-0.00064807i,-0.00094906-0.0003306i,-0.00016353+0.00015721i,0.00035064+0.0006665i,0.00056929+0.00038879i,0.00046838-0.0001366i,0.00050568-0.0002236i,0.0007519-0.00041039i,0.00055783+2.7734e-05i,-5.6712e-05+0.00026646i,-0.00016535-8.1954e-05i,-0.00050646-0.00026472i,-0.00088485-0.00016235i,-0.00033401-0.00045804i,0.00080276-0.00038343i,0.0011647+0.00028247i
-0.0014201+0.00016062i,-0.0022251-0.00024028i,-0.0049169+0.00047382i,-0.0055652+0.0021802i,-0.0021732+0.0025433i,0.0013459+0.0007895i,0.0011954-0.00074605i,-0.00030352-0.0007346i,-0.00081312-5.694e-06i,-0.0010608+0.00014159i,-0.00022383-0.00040406i,0.00029636-0.00049374i,0.00014295-0.00044486i,-0.00051822-0.00039461i,-0.00053619-0.00070722i,-0.00059712-0.00056006i,-0.0004761+0.00052415i,-0.00013976+0.0011775i,9.7826e-06+0.0010669i,0.00010509+0.00042151i,-0.00017264-0.0003422i,0.00016454-0.00027228i,0.00051081+0.00031668i
0.0018236-0.0014153i,0.00033514-0.00064825i,-0.0022597-0.00099277i,-0.0040573-0.00021707i,-0.0024571+0.00062966i,0.00031418+0.00039142i,0.00025422+0.0003442i,-0.00067555-6.1556e-05i,-0.00098244-0.00061536i,-0.0009814-0.00014997i,-0.00045184+0.00011936i,3.054e-05-0.00038226i,0.00023296-0.00024689i,1.2096e-05-0.00030983i,-0.00053518-0.00099246i,-0.00047527-0.0012765i,-0.00034558-0.0010383i,-0.00050366-0.0007567i,-0.00058193-0.00029446i,-0.00049271-5.116e-05i,-0.00034979-0.00096989i,-0.00088604-0.00087573i,-0.00043673+0.0005915i
-0.0014653+0.00010373i,-0.002072-0.00091223i,-0.0035072-0.00046463i,-0.0041396+0.00095401i,-0.002413+0.0017954i,6.2396e-05+0.00093233i,0.00079148-0.00016087i,-0.00051921-0.00043501i,-0.0018506-0.00043477i,-0.0015676-1.9685e-05i,-0.00030483+9.8255e-05i,0.00028479+4.3614e-05i,0.0003735-0.00026762i,0.00022413-0.00097197i,0.00010143-0.00061237i,-0.00018974+0.00029403i,-0.00064246-0.00015286i,-0.00019194-0.00044158i,0.00016182-2.319e-05i,0.00040754+0.00025193i,0.00074487+0.00041794i,3.7483e-05+0.00025545i,-0.0005185+0.00016924i
-8.442e-05-0.00088995i,-0.0018063-0.00083066i,-0.0038864-0.00045459i,-0.004384+0.00078442i,-0.0021679+0.0021316i,1.3212e-05+0.0017377i,-0.00022927+0.00060685i,-0.00097716+0.00066907i,-0.0016204+0.00034779i,-0.0017326-0.00011012i,-0.00064045+6.1028e-05i,-0.00013731+0.00050457i,-0.00057841+0.00013304i,-0.00063222+0.0002653i,-0.00019097+0.00050288i,0.000688+0.00038257i,0.00077078+0.00016926i,0.00040224+5.6208e-05i,-0.0003017+0.00047028i,-0.00035937+0.00085249i,-0.00038381+0.00072842i,-0.0001047+0.00083382i,0.00046792+0.00037348i
0.00060194-0.00062215i,-0.00040787-0.00039614i,-0.0022836-0.00059079i,-0.0035353-0.00024894i,-0.0028806+0.00094832i,-0.0012789+0.0014454i,0.00048299+0.0012463i,0.00057917+0.00037448i,-0.00055712-0.0009568i,-0.00037904-0.00085842i,0.000237+0.0005683i,0.00056152+0.00081216i,0.00086509+0.0004751i,0.00049839+0.00047213i,-0.00031538+0.00048965i,-0.00052182-0.00020497i,-0.00070041-0.00019108i,-0.00058793+0.00068015i,-0.00011798+0.001219i,-0.00063661+0.0011712i,-0.0012367+0.00086466i,-0.000529+0.0001516i,-3.5439e-05-0.00044871i
