-0.0026688-0.0014871i,-0.0026499-0.00040079i,-0.0030008+0.0013321i,-0.0031378+0.0020562i,-0.0033346+0.0015091i,-0.0028215+0.001113i,-0.0016905+0.0010747i,-0.00018945+0.0014378i,5.5264e-05+0.0012142i,0.00012369+0.0010625i,0.00043312+0.00077103i,0.00052293+0.00065587i,0.00029459+0.00082528i,-0.00016969+0.0006869i,-9.0303e-05+0.00062179i,-6.1274e-05+0.0015i,0.00066254+0.0018783i,0.00093727+0.00086041i,8.9638e-05+0.00030186i,-0.00042723+7.4679e-05i,0.00017309+0.0006111i,0.00033077+0.0003425i,0.00051414-0.00029694i
-0.00087217-0.0010836i,-0.00095436-0.0019741i,-0.0010885-0.00088169i,-0.0012866+3.1805e-05i,-0.0010667-0.00022159i,-0.00040878-0.00076684i,-5.4373e-05-0.00075199i,-0.00024822-0.00029474i,-0.00011841-0.00026359i,-1.1971e-05-0.00042005i,-0.00033985-7.0987e-05i,-0.00011556+0.00027189i,-0.00030267+0.0007058i,-0.00096701+0.0013692i,-0.00051822+0.0013296i,-1.5596e-05+0.00095001i,0.00029979+0.00066673i,1.0346e-05+0.00014987i,0.00028683+4.7839e-05i,0.00037318+0.00035773i,-0.00011034-9.7333e-05i,-0.00026343-0.00059227i,0.00047842-0.00042274i
0.001175-0.0013055i,-0.00013179-0.001729i,0.00031996-0.0018861i,0.00043326-0.0028036i,-0.00033389-0.0024395i,-0.00072981-0.0014466i,-0.0003-0.00038071i,0.00059219+0.00023418i,0.00062458-0.00025119i,-0.00012572-0.00064118i,-0.00093483-0.00040047i,-0.0014124-0.00042417i,-0.0015062-0.00052435i,-0.0013503-8.4987e-05i,-0.00090965+0.00019489i,-0.0011234-2.8505e-05i,-0.0014798-0.00018265i,-0.00048919-0.00041954i,0.00074157-0.00078339i,0.00091178-0.00055618i,0.0007401+0.0004662i,-6.9209e-05+0.00077583i,-0.00084282-0.0002988i
0.00051945-0.00089544i,0.0010141-0.0021147i,0.002722-0.0013623i,0.0031939-0.0010565i,0.0018882-0.0017475i,0.00012569-0.0014959i,-0.00038685-0.0010844i,5.2808e-05-0.00014573i,-0.00036013+0.00022999i,-8.2361e-05-0.00036086i,0.00014998-0.00065574i,-0.00084553-0.00052667i,-0.0014325-0.00034894i,-0.00079594-0.00072669i,-0.000358-0.00079859i,0.00011451-0.00010361i,0.00019261+0.0002197i,0.0001264-5.6759e-05i,0.000525-0.00029461i,0.00074113-0.00042874i,0.00088217-0.00015617i,0.00054157+0.00026373i,5.6171e-05+0.00024528i
-0.00045028-0.0016314i,-0.00045003-0.0012693i,-0.00081933-0.0011039i,-0.00049373-0.0012706i,0.0001873-0.0011446i,0.00049994-0.0012641i,-0.00021423-0.0010728i,-0.00070082-0.0010291i,-0.00049867-0.001426i,-0.00049538-0.00087432i,-0.00054002-0.00017445i,-0.00081624+0.00011985i,-0.00078347+0.00021253i,-0.0011234+0.00029177i,-0.0011238-0.0002011i,0.00030005+1.9346e-05i,0.00011397+0.00099835i,-0.00092426+0.0005349i,-0.0010365-7.6617e-05i,-0.00083954-0.00052134i,-4.4707e-05-0.00098606i,0.0014741-0.00027976i,0.0018021+0.00063124i
-0.00023529+0.0013914i,0.00087094+0.0012076i,0.0022723+0.0013228i,0.0018194+0.00090528i,0.0010261-0.00025813i,0.0006008-0.0013866i,0.00021934-0.00069869i,-0.00052571-0.00015812i,-0.00099036-0.00071711i,-0.00061086-0.0011219i,0.00028655-0.0015298i,-0.00014625-0.0012343i,-0.00079392-0.00092098i,-0.0003135-0.00068104i,0.00030562-0.00021775i,1.6884e-06+7.8765e-05i,-0.00019555+0.00043674i,0.00043058+0.00049461i,0.00059812+0.00058066i,0.00060083-5.2368e-05i,2.8075e-05-0.0008874i,6.0631e-05-0.00077318i,0.00067415-0.00054341i
-0.0022865+0.00037683i,-0.0010767+0.001024i,0.00072468+0.0014625i,0.0013472+0.0016108i,0.0014447+0.00059344i,0.00070274-0.00077617i,8.4614e-05-0.00066981i,2.5733e-05+0.00013206i,0.00043216+0.00028734i,0.00031252-3.4615e-05i,-0.00048751-0.0004321i,-0.0012637-0.00053151i,-0.0011823-0.00047929i,-0.0010288-0.00029385i,-0.00089678-0.00058915i,-0.00049172-0.0011301i,-0.00032584-0.00012638i,0.00053826+0.00066432i,0.00039996+6.1142e-05i,0.00029999-0.00040458i,0.00097325-6.0942e-07i,0.00078561+0.00012713i,0.00096924+8.766e-05i
-0.00014729+0.0010814i,5.5099e-06-4.8619e-05i,0.001371-8.202e-05i,0.0028548-0.00017589i,0.0025423-0.00025201i,0.0012166-0.00014152i,0.00016349-0.0001237i,-0.0002462-0.00037118i,-0.00030458-0.00069014i,0.00033813-0.00066317i,0.00044461-0.00068839i,-0.00010388-0.00090972i,-9.6606e-05-0.0009035i,-0.00030406-0.00075556i,-0.00050025-0.00024392i,-0.00038152-3.4054e-05i,-8.6117e-05-0.00028558i,-0.00021927+0.00025515i,-0.00070469+0.0008837i,-0.00064858+0.00050286i,-0.00084318+0.00017519i,-0.0011884-0.00022762i,-0.00043741-5.5884e-05i
-0.00012206-0.0028264i,-0.00091073-0.0034322i,-6.0848e-05-0.0043629i,0.00048543-0.0028528i,-0.00014544-0.0017958i,-0.00019807-0.0015953i,0.00013808-0.0010057i,-0.00010195-0.0011913i,-0.00047502-0.0025783i,-0.00081346-0.0025546i,-0.001174-0.0012139i,-0.001162+0.00024297i,-0.0012514+0.00093063i,-0.0015852+0.00059187i,-0.0013974+0.00048128i,-0.0012547+0.00083949i,-0.00096338+0.00091327i,0.00016778+0.00051316i,0.00079257-0.00037536i,-0.00014006-0.0014165i,-0.00048162-0.0012847i,6.5343e-05+0.00025058i,-7.3839e-05+0.0011237i
0.0020996+0.00048561i,0.0023319+8.1349e-05i,0.0036728-0.00022862i,0.0043131-0.0015195i,0.0020937-0.0028458i,0.00081184-0.0018504i,0.0002775-0.00062017i,-0.00036983-0.00048495i,-0.00052104-0.001081i,-0.00041166-0.0019234i,-0.00084083-0.0016814i,-0.0010663-0.0014093i,-0.00081668-0.0014123i,-0.0013493-0.00062123i,-0.0012041-0.00060967i,-0.0009172-0.001182i,-0.00082202-0.00074244i,0.00011404+0.00027947i,0.00098678+0.00073414i,0.00013845-0.00029628i,-0.00049851-0.00051167i,0.00025929+0.00014918i,0.00041389+0.00018814i
-0.00042527-0.00086326i,-0.00011701-0.0011669i,0.00095986-0.0014399i,0.0014969-0.00067705i,0.00092742-0.00041027i,0.00063984-0.00092405i,0.00020029-0.001131i,-0.00011078-0.00059506i,-4.2284e-05-0.00053731i,-0.00058638-0.00058322i,-0.00064508-0.00041261i,-0.00042381+0.00014224i,-0.00071643+0.0001399i,-0.00040465-3.6948e-05i,-0.00012896+0.00012844i,-0.0003903+0.00049106i,-0.00047075+0.00060691i,5.3606e-05+0.00052634i,0.00038022+0.00089785i,0.00055319+0.0011776i,0.0004631+0.00054973i,-0.00017015-4.2266e-05i,-0.00083228+0.00017789i
