-0.00088343-0.00051911i,0.00024282-0.0010806i,-3.2404e-05-0.0016799i,-0.0012562-0.0011491i,-0.0023213-8.2605e-05i,-0.0019251-0.0001772i,-0.00035237+0.00055215i,0.00065635+0.0015906i,0.0012328+0.0007864i,0.0010745+5.0982e-05i,0.00070291+5.565e-05i,0.0010731+1.7167e-05i,0.00048772-6.7752e-05i,-0.00022449-0.00032018i,0.0002537-0.00029738i,0.00056689+5.1514e-05i,0.00014002-0.00011631i,6.3562e-05-0.00015682i,-0.00015099+0.0002591i,-0.00024264+0.00039372i,-0.00017614+0.00017139i,0.00024531+0.00024992i,0.00021358+0.00068846i
0.00064626-0.0012007i,0.00040661-0.0011803i,-0.00040792-0.00063991i,-0.00029718-0.0012494i,7.1265e-05-0.0027492i,-0.00054471-0.002683i,-0.00032445-0.0017147i,0.00046825-0.00026921i,0.0014697+0.0011309i,0.0012001+0.0010443i,0.00050197+0.00061081i,5.5633e-05+0.00032188i,-0.00041461+4.7383e-05i,-0.0001769-0.00034135i,0.00013859+0.00039993i,0.00054754+5.8178e-05i,0.00096193-0.00065947i,0.0010468-0.00089136i,0.00069076-0.00066811i,0.00064985+0.00015386i,0.00044461-9.693e-05i,0.00012453-0.00086442i,0.0004665-0.0007095i
0.00020033-0.0015957i,-0.00019726-0.00092747i,-0.00056695-0.00083222i,-0.00063149-0.00040776i,0.00051996+0.00023855i,0.00097373+0.00050759i,9.8143e-05+0.0002249i,-0.0002034-0.00019559i,0.0001054-0.00047407i,0.00046007-0.0003807i,0.00098859-0.00057399i,0.0013063-0.00088511i,0.0010148-0.00061173i,0.00039211-0.00060518i,0.00021138-0.0002633i,0.00072058+0.00013289i,0.00088005+0.00023908i,-9.8063e-05+0.00029971i,-0.0009715+0.00036249i,-0.0010729+1.6339e-05i,-0.0005824-0.00056394i,-0.00021279-0.00028029i,-0.00026023-0.0002528i
0.00021231+0.0024736i,0.00032062+0.0032805i,0.0010741+0.0019179i,0.0018177-0.00024951i,0.001672-0.0012232i,0.0011706-0.0013645i,0.00043497-0.00015631i,0.00050941+4.6462e-05i,0.00098441-0.00065546i,0.0010006-0.00048975i,0.00049605-4.2864e-05i,0.00062681-0.0003281i,0.00099192+2.452e-05i,0.0011381+0.00014251i,0.00067278+5.9438e-05i,0.0006419-7.7807e-05i,0.00031805-0.00046043i,-0.00032628-0.00043024i,-8.4998e-05-3.4103e-06i,0.00014102+0.00041264i,0.00016868+0.00069554i,-0.00026258+0.00053665i,-0.00070223-0.00040073i
0.00031619-0.0011918i,-0.00033895-0.0011899i,-0.00053673-0.0017004i,-0.00027213-0.0024002i,-0.00069682-0.0026559i,-0.00094763-0.0014001i,-0.00076092-0.00057709i,-0.00050744-0.00030506i,0.00021024-0.00021177i,0.00090131-0.00022249i,0.00052497+0.00010532i,-0.00055746+5.7028e-05i,-0.00037623-0.00032031i,0.0005926-7.0418e-05i,0.00092169-0.00014725i,0.0006957+2.6528e-05i,0.00079454+0.00062967i,0.00075776+0.00036572i,0.00034906-0.00011944i,-8.1937e-05-0.00054038i,0.0001888-0.000704i,2.1806e-05-0.00078587i,-0.00041062-0.00035285i
0.001202+0.00055849i,0.00088949-0.00023762i,0.0011354-0.00069685i,0.0014011-0.0016776i,0.001372-0.0017506i,0.00091276-0.0010368i,0.0003058-0.00038826i,-0.00028442+0.00027425i,-0.00026957+0.00022471i,0.00019089-0.00014359i,0.00062423-0.00035002i,0.0010295-3.8113e-05i,0.0011911-0.00029567i,0.00098077-0.00074534i,0.00073484-4.8616e-05i,0.00096828+0.00031574i,0.00058597+0.00018776i,-0.00037863+0.00036064i,-0.00049407+0.00040931i,-0.00040265+0.00013048i,-0.00025743-0.00016207i,-4.6425e-05-0.00090798i,-0.00042018-0.00088467i
0.00051218+0.0014681i,-0.00052349+0.00070808i,-0.0012011+0.00098685i,-0.0010479+0.00057135i,-3.8023e-05-0.00044759i,-9.0354e-06-0.0013975i,-0.00059623-0.0018996i,-0.00097171-0.0011344i,-0.00059409+0.0002127i,0.0002593+0.00047425i,0.00052032+0.00029456i,0.00056546+0.00035881i,0.0004366-0.00014199i,0.00029256-0.00095308i,0.0003392-0.00039696i,0.00096578+0.00074779i,0.0013068+0.0002962i,0.0014133+9.3442e-05i,0.0015469+0.00037106i,0.0011265+3.3026e-05i,0.00052108+6.7795e-05i,-5.159e-05+7.1894e-06i,8.8049e-05-0.00010494i
-8.899e-05-0.0011704i,0.00012535-0.00037429i,4.1596e-05+0.00053927i,0.00053559+0.00020584i,0.0010865-0.00052303i,0.00044767+0.00027916i,-0.0005194+0.00078366i,-0.00022025+0.00047515i,0.00043277+0.00031306i,0.0001215+0.00047778i,-0.00033244+0.00059304i,-0.00049026+0.0002527i,-0.00099235-0.00023689i,-0.00075848-0.0006713i,-2.7555e-05-0.00067678i,-1.4707e-05-0.00027307i,0.00017033-1.1878e-06i,0.00077787+4.8618e-05i,0.00067299+0.00065711i,0.00053172+0.001229i,-3.6849e-05+0.00060924i,-0.0012301-4.9768e-05i,-0.0016983+0.00051249i
-0.0009258+0.0015612i,0.00043298+0.001709i,0.0019764+0.0018964i,0.0022486+0.00099125i,0.0015916-0.00013873i,0.00108-0.0011607i,0.00098152-0.0009666i,0.00090176+0.00045022i,7.5489e-05+0.0011668i,-0.00097137+0.00061337i,-0.0008865+0.000173i,-0.00035973-0.0002571i,0.00010865-0.00018348i,0.00062958-0.00049367i,0.00030237-0.0012908i,-0.00041134-0.00062835i,-2.0397e-05+0.000618i,0.00045704+0.00078908i,0.00083536+3.2763e-05i,0.00060838-0.00055112i,-0.00025635-4.0955e-05i,-0.00034836+0.00055232i,0.00040243+0.00035461i
0.00043085-0.0018062i,0.00057763-0.0016675i,0.00027105-0.0014034i,0.00027684-0.0017132i,0.0010719-0.0019858i,0.0010277-0.0013843i,-0.00054918-0.00065667i,-0.00059179-0.00082274i,0.00073994+8.217e-05i,0.0013522+0.00086836i,0.0013557+0.00022903i,0.0012381-0.00025875i,0.00098253-0.00027317i,0.00099546-0.00040512i,0.00090527-0.00023058i,0.0006507+0.00028931i,0.00058072+0.00078936i,0.00077174+0.00035731i,0.0008815-0.0001077i,0.0010101-0.00042143i,0.00040732-0.00055214i,-0.0010391-0.00023792i,-0.00096259-1.5481e-05i
0.0010703+0.0022056i,0.00042939+0.0017773i,0.00042755+0.00094086i,0.001072-0.00013908i,0.0013763-0.00051561i,0.00055758-0.0010205i,0.00034605-0.0014373i,0.00043939-0.00078007i,0.00046602-7.1006e-05i,0.0010856-6.9901e-05i,0.001095+0.0001307i,0.00037813+0.00027867i,0.00028736+0.00014057i,-1.6082e-06-0.00033816i,-5.1776e-05-0.00044719i,0.00062298+7.5876e-05i,0.00011902+0.000419i,0.00036647+0.00081303i,0.00066675+0.00047352i,-0.00024189-0.0003476i,-0.00077972-0.00074246i,-0.00064685-0.00085506i,-0.00048425-0.00027612i
-0.00038527+0.00048964i,-0.00037916-0.00086801i,-0.00016731-0.0012364i,-0.00068-0.0014325i,-0.0008361-0.0023642i,-0.00042552-0.0021758i,0.00015939+6.618e-07i,0.00018065+0.00072825i,0.00030259+0.00024006i,6.4242e-05+0.00076668i,-3.0198e-05+0.001009i,0.00035338+0.00054749i,-8.9194e-05-0.00030949i,-0.0001688-0.00036741i,0.0003174-0.00037099i,0.00047178-0.00075315i,0.00038451-0.00097682i,0.00090728-0.00020439i,0.0012888-0.00014057i,0.00064226+0.00019888i,-6.4157e-05+0.00024388i,8.2268e-05-0.00043284i,0.00032344-0.0004417i
