-0.0018774-0.00065522i,-0.00054731-0.0010347i,-0.00077641-0.00042382i,0.00010548-0.00059768i,0.00053947-6.1234e-05i,0.00050317+3.0065e-05i,0.00094404+0.00054433i,0.0014409+0.00060019i,0.001302+9.5636e-05i,0.0011814+0.00079959i,0.0010166+0.00022587i,0.00068297-0.00094723i,0.0010209+0.00020761i,0.00088974+0.00088738i,0.00057922+0.00072223i,0.00034294+0.00036324i,0.00046142-0.00073322i,0.00055309-0.00067362i,0.00024168-0.00038133i,-0.00013843-0.0010199i,4.4041e-05-0.00040922i,0.00053239+0.00035286i,0.00094203+0.00015809i
0.001331-0.00042698i,0.0019748-0.0016073i,0.0011919-0.0016783i,-0.00027773-0.0018527i,-0.00060624-0.001897i,-0.00072363-0.0012405i,7.4543e-05-0.00082941i,0.00072506-0.00066214i,0.00021351-0.00014841i,-0.00026871-0.00037971i,-0.00068914-0.00053456i,-0.00037636-0.00012174i,-5.2067e-05+0.0001462i,-1.2854e-05-0.00021037i,0.0003232-0.00067155i,0.00067441-0.00074398i,0.00088086-0.00069112i,0.00039609-0.00054137i,-0.00024125+0.00010151i,0.00017922+0.00016432i,0.00025954-0.00041464i,-0.00016177-0.00026367i,-8.8316e-05+0.00022853i
-0.00034219+0.00079294i,0.00066709+0.00067027i,0.0010932+0.00011402i,0.0014096-0.00077618i,0.0012115-0.0017982i,0.0015359-0.0023928i,0.0012705-0.0018671i,0.00035789-0.00086537i,-0.0002309-0.00047632i,3.6948e-06-0.00030852i,0.00053032-0.00017267i,0.00070432-0.00032269i,0.0007426-0.00091294i,0.00011135-0.0010593i,-0.00031703-0.0001492i,-0.00055132-0.00020859i,-0.00083676-0.00052454i,-0.00041345-0.00076921i,9.0254e-05-0.0010515i,0.00031035-0.00036154i,0.00014172+1.9311e-05i,-0.00017109+0.00021444i,-0.00011961+0.00049975i
-0.00083666-0.0028066i,-0.0012258-0.001657i,-0.0012316-0.0016368i,-0.0010944-0.0017501i,-0.00086941-0.00058916i,-7.7277e-05+0.00035282i,0.0011341+0.00086369i,0.0018258+0.00064108i,0.0016286-0.0001842i,0.00022376-0.00075644i,-0.00022906-0.0012197i,-2.1121e-05-0.00035222i,-0.00034031+0.0011204i,-0.0007001+0.0008698i,-0.00073982+0.00049329i,-0.00013133+0.00027937i,5.7343e-05-0.00058185i,0.0004509-0.00097576i,0.001321-0.00056739i,0.0019632-6.0542e-06i,0.001145-4.2763e-06i,0.00049329+0.00015342i,0.00015254+0.00082044i
0.0011214+0.00084382i,0.0014168+0.0009022i,0.0019061+0.0011386i,0.0014908+0.00042701i,0.0015147-0.00047617i,0.0015116-0.00085692i,0.00077273-0.00098639i,0.00041822-0.00072283i,3.6e-05-3.4851e-05i,-8.1633e-05-9.1267e-05i,0.00027321-0.00028673i,0.00055833-0.00016922i,0.00031248-0.00040434i,-0.00030793-0.00058663i,-0.00043374-0.00026103i,-0.00038604+0.00028433i,-0.00028958+2.3384e-05i,-0.00036964-0.00068662i,-0.00060074-0.00086198i,-0.00020442-0.00031602i,-0.00047029+0.00023948i,-0.00089177+7.0368e-05i,-0.00048664-0.00024392i
-0.0017064+0.00088697i,-0.0012646+0.0010397i,0.00033074+0.00089646i,0.0010387-6.2725e-05i,0.00059086-0.0014838i,0.00046217-0.0018772i,-5.0454e-05-0.00095616i,-0.00018095-0.00073719i,0.00049958-0.00046656i,0.00095082-0.00044511i,0.00034188-0.0010982i,-0.00045657-0.00074231i,-0.0001394-4.2139e-05i,-0.00034036-9.3314e-05i,-0.00087244-0.00073693i,-0.00025615-0.00062256i,0.00029886-0.00091769i,-2.1394e-05-0.0013052i,-0.00011617-0.0010556i,-0.00030368-0.00039759i,1.3207e-05+0.00046041i,0.00059417+0.0001019i,0.00086554+1.6079e-05i
0.0016343-0.0017151i,0.0027642-0.0021233i,0.0024875-0.0020208i,0.00090467-0.0021908i,-0.00095629-0.0017367i,-0.00093817-0.00091915i,0.00022569-0.00059741i,0.00031668-0.0011699i,0.00067631-0.0012156i,0.00071677-0.00047635i,-0.00030942-0.0009262i,-0.00038051-0.00043877i,3.943e-05+0.00071367i,8.9923e-05+0.00067557i,-0.00067089+0.00084697i,-0.00098111+0.00042467i,-0.00055591-0.00021769i,-0.00025576+0.00038816i,-0.00025516+0.0011095i,-0.00055156+0.00099629i,-0.00050279+4.837e-05i,1.7158e-05-0.00046423i,0.00058144-0.00047398i
-0.00047745+0.0004112i,-0.00029287-0.00067243i,-0.00022512-0.001045i,-0.00064182-0.0010303i,-5.0588e-05-0.0018168i,0.001136-0.0019306i,0.0011798-0.0013409i,-1.8523e-05-0.00038769i,-0.00016301+2.3929e-05i,-0.00019588-0.00042171i,-0.00037505-0.0010402i,0.00083161-0.00073407i,0.00094493-0.00034832i,-0.00018235-0.00060583i,-0.00039925-0.00075445i,3.1685e-05-0.00052172i,0.00019891-0.000428i,-0.00011694-0.00027392i,6.2004e-05-0.00035071i,9.8565e-05-0.00018451i,-0.00039071-9.1226e-05i,-0.00037223-0.00054498i,-0.00012797-0.00080962i
0.0022356-0.0022782i,0.0013872-0.0026642i,0.001364-0.0024676i,0.00094439-0.0019528i,0.00084139-0.0017915i,0.00092275-0.0013409i,0.00070481-0.00046295i,0.00096807-0.00029039i,0.00074626-0.00047723i,8.0907e-05-0.00040864i,-0.00014889-0.00037397i,-0.00053143-0.00024937i,-0.00013414-0.00059613i,0.00066714-0.00053019i,0.00085301+0.0002514i,-0.00015408+0.00034336i,-0.00068992-2.8082e-05i,-0.00023754+3.7958e-05i,0.00095394+0.00045702i,0.0013097+0.00076233i,0.00073128+0.00027373i,-0.00023285-0.00049829i,-0.00022288-0.00066104i
0.0001227-0.00049867i,0.0014723-0.00021182i,0.0015033-0.00012467i,0.0013977-0.00072714i,0.0016114-0.0012812i,0.0018591-0.001321i,0.0016092-0.0006943i,0.00096744+9.9241e-06i,0.00061547+5.7343e-05i,0.0001358-0.00035742i,-0.00040352-0.0004806i,0.0001904-0.00097403i,0.00069315-0.0017964i,0.00070631-0.002225i,0.00068563-0.00096641i,0.0004315+0.00037944i,-0.00032753+0.00039363i,-0.00010109+0.00016398i,0.00011322-5.8673e-05i,0.00021912-0.0001983i,0.00050889+0.00032243i,-9.0521e-05+0.00040011i,-0.00065261-0.0001972i
-0.00052239+0.00023409i,0.00019855+6.9629e-05i,0.00076469-0.00058921i,0.00060809-0.00072846i,0.001133-0.0010208i,0.00094607-0.0012798i,0.0010089-0.00082396i,0.0010057+0.00032418i,0.00057191+0.0002677i,0.00026914-0.00052325i,3.7895e-05-0.00080657i,5.0641e-05-0.0010539i,0.00027023-0.0011399i,-0.00023728-0.00066115i,-0.0001375-0.00053971i,-0.00023812-0.00049685i,-0.0008518-0.00016102i,-0.00033921-0.00030127i,4.4881e-05-0.00046512i,0.0005595+0.00029504i,-8.6837e-05+0.00098345i,-0.00067731+0.00081282i,-0.00073534-2.4296e-05i
