-0.001106-0.0010055i,2.4042e-05-0.00052126i,-0.00069181+0.00025777i,-0.00086908+0.0016394i,-8.6928e-05+0.0031418i,0.0008938+0.002523i,0.0019878+0.0019386i,0.002339+0.001983i,0.0016456+0.0010576i,0.000814+0.00043185i,0.0010681-0.0007546i,0.0014467-0.0021404i,0.001114-0.0015705i,0.0010838-0.00029726i,0.0010536-0.0002216i,0.00074164-0.00030486i,0.0001576-0.00015913i,-8.5569e-05-0.00073036i,0.00018207-0.0011924i,-0.00015361-0.00083354i,-0.00036844-0.00045154i,-0.00021201-0.00031621i,0.00012223-0.00027818i
0.00045304+0.0041355i,0.0023927+0.0034598i,0.0037987+0.0019872i,0.0030438+0.00096136i,0.0012538+0.00015912i,-0.00056582-0.0010225i,-0.00063261-0.00093511i,-0.00049231-4.9689e-05i,-0.00038572+0.00021377i,0.00039417-0.00020612i,0.00068995-0.00097331i,0.00052169-0.00079854i,-7.5601e-05-0.00030917i,-0.00083943-0.00066505i,-0.0011649-0.0013026i,-0.0010689-0.0013255i,-0.00061764-0.00072913i,-0.00028334-0.0002844i,-9.7769e-05+0.00045048i,0.00014121+0.00086329i,0.00027941+0.00030617i,-8.274e-05-0.00062216i,-0.00043018-0.00086027i
0.0019289-0.00046773i,0.0012544-0.00081077i,0.00045666-0.00012743i,-0.00011804+0.0011086i,0.00073372+0.0017391i,0.0019679+0.0015917i,0.0014181+0.0012179i,0.00097544+0.001301i,0.00058885+0.0010726i,0.00033916-0.00030849i,0.00032881-0.00071057i,0.00047013-0.000411i,-0.00024121+0.00028413i,-0.0012133+0.00053851i,-0.0011194+0.00042839i,-0.00062207+0.00061689i,5.6646e-05+0.00071123i,0.00031247+0.00062533i,-0.00012733+0.00045478i,0.00022332+3.4868e-05i,0.0011964-0.00039873i,0.0007081-0.00029839i,0.00010308-0.0001461i
0.00010472+0.0013596i,0.001318+0.00047634i,0.0013643+9.2421e-05i,0.0015113+0.0007816i,0.0020088+0.0016885i,0.0021989+0.0010358i,0.0011272+0.00064484i,0.00016145-0.00026185i,0.00066717+0.00018924i,0.00067414+0.00080081i,0.00035947-0.00050248i,0.00030365-0.001016i,-0.00035279-0.00057i,-0.00085491-0.0013791i,-0.0008919-0.001251i,-0.00097816-0.00067365i,-0.00087897-0.00071919i,-0.0005176+0.00027109i,8.3737e-05+0.00038938i,-0.00032623-0.00034585i,-0.00067669+0.00011562i,-0.0001926+0.00058184i,0.00014758+0.00016226i
-0.00025677-0.0011685i,-0.00047851-0.0005073i,0.00033855+0.00027264i,-0.00015569+0.00098947i,-6.1256e-05+0.0015762i,0.0013569+0.0015356i,0.0011401+0.0018923i,0.00014778+0.001766i,-9.5609e-05+0.00033733i,9.5008e-05-0.00051955i,0.00036772-0.00039136i,0.0002321-0.00010239i,0.00087619+0.00046827i,0.00094235+0.00052159i,-0.00041968+0.00025572i,-0.001336+3.2489e-05i,-0.0013227-0.00059338i,-0.00093151-0.00067961i,9.064e-05-0.00058352i,-0.00010175-0.00059964i,-0.0011396-0.00022199i,-0.00095397-0.00039822i,-0.00043847-0.00052749i
-2.8144e-05+0.00021547i,-2.5695e-07+0.00048339i,-0.00015273+0.001141i,0.00044195+0.0014578i,0.0013536+0.00091561i,0.0022069+0.0004325i,0.0015562+0.00042439i,0.00020731+0.00078702i,-0.00030496+0.00082369i,-0.00072782+0.00055525i,-0.0010366-0.00026629i,-0.00056367-0.00070561i,-0.00022838-0.00017377i,-0.00032498-0.00013598i,0.00028619-0.00071803i,-0.00014027-0.00075782i,-0.00083719+0.00047325i,-0.00077375+0.00086104i,-0.00044981+0.0001336i,-0.00043297-0.00025766i,-0.001021-0.00045937i,-0.00038596-8.3794e-05i,0.00020384+0.00042367i
-0.00064618-0.00024844i,-0.0012936-0.00021397i,-0.0017613-0.00022348i,-0.00076562+0.00091333i,0.00060677+0.002046i,0.0010684+0.0027609i,0.00029771+0.0018133i,0.00069056+0.00080615i,0.0011952+0.0004841i,0.0010925+0.00015663i,0.00089186+0.00019975i,8.392e-06-0.00013316i,-0.00044939-0.00056375i,-0.00013985-0.00081081i,-0.00030298-0.00070303i,-0.0002671-0.00057946i,0.00023502+0.00029172i,-0.00045393+0.0011049i,-0.00092083+7.2731e-05i,-0.00032233-0.00078761i,-0.00020005+0.0002365i,-0.00017091+0.00068587i,-0.00011417+9.4638e-05i
0.001346-0.00010157i,0.0012226+0.00014641i,0.00055988+0.00065289i,0.00018716+0.0014927i,0.00016822+0.00161i,0.00072984+0.0011711i,0.0015874+0.00084161i,0.0010767+0.001009i,0.00059739+0.00056376i,0.00082236+1.2181e-05i,0.00047762-0.00012372i,0.00014782-0.0005739i,0.00036163-0.00069348i,-0.00016975-0.00021787i,-0.00084733+6.2874e-07i,-0.00044432+2.7431e-05i,0.00044695+0.00054316i,0.00042211+0.00079378i,7.5891e-05+0.00019603i,-5.3602e-05-0.00054864i,-0.0002087-0.00070044i,-0.00034831+0.00040778i,-0.00024757+0.00049899i
-0.00011144-0.0019i,0.00014929-0.0018664i,-0.001181-0.0010795i,-0.00079894+0.00010697i,-0.0001019+0.00062325i,0.00021597+0.0010715i,0.0011708+0.0012473i,0.0016946+0.0010001i,0.0015016+3.6265e-06i,0.00027651-0.00093741i,-0.00071922-0.00083476i,0.00037613-0.00051297i,0.0010382-0.00011652i,0.00089678-0.00047578i,0.00077633-0.00076739i,-0.00078035-0.00042632i,-0.0015736-0.0004818i,-0.00044427-3.4971e-05i,0.00061167+3.8146e-05i,0.00017854+7.7454e-05i,-3.7146e-05+3.2687e-05i,0.00049384-0.00024409i,-0.00059835+2.6654e-05i
-0.00048227-0.00039956i,-0.00021837-0.00023591i,-0.00029537-4.0567e-05i,-0.0011982+0.00075528i,-0.0014073+0.00204i,-0.00064132+0.0025084i,0.000227+0.001756i,0.00078831+0.00092688i,-6.6757e-05+0.0006299i,-0.000233+0.00067107i,8.0295e-05+0.00029322i,-1.2293e-05+0.00026381i,-0.0002552-0.00031234i,-0.00050877-0.00090512i,-0.00037641-0.00079488i,6.0875e-05-0.00010528i,0.00019102+0.00055461i,0.00073596+0.00012202i,0.00091834+0.00025105i,0.00032504+0.00035002i,-0.0006035+0.00019939i,-0.00073962+0.00010163i,6.6388e-05-0.00049766i
0.00030703+0.0013054i,0.00097416+0.0011364i,0.0017024+0.00073936i,0.0016585+0.0012975i,0.0020825+0.0021167i,0.0022334+0.0020423i,0.0014372+0.0021788i,0.00034053+0.00098737i,0.00037648-0.00024202i,0.00098571-0.00033712i,0.00052461+0.0001233i,-0.00021639-0.00013108i,0.00026158-0.0013674i,-0.00017326-0.0019018i,-0.00039467-0.0012621i,9.2893e-05-0.00012354i,-0.00010768+0.00018153i,-0.00088089-6.1184e-06i,-0.00096297-0.00047976i,3.3589e-05-0.00070914i,2.9537e-05+1.6617e-05i,-0.00059545+0.00085526i,-0.00053355+0.00085553i
