0.0024131-9.0355e-05i,0.0017754-0.00094902i,0.0011008-0.0025453i,-1.8056e-05-0.0031287i,-0.0014745-0.0024759i,-0.0025221-0.00070934i,-0.0012725+0.00071275i,0.00021216+0.0011023i,0.0015688+0.00045475i,0.0013236-0.00089583i,0.00028014-0.0015786i,-0.00013416-0.00033805i,-0.00035561+0.00030331i,0.00040687-0.0003685i,0.001303-0.00040136i,0.0015711+0.00035505i,0.00069079+0.00071137i,9.1301e-05+0.00043312i,0.00044412-0.00032012i,-3.5145e-05-0.0010025i,-0.0003517-0.00068734i,-0.00048964+5.3576e-05i,7.8082e-05+0.00034561i
-0.0018428+0.0030518i,-0.00085795+0.0033061i,0.00015688+0.0036568i,0.0015254+0.0031426i,0.002955+0.0013775i,0.0026626-0.00021267i,0.0011822-0.00064971i,0.00044297-0.00077085i,1.7764e-06+0.00015169i,0.00031767+0.0013036i,-4.8882e-05+0.00059537i,-0.0007567-0.00014182i,-0.0008126+0.00020057i,-0.0012952-0.000131i,-0.0011996-0.00046475i,-0.00037163-0.00070976i,-0.00025595-0.00086398i,-0.00054378-0.00022266i,0.00023439+0.00025701i,0.00086179+0.00012349i,0.00094494+0.00042903i,0.00061481+0.00047844i,-0.00031191-8.4043e-05i
-0.0014939+0.0009013i,-0.0011465+0.0022492i,-0.00041117+0.0019388i,0.00049491+0.00085479i,0.00050877-6.4931e-05i,0.00022468-0.00069592i,-0.0006012-0.001108i,-0.00072234-0.00085159i,-0.00031327-0.00017847i,-0.00074523-0.00011454i,-0.00049876+9.4702e-05i,0.00015317+0.0009462i,0.00015298+0.00051066i,-0.00022662-0.0003105i,-0.00079904-0.00018013i,-0.00072224-0.00022441i,4.8046e-06-0.00039741i,0.0003273+0.00011908i,-0.00022323+0.00016641i,-0.00038133-0.00058438i,0.0002147-0.00089432i,0.00056422-0.0010132i,-0.00014865+1.1221e-05i
0.0008438-0.0017851i,0.00059043-0.0012009i,0.00012156-0.00065003i,0.00021076-0.00027258i,0.0011628-0.0012132i,0.0017855-0.0017274i,0.0014837-0.0016576i,0.0013781-0.00085052i,0.00097484-0.00027007i,0.00031705-0.00056182i,-0.00051148-8.1888e-05i,-0.0012576+0.00023348i,-0.00072044-3.6693e-05i,0.00034213-0.00050184i,0.00025034-0.00040426i,-0.00036193+0.0001264i,-0.00078376-6.1816e-05i,-0.00085721+0.00022035i,-0.0002282+0.00061696i,0.00011348+0.00039302i,0.00046987+2.9298e-05i,0.00090725+8.3238e-05i,0.00045512-0.00022545i
-0.0013674+0.0016955i,-0.0010941+0.0022822i,-0.00088371+0.0016458i,3.446e-05+0.0010152i,0.0011422-0.00025408i,0.00049605-0.0018343i,-3.9874e-05-0.0022235i,0.0002036-0.00094383i,-0.00034534-0.00052274i,-0.00067777-0.00079225i,-0.00042978-0.00052619i,-0.0006595-0.0002109i,-0.00042603-0.000449i,0.00025701-0.00051907i,0.00073774-0.00014362i,5.3596e-05+0.0002826i,-0.0001158+0.00010285i,-1.6838e-05-9.0217e-05i,-0.00052716-0.00023151i,-0.00012233-7.0522e-05i,0.0003177+0.00055175i,0.00053348+0.0005744i,0.00050015+0.00011555i
1.547e-05-0.00052252i,0.00041413+0.00036386i,0.00095768+0.00084719i,0.0018286+0.0010203i,0.0015203+3.7522e-05i,0.00049642-0.00079067i,-0.00019622-0.00082179i,-0.00051892-0.00055758i,-0.00099866+0.0001303i,-0.00092783-7.758e-05i,-0.00031467-9.3722e-05i,-7.0502e-05+4.4114e-05i,0.00077602-0.00033056i,0.0012692-0.00040938i,0.00055556+0.00011273i,-0.00023378+0.00042108i,-0.00014485+0.00035194i,-0.00029575-0.00061152i,-0.00027797-0.00078818i,-0.00014707-0.0003674i,-0.00079674-0.00067411i,-0.0010447-0.00067566i,-0.0009235-0.00051473i
0.0002738+0.0035295i,0.0019089+0.0037594i,0.0021158+0.0013401i,0.00080531+0.00011747i,9.7785e-05-0.00064163i,0.00048374-0.0022488i,0.00074285-0.0013682i,0.00025751-3.5117e-05i,-0.00052446-0.00068054i,-0.00039192-0.0011548i,-0.00051281-0.0009371i,-0.0010121-0.00048858i,-0.00082063+6.0008e-05i,-0.00046378+0.00043741i,-0.00095859+0.0002769i,-0.0010059+0.0004274i,-0.00032961+0.00086641i,4.6895e-05+0.00043591i,0.00051458-0.00033225i,0.00058298-0.0011417i,0.00024928-0.00093187i,-0.00066336+7.6881e-05i,-0.0010866+0.00098774i
0.0022089+0.00084902i,0.0027216+0.00081608i,0.0019333+0.00013987i,0.001567-0.0013589i,0.001428-0.0016231i,0.00091778-0.001435i,-0.00010768-0.0010617i,-0.0005073-0.00036254i,-8.6277e-05-0.00030907i,0.00038495-0.00077321i,0.00062937-0.0012248i,0.00091163-0.00073368i,-4.8599e-05+0.00051592i,-0.0010183+0.0010363i,-0.00066855+0.00079792i,-0.00047171+0.00078871i,-0.00036866+0.00025373i,0.00030987+3.7419e-05i,0.00015893+0.0008441i,-2.3002e-05+0.001082i,0.00074993+0.00072952i,0.00029084+0.00044019i,-0.00047783+0.00018281i
-0.0016786-0.00019111i,-0.0011539+0.0021449i,-0.0021645+0.0023466i,-0.0015971+0.0013986i,-0.00021247+0.00083711i,0.00047953-0.00024413i,0.00076914-0.0011675i,-0.00021536-0.0012486i,-0.0013118-0.0007249i,-0.0013199-3.0322e-05i,-0.0008644+0.0005556i,-0.00045401+0.00027679i,-1.9889e-05-0.00030253i,-0.00018166+0.00022791i,-0.00064737-0.00013366i,-0.00025397-0.00081393i,0.00040825+0.00017874i,0.00018799+0.0011832i,-0.00025927+0.00063193i,-0.00010193-0.00024732i,0.00048999-0.00043082i,-0.00012853-0.00057174i,-0.00099916-0.00052263i
-0.0033247-0.0016104i,-0.0035742+0.00027873i,-0.0027779+0.0013308i,-0.00097089+0.0015368i,0.00033755+3.8123e-05i,0.0011844-0.0010278i,0.00062326-0.00076074i,-0.0003794-0.00015818i,-0.00091423+0.00019935i,-0.00050067-3.7874e-05i,-4.2989e-05-0.00027431i,9.4614e-05-0.0002531i,9.8221e-05-0.00033453i,0.00023119-0.00056298i,0.0001796-0.00035341i,-0.00067099-0.00022015i,-0.00059814-0.00024743i,-5.5193e-05-0.00035813i,0.00027383-0.00036201i,-2.7275e-05-0.00010449i,-0.00040348+0.00040965i,0.00013041+0.00086886i,0.00015508+0.00054593i
-0.00057627+0.0021445i,0.0005108+0.0030551i,0.0011986+0.0020601i,0.0006897+0.001089i,0.0010932+0.00013885i,0.0014277-0.0011353i,7.057e-05-0.00098226i,-0.00048812+0.00011873i,-0.00060973+0.00074973i,-0.00098722+0.00010066i,-0.00092109-4.6447e-05i,-0.0011953-0.00048278i,-0.0013901-0.00096576i,-0.0010459-0.000327i,-0.0011261+0.00063852i,-0.00074551+0.00020309i,-6.0436e-05-0.0010935i,0.00032016-0.00076428i,0.00045963+0.00028675i,0.00017689+0.00015705i,0.0007107+0.00022881i,0.00039935+0.00041688i,0.00016272-4.1824e-05i
