0.0012477+0.00060848i,0.0018051-0.00047007i,0.0034861-0.0030065i,0.0029424-0.005692i,-7.9609e-05-0.0052785i,-0.0024845-0.002038i,-0.0020496+0.00043011i,-0.00015658+0.0019215i,0.0012305+0.0015336i,0.0016858-0.00046836i,0.0010027-0.0013453i,0.00047083-0.0012632i,0.00015424-0.00021131i,0.00029402+0.0013358i,0.00088743+0.0013116i,0.00095672+0.0006839i,0.00062084-0.00019619i,0.00025856-0.00062987i,5.787e-05-0.00094231i,1.2379e-05-0.0011552i,-0.00014922-0.00085189i,-0.0002214-0.00055188i,-0.00019622-0.00023219i
0.00075514-0.00052465i,0.00052351-0.0014154i,0.0012611-0.0022579i,0.002331-0.0024255i,0.001338-0.0021759i,-0.00057288-0.0012599i,-0.001212+0.00013118i,0.00026942+0.00092723i,0.0011971+0.00073371i,0.00087998-0.00019551i,0.00050426+0.00058553i,-0.00016005+0.0017485i,-0.0005545+0.0014352i,-0.00022122+0.001014i,0.00054767+0.00073903i,0.0014771-0.00019157i,0.0016099-0.0007641i,0.0012535-0.00089536i,0.0003623-0.0010483i,-4.3013e-05-0.00088196i,0.00034293-0.00070349i,0.00065863-0.0008268i,0.00031901-0.0010571i
-0.00040183-0.0019017i,0.00051548-0.0020421i,0.00097099-0.0028487i,0.00079129-0.0036922i,0.00054091-0.0039581i,-9.7322e-05-0.0021673i,-0.0001292-0.00031834i,0.00072942-0.001103i,0.00059244-0.0013426i,0.0003266-0.00040827i,0.00051862+0.00030634i,0.00033486+0.00083135i,1.75e-05+0.0011338i,0.00072838+0.00075079i,0.00065897+0.00090407i,0.00035211+0.00071323i,0.0011793+0.00030054i,0.0013517-0.00027385i,0.00020249-0.00095205i,-0.00095155-0.0007302i,-0.0010285-0.00055673i,-0.0004602-0.0002585i,-0.00039244+0.00066113i
-0.00093179+0.00020717i,-0.00053806-0.00083217i,0.0012038-0.0032434i,0.0018049-0.0054243i,-0.00011573-0.0057609i,-0.00039649-0.0027998i,0.00014338-3.9707e-05i,0.00063833+0.000254i,0.0010155-6.0198e-05i,0.00034873-0.00096312i,-0.0003847-0.0011911i,-0.0011324-0.00015197i,-0.0010357+0.00086569i,-0.00044012+0.0011669i,-0.00021102+0.00045376i,-0.00022214-0.00043627i,-0.0001056-0.00055399i,-0.00018516-0.00070416i,-0.00063864-0.0012181i,-0.00023458-0.00062178i,6.2875e-05+1.0168e-05i,-0.00035424-0.00021907i,-0.00053222-0.00030565i
0.0012264-0.0011929i,0.0025321-0.0012869i,0.0028168-0.0028519i,0.0032772-0.0037221i,0.0023157-0.0029705i,0.00013966-0.0021259i,-0.00089802-0.0014427i,-0.00015831-0.00063666i,0.00035789-0.00033894i,0.00014715-0.00012535i,-0.0007992+0.00010074i,-0.0015045+0.0003117i,-0.001286+0.00073173i,-0.00067804+0.00035341i,-0.00051685+6.3826e-05i,-0.00062688+0.00016253i,9.8993e-06+0.0004334i,0.0007062+1.8344e-05i,0.0006566-0.0009383i,0.00030559-0.00050567i,7.5547e-05-0.00017838i,0.00023076-0.00050829i,0.00014488-1.3187e-05i
0.00026414-0.0019081i,0.00066987-0.0015242i,0.0013739-0.0020237i,0.0020827-0.002478i,0.0015183-0.0027015i,0.0006731-0.0017365i,0.0011142-0.00018401i,0.001668+0.00063876i,0.00093658+0.00054003i,0.00038072+0.00033353i,0.00067391-0.00016423i,0.00029441-0.00039193i,0.00022511+0.00015093i,6.9164e-06+0.00062061i,-0.00020116+0.00038232i,0.00046444+0.0001708i,0.00099327+0.00015567i,0.00086915+0.00035066i,0.00040662+0.00033482i,0.00045383-0.00015742i,0.00022125-0.00030718i,0.00011939-0.00062939i,-3.7131e-05-0.0011793i
0.00087421-0.00012999i,0.0006997-0.0014039i,0.0021529-0.0029911i,0.0031297-0.0036148i,0.0027893-0.0035389i,0.0013424-0.0025995i,0.00019184-0.0008206i,0.0001433+0.00042865i,0.00020107+0.00081327i,-0.00047781-3.8322e-05i,-0.0008451-0.00065785i,-0.00021751+0.00025215i,-0.00024669+0.0010451i,0.00014275+0.00063424i,0.00084331+0.00015024i,0.00025293+0.00018452i,-8.4301e-05-0.00034731i,-0.00022527-0.00012612i,-0.00049946+0.00032397i,-0.00055144-0.00012236i,-0.00019882-0.00041549i,5.3994e-05+0.00019531i,0.00018815-0.00013114i
-0.00070052-0.00058004i,-0.00046932-0.0018223i,0.00070652-0.0018535i,0.0020497-0.0023115i,0.001989-0.0031716i,0.00090169-0.0020882i,2.9024e-05-0.0010641i,0.00092731-0.0011579i,0.0015107-0.0010642i,0.00072826-0.00042053i,0.0010269+0.00024868i,0.0019075+0.00039387i,0.00040433+0.00026765i,-0.001195+0.00062858i,-0.00081763+0.00050487i,0.00046993-0.00035504i,0.0011999-0.00037537i,0.00080095-0.00037114i,0.00021501-0.00054583i,-8.6089e-05+0.00011632i,0.00037855+0.00063171i,0.00027433+0.00013578i,3.7963e-05-0.00019261i
-0.00052738-0.00078274i,4.8449e-05-0.0020141i,0.0011552-0.0029899i,0.0019739-0.0033487i,0.0016912-0.0035701i,0.00091093-0.0026687i,0.0008493-0.0011752i,0.00056628+0.00012571i,0.00015334+0.00016475i,0.00036984-0.0009118i,0.0003331-0.00052398i,-3.1539e-05+0.0010113i,-0.00034179+0.0013552i,4.4801e-05+0.00041301i,0.00099428+0.00069939i,0.00049177+0.001096i,6.9314e-05+0.00072822i,0.00046993+0.00043725i,8.8829e-05+0.00019673i,-0.00033242-0.00016845i,0.00014754-0.00020431i,0.00030105-2.0764e-05i,-1.3837e-05+9.4509e-05i
0.00062819-0.0023651i,0.00061421-0.0034173i,0.0010727-0.0041517i,0.0014097-0.0037469i,-0.00017611-0.0027043i,-0.0012579-0.0015661i,0.0002331+0.00012345i,0.0015066+0.00081687i,0.0011052-0.00037408i,0.00017927-0.00035495i,-0.00016206+0.00057257i,-0.0003708+0.0011977i,-0.0006389+0.0010428i,6.2929e-05+0.0008341i,0.0017735+0.0011144i,0.0018904+0.00073278i,0.00056608+0.00016272i,-0.0001485+0.00028715i,-0.00038421+0.00038327i,-0.00018022-0.00026096i,0.0004599-0.00051077i,0.0002573+5.6045e-05i,2.5943e-05+0.00039874i
5.6255e-05-0.00068275i,0.00013529-0.0017737i,0.0011915-0.0023915i,0.0026499-0.0034674i,0.0030679-0.0037354i,0.0019956-0.0029576i,0.00069226-0.00084837i,0.00018931+0.00067299i,0.00060013+0.0010722i,0.0010945+0.001016i,0.00039421-1.9039e-05i,-9.378e-05-0.00094948i,0.00026888-0.00056379i,0.00072209+0.00038724i,0.00034259+0.00076469i,0.00030813+0.00084055i,0.00067218+0.00074649i,-0.00012084-0.00013203i,-0.00050319-0.00027123i,-0.00030297+0.00039845i,3.5963e-05-6.9939e-05i,0.00017187-0.00028026i,-0.0001686+0.0001433i
