-0.0012784-0.0001096i,-0.0010397-0.00061997i,-0.002339-1.0654e-05i,-0.0026867+0.00032764i,-0.0019768+0.0011206i,-0.0016601+0.0010975i,-0.00093442+0.00039398i,0.00015264+0.00041653i,0.0011227+0.00048225i,0.0011053+0.00059997i,0.00079331+0.00032521i,0.00095102-0.00052377i,0.00087635-0.0010605i,0.00051986-0.00082085i,1.9334e-05-0.00063723i,0.0004398-0.0001174i,0.0011019-0.00036152i,0.00082453-0.0010011i,0.0002695-0.0005228i,-1.8111e-05+0.00035769i,7.7485e-05+0.00088236i,0.00023357+3.7313e-05i,-8.3349e-05-0.00063915i
-0.00083251+0.0024742i,-0.0002784+0.0011782i,0.00083563+0.0014084i,0.0012051+0.0016336i,0.00058253+0.00069323i,-0.00027986+0.00040736i,-0.00072286+0.00079498i,-0.0013335+0.00083053i,-0.0010048+0.00058148i,2.4672e-06+0.00027207i,-0.00040711-0.00027876i,-0.0011243-0.0002223i,-0.001096-0.00037725i,-0.00073059-0.00078574i,-6.23e-05-0.00090176i,9.3378e-05-0.00025985i,-0.0004327-0.00019991i,-0.00013999-0.00043482i,-0.00018791-0.00013002i,-0.0004684+0.00034531i,-0.00086879+0.00054712i,-0.0010115+0.00039146i,-0.00077099+0.00010234i
0.0014425-3.2906e-05i,0.0013129-0.00024324i,0.00083396-0.00091048i,-0.00037391-0.0011149i,-0.00070247-0.00097876i,-0.0010072-0.0014666i,-0.0014811-0.0015154i,-0.00077426-0.00043861i,0.00023287+1.9939e-05i,9.5846e-05-0.00015823i,-0.00068168-2.8335e-05i,-0.00095958+0.00053639i,-0.0012082+0.0010796i,-0.0013022+0.00090543i,-0.00038473+0.00013125i,0.00013822-0.00063229i,-0.00039232-0.0002103i,-0.00049151+0.00017725i,-0.00017805+0.00011282i,-0.00010893+6.7446e-05i,3.8143e-05-0.00037145i,8.8953e-05-0.00079525i,0.00038348-0.0009711i
0.0013186+0.0016347i,0.0014407+0.00081336i,0.0016875+0.0003187i,0.0018711+0.00014606i,0.0008281+0.00065412i,-0.00070922+0.0001428i,-0.0010272+9.781e-05i,-0.00065987+0.00071626i,0.00026423+0.00042925i,0.00084024-5.9795e-05i,0.00028599-0.00039676i,-0.00083718-0.00012899i,-0.0010205-0.00023009i,-0.00025298-0.00011168i,-0.00037948+0.000146i,-0.001155+0.00077885i,-0.00071566+0.0010766i,-0.00011915+0.0001892i,-0.0004991-0.00042161i,-0.00052613+0.00018738i,0.00010788+0.0011563i,0.00053599+0.0012085i,0.00051047+0.00036841i
0.00043311-0.00014199i,0.00053558+0.00045147i,4.7901e-05+0.00017608i,-0.0004737+0.00060171i,-0.00060863+0.00024043i,-0.00036759-0.00056306i,-0.00088892-0.00031659i,-0.00064083+0.00017297i,0.00072506-4.2386e-05i,0.0012422+0.00019312i,0.0010981+0.00033459i,0.00085233-0.00049499i,0.00098123-0.00040512i,0.000325+0.00056592i,-0.00068766+0.0010544i,-0.00048667-3.853e-05i,-0.0003212-0.00060909i,-0.00064048-0.00053355i,-8.275e-05-0.00038428i,0.00077542+1.2399e-05i,0.00071046-5.9773e-06i,0.00055172-0.00018357i,0.00050136-0.00031589i
-0.00011693+0.00082032i,-0.00011815+0.00051705i,0.00097261+0.00017071i,0.00089959-0.00014191i,-0.00049704+2.105e-05i,-0.0014681-9.15e-05i,-0.0011426+1.0189e-05i,-0.0006588+0.0001986i,2.0536e-05+0.000312i,0.0012563+9.7232e-05i,0.001652-0.0001767i,0.0012498+0.000388i,0.00030815+0.00053795i,-0.00035293-0.00031155i,-0.00020522-3.5518e-05i,0.00055262+0.00076794i,0.00037684+0.00074931i,-0.00034715+0.00019093i,-0.00012828-9.2052e-05i,-9.0456e-05+0.00038904i,-0.00050321+0.00028826i,-0.00038806-0.00012947i,-0.00023927-0.00015733i
0.00061847-0.00052622i,-0.00034771-0.00075895i,-0.00092385+0.00011121i,-0.00057364+0.0016233i,-0.00031026+0.0013708i,-0.00017935+0.00019102i,-0.00029468-0.00037978i,0.00011565+3.9733e-05i,0.00093066+0.0003498i,0.00051247+0.00072668i,-0.0003379+0.00058762i,3.3312e-05-6.1493e-05i,0.00095247-8.32e-05i,0.00080813-0.00038816i,-5.6352e-05-0.0011637i,-0.00012001-0.00073798i,0.00013399+0.00058362i,-0.00049058+0.0011995i,-0.00089874+0.00069904i,-0.000398+0.00027914i,-1.3795e-05+0.00019785i,-0.00033548+0.00092927i,-0.00037247+0.00053954i
0.0011388-0.00061168i,0.00053442-0.00079016i,1.9721e-06-0.001646i,-0.00038417-0.0022358i,-0.0014154-0.0010736i,-0.0010806+0.00027819i,9.9664e-05+0.0011095i,0.00048187+0.00087581i,0.00037487-0.00014412i,-3.3878e-06-0.00056761i,-6.0211e-05-0.00070914i,-0.00028961-0.00055501i,-0.00075698-0.00019813i,-0.00035855+0.00082616i,-2.3867e-05+0.00093078i,2.9285e-06+0.00026144i,-0.00058692-4.224e-05i,-0.0010871-0.00035591i,-0.00064348-0.0005899i,-0.00016217-0.00037606i,4.0576e-05+0.00041742i,3.5333e-05+0.00059435i,-6.4426e-05-0.00024744i
-0.0013982+0.0015019i,-0.00089473+0.0010525i,-2.2667e-05+0.0018014i,0.0011385+0.0017269i,0.0010424+0.00024705i,-9.891e-06-0.00053446i,-0.00029772-0.0012929i,-6.7934e-06-0.00032145i,-0.00012333+0.001325i,-7.2115e-05+0.00093642i,0.00023642+0.0001526i,0.00029704-0.00011132i,0.00051798-0.00041536i,0.0007833-0.0005293i,0.00017929-1.845e-05i,-0.00042914+4.4954e-05i,0.00011835-0.00065836i,0.00032855-0.00050529i,0.00050265-0.00012507i,0.0011155-0.00043224i,0.00043141-0.00045712i,-0.00047013-0.00078489i,-0.00050522-0.00046585i
2.5646e-05+0.00078679i,-0.00021556+0.0001474i,0.00010089+0.00055076i,0.00096165+0.0014347i,0.00081056+0.0012962i,-0.00016652+0.00039604i,-0.00098286-0.00022044i,-0.00051855-4.4217e-05i,0.00037608+0.00048036i,0.00031296+0.00079638i,0.00010184+0.0011407i,0.00017869+0.001116i,0.00049935+0.00046669i,-0.00041978+0.00032702i,-0.0013904-0.00048612i,-0.00093556-0.00035298i,-0.00074617+0.00046226i,-0.00021101+0.00073892i,-6.496e-05+0.00038403i,-3.7277e-05-0.00048111i,0.00056878-0.00087202i,0.0004342-0.00078568i,0.00039318-8.5231e-05i
-0.00059917-0.00081207i,-0.00031568+0.00048423i,-0.00071613+0.00088239i,-0.00047399+0.00086182i,-0.00028599+0.00062859i,0.00026942+0.00020324i,0.00087599+6.5911e-05i,0.00046684+8.0317e-05i,0.00045422+0.00041242i,0.00036107+5.3907e-05i,0.00039053-0.00088658i,0.00066776-0.00094461i,0.00090971-0.00087367i,0.00063902-0.00067182i,-8.6634e-05-0.00026414i,-0.00037043+3.0255e-05i,-0.00014714+0.00020813i,0.00026592+0.00024408i,0.0003767+2.9752e-05i,1.8604e-05+0.00011701i,-0.00084255+0.00060963i,-0.0011951+0.0006408i,-0.0011734+0.00039342i
