-0.00017557+0.0001487i,-0.00032494-0.0010562i,-0.0015723-0.0021074i,-0.002876-0.0023702i,-0.0034692-0.00046572i,-0.0024476+0.00085932i,-0.00052855+0.00044239i,0.00019295+0.0010342i,0.0012187+0.0011841i,0.0019411+0.00010579i,0.00081621-0.0006252i,-2.0372e-05-0.00090299i,-0.00053062-0.00053268i,-0.00059712-0.00021753i,-0.00023741+0.00049625i,-0.00031728+0.0013819i,-0.00034593+0.00012578i,-0.00030565-0.00038601i,-0.00039812+6.396e-05i,-1.367e-05-0.0005213i,0.00030402-0.00046868i,-3.5465e-05+0.00019398i,-0.00027384+0.00071269i
0.0013616+0.00036053i,0.0011907+0.00024689i,0.00066762+0.00079343i,6.6795e-05+0.0012753i,0.00031282+0.001112i,0.00031373+0.00027059i,0.00052223-0.00035759i,0.0010333-0.00066234i,0.00086477-0.00010608i,0.00062378+0.00090259i,0.00012341+0.00059902i,0.00013015-0.00022672i,0.00044247-9.5069e-05i,0.00032359+0.00034933i,0.00051944+0.00063117i,0.00039971+0.00082911i,4.8029e-05+0.00070803i,8.4479e-05-1.6505e-06i,-5.7337e-05-0.00027442i,-0.00015446+0.00041386i,-0.00017192+0.0009764i,-0.000173+0.00058925i,-9.4654e-05-0.00064611i
-0.00053403+0.0021705i,0.00056138+0.0014316i,0.00044965+0.001072i,0.0005502-0.00052184i,0.00048357-0.0010004i,2.4631e-05+0.00034976i,0.00067629+0.00020376i,0.001093-0.0001667i,0.0007621+0.00022524i,0.00068357+0.00047512i,0.00079484+0.00053716i,0.00026613+0.00061367i,0.0001619+1.5167e-05i,8.4855e-07-8.0394e-05i,-0.00052281-0.0001622i,-0.00030955-3.6215e-05i,0.00024417+0.0002716i,0.00028713-0.00014406i,-0.00022003-0.00025586i,-0.00038+0.00024044i,0.00015847-0.00035345i,0.00045021-0.00086891i,0.00029554+5.3623e-05i
0.00068979-0.0011431i,-0.00048399-0.0015569i,-0.00094304-0.0012613i,-0.001385-0.00015034i,-0.001535+0.00025437i,-0.00055467+9.439e-05i,0.00016771-0.00023906i,0.00016135+0.00011676i,-0.00012961+0.00053343i,0.00045916+0.00071659i,0.00024027+0.0008303i,0.000135+0.00034935i,0.00017257+0.00057413i,7.1036e-05+0.00061329i,-5.9175e-05-0.00011998i,-5.6087e-05-0.00022427i,1.7565e-05+0.00013684i,-0.00097927+0.00015471i,-0.0015124-0.00053936i,-0.00033839-0.0011579i,0.00059051-0.00070253i,0.00067359+0.00017595i,0.00010656+0.00012259i
-0.00048121+0.00019729i,-0.00072692-0.00040899i,-0.0010978-0.0013399i,-0.0009812-0.0012498i,-0.00090203-0.00079174i,-0.00047733-0.00025583i,0.00018561-0.00018i,-3.3126e-05-0.00039969i,-0.00071529-0.00022125i,-0.00054847-2.1638e-05i,-0.00029635+0.00042169i,-0.00039635+0.0012212i,1.1283e-05+0.0010201i,0.0001556-2.4142e-05i,-0.00080789-0.00056382i,-0.00074469+5.9827e-06i,0.00010863+0.00051472i,0.00020333+0.00079214i,6.2625e-05+0.00034085i,-0.00010282+1.0155e-05i,-0.00020974+0.00039676i,-0.00011762+0.00052814i,-0.00015555-6.494e-05i
0.0010644+8.6417e-05i,0.00060362-0.00013938i,-0.00014544-0.00059888i,-0.00083519-0.001779i,-0.0010589-0.001598i,-0.00081135-0.00084364i,-1.4136e-05-0.00093422i,0.00060377-0.0011397i,0.00056864-0.00099144i,5.5118e-05-0.00045608i,-0.00028761+0.00027986i,-0.00032905+0.0012163i,0.00048434+0.0010824i,0.00033052+0.00054938i,-0.00011006+6.7634e-05i,0.00020569+0.00052417i,0.00046236+0.00082622i,0.00036529-0.00030525i,0.0007393-0.00063411i,0.00059694+0.00028549i,-0.00072464+0.00052902i,-0.0017832+0.00010409i,-0.0012933-0.00021509i
0.0017726-0.0013691i,0.00064252-0.0010727i,-0.00031894-0.0012594i,-0.0018743-0.0013079i,-0.0020769-0.00085134i,-0.00046976-0.00017232i,0.00022739-6.504e-06i,0.00031455-0.00064797i,-0.00036077-0.00092519i,-0.0014514-0.00093939i,-0.0014998-0.00030159i,-0.00087883+0.00019354i,0.00042276-0.00038619i,0.0010055-0.00062945i,0.00041235+0.00024857i,-1.6863e-05+0.00066317i,0.00028026+0.00076285i,0.00060978+0.00059772i,0.0010456+0.0006869i,0.00055162+0.0002157i,-0.00042286-0.00072304i,-0.00026467-0.00043349i,-5.3326e-05-7.6805e-05i
0.0013436+5.7745e-05i,0.0010023-0.0014653i,0.00075281-0.0027664i,-0.00011399-0.0024426i,-0.00042434-0.0015913i,-0.0005139-0.00068864i,-0.00039752-0.00018189i,0.00069664-0.00095876i,0.00079738-0.001406i,-3.5382e-05-0.0011444i,0.00017319-0.00098501i,0.00083084+0.00021791i,-0.00013474+0.00073727i,-0.00079177+0.00011411i,0.0001169+9.9525e-05i,0.00037749+0.0003641i,-0.00014917-0.00033257i,-0.00035336-0.00064128i,-0.00090301+0.00011439i,-0.00055134+0.00028963i,0.00022081+0.00037256i,0.00014788-0.00023763i,0.00045128-5.0229e-05i
-0.00017163-0.0020877i,-0.0003223-0.0013649i,-0.00090396-0.0017125i,-0.001597-0.0015457i,-0.0020137-0.00088214i,-0.0010782+0.00038741i,0.00046673+0.00023698i,0.00099987-0.0010509i,1.954e-05-0.0013157i,-0.00091714-0.00058359i,-0.00053605+0.00022237i,-0.00046805+0.00019005i,-0.00046534-0.00021175i,-0.00035462-0.00025214i,-0.00037683+0.00017363i,-0.00067035+0.00076859i,-0.0004219+0.00033059i,0.00056809-0.00036855i,0.00014187-0.00047363i,-0.00063285-0.00019066i,-0.00020625-0.0002049i,-0.0005236-0.00011031i,-0.00091764+0.00012765i
-0.0015633+0.00029198i,-0.00041748+0.0011743i,-0.00039428+0.00055257i,-0.0013746-0.00037558i,-0.00043026-7.2096e-05i,0.00054121+0.00077453i,0.00051105+0.00047221i,0.00046299-0.00024187i,0.00024662-0.00040735i,-2.5131e-05-0.0008536i,-0.00059749-0.00042726i,-0.00054409+0.0001588i,-0.00035612+9.9037e-06i,-0.00043764-0.00044954i,-0.00054963-0.00011095i,-0.00012857-6.0722e-08i,0.00094623-0.00049061i,0.00075535-0.00079303i,0.00021676-0.000815i,0.00033545-8.7994e-05i,0.00029609+0.00049517i,-0.00014038+0.00041793i,-0.00011087+8.5919e-05i
-0.00058919-0.0009132i,0.00031989-0.0019579i,-0.0004261-0.00094528i,-0.0013926+0.00079726i,-0.00036068+0.00051566i,0.0010076-0.00037684i,0.00057488-0.00045798i,3.6276e-05-0.00014353i,-1.0828e-05-8.4035e-05i,-0.00089448+0.00031113i,-0.0012623+0.00041224i,-0.0002561-0.0001817i,0.00052905-0.00019984i,-9.9601e-05+0.00063163i,-0.0012721+0.00065919i,-0.0010876-2.8748e-06i,-0.00038606-0.00015174i,0.00028612+6.1824e-05i,-3.3571e-05+0.00039686i,-0.00020858+0.00055014i,0.0002645+0.00068852i,0.00038744+0.00066315i,0.00010037-0.0003088i
